player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
José Luis Morales,es ESP,"FW,MF",34.0,30.2,13.0,76.0,31.0,40.8,2.52,1.03,0.13,0.32,18.9,2.0,3.0,5.0,14.3,10.4,0.14,-1.3,-0.4,497.0,774.0,64.2,8019.0,2631.0,273.0,339.0,80.5,149.0,223.0,66.8,52.0,114.0,45.6,7.0,5.2,3.8,1.8,36.0,47.0,36.0,10.0,97.0,774.0,699.0,65.0,12.0,6.0,6.0,121.0,15.0,30.0,10.0,15.0,1.0,497.0,10.0,33.0,104.0,3.44,59.0,10.0,20.0,8.0,6.0,1.0,13.0,0.43,7.0,1.0,2.0,1.0,2.0,0.0,27.0,17.0,6.0,9.0,12.0,12.0,42.0,28.6,30.0,29.0,0.0,29.0,4.0,31.0,7.0,0.0,1167.0,9.0,115.0,396.0,685.0,138.0,1162.0,156.0,64.0,41.0,92.0,59.0,713.0,5471.0,2733.0,100.0,72.0,54.0,90.0,55.0,800.0,241.0,35,2719.0,78.0,79.5,30.2,31,84.0,20,4,30.0,0,0.97,41.0,54.0,-13.0,-0.43,1.11,46.8,41.2,5.6,0.18,0.89,7.0,0.0,0.0,28.0,40.0,15.0,121.0,4.0,17.0,1.0,0.0,0.0,132.0,16.0,31.0,34.0
Rúben Vezo,pt POR,DF,27.0,26.9,0.0,18.0,4.0,22.2,0.67,0.15,0.0,0.0,13.4,0.0,0.0,0.0,0.6,0.6,0.03,-0.6,-0.6,1051.0,1264.0,83.1,22083.0,8328.0,317.0,364.0,87.1,569.0,620.0,91.8,159.0,245.0,64.9,0.0,0.5,0.2,-0.5,6.0,80.0,3.0,0.0,87.0,1264.0,1189.0,72.0,61.0,2.0,19.0,6.0,8.0,0.0,0.0,0.0,0.0,1051.0,3.0,15.0,17.0,0.63,12.0,0.0,0.0,4.0,1.0,0.0,2.0,0.07,0.0,0.0,0.0,1.0,1.0,0.0,41.0,29.0,28.0,12.0,1.0,26.0,41.0,63.4,15.0,41.0,25.0,16.0,36.0,77.0,105.0,1.0,1551.0,210.0,843.0,649.0,64.0,25.0,1551.0,8.0,5.0,62.5,3.0,37.5,862.0,4297.0,2370.0,21.0,10.0,0.0,13.0,5.0,956.0,8.0,32,2420.0,76.0,70.8,26.9,27,86.0,23,5,20.0,2,0.84,35.0,55.0,-20.0,-0.74,-0.29,39.1,37.2,1.9,0.07,0.23,4.0,0.0,0.0,35.0,29.0,0.0,6.0,36.0,29.0,1.0,1.0,0.0,142.0,52.0,41.0,55.9
Roger Martí,es ESP,FW,30.0,23.5,7.0,46.0,17.0,37.0,1.96,0.72,0.13,0.35,17.0,0.0,1.0,3.0,8.4,6.1,0.13,-1.4,-0.1,313.0,462.0,67.7,4374.0,1057.0,190.0,240.0,79.2,87.0,126.0,69.0,18.0,37.0,48.6,3.0,3.2,1.0,-0.2,23.0,23.0,15.0,1.0,50.0,462.0,409.0,49.0,0.0,5.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,313.0,4.0,14.0,39.0,1.66,28.0,0.0,1.0,7.0,3.0,0.0,5.0,0.21,3.0,0.0,0.0,1.0,1.0,0.0,23.0,14.0,3.0,13.0,7.0,8.0,30.0,26.7,22.0,14.0,0.0,14.0,2.0,25.0,8.0,0.0,679.0,9.0,34.0,338.0,318.0,92.0,676.0,28.0,14.0,50.0,14.0,50.0,382.0,1751.0,643.0,24.0,17.0,9.0,57.0,23.0,496.0,133.0,29,2115.0,73.0,61.8,23.5,25,81.0,12,4,23.0,0,1.0,27.0,42.0,-15.0,-0.64,0.05,27.6,33.2,-5.5,-0.24,-0.63,8.0,0.0,0.0,62.0,28.0,12.0,10.0,2.0,14.0,1.0,0.0,0.0,49.0,29.0,54.0,34.9
Cárdenas,es ESP,GK,24.0,24.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,496.0,725.0,68.4,13104.0,9639.0,124.0,125.0,99.2,201.0,204.0,98.5,160.0,382.0,41.9,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,725.0,454.0,269.0,70.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,496.0,2.0,0.0,6.0,0.25,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,19.0,0.0,800.0,706.0,793.0,8.0,0.0,0.0,800.0,0.0,0.0,,0.0,,380.0,1905.0,1290.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,24,2160.0,90.0,63.2,24.0,24,90.0,24,0,,12,1.0,36.0,46.0,-10.0,-0.42,0.65,38.6,36.4,2.2,0.09,0.24,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,33.0,2.0,1.0,66.7
José Luis García Vayá,es ESP,MF,22.0,22.4,0.0,14.0,2.0,14.3,0.63,0.09,0.0,0.0,23.5,2.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,1005.0,1271.0,79.1,17578.0,5602.0,496.0,561.0,88.4,347.0,411.0,84.4,123.0,216.0,56.9,0.0,2.2,1.8,-2.2,26.0,109.0,14.0,5.0,130.0,1271.0,1195.0,73.0,32.0,2.0,27.0,58.0,2.0,38.0,14.0,22.0,1.0,1005.0,3.0,14.0,48.0,2.15,28.0,15.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,10.0,31.0,5.0,16.0,41.0,39.0,25.0,24.0,5.0,19.0,38.0,84.0,30.0,0.0,1486.0,55.0,365.0,872.0,270.0,13.0,1486.0,20.0,13.0,65.0,7.0,35.0,747.0,3336.0,1514.0,24.0,19.0,2.0,25.0,10.0,987.0,24.0,29,2012.0,69.0,58.8,22.4,23,83.0,14,6,19.0,5,1.07,29.0,39.0,-10.0,-0.45,0.51,36.2,30.9,5.3,0.24,0.57,9.0,0.0,0.0,47.0,20.0,0.0,58.0,38.0,27.0,0.0,0.0,0.0,149.0,31.0,14.0,68.9
Jorge Miramón,es ESP,DF,32.0,22.0,1.0,7.0,2.0,28.6,0.32,0.09,0.14,0.5,18.1,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,793.0,1046.0,75.8,13299.0,5439.0,429.0,486.0,88.3,278.0,352.0,79.0,77.0,158.0,48.7,0.0,1.5,1.1,-1.5,16.0,60.0,25.0,11.0,85.0,1046.0,826.0,216.0,7.0,2.0,6.0,49.0,209.0,0.0,0.0,0.0,0.0,793.0,4.0,24.0,36.0,1.62,25.0,8.0,1.0,1.0,1.0,0.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,36.0,19.0,16.0,12.0,8.0,15.0,44.0,34.1,29.0,15.0,3.0,12.0,35.0,71.0,58.0,0.0,1265.0,94.0,443.0,535.0,301.0,15.0,1265.0,31.0,21.0,67.7,10.0,32.3,582.0,3066.0,1303.0,30.0,31.0,4.0,31.0,21.0,661.0,86.0,29,1977.0,68.0,57.8,22.0,22,85.0,15,7,16.0,4,1.1,28.0,43.0,-15.0,-0.68,-0.06,34.4,34.4,0.0,0.0,0.0,5.0,0.0,0.0,31.0,23.0,0.0,49.0,35.0,19.0,0.0,0.0,0.0,147.0,18.0,23.0,43.9
Son,es ESP,DF,27.0,21.9,1.0,14.0,7.0,50.0,0.64,0.32,0.07,0.14,19.4,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,789.0,1073.0,73.5,13969.0,4767.0,384.0,437.0,87.9,294.0,370.0,79.5,94.0,197.0,47.7,0.0,1.3,1.9,-1.3,16.0,56.0,29.0,7.0,96.0,1073.0,857.0,206.0,8.0,3.0,16.0,45.0,196.0,2.0,1.0,0.0,0.0,789.0,10.0,24.0,39.0,1.78,33.0,2.0,1.0,1.0,1.0,1.0,4.0,0.18,3.0,0.0,0.0,0.0,1.0,0.0,28.0,18.0,16.0,7.0,5.0,17.0,34.0,50.0,17.0,11.0,5.0,6.0,19.0,47.0,33.0,1.0,1260.0,56.0,395.0,524.0,354.0,33.0,1260.0,39.0,19.0,48.7,20.0,51.3,629.0,2607.0,1417.0,37.0,23.0,11.0,35.0,4.0,721.0,111.0,26,1971.0,76.0,57.6,21.9,22,83.0,13,4,36.0,9,1.04,31.0,40.0,-9.0,-0.41,0.58,33.6,28.9,4.7,0.22,0.5,5.0,1.0,0.0,21.0,14.0,3.0,45.0,19.0,18.0,1.0,0.0,0.0,146.0,10.0,19.0,34.5
Rober,es ESP,DF,26.0,22.3,1.0,8.0,1.0,12.5,0.36,0.04,0.13,1.0,8.4,0.0,0.0,0.0,1.3,1.3,0.16,-0.3,-0.3,832.0,1048.0,79.4,15261.0,6840.0,346.0,375.0,92.3,388.0,446.0,87.0,89.0,193.0,46.1,0.0,0.2,0.2,-0.2,4.0,57.0,3.0,1.0,53.0,1048.0,1012.0,34.0,32.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,832.0,2.0,10.0,19.0,0.85,16.0,0.0,0.0,2.0,0.0,1.0,4.0,0.18,2.0,0.0,0.0,2.0,0.0,0.0,36.0,20.0,27.0,7.0,2.0,23.0,39.0,59.0,16.0,25.0,15.0,10.0,30.0,66.0,90.0,1.0,1265.0,160.0,712.0,499.0,72.0,16.0,1265.0,6.0,5.0,83.3,1.0,16.7,640.0,3437.0,2128.0,17.0,18.0,0.0,16.0,3.0,749.0,5.0,27,2010.0,74.0,58.8,22.3,21,88.0,17,6,28.0,9,1.07,39.0,41.0,-2.0,-0.09,1.38,39.6,33.6,6.0,0.27,0.64,5.0,1.0,1.0,35.0,10.0,0.0,6.0,30.0,20.0,0.0,1.0,0.0,150.0,28.0,31.0,47.5
Óscar Duarte,cr CRC,DF,32.0,19.7,2.0,19.0,5.0,26.3,0.96,0.25,0.11,0.4,12.6,0.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8,807.0,970.0,83.2,16792.0,7265.0,251.0,273.0,91.9,412.0,474.0,86.9,130.0,193.0,67.4,0.0,0.4,0.2,-0.4,3.0,37.0,0.0,0.0,44.0,970.0,918.0,47.0,43.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,807.0,5.0,4.0,9.0,0.46,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,12.0,6.0,0.0,8.0,23.0,34.8,15.0,18.0,9.0,9.0,24.0,42.0,102.0,0.0,1175.0,206.0,686.0,465.0,31.0,25.0,1175.0,2.0,1.0,50.0,1.0,50.0,585.0,2568.0,1365.0,1.0,0.0,0.0,5.0,1.0,702.0,1.0,23,1773.0,77.0,51.8,19.7,20,84.0,15,3,33.0,10,1.09,25.0,36.0,-11.0,-0.56,0.21,25.9,25.9,0.0,0.0,-0.01,5.0,0.0,0.0,26.0,4.0,2.0,0.0,24.0,8.0,0.0,0.0,0.0,98.0,67.0,35.0,65.7
Jorge de Frutos,es ESP,"MF,FW",24.0,19.6,4.0,46.0,20.0,43.5,2.35,1.02,0.09,0.2,15.9,0.0,0.0,0.0,4.9,4.9,0.11,-0.9,-0.9,320.0,499.0,64.1,5109.0,1866.0,177.0,221.0,80.1,98.0,149.0,65.8,28.0,65.0,43.1,7.0,3.3,3.2,3.7,22.0,26.0,26.0,11.0,49.0,499.0,470.0,25.0,1.0,0.0,5.0,69.0,16.0,6.0,0.0,4.0,0.0,320.0,4.0,21.0,62.0,3.17,35.0,3.0,13.0,8.0,2.0,1.0,12.0,0.61,7.0,0.0,2.0,2.0,0.0,1.0,33.0,15.0,14.0,11.0,8.0,10.0,51.0,19.6,41.0,11.0,1.0,10.0,12.0,45.0,13.0,0.0,754.0,16.0,128.0,279.0,362.0,77.0,754.0,76.0,36.0,47.4,40.0,52.6,421.0,2730.0,1566.0,60.0,31.0,21.0,51.0,16.0,475.0,153.0,25,1760.0,70.0,51.5,19.6,20,82.0,8,5,24.0,0,0.56,23.0,43.0,-20.0,-1.02,-0.75,22.4,27.1,-4.7,-0.24,-0.51,4.0,0.0,0.0,39.0,21.0,13.0,69.0,12.0,15.0,0.0,2.0,0.0,96.0,7.0,16.0,30.4
