player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Robin Le Normand,fr FRA,DF,24.0,37.0,1.0,18.0,5.0,27.8,0.49,0.14,0.06,0.2,10.2,0.0,0.0,0.0,1.5,1.5,0.08,-0.5,-0.5,1897.0,2163.0,87.7,36808.0,11091.0,613.0,674.0,90.9,1053.0,1145.0,92.0,217.0,297.0,73.1,1.0,0.5,0.5,0.5,5.0,83.0,4.0,0.0,115.0,2163.0,2086.0,70.0,59.0,1.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,1897.0,7.0,7.0,9.0,0.24,7.0,0.0,0.0,2.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,49.0,32.0,36.0,8.0,5.0,28.0,36.0,77.8,8.0,34.0,22.0,12.0,48.0,97.0,125.0,0.0,2484.0,335.0,1296.0,1132.0,67.0,41.0,2484.0,3.0,1.0,33.3,2.0,66.7,1481.0,7812.0,4802.0,27.0,11.0,2.0,15.0,3.0,1639.0,4.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.59,37.0,37.0,0.0,0.0,-3.0,48.5,38.0,10.6,0.29,-1.98,6.0,0.0,0.0,37.0,22.0,2.0,1.0,48.0,32.0,0.0,0.0,0.0,155.0,107.0,66.0,61.8
Álex Remiro,es ESP,GK,26.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,949.0,1259.0,75.4,26662.0,19222.0,178.0,180.0,98.9,440.0,449.0,98.0,331.0,627.0,52.8,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1259.0,904.0,352.0,111.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,949.0,3.0,0.0,7.0,0.2,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,24.0,2.0,1333.0,1198.0,1324.0,9.0,0.0,0.0,1333.0,0.0,0.0,,0.0,,711.0,3589.0,2171.0,0.0,0.0,0.0,1.0,0.0,633.0,0.0,35,3150.0,90.0,92.1,35.0,35,90.0,35,0,,3,1.6,34.0,32.0,2.0,0.06,-0.28,47.2,33.1,14.1,0.4,0.81,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,4.0,0.0,100.0
Mikel Merino,es ESP,MF,25.0,32.1,3.0,45.0,15.0,33.3,1.4,0.47,0.07,0.2,17.3,0.0,0.0,0.0,4.1,4.1,0.09,-1.1,-1.1,1351.0,1768.0,76.4,21676.0,7560.0,699.0,832.0,84.0,462.0,576.0,80.2,119.0,206.0,57.8,2.0,3.6,3.5,-1.6,31.0,172.0,41.0,6.0,204.0,1768.0,1724.0,30.0,27.0,13.0,13.0,23.0,3.0,0.0,0.0,0.0,0.0,1351.0,14.0,35.0,82.0,2.55,62.0,0.0,4.0,5.0,8.0,3.0,11.0,0.34,6.0,0.0,0.0,3.0,2.0,0.0,71.0,38.0,21.0,40.0,10.0,26.0,67.0,38.8,41.0,50.0,10.0,40.0,21.0,92.0,56.0,2.0,2147.0,102.0,429.0,1235.0,510.0,82.0,2147.0,47.0,28.0,59.6,19.0,40.4,1198.0,4369.0,1865.0,30.0,41.0,10.0,45.0,56.0,1517.0,92.0,34,2890.0,85.0,84.5,32.1,33,87.0,26,1,20.0,0,1.79,40.0,24.0,16.0,0.5,2.71,44.2,31.8,12.4,0.39,0.32,8.0,0.0,0.0,60.0,67.0,4.0,23.0,21.0,38.0,2.0,1.0,0.0,287.0,109.0,83.0,56.8
Martín Zubimendi,es ESP,MF,22.0,28.8,2.0,20.0,9.0,45.0,0.69,0.31,0.1,0.22,13.2,0.0,0.0,0.0,2.2,2.2,0.11,-0.2,-0.2,1245.0,1459.0,85.3,21021.0,6372.0,581.0,641.0,90.6,511.0,577.0,88.6,114.0,166.0,68.7,1.0,0.6,0.8,0.4,15.0,131.0,9.0,0.0,129.0,1459.0,1430.0,25.0,24.0,2.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1245.0,4.0,14.0,38.0,1.32,30.0,0.0,1.0,1.0,4.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,52.0,25.0,19.0,30.0,3.0,22.0,44.0,50.0,22.0,30.0,13.0,17.0,49.0,101.0,48.0,1.0,1744.0,107.0,440.0,1121.0,195.0,31.0,1744.0,24.0,17.0,70.8,7.0,29.2,991.0,5008.0,2674.0,24.0,30.0,2.0,27.0,12.0,1190.0,23.0,36,2591.0,72.0,75.8,28.8,26,90.0,25,10,25.0,0,1.67,30.0,30.0,0.0,0.0,-0.33,41.4,31.8,9.7,0.34,-0.01,4.0,0.0,0.0,34.0,21.0,3.0,2.0,49.0,25.0,0.0,0.0,0.0,139.0,63.0,24.0,72.4
Alexander Isak,se SWE,FW,21.0,23.8,6.0,71.0,33.0,46.5,2.99,1.39,0.06,0.12,15.7,3.0,2.0,2.0,9.8,8.2,0.12,-3.8,-4.2,316.0,440.0,71.8,4102.0,829.0,199.0,242.0,82.2,76.0,109.0,69.7,16.0,25.0,64.0,2.0,3.2,3.1,-1.2,20.0,23.0,15.0,1.0,43.0,440.0,399.0,40.0,0.0,5.0,1.0,17.0,5.0,1.0,0.0,0.0,0.0,316.0,1.0,24.0,62.0,2.61,34.0,1.0,13.0,7.0,7.0,0.0,4.0,0.17,1.0,0.0,1.0,2.0,0.0,0.0,7.0,4.0,1.0,3.0,3.0,2.0,12.0,16.7,10.0,14.0,2.0,12.0,3.0,10.0,10.0,0.0,696.0,13.0,44.0,240.0,431.0,130.0,694.0,88.0,44.0,50.0,44.0,50.0,473.0,3304.0,1432.0,58.0,48.0,29.0,56.0,36.0,540.0,160.0,32,2140.0,67.0,62.6,23.8,26,76.0,5,6,27.0,1,1.56,21.0,21.0,0.0,0.0,-0.21,31.0,23.5,7.5,0.31,-0.06,6.0,0.0,0.0,32.0,30.0,15.0,17.0,3.0,4.0,0.0,0.0,0.0,56.0,28.0,34.0,45.2
Andoni Gorosabel,es ESP,DF,24.0,25.4,0.0,11.0,0.0,0.0,0.43,0.0,0.0,,19.6,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,1199.0,1453.0,82.5,17610.0,6525.0,675.0,729.0,92.6,413.0,508.0,81.3,56.0,117.0,47.9,4.0,2.7,3.3,1.3,22.0,58.0,27.0,13.0,99.0,1453.0,1172.0,281.0,26.0,0.0,1.0,63.0,252.0,3.0,0.0,3.0,0.0,1199.0,0.0,29.0,50.0,1.97,40.0,4.0,2.0,2.0,2.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,32.0,9.0,6.0,25.0,47.0,53.2,22.0,16.0,3.0,13.0,18.0,65.0,49.0,0.0,1676.0,61.0,428.0,810.0,455.0,33.0,1676.0,34.0,18.0,52.9,16.0,47.1,848.0,3606.0,2077.0,51.0,39.0,4.0,27.0,14.0,981.0,110.0,32,2289.0,72.0,66.9,25.4,25,83.0,12,7,29.0,5,1.59,28.0,22.0,6.0,0.24,0.47,36.8,22.9,13.9,0.54,0.62,4.0,0.0,0.0,27.0,18.0,0.0,63.0,18.0,31.0,0.0,0.0,0.0,137.0,22.0,30.0,42.3
Aritz Elustondo,es ESP,DF,27.0,23.4,4.0,14.0,7.0,50.0,0.6,0.3,0.29,0.57,13.7,0.0,0.0,0.0,1.6,1.6,0.12,2.4,2.4,989.0,1184.0,83.5,19247.0,7115.0,339.0,386.0,87.8,525.0,588.0,89.3,112.0,180.0,62.2,1.0,0.1,0.5,0.9,1.0,67.0,2.0,0.0,85.0,1184.0,1107.0,76.0,34.0,1.0,8.0,5.0,42.0,0.0,0.0,0.0,0.0,989.0,1.0,9.0,10.0,0.43,8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,16.0,5.0,0.0,10.0,20.0,50.0,10.0,19.0,13.0,6.0,29.0,50.0,86.0,0.0,1392.0,162.0,679.0,647.0,75.0,14.0,1392.0,7.0,6.0,85.7,1.0,14.3,755.0,4470.0,2496.0,20.0,14.0,0.0,11.0,1.0,819.0,12.0,30,2105.0,70.0,61.5,23.4,22,88.0,19,8,21.0,6,1.77,27.0,21.0,6.0,0.26,0.46,31.5,22.6,8.9,0.38,0.12,3.0,1.0,0.0,18.0,22.0,2.0,5.0,29.0,14.0,0.0,1.0,0.0,123.0,54.0,23.0,70.1
David Silva,es ESP,MF,35.0,19.1,2.0,21.0,6.0,28.6,1.1,0.31,0.1,0.33,16.4,0.0,0.0,0.0,3.1,3.1,0.15,-1.1,-1.1,912.0,1054.0,86.5,13951.0,3364.0,499.0,544.0,91.7,313.0,345.0,90.7,61.0,83.0,73.5,4.0,4.5,5.1,-0.5,39.0,81.0,40.0,4.0,147.0,1054.0,1015.0,34.0,16.0,3.0,4.0,30.0,3.0,15.0,7.0,4.0,0.0,912.0,5.0,22.0,98.0,5.13,77.0,8.0,7.0,1.0,4.0,1.0,15.0,0.78,11.0,1.0,0.0,0.0,3.0,0.0,28.0,17.0,10.0,11.0,7.0,3.0,20.0,15.0,17.0,13.0,3.0,10.0,7.0,35.0,12.0,0.0,1210.0,25.0,133.0,605.0,480.0,71.0,1210.0,44.0,29.0,65.9,15.0,34.1,762.0,4203.0,1797.0,65.0,55.0,17.0,37.0,28.0,952.0,105.0,25,1720.0,69.0,50.3,19.1,22,75.0,5,3,23.0,1,1.76,24.0,11.0,13.0,0.68,1.21,27.6,18.2,9.4,0.49,0.31,4.0,1.0,0.0,23.0,25.0,3.0,30.0,7.0,17.0,2.0,1.0,0.0,91.0,15.0,11.0,57.7
Alexander Sørloth,no NOR,FW,25.0,19.6,4.0,35.0,12.0,34.3,1.79,0.61,0.11,0.33,12.5,0.0,0.0,0.0,5.9,5.9,0.17,-1.9,-1.9,331.0,459.0,72.1,4429.0,686.0,207.0,269.0,77.0,89.0,121.0,73.6,17.0,26.0,65.4,0.0,3.4,1.7,-3.4,23.0,16.0,11.0,0.0,33.0,459.0,430.0,28.0,1.0,1.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,331.0,1.0,16.0,45.0,2.3,33.0,0.0,7.0,3.0,2.0,0.0,5.0,0.26,1.0,0.0,2.0,1.0,1.0,0.0,20.0,7.0,4.0,10.0,6.0,7.0,17.0,41.2,10.0,14.0,1.0,13.0,4.0,24.0,15.0,0.0,696.0,19.0,48.0,312.0,351.0,96.0,696.0,66.0,38.0,57.6,28.0,42.4,417.0,2985.0,1435.0,55.0,39.0,18.0,71.0,52.0,549.0,112.0,33,1763.0,53.0,51.5,19.6,20,78.0,8,13,16.0,0,1.58,23.0,18.0,5.0,0.26,0.36,29.5,18.8,10.7,0.55,0.43,2.0,0.0,0.0,29.0,14.0,12.0,9.0,4.0,7.0,2.0,0.0,0.0,61.0,51.0,49.0,51.0
Mikel Oyarzabal,es ESP,"FW,MF",24.0,18.6,9.0,37.0,12.0,32.4,1.99,0.65,0.14,0.42,19.0,5.0,4.0,5.0,9.3,5.4,0.15,-0.3,-0.4,416.0,637.0,65.3,6526.0,1670.0,229.0,277.0,82.7,130.0,182.0,71.4,38.0,101.0,37.6,3.0,3.7,3.1,-0.7,39.0,13.0,21.0,4.0,46.0,637.0,530.0,101.0,31.0,2.0,4.0,110.0,10.0,57.0,28.0,24.0,1.0,416.0,6.0,32.0,72.0,3.88,33.0,17.0,8.0,13.0,1.0,0.0,6.0,0.32,1.0,2.0,1.0,2.0,0.0,0.0,18.0,10.0,7.0,7.0,4.0,7.0,21.0,33.3,14.0,18.0,2.0,16.0,10.0,28.0,16.0,1.0,830.0,19.0,99.0,289.0,459.0,75.0,825.0,43.0,22.0,51.2,21.0,48.8,469.0,2757.0,1339.0,51.0,34.0,22.0,37.0,29.0,550.0,144.0,22,1671.0,76.0,48.9,18.6,19,83.0,11,3,30.0,0,1.59,18.0,22.0,-4.0,-0.22,-0.58,24.8,20.5,4.3,0.23,-0.21,0.0,1.0,0.0,14.0,26.0,5.0,110.0,10.0,10.0,0.0,0.0,0.0,86.0,22.0,35.0,38.6
