player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Gonçalo Guedes,pt POR,"FW,MF",24.0,29.0,11.0,67.0,24.0,35.8,2.31,0.83,0.15,0.42,21.9,3.0,1.0,2.0,6.4,4.7,0.07,4.6,5.3,563.0,878.0,64.1,9510.0,3315.0,284.0,370.0,76.8,181.0,275.0,65.8,65.0,130.0,50.0,6.0,4.0,4.8,2.0,43.0,52.0,52.0,15.0,120.0,878.0,782.0,93.0,24.0,7.0,16.0,110.0,29.0,31.0,14.0,10.0,0.0,563.0,3.0,42.0,105.0,3.63,60.0,14.0,13.0,6.0,12.0,0.0,19.0,0.66,10.0,1.0,4.0,1.0,3.0,0.0,21.0,14.0,6.0,7.0,8.0,2.0,22.0,9.1,20.0,14.0,0.0,14.0,9.0,30.0,1.0,0.0,1208.0,5.0,81.0,431.0,723.0,88.0,1206.0,124.0,64.0,51.6,60.0,48.4,814.0,5982.0,3060.0,93.0,79.0,21.0,99.0,46.0,916.0,245.0,36,2606.0,72.0,76.2,29.0,30,83.0,14,6,20.0,1,1.25,40.0,42.0,-2.0,-0.07,0.26,30.3,35.2,-4.9,-0.17,0.25,3.0,0.0,0.0,37.0,74.0,5.0,110.0,9.0,14.0,1.0,0.0,0.0,108.0,16.0,29.0,35.6
Carlos Soler,es ESP,MF,24.0,27.5,11.0,34.0,14.0,41.2,1.24,0.51,0.12,0.29,23.7,6.0,7.0,7.0,9.1,3.5,0.1,1.9,0.5,659.0,982.0,67.1,11941.0,4070.0,295.0,343.0,86.0,226.0,312.0,72.4,103.0,249.0,41.4,5.0,4.0,4.4,1.0,53.0,71.0,28.0,4.0,101.0,982.0,764.0,211.0,121.0,3.0,22.0,147.0,3.0,85.0,35.0,40.0,1.0,659.0,7.0,18.0,88.0,3.2,46.0,37.0,0.0,2.0,3.0,0.0,8.0,0.29,4.0,4.0,0.0,0.0,0.0,0.0,29.0,19.0,10.0,15.0,4.0,11.0,37.0,29.7,26.0,19.0,4.0,15.0,14.0,43.0,28.0,0.0,1222.0,41.0,194.0,546.0,505.0,53.0,1215.0,38.0,19.0,50.0,19.0,50.0,608.0,3363.0,1817.0,40.0,40.0,5.0,39.0,13.0,671.0,89.0,32,2474.0,77.0,72.3,27.5,28,83.0,15,4,39.0,0,1.41,38.0,33.0,5.0,0.18,1.13,28.6,32.2,-3.6,-0.13,0.36,4.0,0.0,0.0,21.0,46.0,2.0,147.0,14.0,19.0,0.0,0.0,0.0,138.0,12.0,17.0,41.4
Omar Alderete,py PAR,DF,24.0,26.7,2.0,18.0,5.0,27.8,0.67,0.19,0.11,0.4,16.7,0.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2,580.0,961.0,60.4,13798.0,6805.0,153.0,200.0,76.5,276.0,378.0,73.0,141.0,350.0,40.3,0.0,0.1,0.5,-0.1,4.0,78.0,7.0,0.0,89.0,961.0,899.0,57.0,52.0,0.0,41.0,4.0,2.0,0.0,0.0,0.0,0.0,580.0,5.0,6.0,17.0,0.64,14.0,1.0,1.0,0.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,53.0,34.0,34.0,17.0,2.0,34.0,53.0,64.2,19.0,30.0,18.0,12.0,35.0,88.0,153.0,0.0,1292.0,185.0,658.0,596.0,56.0,25.0,1292.0,14.0,13.0,92.9,1.0,7.1,587.0,3421.0,2219.0,17.0,14.0,2.0,19.0,4.0,546.0,3.0,29,2403.0,83.0,70.3,26.7,28,84.0,20,1,45.0,3,1.21,32.0,34.0,-2.0,-0.07,0.19,26.7,32.1,-5.4,-0.2,0.1,15.0,0.0,0.0,42.0,7.0,0.0,4.0,35.0,34.0,0.0,2.0,0.0,158.0,69.0,39.0,63.9
Hugo Guillamón,es ESP,"MF,DF",21.0,26.2,1.0,7.0,2.0,28.6,0.27,0.08,0.14,0.5,18.2,0.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,890.0,1112.0,80.0,17589.0,5544.0,343.0,410.0,83.7,364.0,427.0,85.2,148.0,216.0,68.5,0.0,0.4,0.7,-0.4,13.0,113.0,16.0,1.0,139.0,1112.0,999.0,112.0,99.0,2.0,21.0,6.0,6.0,2.0,1.0,1.0,0.0,890.0,1.0,15.0,33.0,1.26,28.0,0.0,1.0,1.0,2.0,1.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,43.0,27.0,20.0,16.0,7.0,18.0,44.0,40.9,26.0,26.0,10.0,16.0,30.0,73.0,53.0,1.0,1333.0,83.0,398.0,767.0,178.0,10.0,1333.0,16.0,10.0,62.5,6.0,37.5,684.0,3156.0,1535.0,11.0,16.0,2.0,27.0,21.0,738.0,19.0,31,2361.0,76.0,69.0,26.2,28,82.0,19,3,23.0,2,1.32,38.0,40.0,-2.0,-0.08,0.18,25.2,33.6,-8.4,-0.32,-0.29,11.0,2.0,1.0,71.0,63.0,2.0,6.0,30.0,27.0,0.0,0.0,1.0,169.0,48.0,39.0,55.2
Dimitri Foulquier,fr FRA,DF,28.0,26.0,0.0,16.0,5.0,31.3,0.61,0.19,0.0,0.0,21.9,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,702.0,1014.0,69.2,12016.0,5268.0,343.0,397.0,86.4,283.0,392.0,72.2,60.0,155.0,38.7,1.0,0.6,0.7,0.4,11.0,68.0,12.0,7.0,80.0,1014.0,765.0,247.0,25.0,0.0,10.0,60.0,222.0,0.0,0.0,0.0,0.0,702.0,2.0,36.0,33.0,1.27,21.0,2.0,3.0,2.0,5.0,0.0,5.0,0.19,1.0,2.0,0.0,0.0,2.0,0.0,36.0,17.0,17.0,15.0,4.0,21.0,34.0,61.8,13.0,19.0,3.0,16.0,29.0,65.0,49.0,0.0,1243.0,67.0,354.0,612.0,289.0,14.0,1243.0,33.0,23.0,69.7,10.0,30.3,584.0,3750.0,2078.0,39.0,34.0,3.0,21.0,13.0,557.0,31.0,29,2342.0,81.0,68.5,26.0,25,89.0,23,4,31.0,0,1.17,30.0,36.0,-6.0,-0.23,-0.31,25.0,29.2,-4.2,-0.16,0.21,11.0,0.0,0.0,39.0,40.0,1.0,60.0,29.0,17.0,1.0,1.0,0.0,164.0,20.0,22.0,47.6
José Luis Gayà,es ESP,DF,26.0,20.8,2.0,18.0,9.0,50.0,0.87,0.43,0.11,0.22,20.3,1.0,0.0,0.0,1.2,1.2,0.07,0.8,0.8,650.0,903.0,72.0,11938.0,4642.0,282.0,326.0,86.5,281.0,360.0,78.1,78.0,176.0,44.3,4.0,2.6,2.5,1.4,23.0,38.0,31.0,18.0,67.0,903.0,683.0,219.0,31.0,2.0,16.0,94.0,186.0,2.0,1.0,0.0,1.0,650.0,1.0,22.0,44.0,2.12,38.0,4.0,0.0,1.0,1.0,0.0,7.0,0.34,6.0,0.0,0.0,0.0,1.0,0.0,35.0,21.0,24.0,10.0,1.0,16.0,34.0,47.1,18.0,17.0,3.0,14.0,19.0,54.0,37.0,0.0,1083.0,51.0,326.0,452.0,319.0,21.0,1083.0,29.0,16.0,55.2,13.0,44.8,526.0,2548.0,1240.0,36.0,35.0,3.0,13.0,5.0,556.0,92.0,24,1871.0,78.0,54.7,20.8,22,83.0,16,2,21.0,0,1.33,31.0,32.0,-1.0,-0.05,0.18,25.4,27.5,-2.1,-0.1,0.28,8.0,2.0,1.0,34.0,21.0,4.0,94.0,19.0,21.0,1.0,1.0,0.0,111.0,8.0,15.0,34.8
Hugo Duro,es ESP,"FW,MF",21.0,20.4,7.0,31.0,15.0,48.4,1.52,0.74,0.23,0.47,11.7,0.0,0.0,0.0,3.5,3.5,0.11,3.5,3.5,271.0,391.0,69.3,3247.0,671.0,149.0,210.0,71.0,73.0,96.0,76.0,7.0,15.0,46.7,1.0,0.7,0.9,0.3,14.0,12.0,3.0,0.0,21.0,391.0,367.0,21.0,1.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,271.0,3.0,12.0,34.0,1.67,21.0,1.0,3.0,1.0,7.0,1.0,7.0,0.34,2.0,0.0,1.0,1.0,2.0,1.0,25.0,19.0,11.0,13.0,1.0,15.0,38.0,39.5,23.0,24.0,2.0,22.0,4.0,29.0,20.0,1.0,623.0,24.0,85.0,251.0,290.0,60.0,623.0,25.0,13.0,52.0,12.0,48.0,332.0,1196.0,454.0,12.0,15.0,8.0,57.0,32.0,413.0,87.0,30,1834.0,61.0,53.6,20.4,22,76.0,4,8,20.0,1,1.2,27.0,28.0,-1.0,-0.05,0.18,20.1,21.9,-1.8,-0.09,0.31,3.0,1.0,1.0,29.0,44.0,7.0,12.0,4.0,19.0,2.0,1.0,0.0,64.0,39.0,68.0,36.4
Maxi Gómez,uy URU,FW,24.0,21.7,5.0,43.0,13.0,30.2,1.98,0.6,0.12,0.38,18.1,6.0,0.0,0.0,4.8,4.8,0.11,0.2,0.2,254.0,411.0,61.8,3630.0,715.0,152.0,226.0,67.3,72.0,107.0,67.3,15.0,30.0,50.0,1.0,1.9,1.4,-0.9,18.0,20.0,11.0,2.0,32.0,411.0,392.0,15.0,0.0,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.0,254.0,4.0,8.0,57.0,2.62,36.0,0.0,2.0,4.0,15.0,0.0,6.0,0.28,3.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,2.0,5.0,8.0,62.5,3.0,5.0,1.0,4.0,3.0,8.0,22.0,0.0,601.0,23.0,40.0,260.0,306.0,78.0,601.0,18.0,5.0,27.8,13.0,72.2,323.0,1338.0,514.0,22.0,14.0,10.0,58.0,19.0,485.0,91.0,29,1956.0,67.0,57.2,21.7,21,82.0,9,8,30.0,0,1.31,27.0,28.0,-1.0,-0.05,0.2,22.2,26.4,-4.2,-0.19,0.08,7.0,1.0,1.0,49.0,55.0,10.0,19.0,3.0,3.0,1.0,0.0,0.0,48.0,82.0,67.0,55.0
Mouctar Diakhaby,gn GUI,DF,24.0,21.6,0.0,8.0,2.0,25.0,0.37,0.09,0.0,0.0,9.9,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6,540.0,726.0,74.4,11887.0,4496.0,146.0,186.0,78.5,293.0,338.0,86.7,95.0,189.0,50.3,1.0,0.2,0.3,0.8,4.0,51.0,2.0,1.0,51.0,726.0,688.0,38.0,31.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,540.0,0.0,5.0,10.0,0.46,6.0,1.0,1.0,0.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,18.0,15.0,2.0,13.0,23.0,56.5,10.0,29.0,17.0,12.0,30.0,65.0,87.0,3.0,975.0,154.0,507.0,419.0,59.0,19.0,975.0,19.0,13.0,68.4,6.0,31.6,484.0,2530.0,1364.0,18.0,8.0,1.0,15.0,4.0,445.0,7.0,29,1948.0,67.0,57.0,21.6,21,85.0,17,8,20.0,4,1.31,23.0,35.0,-12.0,-0.55,-0.98,19.9,31.6,-11.7,-0.54,-0.73,11.0,0.0,0.0,26.0,16.0,1.0,5.0,30.0,24.0,0.0,1.0,2.0,144.0,33.0,29.0,53.2
Gabriel Paulista,br BRA,DF,30.0,17.7,2.0,6.0,3.0,50.0,0.34,0.17,0.33,0.67,16.5,0.0,0.0,0.0,0.8,0.8,0.13,1.2,1.2,495.0,639.0,77.5,10957.0,4270.0,135.0,161.0,83.9,260.0,308.0,84.4,97.0,154.0,63.0,1.0,0.2,0.1,0.8,4.0,33.0,2.0,0.0,35.0,639.0,574.0,63.0,52.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,495.0,2.0,6.0,10.0,0.57,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,16.0,5.0,0.0,14.0,20.0,70.0,6.0,18.0,12.0,6.0,39.0,60.0,88.0,0.0,823.0,152.0,475.0,346.0,15.0,7.0,823.0,2.0,1.0,50.0,1.0,50.0,380.0,2035.0,1132.0,9.0,1.0,0.0,9.0,3.0,332.0,1.0,19,1592.0,84.0,46.5,17.7,19,84.0,15,0,,2,1.42,22.0,17.0,5.0,0.28,0.78,15.7,17.1,-1.4,-0.08,0.28,2.0,0.0,0.0,11.0,12.0,1.0,0.0,39.0,12.0,0.0,0.0,0.0,125.0,38.0,19.0,66.7
