player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Fernando,es ESP,GK,32.0,36.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,919.0,1313.0,70.0,27494.0,20366.0,132.0,133.0,99.2,440.0,448.0,98.2,342.0,721.0,47.4,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1313.0,836.0,472.0,131.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,5.0,1.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,20.0,3.0,1409.0,1270.0,1403.0,6.0,0.0,0.0,1409.0,1.0,1.0,100.0,0.0,0.0,703.0,3796.0,2345.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,37,3285.0,89.0,96.1,36.5,37,89.0,36,0,,1,1.11,48.0,61.0,-13.0,-0.36,1.64,44.2,60.3,-16.1,-0.44,0.18,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,2.0,1.0,66.7
Rodrigo Ely,br BRA,DF,28.0,35.1,0.0,19.0,1.0,5.3,0.54,0.03,0.0,0.0,14.7,1.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,1197.0,1475.0,81.2,26201.0,10151.0,292.0,339.0,86.1,705.0,777.0,90.7,192.0,336.0,57.1,1.0,0.8,0.6,0.2,6.0,54.0,3.0,0.0,52.0,1475.0,1393.0,78.0,75.0,2.0,16.0,3.0,2.0,0.0,0.0,0.0,0.0,1197.0,4.0,6.0,21.0,0.6,14.0,1.0,1.0,5.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,26.0,4.0,0.0,18.0,25.0,72.0,7.0,46.0,33.0,13.0,31.0,61.0,203.0,1.0,1857.0,376.0,1164.0,646.0,54.0,30.0,1857.0,7.0,5.0,71.4,1.0,14.3,964.0,3809.0,1958.0,6.0,8.0,1.0,16.0,2.0,1084.0,4.0,36,3155.0,88.0,92.3,35.1,36,88.0,33,0,,0,1.03,45.0,61.0,-16.0,-0.46,-0.46,38.8,57.8,-18.9,-0.54,-1.18,10.0,1.0,1.0,25.0,14.0,2.0,3.0,31.0,21.0,0.0,0.0,1.0,142.0,79.0,38.0,67.5
Lucas Robertone,ar ARG,MF,25.0,31.6,2.0,37.0,7.0,18.9,1.17,0.22,0.05,0.29,25.4,4.0,0.0,0.0,2.6,2.6,0.07,-0.6,-0.6,1051.0,1364.0,77.1,18461.0,6242.0,507.0,573.0,88.5,369.0,437.0,84.4,135.0,269.0,50.2,7.0,6.6,4.5,0.4,53.0,115.0,34.0,13.0,155.0,1364.0,1211.0,147.0,68.0,10.0,15.0,137.0,12.0,64.0,25.0,34.0,0.0,1051.0,6.0,18.0,109.0,3.45,74.0,25.0,3.0,2.0,4.0,1.0,11.0,0.35,6.0,4.0,1.0,0.0,0.0,0.0,50.0,28.0,20.0,21.0,9.0,28.0,64.0,43.8,36.0,45.0,7.0,38.0,46.0,96.0,46.0,1.0,1711.0,67.0,345.0,918.0,479.0,38.0,1711.0,68.0,27.0,39.7,30.0,44.1,928.0,4923.0,2510.0,47.0,48.0,7.0,44.0,19.0,1081.0,97.0,37,2843.0,77.0,83.1,31.6,34,81.0,12,3,33.0,0,1.11,44.0,47.0,-3.0,-0.09,1.93,37.3,47.7,-10.3,-0.33,0.72,7.0,0.0,0.0,33.0,89.0,3.0,137.0,46.0,28.0,0.0,0.0,0.0,207.0,20.0,36.0,35.7
Srđan Babić,rs SRB,DF,26.0,33.3,3.0,9.0,5.0,55.6,0.27,0.15,0.33,0.6,10.1,0.0,0.0,0.0,1.2,1.2,0.13,1.8,1.8,1172.0,1373.0,85.4,23290.0,8365.0,382.0,420.0,91.0,637.0,700.0,91.0,142.0,223.0,63.7,0.0,0.3,0.4,-0.3,7.0,55.0,3.0,1.0,63.0,1373.0,1295.0,71.0,65.0,1.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,1172.0,7.0,9.0,20.0,0.6,18.0,0.0,0.0,2.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,28.0,18.0,20.0,8.0,0.0,15.0,32.0,46.9,17.0,34.0,22.0,12.0,29.0,57.0,124.0,1.0,1640.0,237.0,976.0,633.0,43.0,16.0,1640.0,8.0,4.0,50.0,4.0,50.0,891.0,4831.0,2792.0,21.0,13.0,1.0,10.0,3.0,1013.0,5.0,34,2998.0,88.0,87.7,33.3,33,89.0,32,1,45.0,3,1.15,42.0,56.0,-14.0,-0.42,0.01,39.5,51.7,-12.2,-0.37,0.67,5.0,0.0,0.0,24.0,9.0,2.0,2.0,29.0,18.0,0.0,0.0,0.0,136.0,71.0,46.0,60.7
Sergio Akieme,es ESP,DF,24.0,25.5,1.0,23.0,7.0,30.4,0.9,0.27,0.04,0.14,20.2,0.0,0.0,0.0,1.5,1.5,0.07,-0.5,-0.5,821.0,1061.0,77.4,13314.0,5012.0,430.0,485.0,88.7,315.0,386.0,81.6,52.0,128.0,40.6,0.0,2.0,2.2,-2.0,21.0,43.0,22.0,17.0,58.0,1061.0,824.0,230.0,25.0,3.0,13.0,70.0,205.0,0.0,0.0,0.0,0.0,821.0,7.0,20.0,36.0,1.41,29.0,1.0,1.0,3.0,0.0,2.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0,27.0,16.0,19.0,6.0,2.0,12.0,22.0,54.5,10.0,22.0,6.0,16.0,14.0,41.0,41.0,0.0,1283.0,78.0,434.0,563.0,307.0,35.0,1283.0,51.0,27.0,52.9,18.0,35.3,660.0,4200.0,2232.0,60.0,34.0,11.0,29.0,25.0,710.0,84.0,29,2297.0,79.0,67.2,25.5,27,84.0,23,2,9.0,4,0.93,31.0,45.0,-14.0,-0.55,-0.39,29.6,42.8,-13.3,-0.52,-0.22,5.0,0.0,0.0,20.0,18.0,0.0,70.0,14.0,16.0,0.0,0.0,0.0,127.0,14.0,15.0,48.3
Gonzalo Melero,es ESP,MF,28.0,20.6,4.0,23.0,10.0,43.5,1.12,0.49,0.13,0.3,17.2,0.0,1.0,1.0,3.0,2.3,0.1,1.0,0.7,652.0,755.0,86.4,10427.0,2627.0,329.0,365.0,90.1,243.0,276.0,88.0,52.0,63.0,82.5,3.0,1.8,1.3,1.2,19.0,72.0,13.0,0.0,97.0,755.0,736.0,17.0,9.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,652.0,2.0,15.0,53.0,2.57,45.0,1.0,1.0,5.0,1.0,0.0,6.0,0.29,5.0,0.0,0.0,1.0,0.0,0.0,32.0,16.0,9.0,18.0,5.0,11.0,39.0,28.2,28.0,23.0,2.0,21.0,7.0,39.0,19.0,1.0,943.0,44.0,204.0,526.0,221.0,35.0,942.0,36.0,17.0,47.2,18.0,50.0,573.0,2999.0,1408.0,31.0,28.0,4.0,37.0,19.0,672.0,37.0,27,1855.0,69.0,54.2,20.6,24,74.0,1,3,30.0,2,1.26,34.0,28.0,6.0,0.29,1.56,26.6,29.5,-2.9,-0.14,0.68,5.0,0.0,0.0,24.0,30.0,3.0,2.0,7.0,16.0,0.0,0.0,0.0,96.0,14.0,17.0,45.2
Léo Baptistão,br BRA,"FW,MF",29.0,19.2,5.0,45.0,16.0,35.6,2.35,0.83,0.11,0.31,14.9,0.0,0.0,0.0,4.9,4.9,0.11,0.1,0.1,359.0,540.0,66.5,5742.0,1514.0,179.0,229.0,78.2,124.0,178.0,69.7,30.0,66.0,45.5,1.0,1.2,0.9,-0.2,18.0,30.0,13.0,3.0,51.0,540.0,526.0,11.0,2.0,6.0,7.0,18.0,8.0,0.0,0.0,0.0,0.0,359.0,3.0,25.0,53.0,2.77,37.0,0.0,4.0,8.0,2.0,2.0,3.0,0.16,2.0,0.0,0.0,1.0,0.0,0.0,32.0,20.0,13.0,16.0,3.0,13.0,33.0,39.4,20.0,17.0,2.0,15.0,19.0,51.0,12.0,0.0,789.0,16.0,158.0,391.0,262.0,61.0,789.0,36.0,14.0,38.9,16.0,44.4,465.0,2611.0,1484.0,38.0,31.0,9.0,56.0,17.0,525.0,83.0,28,1726.0,62.0,50.5,19.2,24,69.0,1,4,19.0,1,1.29,28.0,30.0,-2.0,-0.1,0.64,20.6,28.7,-8.2,-0.43,0.05,7.0,0.0,0.0,30.0,23.0,10.0,18.0,19.0,20.0,0.0,0.0,0.0,104.0,27.0,40.0,40.3
Samu Costa,pt POR,MF,21.0,22.1,1.0,20.0,7.0,35.0,0.9,0.32,0.05,0.14,20.0,2.0,0.0,0.0,1.7,1.7,0.08,-0.7,-0.7,864.0,1097.0,78.8,15886.0,5134.0,383.0,439.0,87.2,368.0,428.0,86.0,102.0,169.0,60.4,2.0,1.0,1.0,1.0,13.0,68.0,11.0,0.0,91.0,1097.0,1048.0,41.0,37.0,4.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,864.0,8.0,28.0,47.0,2.13,37.0,1.0,1.0,2.0,3.0,3.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,61.0,31.0,35.0,20.0,6.0,29.0,61.0,47.5,32.0,29.0,7.0,22.0,37.0,98.0,64.0,4.0,1395.0,96.0,478.0,774.0,153.0,16.0,1395.0,22.0,9.0,40.9,12.0,54.5,717.0,2783.0,1113.0,9.0,8.0,1.0,31.0,13.0,856.0,24.0,32,1989.0,62.0,58.2,22.1,22,83.0,15,10,16.0,6,1.16,23.0,47.0,-24.0,-1.09,-1.59,23.8,41.5,-17.7,-0.8,-0.84,5.0,0.0,0.0,51.0,44.0,4.0,8.0,37.0,31.0,0.0,0.0,0.0,143.0,48.0,24.0,66.7
Alejandro Pozo Pozo,es ESP,DF,23.0,20.9,0.0,10.0,2.0,20.0,0.48,0.1,0.0,0.0,20.4,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,814.0,1117.0,72.9,13478.0,5554.0,421.0,470.0,89.6,303.0,392.0,77.3,72.0,174.0,41.4,3.0,3.6,2.6,-0.6,24.0,40.0,21.0,16.0,64.0,1117.0,912.0,197.0,13.0,0.0,5.0,70.0,184.0,0.0,0.0,0.0,0.0,814.0,8.0,32.0,49.0,2.35,38.0,6.0,2.0,2.0,0.0,1.0,7.0,0.34,7.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,17.0,17.0,3.0,27.0,53.0,50.9,26.0,30.0,5.0,25.0,26.0,63.0,45.0,1.0,1323.0,55.0,441.0,576.0,319.0,30.0,1323.0,24.0,12.0,50.0,10.0,41.7,625.0,2824.0,1563.0,44.0,31.0,10.0,27.0,9.0,721.0,90.0,30,1880.0,63.0,55.0,20.9,20,83.0,14,10,22.0,3,1.33,27.0,26.0,1.0,0.05,1.04,27.1,30.4,-3.3,-0.16,0.65,2.0,0.0,0.0,15.0,14.0,1.0,70.0,26.0,19.0,0.0,1.0,0.0,138.0,12.0,23.0,34.3
César de la Hoz,es ESP,MF,30.0,18.6,1.0,7.0,1.0,14.3,0.38,0.05,0.14,1.0,20.7,0.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,435.0,556.0,78.2,8183.0,2869.0,185.0,212.0,87.3,189.0,226.0,83.6,56.0,93.0,60.2,0.0,0.9,0.9,-0.9,5.0,54.0,5.0,2.0,49.0,556.0,538.0,13.0,13.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,435.0,5.0,7.0,18.0,0.97,15.0,0.0,2.0,1.0,0.0,0.0,2.0,0.11,1.0,0.0,1.0,0.0,0.0,0.0,37.0,20.0,17.0,18.0,2.0,19.0,37.0,51.4,18.0,26.0,6.0,20.0,13.0,50.0,37.0,0.0,723.0,54.0,247.0,427.0,51.0,10.0,723.0,8.0,4.0,50.0,4.0,50.0,324.0,1233.0,543.0,3.0,5.0,0.0,12.0,4.0,391.0,6.0,25,1673.0,67.0,48.9,18.6,18,84.0,12,7,23.0,8,1.48,25.0,30.0,-5.0,-0.27,0.3,24.5,27.3,-2.7,-0.15,0.59,6.0,0.0,0.0,21.0,12.0,0.0,3.0,13.0,20.0,0.0,1.0,0.0,83.0,24.0,29.0,45.3
