player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Iñaki Williams,gh GHA,FW,28.0,31.5,10.0,83.0,32.0,38.6,2.63,1.02,0.11,0.28,15.1,0.0,1.0,2.0,10.7,9.1,0.11,-0.7,-0.1,531.0,827.0,64.2,7395.0,1648.0,315.0,403.0,78.2,160.0,260.0,61.5,25.0,57.0,43.9,3.0,4.8,4.1,-1.8,38.0,24.0,27.0,9.0,61.0,827.0,773.0,50.0,1.0,3.0,6.0,98.0,15.0,0.0,0.0,0.0,0.0,531.0,4.0,49.0,85.0,2.7,62.0,0.0,12.0,6.0,4.0,1.0,9.0,0.29,6.0,0.0,1.0,1.0,1.0,0.0,22.0,16.0,5.0,14.0,3.0,9.0,24.0,37.5,15.0,18.0,3.0,15.0,7.0,29.0,34.0,0.0,1182.0,38.0,103.0,389.0,707.0,181.0,1180.0,105.0,47.0,44.8,48.0,45.7,756.0,5180.0,2721.0,127.0,53.0,57.0,73.0,42.0,915.0,341.0,36,2836.0,79.0,82.9,31.5,34,82.0,15,2,25.0,0,1.33,37.0,35.0,2.0,0.06,-0.24,44.2,28.7,15.5,0.49,0.21,2.0,0.0,0.0,31.0,31.0,22.0,98.0,7.0,16.0,0.0,0.0,0.0,76.0,32.0,36.0,47.1
Óscar de Marcos,es ESP,DF,33.0,31.3,1.0,4.0,2.0,50.0,0.13,0.06,0.25,0.5,20.3,0.0,0.0,0.0,0.4,0.4,0.1,0.6,0.6,1499.0,1932.0,77.6,25216.0,9281.0,749.0,849.0,88.2,608.0,764.0,79.6,119.0,217.0,54.8,6.0,3.5,4.5,2.5,37.0,170.0,50.0,23.0,204.0,1932.0,1552.0,372.0,32.0,0.0,11.0,130.0,340.0,0.0,0.0,0.0,0.0,1499.0,8.0,52.0,75.0,2.39,63.0,7.0,1.0,1.0,1.0,2.0,9.0,0.29,8.0,0.0,1.0,0.0,0.0,0.0,67.0,33.0,34.0,22.0,11.0,40.0,76.0,52.6,36.0,42.0,6.0,36.0,29.0,96.0,59.0,0.0,2218.0,93.0,525.0,1042.0,671.0,34.0,2218.0,31.0,12.0,38.7,17.0,54.8,1119.0,4785.0,2851.0,76.0,68.0,8.0,26.0,19.0,1245.0,153.0,37,2819.0,76.0,82.4,31.3,32,84.0,22,5,25.0,0,1.3,41.0,34.0,7.0,0.22,0.67,45.1,27.9,17.2,0.55,0.52,7.0,0.0,0.0,43.0,16.0,2.0,130.0,29.0,33.0,0.0,0.0,1.0,198.0,25.0,23.0,52.1
Nico Williams,es ESP,FW,20.0,29.5,6.0,61.0,20.0,32.8,2.07,0.68,0.1,0.3,17.7,1.0,0.0,0.0,4.9,4.9,0.08,1.1,1.1,634.0,951.0,66.7,9342.0,2394.0,381.0,455.0,83.7,196.0,289.0,67.8,42.0,101.0,41.6,4.0,6.4,4.1,-2.4,46.0,24.0,36.0,12.0,80.0,951.0,872.0,75.0,5.0,4.0,5.0,174.0,4.0,66.0,17.0,32.0,0.0,634.0,4.0,64.0,105.0,3.56,66.0,12.0,18.0,4.0,4.0,1.0,9.0,0.31,5.0,0.0,2.0,1.0,1.0,0.0,31.0,16.0,10.0,15.0,6.0,19.0,41.0,46.3,22.0,40.0,2.0,38.0,8.0,39.0,14.0,1.0,1382.0,11.0,132.0,376.0,898.0,148.0,1382.0,200.0,83.0,41.5,91.0,45.5,891.0,7039.0,3996.0,174.0,69.0,64.0,87.0,45.0,963.0,321.0,36,2656.0,74.0,77.7,29.5,32,79.0,9,4,30.0,0,1.42,43.0,30.0,13.0,0.44,1.5,42.6,26.7,15.9,0.54,0.38,3.0,0.0,0.0,23.0,35.0,14.0,174.0,8.0,16.0,1.0,0.0,0.0,147.0,20.0,27.0,42.6
Oihan Sancet,es ESP,MF,22.0,28.1,10.0,56.0,19.0,33.9,1.99,0.68,0.14,0.42,17.6,0.0,2.0,2.0,7.6,6.0,0.11,2.4,2.0,788.0,975.0,80.8,11658.0,3001.0,453.0,516.0,87.8,271.0,329.0,82.4,41.0,59.0,69.5,2.0,4.2,2.4,-2.2,44.0,88.0,27.0,1.0,159.0,975.0,936.0,28.0,13.0,9.0,3.0,17.0,1.0,3.0,0.0,2.0,0.0,788.0,11.0,19.0,95.0,3.38,76.0,1.0,7.0,5.0,5.0,1.0,6.0,0.21,4.0,0.0,0.0,1.0,1.0,0.0,27.0,16.0,2.0,19.0,6.0,11.0,37.0,29.7,26.0,10.0,0.0,10.0,4.0,31.0,9.0,1.0,1269.0,17.0,114.0,623.0,561.0,80.0,1267.0,83.0,46.0,55.4,25.0,30.1,847.0,5286.0,2806.0,91.0,71.0,17.0,82.0,61.0,981.0,156.0,36,2532.0,70.0,74.0,28.1,32,75.0,6,4,36.0,0,1.39,38.0,29.0,9.0,0.32,0.83,39.3,28.0,11.2,0.4,-0.22,6.0,1.0,0.0,41.0,54.0,2.0,17.0,4.0,16.0,0.0,0.0,0.0,140.0,24.0,22.0,52.2
Unai Simón,es ESP,GK,25.0,30.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,690.0,951.0,72.6,19697.0,14574.0,94.0,95.0,98.9,383.0,393.0,97.5,212.0,459.0,46.2,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,951.0,703.0,245.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,3.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,3.0,1007.0,810.0,1001.0,7.0,0.0,0.0,1007.0,0.0,0.0,,0.0,,598.0,3166.0,1823.0,0.0,0.0,0.0,1.0,0.0,480.0,0.0,31,2745.0,89.0,80.3,30.5,31,89.0,30,0,,4,1.45,42.0,37.0,5.0,0.16,0.3,44.0,29.9,14.1,0.46,0.03,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,
Mikel Vesga,es ESP,MF,29.0,28.6,3.0,25.0,3.0,12.0,0.87,0.1,0.04,0.33,21.9,0.0,2.0,3.0,3.9,1.5,0.06,-0.9,-0.5,1259.0,1510.0,83.4,22687.0,6824.0,562.0,655.0,85.8,513.0,582.0,88.1,152.0,197.0,77.2,3.0,1.5,1.8,1.5,20.0,193.0,21.0,4.0,199.0,1510.0,1489.0,13.0,11.0,2.0,19.0,12.0,1.0,0.0,0.0,0.0,0.0,1259.0,8.0,16.0,54.0,1.89,49.0,0.0,0.0,3.0,1.0,1.0,6.0,0.21,3.0,0.0,0.0,1.0,1.0,1.0,57.0,35.0,21.0,31.0,5.0,25.0,68.0,36.8,43.0,39.0,8.0,31.0,36.0,93.0,39.0,3.0,1800.0,66.0,338.0,1118.0,355.0,32.0,1797.0,18.0,10.0,55.6,8.0,44.4,962.0,4175.0,1995.0,26.0,29.0,4.0,38.0,16.0,1152.0,31.0,36,2575.0,72.0,75.3,28.6,28,86.0,21,8,22.0,0,1.33,32.0,30.0,2.0,0.07,-0.14,40.2,26.5,13.6,0.48,0.09,5.0,0.0,0.0,44.0,21.0,0.0,12.0,36.0,35.0,1.0,0.0,1.0,201.0,65.0,48.0,57.5
Yuri Berchiche,es ESP,DF,32.0,26.7,1.0,28.0,7.0,25.0,1.05,0.26,0.04,0.14,20.4,0.0,0.0,0.0,1.3,1.3,0.05,-0.3,-0.3,1304.0,1580.0,82.5,22195.0,8668.0,640.0,703.0,91.0,537.0,634.0,84.7,105.0,153.0,68.6,1.0,1.4,1.7,-0.4,21.0,146.0,31.0,14.0,179.0,1580.0,1263.0,311.0,44.0,2.0,22.0,66.0,267.0,0.0,0.0,0.0,0.0,1304.0,6.0,34.0,59.0,2.21,47.0,6.0,2.0,3.0,1.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,56.0,32.0,28.0,20.0,8.0,35.0,59.0,59.3,24.0,37.0,12.0,25.0,40.0,96.0,59.0,1.0,1865.0,92.0,478.0,899.0,506.0,24.0,1865.0,30.0,12.0,40.0,15.0,50.0,966.0,4831.0,2537.0,59.0,45.0,3.0,22.0,14.0,1047.0,95.0,29,2406.0,83.0,70.4,26.7,27,87.0,24,2,28.0,1,1.1,23.0,32.0,-9.0,-0.34,-1.49,35.7,27.8,7.9,0.29,-0.54,9.0,1.0,1.0,31.0,33.0,5.0,66.0,40.0,32.0,1.0,1.0,0.0,173.0,51.0,26.0,66.2
Yeray Álvarez,es ESP,DF,27.0,25.9,1.0,8.0,1.0,12.5,0.31,0.04,0.13,1.0,16.0,0.0,0.0,0.0,0.8,0.8,0.1,0.2,0.2,1123.0,1392.0,80.7,23716.0,9040.0,357.0,404.0,88.4,596.0,671.0,88.8,163.0,287.0,56.8,1.0,1.1,0.8,-0.1,14.0,137.0,11.0,4.0,152.0,1392.0,1308.0,80.0,72.0,5.0,35.0,9.0,2.0,0.0,0.0,0.0,0.0,1123.0,4.0,12.0,28.0,1.08,24.0,1.0,0.0,1.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,26.0,7.0,1.0,24.0,31.0,77.4,7.0,23.0,13.0,10.0,48.0,82.0,101.0,0.0,1651.0,161.0,698.0,896.0,74.0,16.0,1651.0,11.0,6.0,54.5,1.0,9.1,898.0,6084.0,4073.0,32.0,17.0,1.0,8.0,1.0,915.0,8.0,28,2332.0,83.0,68.2,25.9,27,86.0,21,1,12.0,2,1.5,33.0,30.0,3.0,0.12,0.03,33.0,25.1,7.9,0.3,-0.48,7.0,1.0,0.0,22.0,22.0,1.0,9.0,48.0,23.0,0.0,2.0,0.0,194.0,55.0,39.0,58.5
Daniel Vivian,es ESP,DF,23.0,26.4,1.0,13.0,2.0,15.4,0.49,0.08,0.08,0.5,12.7,0.0,0.0,0.0,1.2,1.2,0.09,-0.2,-0.2,1165.0,1442.0,80.8,25085.0,9283.0,316.0,359.0,88.0,654.0,734.0,89.1,191.0,311.0,61.4,0.0,0.7,0.5,-0.7,6.0,118.0,3.0,0.0,124.0,1442.0,1381.0,56.0,49.0,1.0,27.0,6.0,6.0,0.0,0.0,0.0,0.0,1165.0,5.0,15.0,17.0,0.64,13.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,32.0,36.0,16.0,5.0,36.0,45.0,80.0,9.0,27.0,14.0,13.0,24.0,81.0,90.0,3.0,1719.0,143.0,804.0,857.0,71.0,26.0,1719.0,11.0,4.0,36.4,6.0,54.5,1028.0,5804.0,3819.0,25.0,12.0,0.0,21.0,14.0,1039.0,5.0,29,2376.0,82.0,69.5,26.4,26,90.0,25,3,12.0,4,1.31,28.0,24.0,4.0,0.15,0.15,35.4,24.7,10.7,0.4,-0.17,7.0,1.0,0.0,38.0,21.0,2.0,6.0,24.0,32.0,0.0,0.0,0.0,214.0,40.0,55.0,42.1
Álex Berenguer,es ESP,FW,27.0,25.5,4.0,56.0,19.0,33.9,2.19,0.74,0.07,0.21,18.0,4.0,0.0,0.0,4.3,4.3,0.08,-0.3,-0.3,630.0,955.0,66.0,9379.0,2766.0,372.0,441.0,84.4,163.0,266.0,61.3,62.0,152.0,40.8,1.0,4.6,5.2,-3.6,52.0,25.0,41.0,16.0,77.0,955.0,792.0,151.0,35.0,0.0,2.0,162.0,15.0,100.0,36.0,32.0,1.0,630.0,12.0,31.0,98.0,3.84,48.0,29.0,9.0,5.0,4.0,3.0,4.0,0.16,2.0,0.0,1.0,1.0,0.0,0.0,58.0,37.0,17.0,25.0,16.0,23.0,60.0,38.3,37.0,37.0,4.0,33.0,10.0,68.0,6.0,0.0,1298.0,22.0,135.0,390.0,794.0,117.0,1298.0,85.0,37.0,43.5,44.0,51.8,716.0,4451.0,2024.0,73.0,54.0,35.0,63.0,39.0,848.0,249.0,37,2297.0,62.0,67.2,25.5,26,78.0,10,11,25.0,1,1.3,30.0,33.0,-3.0,-0.12,-0.68,33.7,25.4,8.4,0.33,-0.39,2.0,0.0,0.0,48.0,25.0,19.0,162.0,10.0,37.0,0.0,0.0,0.0,114.0,35.0,42.0,45.5
