player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Javi Galán,es ESP,DF,27.0,35.1,0.0,13.0,1.0,7.7,0.37,0.03,0.0,0.0,22.4,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,1577.0,2039.0,77.3,26915.0,8515.0,750.0,845.0,88.8,655.0,791.0,82.8,143.0,293.0,48.8,3.0,4.1,4.2,-1.1,52.0,76.0,56.0,28.0,125.0,2039.0,1600.0,427.0,56.0,2.0,19.0,162.0,344.0,27.0,15.0,7.0,0.0,1577.0,12.0,47.0,93.0,2.65,70.0,14.0,4.0,1.0,2.0,2.0,4.0,0.11,3.0,0.0,0.0,0.0,0.0,1.0,104.0,72.0,60.0,40.0,4.0,48.0,98.0,49.0,50.0,54.0,5.0,49.0,41.0,145.0,63.0,1.0,2506.0,87.0,712.0,1045.0,788.0,35.0,2506.0,154.0,72.0,46.8,61.0,39.6,1445.0,9172.0,5506.0,141.0,104.0,19.0,64.0,41.0,1492.0,244.0,37,3160.0,85.0,92.4,35.1,36,87.0,32,1,15.0,0,1.16,42.0,49.0,-7.0,-0.2,0.84,40.2,41.4,-1.2,-0.03,0.52,6.0,0.0,0.0,50.0,73.0,8.0,162.0,41.0,72.0,0.0,1.0,0.0,211.0,33.0,24.0,57.9
Unai Núñez,es ESP,DF,25.0,35.0,0.0,15.0,5.0,33.3,0.43,0.14,0.0,0.0,14.4,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,1744.0,2023.0,86.2,35775.0,12950.0,501.0,553.0,90.6,1032.0,1124.0,91.8,203.0,316.0,64.2,0.0,0.1,0.4,-0.1,5.0,131.0,2.0,1.0,146.0,2023.0,1967.0,53.0,49.0,0.0,34.0,3.0,4.0,0.0,0.0,0.0,0.0,1744.0,3.0,11.0,19.0,0.54,16.0,1.0,1.0,0.0,0.0,1.0,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,47.0,35.0,29.0,15.0,3.0,18.0,34.0,52.9,16.0,27.0,17.0,10.0,72.0,119.0,135.0,1.0,2366.0,268.0,1197.0,1100.0,83.0,22.0,2366.0,13.0,11.0,84.6,2.0,15.4,1504.0,8027.0,4468.0,31.0,25.0,1.0,17.0,2.0,1587.0,5.0,36,3151.0,88.0,92.1,35.0,35,90.0,35,1,1.0,1,1.19,41.0,48.0,-7.0,-0.2,0.8,37.8,41.9,-4.1,-0.12,-0.57,8.0,0.0,0.0,25.0,31.0,1.0,3.0,72.0,35.0,0.0,0.0,1.0,205.0,70.0,53.0,56.9
Joseph Aidoo,gh GHA,DF,26.0,34.7,3.0,14.0,3.0,21.4,0.4,0.09,0.21,1.0,13.2,0.0,0.0,0.0,1.0,1.0,0.07,2.0,2.0,1525.0,1766.0,86.4,31337.0,9650.0,383.0,439.0,87.2,974.0,1050.0,92.8,163.0,244.0,66.8,0.0,0.1,0.3,-0.1,2.0,83.0,4.0,0.0,95.0,1766.0,1710.0,51.0,42.0,0.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,1525.0,5.0,13.0,10.0,0.29,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,36.0,33.0,17.0,1.0,16.0,28.0,57.1,12.0,26.0,14.0,12.0,31.0,82.0,150.0,0.0,2082.0,301.0,1114.0,938.0,46.0,15.0,2082.0,13.0,8.0,61.5,2.0,15.4,1306.0,6192.0,3226.0,15.0,6.0,0.0,12.0,9.0,1321.0,2.0,35,3119.0,89.0,91.2,34.7,35,89.0,33,0,,0,1.14,40.0,48.0,-8.0,-0.23,0.37,40.2,40.7,-0.5,-0.01,0.66,6.0,1.0,1.0,18.0,18.0,0.0,2.0,31.0,36.0,0.0,1.0,0.0,214.0,63.0,63.0,50.0
Fran Beltrán,es ESP,MF,23.0,31.7,0.0,24.0,2.0,8.3,0.76,0.06,0.0,0.0,27.3,0.0,0.0,0.0,0.9,0.9,0.04,-0.9,-0.9,1604.0,1816.0,88.3,28935.0,6589.0,658.0,716.0,91.9,743.0,808.0,92.0,164.0,221.0,74.2,2.0,1.7,2.5,0.3,24.0,136.0,12.0,4.0,138.0,1816.0,1667.0,147.0,88.0,0.0,12.0,51.0,8.0,38.0,18.0,14.0,1.0,1604.0,2.0,19.0,66.0,2.08,53.0,10.0,0.0,1.0,0.0,2.0,4.0,0.13,2.0,1.0,0.0,0.0,0.0,1.0,34.0,22.0,15.0,14.0,5.0,14.0,55.0,25.5,41.0,29.0,5.0,24.0,53.0,87.0,35.0,2.0,2062.0,62.0,454.0,1253.0,366.0,11.0,2062.0,22.0,16.0,72.7,6.0,27.3,1239.0,6158.0,2685.0,27.0,45.0,4.0,26.0,17.0,1354.0,33.0,36,2855.0,79.0,83.5,31.7,33,84.0,22,3,28.0,0,1.17,35.0,44.0,-9.0,-0.28,-0.12,37.4,35.9,1.5,0.05,0.73,4.0,0.0,0.0,26.0,16.0,2.0,51.0,53.0,22.0,0.0,1.0,0.0,196.0,18.0,48.0,27.3
Iago Aspas,es ESP,FW,34.0,31.9,12.0,75.0,29.0,38.7,2.35,0.91,0.13,0.34,19.5,7.0,2.0,3.0,11.1,8.7,0.12,0.9,1.3,936.0,1227.0,76.3,14650.0,3382.0,517.0,625.0,82.7,275.0,353.0,77.9,91.0,131.0,69.5,3.0,5.6,5.4,-2.6,83.0,90.0,47.0,2.0,162.0,1227.0,1146.0,75.0,23.0,15.0,15.0,45.0,11.0,23.0,8.0,6.0,0.0,936.0,6.0,33.0,141.0,4.42,110.0,8.0,5.0,8.0,9.0,1.0,8.0,0.25,8.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,4.0,3.0,22.0,13.6,19.0,10.0,1.0,9.0,7.0,15.0,23.0,0.0,1487.0,26.0,111.0,643.0,748.0,145.0,1484.0,56.0,22.0,39.3,25.0,44.6,1030.0,5114.0,2370.0,80.0,58.0,30.0,52.0,46.0,1199.0,239.0,37,2868.0,78.0,83.9,31.9,31,89.0,27,6,20.0,0,1.16,36.0,46.0,-10.0,-0.31,-0.31,37.9,37.5,0.3,0.01,0.52,6.0,0.0,0.0,16.0,59.0,12.0,45.0,7.0,4.0,0.0,0.0,0.0,103.0,31.0,45.0,40.8
Gabriel Veiga,es ESP,MF,20.0,25.5,11.0,62.0,29.0,46.8,2.43,1.14,0.18,0.38,19.8,0.0,0.0,0.0,6.1,6.1,0.1,4.9,4.9,552.0,742.0,74.4,8847.0,2937.0,285.0,354.0,80.5,200.0,261.0,76.6,47.0,73.0,64.4,4.0,2.6,2.9,1.4,28.0,79.0,22.0,2.0,109.0,742.0,705.0,31.0,11.0,6.0,3.0,27.0,7.0,2.0,1.0,1.0,0.0,552.0,6.0,17.0,80.0,3.14,58.0,3.0,10.0,3.0,5.0,1.0,8.0,0.31,6.0,0.0,2.0,0.0,0.0,0.0,43.0,19.0,14.0,25.0,4.0,16.0,52.0,30.8,36.0,30.0,3.0,27.0,21.0,64.0,6.0,0.0,1062.0,19.0,137.0,565.0,387.0,67.0,1062.0,75.0,39.0,52.0,34.0,45.3,656.0,4140.0,2381.0,68.0,43.0,15.0,64.0,22.0,694.0,88.0,36,2294.0,64.0,67.1,25.5,28,74.0,3,8,26.0,0,1.17,29.0,30.0,-1.0,-0.04,0.68,28.7,28.5,0.2,0.01,0.24,6.0,1.0,0.0,42.0,41.0,4.0,27.0,21.0,19.0,0.0,0.0,0.0,132.0,19.0,17.0,52.8
Hugo Mallo,es ESP,DF,31.0,24.0,0.0,19.0,7.0,36.8,0.79,0.29,0.0,0.0,13.0,0.0,0.0,0.0,1.4,1.4,0.07,-1.4,-1.4,1094.0,1427.0,76.7,18160.0,7399.0,521.0,578.0,90.1,467.0,588.0,79.4,78.0,173.0,45.1,1.0,2.6,2.6,-1.6,20.0,89.0,23.0,11.0,93.0,1427.0,1187.0,234.0,34.0,1.0,10.0,67.0,200.0,0.0,0.0,0.0,0.0,1094.0,6.0,29.0,50.0,2.08,41.0,4.0,1.0,3.0,1.0,0.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,53.0,29.0,34.0,14.0,5.0,28.0,42.0,66.7,14.0,28.0,7.0,21.0,24.0,77.0,73.0,0.0,1694.0,90.0,549.0,744.0,415.0,51.0,1694.0,17.0,5.0,29.4,9.0,52.9,853.0,3500.0,1784.0,27.0,22.0,2.0,19.0,7.0,999.0,108.0,26,2163.0,83.0,63.2,24.0,26,83.0,17,0,,7,1.12,27.0,34.0,-7.0,-0.29,-0.08,28.5,28.0,0.5,0.02,0.26,6.0,1.0,1.0,44.0,23.0,6.0,67.0,24.0,29.0,0.0,1.0,0.0,124.0,52.0,46.0,53.1
Carles Pérez,es ESP,"MF,FW",24.0,23.8,3.0,54.0,20.0,37.0,2.27,0.84,0.06,0.15,21.8,0.0,0.0,0.0,2.8,2.8,0.05,0.2,0.2,564.0,689.0,81.9,8850.0,1735.0,291.0,330.0,88.2,218.0,259.0,84.2,36.0,61.0,59.0,5.0,2.0,1.7,3.0,23.0,33.0,19.0,3.0,66.0,689.0,679.0,8.0,1.0,4.0,6.0,36.0,4.0,2.0,2.0,0.0,0.0,564.0,2.0,12.0,68.0,2.85,45.0,0.0,12.0,6.0,5.0,0.0,9.0,0.38,6.0,0.0,2.0,0.0,1.0,0.0,39.0,23.0,12.0,17.0,10.0,22.0,66.0,33.3,44.0,29.0,3.0,26.0,6.0,45.0,9.0,0.0,1003.0,14.0,103.0,366.0,557.0,71.0,1003.0,110.0,44.0,40.0,52.0,47.3,675.0,5637.0,2923.0,93.0,77.0,41.0,56.0,28.0,721.0,185.0,35,2144.0,61.0,62.7,23.8,23,77.0,8,12,30.0,1,1.14,26.0,26.0,0.0,0.0,0.71,25.4,28.3,-2.9,-0.12,-0.13,5.0,0.0,0.0,35.0,37.0,9.0,36.0,6.0,23.0,1.0,0.0,0.0,110.0,6.0,40.0,13.0
Franco Cervi,ar ARG,"MF,DF",28.0,21.0,0.0,23.0,6.0,26.1,1.09,0.29,0.0,0.0,19.4,0.0,0.0,0.0,2.3,2.3,0.1,-2.3,-2.3,620.0,874.0,70.9,9395.0,3007.0,348.0,410.0,84.9,207.0,272.0,76.1,44.0,109.0,40.4,4.0,2.7,2.9,1.3,27.0,49.0,26.0,9.0,69.0,874.0,771.0,99.0,12.0,1.0,1.0,113.0,43.0,44.0,9.0,27.0,0.0,620.0,4.0,30.0,61.0,2.9,42.0,8.0,3.0,4.0,4.0,0.0,5.0,0.24,4.0,0.0,0.0,1.0,0.0,0.0,76.0,46.0,29.0,36.0,11.0,33.0,66.0,50.0,33.0,33.0,1.0,32.0,36.0,112.0,16.0,0.0,1143.0,16.0,219.0,496.0,437.0,50.0,1143.0,51.0,21.0,41.2,22.0,43.1,637.0,3430.0,1526.0,45.0,38.0,8.0,30.0,16.0,650.0,113.0,36,1894.0,53.0,55.4,21.0,21,76.0,6,15,21.0,1,1.11,19.0,37.0,-18.0,-0.86,-1.33,23.9,26.2,-2.3,-0.11,-0.08,2.0,1.0,0.0,27.0,42.0,2.0,113.0,36.0,46.0,0.0,0.0,0.0,145.0,12.0,25.0,32.4
Jørgen Strand Larsen,no NOR,FW,22.0,18.9,4.0,41.0,15.0,36.6,2.16,0.79,0.1,0.27,12.6,0.0,0.0,0.0,5.6,5.6,0.14,-1.6,-1.6,232.0,339.0,68.4,3020.0,423.0,139.0,192.0,72.4,53.0,80.0,66.3,12.0,19.0,63.2,4.0,2.0,1.1,2.0,12.0,14.0,3.0,1.0,14.0,339.0,310.0,27.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,232.0,2.0,3.0,29.0,1.53,21.0,0.0,1.0,2.0,4.0,1.0,7.0,0.37,6.0,0.0,1.0,0.0,0.0,0.0,15.0,7.0,3.0,5.0,7.0,7.0,30.0,23.3,23.0,14.0,5.0,9.0,3.0,18.0,24.0,0.0,576.0,29.0,56.0,277.0,248.0,84.0,576.0,31.0,14.0,45.2,15.0,48.4,348.0,1327.0,460.0,17.0,6.0,9.0,74.0,24.0,438.0,73.0,32,1705.0,53.0,49.9,18.9,20,66.0,3,12,32.0,2,1.09,25.0,32.0,-7.0,-0.37,-0.21,21.9,20.5,1.5,0.08,0.3,4.0,0.0,0.0,34.0,43.0,13.0,4.0,3.0,7.0,1.0,0.0,0.0,42.0,42.0,47.0,47.2
