player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Santiago Bueno,uy URU,DF,23.0,33.4,0.0,13.0,3.0,23.1,0.39,0.09,0.0,0.0,12.2,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3,1576.0,1823.0,86.5,31141.0,10648.0,509.0,557.0,91.4,875.0,940.0,93.1,173.0,279.0,62.0,1.0,1.1,0.7,-0.1,9.0,148.0,5.0,1.0,148.0,1823.0,1732.0,87.0,70.0,1.0,25.0,4.0,17.0,0.0,0.0,0.0,0.0,1576.0,4.0,15.0,24.0,0.72,18.0,0.0,1.0,3.0,2.0,0.0,4.0,0.12,3.0,0.0,0.0,0.0,1.0,0.0,63.0,38.0,43.0,19.0,1.0,24.0,36.0,66.7,12.0,34.0,22.0,12.0,31.0,94.0,105.0,2.0,2098.0,194.0,1016.0,1038.0,54.0,17.0,2098.0,4.0,2.0,50.0,0.0,0.0,1305.0,7395.0,4721.0,30.0,13.0,0.0,6.0,1.0,1447.0,4.0,34,3010.0,89.0,88.0,33.4,34,89.0,32,0,,0,1.44,55.0,48.0,7.0,0.21,1.09,45.3,46.0,-0.7,-0.02,0.84,7.0,1.0,1.0,37.0,34.0,2.0,4.0,31.0,38.0,2.0,1.0,0.0,144.0,74.0,41.0,64.3
Oriol Romeu,es ESP,MF,30.0,32.8,2.0,24.0,5.0,20.8,0.73,0.15,0.08,0.4,17.8,0.0,0.0,0.0,1.8,1.8,0.07,0.2,0.2,1405.0,1626.0,86.4,24124.0,6512.0,641.0,695.0,92.2,593.0,655.0,90.5,123.0,187.0,65.8,0.0,0.9,1.3,-0.9,20.0,124.0,16.0,3.0,133.0,1626.0,1576.0,43.0,41.0,3.0,12.0,13.0,2.0,0.0,0.0,0.0,0.0,1405.0,7.0,19.0,56.0,1.71,49.0,0.0,0.0,4.0,2.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,70.0,38.0,36.0,26.0,8.0,26.0,51.0,51.0,25.0,48.0,10.0,38.0,37.0,107.0,54.0,0.0,1952.0,109.0,589.0,1119.0,259.0,28.0,1952.0,24.0,20.0,83.3,1.0,4.2,1148.0,4448.0,2067.0,15.0,29.0,1.0,26.0,28.0,1318.0,16.0,33,2950.0,89.0,86.3,32.8,33,89.0,31,0,,0,1.36,52.0,47.0,5.0,0.15,0.54,45.6,46.7,-1.0,-0.03,0.65,10.0,1.0,1.0,59.0,33.0,0.0,13.0,37.0,38.0,0.0,1.0,0.0,195.0,39.0,46.0,45.9
Valentín Castellanos,ar ARG,FW,23.0,28.9,13.0,85.0,32.0,37.6,2.95,1.11,0.14,0.38,15.0,0.0,1.0,1.0,11.0,10.2,0.12,2.0,1.8,244.0,397.0,61.5,3345.0,704.0,144.0,200.0,72.0,74.0,125.0,59.2,12.0,17.0,70.6,0.0,1.7,2.3,-1.7,15.0,17.0,16.0,1.0,34.0,397.0,352.0,41.0,0.0,4.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,244.0,4.0,19.0,41.0,1.42,29.0,0.0,4.0,4.0,4.0,0.0,5.0,0.17,3.0,0.0,0.0,2.0,0.0,0.0,12.0,5.0,2.0,7.0,3.0,0.0,18.0,0.0,18.0,22.0,2.0,20.0,6.0,18.0,26.0,0.0,672.0,28.0,65.0,278.0,343.0,123.0,671.0,43.0,14.0,32.6,21.0,48.8,361.0,1903.0,923.0,30.0,27.0,11.0,46.0,22.0,478.0,128.0,35,2597.0,74.0,75.9,28.9,33,77.0,8,2,22.0,0,1.29,43.0,41.0,2.0,0.07,-0.04,35.4,38.6,-3.1,-0.11,0.05,11.0,0.0,0.0,43.0,46.0,31.0,10.0,6.0,5.0,0.0,0.0,0.0,56.0,51.0,70.0,42.1
Arnau Martinez,es ESP,DF,19.0,30.4,3.0,20.0,3.0,15.0,0.66,0.1,0.15,1.0,12.7,0.0,0.0,0.0,1.9,1.9,0.1,1.1,1.1,1303.0,1599.0,81.5,19900.0,7034.0,745.0,818.0,91.1,448.0,533.0,84.1,82.0,161.0,50.9,4.0,4.3,3.2,-0.3,40.0,80.0,28.0,18.0,113.0,1599.0,1270.0,319.0,48.0,3.0,7.0,60.0,271.0,0.0,0.0,0.0,0.0,1303.0,10.0,33.0,75.0,2.47,65.0,0.0,2.0,3.0,5.0,0.0,9.0,0.3,7.0,0.0,0.0,0.0,2.0,0.0,69.0,45.0,41.0,19.0,9.0,38.0,85.0,44.7,47.0,44.0,10.0,34.0,25.0,94.0,54.0,2.0,1902.0,98.0,631.0,861.0,427.0,53.0,1902.0,48.0,24.0,50.0,19.0,39.6,967.0,5242.0,3015.0,64.0,31.0,9.0,36.0,17.0,1116.0,98.0,33,2732.0,83.0,79.9,30.4,32,85.0,25,1,9.0,3,1.18,46.0,49.0,-3.0,-0.1,-0.88,40.4,45.9,-5.5,-0.18,-0.29,11.0,0.0,0.0,36.0,66.0,6.0,60.0,25.0,45.0,0.0,1.0,0.0,171.0,32.0,25.0,56.1
Paulo Gazzaniga,ar ARG,GK,30.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,783.0,1070.0,73.2,21240.0,15708.0,201.0,201.0,100.0,349.0,359.0,97.2,231.0,501.0,46.1,0.0,0.2,0.0,-0.2,1.0,21.0,0.0,0.0,0.0,1070.0,738.0,326.0,83.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,6.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,5.0,1140.0,981.0,1133.0,7.0,0.0,0.0,1140.0,1.0,1.0,100.0,0.0,0.0,667.0,3263.0,1663.0,0.0,0.0,0.0,3.0,2.0,504.0,0.0,28,2520.0,90.0,73.7,28.0,28,90.0,28,0,,7,1.46,44.0,37.0,7.0,0.25,0.65,37.2,42.1,-4.9,-0.18,-0.21,4.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,4.0,0.0,100.0
Miguel Gutiérrez,es ESP,DF,21.0,26.6,2.0,17.0,4.0,23.5,0.64,0.15,0.12,0.5,19.4,0.0,0.0,0.0,0.8,0.8,0.05,1.2,1.2,1130.0,1386.0,81.5,17750.0,5265.0,631.0,689.0,91.6,405.0,494.0,82.0,70.0,129.0,54.3,3.0,3.3,3.1,-0.3,22.0,92.0,29.0,16.0,125.0,1386.0,1142.0,240.0,25.0,2.0,1.0,104.0,213.0,2.0,0.0,0.0,0.0,1130.0,4.0,27.0,55.0,2.07,40.0,5.0,5.0,2.0,3.0,0.0,8.0,0.3,6.0,1.0,0.0,0.0,1.0,0.0,41.0,23.0,23.0,13.0,5.0,23.0,37.0,62.2,14.0,23.0,5.0,18.0,18.0,59.0,42.0,1.0,1628.0,66.0,466.0,697.0,482.0,39.0,1628.0,75.0,35.0,46.7,32.0,42.7,959.0,5765.0,2803.0,81.0,43.0,17.0,36.0,25.0,1037.0,148.0,34,2390.0,70.0,69.9,26.6,27,81.0,12,7,29.0,2,1.24,36.0,36.0,0.0,0.0,-0.26,34.9,34.5,0.3,0.01,0.44,6.0,0.0,0.0,23.0,24.0,3.0,104.0,18.0,23.0,0.0,0.0,0.0,157.0,9.0,16.0,36.0
Aleix García,es ESP,MF,25.0,26.0,1.0,32.0,14.0,43.8,1.23,0.54,0.03,0.07,23.2,4.0,0.0,0.0,1.8,1.8,0.06,-0.8,-0.8,1370.0,1657.0,82.7,24515.0,7738.0,661.0,710.0,93.1,471.0,536.0,87.9,182.0,303.0,60.1,5.0,6.1,6.0,-1.1,64.0,154.0,23.0,10.0,156.0,1657.0,1441.0,203.0,101.0,3.0,43.0,179.0,13.0,88.0,35.0,42.0,1.0,1370.0,13.0,22.0,125.0,4.82,69.0,47.0,3.0,3.0,0.0,3.0,16.0,0.62,10.0,3.0,1.0,0.0,0.0,2.0,37.0,20.0,9.0,18.0,10.0,15.0,33.0,45.5,18.0,24.0,8.0,16.0,31.0,68.0,35.0,1.0,1867.0,68.0,386.0,1003.0,490.0,23.0,1867.0,26.0,13.0,50.0,9.0,34.6,1041.0,4868.0,2266.0,41.0,35.0,7.0,19.0,12.0,1302.0,76.0,30,2337.0,78.0,68.3,26.0,26,83.0,18,4,46.0,0,1.13,39.0,37.0,2.0,0.08,-0.01,35.7,32.5,3.2,0.12,0.77,1.0,0.0,0.0,14.0,29.0,1.0,179.0,31.0,20.0,0.0,0.0,0.0,132.0,13.0,6.0,68.4
Rodrigo Riquelme,es ESP,"MF,FW",22.0,24.2,4.0,56.0,22.0,39.3,2.31,0.91,0.07,0.18,20.0,2.0,0.0,0.0,4.0,4.0,0.07,0.0,0.0,497.0,715.0,69.5,7275.0,2261.0,286.0,350.0,81.7,162.0,230.0,70.4,26.0,69.0,37.7,4.0,3.6,3.8,0.4,33.0,42.0,28.0,7.0,85.0,715.0,677.0,34.0,13.0,4.0,3.0,78.0,7.0,11.0,6.0,1.0,0.0,497.0,4.0,29.0,69.0,2.85,46.0,6.0,10.0,4.0,3.0,0.0,9.0,0.37,3.0,3.0,0.0,2.0,1.0,0.0,20.0,8.0,8.0,8.0,4.0,9.0,35.0,25.7,26.0,16.0,0.0,16.0,11.0,31.0,5.0,0.0,1021.0,14.0,136.0,379.0,528.0,89.0,1021.0,143.0,57.0,39.9,71.0,49.7,717.0,6218.0,3354.0,116.0,97.0,42.0,62.0,30.0,764.0,171.0,34,2179.0,64.0,63.7,24.2,25,77.0,6,9,28.0,1,1.32,37.0,41.0,-4.0,-0.17,-0.67,30.9,39.4,-8.5,-0.35,-0.63,1.0,0.0,0.0,27.0,36.0,5.0,78.0,11.0,8.0,0.0,1.0,0.0,111.0,9.0,13.0,40.9
David López,es ESP,DF,32.0,18.4,3.0,11.0,8.0,72.7,0.6,0.44,0.27,0.38,16.9,0.0,0.0,0.0,1.5,1.5,0.14,1.5,1.5,1082.0,1203.0,89.9,20522.0,7606.0,373.0,400.0,93.3,607.0,637.0,95.3,93.0,146.0,63.7,1.0,0.6,0.5,0.4,8.0,57.0,1.0,0.0,54.0,1203.0,1138.0,62.0,48.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1082.0,3.0,5.0,11.0,0.6,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,31.0,18.0,17.0,13.0,1.0,19.0,27.0,70.4,8.0,29.0,19.0,10.0,14.0,45.0,64.0,1.0,1379.0,207.0,795.0,553.0,37.0,16.0,1379.0,6.0,6.0,100.0,0.0,0.0,823.0,4281.0,2574.0,18.0,5.0,0.0,8.0,1.0,959.0,4.0,20,1652.0,83.0,48.3,18.4,19,85.0,14,1,45.0,7,1.15,26.0,24.0,2.0,0.11,0.06,22.6,25.7,-3.1,-0.17,-0.1,5.0,0.0,0.0,16.0,16.0,3.0,0.0,14.0,18.0,0.0,0.0,0.0,106.0,29.0,32.0,47.5
Iván Martín,es ESP,MF,23.0,17.6,3.0,18.0,8.0,44.4,1.02,0.45,0.17,0.38,15.7,0.0,0.0,0.0,2.4,2.4,0.13,0.6,0.6,565.0,672.0,84.1,8006.0,1764.0,331.0,366.0,90.4,180.0,212.0,84.9,29.0,40.0,72.5,3.0,2.2,2.1,0.8,17.0,38.0,17.0,6.0,56.0,672.0,648.0,23.0,8.0,0.0,2.0,18.0,7.0,0.0,0.0,0.0,0.0,565.0,1.0,18.0,34.0,1.93,30.0,0.0,1.0,1.0,2.0,0.0,6.0,0.34,4.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,4.0,4.0,1.0,8.0,23.0,34.8,15.0,12.0,0.0,12.0,9.0,18.0,12.0,0.0,822.0,23.0,132.0,425.0,274.0,36.0,822.0,48.0,26.0,54.2,18.0,37.5,540.0,3377.0,1213.0,30.0,19.0,6.0,32.0,37.0,631.0,82.0,24,1586.0,66.0,46.4,17.6,18,79.0,5,6,27.0,7,1.63,27.0,25.0,2.0,0.11,0.06,23.1,26.3,-3.2,-0.18,-0.12,2.0,0.0,0.0,18.0,13.0,3.0,18.0,9.0,7.0,1.0,0.0,0.0,81.0,12.0,16.0,42.9
