player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Predrag Rajković,rs SRB,GK,26.0,36.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,717.0,1210.0,59.3,28066.0,23317.0,75.0,76.0,98.7,236.0,239.0,98.7,401.0,888.0,45.2,0.0,0.5,0.1,-0.5,4.0,51.0,1.0,0.0,3.0,1210.0,750.0,458.0,149.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,2.0,0.0,11.0,0.31,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1284.0,1022.0,1266.0,18.0,0.0,0.0,1284.0,6.0,5.0,83.3,1.0,16.7,656.0,4514.0,2818.0,0.0,0.0,0.0,2.0,0.0,458.0,0.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,2,1.31,34.0,40.0,-6.0,-0.17,-0.17,32.9,41.7,-8.8,-0.25,0.95,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,5.0,1.0,83.3
Pablo Maffeo,es ESP,DF,25.0,33.1,2.0,21.0,4.0,19.0,0.64,0.12,0.1,0.5,17.4,0.0,0.0,0.0,1.8,1.8,0.08,0.2,0.2,819.0,1221.0,67.1,14063.0,6175.0,415.0,469.0,88.5,310.0,460.0,67.4,83.0,213.0,39.0,4.0,3.0,2.7,1.0,34.0,53.0,29.0,21.0,61.0,1221.0,967.0,248.0,7.0,2.0,9.0,123.0,241.0,0.0,0.0,0.0,0.0,819.0,6.0,39.0,62.0,1.84,43.0,10.0,3.0,1.0,5.0,0.0,6.0,0.18,4.0,0.0,0.0,1.0,1.0,0.0,75.0,46.0,54.0,16.0,5.0,45.0,78.0,57.7,33.0,38.0,11.0,27.0,26.0,101.0,76.0,0.0,1599.0,104.0,462.0,660.0,499.0,56.0,1599.0,85.0,35.0,41.2,35.0,41.2,804.0,4817.0,2118.0,67.0,52.0,14.0,62.0,36.0,860.0,134.0,35,2975.0,85.0,87.0,33.1,34,87.0,30,1,29.0,0,1.26,31.0,40.0,-9.0,-0.27,-0.88,29.4,42.1,-12.7,-0.38,-0.73,6.0,1.0,0.0,32.0,45.0,5.0,123.0,26.0,46.0,0.0,0.0,0.0,161.0,47.0,32.0,59.5
Vedat Muriqi,xk KVX,FW,28.0,32.6,15.0,71.0,25.0,35.2,2.18,0.77,0.15,0.44,15.3,0.0,4.0,5.0,12.5,8.6,0.12,2.5,2.4,472.0,827.0,57.1,6327.0,1330.0,307.0,426.0,72.1,125.0,257.0,48.6,18.0,49.0,36.7,3.0,2.1,1.7,0.9,21.0,43.0,6.0,0.0,60.0,827.0,818.0,9.0,0.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,31.0,48.0,1.47,32.0,0.0,2.0,7.0,6.0,1.0,5.0,0.15,3.0,0.0,0.0,0.0,1.0,1.0,12.0,7.0,4.0,7.0,1.0,3.0,13.0,23.1,10.0,19.0,7.0,12.0,12.0,24.0,73.0,0.0,1194.0,90.0,160.0,592.0,450.0,112.0,1189.0,31.0,12.0,38.7,15.0,48.4,601.0,2558.0,863.0,28.0,28.0,10.0,80.0,46.0,896.0,152.0,35,2937.0,84.0,85.9,32.6,34,85.0,16,1,36.0,0,1.4,32.0,35.0,-3.0,-0.09,0.47,29.2,39.1,-9.9,-0.3,-0.05,6.0,1.0,0.0,59.0,39.0,29.0,11.0,12.0,7.0,1.0,0.0,0.0,88.0,198.0,156.0,55.9
Lee Kangin,kr KOR,"MF,FW",21.0,31.4,6.0,46.0,14.0,30.4,1.47,0.45,0.13,0.43,20.0,7.0,0.0,0.0,5.4,5.4,0.12,0.6,0.6,772.0,1103.0,70.0,12995.0,4205.0,400.0,465.0,86.0,249.0,317.0,78.5,89.0,227.0,39.2,6.0,5.4,5.0,0.6,54.0,75.0,30.0,11.0,96.0,1103.0,883.0,207.0,81.0,7.0,15.0,201.0,12.0,90.0,36.0,43.0,0.0,772.0,13.0,35.0,113.0,3.6,49.0,37.0,12.0,6.0,7.0,2.0,13.0,0.41,5.0,5.0,2.0,1.0,0.0,0.0,42.0,24.0,10.0,22.0,10.0,18.0,61.0,29.5,43.0,25.0,2.0,23.0,11.0,53.0,7.0,0.0,1426.0,15.0,169.0,693.0,598.0,42.0,1426.0,134.0,90.0,67.2,34.0,25.4,831.0,5655.0,2936.0,107.0,58.0,14.0,69.0,43.0,897.0,139.0,36,2823.0,78.0,82.5,31.4,33,83.0,12,3,29.0,0,1.31,32.0,32.0,0.0,0.0,0.9,29.5,34.1,-4.6,-0.15,0.86,10.0,0.0,0.0,51.0,61.0,2.0,201.0,11.0,24.0,0.0,0.0,0.0,146.0,23.0,57.0,28.8
Antonio Raillo,es ESP,DF,30.0,30.7,2.0,13.0,5.0,38.5,0.42,0.16,0.15,0.4,13.9,0.0,0.0,0.0,0.6,0.6,0.05,1.4,1.4,902.0,1088.0,82.9,18671.0,6723.0,230.0,271.0,84.9,566.0,612.0,92.5,99.0,173.0,57.2,3.0,1.1,0.6,1.9,7.0,32.0,0.0,0.0,50.0,1088.0,1022.0,62.0,57.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,902.0,4.0,6.0,15.0,0.48,11.0,1.0,0.0,1.0,2.0,0.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0,34.0,21.0,23.0,11.0,0.0,10.0,15.0,66.7,5.0,38.0,29.0,9.0,31.0,65.0,158.0,1.0,1413.0,247.0,798.0,579.0,53.0,34.0,1413.0,3.0,2.0,66.7,1.0,33.3,706.0,4410.0,2519.0,8.0,4.0,0.0,9.0,3.0,713.0,5.0,31,2766.0,89.0,80.9,30.7,31,89.0,30,0,,0,1.32,31.0,31.0,0.0,0.0,0.83,29.8,32.3,-2.5,-0.08,1.17,11.0,1.0,0.0,42.0,21.0,5.0,0.0,31.0,21.0,1.0,0.0,0.0,140.0,92.0,51.0,64.3
Martin Valjent,sk SVK,DF,26.0,29.5,0.0,6.0,2.0,33.3,0.2,0.07,0.0,0.0,21.1,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,885.0,1123.0,78.8,16962.0,7350.0,359.0,389.0,92.3,414.0,489.0,84.7,105.0,213.0,49.3,0.0,0.4,0.4,-0.4,3.0,59.0,5.0,2.0,57.0,1123.0,1032.0,86.0,45.0,1.0,21.0,6.0,41.0,0.0,0.0,0.0,0.0,885.0,5.0,14.0,6.0,0.2,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,35.0,27.0,22.0,12.0,1.0,19.0,28.0,67.9,9.0,39.0,21.0,18.0,29.0,64.0,137.0,0.0,1405.0,206.0,759.0,594.0,62.0,5.0,1405.0,5.0,0.0,0.0,2.0,40.0,719.0,3539.0,1751.0,15.0,16.0,2.0,6.0,1.0,767.0,3.0,30,2656.0,89.0,77.7,29.5,30,89.0,27,0,,2,1.4,29.0,33.0,-4.0,-0.14,0.1,27.5,36.4,-8.9,-0.3,-0.03,8.0,0.0,0.0,33.0,11.0,1.0,6.0,29.0,27.0,0.0,1.0,0.0,114.0,34.0,29.0,54.0
Jaume Costa,es ESP,DF,34.0,28.9,0.0,11.0,6.0,54.5,0.38,0.21,0.0,0.0,15.7,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,854.0,1165.0,73.3,14099.0,5450.0,440.0,505.0,87.1,336.0,449.0,74.8,66.0,139.0,47.5,1.0,2.5,2.7,-1.5,31.0,55.0,31.0,17.0,74.0,1165.0,946.0,210.0,12.0,0.0,9.0,75.0,198.0,0.0,0.0,0.0,0.0,854.0,9.0,31.0,58.0,2.01,44.0,5.0,1.0,1.0,5.0,2.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,50.0,34.0,26.0,17.0,7.0,29.0,51.0,56.9,22.0,13.0,5.0,8.0,22.0,72.0,44.0,1.0,1364.0,62.0,360.0,603.0,415.0,37.0,1364.0,25.0,10.0,40.0,12.0,48.0,689.0,3495.0,1980.0,60.0,38.0,10.0,23.0,8.0,810.0,123.0,32,2599.0,81.0,76.0,28.9,30,84.0,19,2,45.0,1,1.44,31.0,32.0,-1.0,-0.03,0.51,25.0,36.8,-11.8,-0.41,-0.47,10.0,0.0,0.0,44.0,32.0,7.0,75.0,22.0,34.0,0.0,0.0,0.0,122.0,30.0,26.0,53.6
Iñigo Ruiz de Galarreta,es ESP,MF,28.0,27.2,0.0,10.0,2.0,20.0,0.37,0.07,0.0,0.0,25.3,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1016.0,1243.0,81.7,17935.0,4838.0,468.0,529.0,88.5,408.0,464.0,87.9,106.0,173.0,61.3,1.0,1.4,1.8,-0.4,20.0,104.0,14.0,0.0,127.0,1243.0,1178.0,58.0,35.0,5.0,18.0,54.0,1.0,22.0,3.0,13.0,0.0,1016.0,7.0,20.0,46.0,1.69,33.0,9.0,1.0,0.0,3.0,0.0,5.0,0.18,2.0,2.0,1.0,0.0,0.0,0.0,54.0,38.0,27.0,23.0,4.0,20.0,52.0,38.5,32.0,26.0,9.0,17.0,30.0,84.0,19.0,0.0,1446.0,32.0,330.0,885.0,247.0,5.0,1446.0,39.0,19.0,48.7,13.0,33.3,786.0,3212.0,1294.0,20.0,13.0,0.0,16.0,15.0,911.0,21.0,30,2449.0,82.0,71.6,27.2,28,87.0,19,2,3.0,0,1.53,29.0,25.0,4.0,0.15,1.07,27.6,25.5,2.0,0.08,1.31,12.0,0.0,0.0,60.0,46.0,0.0,54.0,30.0,38.0,0.0,1.0,0.0,195.0,20.0,24.0,45.5
Copete,es ESP,DF,22.0,24.5,1.0,6.0,1.0,16.7,0.24,0.04,0.17,1.0,7.8,0.0,0.0,0.0,1.0,0.5,0.09,0.0,0.5,668.0,880.0,75.9,13455.0,5746.0,232.0,262.0,88.5,319.0,366.0,87.2,106.0,199.0,53.3,0.0,0.2,0.3,-0.2,3.0,61.0,4.0,1.0,58.0,880.0,829.0,43.0,36.0,0.0,14.0,9.0,7.0,0.0,0.0,0.0,0.0,668.0,8.0,21.0,16.0,0.65,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,28.0,35.0,16.0,2.0,26.0,36.0,72.2,10.0,38.0,17.0,21.0,44.0,97.0,111.0,2.0,1166.0,155.0,575.0,538.0,67.0,17.0,1166.0,21.0,19.0,90.5,2.0,9.5,591.0,2474.0,1444.0,14.0,13.0,1.0,10.0,6.0,633.0,3.0,28,2206.0,79.0,64.5,24.5,27,81.0,16,1,14.0,6,1.39,22.0,26.0,-4.0,-0.16,-0.01,22.0,31.4,-9.4,-0.38,-0.25,7.0,1.0,0.0,47.0,24.0,2.0,9.0,44.0,28.0,0.0,1.0,0.0,113.0,39.0,16.0,70.9
Dani Rodríguez,es ESP,MF,34.0,23.3,3.0,25.0,10.0,40.0,1.07,0.43,0.12,0.3,17.9,0.0,0.0,0.0,2.4,2.4,0.1,0.6,0.6,537.0,685.0,78.4,8403.0,2192.0,310.0,348.0,89.1,153.0,191.0,80.1,48.0,77.0,62.3,6.0,3.2,2.4,2.8,26.0,50.0,19.0,2.0,76.0,685.0,647.0,32.0,9.0,5.0,14.0,32.0,1.0,7.0,2.0,2.0,0.0,537.0,6.0,31.0,54.0,2.31,39.0,4.0,4.0,3.0,3.0,1.0,10.0,0.43,8.0,1.0,0.0,0.0,0.0,1.0,42.0,23.0,18.0,22.0,2.0,21.0,46.0,45.7,25.0,31.0,8.0,23.0,21.0,63.0,14.0,0.0,950.0,27.0,186.0,481.0,299.0,42.0,950.0,55.0,28.0,50.9,24.0,43.6,559.0,3428.0,1525.0,43.0,29.0,8.0,47.0,37.0,604.0,64.0,35,2100.0,60.0,61.4,23.3,26,73.0,3,9,24.0,0,1.23,23.0,26.0,-3.0,-0.13,0.08,19.5,31.6,-12.1,-0.52,-0.58,8.0,0.0,0.0,49.0,33.0,4.0,32.0,21.0,23.0,0.0,0.0,0.0,133.0,11.0,37.0,22.9
