player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
David García,es ESP,DF,28.0,29.8,2.0,15.0,3.0,20.0,0.5,0.1,0.13,0.67,10.2,0.0,0.0,0.0,0.7,0.7,0.05,1.3,1.3,1152.0,1424.0,80.9,23635.0,9514.0,380.0,429.0,88.6,586.0,669.0,87.6,175.0,302.0,57.9,0.0,0.4,0.6,-0.4,5.0,117.0,6.0,0.0,105.0,1424.0,1385.0,38.0,36.0,1.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,1152.0,1.0,8.0,19.0,0.64,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,22.0,12.0,0.0,19.0,22.0,86.4,3.0,28.0,13.0,15.0,45.0,79.0,151.0,0.0,1742.0,198.0,830.0,862.0,53.0,22.0,1742.0,4.0,4.0,100.0,0.0,0.0,908.0,4507.0,2507.0,16.0,8.0,1.0,8.0,2.0,1019.0,4.0,32,2680.0,84.0,78.4,29.8,31,86.0,27,1,16.0,1,1.56,32.0,35.0,-3.0,-0.1,0.14,31.7,33.4,-1.6,-0.05,0.51,8.0,1.0,0.0,54.0,15.0,0.0,2.0,45.0,20.0,0.0,1.0,0.0,162.0,84.0,36.0,70.0
Lucas Torró,es ESP,MF,28.0,27.5,1.0,28.0,4.0,14.3,1.02,0.15,0.04,0.25,24.9,0.0,0.0,0.0,1.4,1.4,0.05,-0.4,-0.4,940.0,1166.0,80.6,15141.0,4090.0,496.0,571.0,86.9,350.0,415.0,84.3,68.0,116.0,58.6,0.0,0.3,0.4,-0.3,9.0,80.0,0.0,0.0,98.0,1166.0,1140.0,26.0,26.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,940.0,0.0,22.0,24.0,0.87,20.0,0.0,0.0,3.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,48.0,32.0,28.0,15.0,5.0,18.0,42.0,42.9,24.0,24.0,3.0,21.0,42.0,90.0,64.0,1.0,1459.0,91.0,365.0,873.0,233.0,32.0,1459.0,21.0,11.0,52.4,7.0,33.3,631.0,2564.0,962.0,12.0,16.0,1.0,31.0,14.0,770.0,17.0,33,2477.0,75.0,72.4,27.5,31,79.0,17,2,10.0,1,1.3,24.0,25.0,-1.0,-0.04,0.35,28.8,30.2,-1.3,-0.05,0.42,10.0,0.0,0.0,64.0,31.0,0.0,1.0,42.0,32.0,0.0,0.0,0.0,184.0,86.0,50.0,63.2
Moi Gómez,es ESP,"MF,FW",28.0,27.3,3.0,19.0,9.0,47.4,0.7,0.33,0.16,0.33,21.0,0.0,0.0,0.0,1.6,1.6,0.08,1.4,1.4,1314.0,1559.0,84.3,24801.0,6445.0,579.0,619.0,93.5,522.0,584.0,89.4,186.0,286.0,65.0,2.0,4.2,4.8,-2.2,53.0,170.0,34.0,13.0,184.0,1559.0,1413.0,140.0,71.0,1.0,34.0,115.0,6.0,62.0,26.0,26.0,0.0,1314.0,6.0,26.0,94.0,3.45,67.0,21.0,1.0,4.0,1.0,0.0,6.0,0.22,5.0,1.0,0.0,0.0,0.0,0.0,26.0,17.0,9.0,14.0,3.0,15.0,32.0,46.9,17.0,15.0,3.0,12.0,10.0,36.0,5.0,1.0,1712.0,23.0,237.0,1013.0,489.0,23.0,1712.0,40.0,27.0,67.5,11.0,27.5,1149.0,6450.0,2740.0,37.0,48.0,7.0,33.0,18.0,1247.0,67.0,33,2453.0,74.0,71.7,27.3,28,83.0,17,5,23.0,1,1.42,21.0,27.0,-6.0,-0.22,-0.31,27.0,29.1,-2.1,-0.08,0.31,5.0,0.0,0.0,14.0,26.0,1.0,115.0,10.0,17.0,0.0,0.0,0.0,176.0,7.0,25.0,21.9
Jon Moncayola,es ESP,"MF,DF",24.0,27.2,1.0,36.0,9.0,25.0,1.32,0.33,0.03,0.11,25.3,0.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,1136.0,1461.0,77.8,22841.0,7870.0,433.0,490.0,88.4,516.0,609.0,84.7,176.0,315.0,55.9,3.0,1.8,2.2,1.2,27.0,170.0,22.0,10.0,175.0,1461.0,1313.0,143.0,54.0,2.0,33.0,78.0,64.0,24.0,9.0,10.0,1.0,1136.0,5.0,24.0,68.0,2.5,54.0,3.0,0.0,8.0,3.0,0.0,9.0,0.33,5.0,0.0,0.0,3.0,1.0,0.0,55.0,39.0,24.0,22.0,9.0,30.0,76.0,39.5,46.0,37.0,5.0,32.0,17.0,72.0,32.0,2.0,1698.0,59.0,387.0,949.0,379.0,14.0,1698.0,8.0,4.0,50.0,3.0,37.5,869.0,3900.0,2099.0,34.0,29.0,1.0,26.0,11.0,1060.0,50.0,37,2448.0,66.0,71.6,27.2,25,86.0,16,12,25.0,0,1.43,24.0,36.0,-12.0,-0.44,-1.09,28.5,33.3,-4.8,-0.17,-0.03,6.0,0.0,0.0,35.0,17.0,3.0,78.0,17.0,39.0,1.0,0.0,0.0,186.0,17.0,15.0,53.1
Aimar Oroz,es ESP,"MF,FW",20.0,22.4,3.0,22.0,7.0,31.8,0.98,0.31,0.09,0.29,17.2,2.0,1.0,1.0,3.6,2.8,0.13,-0.6,-0.8,649.0,820.0,79.1,9209.0,2193.0,400.0,462.0,86.6,194.0,239.0,81.2,32.0,49.0,65.3,6.0,2.8,2.3,3.2,33.0,48.0,20.0,0.0,86.0,820.0,778.0,37.0,9.0,4.0,4.0,7.0,1.0,2.0,1.0,0.0,0.0,649.0,5.0,27.0,77.0,3.44,61.0,1.0,5.0,3.0,4.0,3.0,11.0,0.49,11.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,8.0,10.0,8.0,8.0,30.0,26.7,22.0,24.0,1.0,23.0,24.0,50.0,6.0,0.0,1051.0,7.0,112.0,507.0,448.0,55.0,1050.0,62.0,31.0,50.0,22.0,35.5,652.0,3119.0,1359.0,35.0,34.0,8.0,42.0,51.0,769.0,144.0,31,2013.0,65.0,58.9,22.4,23,78.0,7,8,26.0,2,1.45,29.0,24.0,5.0,0.22,0.86,26.9,25.7,1.2,0.05,0.54,6.0,0.0,0.0,36.0,61.0,2.0,7.0,24.0,14.0,0.0,0.0,0.0,106.0,17.0,39.0,30.4
Ezequiel Ávila,ar ARG,"FW,MF",28.0,19.0,8.0,64.0,21.0,32.8,3.37,1.11,0.09,0.29,21.9,2.0,2.0,3.0,6.7,4.4,0.07,1.3,1.6,287.0,526.0,54.6,5983.0,1501.0,131.0,185.0,70.8,87.0,151.0,57.6,62.0,139.0,44.6,2.0,1.7,2.1,0.3,18.0,24.0,25.0,14.0,39.0,526.0,478.0,43.0,10.0,2.0,24.0,81.0,8.0,15.0,6.0,7.0,0.0,287.0,5.0,21.0,41.0,2.16,28.0,2.0,4.0,4.0,2.0,1.0,2.0,0.11,1.0,0.0,0.0,1.0,0.0,0.0,8.0,5.0,2.0,4.0,2.0,6.0,23.0,26.1,17.0,12.0,1.0,11.0,8.0,16.0,16.0,0.0,739.0,18.0,83.0,275.0,383.0,61.0,736.0,34.0,17.0,50.0,14.0,41.2,422.0,1922.0,710.0,23.0,18.0,6.0,39.0,18.0,509.0,96.0,29,1709.0,59.0,50.0,19.0,23,68.0,1,6,23.0,3,1.31,18.0,17.0,1.0,0.05,0.37,19.2,20.2,-1.0,-0.05,0.22,7.0,1.0,0.0,25.0,35.0,14.0,81.0,8.0,5.0,0.0,0.0,0.0,54.0,35.0,50.0,41.2
Manuel Sánchez,es ESP,DF,21.0,23.6,0.0,10.0,3.0,30.0,0.42,0.13,0.0,0.0,20.8,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,916.0,1144.0,80.1,13651.0,4619.0,538.0,603.0,89.2,302.0,375.0,80.5,53.0,106.0,50.0,2.0,2.1,3.1,-0.1,28.0,72.0,35.0,21.0,100.0,1144.0,943.0,197.0,11.0,0.0,2.0,71.0,186.0,0.0,0.0,0.0,0.0,916.0,4.0,28.0,61.0,2.58,55.0,1.0,2.0,0.0,1.0,2.0,4.0,0.17,3.0,0.0,0.0,0.0,1.0,0.0,51.0,35.0,35.0,9.0,7.0,33.0,63.0,52.4,30.0,33.0,5.0,28.0,14.0,65.0,51.0,0.0,1385.0,64.0,330.0,619.0,451.0,43.0,1385.0,41.0,16.0,39.0,23.0,56.1,689.0,3461.0,1930.0,42.0,27.0,3.0,27.0,14.0,782.0,105.0,31,2124.0,69.0,62.1,23.6,22,90.0,21,9,16.0,7,1.35,22.0,26.0,-4.0,-0.17,-0.1,23.4,30.5,-7.1,-0.3,-0.35,3.0,0.0,0.0,26.0,10.0,2.0,71.0,14.0,35.0,1.0,0.0,0.0,126.0,15.0,22.0,40.5
Ante Budimir,hr CRO,FW,31.0,20.0,8.0,58.0,21.0,36.2,2.9,1.05,0.14,0.38,11.6,0.0,0.0,0.0,7.7,7.7,0.13,0.3,0.3,194.0,315.0,61.6,2324.0,372.0,123.0,172.0,71.5,55.0,97.0,56.7,1.0,7.0,14.3,0.0,0.7,0.6,-0.7,10.0,13.0,3.0,0.0,23.0,315.0,300.0,15.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,194.0,0.0,7.0,34.0,1.7,21.0,0.0,6.0,3.0,3.0,1.0,1.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,19.0,9.0,0.0,12.0,7.0,2.0,10.0,20.0,8.0,10.0,0.0,10.0,5.0,24.0,19.0,0.0,563.0,18.0,36.0,254.0,281.0,118.0,563.0,34.0,16.0,47.1,14.0,41.2,259.0,1199.0,449.0,23.0,16.0,10.0,62.0,27.0,398.0,98.0,31,1798.0,58.0,52.6,20.0,22,73.0,3,9,20.0,6,1.48,22.0,19.0,3.0,0.15,0.59,22.1,22.0,0.2,0.01,0.37,5.0,0.0,0.0,48.0,23.0,12.0,3.0,5.0,9.0,1.0,0.0,0.0,37.0,97.0,104.0,48.3
Juan Cruz Armada,es ESP,DF,30.0,22.9,0.0,2.0,0.0,0.0,0.09,0.0,0.0,,16.0,0.0,0.0,0.0,0.2,0.2,0.12,-0.2,-0.2,746.0,985.0,75.7,12722.0,5613.0,350.0,395.0,88.6,319.0,406.0,78.6,64.0,137.0,46.7,0.0,1.0,1.0,-1.0,15.0,66.0,17.0,10.0,68.0,985.0,791.0,188.0,16.0,0.0,1.0,35.0,168.0,0.0,0.0,0.0,0.0,746.0,6.0,21.0,39.0,1.7,31.0,6.0,0.0,1.0,0.0,1.0,3.0,0.13,2.0,1.0,0.0,0.0,0.0,0.0,24.0,14.0,17.0,4.0,3.0,13.0,23.0,56.5,10.0,21.0,8.0,13.0,13.0,37.0,58.0,0.0,1163.0,103.0,404.0,562.0,206.0,4.0,1163.0,15.0,6.0,40.0,5.0,33.3,543.0,2683.0,1400.0,15.0,15.0,1.0,17.0,4.0,620.0,55.0,27,2062.0,76.0,60.3,22.9,21,89.0,20,6,31.0,9,1.33,21.0,27.0,-6.0,-0.26,-0.33,25.3,28.1,-2.8,-0.12,0.11,7.0,0.0,0.0,17.0,9.0,1.0,35.0,13.0,14.0,0.0,0.0,0.0,94.0,18.0,22.0,45.0
Aitor Fernández,es ESP,GK,31.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,518.0,793.0,65.3,18920.0,16063.0,44.0,45.0,97.8,205.0,212.0,96.7,269.0,531.0,50.7,0.0,0.0,0.1,0.0,0.0,33.0,0.0,0.0,1.0,793.0,528.0,261.0,87.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,4.0,0.0,4.0,0.19,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,17.0,0.0,846.0,701.0,835.0,11.0,0.0,0.0,846.0,0.0,0.0,,0.0,,443.0,2217.0,1515.0,0.0,0.0,0.0,1.0,0.0,335.0,0.0,21,1890.0,90.0,55.3,21.0,21,90.0,21,0,,17,1.67,23.0,19.0,4.0,0.19,0.72,20.6,24.3,-3.6,-0.17,-0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,27.0,3.0,1.0,75.0
