player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Vinicius Júnior,br BRA,FW,22.0,31.4,10.0,77.0,36.0,46.8,2.45,1.15,0.13,0.28,16.2,0.0,0.0,0.0,10.5,10.5,0.14,-0.5,-0.5,883.0,1153.0,76.6,11725.0,2422.0,581.0,665.0,87.4,204.0,262.0,77.9,44.0,74.0,59.5,9.0,9.4,8.8,-0.4,64.0,30.0,45.0,2.0,87.0,1153.0,1107.0,41.0,8.0,5.0,10.0,64.0,24.0,7.0,0.0,0.0,0.0,883.0,5.0,61.0,161.0,5.13,103.0,2.0,27.0,11.0,17.0,1.0,21.0,0.67,12.0,0.0,4.0,4.0,0.0,1.0,30.0,21.0,10.0,12.0,8.0,14.0,39.0,35.9,25.0,24.0,1.0,23.0,6.0,36.0,1.0,0.0,1707.0,3.0,94.0,444.0,1190.0,260.0,1707.0,306.0,112.0,36.6,153.0,50.0,1357.0,10854.0,5658.0,221.0,99.0,140.0,103.0,61.0,1460.0,495.0,33,2823.0,86.0,82.5,31.4,32,87.0,21,1,30.0,0,2.0,58.0,32.0,26.0,0.83,-1.13,58.9,32.2,26.8,0.85,-0.63,10.0,1.0,0.0,47.0,122.0,23.0,64.0,6.0,21.0,1.0,0.0,0.0,98.0,2.0,6.0,25.0
Thibaut Courtois,be BEL,GK,30.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,980.0,1136.0,86.3,23008.0,14737.0,219.0,220.0,99.5,560.0,567.0,98.8,196.0,341.0,57.5,0.0,0.4,0.0,-0.4,2.0,6.0,1.0,0.0,0.0,1136.0,942.0,192.0,40.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,2.0,1.0,5.0,0.16,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,1.0,1209.0,1020.0,1205.0,5.0,0.0,0.0,1209.0,2.0,2.0,100.0,0.0,0.0,824.0,4223.0,2619.0,0.0,0.0,0.0,2.0,0.0,704.0,0.0,31,2790.0,90.0,81.6,31.0,31,90.0,31,0,,1,2.1,61.0,29.0,32.0,1.03,0.03,61.5,32.3,29.2,0.94,-0.11,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,59.0,9.0,0.0,100.0
Éder Militão,br BRA,DF,24.0,30.0,5.0,22.0,8.0,36.4,0.73,0.27,0.23,0.63,13.8,0.0,0.0,0.0,2.4,2.4,0.11,2.6,2.6,1660.0,1881.0,88.3,31882.0,10563.0,648.0,691.0,93.8,794.0,862.0,92.1,188.0,273.0,68.9,0.0,0.6,0.8,-0.6,6.0,138.0,5.0,1.0,98.0,1881.0,1756.0,123.0,52.0,2.0,40.0,12.0,25.0,0.0,0.0,0.0,0.0,1660.0,2.0,20.0,22.0,0.73,19.0,2.0,0.0,0.0,1.0,0.0,4.0,0.13,3.0,0.0,0.0,0.0,1.0,0.0,46.0,32.0,25.0,18.0,3.0,26.0,33.0,78.8,7.0,67.0,39.0,28.0,42.0,88.0,104.0,2.0,2216.0,314.0,1088.0,984.0,157.0,31.0,2216.0,19.0,11.0,57.9,6.0,31.6,1378.0,7011.0,3877.0,28.0,20.0,1.0,16.0,6.0,1505.0,16.0,33,2703.0,82.0,79.0,30.0,30,88.0,28,3,22.0,2,2.0,60.0,29.0,31.0,1.03,0.03,60.7,33.0,27.6,0.92,-0.2,4.0,0.0,0.0,35.0,38.0,1.0,12.0,42.0,32.0,1.0,1.0,0.0,159.0,64.0,34.0,65.3
Federico Valverde,uy URU,"MF,FW",24.0,27.8,7.0,63.0,21.0,33.3,2.27,0.76,0.11,0.33,22.7,2.0,0.0,0.0,4.3,4.3,0.07,2.7,2.7,1427.0,1641.0,87.0,21092.0,4276.0,855.0,915.0,93.4,424.0,489.0,86.7,99.0,136.0,72.8,4.0,6.3,5.1,-2.3,43.0,118.0,45.0,6.0,151.0,1641.0,1611.0,21.0,6.0,3.0,22.0,27.0,14.0,0.0,0.0,0.0,0.0,1427.0,9.0,26.0,81.0,2.91,77.0,0.0,2.0,1.0,1.0,0.0,14.0,0.5,13.0,0.0,1.0,0.0,0.0,0.0,31.0,20.0,14.0,11.0,6.0,13.0,26.0,50.0,13.0,31.0,4.0,27.0,17.0,48.0,15.0,0.0,1870.0,35.0,229.0,857.0,800.0,54.0,1870.0,44.0,31.0,70.5,10.0,22.7,1190.0,6633.0,3349.0,70.0,68.0,8.0,21.0,7.0,1485.0,135.0,34,2502.0,74.0,73.2,27.8,29,82.0,17,5,26.0,4,2.09,51.0,25.0,26.0,0.94,-0.34,52.7,26.7,26.0,0.93,-0.1,2.0,0.0,0.0,11.0,15.0,5.0,27.0,17.0,20.0,0.0,0.0,0.0,132.0,31.0,11.0,73.8
Antonio Rüdiger,de GER,DF,29.0,26.8,1.0,22.0,4.0,18.2,0.82,0.15,0.05,0.25,14.8,0.0,0.0,0.0,1.8,1.8,0.08,-0.8,-0.8,1486.0,1617.0,91.9,26566.0,8924.0,595.0,621.0,95.8,768.0,807.0,95.2,109.0,153.0,71.2,0.0,0.1,0.9,-0.1,2.0,75.0,6.0,0.0,59.0,1617.0,1562.0,55.0,25.0,3.0,16.0,5.0,20.0,0.0,0.0,0.0,0.0,1486.0,0.0,14.0,18.0,0.67,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,18.0,16.0,12.0,5.0,1.0,14.0,23.0,60.9,9.0,23.0,13.0,10.0,19.0,37.0,74.0,0.0,1814.0,194.0,907.0,840.0,79.0,25.0,1814.0,4.0,3.0,75.0,1.0,25.0,1216.0,5991.0,3731.0,21.0,11.0,0.0,8.0,2.0,1339.0,10.0,33,2415.0,73.0,70.6,26.8,26,90.0,25,7,12.0,2,2.0,44.0,25.0,19.0,0.71,-1.08,51.1,27.2,23.8,0.89,-0.25,1.0,0.0,0.0,13.0,7.0,2.0,5.0,19.0,16.0,0.0,0.0,0.0,158.0,37.0,22.0,62.7
Rodrygo,br BRA,"FW,MF",21.0,26.4,9.0,97.0,31.0,32.0,3.67,1.17,0.08,0.26,16.6,8.0,1.0,1.0,13.7,12.9,0.13,-4.7,-4.9,918.0,1050.0,87.4,10744.0,2092.0,650.0,702.0,92.6,162.0,188.0,86.2,33.0,43.0,76.7,8.0,7.0,6.2,1.0,47.0,63.0,28.0,3.0,81.0,1050.0,991.0,51.0,6.0,2.0,6.0,22.0,9.0,18.0,3.0,2.0,0.0,918.0,8.0,24.0,133.0,5.03,78.0,5.0,25.0,9.0,15.0,1.0,21.0,0.79,12.0,0.0,6.0,0.0,3.0,0.0,17.0,10.0,3.0,7.0,7.0,4.0,23.0,17.4,19.0,23.0,0.0,23.0,8.0,25.0,5.0,0.0,1400.0,3.0,56.0,537.0,823.0,204.0,1399.0,169.0,81.0,47.9,68.0,40.2,1035.0,6613.0,3658.0,146.0,81.0,79.0,64.0,30.0,1198.0,268.0,34,2379.0,70.0,69.6,26.4,25,86.0,15,9,24.0,0,2.0,54.0,27.0,27.0,1.02,-0.02,56.8,26.6,30.2,1.14,0.59,4.0,0.0,0.0,18.0,49.0,10.0,22.0,8.0,10.0,2.0,0.0,0.0,63.0,14.0,23.0,37.8
Toni Kroos,de GER,MF,32.0,23.9,2.0,31.0,11.0,35.5,1.29,0.46,0.06,0.18,25.4,5.0,0.0,0.0,1.4,1.4,0.05,0.6,0.6,2255.0,2482.0,90.9,42174.0,15247.0,991.0,1022.0,97.0,907.0,964.0,94.1,314.0,419.0,74.9,4.0,4.4,5.5,-0.4,55.0,372.0,26.0,7.0,319.0,2482.0,2246.0,223.0,123.0,4.0,41.0,122.0,15.0,84.0,27.0,30.0,1.0,2255.0,13.0,12.0,103.0,4.3,64.0,33.0,0.0,3.0,2.0,1.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,51.0,32.0,16.0,33.0,2.0,23.0,69.0,33.3,46.0,23.0,4.0,19.0,24.0,75.0,11.0,0.0,2633.0,58.0,531.0,1618.0,506.0,18.0,2633.0,26.0,9.0,34.6,10.0,38.5,1796.0,8015.0,4384.0,51.0,41.0,3.0,10.0,12.0,2106.0,38.0,30,2155.0,72.0,63.0,23.9,25,82.0,12,5,22.0,3,2.0,48.0,23.0,25.0,1.04,0.05,43.8,26.7,17.1,0.71,-0.67,2.0,1.0,1.0,28.0,36.0,0.0,122.0,24.0,32.0,0.0,1.0,0.0,154.0,7.0,4.0,63.6
Aurélien Tchouaméni,fr FRA,MF,22.0,23.5,0.0,38.0,6.0,15.8,1.61,0.25,0.0,0.0,22.1,0.0,0.0,0.0,1.8,1.8,0.05,-1.8,-1.8,1578.0,1700.0,92.8,25016.0,7823.0,807.0,851.0,94.8,646.0,686.0,94.2,88.0,106.0,83.0,4.0,2.2,2.1,1.8,22.0,159.0,11.0,0.0,142.0,1700.0,1657.0,41.0,40.0,7.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,1578.0,2.0,9.0,63.0,2.67,53.0,1.0,2.0,3.0,3.0,1.0,12.0,0.51,11.0,0.0,0.0,0.0,1.0,0.0,64.0,40.0,23.0,36.0,5.0,23.0,38.0,60.5,15.0,20.0,6.0,14.0,49.0,113.0,50.0,0.0,1990.0,94.0,470.0,1234.0,298.0,29.0,1990.0,39.0,28.0,71.8,8.0,20.5,1291.0,6841.0,3344.0,41.0,43.0,4.0,24.0,12.0,1533.0,23.0,33,2119.0,64.0,62.0,23.5,24,80.0,14,9,21.0,1,2.03,51.0,27.0,24.0,1.02,-0.02,46.3,25.3,21.0,0.89,-0.19,2.0,0.0,0.0,35.0,35.0,0.0,12.0,49.0,40.0,0.0,0.0,0.0,123.0,48.0,24.0,66.7
Karim Benzema,fr FRA,FW,34.0,22.6,19.0,99.0,36.0,36.4,4.37,1.59,0.12,0.33,15.9,6.0,7.0,8.0,21.5,14.9,0.15,-2.5,-2.9,924.0,1070.0,86.4,10990.0,2417.0,624.0,695.0,89.8,193.0,210.0,91.9,24.0,32.0,75.0,3.0,5.8,5.5,-2.8,48.0,71.0,51.0,0.0,138.0,1070.0,1012.0,52.0,4.0,9.0,7.0,3.0,4.0,9.0,0.0,0.0,0.0,924.0,6.0,25.0,102.0,4.5,86.0,1.0,6.0,7.0,2.0,0.0,7.0,0.31,5.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,2.0,4.0,3.0,2.0,11.0,18.2,9.0,11.0,0.0,11.0,2.0,11.0,5.0,0.0,1284.0,7.0,56.0,457.0,776.0,175.0,1276.0,44.0,20.0,45.5,22.0,50.0,796.0,3734.0,1900.0,72.0,43.0,31.0,32.0,28.0,1092.0,157.0,24,2038.0,85.0,59.6,22.6,24,85.0,18,0,,0,2.08,46.0,17.0,29.0,1.28,0.63,47.5,23.9,23.6,1.04,0.2,1.0,0.0,0.0,10.0,6.0,22.0,3.0,2.0,5.0,2.0,0.0,0.0,35.0,14.0,13.0,51.9
Eduardo Camavinga,fr FRA,"MF,DF",19.0,22.3,0.0,18.0,3.0,16.7,0.81,0.13,0.0,0.0,23.2,0.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,1364.0,1504.0,90.7,21221.0,5654.0,711.0,763.0,93.2,517.0,548.0,94.3,89.0,112.0,79.5,1.0,1.5,2.2,-0.5,24.0,138.0,17.0,1.0,165.0,1504.0,1389.0,107.0,34.0,4.0,6.0,6.0,73.0,0.0,0.0,0.0,0.0,1364.0,8.0,15.0,72.0,3.23,55.0,0.0,5.0,3.0,9.0,0.0,5.0,0.22,3.0,0.0,0.0,1.0,1.0,0.0,68.0,48.0,32.0,21.0,15.0,24.0,64.0,37.5,40.0,24.0,5.0,19.0,17.0,85.0,25.0,0.0,1770.0,51.0,372.0,942.0,485.0,39.0,1770.0,71.0,38.0,53.5,25.0,35.2,1162.0,6589.0,3684.0,69.0,77.0,12.0,39.0,28.0,1326.0,99.0,37,2010.0,54.0,58.8,22.3,21,78.0,11,16,23.0,0,2.11,51.0,16.0,35.0,1.57,1.31,47.6,20.8,26.8,1.2,0.58,6.0,0.0,0.0,39.0,69.0,3.0,6.0,17.0,48.0,0.0,0.0,0.0,136.0,22.0,11.0,66.7
