player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Régis Gurtner,fr FRA,GK,30.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,648.0,1255.0,51.6,25872.0,22427.0,43.0,43.0,100.0,214.0,217.0,98.6,390.0,992.0,39.3,0.0,0.0,0.1,0.0,0.0,29.0,0.0,0.0,0.0,1255.0,719.0,536.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,0.0,2.0,8.0,0.22,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,5.0,15.0,4.0,1345.0,1153.0,1332.0,14.0,0.0,0.0,1345.0,2.0,2.0,100.0,0.0,0.0,540.0,3866.0,2994.0,0.0,1.0,1.0,1.0,0.0,363.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.22,37.0,41.0,-4.0,-0.11,0.89,32.2,53.6,-21.4,-0.58,0.11,2.0,0.0,0.0,1.0,9.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,45.0,6.0,0.0,100.0
Gaël Kakuta,cd COD,"MF,FW",26.0,34.3,6.0,53.0,18.0,34.0,1.55,0.53,0.11,0.33,24.7,10.0,0.0,1.0,4.2,3.4,0.06,1.8,2.6,895.0,1420.0,63.0,13653.0,5230.0,484.0,618.0,78.3,254.0,384.0,66.1,89.0,229.0,38.9,6.0,6.1,7.0,-0.1,64.0,112.0,37.0,13.0,151.0,1420.0,1241.0,162.0,64.0,10.0,8.0,173.0,9.0,82.0,24.0,43.0,0.0,895.0,17.0,54.0,123.0,3.59,69.0,28.0,15.0,4.0,6.0,1.0,10.0,0.29,6.0,1.0,3.0,0.0,0.0,0.0,54.0,32.0,14.0,27.0,13.0,9.0,40.0,22.5,31.0,33.0,3.0,30.0,26.0,80.0,19.0,0.0,1833.0,25.0,183.0,967.0,712.0,42.0,1832.0,142.0,89.0,62.7,53.0,37.3,988.0,5486.0,2599.0,77.0,56.0,7.0,109.0,126.0,1281.0,194.0,36,3083.0,86.0,90.1,34.3,36,86.0,27,0,,0,1.25,36.0,35.0,1.0,0.03,1.63,28.9,47.1,-18.2,-0.53,0.51,3.0,0.0,0.0,17.0,63.0,7.0,173.0,26.0,32.0,0.0,0.0,0.0,203.0,45.0,103.0,30.4
Thomas Monconduit,fr FRA,MF,26.0,32.8,1.0,27.0,4.0,14.8,0.82,0.12,0.04,0.25,27.7,0.0,0.0,0.0,0.9,0.9,0.03,0.1,0.1,1136.0,1449.0,78.4,19186.0,6245.0,554.0,656.0,84.5,416.0,510.0,81.6,120.0,187.0,64.2,3.0,2.3,2.3,0.7,23.0,119.0,19.0,2.0,165.0,1449.0,1400.0,46.0,35.0,10.0,20.0,14.0,2.0,0.0,0.0,0.0,0.0,1136.0,3.0,25.0,55.0,1.68,46.0,2.0,2.0,2.0,3.0,0.0,7.0,0.21,6.0,0.0,0.0,0.0,1.0,0.0,81.0,49.0,33.0,43.0,5.0,34.0,87.0,39.1,53.0,52.0,17.0,35.0,55.0,136.0,81.0,2.0,1812.0,107.0,397.0,1211.0,227.0,10.0,1812.0,52.0,37.0,71.2,15.0,28.8,886.0,4325.0,2148.0,34.0,34.0,3.0,42.0,31.0,1105.0,34.0,34,2948.0,87.0,86.2,32.8,34,87.0,26,0,,0,1.21,31.0,38.0,-7.0,-0.21,-0.6,29.4,48.5,-19.1,-0.58,-0.01,7.0,1.0,0.0,64.0,46.0,2.0,14.0,55.0,49.0,1.0,0.0,0.0,198.0,50.0,31.0,61.7
Khaled Adénon,bj BEN,DF,32.0,32.5,0.0,5.0,1.0,20.0,0.15,0.03,0.0,0.0,9.1,0.0,0.0,0.0,0.6,0.6,0.13,-0.6,-0.6,960.0,1157.0,83.0,19763.0,8032.0,309.0,352.0,87.8,490.0,545.0,89.9,149.0,223.0,66.8,1.0,0.2,0.1,0.8,2.0,34.0,2.0,0.0,51.0,1157.0,1091.0,64.0,63.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,960.0,2.0,9.0,15.0,0.46,9.0,4.0,0.0,1.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,38.0,24.0,26.0,12.0,0.0,15.0,32.0,46.9,17.0,42.0,26.0,16.0,65.0,103.0,221.0,1.0,1562.0,274.0,941.0,621.0,16.0,10.0,1562.0,7.0,4.0,57.1,3.0,42.9,697.0,3218.0,1795.0,6.0,3.0,0.0,12.0,7.0,739.0,1.0,34,2921.0,86.0,85.4,32.5,32,90.0,32,2,21.0,2,1.26,32.0,37.0,-5.0,-0.15,-0.15,26.4,49.2,-22.8,-0.7,-0.83,9.0,0.0,0.0,50.0,39.0,1.0,0.0,65.0,24.0,0.0,1.0,0.0,195.0,64.0,46.0,58.2
Prince-Désir Gouano,fr FRA,DF,23.0,30.5,0.0,8.0,1.0,12.5,0.26,0.03,0.0,0.0,8.8,0.0,0.0,0.0,0.8,0.8,0.1,-0.8,-0.8,860.0,1079.0,79.7,16195.0,6316.0,291.0,330.0,88.2,489.0,562.0,87.0,70.0,157.0,44.6,0.0,0.1,0.2,-0.1,2.0,20.0,2.0,1.0,46.0,1079.0,1038.0,37.0,37.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,860.0,4.0,8.0,9.0,0.29,7.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,42.0,29.0,32.0,8.0,2.0,22.0,31.0,71.0,9.0,58.0,47.0,11.0,49.0,91.0,191.0,6.0,1441.0,212.0,884.0,538.0,21.0,9.0,1441.0,9.0,6.0,66.7,3.0,33.3,608.0,2382.0,1171.0,0.0,1.0,0.0,6.0,3.0,688.0,0.0,32,2746.0,86.0,80.3,30.5,32,86.0,27,0,,2,1.13,27.0,35.0,-8.0,-0.26,-0.66,25.6,45.2,-19.6,-0.64,-0.3,4.0,3.0,2.0,26.0,26.0,0.0,2.0,49.0,29.0,0.0,0.0,0.0,166.0,92.0,67.0,57.9
Bakaye Dibassy,ml MLI,DF,27.0,30.9,1.0,12.0,2.0,16.7,0.39,0.06,0.08,0.5,16.0,0.0,0.0,0.0,1.2,1.2,0.1,-0.2,-0.2,979.0,1268.0,77.2,16387.0,7447.0,481.0,538.0,89.4,404.0,496.0,81.5,70.0,158.0,44.3,1.0,0.7,1.3,0.3,9.0,56.0,6.0,2.0,87.0,1268.0,1041.0,218.0,27.0,0.0,0.0,36.0,191.0,0.0,0.0,0.0,0.0,979.0,9.0,37.0,25.0,0.81,18.0,4.0,3.0,0.0,0.0,0.0,2.0,0.06,1.0,0.0,1.0,0.0,0.0,0.0,71.0,51.0,45.0,22.0,4.0,24.0,50.0,48.0,26.0,52.0,26.0,26.0,58.0,129.0,148.0,0.0,1676.0,154.0,698.0,755.0,246.0,28.0,1676.0,41.0,37.0,90.2,4.0,9.8,751.0,3590.0,1856.0,48.0,31.0,5.0,29.0,31.0,801.0,48.0,32,2778.0,87.0,81.2,30.9,31,89.0,29,1,30.0,3,1.34,32.0,33.0,-1.0,-0.03,0.53,29.0,43.3,-14.3,-0.46,0.63,4.0,0.0,0.0,33.0,23.0,4.0,36.0,58.0,51.0,0.0,1.0,0.0,193.0,39.0,54.0,41.9
Moussa Konaté,sn SEN,FW,24.0,27.5,13.0,66.0,24.0,36.4,2.4,0.87,0.17,0.46,14.4,0.0,2.0,2.0,10.2,8.6,0.13,2.8,2.4,355.0,537.0,66.1,4763.0,805.0,214.0,300.0,71.3,97.0,136.0,71.3,18.0,42.0,42.9,1.0,1.5,1.7,-0.5,16.0,18.0,18.0,3.0,42.0,537.0,486.0,51.0,1.0,1.0,3.0,23.0,3.0,0.0,0.0,0.0,0.0,355.0,0.0,20.0,53.0,1.93,35.0,1.0,3.0,4.0,10.0,0.0,6.0,0.22,3.0,0.0,0.0,1.0,2.0,0.0,8.0,6.0,1.0,4.0,3.0,3.0,23.0,13.0,20.0,10.0,2.0,8.0,3.0,11.0,11.0,0.0,808.0,14.0,40.0,401.0,379.0,97.0,806.0,27.0,12.0,44.4,15.0,55.6,504.0,2615.0,989.0,46.0,35.0,14.0,90.0,53.0,649.0,173.0,33,2472.0,75.0,72.3,27.5,28,83.0,13,5,29.0,0,1.15,27.0,28.0,-1.0,-0.04,0.34,23.5,37.6,-14.1,-0.51,0.25,8.0,0.0,0.0,52.0,53.0,29.0,23.0,3.0,6.0,1.0,0.0,0.0,55.0,71.0,108.0,39.7
Oualid El Hajjam,ma MAR,DF,26.0,24.4,1.0,18.0,2.0,11.1,0.74,0.08,0.06,0.5,23.8,0.0,0.0,0.0,0.6,0.6,0.03,0.4,0.4,761.0,1086.0,70.1,12122.0,5521.0,394.0,461.0,85.5,293.0,411.0,71.3,49.0,142.0,34.5,1.0,0.6,0.9,0.4,11.0,47.0,11.0,4.0,63.0,1086.0,790.0,290.0,11.0,0.0,8.0,53.0,279.0,0.0,0.0,0.0,0.0,761.0,6.0,30.0,29.0,1.19,21.0,4.0,1.0,1.0,2.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,64.0,44.0,37.0,22.0,5.0,23.0,49.0,46.9,26.0,25.0,5.0,20.0,59.0,123.0,91.0,1.0,1405.0,93.0,490.0,671.0,265.0,18.0,1405.0,32.0,19.0,59.4,13.0,40.6,571.0,3075.0,1650.0,48.0,29.0,3.0,39.0,29.0,593.0,74.0,26,2198.0,85.0,64.3,24.4,24,89.0,23,2,32.0,11,1.08,22.0,28.0,-6.0,-0.25,-0.32,21.4,35.0,-13.6,-0.56,0.07,6.0,0.0,0.0,37.0,26.0,0.0,53.0,59.0,44.0,0.0,1.0,0.0,159.0,17.0,29.0,37.0
Bongani Zungu,za RSA,MF,24.0,23.2,1.0,7.0,2.0,28.6,0.3,0.09,0.14,0.5,27.3,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,897.0,1096.0,81.8,16698.0,4636.0,378.0,430.0,87.9,367.0,429.0,85.5,121.0,170.0,71.2,0.0,0.4,0.4,-0.4,12.0,66.0,2.0,1.0,90.0,1096.0,1065.0,27.0,26.0,0.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,897.0,4.0,13.0,29.0,1.25,23.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,37.0,21.0,26.0,7.0,24.0,56.0,42.9,32.0,30.0,5.0,25.0,38.0,92.0,41.0,2.0,1314.0,52.0,337.0,901.0,97.0,7.0,1314.0,21.0,16.0,76.2,5.0,23.8,692.0,3373.0,1660.0,20.0,12.0,3.0,24.0,14.0,798.0,15.0,26,2084.0,80.0,60.9,23.2,24,85.0,17,2,23.0,1,1.19,23.0,26.0,-3.0,-0.13,0.01,19.0,31.9,-12.9,-0.56,0.06,5.0,0.0,0.0,37.0,23.0,0.0,12.0,38.0,37.0,0.0,0.0,0.0,177.0,30.0,32.0,48.4
Serge Gakpé,tg TOG,"FW,MF",30.0,20.3,3.0,30.0,12.0,40.0,1.48,0.59,0.1,0.25,18.1,0.0,0.0,0.0,3.7,3.7,0.12,-0.7,-0.7,348.0,508.0,68.5,4988.0,1791.0,204.0,265.0,77.0,114.0,156.0,73.1,16.0,33.0,48.5,3.0,1.1,1.0,1.9,17.0,39.0,9.0,1.0,58.0,508.0,500.0,8.0,2.0,1.0,2.0,27.0,4.0,2.0,0.0,2.0,0.0,348.0,0.0,23.0,31.0,1.53,26.0,1.0,1.0,1.0,2.0,0.0,5.0,0.25,3.0,1.0,1.0,0.0,0.0,0.0,16.0,11.0,9.0,7.0,0.0,6.0,27.0,22.2,21.0,18.0,1.0,17.0,10.0,26.0,15.0,0.0,677.0,19.0,118.0,336.0,235.0,54.0,677.0,34.0,19.0,55.9,15.0,44.1,410.0,2707.0,1334.0,46.0,23.0,9.0,39.0,23.0,478.0,122.0,29,1825.0,63.0,53.4,20.3,23,72.0,7,6,28.0,1,1.28,21.0,16.0,5.0,0.25,0.81,16.2,24.1,-7.9,-0.39,0.41,1.0,0.0,0.0,18.0,16.0,8.0,27.0,10.0,11.0,0.0,0.0,0.0,89.0,17.0,38.0,30.9
