player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Thomas Mangani,fr FRA,MF,30.0,33.6,2.0,36.0,9.0,25.0,1.07,0.27,0.03,0.11,22.5,10.0,1.0,1.0,3.6,2.8,0.08,-1.6,-1.8,1541.0,2151.0,71.6,27836.0,11309.0,718.0,831.0,86.4,565.0,753.0,75.0,206.0,429.0,48.0,6.0,6.2,7.0,-0.2,63.0,195.0,25.0,7.0,272.0,2151.0,1877.0,265.0,142.0,10.0,31.0,181.0,13.0,89.0,47.0,27.0,0.0,1541.0,9.0,57.0,120.0,3.57,75.0,32.0,2.0,6.0,3.0,2.0,12.0,0.36,8.0,3.0,1.0,0.0,0.0,0.0,92.0,59.0,35.0,46.0,11.0,28.0,120.0,23.3,92.0,40.0,5.0,35.0,40.0,132.0,45.0,1.0,2481.0,56.0,415.0,1473.0,616.0,36.0,2480.0,36.0,20.0,55.6,16.0,44.4,1466.0,6144.0,2781.0,27.0,42.0,3.0,42.0,43.0,1620.0,68.0,35,3025.0,86.0,88.5,33.6,34,89.0,31,1,5.0,0,1.14,40.0,48.0,-8.0,-0.24,0.22,42.9,41.3,1.6,0.05,0.01,7.0,0.0,0.0,50.0,31.0,2.0,181.0,40.0,59.0,0.0,1.0,0.0,221.0,33.0,50.0,39.8
Karl Toko Ekambi,cm CMR,"FW,MF",24.0,33.8,17.0,99.0,43.0,43.4,2.93,1.27,0.14,0.33,16.0,1.0,3.0,3.0,17.1,14.7,0.15,-0.1,-0.7,720.0,953.0,75.6,10382.0,1690.0,416.0,515.0,80.8,197.0,257.0,76.7,50.0,65.0,76.9,6.0,5.8,3.3,0.2,47.0,37.0,30.0,5.0,76.0,953.0,898.0,55.0,1.0,8.0,9.0,39.0,17.0,0.0,0.0,0.0,0.0,720.0,0.0,35.0,109.0,3.23,71.0,0.0,22.0,7.0,8.0,1.0,14.0,0.41,10.0,0.0,1.0,1.0,2.0,0.0,17.0,8.0,2.0,5.0,10.0,5.0,29.0,17.2,24.0,13.0,0.0,13.0,15.0,32.0,2.0,0.0,1350.0,2.0,60.0,577.0,736.0,168.0,1347.0,131.0,66.0,50.4,65.0,49.6,1037.0,6747.0,3048.0,138.0,77.0,55.0,106.0,86.0,1125.0,352.0,37,3040.0,82.0,88.9,33.8,33,88.0,29,4,31.0,0,1.08,38.0,47.0,-9.0,-0.27,-0.03,44.2,41.0,3.3,0.1,0.44,4.0,0.0,0.0,31.0,35.0,28.0,39.0,15.0,8.0,2.0,0.0,0.0,89.0,28.0,78.0,26.4
Vincent Manceau,fr FRA,DF,28.0,33.0,0.0,16.0,3.0,18.8,0.48,0.09,0.0,0.0,23.5,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,1329.0,1737.0,76.5,21362.0,9091.0,730.0,805.0,90.7,474.0,614.0,77.2,105.0,240.0,43.8,0.0,2.1,1.7,-2.1,22.0,74.0,25.0,10.0,130.0,1737.0,1275.0,457.0,34.0,4.0,6.0,62.0,423.0,0.0,0.0,0.0,0.0,1329.0,5.0,43.0,48.0,1.45,36.0,6.0,2.0,0.0,3.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,84.0,49.0,56.0,22.0,6.0,42.0,76.0,55.3,34.0,34.0,2.0,32.0,34.0,118.0,103.0,0.0,2079.0,87.0,642.0,983.0,475.0,22.0,2079.0,24.0,16.0,66.7,8.0,33.3,977.0,4756.0,2895.0,64.0,48.0,4.0,23.0,21.0,1015.0,104.0,33,2970.0,90.0,86.8,33.0,33,90.0,33,0,,1,1.21,41.0,44.0,-3.0,-0.09,1.31,41.7,39.0,2.7,0.08,0.25,0.0,0.0,0.0,25.0,29.0,1.0,62.0,34.0,49.0,0.0,1.0,0.0,195.0,30.0,26.0,53.6
Ismaël Traoré,ci CIV,DF,30.0,31.7,3.0,14.0,6.0,42.9,0.44,0.19,0.21,0.5,9.5,0.0,0.0,0.0,1.8,1.8,0.13,1.2,1.2,932.0,1118.0,83.4,19655.0,7773.0,246.0,271.0,90.8,546.0,602.0,90.7,132.0,212.0,62.3,1.0,0.3,0.2,0.7,4.0,32.0,3.0,1.0,42.0,1118.0,1086.0,27.0,26.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,932.0,5.0,17.0,16.0,0.5,12.0,1.0,2.0,1.0,0.0,0.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,54.0,32.0,40.0,13.0,1.0,14.0,29.0,48.3,15.0,25.0,10.0,15.0,52.0,106.0,132.0,2.0,1411.0,142.0,728.0,654.0,49.0,20.0,1411.0,19.0,14.0,73.7,5.0,26.3,849.0,3883.0,2030.0,8.0,11.0,0.0,16.0,5.0,788.0,6.0,32,2855.0,89.0,83.5,31.7,32,89.0,30,0,,3,1.09,35.0,44.0,-9.0,-0.28,-0.12,40.7,38.7,2.0,0.06,0.08,2.0,0.0,0.0,25.0,4.0,0.0,3.0,52.0,32.0,0.0,1.0,1.0,199.0,41.0,36.0,53.2
Baptiste Santamaria,fr FRA,MF,22.0,28.8,0.0,18.0,1.0,5.6,0.63,0.03,0.0,0.0,27.2,0.0,0.0,0.0,0.6,0.6,0.03,-0.6,-0.6,929.0,1191.0,78.0,16225.0,5157.0,456.0,537.0,84.9,343.0,424.0,80.9,110.0,176.0,62.5,0.0,0.8,1.4,-0.8,17.0,107.0,7.0,2.0,134.0,1191.0,1184.0,4.0,1.0,4.0,12.0,16.0,2.0,1.0,1.0,0.0,0.0,929.0,3.0,16.0,45.0,1.56,34.0,0.0,2.0,2.0,6.0,1.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,59.0,40.0,25.0,29.0,5.0,23.0,83.0,27.7,60.0,39.0,8.0,31.0,43.0,102.0,48.0,2.0,1453.0,64.0,363.0,937.0,172.0,8.0,1453.0,25.0,22.0,88.0,3.0,12.0,836.0,4193.0,2114.0,29.0,35.0,4.0,26.0,26.0,854.0,15.0,31,2591.0,84.0,75.8,28.8,30,85.0,22,1,40.0,2,1.06,28.0,43.0,-15.0,-0.52,-1.06,33.2,35.0,-1.8,-0.06,-0.45,6.0,0.0,0.0,48.0,50.0,1.0,16.0,43.0,40.0,0.0,0.0,0.0,179.0,43.0,34.0,55.8
Romain Thomas,fr FRA,DF,29.0,27.4,2.0,17.0,6.0,35.3,0.62,0.22,0.12,0.33,10.4,0.0,0.0,0.0,1.8,1.8,0.11,0.2,0.2,967.0,1196.0,80.9,19892.0,8700.0,323.0,353.0,91.5,485.0,552.0,87.9,148.0,269.0,55.0,0.0,1.0,0.8,-1.0,5.0,53.0,1.0,0.0,60.0,1196.0,1143.0,47.0,46.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,967.0,6.0,5.0,20.0,0.73,15.0,0.0,0.0,4.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,16.0,15.0,0.0,14.0,29.0,48.3,15.0,32.0,19.0,13.0,34.0,65.0,151.0,1.0,1480.0,187.0,785.0,663.0,43.0,27.0,1480.0,2.0,2.0,100.0,0.0,0.0,793.0,3459.0,2032.0,5.0,3.0,0.0,13.0,6.0,881.0,5.0,28,2470.0,88.0,72.2,27.4,28,88.0,26,0,,8,0.86,30.0,44.0,-14.0,-0.51,-0.89,33.2,35.4,-2.1,-0.08,-0.45,5.0,0.0,0.0,27.0,25.0,3.0,1.0,34.0,21.0,0.0,2.0,1.0,125.0,74.0,45.0,62.2
Flavien Tait,fr FRA,MF,24.0,24.8,4.0,58.0,26.0,44.8,2.34,1.05,0.07,0.15,22.8,3.0,0.0,0.0,4.0,4.0,0.07,0.0,0.0,692.0,980.0,70.6,10610.0,3380.0,398.0,477.0,83.4,192.0,279.0,68.8,69.0,124.0,55.6,3.0,5.3,4.1,-2.3,37.0,65.0,29.0,7.0,103.0,980.0,902.0,73.0,15.0,10.0,4.0,102.0,17.0,39.0,20.0,16.0,0.0,692.0,5.0,40.0,88.0,3.54,50.0,13.0,13.0,4.0,8.0,0.0,10.0,0.4,7.0,2.0,0.0,0.0,1.0,0.0,50.0,36.0,26.0,18.0,6.0,18.0,78.0,23.1,60.0,43.0,4.0,39.0,20.0,70.0,17.0,1.0,1315.0,14.0,194.0,631.0,522.0,45.0,1315.0,101.0,69.0,68.3,31.0,30.7,902.0,6064.0,3258.0,111.0,87.0,18.0,52.0,60.0,919.0,182.0,31,2235.0,72.0,65.4,24.8,26,81.0,9,5,25.0,2,1.06,28.0,29.0,-1.0,-0.04,0.64,31.2,30.2,0.9,0.04,-0.03,4.0,1.0,1.0,29.0,50.0,3.0,102.0,20.0,36.0,0.0,0.0,0.0,160.0,2.0,17.0,10.5
Yoann Andreu,fr FRA,DF,28.0,23.0,1.0,5.0,2.0,40.0,0.22,0.09,0.2,0.5,26.1,0.0,0.0,0.0,0.1,0.1,0.03,0.9,0.9,946.0,1216.0,77.8,14091.0,6398.0,548.0,605.0,90.6,314.0,418.0,75.1,53.0,124.0,42.7,2.0,1.9,1.7,0.1,14.0,55.0,17.0,14.0,87.0,1216.0,951.0,261.0,8.0,0.0,5.0,59.0,253.0,0.0,0.0,0.0,0.0,946.0,4.0,29.0,38.0,1.65,31.0,3.0,2.0,0.0,2.0,0.0,4.0,0.17,3.0,0.0,0.0,0.0,1.0,0.0,48.0,30.0,40.0,6.0,2.0,16.0,39.0,41.0,23.0,23.0,5.0,18.0,37.0,85.0,75.0,1.0,1441.0,57.0,484.0,646.0,325.0,11.0,1441.0,24.0,13.0,54.2,11.0,45.8,753.0,3736.0,2065.0,37.0,50.0,4.0,20.0,18.0,743.0,74.0,23,2070.0,90.0,60.5,23.0,23,90.0,23,0,,2,1.17,25.0,26.0,-1.0,-0.04,0.56,29.1,25.7,3.3,0.14,0.24,4.0,0.0,0.0,21.0,15.0,0.0,59.0,37.0,30.0,0.0,0.0,0.0,145.0,31.0,23.0,57.4
Pierrick Capelle,fr FRA,MF,30.0,20.9,2.0,40.0,12.0,30.0,1.91,0.57,0.05,0.17,19.9,1.0,0.0,0.0,2.6,2.6,0.07,-0.6,-0.6,629.0,828.0,76.0,9825.0,3127.0,342.0,395.0,86.6,218.0,287.0,76.0,44.0,78.0,56.4,1.0,2.1,2.0,-1.1,30.0,53.0,16.0,3.0,89.0,828.0,784.0,39.0,5.0,4.0,7.0,35.0,28.0,5.0,4.0,0.0,0.0,629.0,5.0,25.0,64.0,3.06,47.0,4.0,5.0,4.0,3.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,50.0,37.0,29.0,17.0,4.0,16.0,70.0,22.9,54.0,29.0,0.0,29.0,34.0,84.0,26.0,0.0,1081.0,27.0,198.0,536.0,362.0,47.0,1081.0,45.0,34.0,75.6,11.0,24.4,635.0,4021.0,2017.0,59.0,45.0,7.0,41.0,44.0,683.0,99.0,28,1884.0,67.0,55.1,20.9,23,77.0,7,5,24.0,0,1.18,24.0,27.0,-3.0,-0.14,0.27,27.7,22.6,5.0,0.24,0.43,3.0,0.0,0.0,28.0,18.0,1.0,35.0,34.0,37.0,0.0,0.0,1.0,139.0,34.0,44.0,43.6
Mateo Pavlović,ba BIH,DF,27.0,21.8,2.0,18.0,6.0,33.3,0.82,0.27,0.11,0.33,10.0,0.0,0.0,0.0,2.9,2.9,0.16,-0.9,-0.9,745.0,891.0,83.6,14186.0,5736.0,267.0,297.0,89.9,389.0,424.0,91.7,80.0,148.0,54.1,0.0,0.1,0.2,-0.1,3.0,25.0,2.0,0.0,59.0,891.0,852.0,36.0,34.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,745.0,3.0,5.0,10.0,0.46,6.0,0.0,0.0,3.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0,13.0,7.0,10.0,3.0,0.0,7.0,20.0,35.0,13.0,14.0,11.0,3.0,21.0,34.0,120.0,0.0,1085.0,118.0,503.0,551.0,39.0,32.0,1085.0,4.0,4.0,100.0,0.0,0.0,612.0,2928.0,1646.0,4.0,0.0,0.0,4.0,2.0,625.0,2.0,24,1966.0,82.0,57.5,21.8,22,87.0,20,2,24.0,10,1.13,24.0,26.0,-2.0,-0.09,0.4,26.5,25.8,0.7,0.03,-0.04,8.0,0.0,0.0,30.0,10.0,0.0,0.0,21.0,7.0,0.0,1.0,0.0,117.0,68.0,30.0,69.4
