player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Edgar Ié,pt POR,DF,23.0,35.0,1.0,13.0,4.0,30.8,0.37,0.11,0.08,0.25,14.1,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,1570.0,1897.0,82.8,26677.0,10566.0,694.0,773.0,89.8,714.0,808.0,88.4,114.0,206.0,55.3,0.0,0.5,0.6,-0.5,12.0,87.0,8.0,2.0,131.0,1897.0,1719.0,172.0,49.0,0.0,4.0,35.0,123.0,0.0,0.0,0.0,0.0,1570.0,6.0,35.0,21.0,0.6,18.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,74.0,42.0,55.0,18.0,1.0,31.0,69.0,44.9,38.0,57.0,26.0,31.0,84.0,158.0,135.0,3.0,2313.0,168.0,1027.0,1093.0,211.0,36.0,2313.0,30.0,24.0,80.0,6.0,20.0,1151.0,6714.0,4393.0,55.0,33.0,2.0,32.0,22.0,1350.0,53.0,35,3146.0,90.0,92.0,35.0,35,90.0,34,0,,1,0.97,36.0,62.0,-26.0,-0.74,-0.74,34.1,52.9,-18.8,-0.54,0.34,6.0,0.0,0.0,29.0,18.0,2.0,35.0,84.0,42.0,0.0,1.0,0.0,234.0,81.0,53.0,60.4
Mike Maignan,fr FRA,GK,22.0,33.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,909.0,1155.0,78.7,24726.0,18430.0,132.0,133.0,99.2,498.0,503.0,99.0,272.0,510.0,53.3,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1155.0,789.0,365.0,79.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,1.0,1.0,5.0,0.15,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,1233.0,1053.0,1226.0,7.0,0.0,0.0,1233.0,10.0,9.0,90.0,1.0,10.0,541.0,3338.0,2377.0,0.0,1.0,1.0,2.0,1.0,489.0,0.0,34,3032.0,89.0,88.7,33.7,34,89.0,33,0,,2,1.09,37.0,53.0,-16.0,-0.47,1.84,31.6,49.0,-17.4,-0.52,0.44,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,12.0,4.0,75.0
Nicolas Pépé,ci CIV,"FW,MF",22.0,31.6,13.0,64.0,26.0,40.6,2.03,0.82,0.19,0.46,19.2,4.0,1.0,1.0,8.2,7.4,0.12,4.8,4.6,824.0,1051.0,78.4,10708.0,2370.0,484.0,554.0,87.4,191.0,253.0,75.5,46.0,88.0,52.3,4.0,3.9,3.0,0.1,40.0,46.0,33.0,7.0,90.0,1051.0,974.0,74.0,21.0,6.0,11.0,58.0,19.0,11.0,4.0,4.0,1.0,824.0,3.0,31.0,99.0,3.14,69.0,2.0,12.0,3.0,13.0,0.0,9.0,0.29,6.0,0.0,2.0,0.0,1.0,0.0,30.0,18.0,14.0,11.0,5.0,11.0,42.0,26.2,31.0,23.0,0.0,23.0,10.0,40.0,20.0,0.0,1434.0,11.0,115.0,600.0,746.0,109.0,1433.0,118.0,73.0,61.9,45.0,38.1,991.0,6356.0,2631.0,97.0,76.0,34.0,109.0,120.0,1186.0,285.0,36,2841.0,79.0,83.1,31.6,31,88.0,23,5,25.0,2,0.97,33.0,50.0,-17.0,-0.54,0.86,30.4,42.5,-12.1,-0.38,1.07,5.0,0.0,0.0,29.0,81.0,26.0,58.0,10.0,18.0,1.0,0.0,0.0,107.0,27.0,53.0,33.8
Júnior Alonso,py PAR,DF,24.0,30.9,2.0,16.0,4.0,25.0,0.52,0.13,0.13,0.5,16.6,0.0,0.0,0.0,1.1,1.1,0.07,0.9,0.9,1523.0,1884.0,80.8,31258.0,13482.0,455.0,503.0,90.5,821.0,935.0,87.8,217.0,383.0,56.7,1.0,0.5,0.6,0.5,11.0,84.0,5.0,2.0,114.0,1884.0,1798.0,82.0,53.0,2.0,19.0,7.0,29.0,0.0,0.0,0.0,0.0,1523.0,4.0,17.0,27.0,0.87,24.0,3.0,0.0,0.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,58.0,31.0,36.0,22.0,0.0,28.0,50.0,56.0,22.0,26.0,16.0,10.0,56.0,114.0,153.0,1.0,2219.0,177.0,1110.0,1053.0,78.0,23.0,2219.0,18.0,15.0,83.3,3.0,16.7,1223.0,6120.0,4032.0,19.0,14.0,3.0,14.0,11.0,1416.0,14.0,34,2781.0,82.0,81.3,30.9,30,88.0,28,4,39.0,3,0.91,31.0,53.0,-22.0,-0.71,-0.15,26.1,48.4,-22.3,-0.72,-0.84,3.0,0.0,0.0,34.0,9.0,0.0,7.0,56.0,31.0,0.0,0.0,1.0,219.0,91.0,43.0,67.9
Ibrahim Amadou,fr FRA,"MF,DF",24.0,26.7,0.0,16.0,2.0,12.5,0.6,0.07,0.0,0.0,20.5,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,1378.0,1581.0,87.2,26996.0,9158.0,483.0,522.0,92.5,688.0,748.0,92.0,187.0,260.0,71.9,0.0,0.4,0.5,-0.4,10.0,96.0,4.0,1.0,114.0,1581.0,1544.0,33.0,33.0,1.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,1378.0,4.0,18.0,27.0,1.01,21.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,29.0,24.0,19.0,0.0,14.0,27.0,51.9,13.0,30.0,13.0,17.0,41.0,84.0,70.0,3.0,1803.0,105.0,648.0,1091.0,81.0,16.0,1803.0,13.0,11.0,84.6,2.0,15.4,1034.0,5131.0,2883.0,18.0,13.0,1.0,18.0,11.0,1305.0,19.0,30,2405.0,80.0,70.3,26.7,30,80.0,22,0,,0,1.0,29.0,45.0,-16.0,-0.6,0.29,21.8,40.8,-19.0,-0.71,-0.49,3.0,1.0,0.0,23.0,17.0,0.0,4.0,41.0,29.0,0.0,1.0,0.0,177.0,33.0,27.0,55.0
Yassine Benzia,dz ALG,"MF,FW",22.0,25.4,1.0,29.0,7.0,24.1,1.14,0.28,0.03,0.14,21.9,1.0,0.0,0.0,1.5,1.5,0.05,-0.5,-0.5,1117.0,1440.0,77.6,18695.0,5888.0,531.0,612.0,86.8,421.0,515.0,81.7,112.0,183.0,61.2,5.0,5.5,4.8,-0.5,61.0,166.0,39.0,2.0,201.0,1440.0,1288.0,136.0,59.0,20.0,9.0,85.0,13.0,55.0,18.0,26.0,0.0,1117.0,16.0,34.0,120.0,4.72,79.0,19.0,9.0,2.0,7.0,4.0,14.0,0.55,10.0,0.0,4.0,0.0,0.0,0.0,62.0,41.0,21.0,31.0,10.0,17.0,62.0,27.4,45.0,31.0,4.0,27.0,28.0,90.0,14.0,0.0,1686.0,18.0,177.0,1007.0,528.0,34.0,1686.0,71.0,53.0,74.6,18.0,25.4,1050.0,5919.0,2556.0,60.0,60.0,8.0,54.0,44.0,1245.0,137.0,31,2288.0,74.0,66.9,25.4,30,75.0,7,1,35.0,3,1.06,27.0,44.0,-17.0,-0.67,0.05,26.5,35.7,-9.2,-0.36,0.61,7.0,0.0,0.0,53.0,55.0,2.0,85.0,28.0,41.0,0.0,0.0,0.0,139.0,11.0,8.0,57.9
Thiago Maia,br BRA,"MF,DF",20.0,27.4,0.0,15.0,2.0,13.3,0.55,0.07,0.0,0.0,26.5,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,1482.0,1759.0,84.3,25731.0,8376.0,615.0,690.0,89.1,639.0,724.0,88.3,153.0,223.0,68.6,0.0,0.4,1.1,-0.4,14.0,151.0,13.0,1.0,190.0,1759.0,1684.0,69.0,36.0,3.0,8.0,8.0,33.0,0.0,0.0,0.0,0.0,1482.0,6.0,23.0,50.0,1.83,44.0,0.0,1.0,2.0,0.0,3.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,55.0,40.0,26.0,26.0,3.0,15.0,61.0,24.6,46.0,32.0,10.0,22.0,61.0,116.0,47.0,1.0,2013.0,74.0,506.0,1284.0,257.0,16.0,2013.0,52.0,41.0,78.8,11.0,21.2,1122.0,6100.0,2999.0,45.0,29.0,2.0,40.0,36.0,1396.0,41.0,34,2463.0,72.0,72.0,27.4,28,83.0,19,6,25.0,1,0.94,24.0,53.0,-29.0,-1.06,-1.34,21.7,44.2,-22.5,-0.82,-0.91,3.0,1.0,1.0,32.0,21.0,1.0,8.0,61.0,40.0,0.0,1.0,0.0,266.0,19.0,22.0,46.3
Thiago Mendes,br BRA,MF,25.0,25.5,3.0,45.0,15.0,33.3,1.77,0.59,0.07,0.2,23.9,4.0,0.0,0.0,2.5,2.5,0.06,0.5,0.5,1175.0,1392.0,84.4,18638.0,5569.0,593.0,648.0,91.5,387.0,443.0,87.4,110.0,170.0,64.7,4.0,2.8,2.2,1.2,43.0,138.0,20.0,1.0,164.0,1392.0,1300.0,78.0,28.0,4.0,12.0,31.0,28.0,21.0,10.0,9.0,0.0,1175.0,14.0,16.0,90.0,3.53,69.0,5.0,6.0,3.0,6.0,1.0,10.0,0.39,6.0,1.0,2.0,1.0,0.0,0.0,25.0,16.0,10.0,11.0,4.0,5.0,23.0,21.7,18.0,21.0,3.0,18.0,25.0,50.0,29.0,0.0,1629.0,28.0,203.0,946.0,501.0,36.0,1629.0,48.0,39.0,81.3,9.0,18.8,1012.0,5623.0,2686.0,57.0,76.0,11.0,67.0,42.0,1257.0,126.0,31,2294.0,74.0,67.1,25.5,27,81.0,17,4,24.0,1,1.13,30.0,40.0,-10.0,-0.39,0.89,24.4,37.8,-13.4,-0.53,0.12,4.0,1.0,1.0,38.0,45.0,3.0,31.0,25.0,16.0,0.0,0.0,0.0,168.0,21.0,14.0,60.0
Fodé Ballo-Touré,sn SEN,DF,20.0,22.8,0.0,3.0,2.0,66.7,0.13,0.09,0.0,0.0,17.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,1017.0,1228.0,82.8,13958.0,4654.0,618.0,679.0,91.0,306.0,372.0,82.3,37.0,68.0,54.4,0.0,0.7,0.5,-0.7,7.0,52.0,11.0,5.0,72.0,1228.0,994.0,233.0,19.0,0.0,2.0,44.0,213.0,1.0,0.0,0.0,0.0,1017.0,1.0,38.0,22.0,0.96,18.0,2.0,1.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,50.0,36.0,29.0,16.0,5.0,21.0,47.0,44.7,26.0,27.0,2.0,25.0,28.0,78.0,47.0,1.0,1425.0,54.0,417.0,722.0,298.0,22.0,1425.0,23.0,16.0,69.6,7.0,30.4,680.0,3491.0,2197.0,43.0,18.0,4.0,19.0,23.0,835.0,98.0,27,2055.0,76.0,60.1,22.8,25,80.0,18,2,29.0,7,1.07,19.0,37.0,-18.0,-0.79,-0.26,17.7,34.4,-16.6,-0.73,-0.4,5.0,1.0,0.0,29.0,19.0,7.0,44.0,28.0,36.0,0.0,2.0,1.0,132.0,26.0,30.0,46.4
Luiz Araújo,br BRA,"FW,MF",21.0,22.4,5.0,51.0,16.0,31.4,2.27,0.71,0.1,0.31,20.8,1.0,0.0,0.0,5.2,5.2,0.1,-0.2,-0.2,535.0,755.0,70.9,9542.0,2248.0,243.0,309.0,78.6,200.0,260.0,76.9,67.0,113.0,59.3,3.0,1.5,1.9,1.5,22.0,50.0,19.0,8.0,75.0,755.0,711.0,40.0,10.0,9.0,15.0,69.0,8.0,22.0,12.0,7.0,0.0,535.0,4.0,27.0,55.0,2.45,37.0,2.0,9.0,5.0,2.0,0.0,8.0,0.36,6.0,0.0,1.0,0.0,1.0,0.0,41.0,31.0,23.0,17.0,1.0,10.0,47.0,21.3,37.0,24.0,0.0,24.0,16.0,57.0,11.0,1.0,1020.0,11.0,130.0,479.0,434.0,55.0,1020.0,106.0,75.0,70.8,31.0,29.2,670.0,5608.0,2727.0,94.0,63.0,27.0,54.0,53.0,749.0,152.0,34,2018.0,59.0,59.0,22.4,24,72.0,10,10,29.0,3,0.82,25.0,41.0,-16.0,-0.71,-0.07,23.4,33.3,-10.0,-0.44,0.3,5.0,0.0,0.0,28.0,25.0,6.0,69.0,16.0,31.0,0.0,0.0,0.0,101.0,5.0,14.0,26.3
