player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Kamil Glik,pl POL,DF,29.0,36.0,3.0,24.0,7.0,29.2,0.67,0.19,0.13,0.43,10.7,0.0,0.0,0.0,2.9,2.9,0.12,0.1,0.1,1365.0,1689.0,80.8,28576.0,11346.0,379.0,418.0,90.7,771.0,869.0,88.7,204.0,374.0,54.5,3.0,1.5,0.7,1.5,8.0,71.0,3.0,0.0,94.0,1689.0,1631.0,51.0,48.0,1.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,1365.0,7.0,5.0,15.0,0.42,9.0,1.0,1.0,3.0,1.0,0.0,5.0,0.14,3.0,0.0,0.0,2.0,0.0,0.0,36.0,23.0,22.0,12.0,2.0,15.0,29.0,51.7,14.0,28.0,18.0,10.0,54.0,90.0,279.0,2.0,2140.0,237.0,1122.0,972.0,52.0,37.0,2140.0,4.0,3.0,75.0,1.0,25.0,1160.0,5038.0,3378.0,9.0,2.0,0.0,10.0,3.0,1317.0,5.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,2.14,82.0,37.0,45.0,1.25,3.75,57.0,45.1,11.9,0.33,-0.62,8.0,0.0,0.0,41.0,32.0,2.0,0.0,54.0,23.0,1.0,1.0,0.0,140.0,89.0,58.0,60.5
Fabinho,br BRA,MF,23.0,34.0,7.0,21.0,5.0,23.8,0.62,0.15,0.14,0.6,24.8,1.0,4.0,4.0,5.8,2.6,0.13,1.2,0.4,1715.0,2003.0,85.6,32666.0,9666.0,702.0,799.0,87.9,745.0,836.0,89.1,241.0,305.0,79.0,3.0,4.2,3.0,-1.2,36.0,183.0,28.0,1.0,261.0,2003.0,1940.0,55.0,50.0,8.0,18.0,10.0,5.0,0.0,0.0,0.0,0.0,1715.0,8.0,18.0,92.0,2.71,67.0,0.0,10.0,1.0,9.0,5.0,18.0,0.53,11.0,0.0,4.0,0.0,2.0,1.0,114.0,64.0,38.0,67.0,9.0,48.0,112.0,42.9,64.0,48.0,13.0,35.0,43.0,157.0,62.0,0.0,2342.0,71.0,445.0,1645.0,285.0,33.0,2338.0,51.0,37.0,72.5,14.0,27.5,1317.0,6736.0,3776.0,64.0,39.0,10.0,24.0,21.0,1525.0,57.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,0,2.15,77.0,38.0,39.0,1.15,0.9,56.0,43.3,12.7,0.37,0.09,8.0,0.0,0.0,58.0,66.0,1.0,10.0,43.0,64.0,1.0,0.0,0.0,250.0,94.0,45.0,67.6
Danijel Subašić,hr CRO,GK,32.0,32.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,642.0,921.0,69.7,20096.0,15299.0,67.0,68.0,98.5,313.0,314.0,99.7,262.0,537.0,48.8,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,921.0,561.0,359.0,94.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,1.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,13.0,2.0,976.0,858.0,973.0,3.0,0.0,0.0,976.0,0.0,0.0,,0.0,,439.0,2972.0,2232.0,0.0,0.0,0.0,1.0,0.0,293.0,0.0,34,2939.0,86.0,85.9,32.7,34,86.0,32,0,,0,2.09,68.0,41.0,27.0,0.83,-1.61,53.1,41.2,11.9,0.36,0.01,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8.0,1.0,88.9
Jemerson,br BRA,DF,24.0,31.7,2.0,18.0,2.0,11.1,0.57,0.06,0.11,1.0,11.7,0.0,0.0,0.0,1.9,1.9,0.11,0.1,0.1,1182.0,1360.0,86.9,24391.0,8411.0,348.0,375.0,92.8,666.0,714.0,93.3,161.0,247.0,65.2,0.0,0.2,0.1,-0.2,2.0,28.0,1.0,0.0,59.0,1360.0,1296.0,61.0,60.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1182.0,3.0,7.0,9.0,0.28,6.0,1.0,0.0,2.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,48.0,32.0,32.0,15.0,1.0,24.0,31.0,77.4,7.0,46.0,32.0,14.0,56.0,104.0,169.0,1.0,1718.0,170.0,871.0,810.0,46.0,32.0,1718.0,6.0,4.0,66.7,2.0,33.3,939.0,4955.0,2999.0,9.0,5.0,2.0,12.0,4.0,1065.0,1.0,33,2855.0,87.0,83.5,31.7,33,87.0,31,0,,0,2.09,71.0,38.0,33.0,1.04,-0.07,52.9,41.7,11.2,0.35,-0.06,7.0,1.0,0.0,36.0,17.0,0.0,0.0,56.0,32.0,0.0,1.0,0.0,122.0,61.0,52.0,54.0
Rony Lopes,pt POR,"FW,MF",21.0,28.1,15.0,68.0,31.0,45.6,2.42,1.1,0.22,0.48,17.8,2.0,0.0,0.0,10.1,10.1,0.15,4.9,4.9,588.0,842.0,69.8,7952.0,2347.0,373.0,444.0,84.0,161.0,243.0,66.3,22.0,74.0,29.7,5.0,5.3,5.4,-0.3,41.0,40.0,43.0,10.0,89.0,842.0,811.0,28.0,6.0,2.0,4.0,94.0,17.0,5.0,3.0,2.0,0.0,588.0,3.0,41.0,82.0,2.91,54.0,1.0,9.0,9.0,7.0,2.0,13.0,0.46,7.0,0.0,1.0,3.0,2.0,0.0,55.0,32.0,15.0,27.0,13.0,21.0,78.0,26.9,57.0,23.0,2.0,21.0,16.0,71.0,22.0,0.0,1189.0,12.0,124.0,458.0,628.0,113.0,1189.0,85.0,46.0,54.1,39.0,45.9,802.0,5299.0,2932.0,111.0,71.0,36.0,86.0,50.0,867.0,282.0,38,2531.0,67.0,74.0,28.1,32,74.0,6,6,26.0,0,2.11,67.0,32.0,35.0,1.24,0.74,49.2,34.5,14.7,0.52,0.61,2.0,0.0,0.0,37.0,38.0,6.0,94.0,16.0,32.0,1.0,0.0,0.0,145.0,13.0,48.0,21.3
João Moutinho,pt POR,MF,30.0,31.1,1.0,23.0,4.0,17.4,0.74,0.13,0.04,0.25,24.0,5.0,0.0,0.0,1.1,1.1,0.05,-0.1,-0.1,1670.0,2024.0,82.5,30731.0,9537.0,712.0,782.0,91.0,706.0,827.0,85.4,214.0,327.0,65.4,6.0,5.8,5.5,0.2,55.0,222.0,30.0,6.0,310.0,2024.0,1800.0,212.0,129.0,13.0,20.0,110.0,9.0,73.0,29.0,30.0,1.0,1670.0,12.0,23.0,101.0,3.24,68.0,29.0,1.0,1.0,2.0,0.0,13.0,0.42,7.0,6.0,0.0,0.0,0.0,0.0,65.0,41.0,19.0,37.0,9.0,27.0,80.0,33.8,53.0,52.0,12.0,40.0,36.0,101.0,54.0,0.0,2299.0,69.0,296.0,1490.0,526.0,16.0,2299.0,29.0,21.0,72.4,8.0,27.6,1261.0,6367.0,3895.0,54.0,46.0,1.0,31.0,18.0,1519.0,76.0,33,2803.0,85.0,82.0,31.1,31,90.0,30,2,10.0,3,2.15,71.0,42.0,29.0,0.93,-0.67,50.9,41.6,9.3,0.3,-0.36,6.0,0.0,0.0,40.0,27.0,1.0,110.0,36.0,41.0,0.0,0.0,0.0,206.0,25.0,24.0,51.0
Thomas Lemar,fr FRA,"MF,FW",21.0,26.4,2.0,47.0,11.0,23.4,1.78,0.42,0.04,0.18,23.4,18.0,0.0,0.0,3.7,3.7,0.08,-1.7,-1.7,1015.0,1319.0,77.0,17912.0,5562.0,488.0,553.0,88.2,365.0,462.0,79.0,134.0,245.0,54.7,8.0,6.9,5.3,1.1,55.0,135.0,36.0,9.0,182.0,1319.0,1142.0,169.0,50.0,10.0,14.0,170.0,26.0,84.0,29.0,30.0,1.0,1015.0,8.0,25.0,107.0,4.05,56.0,30.0,10.0,4.0,7.0,0.0,16.0,0.61,7.0,3.0,4.0,0.0,2.0,0.0,33.0,17.0,9.0,19.0,5.0,10.0,41.0,24.4,31.0,22.0,1.0,21.0,18.0,51.0,16.0,1.0,1582.0,16.0,116.0,859.0,638.0,36.0,1582.0,89.0,46.0,51.7,44.0,49.4,1041.0,6715.0,3470.0,93.0,75.0,5.0,52.0,41.0,1140.0,163.0,30,2378.0,79.0,69.5,26.4,27,86.0,19,3,21.0,0,2.2,59.0,32.0,27.0,1.02,-0.1,46.8,32.2,14.6,0.55,0.62,1.0,0.0,0.0,8.0,41.0,4.0,170.0,18.0,17.0,2.0,0.0,0.0,140.0,7.0,15.0,31.8
Djibril Sidibé,fr FRA,DF,25.0,23.9,2.0,20.0,8.0,40.0,0.84,0.33,0.1,0.25,19.2,0.0,0.0,0.0,0.9,0.9,0.05,1.1,1.1,1414.0,1688.0,83.8,21783.0,8826.0,787.0,867.0,90.8,518.0,606.0,85.5,80.0,138.0,58.0,7.0,4.3,3.0,2.7,32.0,112.0,35.0,10.0,187.0,1688.0,1404.0,280.0,30.0,4.0,16.0,58.0,249.0,1.0,0.0,0.0,0.0,1414.0,4.0,32.0,67.0,2.8,55.0,2.0,2.0,3.0,3.0,2.0,8.0,0.33,8.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,24.0,27.0,8.0,23.0,45.0,51.1,22.0,20.0,4.0,16.0,46.0,105.0,52.0,1.0,1966.0,47.0,370.0,1098.0,518.0,45.0,1966.0,51.0,21.0,41.2,30.0,58.8,1079.0,4822.0,2654.0,56.0,42.0,7.0,39.0,19.0,1238.0,170.0,27,2153.0,80.0,63.0,23.9,25,85.0,19,2,18.0,2,2.19,60.0,30.0,30.0,1.25,0.54,42.2,28.0,14.2,0.59,0.62,4.0,0.0,0.0,34.0,37.0,0.0,58.0,46.0,39.0,0.0,2.0,0.0,170.0,41.0,21.0,66.1
Radamel Falcao,co COL,FW,31.0,23.7,18.0,66.0,28.0,42.4,2.79,1.18,0.23,0.54,16.0,4.0,3.0,4.0,13.9,10.7,0.16,4.1,4.3,438.0,563.0,77.8,5326.0,622.0,275.0,340.0,80.9,112.0,145.0,77.2,10.0,18.0,55.6,4.0,1.9,1.2,2.1,16.0,26.0,6.0,1.0,37.0,563.0,507.0,54.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,438.0,2.0,12.0,46.0,1.94,28.0,0.0,5.0,7.0,6.0,0.0,9.0,0.38,4.0,0.0,2.0,3.0,0.0,0.0,11.0,6.0,0.0,8.0,3.0,2.0,13.0,15.4,11.0,13.0,3.0,10.0,10.0,21.0,11.0,0.0,822.0,17.0,33.0,427.0,374.0,95.0,819.0,35.0,19.0,54.3,16.0,45.7,532.0,2278.0,789.0,30.0,17.0,15.0,86.0,57.0,661.0,164.0,26,2129.0,82.0,62.3,23.7,25,85.0,13,1,11.0,2,2.08,51.0,31.0,20.0,0.85,-0.55,37.4,30.1,7.3,0.31,-0.15,1.0,0.0,0.0,41.0,50.0,9.0,8.0,10.0,6.0,0.0,0.0,1.0,82.0,37.0,69.0,34.9
Jorge,br BRA,DF,21.0,21.3,1.0,7.0,2.0,28.6,0.33,0.09,0.14,0.5,25.0,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,734.0,990.0,74.1,11874.0,4286.0,393.0,447.0,87.9,276.0,379.0,72.8,59.0,115.0,51.3,2.0,1.9,1.4,0.1,13.0,54.0,19.0,13.0,84.0,990.0,792.0,196.0,16.0,1.0,4.0,61.0,180.0,0.0,0.0,0.0,0.0,734.0,2.0,35.0,33.0,1.55,20.0,3.0,1.0,0.0,6.0,3.0,4.0,0.19,1.0,0.0,0.0,0.0,3.0,0.0,69.0,40.0,34.0,25.0,10.0,23.0,38.0,60.5,15.0,19.0,2.0,17.0,66.0,135.0,86.0,0.0,1314.0,58.0,366.0,681.0,293.0,14.0,1314.0,52.0,21.0,40.4,31.0,59.6,635.0,3758.0,2122.0,60.0,48.0,6.0,32.0,21.0,653.0,115.0,22,1920.0,87.0,56.1,21.3,22,87.0,19,0,,3,2.05,47.0,28.0,19.0,0.89,-0.37,35.6,27.9,7.8,0.36,0.0,8.0,0.0,0.0,28.0,43.0,3.0,61.0,66.0,40.0,2.0,0.0,0.0,144.0,30.0,39.0,43.5
