player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ciprian Tătărușanu,ro ROU,GK,31.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,684.0,1090.0,62.8,23777.0,19700.0,67.0,67.0,100.0,277.0,284.0,97.5,338.0,731.0,46.2,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1090.0,665.0,421.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,4.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,12.0,3.0,1161.0,1017.0,1153.0,8.0,0.0,0.0,1161.0,1.0,0.0,0.0,1.0,100.0,548.0,3193.0,2413.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.41,36.0,38.0,-2.0,-0.05,2.95,40.5,36.2,4.3,0.12,0.72,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,46.0,12.0,1.0,92.3
Emiliano Sala,ar ARG,FW,26.0,33.7,12.0,90.0,22.0,24.4,2.67,0.65,0.09,0.36,14.2,0.0,4.0,5.0,16.2,12.3,0.14,-4.2,-4.3,519.0,846.0,61.3,5992.0,1357.0,319.0,464.0,68.8,103.0,184.0,56.0,19.0,33.0,57.6,4.0,2.7,1.7,1.3,35.0,37.0,18.0,3.0,67.0,846.0,812.0,23.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,519.0,11.0,35.0,79.0,2.35,55.0,0.0,2.0,11.0,9.0,2.0,4.0,0.12,3.0,0.0,0.0,1.0,0.0,0.0,19.0,11.0,3.0,9.0,7.0,5.0,33.0,15.2,28.0,27.0,3.0,24.0,9.0,28.0,50.0,0.0,1275.0,53.0,95.0,579.0,614.0,160.0,1270.0,53.0,28.0,52.8,24.0,45.3,709.0,2936.0,954.0,34.0,31.0,9.0,133.0,80.0,983.0,223.0,36,3031.0,84.0,88.6,33.7,34,87.0,29,2,31.0,0,1.42,33.0,35.0,-2.0,-0.06,0.63,38.9,31.7,7.2,0.21,1.01,4.0,1.0,1.0,50.0,58.0,32.0,9.0,9.0,11.0,0.0,0.0,0.0,95.0,119.0,200.0,37.3
Leo Dubois,fr FRA,DF,22.0,33.6,3.0,45.0,11.0,24.4,1.34,0.33,0.07,0.27,22.6,5.0,0.0,0.0,2.1,2.1,0.05,0.9,0.9,1403.0,1998.0,70.2,24776.0,12947.0,708.0,789.0,89.7,471.0,645.0,73.0,192.0,443.0,43.3,4.0,6.7,6.0,-2.7,58.0,138.0,41.0,22.0,171.0,1998.0,1462.0,528.0,78.0,0.0,13.0,251.0,367.0,81.0,20.0,55.0,0.0,1403.0,8.0,64.0,116.0,3.46,66.0,31.0,7.0,8.0,3.0,1.0,9.0,0.27,4.0,2.0,1.0,1.0,1.0,0.0,50.0,39.0,33.0,15.0,2.0,20.0,47.0,42.6,27.0,47.0,13.0,34.0,50.0,100.0,99.0,2.0,2376.0,103.0,661.0,1015.0,727.0,37.0,2376.0,54.0,38.0,70.4,16.0,29.6,1097.0,6262.0,3658.0,96.0,84.0,10.0,50.0,28.0,1186.0,130.0,34,3021.0,89.0,88.3,33.6,34,89.0,30,0,,2,1.38,33.0,38.0,-5.0,-0.15,-0.15,37.3,31.8,5.6,0.17,0.58,5.0,0.0,0.0,24.0,30.0,2.0,251.0,50.0,39.0,1.0,1.0,0.0,228.0,34.0,35.0,49.3
Abdoulaye Touré,fr FRA,MF,23.0,31.2,1.0,41.0,12.0,29.3,1.31,0.38,0.02,0.08,27.2,2.0,0.0,0.0,1.5,1.5,0.04,-0.5,-0.5,1075.0,1372.0,78.4,18398.0,6247.0,491.0,572.0,85.8,407.0,502.0,81.1,125.0,197.0,63.5,1.0,0.9,1.4,0.1,19.0,154.0,15.0,4.0,184.0,1372.0,1353.0,14.0,12.0,2.0,19.0,19.0,1.0,0.0,0.0,0.0,0.0,1075.0,5.0,27.0,80.0,2.56,55.0,0.0,7.0,4.0,13.0,1.0,8.0,0.26,7.0,0.0,0.0,0.0,1.0,0.0,74.0,52.0,28.0,38.0,8.0,23.0,67.0,34.3,44.0,40.0,10.0,30.0,62.0,136.0,49.0,1.0,1761.0,81.0,389.0,1112.0,275.0,16.0,1761.0,64.0,45.0,70.3,19.0,29.7,929.0,4086.0,1904.0,24.0,32.0,2.0,42.0,45.0,1021.0,34.0,36,2810.0,78.0,82.2,31.2,31,86.0,26,5,29.0,1,1.44,31.0,34.0,-3.0,-0.1,0.2,33.5,31.7,1.8,0.06,-0.23,3.0,0.0,0.0,53.0,54.0,0.0,19.0,62.0,52.0,1.0,0.0,0.0,254.0,61.0,34.0,64.2
Lucas Lima,br BRA,"DF,FW",25.0,29.5,2.0,32.0,7.0,21.9,1.08,0.24,0.06,0.29,25.4,12.0,0.0,0.0,1.4,1.4,0.04,0.6,0.6,1006.0,1580.0,63.7,17382.0,10631.0,525.0,615.0,85.4,312.0,499.0,62.5,136.0,336.0,40.5,3.0,5.0,5.8,-2.0,54.0,107.0,44.0,30.0,145.0,1580.0,1156.0,409.0,70.0,0.0,10.0,248.0,258.0,81.0,25.0,49.0,0.0,1006.0,15.0,61.0,103.0,3.49,47.0,42.0,6.0,6.0,1.0,1.0,3.0,0.1,2.0,1.0,0.0,0.0,0.0,0.0,73.0,46.0,40.0,27.0,6.0,31.0,68.0,45.6,37.0,42.0,6.0,36.0,38.0,111.0,85.0,0.0,1953.0,84.0,502.0,801.0,671.0,20.0,1953.0,51.0,24.0,47.1,27.0,52.9,846.0,4046.0,2265.0,56.0,45.0,5.0,52.0,37.0,954.0,121.0,33,2657.0,81.0,77.7,29.5,30,85.0,25,3,39.0,1,1.45,26.0,26.0,0.0,0.0,0.59,32.5,28.1,4.4,0.15,0.23,3.0,0.0,0.0,28.0,25.0,4.0,248.0,38.0,46.0,0.0,0.0,0.0,192.0,41.0,43.0,48.8
Adrien Thomasson,fr FRA,"MF,FW",23.0,28.6,5.0,58.0,16.0,27.6,2.02,0.56,0.09,0.31,17.5,0.0,0.0,0.0,4.2,4.2,0.07,0.8,0.8,994.0,1330.0,74.7,13939.0,3726.0,565.0,676.0,83.6,315.0,405.0,77.8,47.0,97.0,48.5,3.0,3.2,2.7,-0.2,32.0,72.0,20.0,7.0,128.0,1330.0,1302.0,22.0,3.0,5.0,4.0,55.0,18.0,0.0,0.0,0.0,0.0,994.0,6.0,40.0,89.0,3.11,70.0,1.0,4.0,8.0,6.0,0.0,8.0,0.28,4.0,0.0,0.0,3.0,1.0,0.0,71.0,52.0,41.0,23.0,7.0,22.0,73.0,30.1,51.0,58.0,4.0,54.0,18.0,89.0,20.0,0.0,1644.0,21.0,258.0,778.0,626.0,81.0,1644.0,35.0,21.0,60.0,14.0,40.0,914.0,4247.0,1988.0,60.0,42.0,7.0,48.0,46.0,1169.0,206.0,36,2578.0,72.0,75.4,28.6,29,82.0,13,7,30.0,1,1.33,27.0,33.0,-6.0,-0.21,-0.32,30.1,28.5,1.6,0.06,-0.17,4.0,0.0,0.0,28.0,31.0,6.0,55.0,18.0,52.0,1.0,0.0,0.0,203.0,13.0,34.0,27.7
Valentin Rongier,fr FRA,MF,22.0,26.1,1.0,28.0,6.0,21.4,1.07,0.23,0.04,0.17,24.6,3.0,0.0,0.0,1.9,1.9,0.07,-0.9,-0.9,1166.0,1353.0,86.2,18112.0,4795.0,564.0,636.0,88.7,430.0,472.0,91.1,92.0,124.0,74.2,2.0,2.1,2.0,-0.1,28.0,111.0,19.0,2.0,155.0,1353.0,1290.0,55.0,18.0,4.0,12.0,9.0,3.0,0.0,0.0,0.0,0.0,1166.0,8.0,16.0,87.0,3.33,71.0,0.0,3.0,5.0,5.0,3.0,6.0,0.23,5.0,0.0,0.0,1.0,0.0,0.0,73.0,49.0,25.0,39.0,9.0,17.0,64.0,26.6,47.0,42.0,6.0,36.0,40.0,113.0,13.0,1.0,1615.0,25.0,236.0,954.0,443.0,31.0,1615.0,50.0,35.0,70.0,15.0,30.0,957.0,4255.0,1860.0,30.0,41.0,7.0,36.0,51.0,1082.0,100.0,32,2350.0,73.0,68.7,26.1,29,80.0,15,3,11.0,2,1.13,21.0,37.0,-16.0,-0.61,-1.54,28.4,27.8,0.5,0.02,-0.25,1.0,0.0,0.0,40.0,21.0,3.0,9.0,40.0,49.0,0.0,0.0,0.0,209.0,27.0,31.0,46.6
Nicolas Pallois,fr FRA,DF,29.0,27.0,0.0,9.0,2.0,22.2,0.33,0.07,0.0,0.0,20.8,0.0,0.0,0.0,1.0,1.0,0.11,-1.0,-1.0,585.0,811.0,72.1,12990.0,5790.0,179.0,212.0,84.4,267.0,333.0,80.2,129.0,235.0,54.9,3.0,0.5,0.2,2.5,9.0,53.0,1.0,0.0,60.0,811.0,771.0,38.0,32.0,0.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,585.0,2.0,10.0,13.0,0.48,9.0,1.0,2.0,1.0,0.0,0.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,39.0,28.0,25.0,9.0,5.0,18.0,36.0,50.0,18.0,34.0,19.0,15.0,35.0,74.0,182.0,3.0,1132.0,220.0,648.0,465.0,40.0,9.0,1132.0,22.0,19.0,86.4,3.0,13.6,483.0,2660.0,1488.0,13.0,7.0,0.0,16.0,5.0,457.0,4.0,28,2431.0,87.0,71.1,27.0,28,87.0,24,0,,3,1.18,24.0,33.0,-9.0,-0.33,-0.7,27.3,29.4,-2.1,-0.08,-0.6,8.0,2.0,2.0,13.0,5.0,0.0,3.0,35.0,28.0,0.0,1.0,1.0,176.0,35.0,30.0,53.8
Koffi Djidji,ci CIV,DF,24.0,26.8,0.0,8.0,2.0,25.0,0.3,0.07,0.0,0.0,25.5,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,744.0,1004.0,74.1,13283.0,6240.0,348.0,392.0,88.8,292.0,378.0,77.2,82.0,188.0,43.6,0.0,0.3,1.0,-0.3,5.0,48.0,9.0,5.0,60.0,1004.0,811.0,192.0,25.0,0.0,8.0,21.0,167.0,0.0,0.0,0.0,0.0,744.0,1.0,14.0,21.0,0.78,13.0,3.0,3.0,0.0,0.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,55.0,39.0,32.0,20.0,3.0,19.0,29.0,65.5,10.0,34.0,15.0,19.0,45.0,100.0,126.0,0.0,1285.0,117.0,604.0,540.0,149.0,5.0,1285.0,15.0,12.0,80.0,3.0,20.0,550.0,2428.0,1212.0,18.0,16.0,1.0,19.0,8.0,583.0,24.0,29,2416.0,83.0,70.6,26.8,27,88.0,24,2,23.0,6,1.38,27.0,30.0,-3.0,-0.11,0.07,29.5,24.4,5.1,0.19,0.32,2.0,0.0,0.0,24.0,9.0,0.0,21.0,45.0,39.0,0.0,0.0,0.0,130.0,37.0,19.0,66.1
Diego Carlos,br BRA,DF,24.0,25.5,1.0,25.0,7.0,28.0,0.98,0.27,0.04,0.14,17.9,8.0,0.0,0.0,1.6,1.6,0.06,-0.6,-0.6,681.0,903.0,75.4,13623.0,6542.0,254.0,291.0,87.3,314.0,357.0,88.0,98.0,219.0,44.7,0.0,0.5,0.8,-0.5,8.0,52.0,2.0,1.0,67.0,903.0,861.0,37.0,35.0,1.0,20.0,4.0,2.0,0.0,0.0,0.0,0.0,681.0,5.0,6.0,19.0,0.75,13.0,0.0,1.0,3.0,0.0,2.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,70.0,42.0,51.0,15.0,4.0,28.0,38.0,73.7,10.0,50.0,29.0,21.0,29.0,99.0,155.0,3.0,1263.0,209.0,674.0,522.0,75.0,35.0,1263.0,5.0,4.0,80.0,1.0,20.0,573.0,2406.0,1552.0,4.0,6.0,1.0,13.0,7.0,600.0,8.0,28,2291.0,82.0,67.0,25.5,27,85.0,23,1,7.0,0,1.21,23.0,31.0,-8.0,-0.31,-0.55,27.9,26.5,1.5,0.06,-0.12,7.0,1.0,1.0,36.0,18.0,2.0,4.0,29.0,42.0,0.0,0.0,0.0,136.0,75.0,33.0,69.4
