player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Stéphane Ruffier,fr FRA,GK,30.0,34.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,782.0,1142.0,68.5,23734.0,17900.0,78.0,79.0,98.7,379.0,382.0,99.2,325.0,677.0,48.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1142.0,761.0,380.0,104.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,1.0,3.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1229.0,1054.0,1226.0,3.0,0.0,0.0,1229.0,0.0,0.0,,0.0,,563.0,2924.0,1969.0,0.0,0.0,0.0,0.0,0.0,519.0,0.0,35,3112.0,89.0,91.0,34.6,35,89.0,34,0,,0,1.49,44.0,44.0,0.0,0.0,0.88,47.3,47.3,0.0,0.0,0.91,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,2.0,66.7
Loïc Perrin,fr FRA,DF,31.0,27.4,0.0,13.0,2.0,15.4,0.47,0.07,0.0,0.0,15.8,0.0,0.0,0.0,1.5,1.5,0.12,-1.5,-1.5,1360.0,1544.0,88.1,26094.0,11794.0,520.0,557.0,93.4,666.0,722.0,92.2,158.0,225.0,70.2,1.0,0.5,0.9,0.5,7.0,68.0,6.0,1.0,82.0,1544.0,1476.0,63.0,61.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,1360.0,5.0,15.0,20.0,0.73,15.0,1.0,0.0,3.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,39.0,26.0,28.0,10.0,1.0,21.0,31.0,67.7,10.0,35.0,22.0,13.0,36.0,75.0,142.0,1.0,1831.0,209.0,1007.0,790.0,46.0,21.0,1831.0,11.0,10.0,90.9,1.0,9.1,939.0,3684.0,2215.0,9.0,7.0,1.0,8.0,5.0,1168.0,9.0,28,2464.0,88.0,72.0,27.4,28,88.0,26,0,,0,1.5,39.0,32.0,7.0,0.26,1.2,39.5,36.4,3.1,0.11,0.7,3.0,0.0,0.0,16.0,28.0,0.0,2.0,36.0,26.0,0.0,0.0,0.0,161.0,76.0,35.0,68.5
Jonathan Bamba,fr FRA,FW,21.0,28.6,7.0,64.0,21.0,32.8,2.24,0.73,0.05,0.14,22.7,4.0,4.0,4.0,9.0,5.8,0.09,-2.0,-2.8,908.0,1219.0,74.5,13594.0,3340.0,496.0,581.0,85.4,289.0,371.0,77.9,72.0,139.0,51.8,8.0,8.7,5.9,-0.7,54.0,71.0,30.0,5.0,109.0,1219.0,1075.0,132.0,36.0,8.0,2.0,107.0,28.0,53.0,18.0,15.0,1.0,908.0,12.0,42.0,107.0,3.74,71.0,17.0,8.0,6.0,5.0,0.0,15.0,0.52,7.0,1.0,2.0,2.0,3.0,0.0,30.0,21.0,18.0,11.0,1.0,12.0,61.0,19.7,49.0,30.0,4.0,26.0,19.0,49.0,17.0,0.0,1556.0,16.0,163.0,693.0,721.0,91.0,1552.0,83.0,43.0,51.8,39.0,47.0,937.0,6542.0,3210.0,116.0,76.0,34.0,76.0,86.0,1134.0,247.0,34,2572.0,76.0,75.2,28.6,27,87.0,22,7,33.0,2,1.53,39.0,34.0,5.0,0.17,1.02,42.9,35.8,7.1,0.25,1.34,1.0,0.0,0.0,30.0,48.0,20.0,107.0,19.0,21.0,2.0,0.0,0.0,160.0,24.0,44.0,35.3
Rémy Cabella,fr FRA,"MF,FW",27.0,25.1,7.0,55.0,23.0,41.8,2.19,0.92,0.11,0.26,21.1,4.0,1.0,3.0,8.4,6.0,0.11,-1.4,0.0,1243.0,1571.0,79.1,18836.0,5305.0,696.0,795.0,87.5,398.0,491.0,81.1,97.0,159.0,61.0,6.0,6.0,6.3,0.0,49.0,151.0,37.0,4.0,208.0,1571.0,1454.0,105.0,53.0,8.0,10.0,69.0,16.0,30.0,9.0,8.0,0.0,1243.0,12.0,41.0,125.0,4.98,86.0,9.0,12.0,4.0,10.0,4.0,13.0,0.52,11.0,1.0,1.0,0.0,0.0,0.0,58.0,39.0,29.0,22.0,7.0,17.0,73.0,23.3,56.0,31.0,0.0,31.0,14.0,72.0,4.0,2.0,1869.0,7.0,174.0,1052.0,670.0,83.0,1866.0,97.0,63.0,64.9,34.0,35.1,1174.0,8341.0,4932.0,146.0,92.0,24.0,46.0,62.0,1473.0,193.0,26,2259.0,87.0,66.1,25.1,25,89.0,22,1,22.0,0,1.54,31.0,28.0,3.0,0.12,0.58,34.3,38.4,-4.1,-0.16,-0.23,3.0,0.0,0.0,19.0,68.0,5.0,69.0,14.0,39.0,0.0,0.0,0.0,152.0,9.0,25.0,26.5
Kévin Théophile-Catherine,fr FRA,DF,27.0,24.1,0.0,3.0,0.0,0.0,0.12,0.0,0.0,,9.3,0.0,0.0,0.0,0.4,0.4,0.13,-0.4,-0.4,913.0,1115.0,81.9,18147.0,6558.0,325.0,352.0,92.3,459.0,502.0,91.4,124.0,237.0,52.3,0.0,0.3,0.6,-0.3,4.0,65.0,7.0,0.0,77.0,1115.0,1060.0,49.0,20.0,1.0,17.0,2.0,29.0,0.0,0.0,0.0,0.0,913.0,6.0,7.0,15.0,0.62,12.0,2.0,0.0,1.0,0.0,0.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,36.0,27.0,23.0,13.0,0.0,11.0,24.0,45.8,13.0,19.0,15.0,4.0,31.0,67.0,113.0,1.0,1340.0,145.0,631.0,685.0,37.0,8.0,1340.0,20.0,17.0,85.0,3.0,15.0,743.0,4296.0,2967.0,10.0,2.0,0.0,12.0,8.0,860.0,4.0,25,2165.0,87.0,63.3,24.1,24,90.0,24,1,5.0,8,1.48,27.0,34.0,-7.0,-0.29,-0.58,29.9,36.3,-6.4,-0.26,-0.5,6.0,0.0,0.0,25.0,13.0,0.0,2.0,31.0,27.0,0.0,2.0,0.0,133.0,41.0,29.0,58.6
Gabriel Silva,br BRA,DF,26.0,23.1,1.0,11.0,3.0,27.3,0.48,0.13,0.09,0.33,21.7,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,891.0,1128.0,79.0,14300.0,5362.0,505.0,545.0,92.7,286.0,370.0,77.3,81.0,142.0,57.0,2.0,0.8,1.0,1.2,16.0,61.0,24.0,7.0,95.0,1128.0,838.0,285.0,28.0,0.0,7.0,54.0,257.0,0.0,0.0,0.0,0.0,891.0,5.0,38.0,27.0,1.17,19.0,4.0,1.0,0.0,3.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,19.0,4.0,5.0,19.0,31.0,61.3,12.0,21.0,6.0,15.0,37.0,65.0,83.0,1.0,1384.0,85.0,437.0,606.0,352.0,17.0,1384.0,28.0,18.0,64.3,10.0,35.7,617.0,2896.0,1665.0,39.0,34.0,6.0,33.0,21.0,754.0,104.0,25,2077.0,83.0,60.7,23.1,23,88.0,19,2,25.0,1,1.6,29.0,25.0,4.0,0.17,0.64,33.8,30.2,3.5,0.15,0.6,2.0,1.0,0.0,34.0,44.0,3.0,54.0,37.0,20.0,1.0,0.0,0.0,112.0,27.0,29.0,48.2
Ole Selnæs,no NOR,MF,23.0,22.9,0.0,14.0,4.0,28.6,0.61,0.17,0.0,0.0,25.4,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1032.0,1266.0,81.5,20138.0,5560.0,378.0,437.0,86.5,490.0,560.0,87.5,147.0,225.0,65.3,2.0,1.3,0.9,0.7,18.0,107.0,5.0,0.0,124.0,1266.0,1205.0,56.0,40.0,4.0,17.0,26.0,1.0,15.0,9.0,6.0,0.0,1032.0,5.0,15.0,39.0,1.71,33.0,3.0,0.0,0.0,1.0,2.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,73.0,45.0,29.0,42.0,2.0,18.0,61.0,29.5,43.0,37.0,15.0,22.0,34.0,107.0,53.0,1.0,1493.0,83.0,396.0,979.0,136.0,9.0,1493.0,8.0,8.0,100.0,0.0,0.0,726.0,3779.0,2036.0,25.0,15.0,0.0,3.0,5.0,939.0,14.0,26,2058.0,79.0,60.2,22.9,23,84.0,18,3,39.0,6,1.77,33.0,27.0,6.0,0.26,0.86,33.6,33.8,-0.2,-0.01,0.18,9.0,0.0,0.0,39.0,14.0,0.0,26.0,34.0,45.0,1.0,0.0,0.0,161.0,30.0,20.0,60.0
Romain Hamouma,fr FRA,FW,30.0,20.5,5.0,42.0,16.0,38.1,2.05,0.78,0.12,0.31,15.3,2.0,0.0,0.0,6.7,6.7,0.16,-1.7,-1.7,469.0,662.0,70.8,7053.0,1990.0,253.0,306.0,82.7,138.0,191.0,72.3,45.0,93.0,48.4,3.0,4.8,3.6,-1.8,34.0,30.0,15.0,7.0,45.0,662.0,556.0,103.0,30.0,3.0,2.0,106.0,12.0,50.0,17.0,28.0,1.0,469.0,3.0,23.0,76.0,3.71,36.0,20.0,7.0,6.0,7.0,0.0,12.0,0.59,5.0,2.0,3.0,1.0,1.0,0.0,19.0,13.0,7.0,6.0,6.0,1.0,22.0,4.5,21.0,15.0,4.0,11.0,13.0,32.0,8.0,1.0,857.0,10.0,103.0,338.0,426.0,77.0,857.0,40.0,19.0,47.5,21.0,52.5,504.0,3095.0,1339.0,59.0,34.0,18.0,54.0,43.0,625.0,176.0,29,1846.0,64.0,54.0,20.5,22,75.0,8,7,27.0,0,1.69,34.0,18.0,16.0,0.78,1.87,34.6,27.6,7.0,0.34,0.92,4.0,0.0,0.0,17.0,37.0,12.0,106.0,13.0,13.0,1.0,0.0,0.0,72.0,18.0,32.0,36.0
Kévin Monnet-Paquet,fr FRA,"FW,MF",28.0,19.6,2.0,28.0,8.0,28.6,1.43,0.41,0.07,0.25,14.6,0.0,0.0,0.0,3.9,3.9,0.14,-1.9,-1.9,522.0,689.0,75.8,6807.0,1824.0,362.0,424.0,85.4,123.0,167.0,73.7,17.0,29.0,58.6,3.0,1.7,1.9,1.3,22.0,30.0,20.0,3.0,55.0,689.0,673.0,15.0,3.0,0.0,1.0,29.0,12.0,0.0,0.0,0.0,0.0,522.0,1.0,32.0,52.0,2.65,42.0,1.0,5.0,2.0,1.0,1.0,8.0,0.41,6.0,0.0,1.0,0.0,0.0,1.0,33.0,25.0,9.0,19.0,5.0,11.0,48.0,22.9,37.0,15.0,2.0,13.0,13.0,46.0,23.0,1.0,890.0,25.0,158.0,373.0,374.0,57.0,890.0,40.0,20.0,50.0,20.0,50.0,512.0,3101.0,1491.0,51.0,34.0,10.0,34.0,52.0,641.0,179.0,30,1763.0,59.0,51.5,19.6,21,74.0,7,9,24.0,1,1.4,28.0,28.0,0.0,0.0,0.16,27.9,27.0,0.9,0.05,0.26,0.0,0.0,0.0,33.0,14.0,5.0,29.0,13.0,25.0,0.0,0.0,0.0,97.0,34.0,70.0,32.7
Yann M'Vila,fr FRA,MF,27.0,16.4,0.0,4.0,0.0,0.0,0.24,0.0,0.0,,22.9,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,1140.0,1302.0,87.6,21969.0,6955.0,458.0,497.0,92.2,488.0,537.0,90.9,167.0,216.0,77.3,0.0,0.1,0.6,-0.1,3.0,100.0,9.0,1.0,139.0,1302.0,1262.0,33.0,28.0,2.0,23.0,6.0,5.0,0.0,0.0,0.0,0.0,1140.0,7.0,10.0,15.0,0.91,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,11.0,12.0,3.0,7.0,24.0,29.2,17.0,13.0,1.0,12.0,31.0,57.0,56.0,0.0,1455.0,67.0,370.0,1015.0,75.0,2.0,1455.0,6.0,5.0,83.3,1.0,16.7,784.0,3381.0,1607.0,15.0,11.0,0.0,10.0,9.0,1112.0,4.0,17,1479.0,87.0,43.2,16.4,17,87.0,14,0,,0,1.82,23.0,14.0,9.0,0.55,1.1,23.2,23.3,-0.1,0.0,0.14,1.0,0.0,0.0,9.0,20.0,0.0,6.0,31.0,16.0,0.0,0.0,0.0,96.0,19.0,14.0,57.6
