player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alban Lafont,fr FRA,GK,18.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,11.8,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,812.0,1266.0,64.1,29531.0,25138.0,66.0,66.0,100.0,326.0,331.0,98.5,420.0,860.0,48.8,0.0,0.0,0.2,0.0,1.0,45.0,1.0,0.0,3.0,1266.0,740.0,522.0,190.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,812.0,4.0,4.0,3.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,2.0,3.0,20.0,5.0,1363.0,1034.0,1339.0,24.0,1.0,1.0,1363.0,1.0,1.0,100.0,0.0,0.0,595.0,3449.0,2430.0,0.0,0.0,0.0,1.0,0.0,396.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,0.97,38.0,54.0,-16.0,-0.42,,45.5,52.1,-6.6,-0.17,,3.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,80.0,4.0,0.0,100.0
Kelvin Amian,fr FRA,DF,19.0,35.0,1.0,15.0,6.0,40.0,0.43,0.17,0.07,0.17,20.7,0.0,0.0,0.0,1.4,1.4,0.09,-0.4,-0.4,1013.0,1303.0,77.7,17327.0,7505.0,503.0,568.0,88.6,387.0,474.0,81.6,103.0,196.0,52.6,1.0,1.1,1.3,-0.1,11.0,86.0,16.0,9.0,107.0,1303.0,977.0,321.0,40.0,1.0,8.0,43.0,281.0,0.0,0.0,0.0,0.0,1013.0,5.0,34.0,33.0,0.94,19.0,7.0,6.0,0.0,1.0,0.0,4.0,0.11,2.0,0.0,2.0,0.0,0.0,0.0,59.0,43.0,45.0,10.0,4.0,22.0,31.0,71.0,9.0,25.0,7.0,18.0,45.0,104.0,127.0,1.0,1634.0,121.0,570.0,739.0,335.0,18.0,1634.0,34.0,19.0,55.9,15.0,44.1,752.0,3884.0,2163.0,41.0,31.0,4.0,34.0,20.0,746.0,83.0,36,3154.0,88.0,92.2,35.0,35,89.0,33,1,24.0,0,1.03,34.0,47.0,-13.0,-0.37,0.64,40.5,46.8,-6.3,-0.18,-0.07,3.0,1.0,0.0,28.0,15.0,0.0,43.0,45.0,43.0,0.0,1.0,0.0,155.0,36.0,38.0,48.6
Issa Diop,fr FRA,DF,20.0,34.0,3.0,19.0,6.0,31.6,0.56,0.18,0.16,0.5,11.9,0.0,0.0,0.0,2.0,2.0,0.11,1.0,1.0,989.0,1247.0,79.3,20054.0,8739.0,325.0,371.0,87.6,517.0,598.0,86.5,136.0,248.0,54.8,0.0,0.6,0.8,-0.6,5.0,91.0,4.0,2.0,106.0,1247.0,1167.0,76.0,74.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,989.0,4.0,14.0,23.0,0.68,14.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,43.0,35.0,22.0,1.0,21.0,48.0,43.8,27.0,38.0,25.0,13.0,76.0,134.0,128.0,0.0,1570.0,164.0,713.0,821.0,52.0,29.0,1570.0,15.0,11.0,73.3,4.0,26.7,869.0,4533.0,2850.0,14.0,9.0,1.0,10.0,5.0,832.0,1.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,0,0.88,33.0,50.0,-17.0,-0.5,-0.75,42.8,47.4,-4.7,-0.14,0.35,8.0,0.0,0.0,31.0,24.0,1.0,2.0,76.0,43.0,0.0,0.0,1.0,200.0,57.0,36.0,61.3
Christopher Jullien,fr FRA,DF,24.0,28.9,1.0,25.0,7.0,28.0,0.86,0.24,0.04,0.14,10.4,0.0,0.0,0.0,3.0,3.0,0.12,-2.0,-2.0,983.0,1248.0,78.8,22850.0,10072.0,240.0,275.0,87.3,519.0,595.0,87.2,220.0,354.0,62.1,2.0,0.7,0.7,1.3,9.0,88.0,5.0,1.0,103.0,1248.0,1191.0,52.0,48.0,0.0,29.0,2.0,4.0,0.0,0.0,0.0,0.0,983.0,5.0,5.0,22.0,0.76,18.0,0.0,0.0,4.0,0.0,0.0,5.0,0.17,3.0,0.0,0.0,2.0,0.0,0.0,36.0,25.0,27.0,9.0,0.0,15.0,32.0,46.9,17.0,29.0,19.0,10.0,40.0,76.0,182.0,5.0,1573.0,198.0,791.0,730.0,72.0,49.0,1573.0,0.0,0.0,,0.0,,812.0,4012.0,2442.0,8.0,5.0,1.0,10.0,3.0,849.0,10.0,30,2605.0,87.0,76.2,28.9,30,87.0,28,0,,2,0.93,30.0,43.0,-13.0,-0.45,-0.12,37.1,40.4,-3.3,-0.12,0.24,7.0,0.0,0.0,31.0,7.0,1.0,2.0,40.0,25.0,0.0,0.0,0.0,138.0,124.0,40.0,75.6
Giannelli Imbula,cd COD,MF,24.0,24.9,1.0,34.0,10.0,29.4,1.36,0.4,0.03,0.1,25.7,7.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6,1055.0,1232.0,85.6,18051.0,5126.0,506.0,543.0,93.2,424.0,475.0,89.3,102.0,164.0,62.2,1.0,2.1,2.4,-1.1,25.0,124.0,13.0,3.0,159.0,1232.0,1150.0,77.0,36.0,5.0,8.0,43.0,6.0,30.0,17.0,11.0,1.0,1055.0,5.0,18.0,72.0,2.89,53.0,4.0,6.0,2.0,4.0,3.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,10.0,15.0,4.0,7.0,29.0,24.1,22.0,17.0,2.0,15.0,20.0,49.0,13.0,3.0,1443.0,21.0,198.0,968.0,310.0,18.0,1443.0,84.0,65.0,77.4,19.0,22.6,1008.0,6811.0,3464.0,74.0,49.0,4.0,42.0,41.0,1047.0,40.0,28,2243.0,80.0,65.6,24.9,28,80.0,14,0,,2,1.07,21.0,28.0,-7.0,-0.28,0.41,28.3,31.2,-2.9,-0.12,0.17,4.0,0.0,0.0,22.0,52.0,1.0,43.0,20.0,19.0,0.0,0.0,0.0,177.0,17.0,19.0,47.2
Max Gradel,ci CIV,"FW,MF",29.0,26.8,8.0,64.0,22.0,34.4,2.39,0.82,0.06,0.18,21.1,8.0,4.0,5.0,8.1,4.1,0.06,-0.1,-0.1,566.0,1016.0,55.7,9850.0,3749.0,278.0,377.0,73.7,185.0,319.0,58.0,78.0,206.0,37.9,1.0,4.5,5.6,-3.5,44.0,48.0,37.0,17.0,96.0,1016.0,858.0,143.0,44.0,1.0,6.0,227.0,14.0,74.0,46.0,20.0,1.0,566.0,15.0,63.0,105.0,3.91,50.0,22.0,14.0,9.0,8.0,2.0,7.0,0.26,4.0,0.0,0.0,1.0,2.0,0.0,63.0,36.0,28.0,21.0,14.0,24.0,72.0,33.3,48.0,39.0,2.0,37.0,14.0,77.0,30.0,0.0,1436.0,26.0,182.0,471.0,812.0,109.0,1431.0,143.0,79.0,55.2,64.0,44.8,936.0,6749.0,3379.0,136.0,76.0,50.0,97.0,61.0,941.0,316.0,29,2415.0,83.0,70.6,26.8,27,86.0,22,2,47.0,0,0.86,27.0,36.0,-9.0,-0.34,0.29,34.4,35.9,-1.6,-0.06,0.39,5.0,1.0,0.0,44.0,47.0,10.0,227.0,14.0,36.0,2.0,0.0,0.0,151.0,13.0,50.0,20.6
Andy Delort,dz ALG,FW,25.0,25.9,5.0,68.0,18.0,26.5,2.62,0.69,0.06,0.22,19.0,7.0,1.0,2.0,9.0,7.4,0.11,-4.0,-3.4,472.0,841.0,56.1,6911.0,1841.0,271.0,408.0,66.4,135.0,237.0,57.0,36.0,112.0,32.1,5.0,5.1,4.3,-0.1,44.0,38.0,23.0,11.0,62.0,841.0,746.0,93.0,28.0,0.0,6.0,112.0,10.0,19.0,8.0,10.0,0.0,472.0,2.0,38.0,82.0,3.16,50.0,10.0,6.0,8.0,8.0,0.0,7.0,0.27,5.0,1.0,0.0,0.0,1.0,0.0,20.0,13.0,2.0,9.0,9.0,4.0,19.0,21.1,15.0,10.0,0.0,10.0,12.0,32.0,22.0,0.0,1115.0,17.0,60.0,430.0,636.0,103.0,1113.0,41.0,19.0,46.3,22.0,53.7,658.0,2542.0,957.0,28.0,23.0,15.0,83.0,48.0,850.0,240.0,32,2333.0,73.0,68.2,25.9,25,85.0,16,7,31.0,0,0.91,29.0,36.0,-7.0,-0.27,0.48,34.0,35.0,-1.0,-0.04,0.42,5.0,0.0,0.0,70.0,31.0,29.0,112.0,12.0,13.0,0.0,2.0,0.0,60.0,98.0,100.0,49.5
Somália,br BRA,"MF,FW",28.0,22.2,1.0,26.0,7.0,26.9,1.17,0.31,0.04,0.14,21.4,0.0,0.0,0.0,1.6,1.6,0.06,-0.6,-0.6,482.0,643.0,75.0,6898.0,2223.0,268.0,324.0,82.7,164.0,213.0,77.0,21.0,42.0,50.0,0.0,1.8,1.2,-1.8,21.0,42.0,9.0,5.0,68.0,643.0,617.0,23.0,3.0,2.0,2.0,32.0,19.0,0.0,0.0,0.0,0.0,482.0,3.0,20.0,50.0,2.25,34.0,0.0,7.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,45.0,21.0,36.0,8.0,14.0,54.0,25.9,40.0,34.0,2.0,32.0,34.0,99.0,35.0,0.0,967.0,40.0,194.0,479.0,320.0,38.0,967.0,79.0,38.0,48.1,41.0,51.9,593.0,4162.0,1975.0,65.0,45.0,15.0,48.0,33.0,577.0,99.0,27,2002.0,74.0,58.5,22.2,23,81.0,11,4,35.0,2,1.04,19.0,31.0,-12.0,-0.54,-0.29,23.8,31.2,-7.5,-0.34,-0.39,2.0,0.0,0.0,27.0,51.0,2.0,32.0,34.0,45.0,0.0,0.0,0.0,129.0,29.0,53.0,35.4
Alexis Blin,fr FRA,MF,20.0,21.0,1.0,11.0,3.0,27.3,0.52,0.14,0.09,0.33,16.3,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,597.0,774.0,77.1,9623.0,3549.0,317.0,381.0,83.2,212.0,269.0,78.8,49.0,88.0,55.7,3.0,1.4,1.6,1.6,7.0,91.0,7.0,4.0,98.0,774.0,754.0,16.0,11.0,0.0,6.0,15.0,5.0,0.0,0.0,0.0,0.0,597.0,4.0,11.0,28.0,1.34,23.0,0.0,0.0,1.0,2.0,2.0,5.0,0.24,4.0,0.0,0.0,0.0,0.0,1.0,57.0,37.0,23.0,30.0,4.0,22.0,69.0,31.9,47.0,27.0,6.0,21.0,31.0,88.0,31.0,0.0,967.0,39.0,184.0,623.0,171.0,21.0,967.0,13.0,8.0,61.5,5.0,38.5,534.0,2251.0,1023.0,8.0,21.0,2.0,17.0,21.0,556.0,28.0,26,1886.0,73.0,55.1,21.0,20,86.0,16,6,29.0,9,0.85,20.0,34.0,-14.0,-0.67,-0.55,23.2,31.7,-8.4,-0.4,-0.51,5.0,0.0,0.0,31.0,37.0,0.0,15.0,31.0,37.0,1.0,1.0,0.0,129.0,33.0,36.0,47.8
François Moubandje,ch SUI,DF,27.0,18.9,0.0,3.0,1.0,33.3,0.16,0.05,0.0,0.0,28.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,636.0,890.0,71.5,10926.0,4987.0,316.0,369.0,85.6,258.0,335.0,77.0,56.0,146.0,38.4,0.0,0.5,0.6,-0.5,8.0,64.0,7.0,4.0,80.0,890.0,674.0,213.0,16.0,1.0,4.0,38.0,197.0,0.0,0.0,0.0,0.0,636.0,3.0,31.0,19.0,1.01,16.0,0.0,3.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,28.0,15.0,20.0,7.0,1.0,10.0,34.0,29.4,24.0,23.0,7.0,16.0,27.0,55.0,75.0,0.0,1084.0,64.0,385.0,516.0,191.0,6.0,1084.0,31.0,19.0,61.3,12.0,38.7,474.0,2271.0,1214.0,26.0,19.0,1.0,18.0,8.0,489.0,54.0,21,1699.0,81.0,49.7,18.9,20,84.0,15,1,10.0,5,1.43,24.0,25.0,-1.0,-0.05,0.73,21.0,24.5,-3.5,-0.19,-0.03,6.0,1.0,1.0,22.0,15.0,1.0,38.0,27.0,15.0,0.0,0.0,0.0,104.0,44.0,18.0,71.0
