player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Brice Samba,fr FRA,GK,24.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,778.0,1231.0,63.2,29616.0,25696.0,52.0,52.0,100.0,270.0,278.0,97.1,455.0,898.0,50.7,0.0,0.0,0.1,0.0,0.0,16.0,0.0,0.0,0.0,1231.0,755.0,474.0,158.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,2.0,0.0,8.0,0.21,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,12.0,4.0,1337.0,1138.0,1332.0,5.0,0.0,0.0,1337.0,0.0,0.0,,0.0,,593.0,3836.0,2667.0,0.0,0.0,0.0,1.0,0.0,439.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,0.87,29.0,54.0,-25.0,-0.66,,31.0,63.8,-32.8,-0.86,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,9.0,0.0,100.0
Fayçal Fajr,ma MAR,MF,29.0,36.0,5.0,49.0,14.0,28.6,1.36,0.39,0.08,0.29,27.1,16.0,1.0,1.0,3.2,2.4,0.05,1.8,1.6,1621.0,2146.0,75.5,33729.0,10094.0,653.0,725.0,90.1,559.0,673.0,83.1,360.0,642.0,56.1,4.0,5.7,5.6,-1.7,54.0,177.0,25.0,8.0,225.0,2146.0,1809.0,330.0,203.0,7.0,93.0,217.0,13.0,105.0,41.0,55.0,0.0,1621.0,7.0,33.0,128.0,3.56,66.0,38.0,3.0,5.0,14.0,2.0,13.0,0.36,6.0,4.0,0.0,1.0,2.0,0.0,65.0,32.0,22.0,33.0,10.0,25.0,66.0,37.9,41.0,27.0,6.0,21.0,29.0,94.0,19.0,2.0,2428.0,28.0,367.0,1538.0,543.0,14.0,2427.0,47.0,29.0,61.7,18.0,38.3,1283.0,5983.0,2672.0,39.0,39.0,2.0,47.0,35.0,1574.0,59.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,0.81,28.0,54.0,-26.0,-0.72,-1.22,29.7,60.8,-31.1,-0.86,-0.01,6.0,0.0,0.0,43.0,89.0,3.0,217.0,29.0,32.0,0.0,0.0,0.0,239.0,15.0,21.0,41.7
Frederic Guilbert,fr FRA,DF,23.0,32.4,1.0,11.0,1.0,9.1,0.34,0.03,0.09,1.0,26.0,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,985.0,1425.0,69.1,17427.0,7268.0,482.0,572.0,84.3,372.0,530.0,70.2,110.0,238.0,46.2,2.0,2.7,1.6,-0.7,24.0,60.0,19.0,14.0,87.0,1425.0,1149.0,268.0,15.0,0.0,18.0,91.0,252.0,1.0,0.0,0.0,0.0,985.0,8.0,42.0,52.0,1.6,36.0,6.0,3.0,4.0,0.0,3.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,98.0,67.0,59.0,29.0,10.0,41.0,83.0,49.4,42.0,49.0,21.0,28.0,78.0,176.0,121.0,2.0,1877.0,115.0,653.0,879.0,363.0,16.0,1877.0,50.0,29.0,58.0,21.0,42.0,757.0,4180.0,2163.0,57.0,51.0,2.0,44.0,25.0,848.0,86.0,34,2916.0,86.0,85.3,32.4,33,88.0,31,1,13.0,0,0.97,27.0,45.0,-18.0,-0.56,0.69,28.0,53.6,-25.6,-0.79,0.51,10.0,1.0,1.0,57.0,37.0,1.0,91.0,78.0,67.0,0.0,0.0,0.0,173.0,76.0,76.0,50.0
Alexander Djiku,gh GHA,DF,23.0,30.6,1.0,7.0,1.0,14.3,0.23,0.03,0.14,1.0,11.1,0.0,0.0,0.0,1.2,1.2,0.17,-0.2,-0.2,1175.0,1418.0,82.9,24773.0,9459.0,351.0,411.0,85.4,625.0,702.0,89.0,190.0,277.0,68.6,0.0,0.3,0.3,-0.3,3.0,51.0,5.0,0.0,68.0,1418.0,1352.0,65.0,51.0,0.0,16.0,3.0,11.0,0.0,0.0,0.0,0.0,1175.0,1.0,12.0,22.0,0.72,18.0,0.0,0.0,1.0,1.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,48.0,37.0,33.0,13.0,2.0,23.0,43.0,53.5,20.0,56.0,31.0,25.0,83.0,131.0,183.0,3.0,1840.0,212.0,1065.0,750.0,38.0,17.0,1840.0,13.0,8.0,61.5,5.0,38.5,799.0,4048.0,2076.0,7.0,5.0,1.0,14.0,13.0,961.0,3.0,31,2754.0,89.0,80.5,30.6,31,89.0,30,0,,1,0.94,19.0,40.0,-21.0,-0.69,-0.15,27.2,47.2,-19.9,-0.65,1.09,9.0,1.0,0.0,50.0,43.0,1.0,3.0,83.0,37.0,0.0,2.0,0.0,175.0,83.0,53.0,61.0
Casimir Ninga,td CHA,"FW,MF",25.0,27.4,6.0,52.0,17.0,32.7,1.9,0.62,0.1,0.29,18.1,0.0,1.0,1.0,5.6,4.8,0.09,0.4,0.2,384.0,542.0,70.8,5700.0,1048.0,229.0,276.0,83.0,109.0,152.0,71.7,28.0,65.0,43.1,3.0,2.5,2.1,0.5,24.0,14.0,14.0,6.0,27.0,542.0,520.0,21.0,0.0,3.0,4.0,52.0,19.0,0.0,0.0,0.0,0.0,384.0,1.0,29.0,54.0,1.97,36.0,0.0,9.0,2.0,7.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,53.0,30.0,23.0,21.0,9.0,20.0,49.0,40.8,29.0,22.0,1.0,21.0,22.0,75.0,12.0,0.0,1014.0,9.0,144.0,419.0,482.0,79.0,1013.0,126.0,52.0,41.3,74.0,58.7,649.0,6195.0,2667.0,95.0,97.0,23.0,125.0,86.0,648.0,185.0,33,2468.0,75.0,72.2,27.4,28,83.0,16,5,31.0,2,0.85,20.0,36.0,-16.0,-0.58,0.27,22.0,46.2,-24.2,-0.88,-0.06,9.0,0.0,0.0,64.0,35.0,16.0,52.0,22.0,30.0,0.0,0.0,0.0,146.0,30.0,68.0,30.6
Enzo Crivelli,fr FRA,FW,23.0,25.1,6.0,21.0,10.0,47.6,0.84,0.4,0.29,0.6,11.3,0.0,0.0,0.0,5.1,5.1,0.24,0.9,0.9,348.0,542.0,64.2,4413.0,693.0,210.0,304.0,69.1,84.0,132.0,63.6,16.0,35.0,45.7,1.0,0.9,0.7,0.1,16.0,19.0,7.0,2.0,29.0,542.0,497.0,43.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,348.0,2.0,12.0,37.0,1.47,24.0,0.0,1.0,1.0,11.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,20.0,14.0,10.0,8.0,2.0,8.0,13.0,61.5,5.0,5.0,0.0,5.0,4.0,24.0,28.0,1.0,778.0,34.0,59.0,465.0,259.0,57.0,778.0,30.0,12.0,40.0,18.0,60.0,409.0,1898.0,536.0,17.0,14.0,4.0,76.0,41.0,604.0,123.0,33,2260.0,68.0,66.1,25.1,28,76.0,10,5,25.0,1,0.85,17.0,35.0,-18.0,-0.72,-0.17,20.9,41.7,-20.8,-0.83,0.11,7.0,0.0,0.0,45.0,46.0,5.0,5.0,4.0,14.0,0.0,0.0,0.0,59.0,111.0,130.0,46.1
Prince Oniangué,cg CGO,MF,29.0,26.0,2.0,23.0,5.0,21.7,0.88,0.19,0.09,0.4,14.5,0.0,0.0,0.0,3.6,3.6,0.16,-1.6,-1.6,821.0,989.0,83.0,12990.0,3855.0,426.0,480.0,88.8,297.0,341.0,87.1,62.0,102.0,60.8,0.0,0.6,0.5,-0.6,5.0,65.0,7.0,2.0,100.0,989.0,964.0,21.0,16.0,1.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,821.0,4.0,18.0,26.0,1.0,23.0,0.0,0.0,2.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,59.0,33.0,22.0,34.0,3.0,24.0,57.0,42.1,33.0,30.0,10.0,20.0,29.0,88.0,42.0,0.0,1220.0,52.0,282.0,838.0,113.0,28.0,1220.0,7.0,2.0,28.6,5.0,71.4,567.0,2798.0,1289.0,15.0,21.0,1.0,22.0,15.0,790.0,20.0,31,2343.0,76.0,68.5,26.0,26,85.0,21,5,29.0,2,0.94,18.0,33.0,-15.0,-0.58,0.26,21.3,44.3,-23.0,-0.89,-0.07,3.0,0.0,0.0,26.0,27.0,0.0,6.0,29.0,33.0,0.0,0.0,0.0,117.0,48.0,45.0,51.6
Jonathan Gradit,fr FRA,DF,25.0,22.3,0.0,2.0,0.0,0.0,0.09,0.0,0.0,,28.3,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,740.0,918.0,80.6,13529.0,5073.0,298.0,332.0,89.8,351.0,417.0,84.2,81.0,138.0,58.7,0.0,0.8,1.0,-0.8,6.0,45.0,11.0,4.0,66.0,918.0,824.0,91.0,13.0,1.0,4.0,16.0,78.0,0.0,0.0,0.0,0.0,740.0,3.0,11.0,15.0,0.67,12.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,28.0,30.0,21.0,1.0,28.0,52.0,53.8,24.0,40.0,15.0,25.0,45.0,97.0,82.0,3.0,1186.0,104.0,477.0,604.0,122.0,6.0,1186.0,30.0,21.0,70.0,9.0,30.0,550.0,3644.0,2333.0,42.0,27.0,2.0,17.0,11.0,651.0,24.0,24,2010.0,84.0,58.8,22.3,23,86.0,19,1,37.0,6,0.79,11.0,30.0,-19.0,-0.85,-0.47,14.9,35.5,-20.7,-0.92,-0.15,1.0,0.0,0.0,21.0,37.0,1.0,16.0,45.0,28.0,0.0,0.0,1.0,124.0,33.0,56.0,37.1
Yoël Armougom,fr FRA,DF,20.0,20.6,0.0,11.0,1.0,9.1,0.53,0.05,0.0,0.0,29.9,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,635.0,901.0,70.5,10759.0,4681.0,321.0,368.0,87.2,230.0,322.0,71.4,65.0,161.0,40.4,1.0,1.7,1.7,-0.7,15.0,49.0,17.0,11.0,67.0,901.0,713.0,187.0,7.0,0.0,3.0,71.0,180.0,0.0,0.0,0.0,0.0,635.0,1.0,18.0,39.0,1.89,33.0,2.0,0.0,1.0,1.0,2.0,4.0,0.19,4.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,20.0,9.0,2.0,15.0,29.0,51.7,14.0,9.0,3.0,6.0,21.0,52.0,66.0,0.0,1107.0,47.0,349.0,540.0,230.0,7.0,1107.0,31.0,11.0,35.5,20.0,64.5,528.0,3164.0,1687.0,45.0,31.0,4.0,28.0,9.0,596.0,49.0,29,1853.0,64.0,54.2,20.6,20,86.0,16,9,16.0,6,0.97,18.0,29.0,-11.0,-0.53,0.27,17.7,35.5,-17.8,-0.87,0.0,5.0,1.0,1.0,19.0,15.0,1.0,71.0,21.0,21.0,0.0,1.0,0.0,87.0,26.0,27.0,49.1
Paul Baysse,fr FRA,DF,30.0,19.9,0.0,9.0,3.0,33.3,0.45,0.15,0.0,0.0,13.1,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,662.0,830.0,79.8,14909.0,5107.0,176.0,207.0,85.0,328.0,378.0,86.8,151.0,230.0,65.7,0.0,0.5,0.5,-0.5,5.0,28.0,2.0,0.0,34.0,830.0,793.0,36.0,29.0,0.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,662.0,1.0,5.0,14.0,0.7,12.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,20.0,5.0,0.0,13.0,18.0,72.2,5.0,25.0,20.0,5.0,31.0,56.0,113.0,1.0,1052.0,142.0,581.0,449.0,31.0,17.0,1052.0,1.0,1.0,100.0,0.0,0.0,493.0,2308.0,1213.0,5.0,2.0,0.0,4.0,2.0,609.0,4.0,20,1788.0,89.0,52.3,19.9,20,89.0,19,0,,6,0.75,18.0,27.0,-9.0,-0.45,0.43,18.1,29.8,-11.6,-0.58,0.59,3.0,1.0,1.0,16.0,12.0,3.0,3.0,31.0,14.0,0.0,2.0,1.0,81.0,59.0,42.0,58.4
