player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Wesley Lautoa,nc NCL,"DF,MF",30.0,33.6,0.0,14.0,2.0,14.3,0.42,0.06,0.0,0.0,16.7,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,1371.0,1587.0,86.4,27469.0,10210.0,443.0,499.0,88.8,731.0,786.0,93.0,181.0,257.0,70.4,0.0,0.2,0.5,-0.2,4.0,88.0,5.0,0.0,118.0,1587.0,1534.0,51.0,45.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,1371.0,2.0,14.0,24.0,0.71,18.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,55.0,46.0,31.0,4.0,34.0,75.0,45.3,41.0,37.0,14.0,23.0,87.0,168.0,110.0,1.0,1968.0,169.0,851.0,1062.0,79.0,17.0,1968.0,17.0,13.0,76.5,4.0,23.5,1087.0,6872.0,4266.0,46.0,26.0,2.0,16.0,9.0,1210.0,8.0,34,3024.0,89.0,88.4,33.6,34,89.0,31,0,,1,0.91,26.0,51.0,-25.0,-0.74,0.17,35.7,51.4,-15.7,-0.47,0.16,12.0,1.0,1.0,52.0,37.0,0.0,0.0,87.0,55.0,0.0,1.0,1.0,208.0,51.0,62.0,45.1
Júlio Tavares,cv CPV,FW,29.0,31.2,5.0,59.0,19.0,32.2,1.89,0.61,0.07,0.21,13.7,0.0,1.0,1.0,9.5,8.7,0.15,-4.5,-4.7,429.0,739.0,58.1,5629.0,972.0,278.0,423.0,65.7,106.0,200.0,53.0,16.0,27.0,59.3,4.0,3.7,2.2,0.3,27.0,27.0,7.0,1.0,40.0,739.0,682.0,56.0,1.0,0.0,2.0,14.0,14.0,0.0,0.0,0.0,0.0,429.0,1.0,22.0,64.0,2.05,42.0,0.0,1.0,9.0,9.0,3.0,5.0,0.16,4.0,0.0,0.0,0.0,0.0,1.0,15.0,9.0,1.0,7.0,7.0,3.0,9.0,33.3,6.0,17.0,3.0,14.0,13.0,28.0,51.0,0.0,1056.0,53.0,98.0,508.0,455.0,139.0,1055.0,23.0,11.0,47.8,12.0,52.2,436.0,1781.0,518.0,17.0,8.0,12.0,68.0,33.0,762.0,150.0,36,2805.0,78.0,82.0,31.2,31,87.0,27,5,22.0,0,0.94,24.0,48.0,-24.0,-0.77,-0.04,33.1,48.0,-15.0,-0.48,0.03,4.0,0.0,0.0,44.0,42.0,14.0,14.0,13.0,9.0,0.0,0.0,0.0,59.0,231.0,225.0,50.7
Cédric Yamberé,cf CTA,DF,27.0,31.2,0.0,22.0,4.0,18.2,0.71,0.13,0.0,0.0,13.6,0.0,0.0,0.0,2.3,2.3,0.1,-2.3,-2.3,1016.0,1225.0,82.9,22420.0,7448.0,251.0,276.0,90.9,574.0,620.0,92.6,178.0,299.0,59.5,0.0,0.2,0.7,-0.2,3.0,58.0,5.0,0.0,56.0,1225.0,1168.0,54.0,49.0,1.0,25.0,2.0,5.0,0.0,0.0,0.0,0.0,1016.0,3.0,7.0,18.0,0.58,16.0,0.0,0.0,2.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,47.0,31.0,36.0,11.0,0.0,21.0,39.0,53.8,18.0,45.0,32.0,13.0,52.0,99.0,136.0,4.0,1565.0,162.0,788.0,730.0,56.0,33.0,1565.0,7.0,6.0,85.7,1.0,14.3,815.0,4717.0,2652.0,13.0,8.0,1.0,12.0,4.0,893.0,4.0,33,2805.0,85.0,82.0,31.2,30,89.0,29,3,42.0,2,0.91,24.0,50.0,-26.0,-0.83,-0.4,33.3,46.8,-13.5,-0.43,0.29,4.0,0.0,0.0,32.0,33.0,1.0,2.0,52.0,31.0,0.0,0.0,0.0,150.0,62.0,76.0,44.9
Oussama Haddadi,tn TUN,DF,26.0,29.7,2.0,10.0,4.0,40.0,0.34,0.13,0.2,0.5,19.4,0.0,0.0,0.0,0.6,0.6,0.06,1.4,1.4,1195.0,1633.0,73.2,20928.0,7629.0,535.0,621.0,86.2,517.0,673.0,76.8,108.0,231.0,46.8,2.0,2.7,3.3,-0.7,36.0,72.0,34.0,25.0,102.0,1633.0,1307.0,322.0,25.0,1.0,19.0,118.0,296.0,1.0,0.0,0.0,0.0,1195.0,4.0,44.0,67.0,2.26,56.0,7.0,2.0,2.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,51.0,25.0,38.0,11.0,2.0,24.0,43.0,55.8,19.0,33.0,8.0,25.0,45.0,96.0,93.0,2.0,1948.0,100.0,554.0,870.0,543.0,46.0,1948.0,23.0,11.0,47.8,12.0,52.2,942.0,6353.0,3425.0,95.0,75.0,10.0,34.0,24.0,1046.0,183.0,32,2674.0,84.0,78.2,29.7,30,87.0,24,2,34.0,2,0.84,24.0,42.0,-18.0,-0.61,0.72,33.0,44.9,-11.8,-0.4,0.4,6.0,1.0,1.0,29.0,11.0,4.0,118.0,45.0,25.0,0.0,0.0,0.0,170.0,28.0,42.0,40.0
Romain Amalfitano,fr FRA,"MF,FW",28.0,28.0,0.0,19.0,4.0,21.1,0.68,0.14,0.0,0.0,25.9,0.0,0.0,0.0,0.7,0.7,0.03,-0.7,-0.7,835.0,1083.0,77.1,15893.0,4409.0,332.0,390.0,85.1,344.0,405.0,84.9,131.0,219.0,59.8,0.0,0.9,1.3,-0.9,15.0,105.0,26.0,6.0,134.0,1083.0,1055.0,20.0,8.0,3.0,24.0,25.0,12.0,0.0,0.0,0.0,0.0,835.0,8.0,20.0,40.0,1.43,36.0,0.0,0.0,1.0,2.0,1.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,52.0,33.0,20.0,28.0,4.0,25.0,67.0,37.3,42.0,45.0,13.0,32.0,47.0,99.0,35.0,0.0,1407.0,58.0,284.0,878.0,261.0,11.0,1407.0,51.0,27.0,52.9,24.0,47.1,791.0,4983.0,2345.0,44.0,42.0,4.0,53.0,36.0,912.0,62.0,32,2522.0,79.0,73.7,28.0,30,82.0,21,2,25.0,2,0.88,20.0,46.0,-26.0,-0.93,-0.63,25.9,43.2,-17.3,-0.62,-0.51,3.0,1.0,0.0,42.0,29.0,1.0,25.0,47.0,33.0,0.0,0.0,0.0,154.0,13.0,35.0,27.1
Naïm Sliti,tn TUN,"MF,FW",26.0,25.4,3.0,62.0,19.0,30.6,2.44,0.75,0.03,0.11,24.5,19.0,1.0,1.0,5.2,4.4,0.07,-2.2,-2.4,658.0,942.0,69.9,11391.0,3898.0,319.0,377.0,84.6,223.0,305.0,73.1,86.0,183.0,47.0,4.0,6.9,6.1,-2.9,72.0,72.0,37.0,4.0,119.0,942.0,751.0,185.0,70.0,11.0,11.0,139.0,7.0,93.0,38.0,39.0,1.0,658.0,6.0,27.0,158.0,6.22,74.0,41.0,20.0,7.0,16.0,0.0,12.0,0.47,4.0,3.0,2.0,2.0,1.0,0.0,56.0,33.0,24.0,19.0,13.0,15.0,46.0,32.6,31.0,18.0,0.0,18.0,11.0,67.0,9.0,0.0,1297.0,6.0,116.0,542.0,690.0,49.0,1296.0,132.0,83.0,62.9,49.0,37.1,797.0,6355.0,3289.0,107.0,97.0,17.0,89.0,63.0,839.0,157.0,35,2286.0,65.0,66.8,25.4,25,80.0,12,10,30.0,0,0.89,24.0,33.0,-9.0,-0.35,1.23,29.9,33.6,-3.7,-0.15,1.02,2.0,0.0,0.0,31.0,69.0,9.0,139.0,11.0,33.0,1.0,0.0,0.0,120.0,8.0,31.0,20.5
Wesley Saïd,fr FRA,"FW,MF",23.0,25.0,4.0,58.0,25.0,43.1,2.32,1.0,0.07,0.16,18.9,2.0,0.0,1.0,5.1,4.3,0.07,-1.1,-0.3,426.0,599.0,71.1,6341.0,1577.0,226.0,278.0,81.3,151.0,193.0,78.2,24.0,54.0,44.4,1.0,2.8,2.4,-1.8,26.0,32.0,29.0,1.0,78.0,599.0,548.0,46.0,12.0,2.0,6.0,35.0,10.0,8.0,5.0,2.0,0.0,426.0,5.0,27.0,66.0,2.64,38.0,4.0,11.0,9.0,2.0,2.0,7.0,0.28,2.0,0.0,3.0,2.0,0.0,0.0,25.0,18.0,6.0,11.0,8.0,5.0,20.0,25.0,15.0,9.0,0.0,9.0,9.0,34.0,9.0,0.0,811.0,9.0,72.0,320.0,442.0,88.0,810.0,67.0,45.0,67.2,22.0,32.8,474.0,3856.0,2073.0,68.0,39.0,26.0,46.0,30.0,573.0,160.0,34,2253.0,66.0,65.9,25.0,25,81.0,9,9,24.0,3,0.85,18.0,44.0,-26.0,-1.04,-0.81,23.1,40.0,-16.9,-0.68,-0.56,4.0,0.0,0.0,49.0,13.0,7.0,35.0,9.0,18.0,0.0,0.0,0.0,84.0,19.0,33.0,36.5
Rúnar Alex Rúnarsson,is ISL,GK,23.0,25.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,623.0,871.0,71.5,19553.0,15144.0,70.0,70.0,100.0,302.0,305.0,99.0,250.0,487.0,51.3,0.0,0.0,0.1,0.0,0.0,10.0,1.0,0.0,0.0,871.0,573.0,295.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,3.0,5.0,5.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,1.0,3.0,7.0,2.0,917.0,733.0,911.0,7.0,0.0,0.0,917.0,2.0,2.0,100.0,0.0,0.0,406.0,2210.0,1483.0,0.0,0.0,0.0,3.0,0.0,368.0,0.0,25,2250.0,90.0,65.8,25.0,25,90.0,25,0,,12,1.04,24.0,43.0,-19.0,-0.76,0.01,29.2,37.9,-8.7,-0.35,0.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,10.0,0.0,100.0
Mehdi Abeid,dz ALG,MF,25.0,22.5,3.0,36.0,10.0,27.8,1.6,0.44,0.06,0.2,24.9,0.0,1.0,1.0,2.9,2.1,0.06,0.1,-0.1,903.0,1068.0,84.6,15602.0,3725.0,419.0,466.0,89.9,365.0,405.0,90.1,90.0,143.0,62.9,0.0,1.6,0.8,-1.6,22.0,92.0,5.0,2.0,97.0,1068.0,1028.0,35.0,17.0,4.0,12.0,24.0,5.0,10.0,1.0,6.0,0.0,903.0,5.0,13.0,41.0,1.82,30.0,4.0,4.0,1.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,51.0,33.0,27.0,16.0,8.0,15.0,45.0,33.3,30.0,33.0,7.0,26.0,29.0,80.0,23.0,1.0,1356.0,30.0,252.0,870.0,258.0,21.0,1355.0,60.0,31.0,51.7,29.0,48.3,786.0,4914.0,2328.0,43.0,23.0,4.0,40.0,31.0,908.0,50.0,26,2023.0,78.0,59.2,22.5,23,84.0,16,3,28.0,1,0.81,18.0,30.0,-12.0,-0.53,0.56,22.2,31.3,-9.2,-0.41,0.19,6.0,0.0,0.0,57.0,28.0,1.0,24.0,29.0,33.0,0.0,0.0,0.0,145.0,17.0,26.0,39.5
Fouad Chafik,ma MAR,DF,31.0,20.5,0.0,9.0,3.0,33.3,0.44,0.15,0.0,0.0,24.2,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,709.0,966.0,73.4,11290.0,4801.0,376.0,420.0,89.5,262.0,359.0,73.0,53.0,129.0,41.1,2.0,1.9,1.2,0.1,16.0,53.0,17.0,7.0,75.0,966.0,745.0,218.0,10.0,1.0,4.0,47.0,208.0,0.0,0.0,0.0,0.0,709.0,3.0,27.0,45.0,2.19,30.0,6.0,2.0,3.0,3.0,1.0,4.0,0.19,3.0,0.0,0.0,1.0,0.0,0.0,44.0,31.0,29.0,12.0,3.0,23.0,36.0,63.9,13.0,17.0,3.0,14.0,25.0,69.0,71.0,0.0,1184.0,85.0,355.0,535.0,303.0,8.0,1184.0,32.0,17.0,53.1,15.0,46.9,481.0,2908.0,1723.0,48.0,41.0,1.0,19.0,12.0,580.0,68.0,21,1847.0,88.0,54.0,20.5,21,88.0,14,0,,13,0.9,15.0,25.0,-10.0,-0.49,0.6,18.2,30.8,-12.6,-0.61,-0.28,2.0,0.0,0.0,14.0,18.0,1.0,47.0,25.0,31.0,0.0,0.0,0.0,112.0,16.0,22.0,42.1
