player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Pedro Rebocho,pt POR,DF,23.0,36.0,0.0,18.0,5.0,27.8,0.5,0.14,0.0,0.0,23.9,4.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,1527.0,2111.0,72.3,26470.0,12791.0,709.0,804.0,88.2,637.0,850.0,74.9,146.0,339.0,43.1,8.0,6.3,6.6,1.7,54.0,109.0,40.0,28.0,165.0,2111.0,1539.0,567.0,83.0,1.0,8.0,249.0,400.0,84.0,56.0,17.0,3.0,1527.0,5.0,66.0,89.0,2.47,50.0,33.0,3.0,2.0,1.0,0.0,8.0,0.22,3.0,5.0,0.0,0.0,0.0,0.0,61.0,35.0,31.0,22.0,8.0,29.0,54.0,53.7,25.0,48.0,13.0,35.0,40.0,101.0,92.0,1.0,2429.0,104.0,654.0,1127.0,682.0,17.0,2429.0,30.0,22.0,73.3,8.0,26.7,982.0,6067.0,3411.0,74.0,64.0,6.0,34.0,30.0,1195.0,129.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,2,0.75,28.0,59.0,-31.0,-0.86,3.64,40.1,48.8,-8.7,-0.24,1.88,4.0,0.0,0.0,18.0,34.0,1.0,249.0,40.0,35.0,0.0,1.0,0.0,229.0,44.0,37.0,54.3
Marcus Thuram,fr FRA,"FW,MF",20.0,28.6,9.0,57.0,18.0,31.6,2.0,0.63,0.09,0.28,15.1,0.0,4.0,5.0,10.0,6.0,0.11,-1.0,-1.0,585.0,836.0,70.0,7759.0,1948.0,379.0,494.0,76.7,157.0,225.0,69.8,17.0,45.0,37.8,1.0,3.0,3.3,-2.0,36.0,43.0,17.0,6.0,76.0,836.0,808.0,26.0,0.0,2.0,1.0,44.0,6.0,0.0,0.0,0.0,0.0,585.0,2.0,12.0,91.0,3.18,65.0,0.0,13.0,5.0,7.0,1.0,6.0,0.21,3.0,0.0,0.0,1.0,2.0,0.0,45.0,28.0,23.0,15.0,7.0,20.0,43.0,46.5,23.0,24.0,1.0,23.0,10.0,55.0,14.0,0.0,1239.0,15.0,135.0,546.0,598.0,146.0,1234.0,146.0,101.0,69.2,45.0,30.8,766.0,7216.0,3424.0,133.0,90.0,53.0,95.0,92.0,942.0,221.0,32,2571.0,80.0,75.2,28.6,32,80.0,20,0,,0,0.63,22.0,56.0,-34.0,-1.19,-0.55,31.8,40.1,-8.2,-0.29,0.21,4.0,2.0,0.0,44.0,45.0,7.0,44.0,10.0,28.0,2.0,1.0,0.0,134.0,110.0,93.0,54.2
Jérémy Sorbon,fr FRA,DF,34.0,29.4,1.0,6.0,1.0,16.7,0.2,0.03,0.17,1.0,8.5,0.0,0.0,0.0,0.9,0.9,0.16,0.1,0.1,871.0,1039.0,83.8,17520.0,7030.0,257.0,296.0,86.8,489.0,543.0,90.1,114.0,170.0,67.1,0.0,0.2,0.7,-0.2,4.0,45.0,1.0,0.0,64.0,1039.0,996.0,41.0,40.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,871.0,2.0,5.0,17.0,0.58,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,23.0,10.0,0.0,14.0,22.0,63.6,8.0,33.0,23.0,10.0,34.0,67.0,105.0,2.0,1293.0,141.0,627.0,647.0,28.0,16.0,1293.0,5.0,5.0,100.0,0.0,0.0,585.0,3191.0,1598.0,3.0,4.0,1.0,12.0,1.0,675.0,0.0,33,2647.0,80.0,77.4,29.4,29,89.0,28,4,16.0,5,0.73,21.0,50.0,-29.0,-0.99,0.29,33.6,40.5,-6.9,-0.23,0.47,2.0,0.0,0.0,26.0,27.0,1.0,1.0,34.0,20.0,0.0,0.0,0.0,162.0,55.0,54.0,50.5
Félix Eboa Eboa,cm CMR,DF,21.0,27.0,3.0,12.0,5.0,41.7,0.45,0.19,0.25,0.6,9.2,0.0,0.0,0.0,1.7,1.7,0.15,1.3,1.3,764.0,1007.0,75.9,15170.0,5969.0,239.0,299.0,79.9,435.0,501.0,86.8,81.0,175.0,46.3,0.0,0.3,0.3,-0.3,5.0,46.0,7.0,2.0,74.0,1007.0,940.0,62.0,23.0,1.0,7.0,12.0,39.0,0.0,0.0,0.0,0.0,764.0,5.0,13.0,7.0,0.26,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,33.0,26.0,20.0,1.0,16.0,22.0,72.7,6.0,37.0,24.0,13.0,39.0,86.0,136.0,2.0,1323.0,166.0,617.0,640.0,76.0,25.0,1323.0,11.0,9.0,81.8,2.0,18.2,540.0,3219.0,1675.0,9.0,8.0,1.0,12.0,3.0,629.0,3.0,27,2426.0,90.0,70.9,27.0,27,90.0,26,0,,7,0.74,20.0,50.0,-30.0,-1.11,-0.21,26.6,40.6,-14.0,-0.52,-0.61,5.0,0.0,0.0,26.0,17.0,0.0,12.0,39.0,33.0,0.0,1.0,0.0,117.0,98.0,51.0,65.8
Ludovic Blas,fr FRA,"MF,FW",20.0,26.4,1.0,41.0,8.0,19.5,1.56,0.3,0.0,0.0,23.2,0.0,1.0,1.0,3.3,2.5,0.06,-2.3,-2.5,708.0,930.0,76.1,13280.0,3526.0,307.0,370.0,83.0,291.0,358.0,81.3,96.0,146.0,65.8,6.0,3.2,2.5,2.8,22.0,112.0,18.0,2.0,140.0,930.0,918.0,9.0,6.0,5.0,21.0,20.0,1.0,0.0,0.0,0.0,0.0,708.0,3.0,17.0,56.0,2.12,44.0,0.0,4.0,4.0,2.0,2.0,10.0,0.38,9.0,0.0,0.0,1.0,0.0,0.0,62.0,38.0,22.0,32.0,8.0,20.0,43.0,46.5,23.0,44.0,7.0,37.0,26.0,88.0,14.0,0.0,1277.0,20.0,183.0,759.0,367.0,47.0,1276.0,86.0,57.0,66.3,29.0,33.7,682.0,4740.0,2142.0,58.0,61.0,11.0,59.0,61.0,776.0,81.0,34,2372.0,70.0,69.4,26.4,27,82.0,15,7,22.0,2,0.76,20.0,42.0,-22.0,-0.83,0.71,26.6,35.2,-8.6,-0.33,0.05,5.0,0.0,0.0,38.0,35.0,2.0,20.0,26.0,38.0,0.0,0.0,0.0,158.0,42.0,76.0,35.6
Christophe Kerbrat,fr FRA,DF,31.0,23.3,0.0,2.0,0.0,0.0,0.09,0.0,0.0,,10.3,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,670.0,862.0,77.7,14574.0,6418.0,196.0,232.0,84.5,344.0,411.0,83.7,120.0,194.0,61.9,0.0,0.2,0.6,-0.2,1.0,52.0,1.0,0.0,75.0,862.0,802.0,58.0,58.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,670.0,2.0,7.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,28.0,12.0,0.0,24.0,38.0,63.2,14.0,19.0,10.0,9.0,50.0,90.0,140.0,5.0,1136.0,138.0,530.0,581.0,32.0,13.0,1136.0,4.0,3.0,75.0,1.0,25.0,453.0,2525.0,1546.0,10.0,8.0,3.0,10.0,3.0,532.0,3.0,25,2095.0,84.0,61.3,23.3,25,84.0,21,0,,6,0.72,17.0,47.0,-30.0,-1.29,-0.61,23.1,31.3,-8.2,-0.35,-0.04,3.0,1.0,0.0,8.0,22.0,1.0,1.0,50.0,24.0,0.0,0.0,0.0,106.0,30.0,49.0,38.0
Étienne Didot,fr FRA,MF,35.0,23.4,1.0,24.0,2.0,8.3,1.03,0.09,0.04,0.5,26.9,1.0,0.0,0.0,0.8,0.8,0.03,0.2,0.2,924.0,1221.0,75.7,18058.0,5751.0,377.0,442.0,85.3,361.0,449.0,80.4,161.0,268.0,60.1,1.0,1.9,2.0,-0.9,17.0,118.0,16.0,1.0,150.0,1221.0,1134.0,82.0,60.0,1.0,29.0,40.0,5.0,17.0,10.0,5.0,0.0,924.0,5.0,19.0,45.0,1.92,32.0,7.0,0.0,0.0,5.0,1.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,41.0,29.0,12.0,27.0,2.0,17.0,44.0,38.6,27.0,37.0,10.0,27.0,37.0,78.0,35.0,0.0,1448.0,51.0,274.0,937.0,246.0,13.0,1448.0,7.0,4.0,57.1,3.0,42.9,626.0,2995.0,1254.0,15.0,11.0,2.0,21.0,27.0,850.0,35.0,31,2105.0,68.0,61.5,23.4,23,86.0,16,8,17.0,6,0.58,18.0,47.0,-29.0,-1.24,-0.49,24.7,33.7,-9.0,-0.39,-0.12,4.0,0.0,0.0,42.0,28.0,3.0,40.0,37.0,29.0,0.0,0.0,0.0,152.0,23.0,37.0,38.3
Lebogang Phiri,za RSA,MF,23.0,21.4,0.0,12.0,3.0,25.0,0.56,0.14,0.0,0.0,25.6,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,886.0,1008.0,87.9,15163.0,4560.0,422.0,468.0,90.2,364.0,393.0,92.6,81.0,104.0,77.9,0.0,0.6,0.6,-0.6,15.0,102.0,6.0,0.0,126.0,1008.0,995.0,13.0,10.0,1.0,14.0,8.0,1.0,2.0,2.0,0.0,0.0,886.0,0.0,21.0,36.0,1.68,28.0,0.0,3.0,3.0,2.0,0.0,3.0,0.14,0.0,0.0,1.0,1.0,1.0,0.0,60.0,38.0,16.0,41.0,3.0,24.0,43.0,55.8,19.0,26.0,3.0,23.0,29.0,89.0,19.0,0.0,1199.0,30.0,253.0,830.0,130.0,6.0,1199.0,19.0,12.0,63.2,7.0,36.8,614.0,3122.0,1486.0,19.0,11.0,0.0,18.0,14.0,775.0,16.0,24,1928.0,80.0,56.4,21.4,23,83.0,18,1,10.0,8,0.79,14.0,36.0,-22.0,-1.03,0.06,22.3,31.8,-9.5,-0.44,-0.24,3.0,0.0,0.0,26.0,14.0,0.0,8.0,29.0,38.0,1.0,0.0,0.0,136.0,12.0,16.0,42.9
Marc-Aurèle Caillard,fr FRA,GK,24.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,304.0,546.0,55.7,12519.0,11149.0,14.0,14.0,100.0,100.0,103.0,97.1,190.0,424.0,44.8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,546.0,300.0,242.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,4.0,1.0,3.0,0.14,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,3.0,600.0,524.0,600.0,0.0,0.0,0.0,600.0,0.0,0.0,,0.0,,214.0,1611.0,1160.0,0.0,0.0,0.0,1.0,0.0,152.0,0.0,21,1890.0,90.0,55.3,21.0,21,90.0,21,0,,13,0.9,16.0,34.0,-18.0,-0.86,0.44,22.2,31.5,-9.3,-0.44,-0.23,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,100.0
Marcus Coco,fr FRA,"FW,MF",22.0,20.4,1.0,26.0,7.0,26.9,1.27,0.34,0.04,0.14,18.0,0.0,0.0,0.0,2.8,2.8,0.11,-1.8,-1.8,366.0,584.0,62.7,4953.0,1130.0,225.0,298.0,75.5,95.0,165.0,57.6,19.0,45.0,42.2,2.0,1.3,1.4,0.7,17.0,17.0,14.0,10.0,43.0,584.0,562.0,22.0,2.0,0.0,1.0,60.0,11.0,0.0,0.0,0.0,0.0,366.0,0.0,29.0,53.0,2.6,43.0,0.0,1.0,3.0,5.0,1.0,3.0,0.15,2.0,0.0,0.0,0.0,1.0,0.0,39.0,23.0,20.0,10.0,9.0,16.0,33.0,48.5,17.0,24.0,0.0,24.0,23.0,62.0,14.0,0.0,884.0,13.0,120.0,368.0,412.0,67.0,884.0,45.0,21.0,46.7,24.0,53.3,483.0,3598.0,1545.0,63.0,37.0,13.0,71.0,48.0,591.0,186.0,33,1840.0,56.0,53.8,20.4,21,77.0,8,12,18.0,1,0.64,17.0,41.0,-24.0,-1.17,-0.26,22.3,25.0,-2.7,-0.13,0.45,3.0,1.0,0.0,47.0,49.0,6.0,60.0,23.0,23.0,1.0,0.0,0.0,99.0,69.0,67.0,50.7
