player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mike Maignan,fr FRA,GK,23.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,716.0,1116.0,64.2,21901.0,17507.0,92.0,93.0,98.9,340.0,344.0,98.8,281.0,673.0,41.8,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,1116.0,717.0,396.0,123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,3.0,0.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1.0,1202.0,1030.0,1196.0,7.0,0.0,0.0,1202.0,1.0,1.0,100.0,0.0,0.0,524.0,3256.0,2283.0,0.0,0.0,0.0,1.0,0.0,413.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.97,68.0,33.0,35.0,0.92,,59.5,42.1,17.4,0.46,,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,0.0,100.0
Nicolas Pépé,ci CIV,"FW,MF",23.0,36.9,22.0,108.0,51.0,47.2,2.92,1.38,0.12,0.25,20.3,9.0,9.0,10.0,21.1,13.3,0.12,0.9,-0.3,982.0,1295.0,75.8,13144.0,3500.0,531.0,628.0,84.6,276.0,374.0,73.8,54.0,104.0,51.9,11.0,9.6,7.3,1.4,70.0,84.0,38.0,4.0,116.0,1295.0,1204.0,88.0,43.0,16.0,6.0,74.0,19.0,21.0,10.0,8.0,0.0,982.0,3.0,28.0,176.0,4.77,111.0,9.0,19.0,12.0,23.0,2.0,36.0,0.97,17.0,2.0,7.0,4.0,5.0,1.0,27.0,10.0,6.0,15.0,6.0,8.0,35.0,22.9,27.0,33.0,0.0,33.0,13.0,40.0,11.0,1.0,1828.0,12.0,124.0,816.0,924.0,170.0,1818.0,182.0,101.0,55.5,81.0,44.5,1291.0,9002.0,4197.0,139.0,134.0,62.0,110.0,110.0,1475.0,293.0,38,3324.0,87.0,97.2,36.9,37,89.0,28,1,18.0,0,1.97,66.0,28.0,38.0,1.03,3.84,57.8,39.0,18.9,0.51,1.9,1.0,0.0,0.0,24.0,108.0,11.0,74.0,13.0,10.0,5.0,0.0,0.0,137.0,42.0,37.0,53.2
José Fonte,pt POR,DF,34.0,34.6,3.0,34.0,12.0,35.3,0.98,0.35,0.09,0.25,11.3,0.0,0.0,0.0,4.6,4.6,0.14,-1.6,-1.6,1945.0,2231.0,87.2,38634.0,12638.0,579.0,640.0,90.5,1110.0,1189.0,93.4,219.0,334.0,65.6,1.0,0.4,0.6,0.6,8.0,112.0,7.0,1.0,159.0,2231.0,2130.0,98.0,88.0,1.0,19.0,6.0,10.0,0.0,0.0,0.0,0.0,1945.0,3.0,19.0,26.0,0.75,22.0,1.0,0.0,3.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,15.0,9.0,3.0,17.0,24.0,70.8,7.0,33.0,26.0,7.0,37.0,64.0,153.0,1.0,2552.0,196.0,1048.0,1404.0,108.0,50.0,2552.0,6.0,4.0,66.7,2.0,33.3,1556.0,8114.0,5326.0,39.0,17.0,3.0,13.0,5.0,1754.0,12.0,36,3110.0,86.0,90.9,34.6,36,86.0,34,0,,0,2.0,60.0,28.0,32.0,0.93,0.06,55.4,38.4,17.0,0.49,0.39,5.0,1.0,0.0,29.0,14.0,0.0,6.0,37.0,15.0,0.0,2.0,0.0,187.0,117.0,40.0,74.5
Thiago Mendes,br BRA,MF,26.0,34.2,0.0,32.0,4.0,12.5,0.94,0.12,0.0,0.0,27.5,5.0,0.0,0.0,1.5,1.5,0.05,-1.5,-1.5,1742.0,2137.0,81.5,30312.0,10339.0,787.0,865.0,91.0,663.0,762.0,87.0,206.0,386.0,53.4,5.0,4.8,3.8,0.2,62.0,199.0,15.0,3.0,231.0,2137.0,1926.0,207.0,102.0,6.0,16.0,136.0,11.0,94.0,28.0,60.0,2.0,1742.0,4.0,21.0,112.0,3.28,65.0,41.0,0.0,2.0,2.0,2.0,9.0,0.26,5.0,3.0,0.0,0.0,1.0,0.0,85.0,47.0,42.0,41.0,2.0,39.0,71.0,54.9,32.0,44.0,11.0,33.0,68.0,153.0,49.0,0.0,2518.0,89.0,421.0,1701.0,427.0,9.0,2518.0,43.0,28.0,65.1,15.0,34.9,1403.0,6445.0,3389.0,39.0,47.0,1.0,36.0,28.0,1571.0,44.0,35,3074.0,88.0,89.9,34.2,35,88.0,27,0,,0,2.11,64.0,24.0,40.0,1.17,2.47,54.0,35.1,18.9,0.55,0.94,10.0,0.0,0.0,39.0,66.0,0.0,136.0,68.0,47.0,0.0,2.0,0.0,311.0,24.0,36.0,40.0
Jonathan Bamba,fr FRA,"FW,MF",22.0,33.4,13.0,66.0,27.0,40.9,1.98,0.81,0.18,0.44,20.1,1.0,1.0,1.0,8.4,7.6,0.12,4.6,4.4,949.0,1233.0,77.0,13352.0,3664.0,525.0,614.0,85.5,276.0,343.0,80.5,56.0,106.0,52.8,3.0,5.3,3.8,-2.3,42.0,82.0,34.0,8.0,125.0,1233.0,1158.0,74.0,20.0,17.0,12.0,56.0,31.0,22.0,11.0,6.0,0.0,949.0,1.0,39.0,102.0,3.06,83.0,2.0,7.0,4.0,6.0,0.0,9.0,0.27,6.0,0.0,1.0,1.0,1.0,0.0,29.0,19.0,7.0,17.0,5.0,13.0,39.0,33.3,26.0,24.0,1.0,23.0,41.0,70.0,18.0,0.0,1606.0,9.0,188.0,774.0,681.0,92.0,1605.0,76.0,34.0,44.7,42.0,55.3,1114.0,7785.0,3715.0,112.0,105.0,26.0,80.0,82.0,1173.0,265.0,38,3004.0,79.0,87.8,33.4,35,84.0,25,3,20.0,0,1.97,62.0,29.0,33.0,0.99,0.56,53.0,37.9,15.0,0.45,-0.06,4.0,0.0,0.0,25.0,65.0,2.0,56.0,41.0,19.0,0.0,0.0,0.0,194.0,27.0,36.0,42.9
Zeki Çelik,tr TUR,DF,21.0,33.0,1.0,15.0,4.0,26.7,0.45,0.12,0.07,0.25,19.6,0.0,0.0,0.0,1.1,1.1,0.08,-0.1,-0.1,1287.0,1727.0,74.5,19710.0,7357.0,696.0,800.0,87.0,459.0,625.0,73.4,85.0,180.0,47.2,5.0,2.7,2.9,2.3,34.0,86.0,35.0,17.0,117.0,1727.0,1336.0,386.0,17.0,2.0,2.0,87.0,369.0,0.0,0.0,0.0,0.0,1287.0,5.0,56.0,81.0,2.45,63.0,7.0,4.0,1.0,2.0,4.0,9.0,0.27,6.0,1.0,0.0,0.0,2.0,0.0,90.0,59.0,40.0,39.0,11.0,36.0,89.0,40.4,53.0,34.0,5.0,29.0,34.0,124.0,89.0,1.0,2058.0,97.0,529.0,988.0,559.0,32.0,2058.0,27.0,16.0,59.3,11.0,40.7,942.0,4716.0,2709.0,58.0,61.0,8.0,31.0,19.0,1068.0,181.0,34,2971.0,87.0,86.9,33.0,34,87.0,29,0,,1,2.06,60.0,26.0,34.0,1.03,0.83,51.7,35.8,15.9,0.48,0.18,5.0,1.0,0.0,55.0,27.0,1.0,87.0,34.0,59.0,2.0,3.0,0.0,176.0,24.0,34.0,41.4
Jonathan Ikone,fr FRA,"MF,FW",20.0,31.1,3.0,51.0,17.0,33.3,1.64,0.55,0.06,0.18,19.9,5.0,0.0,0.0,5.1,5.1,0.1,-2.1,-2.1,687.0,951.0,72.2,9881.0,2711.0,386.0,463.0,83.4,194.0,261.0,74.3,47.0,82.0,57.3,9.0,6.2,3.7,2.8,57.0,62.0,31.0,3.0,96.0,951.0,931.0,15.0,7.0,19.0,8.0,23.0,7.0,1.0,0.0,0.0,0.0,687.0,5.0,41.0,122.0,3.93,92.0,2.0,18.0,2.0,6.0,2.0,21.0,0.68,15.0,1.0,4.0,0.0,1.0,0.0,25.0,14.0,7.0,12.0,6.0,8.0,30.0,26.7,22.0,24.0,2.0,22.0,6.0,31.0,4.0,0.0,1255.0,8.0,89.0,610.0,578.0,83.0,1255.0,123.0,75.0,61.0,48.0,39.0,908.0,6017.0,3214.0,112.0,74.0,33.0,80.0,65.0,1009.0,199.0,38,2796.0,74.0,81.8,31.1,34,81.0,12,4,9.0,0,1.97,49.0,25.0,24.0,0.77,-0.81,46.0,32.8,13.3,0.43,-0.17,3.0,0.0,0.0,36.0,29.0,1.0,23.0,6.0,14.0,0.0,0.0,0.0,100.0,12.0,48.0,20.0
Xeka,pt POR,MF,23.0,25.1,2.0,34.0,11.0,32.4,1.35,0.44,0.06,0.18,23.2,1.0,0.0,0.0,1.7,1.7,0.05,0.3,0.3,999.0,1240.0,80.6,17481.0,4671.0,436.0,500.0,87.2,419.0,479.0,87.5,102.0,179.0,57.0,0.0,0.8,1.1,-0.8,12.0,95.0,6.0,1.0,113.0,1240.0,1198.0,38.0,19.0,6.0,20.0,25.0,3.0,16.0,6.0,10.0,0.0,999.0,4.0,19.0,34.0,1.35,24.0,5.0,2.0,0.0,2.0,1.0,2.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,59.0,31.0,25.0,27.0,7.0,18.0,57.0,31.6,39.0,20.0,2.0,18.0,21.0,80.0,30.0,4.0,1461.0,40.0,257.0,1001.0,221.0,18.0,1461.0,16.0,8.0,50.0,8.0,50.0,830.0,4801.0,2486.0,40.0,26.0,1.0,33.0,14.0,1023.0,19.0,27,2260.0,84.0,66.1,25.1,26,86.0,20,1,19.0,0,2.07,41.0,19.0,22.0,0.88,-0.13,35.4,26.8,8.6,0.34,-0.34,10.0,0.0,0.0,56.0,28.0,0.0,25.0,21.0,31.0,0.0,0.0,0.0,127.0,38.0,36.0,51.4
Adama Soumaoro,fr FRA,DF,26.0,19.1,0.0,6.0,0.0,0.0,0.31,0.0,0.0,,11.8,0.0,0.0,0.0,0.5,0.5,0.09,-0.5,-0.5,873.0,926.0,94.3,17478.0,5089.0,231.0,249.0,92.8,515.0,533.0,96.6,108.0,121.0,89.3,1.0,0.3,0.3,0.7,3.0,8.0,1.0,0.0,25.0,926.0,881.0,45.0,45.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,0.0,3.0,5.0,0.26,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,12.0,2.0,0.0,4.0,6.0,66.7,2.0,21.0,18.0,3.0,21.0,35.0,92.0,1.0,1099.0,111.0,570.0,514.0,20.0,13.0,1099.0,8.0,6.0,75.0,2.0,25.0,622.0,3328.0,1972.0,9.0,3.0,0.0,5.0,6.0,701.0,1.0,20,1723.0,86.0,50.4,19.1,20,86.0,17,0,,2,2.1,35.0,19.0,16.0,0.84,-0.17,30.3,21.9,8.4,0.44,-0.04,6.0,1.0,1.0,26.0,20.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,119.0,39.0,26.0,60.0
Youssouf Koné,ml MLI,DF,23.0,19.0,0.0,5.0,0.0,0.0,0.26,0.0,0.0,,29.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,847.0,1075.0,78.8,13582.0,5347.0,433.0,477.0,90.8,324.0,410.0,79.0,62.0,134.0,46.3,1.0,0.9,1.3,0.1,16.0,79.0,23.0,16.0,95.0,1075.0,877.0,198.0,19.0,0.0,5.0,70.0,179.0,0.0,0.0,0.0,0.0,847.0,0.0,10.0,38.0,2.0,33.0,2.0,2.0,0.0,1.0,0.0,6.0,0.32,6.0,0.0,0.0,0.0,0.0,0.0,67.0,38.0,45.0,19.0,3.0,41.0,65.0,63.1,24.0,31.0,3.0,28.0,39.0,106.0,52.0,1.0,1313.0,53.0,390.0,664.0,270.0,5.0,1313.0,27.0,17.0,63.0,10.0,37.0,672.0,3636.0,2335.0,49.0,57.0,0.0,17.0,9.0,742.0,76.0,20,1709.0,85.0,50.0,19.0,19,89.0,17,1,16.0,5,2.05,36.0,13.0,23.0,1.21,0.58,30.7,17.9,12.8,0.67,0.43,3.0,0.0,0.0,18.0,27.0,2.0,70.0,39.0,38.0,0.0,0.0,0.0,115.0,13.0,25.0,34.2
