player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Houssem Aouar,fr FRA,MF,20.0,34.0,7.0,71.0,22.0,31.0,2.09,0.65,0.1,0.32,17.8,1.0,0.0,0.0,6.8,6.8,0.1,0.2,0.2,1793.0,2078.0,86.3,28536.0,7450.0,914.0,1027.0,89.0,672.0,722.0,93.1,134.0,184.0,72.8,7.0,4.7,3.4,2.3,44.0,200.0,36.0,0.0,274.0,2078.0,2034.0,37.0,29.0,8.0,11.0,7.0,6.0,2.0,0.0,2.0,0.0,1793.0,7.0,43.0,123.0,3.62,97.0,0.0,5.0,11.0,9.0,1.0,20.0,0.59,11.0,0.0,0.0,3.0,5.0,1.0,63.0,38.0,28.0,25.0,10.0,17.0,61.0,27.9,44.0,33.0,6.0,27.0,32.0,95.0,25.0,3.0,2457.0,35.0,306.0,1572.0,605.0,106.0,2457.0,97.0,58.0,59.8,39.0,40.2,1741.0,9785.0,4654.0,96.0,69.0,28.0,58.0,65.0,1956.0,163.0,37,3061.0,83.0,89.5,34.0,35,87.0,26,2,12.0,1,1.86,62.0,45.0,17.0,0.5,-1.0,65.3,41.5,23.9,0.7,-0.78,2.0,0.0,0.0,30.0,53.0,11.0,7.0,32.0,38.0,2.0,0.0,0.0,218.0,17.0,33.0,34.0
Anthony Lopes,pt POR,GK,27.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,864.0,1074.0,80.4,23387.0,15858.0,115.0,115.0,100.0,465.0,468.0,99.4,280.0,483.0,58.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1074.0,757.0,313.0,63.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,4.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,2.0,3.0,16.0,3.0,1143.0,994.0,1135.0,8.0,0.0,0.0,1143.0,0.0,0.0,,0.0,,556.0,2865.0,1982.0,0.0,0.0,0.0,2.0,0.0,521.0,0.0,34,3060.0,90.0,89.5,34.0,34,90.0,34,0,,0,1.85,62.0,42.0,20.0,0.59,-0.16,67.2,40.7,26.5,0.78,-0.06,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,41.0,5.0,0.0,100.0
Marcelo,br BRA,DF,31.0,32.0,0.0,25.0,4.0,16.0,0.78,0.13,0.0,0.0,10.3,0.0,0.0,0.0,2.3,2.3,0.09,-2.3,-2.3,2096.0,2397.0,87.4,44940.0,15833.0,518.0,580.0,89.3,1240.0,1355.0,91.5,319.0,422.0,75.6,1.0,1.4,1.3,-0.4,11.0,120.0,6.0,1.0,190.0,2397.0,2319.0,71.0,68.0,5.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2096.0,7.0,7.0,31.0,0.97,26.0,2.0,0.0,3.0,0.0,0.0,2.0,0.06,1.0,0.0,0.0,1.0,0.0,0.0,48.0,33.0,29.0,17.0,2.0,19.0,24.0,79.2,5.0,30.0,22.0,8.0,62.0,110.0,152.0,2.0,2748.0,205.0,1101.0,1585.0,80.0,50.0,2748.0,8.0,8.0,100.0,0.0,0.0,1773.0,9407.0,5501.0,22.0,8.0,1.0,13.0,6.0,1856.0,4.0,33,2878.0,87.0,84.2,32.0,33,87.0,31,0,,4,1.97,59.0,34.0,25.0,0.78,1.11,59.9,35.1,24.7,0.77,-0.07,6.0,0.0,0.0,33.0,10.0,0.0,3.0,62.0,33.0,0.0,0.0,1.0,223.0,171.0,45.0,79.2
Jason Denayer,be BEL,DF,23.0,30.6,2.0,15.0,6.0,40.0,0.49,0.2,0.13,0.33,11.6,0.0,0.0,0.0,1.7,1.7,0.11,0.3,0.3,1848.0,1974.0,93.6,33296.0,12491.0,671.0,711.0,94.4,1044.0,1086.0,96.1,107.0,131.0,81.7,0.0,0.4,0.4,-0.4,5.0,85.0,4.0,0.0,136.0,1974.0,1910.0,62.0,61.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1848.0,2.0,7.0,16.0,0.52,13.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,22.0,11.0,0.0,16.0,24.0,66.7,8.0,36.0,32.0,4.0,26.0,59.0,122.0,1.0,2231.0,188.0,909.0,1281.0,56.0,20.0,2231.0,18.0,11.0,61.1,7.0,38.9,1483.0,8657.0,5927.0,38.0,18.0,3.0,10.0,5.0,1622.0,3.0,31,2754.0,89.0,80.5,30.6,31,89.0,29,0,,2,1.81,55.0,43.0,12.0,0.39,-1.09,60.7,36.7,24.0,0.79,0.01,2.0,0.0,0.0,13.0,9.0,0.0,2.0,26.0,21.0,0.0,1.0,0.0,161.0,54.0,45.0,54.5
Tanguy Ndombele,fr FRA,MF,21.0,29.9,1.0,31.0,7.0,22.6,1.04,0.23,0.03,0.14,21.4,0.0,0.0,0.0,1.9,1.9,0.06,-0.9,-0.9,1759.0,1987.0,88.5,28355.0,9319.0,869.0,944.0,92.1,726.0,807.0,90.0,105.0,131.0,80.2,7.0,3.6,2.9,3.4,47.0,210.0,30.0,1.0,266.0,1987.0,1938.0,41.0,29.0,22.0,8.0,6.0,12.0,0.0,0.0,0.0,0.0,1759.0,8.0,24.0,122.0,4.08,103.0,1.0,3.0,3.0,10.0,2.0,17.0,0.57,15.0,0.0,0.0,1.0,0.0,1.0,66.0,43.0,21.0,35.0,10.0,22.0,54.0,40.7,32.0,29.0,9.0,20.0,30.0,96.0,13.0,3.0,2281.0,29.0,290.0,1594.0,435.0,25.0,2281.0,88.0,64.0,72.7,24.0,27.3,1641.0,8704.0,4894.0,81.0,81.0,3.0,57.0,50.0,1805.0,61.0,34,2690.0,79.0,78.7,29.9,31,84.0,26,3,27.0,3,1.88,56.0,35.0,21.0,0.7,0.46,58.2,34.3,23.8,0.8,0.06,3.0,0.0,0.0,42.0,72.0,0.0,6.0,30.0,43.0,0.0,1.0,0.0,189.0,18.0,12.0,60.0
Memphis,nl NED,"FW,MF",24.0,30.4,10.0,108.0,38.0,35.2,3.55,1.25,0.09,0.26,21.3,24.0,0.0,2.0,14.3,12.7,0.12,-4.3,-2.7,1096.0,1490.0,73.6,17104.0,5519.0,606.0,694.0,87.3,280.0,376.0,74.5,123.0,248.0,49.6,10.0,10.7,9.4,-0.7,112.0,102.0,61.0,15.0,176.0,1490.0,1220.0,254.0,55.0,18.0,14.0,200.0,20.0,146.0,68.0,43.0,4.0,1096.0,16.0,46.0,220.0,7.23,128.0,56.0,13.0,13.0,9.0,1.0,13.0,0.43,9.0,1.0,1.0,2.0,0.0,0.0,12.0,9.0,0.0,7.0,5.0,5.0,21.0,23.8,16.0,16.0,2.0,14.0,9.0,21.0,1.0,0.0,1821.0,4.0,74.0,733.0,1031.0,128.0,1819.0,104.0,60.0,57.7,44.0,42.3,1190.0,6208.0,3283.0,108.0,97.0,37.0,82.0,64.0,1351.0,281.0,36,2737.0,76.0,80.0,30.4,29,87.0,22,7,30.0,2,1.89,54.0,34.0,20.0,0.66,0.26,58.0,35.1,22.9,0.75,-0.16,5.0,0.0,0.0,36.0,33.0,10.0,200.0,9.0,9.0,0.0,0.0,0.0,108.0,12.0,16.0,42.9
Ferland Mendy,fr FRA,DF,23.0,28.1,2.0,23.0,7.0,30.4,0.82,0.25,0.09,0.29,21.9,0.0,0.0,0.0,0.9,0.9,0.04,1.1,1.1,1636.0,1974.0,82.9,25824.0,6954.0,935.0,1034.0,90.4,510.0,608.0,83.9,142.0,203.0,70.0,1.0,3.2,3.6,-2.2,40.0,115.0,24.0,9.0,163.0,1974.0,1701.0,264.0,20.0,2.0,19.0,80.0,244.0,0.0,0.0,0.0,0.0,1636.0,9.0,43.0,94.0,3.34,79.0,3.0,9.0,0.0,3.0,0.0,6.0,0.21,6.0,0.0,0.0,0.0,0.0,0.0,44.0,28.0,25.0,14.0,5.0,14.0,17.0,82.4,3.0,22.0,5.0,17.0,34.0,78.0,53.0,2.0,2268.0,76.0,493.0,1149.0,645.0,54.0,2268.0,72.0,55.0,76.4,17.0,23.6,1452.0,8128.0,4734.0,111.0,84.0,21.0,36.0,37.0,1513.0,212.0,30,2531.0,84.0,74.0,28.1,27,89.0,26,3,40.0,1,1.87,52.0,34.0,18.0,0.64,0.13,51.5,33.4,18.1,0.64,-0.54,2.0,0.0,0.0,28.0,44.0,0.0,80.0,34.0,28.0,0.0,1.0,0.0,195.0,46.0,36.0,56.1
Bertrand Traoré,bf BFA,FW,22.0,23.5,7.0,66.0,28.0,42.4,2.81,1.19,0.11,0.25,17.2,2.0,0.0,0.0,6.0,6.0,0.09,1.0,1.0,840.0,1041.0,80.7,12241.0,2726.0,495.0,566.0,87.5,253.0,317.0,79.8,56.0,76.0,73.7,2.0,2.6,2.7,-0.6,24.0,57.0,41.0,5.0,113.0,1041.0,1013.0,26.0,5.0,4.0,7.0,30.0,12.0,4.0,2.0,1.0,0.0,840.0,2.0,25.0,93.0,3.95,63.0,0.0,15.0,4.0,11.0,0.0,15.0,0.64,11.0,0.0,3.0,0.0,1.0,0.0,36.0,22.0,19.0,13.0,4.0,12.0,26.0,46.2,14.0,23.0,5.0,18.0,15.0,51.0,18.0,0.0,1372.0,20.0,130.0,604.0,652.0,118.0,1372.0,90.0,52.0,57.8,38.0,42.2,1006.0,5940.0,2900.0,96.0,54.0,47.0,64.0,36.0,1092.0,288.0,34,2117.0,62.0,61.9,23.5,24,82.0,9,10,16.0,3,1.85,40.0,32.0,8.0,0.34,-0.7,44.8,26.7,18.1,0.77,-0.04,5.0,0.0,0.0,21.0,45.0,18.0,30.0,15.0,22.0,3.0,0.0,0.0,97.0,23.0,33.0,41.1
Nabil Fekir,fr FRA,MF,25.0,22.1,9.0,85.0,38.0,44.7,3.85,1.72,0.06,0.13,21.6,17.0,4.0,6.0,10.2,5.5,0.07,-1.2,-0.5,877.0,1079.0,81.3,13044.0,3831.0,500.0,572.0,87.4,238.0,285.0,83.5,80.0,130.0,61.5,7.0,5.4,5.0,1.6,51.0,105.0,23.0,5.0,134.0,1079.0,972.0,101.0,41.0,5.0,8.0,79.0,4.0,54.0,27.0,14.0,0.0,877.0,6.0,13.0,130.0,5.89,80.0,16.0,13.0,11.0,10.0,0.0,13.0,0.59,11.0,0.0,1.0,0.0,1.0,0.0,51.0,31.0,16.0,19.0,16.0,13.0,38.0,34.2,25.0,42.0,0.0,42.0,7.0,58.0,3.0,0.0,1426.0,7.0,91.0,668.0,677.0,120.0,1420.0,82.0,47.0,57.3,35.0,42.7,1000.0,5558.0,2505.0,62.0,53.0,26.0,53.0,44.0,1091.0,175.0,29,1988.0,69.0,58.1,22.1,24,80.0,16,5,15.0,0,1.76,39.0,24.0,15.0,0.68,0.18,43.4,26.0,17.4,0.79,0.0,5.0,0.0,0.0,44.0,63.0,18.0,79.0,7.0,31.0,1.0,0.0,0.0,85.0,13.0,31.0,29.5
Leo Dubois,fr FRA,DF,23.0,22.7,1.0,18.0,6.0,33.3,0.79,0.26,0.06,0.17,20.3,0.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,1252.0,1513.0,82.7,19499.0,6383.0,702.0,768.0,91.4,447.0,528.0,84.7,80.0,126.0,63.5,6.0,4.5,3.6,1.5,26.0,85.0,28.0,21.0,129.0,1513.0,1282.0,224.0,19.0,1.0,5.0,88.0,203.0,2.0,0.0,2.0,0.0,1252.0,7.0,35.0,55.0,2.42,41.0,3.0,2.0,5.0,3.0,1.0,7.0,0.31,7.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,25.0,21.0,5.0,20.0,35.0,57.1,15.0,30.0,10.0,20.0,22.0,73.0,61.0,1.0,1738.0,75.0,364.0,931.0,456.0,41.0,1738.0,29.0,13.0,44.8,16.0,55.2,1011.0,5414.0,3306.0,86.0,51.0,14.0,20.0,12.0,1084.0,157.0,25,2044.0,82.0,59.8,22.7,21,89.0,17,4,46.0,5,1.96,43.0,30.0,13.0,0.57,-0.08,49.8,27.1,22.6,1.0,0.53,2.0,0.0,0.0,30.0,15.0,2.0,88.0,22.0,22.0,0.0,0.0,0.0,127.0,28.0,24.0,53.8
