player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Steve Mandanda,fr FRA,GK,33.0,30.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,694.0,981.0,70.7,21093.0,15601.0,55.0,55.0,100.0,398.0,401.0,99.3,241.0,524.0,46.0,0.0,0.0,0.1,0.0,0.0,12.0,1.0,0.0,1.0,981.0,704.0,277.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,1.0,5.0,0.16,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,1043.0,922.0,1038.0,6.0,0.0,0.0,1043.0,0.0,0.0,,0.0,,606.0,2880.0,1752.0,0.0,1.0,1.0,2.0,0.0,495.0,0.0,31,2735.0,88.0,80.0,30.4,31,88.0,29,0,,1,1.52,42.0,40.0,2.0,0.07,-0.72,41.0,35.5,5.5,0.18,-0.03,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,31.0,8.0,1.0,88.9
Lucas Ocampos,ar ARG,"FW,MF",24.0,30.1,4.0,62.0,23.0,37.1,2.06,0.76,0.06,0.17,17.1,0.0,0.0,0.0,5.7,5.7,0.09,-1.7,-1.7,692.0,941.0,73.5,9283.0,2155.0,415.0,501.0,82.8,176.0,245.0,71.8,35.0,76.0,46.1,8.0,3.4,3.3,4.6,31.0,33.0,26.0,13.0,54.0,941.0,877.0,62.0,5.0,5.0,6.0,70.0,56.0,0.0,0.0,0.0,0.0,692.0,2.0,30.0,68.0,2.26,44.0,2.0,5.0,4.0,11.0,2.0,10.0,0.33,7.0,0.0,1.0,1.0,1.0,0.0,80.0,54.0,37.0,33.0,10.0,34.0,80.0,42.5,46.0,40.0,5.0,35.0,29.0,109.0,30.0,0.0,1442.0,34.0,216.0,645.0,609.0,118.0,1442.0,138.0,66.0,47.8,72.0,52.2,887.0,6117.0,2658.0,85.0,62.0,29.0,98.0,57.0,920.0,210.0,34,2708.0,80.0,79.2,30.1,31,84.0,21,3,34.0,0,1.62,49.0,36.0,13.0,0.43,1.06,44.6,33.0,11.6,0.39,0.95,11.0,0.0,0.0,51.0,64.0,6.0,70.0,29.0,54.0,0.0,0.0,0.0,185.0,39.0,56.0,41.1
Florian Thauvin,fr FRA,"FW,MF",25.0,29.0,16.0,99.0,33.0,33.3,3.41,1.14,0.14,0.42,17.0,8.0,2.0,2.0,11.3,9.8,0.1,4.7,4.2,891.0,1245.0,71.6,12574.0,3451.0,538.0,620.0,86.8,215.0,293.0,73.4,72.0,176.0,40.9,8.0,6.1,6.4,1.9,47.0,61.0,39.0,11.0,119.0,1245.0,1133.0,109.0,23.0,14.0,13.0,125.0,13.0,51.0,27.0,16.0,0.0,891.0,3.0,44.0,110.0,3.79,64.0,17.0,8.0,14.0,6.0,1.0,12.0,0.41,5.0,2.0,1.0,3.0,1.0,0.0,42.0,23.0,10.0,21.0,11.0,16.0,35.0,45.7,19.0,19.0,1.0,18.0,8.0,50.0,4.0,0.0,1656.0,9.0,96.0,811.0,775.0,156.0,1654.0,116.0,58.0,50.0,57.0,49.1,1175.0,7353.0,3473.0,141.0,92.0,55.0,93.0,59.0,1317.0,299.0,33,2613.0,79.0,76.4,29.0,30,84.0,16,3,27.0,0,1.64,49.0,39.0,10.0,0.34,0.57,40.1,34.4,5.8,0.2,0.05,5.0,1.0,0.0,29.0,48.0,8.0,125.0,8.0,23.0,1.0,0.0,0.0,126.0,19.0,30.0,38.8
Boubacar Kamara,fr FRA,DF,18.0,26.8,1.0,11.0,4.0,36.4,0.41,0.15,0.09,0.25,13.6,0.0,0.0,0.0,1.0,1.0,0.09,0.0,0.0,1219.0,1420.0,85.8,21303.0,8671.0,562.0,606.0,92.7,479.0,527.0,90.9,133.0,216.0,61.6,0.0,0.5,0.9,-0.5,7.0,63.0,9.0,2.0,88.0,1420.0,1332.0,85.0,59.0,6.0,13.0,6.0,26.0,0.0,0.0,0.0,0.0,1219.0,3.0,13.0,31.0,1.16,25.0,2.0,0.0,0.0,3.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,67.0,39.0,38.0,24.0,5.0,32.0,49.0,65.3,17.0,24.0,13.0,11.0,45.0,112.0,95.0,2.0,1709.0,122.0,840.0,803.0,83.0,17.0,1709.0,15.0,10.0,66.7,5.0,33.3,1046.0,5696.0,3511.0,19.0,16.0,0.0,8.0,7.0,1077.0,7.0,31,2411.0,78.0,70.5,26.8,27,88.0,25,4,11.0,4,1.65,40.0,38.0,2.0,0.07,-0.46,34.5,32.6,1.9,0.07,-0.39,6.0,0.0,0.0,25.0,30.0,1.0,6.0,45.0,39.0,0.0,1.0,0.0,147.0,61.0,48.0,56.0
Morgan Sanson,fr FRA,MF,23.0,26.7,5.0,36.0,11.0,30.6,1.35,0.41,0.14,0.45,22.9,0.0,0.0,0.0,2.3,2.3,0.06,2.7,2.7,1089.0,1353.0,80.5,18328.0,4492.0,548.0,614.0,89.3,314.0,390.0,80.5,148.0,217.0,68.2,3.0,2.2,1.9,0.8,22.0,118.0,23.0,8.0,147.0,1353.0,1326.0,24.0,14.0,9.0,28.0,49.0,10.0,0.0,0.0,0.0,0.0,1089.0,3.0,23.0,67.0,2.51,53.0,0.0,4.0,2.0,5.0,3.0,9.0,0.34,6.0,0.0,1.0,1.0,1.0,0.0,70.0,47.0,27.0,35.0,8.0,21.0,77.0,27.3,56.0,40.0,1.0,39.0,42.0,112.0,8.0,1.0,1694.0,16.0,264.0,1056.0,410.0,32.0,1694.0,57.0,33.0,57.9,24.0,42.1,1094.0,6270.0,3062.0,72.0,71.0,5.0,56.0,48.0,1182.0,96.0,33,2403.0,73.0,70.3,26.7,27,83.0,17,6,25.0,2,1.73,49.0,34.0,15.0,0.56,1.18,36.7,28.8,7.9,0.29,0.36,9.0,0.0,0.0,52.0,50.0,1.0,49.0,42.0,47.0,0.0,0.0,0.0,198.0,23.0,40.0,36.5
Luiz Gustavo,br BRA,"MF,DF",31.0,27.1,2.0,31.0,7.0,22.6,1.15,0.26,0.06,0.29,21.4,2.0,0.0,0.0,2.2,2.2,0.07,-0.2,-0.2,1279.0,1447.0,88.4,21471.0,6642.0,611.0,652.0,93.7,488.0,532.0,91.7,128.0,190.0,67.4,0.0,0.5,0.6,-0.5,8.0,77.0,9.0,3.0,108.0,1447.0,1408.0,37.0,37.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1279.0,2.0,12.0,31.0,1.15,22.0,1.0,0.0,7.0,1.0,0.0,6.0,0.22,2.0,0.0,0.0,4.0,0.0,0.0,72.0,43.0,49.0,18.0,5.0,30.0,66.0,45.5,36.0,26.0,12.0,14.0,34.0,106.0,61.0,0.0,1726.0,99.0,594.0,978.0,172.0,27.0,1726.0,19.0,15.0,78.9,4.0,21.1,1187.0,5839.0,3062.0,32.0,29.0,6.0,17.0,11.0,1187.0,14.0,30,2436.0,81.0,71.2,27.1,26,90.0,25,4,24.0,3,1.43,43.0,43.0,0.0,0.0,-0.73,38.9,35.3,3.6,0.13,-0.19,8.0,0.0,0.0,37.0,40.0,2.0,7.0,34.0,43.0,0.0,2.0,0.0,159.0,16.0,22.0,42.1
Hiroki Sakai,jp JPN,DF,28.0,26.4,1.0,6.0,3.0,50.0,0.23,0.11,0.17,0.33,18.1,0.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,1170.0,1457.0,80.3,16277.0,6172.0,701.0,773.0,90.7,337.0,437.0,77.1,64.0,118.0,54.2,4.0,2.9,2.5,1.1,26.0,82.0,15.0,8.0,100.0,1457.0,1190.0,267.0,10.0,1.0,2.0,34.0,257.0,0.0,0.0,0.0,0.0,1170.0,0.0,31.0,70.0,2.65,53.0,8.0,0.0,2.0,5.0,2.0,7.0,0.27,6.0,1.0,0.0,0.0,0.0,0.0,59.0,41.0,30.0,23.0,6.0,29.0,54.0,53.7,25.0,25.0,10.0,15.0,37.0,96.0,77.0,0.0,1729.0,63.0,441.0,938.0,366.0,28.0,1729.0,20.0,12.0,60.0,8.0,40.0,841.0,3438.0,1989.0,37.0,29.0,3.0,24.0,15.0,942.0,111.0,27,2374.0,88.0,69.4,26.4,26,90.0,26,1,34.0,2,1.93,46.0,32.0,14.0,0.53,1.05,39.7,29.9,9.8,0.37,0.6,3.0,0.0,0.0,32.0,25.0,1.0,34.0,37.0,41.0,0.0,1.0,0.0,113.0,82.0,34.0,70.7
Bouna Sarr,sn SEN,"DF,MF",26.0,24.9,1.0,19.0,2.0,10.5,0.76,0.08,0.05,0.5,20.8,0.0,0.0,0.0,1.4,1.4,0.07,-0.4,-0.4,1159.0,1426.0,81.3,16357.0,4888.0,697.0,777.0,89.7,329.0,412.0,79.9,70.0,125.0,56.0,1.0,2.0,2.6,-1.0,30.0,61.0,24.0,19.0,99.0,1426.0,1173.0,252.0,15.0,2.0,4.0,107.0,232.0,5.0,0.0,2.0,1.0,1159.0,1.0,40.0,70.0,2.81,54.0,4.0,5.0,3.0,3.0,1.0,7.0,0.28,3.0,2.0,0.0,2.0,0.0,0.0,67.0,48.0,27.0,27.0,13.0,26.0,42.0,61.9,16.0,28.0,3.0,25.0,39.0,106.0,56.0,1.0,1788.0,67.0,407.0,825.0,577.0,27.0,1788.0,102.0,55.0,53.9,47.0,46.1,1039.0,6887.0,3397.0,111.0,67.0,7.0,41.0,30.0,1036.0,115.0,29,2242.0,77.0,65.6,24.9,25,85.0,20,4,30.0,4,1.62,35.0,36.0,-1.0,-0.04,-0.73,33.7,29.5,4.1,0.17,-0.07,3.0,1.0,1.0,37.0,32.0,3.0,107.0,39.0,48.0,0.0,0.0,0.0,150.0,35.0,26.0,57.4
Maxime Lopez,fr FRA,MF,20.0,24.2,1.0,13.0,4.0,30.8,0.54,0.17,0.08,0.25,27.3,1.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,2065.0,2303.0,89.7,29476.0,11251.0,1236.0,1315.0,94.0,597.0,652.0,91.6,129.0,198.0,65.2,3.0,3.3,3.0,-0.3,47.0,172.0,30.0,10.0,268.0,2303.0,2181.0,120.0,68.0,3.0,5.0,67.0,15.0,37.0,12.0,16.0,0.0,2065.0,2.0,17.0,88.0,3.63,68.0,18.0,0.0,1.0,1.0,0.0,7.0,0.29,6.0,1.0,0.0,0.0,0.0,0.0,46.0,24.0,17.0,23.0,6.0,19.0,53.0,35.8,34.0,10.0,2.0,8.0,20.0,66.0,8.0,0.0,2459.0,18.0,385.0,1670.0,423.0,18.0,2459.0,25.0,13.0,52.0,12.0,48.0,1733.0,8661.0,4973.0,61.0,68.0,5.0,19.0,14.0,1959.0,44.0,32,2180.0,68.0,63.7,24.2,25,82.0,12,7,20.0,6,1.81,38.0,24.0,14.0,0.58,1.01,34.3,24.2,10.1,0.42,0.63,4.0,0.0,0.0,32.0,14.0,0.0,67.0,20.0,24.0,0.0,0.0,0.0,145.0,6.0,13.0,31.6
Jordan Amavi,fr FRA,DF,24.0,24.2,0.0,24.0,3.0,12.5,0.99,0.12,0.0,0.0,24.3,0.0,0.0,0.0,0.8,0.8,0.03,-0.8,-0.8,961.0,1282.0,75.0,15187.0,4547.0,516.0,580.0,89.0,340.0,470.0,72.3,72.0,143.0,50.3,2.0,2.0,1.5,0.0,26.0,47.0,19.0,16.0,82.0,1282.0,1029.0,250.0,18.0,1.0,2.0,82.0,232.0,0.0,0.0,0.0,0.0,961.0,3.0,38.0,53.0,2.19,41.0,5.0,2.0,3.0,0.0,2.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,74.0,50.0,34.0,26.0,14.0,35.0,56.0,62.5,21.0,24.0,8.0,16.0,46.0,120.0,93.0,4.0,1641.0,79.0,461.0,807.0,401.0,20.0,1641.0,43.0,23.0,53.5,20.0,46.5,806.0,4782.0,2657.0,74.0,66.0,5.0,37.0,25.0,817.0,98.0,28,2177.0,78.0,63.7,24.2,24,87.0,20,4,20.0,4,1.39,40.0,34.0,6.0,0.25,0.1,33.1,31.0,2.1,0.09,-0.28,7.0,2.0,0.0,46.0,33.0,1.0,82.0,46.0,50.0,0.0,1.0,0.0,110.0,71.0,31.0,69.6
