player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Paul Bernardoni,fr FRA,GK,21.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,631.0,1118.0,56.4,21607.0,18074.0,86.0,86.0,100.0,258.0,261.0,98.9,284.0,763.0,37.2,0.0,0.0,0.1,0.0,1.0,22.0,0.0,0.0,0.0,1118.0,657.0,458.0,168.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,3.0,2.0,6.0,0.16,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,20.0,1.0,1227.0,951.0,1216.0,11.0,0.0,0.0,1227.0,0.0,0.0,,0.0,,516.0,2852.0,2096.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.39,57.0,58.0,-1.0,-0.03,,50.0,56.5,-6.5,-0.17,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,12.0,2.0,85.7
Renaud Ripart,fr FRA,"FW,DF",25.0,33.4,8.0,68.0,23.0,33.8,2.04,0.69,0.12,0.35,14.0,0.0,0.0,0.0,6.8,6.8,0.1,1.2,1.2,849.0,1197.0,70.9,11557.0,3583.0,545.0,645.0,84.5,220.0,329.0,66.9,43.0,98.0,43.9,4.0,3.7,2.5,0.3,30.0,54.0,15.0,6.0,85.0,1197.0,1034.0,160.0,4.0,3.0,1.0,77.0,136.0,0.0,0.0,0.0,0.0,849.0,3.0,57.0,75.0,2.25,55.0,0.0,3.0,7.0,9.0,1.0,8.0,0.24,5.0,0.0,1.0,2.0,0.0,0.0,76.0,49.0,41.0,22.0,13.0,32.0,76.0,42.1,44.0,43.0,7.0,36.0,27.0,103.0,79.0,0.0,1697.0,83.0,371.0,710.0,627.0,97.0,1697.0,50.0,17.0,34.0,33.0,66.0,867.0,4310.0,1897.0,63.0,51.0,7.0,85.0,50.0,1021.0,187.0,38,3006.0,79.0,87.9,33.4,34,86.0,28,4,18.0,0,1.39,52.0,54.0,-2.0,-0.06,-0.28,44.5,51.4,-6.9,-0.21,-0.27,2.0,0.0,0.0,37.0,69.0,7.0,77.0,27.0,49.0,0.0,0.0,0.0,150.0,95.0,140.0,40.4
Anthony Briançon,fr FRA,DF,23.0,32.5,2.0,20.0,8.0,40.0,0.62,0.25,0.1,0.25,12.2,0.0,0.0,0.0,3.1,3.1,0.15,-1.1,-1.1,1060.0,1308.0,81.0,22840.0,9352.0,334.0,370.0,90.3,522.0,584.0,89.4,195.0,326.0,59.8,2.0,0.4,0.7,1.6,8.0,69.0,5.0,2.0,75.0,1308.0,1200.0,106.0,102.0,1.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,1060.0,2.0,8.0,21.0,0.65,17.0,1.0,0.0,3.0,0.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,36.0,10.0,0.0,27.0,50.0,54.0,23.0,51.0,38.0,13.0,70.0,116.0,184.0,1.0,1703.0,228.0,958.0,704.0,57.0,28.0,1703.0,2.0,2.0,100.0,0.0,0.0,782.0,4060.0,2317.0,14.0,11.0,0.0,8.0,2.0,848.0,1.0,33,2924.0,89.0,85.5,32.5,33,89.0,32,0,,0,1.39,48.0,48.0,0.0,0.0,0.18,43.3,49.3,-6.0,-0.19,-0.09,9.0,1.0,0.0,31.0,24.0,1.0,3.0,70.0,27.0,0.0,3.0,0.0,159.0,74.0,60.0,55.2
Téji Savanier,fr FRA,MF,26.0,31.8,6.0,63.0,17.0,27.0,1.98,0.53,0.03,0.12,29.4,17.0,4.0,4.0,5.6,2.4,0.04,0.4,-0.4,1235.0,1885.0,65.5,27457.0,11142.0,422.0,529.0,79.8,461.0,625.0,73.8,312.0,622.0,50.2,14.0,10.4,7.4,3.6,85.0,200.0,23.0,5.0,244.0,1885.0,1549.0,329.0,149.0,6.0,50.0,256.0,8.0,171.0,67.0,87.0,7.0,1235.0,7.0,38.0,156.0,4.9,71.0,64.0,7.0,5.0,6.0,3.0,21.0,0.66,9.0,10.0,2.0,0.0,0.0,0.0,95.0,58.0,35.0,52.0,8.0,43.0,116.0,37.1,73.0,32.0,15.0,17.0,64.0,159.0,53.0,2.0,2336.0,82.0,470.0,1308.0,610.0,20.0,2332.0,118.0,79.0,66.9,39.0,33.1,1206.0,7164.0,3911.0,61.0,53.0,8.0,65.0,43.0,1274.0,41.0,32,2864.0,90.0,83.7,31.8,32,90.0,30,0,,0,1.5,51.0,48.0,3.0,0.09,0.74,42.8,45.8,-3.0,-0.09,0.48,6.0,1.0,0.0,51.0,96.0,0.0,256.0,64.0,58.0,0.0,0.0,0.0,325.0,44.0,46.0,48.9
Denis Bouanga,ga GAB,"MF,FW",23.0,29.3,8.0,86.0,32.0,37.2,2.94,1.09,0.09,0.25,19.4,0.0,0.0,0.0,7.8,7.8,0.09,0.2,0.2,434.0,647.0,67.1,5705.0,1796.0,280.0,351.0,79.8,88.0,151.0,58.3,27.0,69.0,39.1,2.0,3.2,2.1,-1.2,31.0,36.0,23.0,12.0,47.0,647.0,625.0,21.0,1.0,3.0,6.0,46.0,12.0,2.0,0.0,2.0,0.0,434.0,1.0,22.0,75.0,2.56,48.0,2.0,14.0,7.0,3.0,1.0,8.0,0.27,4.0,0.0,0.0,0.0,3.0,1.0,52.0,32.0,21.0,22.0,9.0,13.0,61.0,21.3,48.0,24.0,3.0,21.0,20.0,72.0,16.0,0.0,1147.0,21.0,177.0,442.0,556.0,128.0,1147.0,130.0,50.0,38.5,80.0,61.5,697.0,5147.0,2771.0,102.0,60.0,54.0,103.0,52.0,727.0,195.0,35,2633.0,75.0,77.0,29.3,29,85.0,15,6,28.0,1,1.46,41.0,44.0,-3.0,-0.1,-0.33,39.5,41.8,-2.3,-0.08,0.41,5.0,0.0,0.0,41.0,27.0,5.0,46.0,20.0,32.0,0.0,0.0,0.0,147.0,27.0,74.0,26.7
Sada Thioub,sn SEN,"MF,FW",23.0,27.5,3.0,35.0,15.0,42.9,1.27,0.55,0.09,0.2,16.4,0.0,0.0,0.0,3.8,3.8,0.11,-0.8,-0.8,716.0,972.0,73.7,9735.0,3163.0,444.0,530.0,83.8,184.0,258.0,71.3,40.0,81.0,49.4,5.0,2.8,3.4,2.2,37.0,53.0,32.0,15.0,89.0,972.0,940.0,29.0,0.0,1.0,3.0,87.0,26.0,2.0,0.0,0.0,0.0,716.0,3.0,36.0,101.0,3.67,70.0,0.0,19.0,4.0,6.0,2.0,12.0,0.44,5.0,0.0,6.0,1.0,0.0,0.0,30.0,19.0,13.0,10.0,7.0,20.0,45.0,44.4,25.0,29.0,1.0,28.0,16.0,46.0,11.0,0.0,1295.0,14.0,185.0,510.0,626.0,110.0,1295.0,116.0,72.0,62.1,44.0,37.9,885.0,6969.0,3869.0,149.0,75.0,61.0,83.0,61.0,970.0,225.0,38,2476.0,65.0,72.4,27.5,27,82.0,11,11,24.0,0,1.39,48.0,40.0,8.0,0.29,1.15,36.5,38.1,-1.7,-0.06,0.4,3.0,0.0,0.0,39.0,27.0,3.0,87.0,16.0,19.0,1.0,0.0,0.0,136.0,18.0,36.0,33.3
Faitout Maouassa,fr FRA,DF,20.0,23.7,0.0,8.0,3.0,37.5,0.34,0.13,0.0,0.0,21.7,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7,724.0,1026.0,70.6,11853.0,5368.0,393.0,463.0,84.9,252.0,345.0,73.0,61.0,158.0,38.6,1.0,0.7,1.3,0.3,13.0,62.0,18.0,9.0,76.0,1026.0,739.0,285.0,11.0,0.0,5.0,79.0,274.0,0.0,0.0,0.0,0.0,724.0,2.0,35.0,39.0,1.64,25.0,2.0,4.0,2.0,6.0,0.0,4.0,0.17,1.0,0.0,1.0,0.0,2.0,0.0,55.0,30.0,35.0,15.0,5.0,23.0,39.0,59.0,16.0,24.0,5.0,19.0,23.0,78.0,81.0,1.0,1297.0,56.0,416.0,570.0,321.0,13.0,1297.0,51.0,23.0,45.1,28.0,54.9,558.0,4258.0,2541.0,75.0,48.0,8.0,25.0,22.0,595.0,67.0,27,2137.0,79.0,62.5,23.7,25,84.0,22,2,13.0,4,1.33,38.0,29.0,9.0,0.38,1.08,32.2,33.1,-0.8,-0.03,0.37,2.0,1.0,1.0,12.0,25.0,0.0,79.0,23.0,30.0,0.0,0.0,0.0,109.0,20.0,12.0,62.5
Antonin Bobichon,fr FRA,MF,22.0,23.9,7.0,36.0,11.0,30.6,1.5,0.46,0.19,0.64,23.3,5.0,0.0,0.0,1.9,1.9,0.05,5.1,5.1,705.0,879.0,80.2,11418.0,3390.0,369.0,418.0,88.3,227.0,269.0,84.4,74.0,127.0,58.3,2.0,2.4,2.3,-0.4,27.0,78.0,7.0,1.0,94.0,879.0,819.0,59.0,27.0,3.0,9.0,49.0,5.0,27.0,11.0,16.0,0.0,705.0,1.0,17.0,65.0,2.72,43.0,10.0,3.0,7.0,1.0,1.0,4.0,0.17,0.0,2.0,0.0,1.0,1.0,0.0,34.0,16.0,17.0,12.0,5.0,16.0,58.0,27.6,42.0,15.0,3.0,12.0,15.0,49.0,13.0,0.0,1081.0,20.0,184.0,605.0,306.0,23.0,1081.0,33.0,17.0,51.5,16.0,48.5,587.0,3396.0,1756.0,41.0,31.0,10.0,29.0,25.0,676.0,45.0,30,2153.0,72.0,63.0,23.9,24,86.0,17,6,15.0,8,1.4,36.0,34.0,2.0,0.08,0.3,31.9,36.3,-4.4,-0.19,-0.04,2.0,0.0,0.0,35.0,11.0,0.0,49.0,15.0,16.0,0.0,0.0,0.0,128.0,17.0,38.0,30.9
Sofiane Alakouch,ma MAR,DF,20.0,21.1,1.0,13.0,3.0,23.1,0.62,0.14,0.08,0.33,22.3,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,832.0,1096.0,75.9,11690.0,5247.0,522.0,588.0,88.8,237.0,313.0,75.7,38.0,105.0,36.2,0.0,1.5,1.3,-1.5,21.0,50.0,15.0,5.0,79.0,1096.0,838.0,254.0,5.0,2.0,2.0,40.0,249.0,0.0,0.0,0.0,0.0,832.0,4.0,32.0,56.0,2.66,37.0,6.0,7.0,0.0,6.0,0.0,5.0,0.24,4.0,0.0,0.0,0.0,1.0,0.0,81.0,44.0,44.0,31.0,6.0,36.0,63.0,57.1,27.0,15.0,4.0,11.0,46.0,127.0,57.0,0.0,1382.0,55.0,390.0,633.0,367.0,17.0,1382.0,34.0,21.0,61.8,13.0,38.2,607.0,3159.0,1978.0,43.0,36.0,6.0,31.0,16.0,705.0,64.0,25,1895.0,76.0,55.4,21.1,23,80.0,14,2,26.0,3,1.24,28.0,36.0,-8.0,-0.38,-0.79,23.8,37.3,-13.6,-0.64,-1.06,4.0,0.0,0.0,29.0,32.0,0.0,40.0,46.0,44.0,0.0,0.0,0.0,93.0,18.0,26.0,40.9
Jordan Ferri,fr FRA,MF,26.0,20.8,2.0,15.0,3.0,20.0,0.72,0.14,0.13,0.67,21.7,0.0,0.0,0.0,0.7,0.7,0.04,1.3,1.3,855.0,1059.0,80.7,15473.0,5377.0,372.0,428.0,86.9,341.0,395.0,86.3,105.0,156.0,67.3,1.0,2.9,1.4,-1.9,25.0,119.0,23.0,1.0,170.0,1059.0,1036.0,22.0,10.0,8.0,16.0,21.0,12.0,0.0,0.0,0.0,0.0,855.0,1.0,24.0,64.0,3.07,56.0,0.0,3.0,2.0,2.0,1.0,7.0,0.34,4.0,0.0,0.0,2.0,1.0,0.0,52.0,31.0,22.0,23.0,7.0,26.0,62.0,41.9,36.0,27.0,2.0,25.0,15.0,67.0,9.0,1.0,1289.0,15.0,188.0,852.0,270.0,17.0,1289.0,50.0,27.0,54.0,23.0,46.0,735.0,4914.0,2710.0,55.0,26.0,4.0,40.0,28.0,831.0,57.0,24,1874.0,78.0,54.8,20.8,21,85.0,15,3,28.0,0,1.63,37.0,31.0,6.0,0.29,0.7,30.5,29.5,1.0,0.05,0.49,5.0,0.0,0.0,40.0,30.0,2.0,21.0,15.0,31.0,0.0,0.0,0.0,194.0,21.0,31.0,40.4
