player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Yunis Abdelhamid,ma MAR,DF,30.0,38.0,0.0,19.0,4.0,21.1,0.5,0.11,0.0,0.0,15.4,0.0,0.0,0.0,1.6,1.6,0.09,-1.6,-1.6,1330.0,1614.0,82.4,28130.0,10765.0,344.0,405.0,84.9,804.0,877.0,91.7,171.0,289.0,59.2,0.0,0.1,0.3,-0.1,3.0,49.0,3.0,0.0,71.0,1614.0,1543.0,63.0,62.0,0.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1330.0,8.0,19.0,25.0,0.66,17.0,1.0,3.0,4.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,60.0,33.0,48.0,11.0,1.0,30.0,40.0,75.0,10.0,44.0,24.0,20.0,65.0,125.0,196.0,0.0,2027.0,259.0,1276.0,738.0,46.0,27.0,2027.0,23.0,21.0,91.3,2.0,8.7,1040.0,5366.0,2909.0,16.0,7.0,1.0,16.0,6.0,1182.0,1.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.45,39.0,42.0,-3.0,-0.08,,38.1,45.0,-6.9,-0.18,,2.0,0.0,0.0,34.0,20.0,1.0,0.0,65.0,33.0,0.0,1.0,1.0,205.0,113.0,71.0,61.4
Edouard Mendy,sn SEN,GK,26.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,720.0,1159.0,62.1,25766.0,19818.0,43.0,44.0,97.7,305.0,313.0,97.4,372.0,795.0,46.8,0.0,0.1,0.2,-0.1,1.0,25.0,1.0,0.0,2.0,1159.0,697.0,455.0,164.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,7.0,0.0,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,16.0,3.0,1252.0,1044.0,1240.0,12.0,1.0,0.0,1252.0,0.0,0.0,,0.0,,562.0,3854.0,2698.0,0.0,0.0,0.0,1.0,0.0,362.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.45,39.0,42.0,-3.0,-0.08,,38.1,45.0,-6.9,-0.18,,3.0,0.0,0.0,2.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,15.0,0.0,100.0
Xavier Chavalerin,fr FRA,MF,27.0,36.0,2.0,22.0,7.0,31.8,0.61,0.19,0.09,0.29,24.6,0.0,0.0,0.0,1.0,1.0,0.05,1.0,1.0,1165.0,1527.0,76.3,22216.0,7471.0,491.0,559.0,87.8,460.0,556.0,82.7,184.0,337.0,54.6,2.0,3.6,3.3,-1.6,48.0,90.0,21.0,6.0,148.0,1527.0,1384.0,133.0,70.0,6.0,29.0,107.0,5.0,56.0,34.0,13.0,2.0,1165.0,10.0,29.0,79.0,2.19,53.0,22.0,1.0,1.0,0.0,2.0,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,106.0,61.0,56.0,39.0,11.0,28.0,72.0,38.9,44.0,44.0,12.0,32.0,72.0,178.0,39.0,1.0,1879.0,64.0,537.0,1038.0,326.0,15.0,1879.0,31.0,23.0,74.2,8.0,25.8,849.0,3943.0,1801.0,25.0,22.0,3.0,30.0,17.0,1075.0,49.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,1.47,36.0,39.0,-3.0,-0.08,-0.08,35.7,41.0,-5.2,-0.15,0.69,8.0,0.0,0.0,48.0,10.0,1.0,107.0,72.0,61.0,0.0,1.0,0.0,216.0,10.0,23.0,30.3
Alaixys Romao,tg TOG,MF,34.0,35.1,0.0,15.0,1.0,6.7,0.43,0.03,0.0,0.0,12.2,0.0,0.0,0.0,1.7,1.7,0.12,-1.7,-1.7,1136.0,1444.0,78.7,21121.0,6478.0,472.0,551.0,85.7,510.0,636.0,80.2,131.0,185.0,70.8,3.0,2.6,1.7,0.4,11.0,102.0,15.0,2.0,155.0,1444.0,1387.0,52.0,49.0,8.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,1136.0,5.0,27.0,34.0,0.97,29.0,0.0,1.0,2.0,2.0,0.0,5.0,0.14,4.0,0.0,0.0,1.0,0.0,0.0,118.0,71.0,61.0,50.0,7.0,43.0,102.0,42.2,59.0,44.0,16.0,28.0,58.0,176.0,65.0,1.0,1855.0,97.0,523.0,1175.0,176.0,27.0,1855.0,39.0,26.0,66.7,13.0,33.3,927.0,5274.0,2544.0,25.0,25.0,1.0,40.0,24.0,1035.0,12.0,36,3160.0,88.0,92.4,35.1,36,88.0,31,0,,0,1.5,38.0,39.0,-1.0,-0.03,0.66,36.0,42.3,-6.3,-0.18,0.02,8.0,1.0,0.0,89.0,81.0,0.0,6.0,58.0,71.0,0.0,0.0,0.0,243.0,61.0,55.0,52.6
Björn Engels,be BEL,DF,23.0,33.0,1.0,9.0,4.0,44.4,0.27,0.12,0.11,0.25,8.5,0.0,0.0,0.0,1.1,1.1,0.12,-0.1,-0.1,1102.0,1320.0,83.5,23370.0,8953.0,373.0,427.0,87.4,512.0,574.0,89.2,202.0,291.0,69.4,1.0,1.3,1.1,-0.3,11.0,80.0,7.0,1.0,104.0,1320.0,1272.0,45.0,43.0,1.0,26.0,4.0,2.0,0.0,0.0,0.0,0.0,1102.0,3.0,4.0,26.0,0.79,23.0,0.0,0.0,2.0,1.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,6.0,5.0,0.0,6.0,16.0,37.5,10.0,30.0,24.0,6.0,44.0,55.0,181.0,3.0,1625.0,228.0,910.0,677.0,47.0,29.0,1625.0,10.0,6.0,60.0,4.0,40.0,855.0,5075.0,3441.0,20.0,9.0,0.0,9.0,3.0,956.0,4.0,33,2970.0,90.0,86.8,33.0,33,90.0,33,0,,0,1.39,33.0,36.0,-3.0,-0.09,-0.09,34.0,38.4,-4.4,-0.13,0.37,4.0,0.0,0.0,20.0,17.0,2.0,4.0,44.0,8.0,0.0,0.0,1.0,138.0,99.0,49.0,66.9
Thomas Foket,be BEL,DF,23.0,32.0,0.0,2.0,1.0,50.0,0.06,0.03,0.0,0.0,10.5,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,1070.0,1437.0,74.5,16995.0,7259.0,587.0,677.0,86.7,401.0,544.0,73.7,64.0,147.0,43.5,0.0,0.9,1.5,-0.9,13.0,68.0,14.0,6.0,104.0,1437.0,1096.0,336.0,16.0,1.0,5.0,53.0,320.0,0.0,0.0,0.0,0.0,1070.0,5.0,34.0,40.0,1.25,34.0,5.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,91.0,52.0,55.0,23.0,13.0,42.0,69.0,60.9,27.0,30.0,4.0,26.0,49.0,140.0,80.0,1.0,1755.0,97.0,615.0,764.0,390.0,19.0,1755.0,21.0,11.0,52.4,10.0,47.6,728.0,4054.0,2234.0,43.0,32.0,2.0,30.0,15.0,830.0,110.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,,0,1.44,32.0,32.0,0.0,0.0,0.5,33.6,35.0,-1.3,-0.04,0.89,7.0,0.0,0.0,49.0,42.0,4.0,53.0,49.0,52.0,0.0,2.0,0.0,167.0,28.0,41.0,40.6
Remi Oudin,fr FRA,"FW,MF",21.0,29.0,10.0,78.0,24.0,30.8,2.69,0.83,0.13,0.42,16.5,1.0,0.0,0.0,8.5,8.5,0.11,1.5,1.5,482.0,842.0,57.2,8268.0,2484.0,239.0,341.0,70.1,161.0,263.0,61.2,58.0,141.0,41.1,4.0,3.0,2.3,1.0,25.0,45.0,13.0,2.0,58.0,842.0,798.0,36.0,2.0,10.0,12.0,57.0,21.0,3.0,0.0,3.0,0.0,482.0,8.0,42.0,56.0,1.93,42.0,1.0,3.0,8.0,1.0,1.0,6.0,0.21,5.0,0.0,1.0,0.0,0.0,0.0,51.0,32.0,25.0,18.0,8.0,20.0,45.0,44.4,25.0,29.0,5.0,24.0,42.0,93.0,34.0,0.0,1185.0,35.0,246.0,481.0,473.0,127.0,1185.0,32.0,12.0,37.5,20.0,62.5,647.0,3456.0,1411.0,42.0,26.0,16.0,65.0,48.0,759.0,202.0,37,2612.0,71.0,76.4,29.0,32,77.0,10,5,32.0,1,1.46,31.0,33.0,-2.0,-0.07,0.04,27.9,34.2,-6.3,-0.22,-0.15,4.0,0.0,0.0,33.0,16.0,6.0,57.0,42.0,32.0,0.0,0.0,0.0,143.0,28.0,59.0,32.2
Mathieu Cafaro,fr FRA,"FW,MF",21.0,23.3,7.0,70.0,22.0,31.4,3.01,0.95,0.1,0.32,24.5,11.0,0.0,0.0,3.6,3.6,0.05,3.4,3.4,460.0,765.0,60.1,9075.0,3022.0,207.0,273.0,75.8,157.0,244.0,64.3,86.0,196.0,43.9,3.0,2.9,3.0,0.1,37.0,53.0,20.0,12.0,79.0,765.0,645.0,113.0,40.0,5.0,12.0,147.0,5.0,63.0,35.0,21.0,4.0,460.0,7.0,18.0,75.0,3.22,36.0,19.0,8.0,9.0,1.0,2.0,7.0,0.3,4.0,0.0,1.0,1.0,0.0,1.0,59.0,28.0,29.0,24.0,6.0,18.0,63.0,28.6,45.0,28.0,0.0,28.0,20.0,79.0,14.0,0.0,1080.0,10.0,177.0,483.0,449.0,35.0,1080.0,53.0,25.0,47.2,28.0,52.8,556.0,4191.0,2025.0,62.0,40.0,6.0,54.0,30.0,659.0,133.0,34,2095.0,62.0,61.3,23.3,24,79.0,8,10,20.0,1,1.38,22.0,22.0,0.0,0.0,0.2,21.9,24.8,-2.9,-0.12,0.15,5.0,0.0,0.0,35.0,31.0,3.0,147.0,20.0,28.0,0.0,0.0,0.0,118.0,14.0,34.0,29.2
Pablo Chavarría,ar ARG,FW,30.0,21.9,5.0,43.0,18.0,41.9,1.96,0.82,0.12,0.28,12.8,0.0,0.0,0.0,5.8,5.8,0.13,-0.8,-0.8,250.0,420.0,59.5,3353.0,734.0,162.0,243.0,66.7,68.0,119.0,57.1,7.0,18.0,38.9,3.0,1.6,1.8,1.4,22.0,21.0,11.0,5.0,27.0,420.0,393.0,25.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,250.0,2.0,11.0,34.0,1.55,27.0,0.0,0.0,4.0,3.0,0.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,8.0,6.0,6.0,3.0,15.0,20.0,12.0,11.0,0.0,11.0,4.0,24.0,19.0,0.0,635.0,19.0,54.0,253.0,338.0,102.0,635.0,25.0,10.0,40.0,15.0,60.0,335.0,1754.0,614.0,28.0,12.0,14.0,65.0,22.0,454.0,141.0,30,1973.0,66.0,57.7,21.9,23,79.0,12,7,22.0,0,1.4,20.0,25.0,-5.0,-0.23,-0.35,20.0,27.0,-6.9,-0.32,-0.32,3.0,0.0,0.0,47.0,22.0,30.0,28.0,4.0,12.0,0.0,0.0,0.0,54.0,74.0,112.0,39.8
Ghislain Konan,ci CIV,DF,22.0,20.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,,27.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,751.0,1015.0,74.0,12164.0,5849.0,396.0,439.0,90.2,294.0,410.0,71.7,51.0,106.0,48.1,1.0,1.4,1.2,-0.4,17.0,59.0,22.0,14.0,87.0,1015.0,752.0,259.0,9.0,2.0,2.0,68.0,250.0,0.0,0.0,0.0,0.0,751.0,4.0,33.0,42.0,2.1,31.0,6.0,3.0,0.0,1.0,1.0,5.0,0.25,4.0,1.0,0.0,0.0,0.0,0.0,45.0,28.0,31.0,10.0,4.0,24.0,40.0,60.0,16.0,18.0,4.0,14.0,40.0,85.0,55.0,1.0,1279.0,75.0,431.0,587.0,291.0,4.0,1279.0,53.0,25.0,47.2,28.0,52.8,552.0,4511.0,2779.0,88.0,62.0,2.0,35.0,15.0,592.0,57.0,20,1800.0,90.0,52.6,20.0,20,90.0,20,0,,0,1.35,16.0,19.0,-3.0,-0.15,-0.15,18.3,21.9,-3.6,-0.18,0.0,0.0,0.0,0.0,15.0,29.0,3.0,68.0,40.0,28.0,0.0,1.0,0.0,152.0,23.0,38.0,37.7
