player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Régis Gurtner,fr FRA,GK,32.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,529.0,817.0,64.7,18521.0,15084.0,60.0,60.0,100.0,194.0,199.0,97.5,275.0,558.0,49.3,0.0,0.1,0.0,-0.1,2.0,13.0,0.0,0.0,0.0,817.0,484.0,333.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,884.0,774.0,883.0,1.0,0.0,0.0,884.0,0.0,0.0,,0.0,,369.0,2252.0,1688.0,0.0,1.0,0.0,0.0,0.0,269.0,0.0,28,2520.0,90.0,100.0,28.0,28,90.0,28.0,0,,0,0.82,31.0,50.0,-19.0,-0.68,,27.4,39.3,-11.9,-0.43,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,7.0,1.0,87.5
Gaël Kakuta,cd COD,"MF,FW",28.0,22.2,2.0,43.0,11.0,25.6,1.93,0.49,0.05,0.18,22.4,6.0,0.0,0.0,2.8,2.8,0.07,-0.8,-0.8,565.0,850.0,66.5,8026.0,2590.0,333.0,421.0,79.1,167.0,242.0,69.0,34.0,98.0,34.7,5.0,2.6,2.6,2.4,27.0,61.0,31.0,7.0,101.0,850.0,770.0,72.0,12.0,10.0,2.0,94.0,3.0,35.0,15.0,9.0,0.0,565.0,8.0,26.0,63.0,2.83,44.0,4.0,9.0,1.0,4.0,1.0,8.0,0.36,7.0,0.0,1.0,0.0,0.0,0.0,46.0,27.0,13.0,27.0,6.0,17.0,48.0,35.4,31.0,15.0,1.0,14.0,16.0,62.0,8.0,2.0,1141.0,6.0,88.0,581.0,497.0,41.0,1141.0,74.0,48.0,64.9,26.0,35.1,661.0,3937.0,1613.0,63.0,43.0,16.0,90.0,79.0,852.0,155.0,24,2001.0,83.0,79.4,22.2,23,85.0,13.0,1,37.0,0,0.92,23.0,35.0,-12.0,-0.54,0.67,21.4,28.4,-7.0,-0.32,0.53,4.0,0.0,0.0,31.0,27.0,1.0,94.0,16.0,27.0,0.0,0.0,0.0,96.0,25.0,61.0,29.1
Sehrou Guirassy,gn GUI,FW,23.0,21.3,9.0,41.0,15.0,36.6,1.92,0.7,0.15,0.4,18.1,2.0,3.0,4.0,8.9,5.7,0.14,0.1,0.3,440.0,622.0,70.7,5822.0,977.0,291.0,374.0,77.8,100.0,146.0,68.5,21.0,32.0,65.6,2.0,0.9,1.2,1.1,14.0,37.0,7.0,1.0,51.0,622.0,594.0,26.0,2.0,1.0,5.0,8.0,5.0,0.0,0.0,0.0,0.0,440.0,2.0,24.0,37.0,1.73,22.0,0.0,3.0,1.0,11.0,0.0,7.0,0.33,3.0,0.0,0.0,0.0,4.0,0.0,7.0,3.0,1.0,4.0,2.0,2.0,7.0,28.6,5.0,13.0,6.0,7.0,4.0,11.0,21.0,0.0,869.0,29.0,50.0,499.0,325.0,72.0,865.0,32.0,15.0,46.9,17.0,53.1,526.0,2473.0,883.0,30.0,32.0,11.0,77.0,41.0,728.0,178.0,23,1921.0,84.0,76.2,21.3,23,84.0,17.0,0,,0,0.91,25.0,34.0,-9.0,-0.42,1.08,21.5,25.9,-4.4,-0.21,0.92,6.0,0.0,0.0,41.0,63.0,14.0,8.0,4.0,3.0,4.0,0.0,0.0,61.0,93.0,97.0,48.9
Aurélien Chedjou,cm CMR,DF,34.0,21.9,0.0,8.0,2.0,25.0,0.37,0.09,0.0,0.0,10.3,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,826.0,1051.0,78.6,17031.0,7802.0,263.0,294.0,89.5,430.0,498.0,86.3,126.0,230.0,54.8,0.0,0.5,0.5,-0.5,3.0,73.0,2.0,0.0,82.0,1051.0,1005.0,43.0,40.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,826.0,3.0,8.0,15.0,0.68,12.0,1.0,0.0,1.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,18.0,9.0,0.0,10.0,22.0,45.5,12.0,15.0,11.0,4.0,40.0,67.0,120.0,3.0,1278.0,177.0,624.0,642.0,28.0,10.0,1278.0,11.0,9.0,81.8,2.0,18.2,663.0,3787.0,2347.0,11.0,3.0,0.0,8.0,5.0,698.0,0.0,22,1971.0,90.0,78.2,21.9,22,90.0,21.0,0,,1,0.91,25.0,36.0,-11.0,-0.5,0.81,23.4,27.0,-3.6,-0.16,1.21,4.0,1.0,1.0,14.0,11.0,0.0,0.0,40.0,19.0,0.0,1.0,0.0,155.0,37.0,36.0,50.7
Bakaye Dibassy,ml MLI,DF,29.0,20.8,2.0,5.0,4.0,80.0,0.24,0.19,0.4,0.5,9.8,0.0,0.0,0.0,1.2,1.2,0.23,0.8,0.8,715.0,906.0,78.9,11486.0,4041.0,344.0,387.0,88.9,315.0,375.0,84.0,34.0,102.0,33.3,0.0,0.1,0.1,-0.1,2.0,31.0,3.0,2.0,48.0,906.0,852.0,53.0,10.0,0.0,0.0,10.0,43.0,0.0,0.0,0.0,0.0,715.0,1.0,12.0,7.0,0.34,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,17.0,8.0,1.0,15.0,20.0,75.0,5.0,29.0,18.0,11.0,37.0,63.0,78.0,2.0,1121.0,112.0,514.0,533.0,80.0,12.0,1121.0,13.0,11.0,84.6,2.0,15.4,565.0,2816.0,1454.0,15.0,6.0,0.0,16.0,2.0,660.0,11.0,22,1868.0,85.0,74.1,20.8,22,85.0,20.0,0,,1,0.91,21.0,35.0,-14.0,-0.67,0.02,20.6,26.4,-5.8,-0.28,0.56,5.0,1.0,0.0,21.0,13.0,0.0,10.0,37.0,14.0,0.0,0.0,1.0,114.0,25.0,37.0,40.3
Haitam Aleesami,no NOR,DF,28.0,21.3,1.0,2.0,1.0,50.0,0.09,0.05,0.5,1.0,12.6,0.0,0.0,0.0,0.4,0.4,0.18,0.6,0.6,906.0,1195.0,75.8,13402.0,5815.0,523.0,597.0,87.6,316.0,445.0,71.0,38.0,90.0,42.2,1.0,1.2,1.3,-0.2,14.0,75.0,10.0,4.0,120.0,1195.0,955.0,238.0,24.0,1.0,3.0,44.0,211.0,3.0,0.0,2.0,0.0,906.0,2.0,19.0,29.0,1.36,25.0,3.0,0.0,0.0,0.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,25.0,9.0,2.0,18.0,43.0,41.9,25.0,33.0,10.0,23.0,34.0,70.0,59.0,1.0,1421.0,72.0,412.0,759.0,262.0,15.0,1421.0,19.0,13.0,68.4,6.0,31.6,573.0,2813.0,1426.0,21.0,17.0,4.0,23.0,22.0,756.0,72.0,22,1916.0,87.0,76.0,21.3,21,89.0,20.0,1,51.0,6,0.86,27.0,42.0,-15.0,-0.7,-0.11,23.6,33.1,-9.5,-0.45,-0.09,4.0,0.0,0.0,31.0,9.0,1.0,44.0,34.0,16.0,0.0,0.0,0.0,117.0,39.0,19.0,67.2
Arturo Calabresi,it ITA,DF,23.0,20.9,1.0,6.0,1.0,16.7,0.29,0.05,0.17,1.0,16.9,0.0,0.0,0.0,0.8,0.8,0.14,0.2,0.2,723.0,1012.0,71.4,11507.0,5639.0,388.0,455.0,85.3,270.0,381.0,70.9,51.0,130.0,39.2,1.0,1.1,1.2,-0.1,6.0,50.0,6.0,4.0,68.0,1012.0,766.0,245.0,19.0,0.0,4.0,34.0,226.0,0.0,0.0,0.0,0.0,723.0,1.0,27.0,22.0,1.05,16.0,0.0,2.0,1.0,2.0,1.0,2.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,53.0,33.0,29.0,20.0,4.0,33.0,75.0,44.0,42.0,24.0,11.0,13.0,29.0,82.0,60.0,0.0,1252.0,83.0,412.0,613.0,240.0,14.0,1252.0,40.0,22.0,55.0,18.0,45.0,449.0,2269.0,1248.0,20.0,16.0,4.0,20.0,14.0,550.0,23.0,21,1878.0,89.0,74.5,20.9,21,89.0,20.0,0,,2,0.76,23.0,38.0,-15.0,-0.72,-0.16,21.6,28.3,-6.7,-0.32,0.41,5.0,0.0,0.0,28.0,30.0,0.0,34.0,29.0,33.0,0.0,0.0,0.0,125.0,30.0,36.0,45.5
Alexis Blin,fr FRA,MF,22.0,20.5,0.0,2.0,0.0,0.0,0.1,0.0,0.0,,17.9,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,880.0,1051.0,83.7,14580.0,4294.0,442.0,502.0,88.0,344.0,400.0,86.0,73.0,105.0,69.5,1.0,0.7,1.1,0.3,7.0,65.0,4.0,1.0,100.0,1051.0,1011.0,38.0,30.0,0.0,8.0,18.0,2.0,6.0,5.0,0.0,0.0,880.0,2.0,11.0,16.0,0.78,12.0,2.0,0.0,0.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,39.0,25.0,18.0,15.0,6.0,20.0,61.0,32.8,41.0,25.0,6.0,19.0,16.0,55.0,49.0,0.0,1253.0,65.0,285.0,855.0,120.0,4.0,1253.0,12.0,8.0,66.7,4.0,33.3,555.0,2307.0,1072.0,10.0,10.0,0.0,29.0,10.0,765.0,9.0,24,1841.0,77.0,73.1,20.5,21,85.0,14.0,3,18.0,4,0.92,24.0,33.0,-9.0,-0.44,0.89,20.7,26.4,-5.7,-0.28,0.55,4.0,0.0,0.0,32.0,27.0,1.0,18.0,16.0,25.0,0.0,0.0,0.0,136.0,40.0,39.0,50.6
Thomas Monconduit,fr FRA,MF,28.0,15.2,0.0,11.0,2.0,18.2,0.73,0.13,0.0,0.0,25.3,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,545.0,729.0,74.8,9805.0,3681.0,256.0,297.0,86.2,197.0,244.0,80.7,73.0,135.0,54.1,0.0,0.4,0.7,-0.4,10.0,72.0,3.0,0.0,85.0,729.0,650.0,73.0,41.0,5.0,9.0,27.0,2.0,17.0,8.0,6.0,0.0,545.0,6.0,13.0,23.0,1.52,12.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,6.0,18.0,2.0,9.0,26.0,34.6,17.0,11.0,4.0,7.0,10.0,36.0,25.0,3.0,855.0,34.0,139.0,583.0,142.0,8.0,855.0,19.0,15.0,78.9,4.0,21.1,422.0,2176.0,1081.0,12.0,17.0,1.0,21.0,15.0,546.0,21.0,19,1364.0,72.0,54.1,15.2,15,84.0,7.0,4,27.0,7,0.53,11.0,25.0,-14.0,-0.92,-0.53,12.0,22.8,-10.8,-0.71,-0.62,8.0,0.0,0.0,32.0,21.0,2.0,27.0,10.0,12.0,0.0,0.0,0.0,78.0,23.0,19.0,54.8
Fousseni Diabaté,ml MLI,"FW,MF",23.0,13.2,1.0,7.0,2.0,28.6,0.53,0.15,0.14,0.5,16.9,0.0,0.0,0.0,0.6,0.6,0.09,0.4,0.4,350.0,469.0,74.6,4421.0,1168.0,230.0,277.0,83.0,76.0,108.0,70.4,14.0,21.0,66.7,3.0,1.6,1.4,1.4,13.0,24.0,6.0,3.0,27.0,469.0,460.0,8.0,3.0,2.0,1.0,32.0,5.0,0.0,0.0,0.0,0.0,350.0,1.0,17.0,24.0,1.82,20.0,0.0,3.0,0.0,1.0,0.0,4.0,0.3,3.0,0.0,1.0,0.0,0.0,0.0,16.0,10.0,6.0,6.0,4.0,5.0,16.0,31.3,11.0,11.0,0.0,11.0,8.0,24.0,3.0,1.0,621.0,3.0,99.0,278.0,256.0,41.0,621.0,47.0,29.0,61.7,18.0,38.3,358.0,2806.0,1228.0,47.0,28.0,16.0,51.0,27.0,439.0,111.0,20,1190.0,60.0,47.2,13.2,15,74.0,1.0,5,17.0,2,0.8,14.0,26.0,-12.0,-0.91,-0.43,10.1,19.7,-9.6,-0.73,-0.58,3.0,0.0,0.0,12.0,9.0,2.0,32.0,8.0,10.0,0.0,0.0,0.0,80.0,8.0,17.0,32.0
