player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Benoît Costil,fr FRA,GK,32.0,28.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,622.0,883.0,70.4,18055.0,13748.0,119.0,119.0,100.0,265.0,266.0,99.6,235.0,495.0,47.5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,883.0,567.0,316.0,69.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,622.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,948.0,805.0,941.0,7.0,0.0,0.0,948.0,2.0,2.0,100.0,0.0,0.0,435.0,2244.0,1409.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,28,2520.0,90.0,100.0,28.0,28,90.0,28.0,0,,0,1.32,40.0,34.0,6.0,0.21,,30.4,36.9,-6.6,-0.23,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,100.0
Otávio,br BRA,MF,25.0,24.6,2.0,22.0,7.0,31.8,0.9,0.28,0.09,0.29,26.9,0.0,0.0,0.0,0.8,0.8,0.03,1.2,1.2,1356.0,1521.0,89.2,23283.0,5316.0,618.0,664.0,93.1,601.0,645.0,93.2,109.0,153.0,71.2,3.0,0.9,1.0,2.1,8.0,96.0,8.0,2.0,84.0,1521.0,1477.0,41.0,41.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1356.0,3.0,14.0,26.0,1.06,20.0,0.0,2.0,2.0,0.0,2.0,6.0,0.24,4.0,0.0,1.0,1.0,0.0,0.0,80.0,45.0,23.0,52.0,5.0,35.0,82.0,42.7,47.0,26.0,9.0,17.0,41.0,121.0,40.0,6.0,1767.0,71.0,421.0,1258.0,112.0,3.0,1767.0,21.0,17.0,81.0,4.0,19.0,1040.0,4043.0,1806.0,13.0,16.0,2.0,18.0,13.0,1243.0,15.0,25,2211.0,88.0,87.7,24.6,25,88.0,23.0,0,,0,1.32,35.0,28.0,7.0,0.28,0.58,26.4,31.1,-4.6,-0.19,0.37,6.0,0.0,0.0,44.0,28.0,0.0,5.0,41.0,45.0,0.0,0.0,0.0,187.0,18.0,17.0,51.4
Laurent Koscielny,fr FRA,DF,33.0,24.3,0.0,3.0,0.0,0.0,0.12,0.0,0.0,,8.1,0.0,0.0,0.0,0.4,0.4,0.12,-0.4,-0.4,1209.0,1378.0,87.7,23745.0,10406.0,350.0,382.0,91.6,733.0,789.0,92.9,111.0,175.0,63.4,0.0,0.0,0.2,0.0,2.0,55.0,2.0,0.0,56.0,1378.0,1333.0,42.0,36.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1209.0,3.0,6.0,17.0,0.7,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,28.0,13.0,24.0,4.0,0.0,10.0,20.0,50.0,10.0,23.0,19.0,4.0,26.0,54.0,104.0,0.0,1600.0,208.0,919.0,664.0,21.0,6.0,1600.0,5.0,3.0,60.0,2.0,40.0,1010.0,5104.0,2736.0,5.0,6.0,1.0,11.0,6.0,1074.0,3.0,25,2183.0,87.0,86.6,24.3,25,87.0,24.0,0,,2,1.32,36.0,28.0,8.0,0.33,0.86,25.8,30.6,-4.8,-0.2,0.28,3.0,0.0,0.0,18.0,12.0,2.0,0.0,26.0,13.0,0.0,1.0,0.0,125.0,51.0,39.0,56.7
Pablo,br BRA,DF,28.0,24.1,4.0,17.0,7.0,41.2,0.7,0.29,0.24,0.57,10.3,0.0,0.0,0.0,1.9,1.9,0.11,2.1,2.1,1307.0,1508.0,86.7,25379.0,8956.0,429.0,482.0,89.0,740.0,809.0,91.5,124.0,184.0,67.4,0.0,0.1,0.3,-0.1,2.0,47.0,1.0,0.0,58.0,1508.0,1453.0,52.0,33.0,1.0,17.0,0.0,19.0,0.0,0.0,0.0,0.0,1307.0,3.0,8.0,14.0,0.58,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,22.0,5.0,0.0,16.0,31.0,51.6,15.0,25.0,14.0,11.0,40.0,67.0,130.0,2.0,1786.0,181.0,914.0,832.0,43.0,31.0,1786.0,7.0,6.0,85.7,1.0,14.3,1074.0,4579.0,2247.0,6.0,6.0,0.0,11.0,8.0,1192.0,4.0,25,2173.0,87.0,86.2,24.1,25,87.0,23.0,0,,1,1.36,37.0,30.0,7.0,0.29,0.55,25.5,32.8,-7.3,-0.3,-0.49,2.0,0.0,0.0,26.0,11.0,1.0,0.0,40.0,15.0,0.0,2.0,0.0,134.0,112.0,33.0,77.2
Nicolas de Préville,fr FRA,"MF,FW",28.0,22.2,6.0,45.0,19.0,42.2,2.03,0.86,0.11,0.26,22.5,13.0,1.0,1.0,5.0,4.3,0.09,1.0,0.7,688.0,976.0,70.5,11551.0,2755.0,324.0,385.0,84.2,258.0,339.0,76.1,69.0,152.0,45.4,4.0,4.8,3.7,-0.8,46.0,46.0,18.0,6.0,88.0,976.0,829.0,141.0,47.0,3.0,8.0,131.0,4.0,79.0,42.0,30.0,0.0,688.0,6.0,27.0,98.0,4.42,46.0,24.0,7.0,7.0,12.0,2.0,12.0,0.54,6.0,2.0,2.0,2.0,0.0,0.0,35.0,21.0,9.0,22.0,4.0,18.0,56.0,32.1,38.0,15.0,3.0,12.0,6.0,41.0,19.0,0.0,1292.0,20.0,92.0,708.0,516.0,53.0,1291.0,86.0,36.0,41.9,50.0,58.1,826.0,4918.0,2317.0,80.0,65.0,17.0,82.0,55.0,947.0,159.0,24,1995.0,83.0,79.2,22.2,23,85.0,15.0,1,34.0,0,1.33,31.0,29.0,2.0,0.09,-0.6,25.2,29.3,-4.1,-0.18,0.24,4.0,0.0,0.0,47.0,66.0,2.0,131.0,6.0,21.0,0.0,0.0,0.0,98.0,41.0,45.0,47.7
Loris Benito,ch SUI,DF,27.0,21.1,1.0,12.0,2.0,16.7,0.57,0.09,0.08,0.5,14.8,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2,1098.0,1333.0,82.4,17587.0,6515.0,552.0,608.0,90.8,456.0,534.0,85.4,62.0,116.0,53.4,0.0,0.9,0.8,-0.9,17.0,74.0,14.0,5.0,119.0,1333.0,1137.0,193.0,22.0,0.0,2.0,46.0,170.0,1.0,0.0,0.0,0.0,1098.0,3.0,31.0,31.0,1.47,26.0,3.0,0.0,1.0,0.0,1.0,4.0,0.19,3.0,1.0,0.0,0.0,0.0,0.0,40.0,25.0,23.0,11.0,6.0,16.0,43.0,37.2,27.0,14.0,5.0,9.0,29.0,69.0,58.0,1.0,1537.0,81.0,411.0,882.0,262.0,24.0,1537.0,13.0,5.0,38.5,8.0,61.5,865.0,4476.0,2471.0,50.0,36.0,6.0,25.0,11.0,973.0,73.0,23,1896.0,82.0,75.2,21.1,21,89.0,19.0,2,17.0,0,1.22,27.0,28.0,-1.0,-0.05,-1.06,21.5,28.6,-7.2,-0.34,-0.43,5.0,0.0,0.0,37.0,7.0,1.0,46.0,29.0,25.0,0.0,0.0,1.0,124.0,32.0,28.0,53.3
Hwang Ui-jo,kr KOR,"FW,MF",26.0,18.1,6.0,36.0,13.0,36.1,1.98,0.72,0.17,0.46,18.0,0.0,0.0,0.0,4.0,4.0,0.11,2.0,2.0,341.0,415.0,82.2,4822.0,768.0,189.0,211.0,89.6,123.0,141.0,87.2,12.0,23.0,52.2,2.0,1.0,1.1,1.0,6.0,18.0,8.0,1.0,31.0,415.0,411.0,3.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,341.0,1.0,8.0,29.0,1.6,17.0,0.0,2.0,4.0,5.0,1.0,5.0,0.28,2.0,0.0,0.0,0.0,3.0,0.0,9.0,7.0,2.0,5.0,2.0,4.0,20.0,20.0,16.0,7.0,0.0,7.0,5.0,14.0,5.0,0.0,585.0,7.0,47.0,323.0,220.0,45.0,585.0,36.0,14.0,38.9,22.0,61.1,413.0,2119.0,1013.0,34.0,27.0,13.0,43.0,21.0,479.0,112.0,24,1633.0,68.0,64.8,18.1,19,80.0,9.0,5,24.0,2,1.25,24.0,26.0,-2.0,-0.11,-0.92,21.1,26.8,-5.7,-0.31,-0.23,2.0,0.0,0.0,12.0,31.0,7.0,8.0,5.0,7.0,0.0,0.0,0.0,52.0,15.0,22.0,40.5
Jimmy Briand,fr FRA,FW,33.0,16.9,7.0,27.0,10.0,37.0,1.59,0.59,0.22,0.6,14.2,0.0,1.0,1.0,5.2,4.5,0.17,1.8,1.5,258.0,332.0,77.7,2917.0,364.0,163.0,196.0,83.2,46.0,59.0,78.0,7.0,12.0,58.3,1.0,0.8,0.4,0.2,18.0,8.0,3.0,0.0,15.0,332.0,292.0,38.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,258.0,2.0,3.0,32.0,1.89,22.0,1.0,1.0,1.0,5.0,2.0,2.0,0.12,1.0,0.0,1.0,0.0,0.0,0.0,12.0,8.0,5.0,4.0,3.0,3.0,13.0,23.1,10.0,8.0,4.0,4.0,6.0,18.0,12.0,0.0,486.0,17.0,54.0,261.0,171.0,49.0,485.0,14.0,4.0,28.6,10.0,71.4,248.0,825.0,231.0,9.0,5.0,5.0,42.0,11.0,333.0,73.0,22,1525.0,69.0,60.5,16.9,18,82.0,12.0,4,11.0,0,1.27,22.0,18.0,4.0,0.24,0.06,18.8,19.9,-1.1,-0.07,0.43,1.0,0.0,0.0,9.0,24.0,9.0,3.0,6.0,8.0,0.0,0.0,0.0,49.0,33.0,67.0,33.0
Mexer,mz MOZ,DF,30.0,16.5,0.0,9.0,0.0,0.0,0.54,0.0,0.0,,23.1,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,903.0,1128.0,80.1,17056.0,5867.0,330.0,371.0,88.9,475.0,554.0,85.7,91.0,162.0,56.2,2.0,0.2,0.2,1.8,5.0,36.0,1.0,1.0,45.0,1128.0,1004.0,121.0,38.0,0.0,19.0,9.0,83.0,0.0,0.0,0.0,0.0,903.0,3.0,17.0,13.0,0.79,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,14.0,1.0,1.0,10.0,30.0,33.3,20.0,14.0,13.0,1.0,15.0,31.0,47.0,0.0,1260.0,98.0,558.0,662.0,48.0,8.0,1260.0,15.0,9.0,60.0,6.0,40.0,763.0,3159.0,1468.0,7.0,9.0,0.0,10.0,7.0,836.0,5.0,19,1488.0,78.0,59.0,16.5,16,87.0,13.0,3,35.0,5,1.16,19.0,18.0,1.0,0.06,-0.38,14.7,20.6,-5.9,-0.36,-0.3,5.0,0.0,0.0,14.0,13.0,1.0,9.0,15.0,11.0,0.0,0.0,0.0,109.0,44.0,26.0,62.9
Samuel Kalu,ng NGA,"DF,FW",21.0,15.1,1.0,39.0,11.0,28.2,2.59,0.73,0.03,0.09,21.0,1.0,0.0,0.0,2.7,2.7,0.07,-1.7,-1.7,380.0,523.0,72.7,5985.0,1384.0,198.0,235.0,84.3,135.0,183.0,73.8,28.0,55.0,50.9,1.0,1.4,1.5,-0.4,10.0,28.0,6.0,4.0,44.0,523.0,489.0,30.0,0.0,2.0,7.0,30.0,29.0,1.0,0.0,1.0,0.0,380.0,4.0,11.0,41.0,2.72,22.0,1.0,8.0,4.0,5.0,1.0,4.0,0.27,2.0,0.0,0.0,1.0,1.0,0.0,33.0,17.0,19.0,12.0,2.0,16.0,36.0,44.4,20.0,13.0,1.0,12.0,24.0,57.0,10.0,0.0,784.0,18.0,128.0,373.0,298.0,53.0,784.0,96.0,48.0,50.0,47.0,49.0,518.0,3370.0,1778.0,54.0,29.0,26.0,43.0,28.0,551.0,130.0,20,1357.0,68.0,53.8,15.1,15,82.0,8.0,5,25.0,2,1.1,22.0,18.0,4.0,0.27,0.11,14.6,22.6,-8.0,-0.53,-0.64,4.0,0.0,0.0,30.0,30.0,4.0,30.0,24.0,17.0,0.0,0.0,0.0,76.0,19.0,32.0,37.3
