player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Gautier Larsonneur,fr FRA,GK,22.0,26.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,746.0,1019.0,73.2,20998.0,14420.0,95.0,95.0,100.0,413.0,423.0,97.6,237.0,499.0,47.5,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,1019.0,730.0,288.0,53.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,746.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,1.0,0.0,1.0,4.0,6.0,14.0,3.0,1098.0,1007.0,1095.0,3.0,0.0,0.0,1098.0,0.0,0.0,,0.0,,578.0,3155.0,2037.0,0.0,0.0,0.0,2.0,1.0,476.0,0.0,27,2397.0,89.0,95.1,26.6,27,89.0,26.0,0,,0,1.15,31.0,34.0,-3.0,-0.11,-0.11,29.9,43.0,-13.2,-0.49,0.69,2.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,39.0,7.0,0.0,100.0
Gaëtan Charbonnier,fr FRA,"FW,MF",30.0,22.9,4.0,49.0,14.0,28.6,2.14,0.61,0.08,0.29,18.5,0.0,0.0,2.0,7.1,5.5,0.11,-3.1,-1.5,637.0,838.0,76.0,10150.0,2552.0,359.0,423.0,84.9,208.0,264.0,78.8,47.0,83.0,56.6,5.0,2.9,2.4,2.1,31.0,62.0,21.0,3.0,100.0,838.0,762.0,75.0,10.0,4.0,17.0,31.0,9.0,7.0,0.0,0.0,0.0,637.0,1.0,19.0,69.0,3.01,56.0,2.0,2.0,4.0,2.0,3.0,8.0,0.35,8.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,11.0,11.0,14.0,10.0,35.0,28.6,25.0,19.0,6.0,13.0,7.0,43.0,33.0,1.0,1129.0,39.0,94.0,584.0,460.0,75.0,1127.0,45.0,23.0,51.1,22.0,48.9,643.0,2396.0,942.0,24.0,28.0,12.0,81.0,36.0,849.0,162.0,26,2065.0,79.0,81.9,22.9,23,87.0,17.0,3,24.0,0,1.31,31.0,29.0,2.0,0.09,1.08,23.6,37.0,-13.4,-0.58,-0.31,5.0,0.0,0.0,40.0,33.0,9.0,31.0,7.0,16.0,1.0,0.0,0.0,66.0,43.0,87.0,33.1
Julien Faussurier,fr FRA,DF,32.0,22.0,2.0,10.0,5.0,50.0,0.45,0.23,0.2,0.4,15.3,0.0,0.0,0.0,0.8,0.8,0.08,1.2,1.2,887.0,1278.0,69.4,16627.0,8187.0,393.0,457.0,86.0,366.0,511.0,71.6,119.0,256.0,46.5,3.0,1.8,2.7,1.2,27.0,65.0,43.0,20.0,100.0,1278.0,979.0,295.0,22.0,4.0,13.0,80.0,269.0,4.0,0.0,1.0,0.0,887.0,4.0,28.0,66.0,3.0,52.0,8.0,0.0,2.0,2.0,2.0,9.0,0.41,5.0,2.0,0.0,1.0,0.0,1.0,36.0,22.0,23.0,13.0,0.0,21.0,53.0,39.6,32.0,22.0,7.0,15.0,33.0,69.0,46.0,1.0,1483.0,89.0,438.0,668.0,388.0,33.0,1483.0,17.0,6.0,35.3,11.0,64.7,675.0,3180.0,1798.0,36.0,22.0,3.0,16.0,14.0,819.0,142.0,22,1980.0,90.0,78.6,22.0,22,90.0,22.0,0,,1,1.32,29.0,30.0,-1.0,-0.05,0.29,24.0,37.7,-13.8,-0.63,-0.45,1.0,0.0,0.0,17.0,15.0,2.0,80.0,33.0,22.0,0.0,0.0,0.0,118.0,18.0,24.0,42.9
Jean-Charles Castelletto,cm CMR,DF,24.0,20.4,1.0,3.0,1.0,33.3,0.15,0.05,0.33,1.0,7.1,0.0,0.0,0.0,0.5,0.5,0.17,0.5,0.5,856.0,1013.0,84.5,16782.0,6575.0,276.0,319.0,86.5,473.0,523.0,90.4,102.0,159.0,64.2,0.0,0.2,0.5,-0.2,4.0,43.0,5.0,0.0,66.0,1013.0,990.0,23.0,21.0,1.0,10.0,4.0,1.0,1.0,1.0,0.0,0.0,856.0,0.0,2.0,10.0,0.49,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,13.0,5.0,0.0,9.0,18.0,50.0,9.0,20.0,16.0,4.0,33.0,51.0,87.0,1.0,1196.0,180.0,697.0,480.0,28.0,7.0,1196.0,10.0,10.0,100.0,0.0,0.0,661.0,3276.0,1859.0,8.0,9.0,1.0,5.0,5.0,738.0,1.0,22,1838.0,84.0,72.9,20.4,22,84.0,19.0,0,,3,1.18,27.0,31.0,-4.0,-0.2,-0.33,23.5,35.2,-11.8,-0.58,-0.18,3.0,1.0,0.0,27.0,11.0,2.0,4.0,33.0,9.0,0.0,0.0,0.0,106.0,62.0,42.0,59.6
Haris Belkebla,dz ALG,MF,25.0,20.2,0.0,7.0,3.0,42.9,0.35,0.15,0.0,0.0,23.0,0.0,0.0,0.0,0.7,0.7,0.1,-0.7,-0.7,730.0,851.0,85.8,12997.0,3333.0,313.0,343.0,91.3,339.0,377.0,89.9,67.0,90.0,74.4,0.0,0.5,0.4,-0.5,9.0,70.0,4.0,0.0,77.0,851.0,834.0,17.0,17.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,16.0,25.0,1.24,21.0,0.0,0.0,1.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,44.0,24.0,17.0,17.0,10.0,10.0,28.0,35.7,18.0,25.0,5.0,20.0,53.0,97.0,21.0,2.0,1060.0,54.0,269.0,663.0,144.0,9.0,1060.0,25.0,18.0,72.0,7.0,28.0,615.0,3159.0,1457.0,18.0,16.0,1.0,22.0,19.0,704.0,22.0,23,1816.0,79.0,72.1,20.2,20,88.0,18.0,3,22.0,1,1.13,20.0,22.0,-2.0,-0.1,0.03,21.1,32.7,-11.6,-0.57,-0.16,4.0,0.0,0.0,29.0,33.0,1.0,4.0,53.0,24.0,0.0,0.0,0.0,116.0,13.0,30.0,30.2
Romain Perraud,fr FRA,DF,21.0,18.6,0.0,22.0,4.0,18.2,1.19,0.22,0.0,0.0,24.0,1.0,0.0,0.0,1.1,1.1,0.05,-1.1,-1.1,889.0,1159.0,76.7,14015.0,5195.0,507.0,573.0,88.5,317.0,397.0,79.8,55.0,126.0,43.7,1.0,1.3,1.6,-0.3,16.0,51.0,14.0,13.0,83.0,1159.0,880.0,276.0,28.0,0.0,8.0,59.0,248.0,0.0,0.0,0.0,0.0,889.0,3.0,44.0,32.0,1.72,28.0,2.0,1.0,0.0,0.0,1.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,29.0,14.0,18.0,9.0,2.0,14.0,28.0,50.0,14.0,24.0,9.0,15.0,27.0,56.0,50.0,0.0,1392.0,63.0,468.0,621.0,315.0,19.0,1392.0,21.0,12.0,57.1,9.0,42.9,661.0,3504.0,1796.0,45.0,23.0,5.0,36.0,19.0,763.0,85.0,20,1670.0,84.0,66.3,18.6,19,88.0,18.0,1,4.0,5,1.15,20.0,28.0,-8.0,-0.43,-0.96,18.2,32.2,-13.9,-0.75,-0.66,1.0,0.0,0.0,22.0,30.0,1.0,59.0,27.0,14.0,0.0,0.0,0.0,98.0,12.0,30.0,28.6
Ibrahima Diallo,fr FRA,MF,20.0,17.3,0.0,5.0,2.0,40.0,0.29,0.12,0.0,0.0,28.2,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,732.0,858.0,85.3,14547.0,3372.0,238.0,281.0,84.7,399.0,435.0,91.7,89.0,115.0,77.4,1.0,0.7,0.6,0.3,10.0,55.0,4.0,0.0,69.0,858.0,837.0,20.0,20.0,4.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,732.0,1.0,16.0,19.0,1.1,18.0,0.0,1.0,0.0,0.0,0.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,15.0,22.0,1.0,12.0,29.0,41.4,17.0,9.0,2.0,7.0,23.0,61.0,16.0,3.0,992.0,40.0,288.0,635.0,84.0,4.0,992.0,32.0,26.0,81.3,6.0,18.8,617.0,3567.0,1781.0,24.0,11.0,1.0,23.0,22.0,656.0,18.0,19,1561.0,82.0,61.9,17.3,18,86.0,15.0,1,6.0,1,1.16,19.0,26.0,-7.0,-0.4,-0.78,17.4,31.9,-14.5,-0.84,-0.81,2.0,0.0,0.0,18.0,22.0,0.0,6.0,23.0,24.0,0.0,0.0,0.0,145.0,15.0,11.0,57.7
Yoann Court,fr FRA,"FW,MF",29.0,16.3,3.0,34.0,11.0,32.4,2.09,0.68,0.09,0.27,22.2,2.0,0.0,0.0,1.8,1.8,0.05,1.2,1.2,371.0,554.0,67.0,6240.0,1901.0,200.0,258.0,77.5,110.0,156.0,70.5,48.0,94.0,51.1,7.0,2.7,1.5,4.3,17.0,43.0,15.0,4.0,65.0,554.0,502.0,48.0,15.0,1.0,8.0,70.0,5.0,28.0,18.0,6.0,0.0,371.0,4.0,20.0,48.0,2.95,31.0,6.0,1.0,2.0,5.0,3.0,10.0,0.61,6.0,2.0,0.0,1.0,0.0,1.0,48.0,26.0,28.0,17.0,3.0,20.0,64.0,31.3,44.0,21.0,0.0,21.0,15.0,63.0,14.0,0.0,767.0,14.0,128.0,336.0,314.0,34.0,767.0,23.0,12.0,52.2,11.0,47.8,422.0,2145.0,1054.0,33.0,25.0,2.0,43.0,28.0,503.0,95.0,23,1465.0,64.0,58.1,16.3,18,77.0,6.0,5,14.0,0,1.17,20.0,22.0,-2.0,-0.12,-0.04,15.0,24.5,-9.5,-0.58,-0.13,6.0,0.0,0.0,23.0,22.0,6.0,70.0,15.0,26.0,1.0,0.0,0.0,64.0,11.0,21.0,34.4
Samuel Grandsir,fr FRA,"FW,MF",22.0,16.6,3.0,28.0,9.0,32.1,1.69,0.54,0.11,0.33,15.8,0.0,0.0,0.0,2.4,2.4,0.09,0.6,0.6,363.0,528.0,68.8,5319.0,1249.0,219.0,263.0,83.3,106.0,158.0,67.1,21.0,50.0,42.0,1.0,1.9,1.7,-0.9,20.0,30.0,15.0,6.0,54.0,528.0,517.0,7.0,2.0,3.0,7.0,59.0,3.0,1.0,0.0,0.0,0.0,363.0,4.0,22.0,46.0,2.77,42.0,0.0,0.0,2.0,2.0,0.0,4.0,0.24,4.0,0.0,0.0,0.0,0.0,0.0,34.0,22.0,13.0,16.0,5.0,11.0,30.0,36.7,19.0,9.0,0.0,9.0,14.0,48.0,5.0,0.0,742.0,11.0,107.0,307.0,337.0,51.0,742.0,50.0,24.0,48.0,26.0,52.0,500.0,3711.0,1786.0,63.0,41.0,14.0,58.0,35.0,571.0,162.0,24,1492.0,62.0,59.2,16.6,17,77.0,2.0,7,26.0,2,1.08,19.0,23.0,-4.0,-0.24,-0.33,19.3,25.4,-6.1,-0.37,0.39,0.0,0.0,0.0,19.0,17.0,6.0,59.0,14.0,22.0,0.0,0.0,0.0,72.0,5.0,24.0,17.2
Cristian Battocchio,it ITA,MF,27.0,15.5,3.0,19.0,6.0,31.6,1.23,0.39,0.16,0.5,28.1,4.0,0.0,1.0,1.7,1.0,0.05,1.3,2.0,678.0,864.0,78.5,13037.0,4005.0,266.0,307.0,86.6,294.0,357.0,82.4,102.0,168.0,60.7,1.0,1.7,1.6,-0.7,19.0,68.0,10.0,0.0,99.0,864.0,782.0,81.0,40.0,2.0,13.0,44.0,11.0,29.0,15.0,8.0,1.0,678.0,1.0,8.0,38.0,2.46,19.0,13.0,0.0,2.0,2.0,2.0,4.0,0.26,1.0,1.0,0.0,0.0,1.0,1.0,31.0,24.0,13.0,13.0,5.0,14.0,36.0,38.9,22.0,13.0,4.0,9.0,19.0,50.0,21.0,0.0,991.0,39.0,242.0,559.0,205.0,17.0,990.0,14.0,7.0,50.0,7.0,50.0,450.0,1956.0,1061.0,10.0,11.0,1.0,13.0,10.0,609.0,40.0,24,1392.0,58.0,55.2,15.5,16,81.0,9.0,8,11.0,2,1.38,22.0,21.0,1.0,0.06,0.38,20.4,23.2,-2.8,-0.18,0.77,1.0,0.0,0.0,9.0,7.0,0.0,44.0,19.0,24.0,1.0,0.0,0.0,103.0,9.0,19.0,32.1
