player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Anthony Lopes,pt POR,GK,28.0,26.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,687.0,821.0,83.7,17305.0,11881.0,130.0,130.0,100.0,371.0,373.0,99.5,184.0,316.0,58.2,0.0,0.2,0.0,-0.2,1.0,2.0,1.0,0.0,2.0,821.0,588.0,233.0,45.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,687.0,0.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,871.0,773.0,861.0,10.0,0.0,0.0,871.0,0.0,0.0,,0.0,,462.0,2343.0,1571.0,0.0,1.0,1.0,1.0,0.0,387.0,0.0,26,2340.0,90.0,92.9,26.0,26,90.0,26.0,0,,0,1.42,38.0,25.0,13.0,0.5,-0.5,35.1,25.1,10.0,0.39,0.12,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,4.0,0.0,100.0
Moussa Dembélé,fr FRA,FW,23.0,24.3,16.0,51.0,21.0,41.2,2.1,0.86,0.24,0.57,14.6,0.0,4.0,5.0,11.5,7.5,0.15,4.5,4.5,304.0,438.0,69.4,3932.0,575.0,192.0,258.0,74.4,70.0,94.0,74.5,17.0,24.0,70.8,2.0,1.6,1.3,0.4,22.0,14.0,12.0,0.0,27.0,438.0,417.0,20.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,304.0,1.0,15.0,44.0,1.81,32.0,0.0,4.0,3.0,5.0,0.0,6.0,0.25,5.0,0.0,0.0,0.0,1.0,0.0,12.0,7.0,2.0,5.0,5.0,4.0,14.0,28.6,10.0,14.0,3.0,11.0,5.0,17.0,31.0,0.0,751.0,33.0,64.0,323.0,375.0,113.0,746.0,60.0,24.0,40.0,36.0,60.0,452.0,2419.0,1030.0,38.0,23.0,21.0,94.0,58.0,578.0,134.0,27,2188.0,81.0,86.8,24.3,24,88.0,20.0,3,26.0,1,1.44,38.0,23.0,15.0,0.62,0.62,34.7,23.6,11.1,0.46,0.6,3.0,0.0,0.0,43.0,24.0,11.0,5.0,5.0,7.0,2.0,0.0,0.0,47.0,68.0,75.0,47.6
Jason Denayer,be BEL,DF,24.0,23.7,0.0,5.0,2.0,40.0,0.21,0.08,0.0,0.0,8.7,0.0,0.0,0.0,0.7,0.7,0.15,-0.7,-0.7,1509.0,1605.0,94.0,29854.0,9925.0,446.0,472.0,94.5,901.0,925.0,97.4,152.0,192.0,79.2,1.0,0.1,0.5,0.9,3.0,45.0,2.0,1.0,71.0,1605.0,1560.0,45.0,43.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1509.0,0.0,1.0,12.0,0.51,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,12.0,5.0,0.0,10.0,14.0,71.4,4.0,32.0,29.0,3.0,20.0,37.0,83.0,0.0,1777.0,169.0,827.0,930.0,30.0,11.0,1777.0,11.0,9.0,81.8,2.0,18.2,1209.0,6763.0,4168.0,15.0,11.0,0.0,7.0,3.0,1354.0,3.0,25,2131.0,85.0,84.6,23.7,24,89.0,22.0,1,0.0,1,1.52,37.0,22.0,15.0,0.63,0.63,30.8,23.0,7.8,0.33,-0.3,0.0,0.0,0.0,9.0,1.0,0.0,1.0,20.0,13.0,0.0,0.0,0.0,123.0,40.0,32.0,55.6
Houssem Aouar,fr FRA,"MF,FW",21.0,21.7,3.0,46.0,18.0,39.1,2.12,0.83,0.07,0.17,20.0,2.0,0.0,0.0,3.7,3.7,0.08,-0.7,-0.7,910.0,1082.0,84.1,13987.0,3261.0,513.0,570.0,90.0,294.0,340.0,86.5,71.0,95.0,74.7,4.0,2.3,2.4,1.7,24.0,101.0,25.0,0.0,134.0,1082.0,1030.0,51.0,21.0,5.0,7.0,24.0,5.0,9.0,4.0,4.0,0.0,910.0,1.0,16.0,85.0,3.91,53.0,2.0,11.0,7.0,8.0,4.0,11.0,0.51,9.0,0.0,1.0,1.0,0.0,0.0,28.0,12.0,6.0,18.0,4.0,10.0,35.0,28.6,25.0,15.0,1.0,14.0,13.0,41.0,11.0,0.0,1361.0,10.0,111.0,835.0,446.0,72.0,1361.0,112.0,67.0,59.8,45.0,40.2,924.0,5915.0,3217.0,105.0,78.0,28.0,52.0,38.0,1077.0,127.0,25,1956.0,78.0,77.6,21.7,23,84.0,14.0,2,14.0,1,1.32,30.0,23.0,7.0,0.32,-0.95,28.6,22.3,6.3,0.29,-0.39,3.0,0.0,0.0,24.0,42.0,2.0,24.0,13.0,12.0,0.0,0.0,0.0,120.0,17.0,12.0,58.6
Thiago Mendes,br BRA,MF,27.0,20.1,0.0,26.0,3.0,11.5,1.29,0.15,0.0,0.0,26.0,0.0,0.0,0.0,1.2,1.2,0.05,-1.2,-1.2,1004.0,1174.0,85.5,17149.0,4963.0,504.0,541.0,93.2,367.0,416.0,88.2,102.0,154.0,66.2,6.0,1.4,1.2,4.6,23.0,120.0,18.0,3.0,129.0,1174.0,1136.0,38.0,26.0,5.0,13.0,9.0,8.0,4.0,0.0,2.0,0.0,1004.0,0.0,15.0,44.0,2.19,38.0,3.0,0.0,3.0,0.0,0.0,9.0,0.45,9.0,0.0,0.0,0.0,0.0,0.0,43.0,29.0,20.0,19.0,4.0,21.0,45.0,46.7,24.0,21.0,7.0,14.0,46.0,89.0,36.0,0.0,1403.0,45.0,256.0,920.0,236.0,5.0,1403.0,14.0,8.0,57.1,6.0,42.9,822.0,3169.0,1457.0,14.0,21.0,0.0,27.0,23.0,969.0,28.0,22,1812.0,82.0,71.9,20.1,21,85.0,15.0,1,24.0,0,1.36,33.0,20.0,13.0,0.65,0.39,25.8,19.9,5.9,0.29,-0.29,4.0,1.0,1.0,21.0,19.0,0.0,9.0,46.0,29.0,0.0,1.0,0.0,135.0,13.0,9.0,59.1
Lucas Tousart,fr FRA,MF,22.0,19.6,2.0,28.0,11.0,39.3,1.43,0.56,0.07,0.18,23.8,0.0,0.0,0.0,2.1,2.1,0.07,-0.1,-0.1,796.0,947.0,84.1,14089.0,3346.0,332.0,378.0,87.8,354.0,401.0,88.3,82.0,113.0,72.6,2.0,0.7,0.7,1.3,10.0,58.0,5.0,3.0,83.0,947.0,930.0,17.0,16.0,3.0,11.0,13.0,0.0,1.0,0.0,0.0,0.0,796.0,0.0,15.0,30.0,1.53,20.0,1.0,1.0,3.0,2.0,3.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,58.0,32.0,19.0,34.0,5.0,17.0,56.0,30.4,39.0,19.0,7.0,12.0,31.0,89.0,27.0,1.0,1198.0,38.0,268.0,764.0,173.0,27.0,1198.0,24.0,15.0,62.5,9.0,37.5,668.0,3517.0,1652.0,15.0,16.0,0.0,31.0,9.0,757.0,32.0,24,1763.0,73.0,70.0,19.6,19,87.0,16.0,5,23.0,2,1.5,30.0,21.0,9.0,0.46,-0.25,26.0,18.5,7.4,0.38,0.01,5.0,0.0,0.0,37.0,18.0,1.0,13.0,31.0,32.0,0.0,0.0,0.0,115.0,46.0,40.0,53.5
Joachim Andersen,dk DEN,DF,23.0,17.0,1.0,10.0,1.0,10.0,0.59,0.06,0.1,1.0,16.1,0.0,0.0,0.0,0.9,0.9,0.09,0.1,0.1,1195.0,1333.0,89.6,24785.0,7496.0,312.0,345.0,90.4,721.0,756.0,95.4,152.0,209.0,72.7,0.0,0.2,0.2,-0.2,4.0,57.0,2.0,0.0,79.0,1333.0,1303.0,27.0,26.0,2.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,1195.0,3.0,3.0,16.0,0.94,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,15.0,2.0,0.0,7.0,19.0,36.8,12.0,16.0,12.0,4.0,10.0,27.0,74.0,2.0,1480.0,166.0,729.0,721.0,32.0,13.0,1480.0,3.0,3.0,100.0,0.0,0.0,905.0,4909.0,3029.0,6.0,5.0,0.0,3.0,2.0,1105.0,1.0,18,1531.0,85.0,60.8,17.0,17,90.0,17.0,1,0.0,10,1.56,29.0,17.0,12.0,0.71,0.43,22.6,18.5,4.1,0.24,-0.34,3.0,0.0,0.0,17.0,3.0,0.0,1.0,10.0,9.0,0.0,1.0,0.0,84.0,50.0,22.0,69.4
Marcelo,br BRA,DF,32.0,16.7,0.0,8.0,2.0,25.0,0.48,0.12,0.0,0.0,10.4,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7,997.0,1171.0,85.1,20506.0,6838.0,283.0,312.0,90.7,580.0,627.0,92.5,122.0,204.0,59.8,0.0,0.0,0.2,0.0,1.0,61.0,0.0,0.0,81.0,1171.0,1131.0,38.0,36.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,997.0,2.0,6.0,12.0,0.72,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,18.0,8.0,1.0,16.0,23.0,69.6,7.0,12.0,11.0,1.0,22.0,49.0,77.0,0.0,1341.0,120.0,566.0,741.0,38.0,19.0,1341.0,0.0,0.0,,0.0,,826.0,3997.0,2334.0,4.0,9.0,0.0,2.0,1.0,912.0,4.0,17,1503.0,88.0,59.6,16.7,17,88.0,15.0,0,,10,1.18,18.0,15.0,3.0,0.18,-0.88,22.9,14.3,8.6,0.52,0.34,4.0,0.0,0.0,13.0,9.0,0.0,1.0,22.0,18.0,0.0,0.0,0.0,91.0,69.0,27.0,71.9
Leo Dubois,fr FRA,DF,24.0,15.0,0.0,5.0,0.0,0.0,0.33,0.0,0.0,,24.4,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,758.0,964.0,78.6,12408.0,4473.0,391.0,440.0,88.9,282.0,350.0,80.6,67.0,119.0,56.3,0.0,1.2,1.6,-1.2,13.0,49.0,12.0,6.0,68.0,964.0,794.0,167.0,11.0,0.0,4.0,59.0,155.0,1.0,0.0,0.0,0.0,758.0,3.0,15.0,27.0,1.82,22.0,2.0,2.0,0.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,20.0,9.0,3.0,13.0,22.0,59.1,9.0,12.0,4.0,8.0,18.0,50.0,34.0,1.0,1109.0,45.0,285.0,585.0,251.0,9.0,1109.0,21.0,11.0,52.4,10.0,47.6,618.0,2905.0,1582.0,27.0,23.0,3.0,20.0,5.0,689.0,76.0,16,1346.0,84.0,53.4,15.0,15,89.0,14.0,1,17.0,0,1.63,24.0,12.0,12.0,0.8,0.57,19.4,14.3,5.1,0.35,-0.07,3.0,0.0,0.0,17.0,11.0,1.0,59.0,18.0,23.0,0.0,0.0,0.0,74.0,19.0,6.0,76.0
Maxwel Cornet,ci CIV,"FW,DF",22.0,14.8,4.0,24.0,13.0,54.2,1.62,0.88,0.17,0.31,17.2,3.0,0.0,0.0,2.1,2.1,0.09,1.9,1.9,500.0,710.0,70.4,7287.0,2335.0,297.0,352.0,84.4,143.0,204.0,70.1,33.0,76.0,43.4,3.0,3.4,2.4,-0.4,29.0,22.0,23.0,12.0,49.0,710.0,618.0,91.0,13.0,1.0,3.0,79.0,51.0,26.0,17.0,5.0,0.0,500.0,1.0,27.0,45.0,3.05,30.0,9.0,3.0,3.0,0.0,0.0,6.0,0.41,3.0,0.0,2.0,1.0,0.0,0.0,30.0,19.0,18.0,8.0,4.0,13.0,23.0,56.5,10.0,16.0,1.0,15.0,21.0,51.0,19.0,1.0,887.0,24.0,155.0,368.0,374.0,40.0,887.0,34.0,19.0,55.9,15.0,44.1,520.0,3140.0,1851.0,61.0,40.0,18.0,27.0,21.0,569.0,159.0,22,1330.0,60.0,52.8,14.8,14,85.0,9.0,8,17.0,2,1.41,17.0,16.0,1.0,0.07,-0.99,19.0,14.0,5.0,0.34,-0.08,1.0,0.0,0.0,15.0,29.0,2.0,79.0,21.0,19.0,0.0,0.0,0.0,88.0,16.0,17.0,48.5
