player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alban Lafont,fr FRA,GK,20.0,27.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,552.0,886.0,62.3,16508.0,12781.0,96.0,100.0,96.0,246.0,250.0,98.4,210.0,531.0,39.5,0.0,0.0,0.1,0.0,0.0,14.0,0.0,0.0,0.0,886.0,615.0,267.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,4.0,2.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,946.0,761.0,941.0,5.0,0.0,0.0,946.0,0.0,0.0,,0.0,,450.0,2171.0,1276.0,0.0,0.0,0.0,1.0,0.0,400.0,0.0,27,2430.0,90.0,96.4,27.0,27,90.0,27.0,0,,0,1.37,27.0,29.0,-2.0,-0.07,0.93,27.5,27.8,-0.3,-0.01,0.92,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,44.0,11.0,0.0,100.0
Andrei Girotto,br BRA,DF,27.0,24.2,1.0,22.0,5.0,22.7,0.91,0.21,0.05,0.2,19.8,0.0,0.0,0.0,1.3,1.3,0.06,-0.3,-0.3,1049.0,1242.0,84.5,19440.0,7888.0,381.0,424.0,89.9,553.0,608.0,91.0,90.0,161.0,55.9,0.0,0.4,0.6,-0.4,3.0,51.0,4.0,2.0,65.0,1242.0,1197.0,42.0,42.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1049.0,3.0,11.0,12.0,0.5,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,53.0,45.0,29.0,2.0,39.0,71.0,54.9,32.0,32.0,17.0,15.0,34.0,110.0,111.0,1.0,1532.0,152.0,775.0,711.0,58.0,24.0,1532.0,4.0,2.0,50.0,2.0,50.0,776.0,3624.0,1993.0,9.0,8.0,1.0,13.0,1.0,883.0,2.0,25,2177.0,87.0,86.4,24.2,25,87.0,23.0,0,,0,1.44,24.0,24.0,0.0,0.0,0.79,27.2,26.1,1.0,0.04,0.64,6.0,1.0,1.0,31.0,17.0,2.0,4.0,34.0,53.0,0.0,0.0,0.0,131.0,65.0,49.0,57.0
Moses Simon,ng NGA,"FW,MF",24.0,24.2,5.0,43.0,18.0,41.9,1.78,0.74,0.12,0.28,15.5,0.0,0.0,0.0,6.6,6.6,0.15,-1.6,-1.6,491.0,679.0,72.3,6479.0,1910.0,317.0,371.0,85.4,127.0,180.0,70.6,18.0,37.0,48.6,5.0,4.7,4.9,0.3,36.0,24.0,27.0,6.0,58.0,679.0,645.0,31.0,4.0,2.0,2.0,71.0,15.0,5.0,4.0,0.0,0.0,491.0,3.0,38.0,76.0,3.14,56.0,2.0,9.0,5.0,3.0,1.0,7.0,0.29,6.0,0.0,1.0,0.0,0.0,0.0,15.0,7.0,5.0,4.0,6.0,6.0,21.0,28.6,15.0,6.0,0.0,6.0,8.0,23.0,6.0,0.0,930.0,6.0,73.0,319.0,557.0,112.0,930.0,81.0,36.0,44.4,45.0,55.6,654.0,5292.0,3116.0,144.0,69.0,53.0,70.0,50.0,712.0,232.0,26,2177.0,84.0,86.4,24.2,25,86.0,19.0,1,17.0,0,1.38,25.0,26.0,-1.0,-0.04,0.48,27.2,27.3,-0.1,0.0,0.29,2.0,0.0,0.0,11.0,23.0,9.0,71.0,8.0,7.0,0.0,0.0,0.0,86.0,9.0,39.0,18.8
Abdoulaye Touré,fr FRA,MF,25.0,24.7,3.0,32.0,8.0,25.0,1.3,0.32,0.03,0.13,26.6,0.0,2.0,2.0,3.1,1.5,0.05,-0.1,-0.5,1122.0,1340.0,83.7,18650.0,4388.0,555.0,638.0,87.0,427.0,494.0,86.4,102.0,134.0,76.1,0.0,1.2,1.1,-1.2,17.0,108.0,8.0,0.0,130.0,1340.0,1324.0,13.0,12.0,1.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,1122.0,3.0,20.0,41.0,1.66,24.0,0.0,5.0,5.0,6.0,1.0,2.0,0.08,1.0,0.0,1.0,0.0,0.0,0.0,32.0,21.0,10.0,21.0,1.0,10.0,30.0,33.3,20.0,31.0,11.0,20.0,29.0,61.0,18.0,1.0,1608.0,43.0,281.0,1080.0,269.0,20.0,1606.0,44.0,31.0,70.5,13.0,29.5,922.0,4623.0,1995.0,34.0,28.0,5.0,39.0,32.0,1171.0,30.0,27,2221.0,82.0,88.1,24.7,24,89.0,22.0,3,29.0,0,1.37,23.0,24.0,-1.0,-0.04,0.56,26.9,24.5,2.4,0.1,1.19,3.0,0.0,0.0,31.0,53.0,0.0,10.0,29.0,21.0,0.0,1.0,0.0,181.0,37.0,39.0,48.7
Imran Louza,ma MAR,"MF,FW",20.0,22.3,2.0,35.0,14.0,40.0,1.57,0.63,0.06,0.14,25.7,3.0,0.0,0.0,1.7,1.7,0.05,0.3,0.3,878.0,1155.0,76.0,14325.0,3780.0,467.0,535.0,87.3,294.0,365.0,80.5,86.0,186.0,46.2,2.0,4.2,2.7,-2.2,35.0,79.0,14.0,3.0,100.0,1155.0,1021.0,126.0,48.0,4.0,17.0,78.0,6.0,55.0,19.0,25.0,1.0,878.0,8.0,9.0,74.0,3.32,50.0,15.0,3.0,1.0,3.0,2.0,5.0,0.22,5.0,0.0,0.0,0.0,0.0,0.0,53.0,27.0,18.0,27.0,8.0,19.0,46.0,41.3,27.0,18.0,2.0,16.0,17.0,70.0,7.0,0.0,1375.0,13.0,178.0,767.0,445.0,29.0,1375.0,39.0,23.0,59.0,16.0,41.0,748.0,4149.0,1879.0,31.0,40.0,3.0,43.0,25.0,938.0,103.0,24,2009.0,84.0,79.7,22.3,22,89.0,17.0,2,24.0,2,1.42,24.0,27.0,-3.0,-0.13,-0.13,23.9,25.7,-1.8,-0.08,-0.17,4.0,0.0,0.0,46.0,33.0,0.0,78.0,17.0,27.0,0.0,1.0,0.0,121.0,20.0,58.0,25.6
Ludovic Blas,fr FRA,"FW,MF",21.0,20.5,5.0,46.0,19.0,41.3,2.24,0.93,0.11,0.26,22.3,0.0,0.0,0.0,4.0,4.0,0.09,1.0,1.0,527.0,676.0,78.0,8810.0,2127.0,272.0,328.0,82.9,193.0,223.0,86.5,49.0,74.0,66.2,1.0,1.6,1.7,-0.6,24.0,55.0,22.0,3.0,92.0,676.0,654.0,19.0,4.0,2.0,15.0,11.0,3.0,0.0,0.0,0.0,0.0,527.0,3.0,22.0,64.0,3.12,48.0,0.0,9.0,2.0,2.0,3.0,6.0,0.29,4.0,0.0,1.0,0.0,0.0,1.0,26.0,18.0,7.0,15.0,4.0,5.0,26.0,19.2,21.0,17.0,1.0,16.0,14.0,40.0,11.0,0.0,950.0,6.0,96.0,522.0,358.0,44.0,950.0,102.0,59.0,57.8,43.0,42.2,607.0,4578.0,1875.0,53.0,61.0,15.0,59.0,39.0,698.0,112.0,24,1845.0,77.0,73.2,20.5,22,82.0,7.0,2,20.0,0,1.25,18.0,27.0,-9.0,-0.44,-1.24,21.2,24.5,-3.2,-0.16,-0.42,0.0,0.0,0.0,26.0,27.0,1.0,11.0,14.0,18.0,0.0,0.0,0.0,103.0,17.0,35.0,32.7
Nicolas Pallois,fr FRA,DF,31.0,21.0,0.0,14.0,3.0,21.4,0.67,0.14,0.0,0.0,14.0,1.0,0.0,0.0,1.3,1.3,0.09,-1.3,-1.3,896.0,1080.0,83.0,18377.0,6756.0,274.0,306.0,89.5,491.0,548.0,89.6,122.0,198.0,61.6,0.0,0.1,0.2,-0.1,2.0,44.0,1.0,0.0,68.0,1080.0,1017.0,60.0,55.0,0.0,16.0,2.0,5.0,0.0,0.0,0.0,0.0,896.0,3.0,6.0,21.0,1.0,15.0,0.0,1.0,2.0,2.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,47.0,36.0,28.0,17.0,2.0,31.0,55.0,56.4,24.0,18.0,13.0,5.0,40.0,87.0,77.0,1.0,1306.0,115.0,598.0,685.0,45.0,18.0,1306.0,28.0,21.0,75.0,7.0,25.0,715.0,4206.0,2479.0,15.0,14.0,1.0,8.0,7.0,709.0,1.0,21,1890.0,90.0,75.0,21.0,21,90.0,21.0,0,,0,1.52,19.0,20.0,-1.0,-0.05,0.24,22.4,21.4,1.0,0.05,0.37,10.0,0.0,0.0,20.0,19.0,2.0,2.0,40.0,36.0,0.0,0.0,0.0,175.0,44.0,30.0,59.5
Mehdi Abeid,dz ALG,MF,26.0,20.2,1.0,33.0,7.0,21.2,1.63,0.35,0.03,0.14,25.1,3.0,0.0,0.0,1.5,1.5,0.04,-0.5,-0.5,792.0,967.0,81.9,12997.0,3634.0,392.0,426.0,92.0,313.0,354.0,88.4,59.0,128.0,46.1,2.0,1.8,1.7,0.2,27.0,80.0,6.0,2.0,104.0,967.0,870.0,93.0,38.0,1.0,10.0,63.0,5.0,50.0,24.0,15.0,1.0,792.0,4.0,15.0,53.0,2.63,30.0,16.0,1.0,3.0,1.0,2.0,4.0,0.2,2.0,1.0,0.0,1.0,0.0,0.0,55.0,29.0,18.0,32.0,5.0,20.0,53.0,37.7,33.0,16.0,3.0,13.0,23.0,78.0,8.0,1.0,1159.0,14.0,163.0,766.0,249.0,17.0,1159.0,23.0,16.0,69.6,7.0,30.4,650.0,3350.0,1494.0,25.0,24.0,3.0,24.0,21.0,754.0,42.0,25,1817.0,73.0,72.1,20.2,20,85.0,15.0,5,22.0,1,1.44,20.0,25.0,-5.0,-0.25,-0.5,20.8,25.4,-4.5,-0.22,-0.65,5.0,0.0,0.0,55.0,43.0,1.0,63.0,23.0,29.0,0.0,1.0,0.0,153.0,13.0,17.0,43.3
Charles Traore,ml MLI,DF,27.0,19.3,0.0,5.0,0.0,0.0,0.26,0.0,0.0,,28.1,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,815.0,1112.0,73.3,13468.0,6077.0,400.0,469.0,85.3,355.0,476.0,74.6,54.0,131.0,41.2,1.0,0.3,1.0,0.7,9.0,78.0,15.0,4.0,81.0,1112.0,881.0,228.0,23.0,0.0,4.0,33.0,205.0,0.0,0.0,0.0,0.0,815.0,3.0,15.0,24.0,1.24,19.0,2.0,1.0,1.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,48.0,35.0,27.0,19.0,2.0,36.0,61.0,59.0,25.0,21.0,4.0,17.0,39.0,87.0,64.0,0.0,1333.0,70.0,432.0,696.0,217.0,4.0,1333.0,20.0,13.0,65.0,7.0,35.0,576.0,2651.0,1414.0,22.0,14.0,2.0,14.0,6.0,682.0,23.0,20,1738.0,87.0,69.0,19.3,20,87.0,16.0,0,,0,1.2,20.0,21.0,-1.0,-0.05,0.18,20.2,23.0,-2.8,-0.14,-0.32,3.0,0.0,0.0,21.0,20.0,0.0,33.0,39.0,35.0,0.0,0.0,0.0,105.0,38.0,25.0,60.3
Kalifa Coulibaly,ml MLI,FW,27.0,18.0,4.0,48.0,19.0,39.6,2.67,1.06,0.08,0.21,13.1,0.0,0.0,0.0,6.1,6.1,0.13,-2.1,-2.1,185.0,337.0,54.9,2140.0,472.0,123.0,212.0,58.0,38.0,75.0,50.7,6.0,13.0,46.2,0.0,0.6,1.0,-0.6,13.0,16.0,7.0,1.0,21.0,337.0,331.0,6.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,185.0,0.0,9.0,28.0,1.56,24.0,0.0,1.0,1.0,2.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,5.0,6.0,3.0,5.0,60.0,2.0,3.0,1.0,2.0,6.0,17.0,32.0,0.0,570.0,36.0,42.0,219.0,313.0,88.0,570.0,27.0,8.0,29.6,19.0,70.4,279.0,1380.0,542.0,23.0,12.0,17.0,63.0,39.0,455.0,124.0,21,1616.0,77.0,64.1,18.0,18,87.0,15.0,3,18.0,1,1.43,16.0,14.0,2.0,0.11,0.61,20.3,16.2,4.1,0.23,0.76,1.0,0.0,0.0,34.0,12.0,23.0,9.0,6.0,7.0,0.0,0.0,0.0,29.0,98.0,91.0,51.9
