player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ángel Di María,ar ARG,"FW,MF",31.0,22.2,8.0,72.0,22.0,30.6,3.24,0.99,0.1,0.32,21.0,8.0,1.0,2.0,8.3,6.7,0.09,-0.3,0.3,908.0,1292.0,70.3,14893.0,4760.0,483.0,554.0,87.2,267.0,375.0,71.2,109.0,220.0,49.5,14.0,14.5,11.0,-0.5,77.0,82.0,82.0,15.0,178.0,1292.0,1133.0,142.0,27.0,30.0,14.0,175.0,26.0,89.0,53.0,22.0,1.0,908.0,17.0,29.0,143.0,6.44,101.0,23.0,12.0,4.0,3.0,0.0,24.0,1.08,17.0,4.0,2.0,1.0,0.0,0.0,17.0,12.0,2.0,8.0,7.0,4.0,34.0,11.8,30.0,14.0,3.0,11.0,11.0,28.0,1.0,3.0,1584.0,4.0,81.0,635.0,883.0,117.0,1582.0,133.0,67.0,50.4,66.0,49.6,989.0,6153.0,3165.0,111.0,82.0,38.0,53.0,27.0,1219.0,275.0,26,2000.0,77.0,82.3,22.2,23,83.0,15.0,3,27.0,1,2.5,63.0,20.0,43.0,1.94,0.26,62.5,20.2,42.4,1.91,0.07,2.0,0.0,0.0,12.0,22.0,6.0,175.0,11.0,12.0,0.0,0.0,0.0,86.0,1.0,3.0,25.0
Keylor Navas,cr CRC,GK,32.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,470.0,543.0,86.6,10905.0,7362.0,108.0,108.0,100.0,255.0,259.0,98.5,107.0,175.0,61.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,543.0,382.0,160.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,576.0,520.0,573.0,3.0,0.0,0.0,576.0,0.0,0.0,,0.0,,286.0,1440.0,989.0,0.0,0.0,0.0,2.0,0.0,281.0,0.0,21,1890.0,90.0,77.8,21.0,21,90.0,21.0,0,,1,2.52,59.0,18.0,41.0,1.95,0.29,56.4,18.2,38.2,1.82,-0.33,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,100.0
Thiago Silva,br BRA,DF,34.0,17.5,0.0,6.0,2.0,33.3,0.34,0.11,0.0,0.0,12.8,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,1434.0,1505.0,95.3,26954.0,10249.0,524.0,536.0,97.8,751.0,779.0,96.4,141.0,161.0,87.6,0.0,0.0,0.4,0.0,0.0,91.0,6.0,0.0,99.0,1505.0,1465.0,38.0,31.0,1.0,16.0,2.0,6.0,0.0,0.0,0.0,0.0,1434.0,2.0,3.0,18.0,1.03,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,15.0,13.0,0.0,13.0,16.0,81.3,3.0,18.0,15.0,3.0,26.0,54.0,54.0,0.0,1654.0,144.0,552.0,1053.0,53.0,9.0,1654.0,3.0,2.0,66.7,1.0,33.3,979.0,4541.0,3063.0,10.0,14.0,0.0,5.0,2.0,1282.0,1.0,21,1571.0,75.0,64.7,17.5,20,76.0,13.0,1,50.0,0,2.67,45.0,11.0,34.0,1.95,0.17,45.3,13.2,32.0,1.84,-0.16,1.0,0.0,0.0,9.0,10.0,0.0,2.0,26.0,16.0,0.0,0.0,0.0,115.0,30.0,18.0,62.5
Idrissa Gana Gueye,sn SEN,MF,29.0,18.4,1.0,11.0,3.0,27.3,0.6,0.16,0.09,0.33,18.0,0.0,0.0,0.0,1.3,1.3,0.12,-0.3,-0.3,1452.0,1575.0,92.2,21096.0,6147.0,857.0,898.0,95.4,479.0,511.0,93.7,66.0,79.0,83.5,2.0,2.7,2.0,-0.7,23.0,135.0,13.0,1.0,175.0,1575.0,1557.0,16.0,16.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,1452.0,2.0,12.0,54.0,2.94,50.0,0.0,1.0,0.0,0.0,3.0,5.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,65.0,34.0,30.0,25.0,10.0,18.0,43.0,41.9,25.0,29.0,4.0,25.0,33.0,98.0,15.0,0.0,1810.0,33.0,244.0,1265.0,314.0,22.0,1810.0,40.0,21.0,52.5,19.0,47.5,1048.0,4935.0,2532.0,37.0,35.0,6.0,25.0,13.0,1405.0,27.0,20,1653.0,83.0,68.0,18.4,19,83.0,16.0,1,73.0,1,2.65,47.0,15.0,32.0,1.74,-0.46,49.4,16.0,33.4,1.82,-0.24,2.0,0.0,0.0,37.0,21.0,1.0,7.0,33.0,34.0,0.0,0.0,0.0,129.0,17.0,12.0,58.6
Kylian Mbappé,fr FRA,FW,20.0,16.8,18.0,87.0,49.0,56.3,5.18,2.91,0.21,0.37,14.2,0.0,0.0,0.0,15.6,15.6,0.18,2.4,2.4,501.0,661.0,75.8,6435.0,1454.0,325.0,390.0,83.3,120.0,165.0,72.7,22.0,34.0,64.7,5.0,9.5,8.8,-4.5,39.0,25.0,29.0,5.0,59.0,661.0,622.0,37.0,3.0,3.0,3.0,48.0,9.0,14.0,0.0,1.0,0.0,501.0,2.0,11.0,94.0,5.59,59.0,2.0,19.0,7.0,7.0,0.0,12.0,0.71,9.0,0.0,2.0,0.0,1.0,0.0,7.0,2.0,1.0,5.0,1.0,3.0,10.0,30.0,7.0,4.0,0.0,4.0,3.0,10.0,0.0,0.0,910.0,1.0,20.0,312.0,586.0,181.0,910.0,107.0,55.0,51.4,52.0,48.6,609.0,4649.0,2754.0,115.0,58.0,66.0,47.0,26.0,798.0,260.0,20,1513.0,76.0,62.3,16.8,17,85.0,12.0,3,21.0,0,2.6,54.0,16.0,38.0,2.26,0.98,52.1,15.4,36.7,2.18,0.77,0.0,0.0,0.0,11.0,22.0,18.0,48.0,3.0,2.0,1.0,0.0,0.0,33.0,4.0,4.0,50.0
Juan Bernat,es ESP,"DF,MF",26.0,15.4,0.0,6.0,1.0,16.7,0.39,0.06,0.0,0.0,14.2,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,1007.0,1130.0,89.1,13155.0,2730.0,663.0,702.0,94.4,295.0,328.0,89.9,14.0,27.0,51.9,4.0,3.1,2.7,0.9,14.0,44.0,14.0,2.0,63.0,1130.0,1007.0,119.0,13.0,0.0,0.0,24.0,106.0,0.0,0.0,0.0,0.0,1007.0,4.0,15.0,27.0,1.75,24.0,0.0,0.0,1.0,2.0,0.0,5.0,0.32,4.0,0.0,0.0,0.0,1.0,0.0,42.0,27.0,19.0,16.0,7.0,20.0,51.0,39.2,31.0,13.0,1.0,12.0,10.0,52.0,26.0,0.0,1290.0,37.0,258.0,693.0,349.0,47.0,1290.0,39.0,28.0,71.8,11.0,28.2,718.0,3380.0,1838.0,44.0,36.0,7.0,18.0,15.0,924.0,129.0,18,1388.0,77.0,57.1,15.4,16,85.0,12.0,2,16.0,2,2.28,42.0,15.0,27.0,1.75,-0.32,45.1,13.2,31.9,2.07,0.41,5.0,0.0,0.0,17.0,16.0,0.0,24.0,10.0,27.0,1.0,0.0,0.0,70.0,9.0,27.0,25.0
Marco Verratti,it ITA,MF,26.0,16.5,0.0,2.0,0.0,0.0,0.12,0.0,0.0,,6.3,0.0,0.0,0.0,0.3,0.3,0.15,-0.3,-0.3,1608.0,1744.0,92.2,23972.0,7654.0,910.0,952.0,95.6,497.0,530.0,93.8,115.0,149.0,77.2,5.0,3.1,3.4,1.9,27.0,153.0,42.0,5.0,186.0,1744.0,1669.0,74.0,51.0,11.0,6.0,11.0,22.0,1.0,0.0,0.0,0.0,1608.0,1.0,4.0,62.0,3.77,53.0,2.0,0.0,1.0,1.0,5.0,14.0,0.85,13.0,1.0,0.0,0.0,0.0,0.0,54.0,32.0,22.0,22.0,10.0,20.0,56.0,35.7,36.0,23.0,3.0,20.0,19.0,73.0,9.0,0.0,1880.0,40.0,272.0,1261.0,363.0,11.0,1880.0,29.0,25.0,86.2,4.0,13.8,1131.0,4763.0,2608.0,33.0,36.0,4.0,14.0,22.0,1524.0,43.0,20,1482.0,74.0,61.0,16.5,15,87.0,11.0,5,35.0,1,2.65,52.0,15.0,37.0,2.25,0.92,46.1,15.0,31.1,1.89,-0.01,6.0,0.0,0.0,26.0,33.0,0.0,11.0,19.0,32.0,0.0,0.0,0.0,123.0,8.0,9.0,47.1
Marquinhos,br BRA,"MF,DF",25.0,16.4,3.0,11.0,3.0,27.3,0.67,0.18,0.27,1.0,10.0,0.0,0.0,0.0,1.9,1.9,0.17,1.1,1.1,1218.0,1309.0,93.0,21650.0,6966.0,503.0,525.0,95.8,570.0,600.0,95.0,108.0,130.0,83.1,1.0,0.8,0.9,0.2,4.0,98.0,16.0,0.0,97.0,1309.0,1283.0,23.0,16.0,5.0,12.0,3.0,6.0,0.0,0.0,0.0,0.0,1218.0,3.0,4.0,24.0,1.46,21.0,1.0,0.0,2.0,0.0,0.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,39.0,20.0,17.0,18.0,4.0,11.0,26.0,42.3,15.0,25.0,8.0,17.0,25.0,64.0,31.0,1.0,1477.0,83.0,415.0,957.0,112.0,17.0,1477.0,9.0,7.0,77.8,2.0,22.2,865.0,3980.0,2180.0,8.0,15.0,1.0,8.0,10.0,1114.0,9.0,19,1476.0,78.0,60.7,16.4,15,90.0,15.0,4,31.0,0,2.32,46.0,14.0,32.0,1.95,0.16,50.6,13.3,37.3,2.27,0.97,1.0,0.0,0.0,19.0,6.0,0.0,3.0,25.0,20.0,0.0,0.0,0.0,128.0,37.0,34.0,52.1
Neymar,br BRA,"MF,FW",27.0,14.6,13.0,66.0,32.0,48.5,4.51,2.19,0.14,0.28,17.8,10.0,4.0,5.0,14.7,10.7,0.17,-1.7,-1.7,733.0,951.0,77.1,10867.0,3901.0,411.0,474.0,86.7,193.0,249.0,77.5,72.0,126.0,57.1,6.0,5.8,5.4,0.2,39.0,113.0,65.0,4.0,160.0,951.0,859.0,87.0,22.0,21.0,13.0,55.0,15.0,49.0,21.0,9.0,2.0,733.0,5.0,16.0,100.0,6.83,66.0,7.0,13.0,3.0,11.0,0.0,18.0,1.23,14.0,0.0,3.0,0.0,1.0,0.0,12.0,7.0,1.0,9.0,2.0,3.0,21.0,14.3,18.0,10.0,0.0,10.0,4.0,16.0,1.0,0.0,1235.0,0.0,75.0,582.0,605.0,98.0,1230.0,148.0,90.0,60.8,58.0,39.2,867.0,6326.0,3307.0,110.0,90.0,24.0,73.0,46.0,1042.0,159.0,15,1318.0,88.0,54.2,14.6,15,88.0,11.0,0,,0,2.67,40.0,11.0,29.0,1.98,0.2,38.9,11.2,27.8,1.9,0.01,4.0,1.0,1.0,14.0,62.0,1.0,55.0,4.0,7.0,1.0,0.0,0.0,57.0,1.0,4.0,20.0
Mauro Icardi,ar ARG,FW,26.0,14.1,12.0,36.0,20.0,55.6,2.56,1.42,0.33,0.6,9.8,0.0,0.0,0.0,11.7,11.7,0.33,0.3,0.3,147.0,175.0,84.0,1793.0,492.0,92.0,102.0,90.2,30.0,32.0,93.8,5.0,6.0,83.3,2.0,1.8,1.8,0.2,11.0,11.0,7.0,0.0,18.0,175.0,151.0,23.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,147.0,1.0,5.0,35.0,2.48,28.0,0.0,3.0,1.0,3.0,0.0,9.0,0.64,4.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,1.0,3.0,0.0,1.0,10.0,10.0,9.0,7.0,1.0,6.0,2.0,6.0,11.0,0.0,271.0,14.0,36.0,95.0,142.0,73.0,271.0,12.0,6.0,50.0,6.0,50.0,125.0,458.0,184.0,9.0,3.0,8.0,15.0,4.0,176.0,64.0,20,1267.0,63.0,52.1,14.1,14,83.0,7.0,6,17.0,1,2.65,47.0,16.0,31.0,2.2,0.65,42.8,13.3,29.4,2.09,0.41,0.0,0.0,0.0,12.0,9.0,12.0,5.0,2.0,2.0,1.0,0.0,0.0,28.0,10.0,14.0,41.7
