player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Denis Bouanga,ga GAB,"FW,MF",24.0,22.7,10.0,75.0,34.0,45.3,3.31,1.5,0.09,0.21,17.8,2.0,3.0,3.0,10.3,7.9,0.11,-0.3,-0.9,410.0,606.0,67.7,6110.0,1599.0,244.0,306.0,79.7,116.0,163.0,71.2,29.0,72.0,40.3,3.0,2.1,1.5,0.9,18.0,24.0,12.0,5.0,33.0,606.0,531.0,72.0,6.0,1.0,9.0,59.0,49.0,7.0,5.0,0.0,0.0,410.0,3.0,24.0,63.0,2.78,29.0,3.0,12.0,10.0,8.0,1.0,7.0,0.31,3.0,2.0,0.0,2.0,0.0,0.0,45.0,34.0,10.0,25.0,10.0,20.0,55.0,36.4,35.0,30.0,0.0,30.0,10.0,55.0,15.0,0.0,1028.0,20.0,141.0,461.0,454.0,104.0,1025.0,123.0,58.0,47.2,65.0,52.8,584.0,4532.0,2246.0,75.0,51.0,37.0,86.0,59.0,659.0,201.0,26,2042.0,79.0,81.0,22.7,23,85.0,16.0,3,31.0,0,1.15,26.0,34.0,-8.0,-0.35,1.15,25.5,33.3,-7.8,-0.34,-0.42,4.0,0.0,0.0,52.0,33.0,7.0,59.0,10.0,34.0,0.0,0.0,0.0,117.0,39.0,55.0,41.5
Stéphane Ruffier,fr FRA,GK,32.0,22.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,418.0,623.0,67.1,12012.0,9418.0,72.0,72.0,100.0,206.0,209.0,98.6,139.0,339.0,41.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,623.0,390.0,232.0,73.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,671.0,584.0,670.0,1.0,0.0,0.0,671.0,0.0,0.0,,0.0,,272.0,1673.0,1170.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,22,1980.0,90.0,78.6,22.0,22,90.0,22.0,0,,0,1.0,25.0,40.0,-15.0,-0.68,-0.52,26.6,30.7,-4.1,-0.19,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,1.0,50.0
Yann M'Vila,fr FRA,"MF,DF",29.0,21.6,0.0,9.0,3.0,33.3,0.42,0.14,0.0,0.0,23.0,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,1034.0,1207.0,85.7,19693.0,6758.0,436.0,488.0,89.3,427.0,467.0,91.4,149.0,204.0,73.0,2.0,1.0,0.7,1.0,10.0,110.0,4.0,0.0,116.0,1207.0,1182.0,23.0,22.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1034.0,2.0,13.0,25.0,1.16,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,29.0,14.0,12.0,16.0,1.0,12.0,43.0,27.9,31.0,14.0,4.0,10.0,40.0,69.0,47.0,1.0,1381.0,70.0,433.0,877.0,76.0,5.0,1381.0,6.0,5.0,83.3,1.0,16.7,629.0,3253.0,1400.0,4.0,8.0,0.0,13.0,11.0,913.0,8.0,23,1942.0,84.0,77.1,21.6,21,90.0,20.0,2,31.0,2,1.0,19.0,37.0,-18.0,-0.83,-1.15,22.0,32.1,-10.1,-0.47,-0.89,1.0,0.0,0.0,14.0,16.0,0.0,0.0,40.0,14.0,0.0,1.0,0.0,133.0,33.0,23.0,58.9
Mathieu Debuchy,fr FRA,DF,34.0,19.7,1.0,13.0,3.0,23.1,0.66,0.15,0.08,0.33,14.1,0.0,0.0,0.0,1.4,1.4,0.11,-0.4,-0.4,791.0,1100.0,71.9,12835.0,5576.0,424.0,505.0,84.0,285.0,376.0,75.8,62.0,159.0,39.0,1.0,1.0,1.0,0.0,13.0,59.0,14.0,8.0,89.0,1100.0,866.0,231.0,23.0,0.0,11.0,63.0,208.0,0.0,0.0,0.0,0.0,791.0,3.0,25.0,39.0,1.98,30.0,6.0,2.0,1.0,0.0,0.0,2.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,44.0,26.0,22.0,15.0,7.0,24.0,47.0,51.1,23.0,21.0,11.0,10.0,43.0,87.0,59.0,0.0,1344.0,75.0,442.0,618.0,294.0,18.0,1344.0,17.0,11.0,64.7,6.0,35.3,476.0,2663.0,1468.0,33.0,11.0,1.0,24.0,17.0,661.0,66.0,21,1769.0,84.0,70.2,19.7,20,88.0,18.0,1,6.0,4,1.1,22.0,34.0,-12.0,-0.61,-0.13,24.2,28.1,-4.0,-0.2,0.21,2.0,0.0,0.0,32.0,23.0,2.0,63.0,43.0,26.0,0.0,3.0,0.0,96.0,90.0,47.0,65.7
Loïc Perrin,fr FRA,DF,33.0,19.0,0.0,5.0,0.0,0.0,0.26,0.0,0.0,,13.8,0.0,0.0,0.0,0.6,0.6,0.12,-0.6,-0.6,966.0,1109.0,87.1,18643.0,7738.0,348.0,379.0,91.8,490.0,532.0,92.1,112.0,162.0,69.1,0.0,0.2,0.2,-0.2,4.0,41.0,3.0,0.0,65.0,1109.0,1060.0,43.0,40.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,966.0,6.0,5.0,13.0,0.68,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,16.0,11.0,0.0,11.0,14.0,78.6,3.0,23.0,17.0,6.0,39.0,66.0,59.0,0.0,1283.0,135.0,699.0,568.0,23.0,7.0,1283.0,2.0,2.0,100.0,0.0,0.0,654.0,3280.0,1945.0,5.0,7.0,0.0,2.0,4.0,799.0,1.0,21,1714.0,82.0,68.0,19.0,20,86.0,18.0,1,3.0,3,1.05,18.0,29.0,-11.0,-0.58,-0.02,22.2,25.9,-3.7,-0.19,0.22,5.0,0.0,0.0,23.0,11.0,1.0,1.0,39.0,20.0,0.0,0.0,0.0,126.0,59.0,48.0,55.1
Ryad Boudebouz,dz ALG,"MF,FW",29.0,17.7,1.0,25.0,5.0,20.0,1.41,0.28,0.0,0.0,24.5,5.0,1.0,1.0,2.2,1.4,0.06,-1.2,-1.4,693.0,965.0,71.8,12012.0,2907.0,328.0,389.0,84.3,220.0,301.0,73.1,105.0,200.0,52.5,4.0,4.5,3.7,-0.5,43.0,54.0,24.0,5.0,96.0,965.0,836.0,125.0,53.0,6.0,16.0,106.0,2.0,52.0,36.0,13.0,1.0,693.0,4.0,12.0,67.0,3.78,41.0,21.0,3.0,1.0,1.0,0.0,5.0,0.28,3.0,1.0,0.0,1.0,0.0,0.0,25.0,16.0,9.0,14.0,2.0,8.0,25.0,32.0,17.0,14.0,1.0,13.0,7.0,32.0,5.0,0.0,1126.0,5.0,92.0,600.0,443.0,20.0,1125.0,46.0,28.0,60.9,18.0,39.1,525.0,3502.0,1541.0,46.0,40.0,1.0,39.0,29.0,815.0,97.0,24,1597.0,67.0,63.4,17.7,20,76.0,8.0,4,19.0,2,1.0,16.0,26.0,-10.0,-0.56,0.02,17.3,23.8,-6.5,-0.37,-0.28,0.0,0.0,0.0,9.0,19.0,2.0,106.0,7.0,16.0,0.0,0.0,0.0,83.0,11.0,27.0,28.9
Miguel Trauco,pe PER,DF,26.0,16.4,1.0,12.0,2.0,16.7,0.73,0.12,0.08,0.5,20.4,1.0,0.0,0.0,0.9,0.9,0.08,0.1,0.1,620.0,844.0,73.5,9386.0,3736.0,353.0,408.0,86.5,215.0,285.0,75.4,32.0,89.0,36.0,2.0,1.1,0.7,0.9,9.0,45.0,11.0,2.0,68.0,844.0,665.0,177.0,13.0,0.0,8.0,26.0,159.0,5.0,4.0,1.0,0.0,620.0,2.0,17.0,23.0,1.4,15.0,3.0,3.0,2.0,0.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,16.0,12.0,4.0,19.0,44.0,43.2,25.0,8.0,1.0,7.0,23.0,55.0,25.0,0.0,998.0,37.0,281.0,502.0,224.0,12.0,998.0,38.0,25.0,65.8,13.0,34.2,443.0,2067.0,1140.0,19.0,16.0,3.0,20.0,17.0,548.0,48.0,19,1476.0,78.0,58.6,16.4,17,85.0,13.0,2,17.0,3,1.11,17.0,27.0,-10.0,-0.61,-0.09,19.1,22.1,-3.0,-0.18,0.19,6.0,0.0,0.0,24.0,4.0,1.0,26.0,23.0,20.0,0.0,0.0,0.0,108.0,15.0,27.0,35.7
Timothée Kolodziejczak,fr FRA,DF,27.0,14.5,0.0,3.0,1.0,33.3,0.21,0.07,0.0,0.0,15.6,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2,558.0,732.0,76.2,9529.0,3708.0,243.0,282.0,86.2,270.0,333.0,81.1,35.0,89.0,39.3,0.0,0.4,0.5,-0.4,7.0,37.0,3.0,2.0,50.0,732.0,658.0,73.0,17.0,0.0,1.0,24.0,56.0,0.0,0.0,0.0,0.0,558.0,1.0,4.0,12.0,0.83,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,17.0,10.0,13.0,4.0,0.0,9.0,21.0,42.9,12.0,8.0,3.0,5.0,30.0,47.0,44.0,2.0,873.0,55.0,354.0,438.0,85.0,9.0,873.0,5.0,4.0,80.0,1.0,20.0,373.0,2602.0,1840.0,21.0,11.0,1.0,17.0,2.0,523.0,21.0,15,1305.0,87.0,51.8,14.5,14,90.0,14.0,1,45.0,3,1.27,15.0,21.0,-6.0,-0.41,0.33,13.6,21.7,-8.1,-0.56,-0.61,6.0,0.0,0.0,17.0,5.0,1.0,24.0,30.0,10.0,0.0,2.0,0.0,68.0,25.0,18.0,58.1
Wesley Fofana,fr FRA,DF,18.0,13.5,1.0,7.0,1.0,14.3,0.52,0.07,0.14,1.0,8.4,0.0,0.0,0.0,0.9,0.9,0.13,0.1,0.1,536.0,657.0,81.6,9557.0,2969.0,203.0,234.0,86.8,289.0,321.0,90.0,34.0,80.0,42.5,0.0,0.1,0.1,-0.1,2.0,28.0,0.0,0.0,33.0,657.0,622.0,35.0,23.0,1.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,536.0,0.0,6.0,6.0,0.44,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,16.0,9.0,0.0,12.0,18.0,66.7,6.0,10.0,5.0,5.0,36.0,61.0,55.0,4.0,830.0,82.0,456.0,341.0,43.0,12.0,830.0,8.0,3.0,37.5,5.0,62.5,465.0,3351.0,2011.0,30.0,10.0,0.0,8.0,5.0,472.0,4.0,14,1215.0,87.0,48.2,13.5,13,90.0,13.0,1,45.0,2,1.0,16.0,24.0,-8.0,-0.59,-0.04,17.0,20.7,-3.8,-0.28,-0.03,4.0,0.0,0.0,14.0,15.0,0.0,2.0,36.0,15.0,0.0,0.0,0.0,86.0,62.0,24.0,72.1
Wahbi Khazri,tn TUN,"FW,MF",28.0,12.8,3.0,44.0,8.0,18.2,3.45,0.63,0.05,0.25,23.3,3.0,1.0,1.0,3.8,3.0,0.07,-0.8,-1.0,220.0,358.0,61.5,4047.0,940.0,96.0,128.0,75.0,74.0,110.0,67.3,33.0,73.0,45.2,2.0,1.5,1.3,0.5,19.0,22.0,12.0,2.0,36.0,358.0,282.0,71.0,16.0,2.0,11.0,57.0,8.0,36.0,19.0,10.0,1.0,220.0,5.0,14.0,39.0,3.06,23.0,6.0,3.0,4.0,3.0,0.0,4.0,0.31,2.0,2.0,0.0,0.0,0.0,0.0,17.0,9.0,5.0,7.0,5.0,9.0,27.0,33.3,18.0,11.0,0.0,11.0,4.0,21.0,0.0,0.0,529.0,2.0,24.0,218.0,299.0,47.0,528.0,30.0,16.0,53.3,14.0,46.7,295.0,1987.0,990.0,39.0,28.0,14.0,45.0,27.0,365.0,98.0,16,1149.0,72.0,45.6,12.8,13,82.0,6.0,3,27.0,0,1.31,12.0,21.0,-9.0,-0.7,-0.25,12.8,16.3,-3.5,-0.27,-0.02,4.0,0.0,0.0,21.0,19.0,5.0,57.0,4.0,9.0,0.0,0.0,0.0,47.0,6.0,20.0,23.1
