player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Benoît Costil,fr FRA,GK,33.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,937.0,1328.0,70.6,29221.0,23421.0,125.0,125.0,100.0,411.0,420.0,97.9,399.0,779.0,51.2,0.0,0.0,0.1,0.0,0.0,20.0,1.0,0.0,3.0,1328.0,895.0,431.0,139.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,2.0,0.0,5.0,0.13,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,1.0,2.0,17.0,0.0,1424.0,1181.0,1407.0,17.0,0.0,0.0,1424.0,3.0,3.0,100.0,0.0,0.0,733.0,3232.0,1815.0,0.0,1.0,1.0,0.0,0.0,612.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.18,42.0,56.0,-14.0,-0.37,,43.5,54.9,-11.4,-0.3,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,48.0,6.0,0.0,100.0
Youssouf Sabaly,sn SEN,DF,27.0,32.3,1.0,13.0,2.0,15.4,0.4,0.06,0.08,0.5,21.9,0.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,1636.0,1957.0,83.6,23576.0,8988.0,974.0,1065.0,91.5,536.0,637.0,84.1,74.0,129.0,57.4,2.0,1.5,1.5,0.5,25.0,105.0,24.0,7.0,162.0,1957.0,1599.0,356.0,19.0,1.0,1.0,50.0,337.0,0.0,0.0,0.0,0.0,1636.0,2.0,51.0,68.0,2.1,42.0,4.0,8.0,4.0,8.0,2.0,14.0,0.43,6.0,2.0,1.0,1.0,3.0,1.0,47.0,33.0,24.0,17.0,6.0,27.0,45.0,60.0,18.0,31.0,8.0,23.0,49.0,96.0,57.0,2.0,2286.0,98.0,632.0,1151.0,525.0,22.0,2286.0,71.0,41.0,57.7,30.0,42.3,1204.0,5801.0,3270.0,84.0,55.0,11.0,50.0,31.0,1398.0,129.0,33,2909.0,88.0,85.1,32.3,33,88.0,27.0,0,,1,1.33,40.0,47.0,-7.0,-0.22,1.02,37.8,48.5,-10.7,-0.33,-0.21,4.0,0.0,0.0,32.0,43.0,2.0,50.0,49.0,33.0,0.0,1.0,0.0,169.0,25.0,25.0,50.0
Toma Bašić,hr CRO,MF,23.0,28.9,4.0,45.0,17.0,37.8,1.56,0.59,0.09,0.24,21.8,7.0,0.0,0.0,4.6,4.6,0.1,-0.6,-0.6,1048.0,1289.0,81.3,18608.0,4548.0,450.0,506.0,88.9,452.0,521.0,86.8,111.0,193.0,57.5,1.0,2.5,2.2,-1.5,26.0,78.0,18.0,3.0,111.0,1289.0,1227.0,57.0,33.0,1.0,12.0,64.0,2.0,22.0,11.0,8.0,0.0,1048.0,5.0,15.0,58.0,2.01,31.0,11.0,4.0,4.0,5.0,3.0,3.0,0.1,0.0,1.0,2.0,0.0,0.0,0.0,33.0,22.0,15.0,16.0,2.0,16.0,58.0,27.6,42.0,21.0,5.0,16.0,32.0,65.0,42.0,1.0,1570.0,47.0,308.0,968.0,305.0,30.0,1570.0,31.0,23.0,74.2,8.0,25.8,998.0,4752.0,1986.0,31.0,24.0,2.0,46.0,22.0,1132.0,76.0,34,2601.0,77.0,76.1,28.9,32,80.0,20.0,2,25.0,1,1.24,31.0,41.0,-10.0,-0.35,0.09,34.2,41.3,-7.2,-0.25,0.21,7.0,0.0,0.0,42.0,31.0,2.0,64.0,32.0,22.0,0.0,0.0,0.0,139.0,25.0,30.0,45.5
Hwang Ui-jo,kr KOR,"FW,MF",27.0,27.8,12.0,73.0,27.0,37.0,2.62,0.97,0.12,0.33,14.8,0.0,3.0,3.0,12.6,10.3,0.14,-0.6,-1.3,378.0,482.0,78.4,4871.0,509.0,257.0,294.0,87.4,98.0,123.0,79.7,5.0,13.0,38.5,3.0,2.7,1.8,0.3,21.0,15.0,10.0,4.0,23.0,482.0,447.0,34.0,0.0,1.0,3.0,11.0,3.0,0.0,0.0,0.0,0.0,378.0,1.0,17.0,46.0,1.65,23.0,0.0,9.0,10.0,3.0,1.0,2.0,0.07,0.0,0.0,1.0,1.0,0.0,0.0,14.0,6.0,5.0,8.0,1.0,6.0,25.0,24.0,19.0,17.0,2.0,15.0,8.0,22.0,14.0,0.0,751.0,16.0,65.0,356.0,335.0,114.0,748.0,54.0,26.0,48.1,28.0,51.9,467.0,2502.0,1046.0,42.0,26.0,29.0,67.0,27.0,580.0,174.0,36,2503.0,70.0,73.2,27.8,32,75.0,6.0,4,26.0,1,1.17,30.0,40.0,-10.0,-0.36,0.03,34.1,41.1,-7.0,-0.25,0.18,1.0,0.0,0.0,32.0,35.0,18.0,11.0,8.0,6.0,0.0,0.0,0.0,53.0,30.0,57.0,34.5
Loris Benito,ch SUI,DF,28.0,29.5,0.0,8.0,1.0,12.5,0.27,0.03,0.0,0.0,12.3,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,1515.0,1799.0,84.2,24582.0,9332.0,756.0,812.0,93.1,631.0,725.0,87.0,96.0,190.0,50.5,0.0,1.3,1.0,-1.3,15.0,102.0,11.0,8.0,120.0,1799.0,1514.0,283.0,45.0,0.0,2.0,40.0,237.0,1.0,0.0,0.0,0.0,1515.0,2.0,23.0,34.0,1.15,27.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0,27.0,12.0,3.0,22.0,48.0,45.8,26.0,33.0,10.0,23.0,42.0,84.0,70.0,0.0,2023.0,104.0,756.0,1003.0,286.0,15.0,2023.0,3.0,2.0,66.7,1.0,33.3,1099.0,5573.0,2818.0,57.0,36.0,1.0,13.0,8.0,1245.0,73.0,31,2651.0,86.0,77.5,29.5,30,87.0,27.0,1,45.0,3,1.23,31.0,42.0,-11.0,-0.37,-0.02,35.4,42.3,-7.0,-0.24,0.28,7.0,1.0,0.0,39.0,16.0,2.0,40.0,42.0,26.0,0.0,1.0,0.0,175.0,43.0,29.0,59.7
Paul Baysse,fr FRA,DF,32.0,29.0,2.0,11.0,2.0,18.2,0.38,0.07,0.18,1.0,10.3,0.0,0.0,0.0,1.5,1.5,0.13,0.5,0.5,1502.0,1715.0,87.6,29524.0,10632.0,504.0,546.0,92.3,813.0,877.0,92.7,171.0,255.0,67.1,2.0,0.6,0.4,1.4,8.0,76.0,4.0,1.0,88.0,1715.0,1651.0,60.0,55.0,0.0,18.0,2.0,5.0,0.0,0.0,0.0,0.0,1502.0,4.0,11.0,17.0,0.59,14.0,1.0,0.0,1.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,35.0,18.0,21.0,13.0,1.0,16.0,21.0,76.2,5.0,33.0,24.0,9.0,52.0,87.0,123.0,1.0,1989.0,225.0,986.0,978.0,33.0,18.0,1989.0,2.0,2.0,100.0,0.0,0.0,1220.0,5375.0,3139.0,17.0,10.0,1.0,3.0,3.0,1363.0,6.0,31,2614.0,84.0,76.4,29.0,29,89.0,28.0,2,19.0,3,1.23,36.0,43.0,-7.0,-0.24,0.54,36.5,43.0,-6.6,-0.23,0.31,5.0,1.0,1.0,22.0,15.0,1.0,2.0,52.0,18.0,0.0,1.0,0.0,129.0,67.0,51.0,56.8
Remi Oudin,fr FRA,"FW,MF",23.0,26.9,4.0,55.0,16.0,29.1,2.05,0.6,0.07,0.25,17.2,1.0,0.0,0.0,3.9,3.9,0.07,0.1,0.1,711.0,1082.0,65.7,10951.0,2874.0,408.0,526.0,77.6,215.0,316.0,68.0,61.0,143.0,42.7,4.0,5.0,4.2,-1.0,39.0,38.0,27.0,13.0,77.0,1082.0,992.0,83.0,20.0,1.0,7.0,133.0,23.0,40.0,18.0,13.0,0.0,711.0,7.0,43.0,64.0,2.38,48.0,6.0,0.0,4.0,5.0,1.0,8.0,0.3,6.0,1.0,0.0,0.0,1.0,0.0,34.0,16.0,22.0,7.0,5.0,15.0,36.0,41.7,21.0,22.0,2.0,20.0,51.0,85.0,40.0,1.0,1392.0,56.0,273.0,592.0,533.0,72.0,1392.0,31.0,14.0,45.2,17.0,54.8,806.0,3977.0,1849.0,77.0,39.0,20.0,46.0,32.0,954.0,210.0,38,2420.0,64.0,70.8,26.9,27,77.0,5.0,11,31.0,0,1.18,31.0,39.0,-8.0,-0.3,0.24,30.3,40.0,-9.7,-0.36,-0.21,2.0,0.0,0.0,23.0,34.0,4.0,133.0,51.0,16.0,0.0,0.0,0.0,150.0,48.0,41.0,53.9
Yacine Adli,fr FRA,MF,20.0,26.9,2.0,24.0,9.0,37.5,0.89,0.33,0.08,0.22,20.0,1.0,0.0,0.0,1.9,1.9,0.08,0.1,0.1,1327.0,1631.0,81.4,24310.0,6907.0,569.0,643.0,88.5,548.0,642.0,85.4,167.0,251.0,66.5,5.0,4.4,3.0,0.6,53.0,158.0,20.0,2.0,188.0,1631.0,1559.0,65.0,40.0,6.0,25.0,53.0,6.0,18.0,7.0,8.0,0.0,1327.0,7.0,22.0,104.0,3.87,78.0,10.0,8.0,2.0,3.0,3.0,10.0,0.37,7.0,1.0,0.0,1.0,1.0,0.0,74.0,37.0,30.0,33.0,11.0,35.0,92.0,38.0,57.0,27.0,2.0,25.0,39.0,113.0,17.0,2.0,1920.0,40.0,348.0,1217.0,390.0,25.0,1920.0,79.0,50.0,63.3,29.0,36.7,1179.0,5988.0,3121.0,54.0,50.0,10.0,42.0,41.0,1422.0,48.0,35,2418.0,69.0,70.7,26.9,25,84.0,16.0,10,32.0,0,1.17,28.0,47.0,-19.0,-0.71,-1.16,30.4,40.4,-9.9,-0.37,-0.24,6.0,0.0,0.0,39.0,37.0,0.0,53.0,39.0,37.0,0.0,0.0,0.0,172.0,27.0,27.0,50.0
Laurent Koscielny,fr FRA,DF,34.0,24.6,0.0,6.0,1.0,16.7,0.24,0.04,0.0,0.0,8.4,0.0,0.0,0.0,1.6,1.6,0.29,-1.6,-1.6,1198.0,1333.0,89.9,24851.0,10021.0,329.0,362.0,90.9,699.0,745.0,93.8,163.0,205.0,79.5,2.0,1.1,1.4,0.9,7.0,50.0,3.0,0.0,53.0,1333.0,1296.0,35.0,34.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1198.0,2.0,6.0,22.0,0.89,18.0,0.0,0.0,1.0,2.0,1.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0,29.0,17.0,18.0,11.0,0.0,16.0,24.0,66.7,8.0,44.0,34.0,10.0,54.0,83.0,115.0,1.0,1594.0,224.0,907.0,664.0,28.0,13.0,1594.0,3.0,2.0,66.7,1.0,33.3,978.0,5006.0,2533.0,1.0,6.0,0.0,7.0,0.0,1040.0,3.0,26,2218.0,85.0,64.9,24.6,25,87.0,24.0,1,35.0,0,1.04,25.0,35.0,-10.0,-0.41,-0.11,27.6,38.2,-10.5,-0.43,-0.36,3.0,0.0,0.0,12.0,24.0,2.0,2.0,54.0,17.0,1.0,0.0,0.0,137.0,53.0,32.0,62.4
Hatem Ben Arfa,fr FRA,"MF,FW",33.0,18.9,2.0,33.0,11.0,33.3,1.74,0.58,0.06,0.18,21.6,5.0,0.0,0.0,2.3,2.3,0.07,-0.3,-0.3,719.0,894.0,80.4,11319.0,2908.0,390.0,438.0,89.0,222.0,265.0,83.8,63.0,120.0,52.5,4.0,3.8,4.0,0.2,31.0,60.0,21.0,4.0,87.0,894.0,757.0,136.0,43.0,4.0,17.0,80.0,19.0,46.0,21.0,15.0,0.0,719.0,1.0,15.0,81.0,4.28,37.0,21.0,13.0,5.0,4.0,1.0,8.0,0.42,3.0,3.0,1.0,0.0,1.0,0.0,11.0,7.0,1.0,7.0,3.0,2.0,9.0,22.2,7.0,3.0,0.0,3.0,2.0,13.0,0.0,0.0,1086.0,0.0,69.0,574.0,470.0,47.0,1086.0,120.0,76.0,63.3,44.0,36.7,724.0,5615.0,2792.0,81.0,72.0,25.0,58.0,58.0,836.0,131.0,24,1703.0,71.0,49.8,18.9,19,82.0,9.0,5,29.0,0,0.83,18.0,35.0,-17.0,-0.9,-1.06,20.3,29.4,-9.2,-0.49,-0.37,2.0,0.0,0.0,20.0,35.0,5.0,80.0,2.0,7.0,1.0,0.0,0.0,66.0,4.0,9.0,30.8
