player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Bruno Ecuele Manga,ga GAB,DF,32.0,38.0,2.0,31.0,8.0,25.8,0.82,0.21,0.06,0.25,11.2,0.0,0.0,0.0,2.4,2.4,0.08,-0.4,-0.4,1666.0,1972.0,84.5,35168.0,14441.0,445.0,493.0,90.3,981.0,1074.0,91.3,229.0,363.0,63.1,0.0,0.1,0.3,-0.1,1.0,57.0,1.0,0.0,76.0,1972.0,1894.0,75.0,69.0,0.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,1666.0,3.0,7.0,11.0,0.29,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,52.0,38.0,46.0,6.0,0.0,29.0,40.0,72.5,11.0,50.0,33.0,17.0,57.0,109.0,165.0,3.0,2351.0,390.0,1510.0,795.0,60.0,40.0,2351.0,13.0,11.0,84.6,2.0,15.4,1424.0,6146.0,3172.0,10.0,6.0,3.0,16.0,6.0,1479.0,2.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,0.55,25.0,73.0,-48.0,-1.26,,33.7,72.5,-38.8,-1.02,,3.0,0.0,0.0,17.0,26.0,1.0,2.0,57.0,38.0,0.0,1.0,0.0,257.0,125.0,65.0,65.8
Didier Ibrahim Ndong,ga GAB,MF,26.0,29.0,0.0,6.0,1.0,16.7,0.21,0.03,0.0,0.0,26.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1304.0,1508.0,86.5,24586.0,6748.0,524.0,583.0,89.9,594.0,650.0,91.4,161.0,220.0,73.2,1.0,1.2,1.4,-0.2,10.0,142.0,7.0,2.0,155.0,1508.0,1471.0,35.0,33.0,2.0,19.0,21.0,2.0,0.0,0.0,0.0,0.0,1304.0,2.0,17.0,32.0,1.1,30.0,0.0,1.0,0.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,53.0,32.0,22.0,30.0,1.0,25.0,70.0,35.7,45.0,35.0,7.0,28.0,37.0,90.0,40.0,0.0,1776.0,60.0,418.0,1227.0,154.0,5.0,1776.0,31.0,22.0,71.0,9.0,29.0,1096.0,5713.0,2551.0,39.0,24.0,0.0,38.0,16.0,1236.0,28.0,29,2610.0,90.0,76.3,29.0,29,90.0,29.0,0,,0,0.48,20.0,50.0,-30.0,-1.03,0.97,26.0,55.8,-29.8,-1.03,-0.02,7.0,0.0,0.0,40.0,17.0,1.0,21.0,37.0,32.0,0.0,0.0,0.0,207.0,25.0,29.0,46.3
Muzinga Ngonda,cd COD,DF,25.0,25.6,2.0,11.0,4.0,36.4,0.43,0.16,0.18,0.5,26.1,0.0,0.0,0.0,0.3,0.3,0.03,1.7,1.7,1195.0,1693.0,70.6,20020.0,8500.0,616.0,715.0,86.2,461.0,627.0,73.5,106.0,247.0,42.9,0.0,1.1,1.3,-1.1,18.0,101.0,30.0,13.0,135.0,1693.0,1389.0,297.0,29.0,2.0,6.0,69.0,266.0,2.0,0.0,2.0,0.0,1195.0,7.0,54.0,35.0,1.36,33.0,1.0,1.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,59.0,40.0,37.0,21.0,1.0,30.0,50.0,60.0,20.0,28.0,3.0,25.0,72.0,131.0,58.0,0.0,2010.0,106.0,683.0,987.0,361.0,11.0,2010.0,56.0,36.0,64.3,20.0,35.7,997.0,4479.0,2310.0,40.0,45.0,0.0,41.0,17.0,1107.0,96.0,30,2307.0,77.0,67.5,25.6,25,86.0,20.0,5,33.0,3,0.5,16.0,48.0,-32.0,-1.25,0.05,23.2,44.5,-21.3,-0.83,0.59,5.0,0.0,0.0,35.0,16.0,1.0,69.0,72.0,40.0,0.0,0.0,0.0,187.0,31.0,39.0,44.3
Bersant Celina,xk KVX,"MF,FW",23.0,25.5,0.0,24.0,5.0,20.8,0.94,0.2,0.0,0.0,22.5,4.0,0.0,0.0,1.7,1.7,0.07,-1.7,-1.7,825.0,1092.0,75.5,13178.0,3929.0,454.0,522.0,87.0,263.0,326.0,80.7,82.0,178.0,46.1,5.0,4.6,3.9,0.4,48.0,85.0,35.0,7.0,113.0,1092.0,952.0,135.0,56.0,5.0,7.0,124.0,9.0,62.0,30.0,29.0,0.0,825.0,5.0,24.0,76.0,2.98,46.0,24.0,2.0,2.0,2.0,0.0,6.0,0.23,4.0,2.0,0.0,0.0,0.0,0.0,20.0,12.0,8.0,8.0,4.0,7.0,38.0,18.4,31.0,20.0,2.0,18.0,8.0,28.0,10.0,0.0,1280.0,19.0,183.0,690.0,429.0,24.0,1280.0,50.0,29.0,58.0,21.0,42.0,740.0,3825.0,2119.0,68.0,48.0,7.0,41.0,25.0,893.0,120.0,32,2298.0,72.0,67.2,25.5,25,83.0,16.0,7,33.0,0,0.59,18.0,42.0,-24.0,-0.94,0.99,20.8,46.1,-25.3,-0.99,0.1,5.0,1.0,0.0,15.0,18.0,1.0,124.0,8.0,12.0,0.0,1.0,0.0,106.0,3.0,22.0,12.0
Junior Dina Ebimbe,fr FRA,"FW,MF",19.0,23.8,1.0,45.0,13.0,28.9,1.89,0.55,0.02,0.08,18.3,0.0,0.0,0.0,3.4,3.4,0.08,-2.4,-2.4,634.0,800.0,79.3,9806.0,2134.0,349.0,403.0,86.6,223.0,263.0,84.8,43.0,74.0,58.1,1.0,2.4,1.5,-1.4,25.0,54.0,17.0,4.0,67.0,800.0,780.0,15.0,8.0,3.0,5.0,27.0,6.0,0.0,0.0,0.0,0.0,634.0,5.0,23.0,65.0,2.73,49.0,0.0,8.0,5.0,3.0,0.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,38.0,25.0,14.0,19.0,5.0,15.0,45.0,33.3,30.0,17.0,1.0,16.0,14.0,52.0,9.0,0.0,1103.0,14.0,150.0,583.0,407.0,68.0,1103.0,113.0,59.0,52.2,54.0,47.8,712.0,5164.0,2382.0,65.0,58.0,17.0,81.0,32.0,818.0,145.0,30,2144.0,71.0,62.7,23.8,25,80.0,11.0,5,31.0,2,0.47,14.0,47.0,-33.0,-1.39,-0.33,18.8,45.5,-26.7,-1.12,-0.27,5.0,0.0,0.0,44.0,36.0,2.0,27.0,14.0,25.0,0.0,0.0,0.0,134.0,17.0,29.0,37.0
Mama Samba Baldé,gw GNB,FW,24.0,24.0,7.0,58.0,19.0,32.8,2.42,0.79,0.12,0.37,15.2,0.0,0.0,0.0,8.1,8.1,0.14,-1.1,-1.1,326.0,476.0,68.5,4346.0,785.0,198.0,259.0,76.4,87.0,118.0,73.7,16.0,27.0,59.3,0.0,0.6,0.8,-0.6,10.0,12.0,6.0,0.0,24.0,476.0,444.0,32.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,326.0,0.0,22.0,45.0,1.87,22.0,0.0,7.0,6.0,10.0,0.0,5.0,0.21,1.0,0.0,2.0,0.0,2.0,0.0,23.0,9.0,4.0,13.0,6.0,9.0,22.0,40.9,13.0,16.0,1.0,15.0,4.0,27.0,26.0,0.0,791.0,28.0,71.0,361.0,367.0,104.0,791.0,50.0,19.0,38.0,31.0,62.0,472.0,2131.0,708.0,22.0,20.0,21.0,92.0,54.0,573.0,162.0,29,2161.0,75.0,63.2,24.0,24,83.0,8.0,5,32.0,0,0.48,16.0,43.0,-27.0,-1.12,0.38,21.0,41.6,-20.6,-0.86,0.45,4.0,0.0,0.0,38.0,40.0,16.0,7.0,4.0,9.0,1.0,0.0,0.0,75.0,58.0,117.0,33.1
Senou Coulibaly,ml MLI,DF,25.0,21.5,2.0,5.0,3.0,60.0,0.23,0.14,0.4,0.67,8.9,0.0,0.0,0.0,0.8,0.8,0.17,1.2,1.2,815.0,1025.0,79.5,16826.0,6947.0,234.0,263.0,89.0,466.0,530.0,87.9,110.0,201.0,54.7,0.0,0.2,0.1,-0.2,1.0,37.0,0.0,0.0,47.0,1025.0,988.0,33.0,31.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,815.0,4.0,12.0,5.0,0.23,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,33.0,21.0,23.0,10.0,0.0,12.0,24.0,50.0,12.0,18.0,12.0,6.0,30.0,63.0,89.0,0.0,1226.0,156.0,754.0,462.0,18.0,6.0,1226.0,10.0,7.0,70.0,3.0,30.0,701.0,3618.0,2069.0,8.0,6.0,0.0,9.0,8.0,781.0,1.0,22,1934.0,88.0,56.5,21.5,22,88.0,19.0,0,,6,0.59,16.0,45.0,-29.0,-1.35,-0.2,20.8,38.5,-17.8,-0.83,0.44,6.0,1.0,1.0,18.0,15.0,0.0,0.0,30.0,21.0,0.0,0.0,0.0,102.0,43.0,42.0,50.6
Anthony Racioppi,ch SUI,GK,21.0,21.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,431.0,650.0,66.3,12101.0,9728.0,84.0,85.0,98.8,211.0,213.0,99.1,134.0,349.0,38.4,0.0,0.2,0.0,-0.2,1.0,10.0,0.0,0.0,0.0,650.0,409.0,240.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,12.0,4.0,705.0,646.0,705.0,0.0,0.0,0.0,705.0,1.0,1.0,100.0,0.0,0.0,319.0,1483.0,883.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,21,1890.0,90.0,55.3,21.0,21,90.0,21.0,0,,13,0.57,16.0,33.0,-17.0,-0.81,1.01,19.6,36.4,-16.8,-0.8,0.49,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,4.0,1.0,80.0
Sacha Boey,fr FRA,DF,19.0,20.7,0.0,10.0,1.0,10.0,0.48,0.05,0.0,0.0,25.4,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,801.0,1054.0,76.0,13195.0,5417.0,408.0,463.0,88.1,306.0,400.0,76.5,67.0,144.0,46.5,1.0,1.5,1.3,-0.5,18.0,48.0,17.0,12.0,65.0,1054.0,800.0,250.0,9.0,0.0,2.0,51.0,238.0,3.0,0.0,3.0,0.0,801.0,4.0,16.0,38.0,1.83,27.0,3.0,3.0,3.0,2.0,0.0,3.0,0.14,1.0,2.0,0.0,0.0,0.0,0.0,54.0,40.0,30.0,23.0,1.0,27.0,55.0,49.1,28.0,25.0,5.0,20.0,41.0,95.0,62.0,0.0,1312.0,76.0,420.0,596.0,305.0,19.0,1312.0,42.0,22.0,52.4,20.0,47.6,579.0,2513.0,1136.0,32.0,22.0,2.0,34.0,13.0,632.0,91.0,24,1863.0,78.0,54.5,20.7,21,87.0,17.0,3,11.0,3,0.54,15.0,33.0,-18.0,-0.87,0.86,19.0,39.1,-20.1,-0.97,0.11,1.0,0.0,0.0,36.0,13.0,2.0,51.0,41.0,40.0,0.0,1.0,0.0,127.0,23.0,25.0,47.9
Jonathan Panzo,eng ENG,DF,19.0,20.0,0.0,5.0,2.0,40.0,0.25,0.1,0.0,0.0,14.4,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,950.0,1096.0,86.7,18977.0,6535.0,284.0,313.0,90.7,540.0,584.0,92.5,116.0,172.0,67.4,0.0,0.0,0.3,0.0,0.0,39.0,3.0,0.0,56.0,1096.0,1065.0,28.0,26.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,950.0,3.0,5.0,4.0,0.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,13.0,4.0,0.0,8.0,11.0,72.7,3.0,27.0,13.0,14.0,59.0,76.0,91.0,2.0,1332.0,172.0,837.0,482.0,27.0,9.0,1332.0,15.0,14.0,93.3,1.0,6.7,843.0,4457.0,2341.0,14.0,7.0,0.0,9.0,3.0,885.0,1.0,22,1801.0,82.0,52.7,20.0,21,84.0,16.0,1,36.0,12,0.5,11.0,37.0,-26.0,-1.3,-0.08,15.3,36.3,-21.1,-1.05,-0.07,5.0,0.0,0.0,28.0,9.0,0.0,1.0,59.0,12.0,0.0,3.0,0.0,108.0,39.0,24.0,61.9
