player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Laurent Abergel,fr FRA,MF,27.0,32.9,3.0,29.0,10.0,34.5,0.88,0.3,0.1,0.3,26.8,0.0,0.0,0.0,1.5,1.5,0.05,1.5,1.5,1288.0,1564.0,82.4,22633.0,6551.0,591.0,661.0,89.4,524.0,596.0,87.9,145.0,224.0,64.7,1.0,1.7,1.4,-0.7,20.0,115.0,13.0,4.0,138.0,1564.0,1521.0,38.0,31.0,1.0,11.0,26.0,7.0,0.0,0.0,0.0,0.0,1288.0,5.0,34.0,59.0,1.79,45.0,0.0,3.0,6.0,4.0,1.0,9.0,0.27,6.0,0.0,1.0,1.0,1.0,0.0,145.0,84.0,64.0,69.0,12.0,54.0,162.0,33.3,108.0,64.0,6.0,58.0,46.0,191.0,12.0,0.0,1940.0,31.0,486.0,1210.0,280.0,12.0,1940.0,37.0,29.0,78.4,8.0,21.6,1075.0,4705.0,2140.0,32.0,32.0,4.0,53.0,44.0,1288.0,35.0,38,2963.0,78.0,86.6,32.9,32,85.0,22.0,6,40.0,0,1.11,42.0,53.0,-11.0,-0.33,1.04,41.8,43.0,-1.2,-0.04,0.52,5.0,0.0,0.0,44.0,37.0,0.0,26.0,46.0,84.0,1.0,0.0,0.0,231.0,9.0,17.0,34.6
Yoane Wissa,cd COD,"MF,FW",23.0,29.7,10.0,52.0,19.0,36.5,1.75,0.64,0.12,0.32,16.9,0.0,4.0,5.0,12.1,8.8,0.17,-2.1,-2.8,549.0,747.0,73.5,7557.0,1846.0,306.0,370.0,82.7,176.0,232.0,75.9,21.0,57.0,36.8,4.0,3.5,2.7,0.5,29.0,32.0,14.0,1.0,63.0,747.0,732.0,12.0,7.0,5.0,4.0,29.0,2.0,1.0,1.0,0.0,0.0,549.0,3.0,16.0,89.0,3.0,52.0,2.0,8.0,9.0,18.0,0.0,16.0,0.54,9.0,0.0,0.0,2.0,5.0,0.0,35.0,20.0,12.0,14.0,9.0,11.0,34.0,32.4,23.0,25.0,3.0,22.0,20.0,55.0,14.0,0.0,1086.0,27.0,154.0,537.0,424.0,93.0,1081.0,98.0,55.0,56.1,43.0,43.9,669.0,4281.0,2308.0,81.0,53.0,24.0,71.0,30.0,770.0,184.0,38,2674.0,70.0,78.2,29.7,30,81.0,12.0,8,30.0,0,1.11,41.0,49.0,-8.0,-0.27,0.94,38.1,39.0,-0.9,-0.03,0.34,2.0,0.0,0.0,30.0,85.0,10.0,29.0,20.0,20.0,3.0,0.0,0.0,142.0,47.0,31.0,60.3
Julien Laporte,fr FRA,DF,26.0,29.5,0.0,8.0,1.0,12.5,0.27,0.03,0.0,0.0,13.5,0.0,0.0,0.0,0.8,0.8,0.1,-0.8,-0.8,1240.0,1506.0,82.3,26774.0,10295.0,324.0,359.0,90.3,717.0,803.0,89.3,193.0,320.0,60.3,0.0,0.3,0.6,-0.3,7.0,71.0,6.0,0.0,74.0,1506.0,1453.0,49.0,48.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1240.0,4.0,4.0,25.0,0.85,20.0,2.0,0.0,1.0,1.0,1.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,65.0,39.0,48.0,16.0,1.0,42.0,74.0,56.8,32.0,34.0,23.0,11.0,65.0,130.0,125.0,0.0,1814.0,208.0,1041.0,762.0,27.0,14.0,1814.0,7.0,6.0,85.7,1.0,14.3,1016.0,5188.0,2978.0,17.0,6.0,2.0,4.0,3.0,1087.0,0.0,30,2659.0,89.0,77.7,29.5,30,89.0,29.0,0,,4,1.2,38.0,47.0,-9.0,-0.3,0.76,37.9,37.1,0.8,0.03,0.58,8.0,1.0,1.0,31.0,19.0,0.0,0.0,65.0,39.0,1.0,3.0,0.0,140.0,80.0,50.0,61.5
Jérémy Morel,mg MAD,DF,36.0,27.7,0.0,6.0,1.0,16.7,0.22,0.04,0.0,0.0,11.7,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,1056.0,1275.0,82.8,19424.0,7849.0,442.0,494.0,89.5,487.0,555.0,87.7,108.0,172.0,62.8,0.0,0.3,0.3,-0.3,7.0,39.0,4.0,1.0,50.0,1275.0,1167.0,107.0,53.0,0.0,15.0,5.0,54.0,0.0,0.0,0.0,0.0,1056.0,1.0,16.0,19.0,0.69,16.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,19.0,21.0,10.0,0.0,20.0,39.0,51.3,19.0,26.0,11.0,15.0,44.0,75.0,81.0,1.0,1502.0,153.0,738.0,691.0,83.0,9.0,1502.0,11.0,5.0,45.5,6.0,54.5,772.0,3705.0,2040.0,22.0,13.0,0.0,7.0,10.0,900.0,17.0,28,2493.0,89.0,72.9,27.7,28,89.0,27.0,0,,2,1.18,41.0,52.0,-11.0,-0.4,0.28,35.9,37.9,-2.1,-0.08,0.11,1.0,0.0,0.0,19.0,16.0,0.0,5.0,44.0,19.0,0.0,0.0,0.0,148.0,42.0,37.0,53.2
Vincent Le Goff,fr FRA,DF,30.0,25.6,0.0,8.0,4.0,50.0,0.31,0.16,0.0,0.0,19.8,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,982.0,1279.0,76.8,16165.0,6549.0,484.0,557.0,86.9,417.0,513.0,81.3,64.0,146.0,43.8,0.0,1.8,1.9,-1.8,20.0,70.0,24.0,11.0,88.0,1279.0,1015.0,259.0,18.0,2.0,4.0,64.0,240.0,1.0,0.0,1.0,0.0,982.0,5.0,26.0,44.0,1.72,37.0,5.0,0.0,0.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,42.0,29.0,16.0,24.0,2.0,18.0,49.0,36.7,31.0,27.0,5.0,22.0,44.0,86.0,44.0,0.0,1495.0,56.0,436.0,737.0,331.0,17.0,1495.0,21.0,13.0,61.9,8.0,38.1,745.0,3574.0,1841.0,42.0,29.0,3.0,20.0,10.0,828.0,83.0,26,2306.0,89.0,67.4,25.6,26,89.0,25.0,0,,3,1.0,34.0,47.0,-13.0,-0.51,-0.1,33.1,35.5,-2.4,-0.1,0.03,0.0,0.0,0.0,16.0,12.0,1.0,64.0,44.0,29.0,0.0,0.0,0.0,126.0,20.0,38.0,34.5
Andrew Gravillon,gp GLP,DF,22.0,25.2,2.0,14.0,4.0,28.6,0.55,0.16,0.14,0.5,16.3,1.0,0.0,0.0,1.6,1.6,0.11,0.4,0.4,906.0,1216.0,74.5,17053.0,7311.0,368.0,434.0,84.8,423.0,497.0,85.1,106.0,242.0,43.8,2.0,0.7,0.5,1.3,8.0,59.0,8.0,4.0,50.0,1216.0,1166.0,45.0,43.0,1.0,15.0,9.0,2.0,0.0,0.0,0.0,0.0,906.0,5.0,16.0,11.0,0.44,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,26.0,17.0,17.0,9.0,0.0,13.0,28.0,46.4,15.0,44.0,31.0,13.0,59.0,85.0,118.0,4.0,1526.0,193.0,841.0,640.0,50.0,13.0,1526.0,8.0,7.0,87.5,1.0,12.5,822.0,3587.0,2051.0,16.0,13.0,1.0,16.0,4.0,887.0,10.0,26,2272.0,87.0,66.4,25.2,26,87.0,24.0,0,,4,1.04,30.0,44.0,-14.0,-0.55,-0.24,31.5,38.5,-7.0,-0.28,-0.52,3.0,1.0,0.0,18.0,36.0,0.0,9.0,59.0,17.0,0.0,2.0,1.0,140.0,53.0,51.0,51.0
Terem Moffi,ng NGA,FW,21.0,23.0,14.0,55.0,24.0,43.6,2.39,1.04,0.24,0.54,15.0,0.0,1.0,1.0,10.3,9.5,0.17,3.7,3.5,264.0,387.0,68.2,3608.0,678.0,159.0,222.0,71.6,69.0,96.0,71.9,14.0,23.0,60.9,2.0,3.2,1.6,-1.2,26.0,14.0,14.0,1.0,34.0,387.0,343.0,42.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,264.0,2.0,3.0,56.0,2.43,39.0,0.0,7.0,5.0,4.0,1.0,8.0,0.35,3.0,0.0,2.0,2.0,1.0,0.0,13.0,8.0,0.0,8.0,5.0,4.0,19.0,21.1,15.0,5.0,2.0,3.0,4.0,17.0,8.0,0.0,665.0,8.0,22.0,307.0,351.0,100.0,664.0,58.0,24.0,41.4,34.0,58.6,359.0,1900.0,803.0,35.0,35.0,18.0,94.0,43.0,470.0,131.0,32,2073.0,65.0,60.6,23.0,26,75.0,3.0,6,21.0,0,1.19,33.0,39.0,-6.0,-0.26,0.54,29.2,30.4,-1.2,-0.05,0.13,2.0,0.0,0.0,30.0,18.0,11.0,5.0,4.0,8.0,1.0,0.0,0.0,57.0,38.0,78.0,32.8
Trevoh Chalobah,eng ENG,"DF,MF",21.0,24.9,2.0,15.0,3.0,20.0,0.6,0.12,0.13,0.67,13.9,0.0,0.0,0.0,1.6,1.6,0.1,0.4,0.4,1026.0,1221.0,84.0,17775.0,5505.0,449.0,498.0,90.2,472.0,529.0,89.2,86.0,136.0,63.2,2.0,0.7,0.9,1.3,8.0,75.0,5.0,0.0,93.0,1221.0,1168.0,51.0,34.0,3.0,9.0,11.0,17.0,0.0,0.0,0.0,0.0,1026.0,2.0,16.0,33.0,1.33,27.0,3.0,1.0,0.0,2.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0,45.0,26.0,32.0,13.0,0.0,24.0,50.0,48.0,26.0,20.0,7.0,13.0,69.0,114.0,56.0,0.0,1486.0,77.0,510.0,861.0,141.0,20.0,1486.0,52.0,38.0,73.1,14.0,26.9,817.0,3776.0,1932.0,25.0,26.0,3.0,25.0,9.0,945.0,20.0,29,2237.0,77.0,65.4,24.9,24,87.0,19.0,5,30.0,2,1.14,33.0,46.0,-13.0,-0.52,-0.14,32.6,35.6,-3.0,-0.12,-0.04,5.0,0.0,0.0,20.0,25.0,0.0,11.0,69.0,26.0,0.0,0.0,0.0,142.0,43.0,34.0,55.8
Fabien Lemoine,fr FRA,MF,33.0,21.5,1.0,16.0,2.0,12.5,0.74,0.09,0.06,0.5,23.0,1.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,1247.0,1456.0,85.6,21061.0,6136.0,605.0,650.0,93.1,480.0,533.0,90.1,120.0,190.0,63.2,0.0,1.5,1.2,-1.5,16.0,101.0,10.0,3.0,122.0,1456.0,1415.0,38.0,30.0,0.0,10.0,17.0,4.0,2.0,2.0,0.0,0.0,1247.0,3.0,15.0,36.0,1.68,32.0,2.0,0.0,2.0,0.0,0.0,3.0,0.14,2.0,0.0,0.0,1.0,0.0,0.0,74.0,45.0,39.0,33.0,2.0,36.0,89.0,40.4,53.0,25.0,1.0,24.0,27.0,101.0,35.0,0.0,1684.0,59.0,444.0,1067.0,191.0,19.0,1684.0,16.0,10.0,62.5,6.0,37.5,958.0,3950.0,1829.0,21.0,20.0,3.0,19.0,12.0,1162.0,26.0,30,1934.0,64.0,56.5,21.5,24,76.0,3.0,6,19.0,5,1.23,32.0,43.0,-11.0,-0.51,-0.09,26.7,26.1,0.6,0.03,0.31,8.0,0.0,0.0,58.0,23.0,0.0,17.0,27.0,45.0,0.0,2.0,0.0,189.0,29.0,26.0,52.7
Paul Nardi,fr FRA,GK,26.0,23.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,385.0,634.0,60.7,11219.0,8757.0,77.0,77.0,100.0,158.0,160.0,98.8,145.0,390.0,37.2,0.0,0.2,0.3,-0.2,1.0,9.0,1.0,0.0,0.0,634.0,375.0,257.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,2.0,0.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15.0,2.0,690.0,592.0,685.0,5.0,0.0,0.0,690.0,0.0,0.0,,0.0,,327.0,1686.0,1115.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,23,2070.0,90.0,60.5,23.0,23,90.0,23.0,0,,7,0.96,29.0,43.0,-14.0,-0.61,-0.34,29.5,31.5,-2.0,-0.09,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,1.0,75.0
