player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Dylan Bronn,tn TUN,DF,25.0,37.9,2.0,14.0,4.0,28.6,0.37,0.11,0.07,0.25,25.0,1.0,1.0,2.0,2.3,0.7,0.05,-0.3,0.3,1498.0,1806.0,82.9,30027.0,11619.0,486.0,525.0,92.6,807.0,876.0,92.1,187.0,354.0,52.8,0.0,0.3,0.4,-0.3,7.0,105.0,4.0,1.0,119.0,1806.0,1720.0,81.0,74.0,1.0,21.0,4.0,6.0,0.0,0.0,0.0,0.0,1498.0,5.0,11.0,35.0,0.92,29.0,2.0,1.0,2.0,0.0,1.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,57.0,37.0,38.0,19.0,0.0,24.0,44.0,54.5,20.0,31.0,14.0,17.0,44.0,101.0,112.0,0.0,2114.0,193.0,1045.0,1005.0,76.0,19.0,2112.0,19.0,15.0,78.9,4.0,21.1,1274.0,6385.0,4032.0,37.0,26.0,2.0,10.0,9.0,1369.0,7.0,38,3412.0,90.0,99.8,37.9,38,90.0,37.0,0,,0,1.24,44.0,48.0,-4.0,-0.11,-0.11,44.1,49.2,-5.2,-0.14,-0.14,4.0,0.0,0.0,37.0,12.0,0.0,4.0,44.0,37.0,0.0,2.0,0.0,232.0,44.0,41.0,51.8
Fabien Centonze,fr FRA,DF,24.0,35.8,1.0,24.0,6.0,25.0,0.67,0.17,0.04,0.17,22.1,0.0,0.0,0.0,1.2,1.2,0.05,-0.2,-0.2,1375.0,1808.0,76.1,20578.0,8848.0,793.0,899.0,88.2,473.0,625.0,75.7,75.0,179.0,41.9,0.0,2.4,2.5,-2.4,22.0,74.0,29.0,20.0,107.0,1808.0,1450.0,356.0,24.0,3.0,4.0,114.0,330.0,2.0,1.0,0.0,1.0,1375.0,2.0,43.0,59.0,1.65,39.0,3.0,3.0,2.0,9.0,3.0,6.0,0.17,3.0,0.0,0.0,0.0,2.0,1.0,104.0,68.0,64.0,30.0,10.0,43.0,73.0,58.9,30.0,62.0,17.0,45.0,112.0,216.0,119.0,1.0,2401.0,155.0,786.0,1068.0,573.0,33.0,2401.0,119.0,59.0,49.6,60.0,50.4,1230.0,8168.0,4390.0,117.0,80.0,9.0,66.0,32.0,1246.0,191.0,36,3221.0,89.0,94.2,35.8,36,89.0,35.0,0,,0,1.25,41.0,45.0,-4.0,-0.11,-0.11,41.2,45.7,-4.5,-0.13,0.19,9.0,0.0,0.0,43.0,57.0,3.0,114.0,112.0,68.0,0.0,1.0,0.0,198.0,56.0,33.0,62.9
John Boye,gh GHA,DF,33.0,33.8,1.0,13.0,2.0,15.4,0.38,0.06,0.08,0.5,9.0,0.0,0.0,0.0,2.3,2.3,0.18,-1.3,-1.3,1033.0,1249.0,82.7,20643.0,7640.0,337.0,380.0,88.7,543.0,606.0,89.6,141.0,236.0,59.7,2.0,0.2,0.1,1.8,7.0,25.0,0.0,0.0,38.0,1249.0,1207.0,40.0,29.0,0.0,17.0,0.0,11.0,0.0,0.0,0.0,0.0,1033.0,2.0,9.0,16.0,0.47,13.0,0.0,0.0,1.0,0.0,2.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,58.0,34.0,43.0,13.0,2.0,31.0,54.0,57.4,23.0,36.0,20.0,16.0,80.0,138.0,146.0,1.0,1634.0,229.0,987.0,623.0,29.0,17.0,1634.0,4.0,3.0,75.0,1.0,25.0,829.0,2963.0,1045.0,4.0,4.0,1.0,14.0,3.0,894.0,0.0,35,3041.0,87.0,88.9,33.8,35,87.0,29.0,0,,0,1.23,39.0,38.0,1.0,0.03,1.22,40.0,42.8,-2.8,-0.08,0.49,6.0,2.0,1.0,32.0,20.0,2.0,0.0,80.0,34.0,0.0,1.0,1.0,170.0,57.0,51.0,52.8
Alexandre Oukidja,dz ALG,GK,32.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,679.0,1042.0,65.2,22897.0,18004.0,73.0,75.0,97.3,274.0,280.0,97.9,329.0,677.0,48.6,0.0,0.0,0.1,0.0,1.0,18.0,1.0,0.0,3.0,1042.0,652.0,386.0,100.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,4.0,3.0,10.0,0.29,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,17.0,3.0,1119.0,954.0,1105.0,14.0,0.0,0.0,1119.0,3.0,3.0,100.0,0.0,0.0,537.0,3261.0,2172.0,0.0,0.0,0.0,1.0,0.0,337.0,1.0,34,3058.0,90.0,89.4,34.0,34,90.0,32.0,0,,0,1.35,41.0,38.0,3.0,0.09,1.83,40.0,41.6,-1.6,-0.05,0.85,3.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,16.0,4.0,80.0
Farid Boulaya,dz ALG,"MF,FW",27.0,31.3,6.0,78.0,26.0,33.3,2.49,0.83,0.06,0.19,26.4,26.0,1.0,2.0,5.2,3.7,0.05,0.8,1.3,1080.0,1581.0,68.3,20923.0,6768.0,447.0,528.0,84.7,404.0,542.0,74.5,186.0,377.0,49.3,8.0,8.5,6.8,-0.5,76.0,167.0,50.0,9.0,217.0,1581.0,1304.0,264.0,81.0,10.0,33.0,185.0,18.0,119.0,39.0,48.0,3.0,1080.0,13.0,43.0,168.0,5.37,93.0,40.0,10.0,8.0,17.0,0.0,14.0,0.45,8.0,2.0,0.0,2.0,2.0,0.0,24.0,16.0,4.0,17.0,3.0,13.0,51.0,25.5,38.0,19.0,3.0,16.0,12.0,36.0,7.0,0.0,1878.0,8.0,166.0,1044.0,704.0,45.0,1876.0,92.0,58.0,63.0,34.0,37.0,1164.0,8132.0,3650.0,120.0,89.0,20.0,73.0,35.0,1269.0,116.0,33,2815.0,85.0,82.3,31.3,32,87.0,23.0,1,32.0,1,1.27,37.0,34.0,3.0,0.1,1.14,37.9,38.1,-0.2,-0.01,0.73,5.0,0.0,0.0,20.0,64.0,1.0,185.0,12.0,16.0,2.0,1.0,0.0,172.0,27.0,42.0,39.1
Habib Maïga,ci CIV,MF,24.0,29.9,1.0,26.0,5.0,19.2,0.87,0.17,0.04,0.2,19.7,1.0,0.0,0.0,2.1,2.1,0.08,-1.1,-1.1,1158.0,1422.0,81.4,20508.0,5968.0,503.0,561.0,89.7,528.0,613.0,86.1,100.0,182.0,54.9,3.0,1.9,1.1,1.1,26.0,132.0,6.0,2.0,161.0,1422.0,1384.0,35.0,25.0,2.0,21.0,22.0,10.0,0.0,0.0,0.0,0.0,1158.0,3.0,21.0,74.0,2.47,60.0,0.0,3.0,3.0,7.0,1.0,10.0,0.33,7.0,0.0,1.0,1.0,1.0,0.0,81.0,52.0,36.0,40.0,5.0,42.0,85.0,49.4,43.0,37.0,6.0,31.0,49.0,130.0,36.0,0.0,1746.0,60.0,399.0,1145.0,233.0,32.0,1746.0,50.0,34.0,68.0,16.0,32.0,1032.0,4739.0,2357.0,47.0,31.0,4.0,46.0,33.0,1134.0,43.0,31,2693.0,87.0,78.7,29.9,31,87.0,26.0,0,,0,1.19,34.0,36.0,-2.0,-0.07,0.18,34.2,39.2,-5.0,-0.17,-0.15,9.0,0.0,0.0,64.0,36.0,2.0,22.0,49.0,52.0,1.0,0.0,0.0,230.0,39.0,31.0,55.7
Boubakar Kouyaté,ml MLI,DF,23.0,21.8,1.0,13.0,4.0,30.8,0.6,0.18,0.08,0.25,8.9,0.0,0.0,0.0,2.0,2.0,0.16,-1.0,-1.0,705.0,873.0,80.8,13345.0,5166.0,235.0,271.0,86.7,398.0,456.0,87.3,61.0,119.0,51.3,0.0,0.2,0.1,-0.2,3.0,19.0,1.0,0.0,23.0,873.0,853.0,19.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,1.0,6.0,7.0,0.32,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,35.0,45.0,15.0,0.0,32.0,58.0,55.2,26.0,44.0,27.0,17.0,60.0,120.0,132.0,1.0,1215.0,187.0,791.0,398.0,34.0,21.0,1215.0,3.0,2.0,66.7,1.0,33.3,596.0,2831.0,1220.0,1.0,3.0,0.0,12.0,5.0,602.0,3.0,25,1964.0,79.0,57.4,21.8,21,90.0,21.0,4,19.0,9,1.12,21.0,29.0,-8.0,-0.37,-0.61,24.2,28.1,-3.8,-0.18,-0.09,10.0,0.0,0.0,39.0,30.0,4.0,0.0,60.0,35.0,0.0,2.0,0.0,109.0,99.0,40.0,71.2
Victorien Angban,ci CIV,MF,23.0,18.6,0.0,6.0,1.0,16.7,0.32,0.05,0.0,0.0,22.1,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,780.0,890.0,87.6,14254.0,3981.0,327.0,360.0,90.8,350.0,385.0,90.9,94.0,118.0,79.7,1.0,0.5,0.7,0.5,12.0,81.0,6.0,1.0,90.0,890.0,871.0,18.0,15.0,0.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,780.0,1.0,11.0,25.0,1.35,22.0,1.0,0.0,0.0,2.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,17.0,15.0,4.0,17.0,42.0,40.5,25.0,17.0,4.0,13.0,19.0,55.0,9.0,1.0,1026.0,20.0,193.0,662.0,179.0,10.0,1026.0,31.0,21.0,67.7,10.0,32.3,648.0,3001.0,1393.0,20.0,18.0,1.0,23.0,30.0,713.0,30.0,26,1672.0,64.0,48.9,18.6,21,76.0,7.0,5,15.0,8,1.5,21.0,23.0,-2.0,-0.11,0.0,19.9,21.1,-1.2,-0.06,0.14,5.0,0.0,0.0,27.0,27.0,0.0,9.0,19.0,24.0,0.0,0.0,0.0,132.0,13.0,18.0,41.9
Thomas Delaine,fr FRA,"DF,FW",28.0,19.8,3.0,18.0,10.0,55.6,0.91,0.51,0.17,0.3,21.1,0.0,0.0,0.0,1.7,1.7,0.09,1.3,1.3,601.0,830.0,72.4,9277.0,2904.0,329.0,367.0,89.6,222.0,313.0,70.9,33.0,93.0,35.5,2.0,1.1,1.8,0.9,12.0,25.0,17.0,13.0,43.0,830.0,686.0,141.0,7.0,0.0,2.0,85.0,134.0,0.0,0.0,0.0,0.0,601.0,3.0,21.0,29.0,1.47,24.0,0.0,3.0,1.0,1.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,19.0,11.0,2.0,20.0,35.0,57.1,15.0,22.0,5.0,17.0,24.0,56.0,30.0,1.0,1029.0,48.0,295.0,444.0,304.0,24.0,1029.0,51.0,29.0,56.9,22.0,43.1,588.0,4611.0,3014.0,98.0,69.0,16.0,27.0,11.0,624.0,113.0,24,1779.0,74.0,52.0,19.8,19,85.0,13.0,5,34.0,11,1.0,18.0,25.0,-7.0,-0.35,-0.52,21.9,28.9,-7.0,-0.35,-0.46,4.0,0.0,0.0,21.0,17.0,0.0,85.0,24.0,18.0,0.0,0.0,0.0,85.0,8.0,19.0,29.6
Matthieu Udol,fr FRA,DF,24.0,19.2,0.0,13.0,4.0,30.8,0.68,0.21,0.0,0.0,21.5,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,775.0,959.0,80.8,12133.0,4433.0,418.0,462.0,90.5,295.0,348.0,84.8,44.0,103.0,42.7,3.0,2.7,1.8,0.3,23.0,35.0,16.0,10.0,58.0,959.0,761.0,197.0,23.0,0.0,3.0,59.0,173.0,0.0,0.0,0.0,0.0,775.0,1.0,21.0,39.0,2.03,34.0,3.0,0.0,2.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,18.0,12.0,4.0,17.0,39.0,43.6,22.0,25.0,5.0,20.0,39.0,73.0,30.0,0.0,1171.0,41.0,365.0,535.0,283.0,19.0,1171.0,31.0,15.0,48.4,16.0,51.6,615.0,3444.0,1848.0,50.0,31.0,6.0,32.0,17.0,660.0,77.0,25,1724.0,69.0,50.4,19.2,19,85.0,16.0,6,17.0,4,1.36,29.0,25.0,4.0,0.21,0.63,23.6,22.7,0.8,0.04,0.36,1.0,1.0,0.0,15.0,18.0,0.0,59.0,39.0,21.0,0.0,2.0,0.0,108.0,17.0,14.0,54.8
