player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Thomas Foket,be BEL,DF,25.0,36.9,0.0,6.0,3.0,50.0,0.16,0.08,0.0,0.0,22.4,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1506.0,1923.0,78.3,26638.0,8532.0,685.0,777.0,88.2,649.0,788.0,82.4,149.0,262.0,56.9,3.0,1.3,1.6,1.7,24.0,70.0,25.0,14.0,102.0,1923.0,1523.0,395.0,29.0,0.0,18.0,59.0,364.0,0.0,0.0,0.0,0.0,1506.0,5.0,43.0,49.0,1.33,43.0,4.0,1.0,0.0,1.0,0.0,5.0,0.14,4.0,0.0,0.0,0.0,1.0,0.0,77.0,43.0,50.0,20.0,7.0,40.0,69.0,58.0,29.0,28.0,7.0,21.0,69.0,146.0,92.0,2.0,2266.0,121.0,884.0,896.0,504.0,24.0,2266.0,30.0,18.0,60.0,12.0,40.0,1140.0,6504.0,3751.0,90.0,60.0,3.0,37.0,17.0,1268.0,149.0,37,3324.0,90.0,97.2,36.9,37,90.0,36.0,0,,0,1.14,42.0,49.0,-7.0,-0.19,0.75,32.5,57.8,-25.4,-0.69,0.18,4.0,0.0,0.0,33.0,34.0,4.0,59.0,69.0,43.0,1.0,0.0,1.0,181.0,28.0,42.0,40.0
Predrag Rajković,rs SRB,GK,24.0,36.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,966.0,1451.0,66.6,27846.0,18754.0,137.0,137.0,100.0,491.0,497.0,98.8,335.0,809.0,41.4,0.0,0.0,0.1,0.0,1.0,28.0,3.0,0.0,0.0,1451.0,990.0,456.0,116.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,5.0,0.0,6.0,0.16,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,2.0,4.0,17.0,3.0,1552.0,1185.0,1533.0,20.0,0.0,0.0,1552.0,2.0,2.0,100.0,0.0,0.0,830.0,4480.0,2630.0,0.0,0.0,0.0,2.0,0.0,685.0,0.0,37,3285.0,89.0,96.1,36.5,37,89.0,36.0,0,,0,1.14,41.0,49.0,-8.0,-0.22,-0.22,30.7,57.5,-26.8,-0.73,-1.08,2.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,45.0,7.0,0.0,100.0
Boulaye Dia,sn SEN,"FW,MF",23.0,32.6,14.0,58.0,22.0,37.9,1.78,0.68,0.16,0.41,16.2,0.0,5.0,5.0,12.5,8.6,0.15,1.5,0.4,488.0,621.0,78.6,7138.0,1270.0,265.0,325.0,81.5,153.0,176.0,86.9,33.0,41.0,80.5,1.0,1.8,1.3,-0.8,29.0,30.0,17.0,1.0,56.0,621.0,577.0,42.0,0.0,1.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,488.0,2.0,15.0,75.0,2.3,48.0,0.0,11.0,8.0,7.0,1.0,9.0,0.28,1.0,0.0,5.0,2.0,1.0,0.0,23.0,12.0,3.0,11.0,9.0,4.0,22.0,18.2,18.0,19.0,5.0,14.0,12.0,35.0,37.0,1.0,971.0,45.0,134.0,413.0,447.0,129.0,966.0,83.0,46.0,55.4,37.0,44.6,555.0,3576.0,1733.0,68.0,39.0,36.0,87.0,53.0,668.0,163.0,36,2930.0,81.0,85.7,32.6,35,83.0,16.0,1,33.0,1,1.17,41.0,39.0,2.0,0.06,1.9,30.8,48.0,-17.1,-0.53,1.15,2.0,0.0,0.0,31.0,36.0,14.0,14.0,12.0,12.0,1.0,0.0,0.0,109.0,31.0,92.0,25.2
Wout Faes,be BEL,DF,22.0,32.2,1.0,11.0,1.0,9.1,0.34,0.03,0.09,1.0,10.8,0.0,0.0,0.0,1.2,1.2,0.11,-0.2,-0.2,1380.0,1608.0,85.8,29173.0,10222.0,380.0,422.0,90.0,773.0,838.0,92.2,219.0,324.0,67.6,0.0,0.1,0.3,-0.1,2.0,85.0,4.0,0.0,86.0,1608.0,1577.0,25.0,22.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,1380.0,6.0,5.0,10.0,0.31,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,35.0,22.0,26.0,9.0,0.0,20.0,39.0,51.3,19.0,40.0,31.0,9.0,68.0,103.0,144.0,1.0,1969.0,303.0,1173.0,776.0,31.0,20.0,1969.0,16.0,12.0,75.0,4.0,25.0,1155.0,5544.0,3180.0,22.0,10.0,3.0,11.0,9.0,1286.0,2.0,33,2899.0,88.0,84.8,32.2,33,88.0,31.0,0,,0,1.21,39.0,41.0,-2.0,-0.06,0.97,27.7,47.1,-19.4,-0.6,0.58,13.0,2.0,1.0,23.0,15.0,0.0,0.0,68.0,22.0,0.0,2.0,0.0,163.0,57.0,39.0,59.4
Yunis Abdelhamid,ma MAR,DF,32.0,32.1,3.0,15.0,5.0,33.3,0.47,0.16,0.2,0.6,10.5,0.0,0.0,0.0,1.9,1.9,0.13,1.1,1.1,1506.0,1762.0,85.5,30174.0,12190.0,427.0,483.0,88.4,909.0,999.0,91.0,154.0,238.0,64.7,0.0,0.3,0.3,-0.3,4.0,76.0,1.0,0.0,99.0,1762.0,1697.0,60.0,60.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.0,5.0,10.0,17.0,0.53,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,36.0,23.0,0.0,26.0,42.0,61.9,16.0,34.0,15.0,19.0,61.0,120.0,132.0,0.0,2103.0,230.0,1160.0,920.0,38.0,23.0,2103.0,16.0,7.0,43.8,9.0,56.3,1255.0,6240.0,3618.0,18.0,5.0,1.0,14.0,12.0,1354.0,3.0,33,2889.0,88.0,84.5,32.1,33,88.0,32.0,0,,0,1.18,37.0,39.0,-2.0,-0.06,0.95,29.1,45.4,-16.2,-0.51,1.2,4.0,1.0,0.0,37.0,22.0,0.0,0.0,61.0,37.0,0.0,1.0,0.0,200.0,92.0,53.0,63.4
Ghislain Konan,ci CIV,DF,24.0,29.0,2.0,8.0,4.0,50.0,0.28,0.14,0.25,0.5,23.8,0.0,0.0,0.0,0.3,0.3,0.04,1.7,1.7,1170.0,1490.0,78.5,19113.0,6819.0,569.0,641.0,88.8,491.0,610.0,80.5,81.0,155.0,52.3,1.0,1.1,1.6,-0.1,18.0,85.0,19.0,11.0,120.0,1490.0,1203.0,283.0,22.0,0.0,5.0,64.0,260.0,0.0,0.0,0.0,0.0,1170.0,4.0,29.0,43.0,1.48,34.0,1.0,5.0,1.0,0.0,2.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,57.0,32.0,35.0,17.0,5.0,32.0,56.0,57.1,24.0,25.0,11.0,14.0,30.0,87.0,67.0,0.0,1786.0,123.0,604.0,812.0,403.0,12.0,1786.0,73.0,43.0,58.9,30.0,41.1,909.0,6515.0,4021.0,106.0,71.0,4.0,34.0,24.0,1010.0,127.0,31,2613.0,84.0,76.4,29.0,29,89.0,27.0,2,16.0,0,1.06,27.0,35.0,-8.0,-0.28,-0.28,23.6,45.3,-21.7,-0.75,-0.23,5.0,0.0,0.0,24.0,24.0,3.0,64.0,30.0,32.0,0.0,2.0,0.0,174.0,25.0,27.0,48.1
Xavier Chavalerin,fr FRA,MF,29.0,28.3,0.0,22.0,6.0,27.3,0.78,0.21,0.0,0.0,21.4,0.0,0.0,0.0,1.2,1.2,0.06,-1.2,-1.2,843.0,1017.0,82.9,14334.0,4525.0,431.0,483.0,89.2,289.0,337.0,85.8,96.0,136.0,70.6,3.0,2.6,1.7,0.4,23.0,86.0,14.0,3.0,101.0,1017.0,993.0,21.0,18.0,3.0,11.0,20.0,1.0,2.0,2.0,0.0,0.0,843.0,3.0,17.0,36.0,1.27,29.0,1.0,0.0,3.0,1.0,2.0,4.0,0.14,2.0,0.0,0.0,1.0,0.0,1.0,92.0,50.0,47.0,38.0,7.0,26.0,74.0,35.1,48.0,43.0,9.0,34.0,43.0,135.0,29.0,1.0,1302.0,49.0,421.0,677.0,214.0,25.0,1302.0,27.0,18.0,66.7,9.0,33.3,648.0,2610.0,1058.0,11.0,13.0,0.0,23.0,11.0,807.0,44.0,30,2547.0,85.0,74.5,28.3,29,88.0,25.0,1,9.0,0,1.1,26.0,33.0,-7.0,-0.25,-0.14,21.5,42.6,-21.2,-0.75,-0.22,8.0,0.0,0.0,38.0,6.0,3.0,20.0,43.0,50.0,0.0,0.0,0.0,120.0,15.0,16.0,48.4
Nathanael Mbuku,fr FRA,"MF,FW",18.0,24.6,4.0,39.0,18.0,46.2,1.59,0.73,0.1,0.22,18.2,0.0,0.0,0.0,2.6,2.6,0.07,1.4,1.4,439.0,578.0,76.0,6748.0,1979.0,241.0,275.0,87.6,149.0,189.0,78.8,33.0,64.0,51.6,1.0,2.4,3.2,-1.4,25.0,28.0,32.0,3.0,77.0,578.0,549.0,24.0,4.0,4.0,2.0,43.0,3.0,14.0,8.0,3.0,0.0,439.0,5.0,13.0,61.0,2.48,41.0,4.0,3.0,4.0,8.0,1.0,6.0,0.24,2.0,0.0,1.0,2.0,1.0,0.0,33.0,19.0,9.0,13.0,11.0,8.0,28.0,28.6,20.0,17.0,0.0,17.0,14.0,47.0,10.0,0.0,817.0,14.0,115.0,340.0,378.0,54.0,817.0,68.0,43.0,63.2,25.0,36.8,533.0,3200.0,1799.0,47.0,38.0,13.0,48.0,27.0,593.0,114.0,32,2210.0,69.0,64.6,24.6,28,75.0,4.0,4,27.0,2,1.09,26.0,28.0,-2.0,-0.08,0.36,21.5,37.6,-16.2,-0.66,0.1,3.0,0.0,0.0,26.0,59.0,3.0,43.0,14.0,19.0,1.0,1.0,0.0,105.0,26.0,43.0,37.7
Mathieu Cafaro,fr FRA,"MF,FW",23.0,23.0,4.0,60.0,21.0,35.0,2.6,0.91,0.07,0.19,24.9,10.0,0.0,0.0,2.7,2.7,0.04,1.3,1.3,515.0,840.0,61.3,9450.0,2697.0,242.0,308.0,78.6,183.0,275.0,66.5,77.0,197.0,39.1,2.0,2.6,2.4,-0.6,24.0,54.0,25.0,10.0,69.0,840.0,761.0,72.0,36.0,2.0,14.0,110.0,2.0,34.0,17.0,17.0,0.0,515.0,7.0,22.0,47.0,2.04,30.0,9.0,3.0,1.0,2.0,2.0,7.0,0.3,6.0,0.0,0.0,1.0,0.0,0.0,40.0,17.0,15.0,19.0,6.0,13.0,43.0,30.2,30.0,11.0,0.0,11.0,17.0,57.0,12.0,0.0,1110.0,13.0,180.0,497.0,454.0,44.0,1110.0,52.0,21.0,40.4,31.0,59.6,660.0,4307.0,2159.0,61.0,52.0,14.0,57.0,13.0,767.0,111.0,31,2074.0,67.0,60.6,23.0,27,73.0,5.0,4,27.0,3,1.19,28.0,25.0,3.0,0.13,0.87,20.9,32.8,-11.9,-0.52,0.44,3.0,0.0,0.0,29.0,37.0,5.0,110.0,17.0,17.0,0.0,0.0,0.0,111.0,8.0,17.0,32.0
Moreto Cassamã,gw GNB,MF,22.0,22.6,1.0,11.0,2.0,18.2,0.49,0.09,0.09,0.5,27.8,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,1225.0,1398.0,87.6,25441.0,6620.0,411.0,442.0,93.0,575.0,623.0,92.3,223.0,300.0,74.3,1.0,0.7,0.9,0.3,15.0,113.0,8.0,1.0,112.0,1398.0,1332.0,63.0,57.0,1.0,29.0,19.0,0.0,6.0,2.0,4.0,0.0,1225.0,3.0,8.0,40.0,1.77,32.0,6.0,2.0,0.0,0.0,0.0,3.0,0.13,2.0,1.0,0.0,0.0,0.0,0.0,49.0,36.0,24.0,23.0,2.0,27.0,49.0,55.1,22.0,19.0,6.0,13.0,36.0,85.0,33.0,4.0,1595.0,68.0,532.0,947.0,137.0,2.0,1595.0,33.0,27.0,81.8,6.0,18.2,1004.0,4766.0,2175.0,17.0,17.0,1.0,33.0,11.0,1141.0,12.0,29,2031.0,70.0,59.4,22.6,26,76.0,11.0,3,22.0,2,0.97,25.0,35.0,-10.0,-0.44,-0.57,17.9,38.0,-20.0,-0.89,-0.48,8.0,3.0,0.0,30.0,27.0,0.0,19.0,36.0,36.0,0.0,0.0,0.0,172.0,6.0,13.0,31.6
