player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Seko Fofana,ci CIV,MF,26.0,37.3,8.0,97.0,32.0,33.0,2.6,0.86,0.08,0.25,21.0,0.0,0.0,0.0,6.4,6.4,0.07,1.6,1.6,1574.0,1786.0,88.1,23818.0,4758.0,870.0,945.0,92.1,542.0,607.0,89.3,97.0,131.0,74.0,1.0,3.1,2.7,-2.1,40.0,99.0,39.0,6.0,178.0,1786.0,1773.0,13.0,9.0,2.0,22.0,41.0,4.0,0.0,0.0,0.0,0.0,1574.0,0.0,19.0,118.0,3.16,89.0,0.0,13.0,8.0,7.0,1.0,9.0,0.24,7.0,0.0,0.0,0.0,1.0,1.0,27.0,19.0,11.0,13.0,3.0,12.0,58.0,20.7,46.0,24.0,2.0,22.0,26.0,53.0,17.0,1.0,2195.0,32.0,268.0,1280.0,687.0,105.0,2195.0,123.0,79.0,64.2,44.0,35.8,1616.0,10414.0,5140.0,131.0,95.0,29.0,86.0,50.0,1760.0,227.0,38,3357.0,88.0,98.2,37.3,38,88.0,31,0,,0,1.63,61.0,48.0,13.0,0.35,-1.08,49.6,42.0,7.6,0.2,0.29,2.0,0.0,0.0,27.0,45.0,5.0,41.0,26.0,19.0,0.0,0.0,0.0,210.0,15.0,13.0,53.6
Jonathan Gradit,fr FRA,DF,28.0,34.1,0.0,5.0,0.0,0.0,0.15,0.0,0.0,,30.0,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,1840.0,2072.0,88.8,33549.0,11497.0,746.0,802.0,93.0,901.0,977.0,92.2,166.0,235.0,70.6,0.0,1.8,1.1,-1.8,15.0,207.0,13.0,3.0,210.0,2072.0,2016.0,53.0,45.0,2.0,26.0,10.0,8.0,0.0,0.0,0.0,0.0,1840.0,3.0,11.0,40.0,1.17,38.0,0.0,0.0,1.0,0.0,1.0,5.0,0.15,5.0,0.0,0.0,0.0,0.0,0.0,60.0,28.0,24.0,28.0,8.0,25.0,45.0,55.6,20.0,39.0,27.0,12.0,65.0,125.0,106.0,0.0,2391.0,169.0,783.0,1499.0,132.0,3.0,2391.0,21.0,16.0,76.2,5.0,23.8,1619.0,9571.0,6029.0,65.0,48.0,3.0,15.0,9.0,1668.0,15.0,35,3067.0,88.0,89.7,34.1,35,88.0,29,0,,0,1.63,56.0,42.0,14.0,0.41,0.41,43.8,38.2,5.6,0.17,-0.31,7.0,0.0,0.0,41.0,37.0,0.0,10.0,65.0,28.0,0.0,0.0,0.0,221.0,47.0,52.0,47.5
Jonathan Clauss,fr FRA,DF,28.0,33.8,5.0,40.0,16.0,40.0,1.18,0.47,0.13,0.31,22.1,12.0,0.0,0.0,3.0,3.0,0.07,2.0,2.0,1243.0,1883.0,66.0,22171.0,9437.0,594.0,723.0,82.2,450.0,639.0,70.4,162.0,399.0,40.6,11.0,7.0,7.6,4.0,74.0,82.0,60.0,23.0,140.0,1883.0,1348.0,522.0,46.0,4.0,8.0,348.0,291.0,185.0,59.0,95.0,0.0,1243.0,13.0,36.0,142.0,4.2,82.0,46.0,3.0,5.0,2.0,4.0,21.0,0.62,16.0,2.0,1.0,1.0,0.0,1.0,63.0,34.0,33.0,20.0,10.0,22.0,55.0,40.0,33.0,43.0,1.0,42.0,73.0,136.0,51.0,0.0,2243.0,66.0,432.0,823.0,1021.0,63.0,2243.0,60.0,29.0,48.3,31.0,51.7,1109.0,6466.0,3667.0,110.0,77.0,22.0,47.0,13.0,1155.0,303.0,37,3046.0,82.0,89.1,33.8,35,86.0,15,2,19.0,0,1.68,51.0,42.0,9.0,0.27,-0.94,42.4,36.7,5.7,0.17,-0.26,3.0,0.0,0.0,38.0,14.0,4.0,348.0,73.0,34.0,0.0,0.0,0.0,203.0,16.0,10.0,61.5
Cheick Doucouré,ml MLI,MF,21.0,32.7,1.0,31.0,11.0,35.5,0.95,0.34,0.03,0.09,22.9,0.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6,1656.0,1904.0,87.0,27773.0,8109.0,750.0,832.0,90.1,719.0,803.0,89.5,127.0,162.0,78.4,4.0,3.6,2.9,0.4,41.0,212.0,23.0,0.0,266.0,1904.0,1877.0,22.0,22.0,16.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,1656.0,5.0,24.0,96.0,2.93,83.0,0.0,3.0,4.0,3.0,3.0,9.0,0.28,7.0,0.0,0.0,2.0,0.0,0.0,75.0,43.0,34.0,34.0,7.0,35.0,79.0,44.3,44.0,30.0,7.0,23.0,68.0,143.0,24.0,0.0,2193.0,46.0,389.0,1484.0,344.0,17.0,2193.0,32.0,23.0,71.9,9.0,28.1,1465.0,8072.0,4383.0,54.0,52.0,2.0,36.0,29.0,1589.0,32.0,34,2946.0,87.0,86.1,32.7,33,88.0,28,1,28.0,0,1.62,52.0,39.0,13.0,0.4,0.21,42.3,37.7,4.6,0.14,-0.4,7.0,1.0,0.0,42.0,24.0,0.0,6.0,68.0,43.0,0.0,0.0,0.0,218.0,22.0,20.0,52.4
Kevin Danso,at AUT,DF,22.0,31.0,2.0,13.0,4.0,30.8,0.42,0.13,0.15,0.5,10.6,0.0,0.0,0.0,1.7,1.7,0.13,0.3,0.3,1615.0,1875.0,86.1,31405.0,12726.0,528.0,598.0,88.3,908.0,989.0,91.8,163.0,252.0,64.7,2.0,0.5,0.3,1.5,10.0,58.0,2.0,0.0,91.0,1875.0,1814.0,57.0,51.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,1615.0,4.0,10.0,25.0,0.81,20.0,1.0,1.0,1.0,2.0,0.0,3.0,0.1,1.0,0.0,0.0,0.0,2.0,0.0,41.0,29.0,29.0,12.0,0.0,23.0,34.0,67.6,11.0,38.0,25.0,13.0,40.0,81.0,111.0,0.0,2172.0,228.0,1013.0,1134.0,41.0,17.0,2172.0,10.0,8.0,80.0,2.0,20.0,1471.0,9793.0,5226.0,9.0,8.0,0.0,15.0,4.0,1436.0,1.0,33,2790.0,85.0,81.6,31.0,32,87.0,28,1,5.0,2,1.73,50.0,36.0,14.0,0.45,0.45,39.5,32.7,6.8,0.22,0.12,9.0,2.0,1.0,43.0,36.0,1.0,1.0,40.0,29.0,1.0,0.0,0.0,206.0,72.0,30.0,70.6
Facundo Medina,ar ARG,DF,22.0,28.8,1.0,9.0,2.0,22.2,0.31,0.07,0.11,0.5,9.9,0.0,0.0,0.0,1.3,1.3,0.15,-0.3,-0.3,2018.0,2262.0,89.2,34890.0,14518.0,931.0,991.0,93.9,848.0,920.0,92.2,185.0,259.0,71.4,0.0,0.2,0.7,-0.2,5.0,166.0,6.0,0.0,201.0,2262.0,2161.0,99.0,68.0,2.0,21.0,5.0,26.0,0.0,0.0,0.0,0.0,2018.0,2.0,22.0,33.0,1.15,28.0,2.0,1.0,2.0,0.0,0.0,5.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,61.0,42.0,34.0,23.0,4.0,38.0,62.0,61.3,24.0,24.0,8.0,16.0,37.0,98.0,78.0,3.0,2516.0,197.0,942.0,1485.0,113.0,21.0,2516.0,21.0,16.0,76.2,5.0,23.8,1783.0,9955.0,6430.0,52.0,21.0,1.0,24.0,13.0,1829.0,12.0,31,2593.0,84.0,75.8,28.8,30,86.0,25,1,12.0,1,1.71,48.0,36.0,12.0,0.42,0.2,37.8,30.8,6.9,0.24,0.18,11.0,0.0,0.0,36.0,11.0,0.0,5.0,37.0,42.0,0.0,2.0,0.0,224.0,37.0,34.0,52.1
Florian Sotoca,fr FRA,"FW,MF",30.0,27.6,6.0,69.0,24.0,34.8,2.5,0.87,0.06,0.17,15.5,0.0,2.0,2.0,8.5,6.9,0.1,-2.5,-2.9,911.0,1206.0,75.5,15500.0,3374.0,447.0,560.0,79.8,304.0,393.0,77.4,109.0,146.0,74.7,4.0,3.2,3.2,0.8,31.0,90.0,22.0,7.0,124.0,1206.0,1147.0,54.0,8.0,4.0,37.0,48.0,16.0,1.0,0.0,0.0,0.0,911.0,5.0,29.0,80.0,2.91,58.0,0.0,7.0,8.0,4.0,3.0,9.0,0.33,4.0,0.0,1.0,3.0,1.0,0.0,31.0,19.0,7.0,20.0,4.0,12.0,51.0,23.5,39.0,31.0,4.0,27.0,25.0,56.0,41.0,0.0,1546.0,45.0,181.0,866.0,515.0,118.0,1544.0,50.0,30.0,60.0,20.0,40.0,982.0,4904.0,2100.0,51.0,44.0,12.0,65.0,26.0,1160.0,194.0,35,2480.0,71.0,72.5,27.6,28,81.0,11,7,30.0,1,1.77,48.0,36.0,12.0,0.44,0.24,35.0,31.5,3.5,0.13,-0.25,7.0,0.0,0.0,37.0,34.0,8.0,48.0,25.0,19.0,0.0,0.0,0.0,116.0,89.0,48.0,65.0
Przemysław Frankowski,pl POL,DF,26.0,27.2,6.0,34.0,13.0,38.2,1.25,0.48,0.18,0.46,17.9,0.0,0.0,0.0,2.4,2.4,0.07,3.6,3.6,1156.0,1449.0,79.8,17885.0,4839.0,604.0,677.0,89.2,435.0,534.0,81.5,70.0,116.0,60.3,5.0,3.7,3.5,1.3,37.0,60.0,33.0,10.0,89.0,1449.0,1211.0,229.0,8.0,4.0,5.0,71.0,216.0,5.0,2.0,3.0,0.0,1156.0,9.0,39.0,68.0,2.5,58.0,2.0,4.0,2.0,2.0,0.0,8.0,0.29,7.0,0.0,0.0,0.0,1.0,0.0,57.0,39.0,22.0,27.0,8.0,36.0,74.0,48.6,38.0,27.0,0.0,27.0,28.0,85.0,52.0,0.0,1740.0,67.0,416.0,748.0,592.0,63.0,1740.0,38.0,16.0,42.1,22.0,57.9,955.0,4654.0,2167.0,53.0,44.0,7.0,39.0,17.0,1067.0,223.0,37,2448.0,66.0,71.6,27.2,28,81.0,16,9,19.0,0,1.65,45.0,37.0,8.0,0.29,-0.26,36.3,32.7,3.6,0.13,-0.23,5.0,0.0,0.0,36.0,9.0,2.0,71.0,28.0,39.0,0.0,1.0,0.0,130.0,12.0,11.0,52.2
Jean-Louis Leca,fr FRA,GK,35.0,25.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,559.0,735.0,76.1,13866.0,10681.0,173.0,175.0,98.9,223.0,227.0,98.2,149.0,317.0,47.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,735.0,495.0,239.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,1.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,795.0,719.0,793.0,0.0,2.0,2.0,795.0,0.0,0.0,,0.0,,422.0,2162.0,1239.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,27,2313.0,86.0,67.6,25.7,27,86.0,25,0,,7,1.41,38.0,33.0,5.0,0.19,-0.54,32.4,30.3,2.1,0.08,-0.36,3.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,4.0,1.0,80.0
Arnaud Kalimuendo,fr FRA,FW,19.0,23.9,12.0,60.0,29.0,48.3,2.51,1.22,0.17,0.34,17.1,0.0,2.0,2.0,8.9,7.3,0.12,3.1,2.7,404.0,483.0,83.6,5378.0,606.0,233.0,264.0,88.3,129.0,148.0,87.2,11.0,17.0,64.7,0.0,1.6,1.3,-1.6,21.0,11.0,16.0,2.0,30.0,483.0,436.0,47.0,2.0,2.0,1.0,17.0,6.0,0.0,0.0,0.0,0.0,404.0,0.0,11.0,55.0,2.31,40.0,0.0,5.0,5.0,3.0,2.0,6.0,0.25,3.0,0.0,2.0,1.0,0.0,0.0,9.0,8.0,1.0,3.0,5.0,2.0,7.0,28.6,5.0,6.0,1.0,5.0,8.0,17.0,0.0,0.0,726.0,0.0,24.0,296.0,416.0,95.0,724.0,61.0,27.0,44.3,34.0,55.7,558.0,3310.0,1355.0,49.0,35.0,15.0,80.0,62.0,606.0,192.0,32,2148.0,67.0,62.8,23.9,27,75.0,5,5,26.0,0,1.72,40.0,28.0,12.0,0.5,0.36,29.4,27.7,1.7,0.07,-0.34,1.0,1.0,0.0,13.0,32.0,14.0,17.0,8.0,8.0,0.0,0.0,0.0,51.0,4.0,26.0,13.3
