player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
William Saliba,fr FRA,DF,20.0,36.0,0.0,17.0,4.0,23.5,0.47,0.11,0.0,0.0,10.0,0.0,0.0,0.0,1.7,1.7,0.1,-1.7,-1.7,2853.0,3068.0,93.0,50153.0,15749.0,1134.0,1205.0,94.1,1502.0,1560.0,96.3,174.0,226.0,77.0,0.0,0.4,1.6,-0.4,6.0,201.0,12.0,2.0,220.0,3068.0,2971.0,95.0,77.0,0.0,12.0,4.0,18.0,0.0,0.0,0.0,0.0,2853.0,2.0,19.0,29.0,0.81,26.0,0.0,0.0,2.0,0.0,1.0,3.0,0.08,2.0,0.0,0.0,1.0,0.0,0.0,54.0,32.0,36.0,16.0,2.0,27.0,35.0,77.1,8.0,24.0,16.0,8.0,48.0,102.0,85.0,0.0,3348.0,221.0,1255.0,1955.0,154.0,37.0,3348.0,41.0,31.0,75.6,10.0,24.4,2483.0,13653.0,8058.0,50.0,24.0,3.0,25.0,16.0,2596.0,14.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,1,1.86,59.0,38.0,21.0,0.58,-1.42,55.1,37.5,17.6,0.49,-0.31,5.0,0.0,0.0,17.0,11.0,1.0,4.0,48.0,32.0,0.0,0.0,0.0,260.0,46.0,29.0,61.3
Mattéo Guendouzi,fr FRA,MF,22.0,35.0,4.0,50.0,18.0,36.0,1.43,0.51,0.08,0.22,18.1,0.0,0.0,0.0,3.5,3.5,0.07,0.5,0.5,1882.0,2178.0,86.4,31940.0,8136.0,893.0,966.0,92.4,750.0,836.0,89.7,177.0,227.0,78.0,6.0,3.6,3.5,2.4,35.0,214.0,53.0,4.0,286.0,2178.0,2084.0,83.0,38.0,6.0,15.0,49.0,24.0,14.0,4.0,3.0,0.0,1882.0,11.0,47.0,111.0,3.17,85.0,3.0,9.0,6.0,7.0,1.0,12.0,0.34,10.0,0.0,0.0,0.0,2.0,0.0,45.0,30.0,10.0,26.0,9.0,13.0,47.0,27.7,34.0,15.0,1.0,14.0,16.0,61.0,18.0,0.0,2463.0,33.0,301.0,1478.0,707.0,81.0,2463.0,51.0,30.0,58.8,21.0,41.2,1897.0,10370.0,5250.0,100.0,82.0,19.0,59.0,44.0,2025.0,175.0,38,3152.0,83.0,92.2,35.0,35,88.0,30,3,21.0,0,1.87,61.0,36.0,25.0,0.71,0.71,54.3,36.5,17.8,0.51,0.04,6.0,0.0,0.0,28.0,67.0,0.0,49.0,16.0,30.0,2.0,0.0,0.0,178.0,23.0,30.0,43.4
Boubacar Kamara,fr FRA,"MF,DF",21.0,30.9,1.0,22.0,3.0,13.6,0.71,0.1,0.05,0.33,20.5,0.0,0.0,0.0,1.0,1.0,0.05,0.0,0.0,2193.0,2425.0,90.4,35017.0,9468.0,1152.0,1215.0,94.8,784.0,845.0,92.8,176.0,249.0,70.7,0.0,3.0,2.1,-3.0,24.0,203.0,17.0,0.0,206.0,2425.0,2336.0,87.0,55.0,7.0,18.0,8.0,32.0,0.0,0.0,0.0,0.0,2193.0,2.0,24.0,53.0,1.72,43.0,1.0,0.0,3.0,6.0,0.0,5.0,0.16,3.0,0.0,0.0,1.0,1.0,0.0,68.0,38.0,27.0,36.0,5.0,26.0,47.0,55.3,21.0,29.0,10.0,19.0,46.0,114.0,44.0,1.0,2718.0,89.0,641.0,1724.0,372.0,37.0,2718.0,26.0,16.0,61.5,10.0,38.5,1930.0,7898.0,3496.0,25.0,38.0,2.0,31.0,14.0,2070.0,50.0,34,2778.0,82.0,81.2,30.9,31,87.0,26,3,26.0,2,1.97,53.0,30.0,23.0,0.75,0.46,46.6,30.6,16.0,0.52,0.07,5.0,0.0,0.0,40.0,42.0,0.0,8.0,46.0,38.0,1.0,1.0,0.0,183.0,40.0,37.0,51.9
Luan Peres Petroni,br BRA,DF,27.0,29.8,0.0,3.0,0.0,0.0,0.1,0.0,0.0,,24.6,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,1725.0,1975.0,87.3,28535.0,7722.0,830.0,892.0,93.0,722.0,808.0,89.4,128.0,206.0,62.1,2.0,1.7,1.3,0.3,17.0,136.0,7.0,6.0,124.0,1975.0,1759.0,212.0,40.0,0.0,14.0,24.0,172.0,0.0,0.0,0.0,0.0,1725.0,4.0,17.0,33.0,1.11,27.0,1.0,1.0,0.0,0.0,4.0,5.0,0.17,4.0,0.0,0.0,0.0,0.0,1.0,65.0,35.0,33.0,25.0,7.0,36.0,52.0,69.2,16.0,26.0,12.0,14.0,43.0,108.0,64.0,1.0,2241.0,101.0,655.0,1282.0,316.0,15.0,2241.0,18.0,13.0,72.2,5.0,27.8,1445.0,7358.0,4282.0,52.0,58.0,1.0,26.0,12.0,1535.0,50.0,34,2679.0,79.0,78.3,29.8,29,89.0,26,5,18.0,2,1.82,50.0,25.0,25.0,0.84,0.84,46.3,31.0,15.3,0.51,0.04,6.0,0.0,0.0,19.0,18.0,0.0,24.0,43.0,35.0,0.0,1.0,1.0,143.0,41.0,24.0,63.1
Pau López,es ESP,GK,26.0,29.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1136.0,1334.0,85.2,25402.0,15433.0,298.0,298.0,100.0,620.0,627.0,98.9,216.0,405.0,53.3,1.0,0.7,0.1,0.3,1.0,14.0,0.0,0.0,1.0,1334.0,1108.0,225.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.0,1.0,1.0,6.0,0.21,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1384.0,801.0,1323.0,63.0,0.0,0.0,1384.0,0.0,0.0,,0.0,,962.0,4043.0,2367.0,0.0,0.0,0.0,1.0,0.0,842.0,0.0,29,2610.0,90.0,76.3,29.0,29,90.0,29,0,,7,1.76,45.0,31.0,14.0,0.48,-0.74,43.6,32.0,11.6,0.4,-0.44,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,0.0,100.0
Gerson,br BRA,"MF,FW",24.0,28.3,9.0,45.0,18.0,40.0,1.59,0.64,0.2,0.5,17.2,0.0,0.0,0.0,4.9,4.9,0.11,4.1,4.1,1184.0,1326.0,89.3,17408.0,2930.0,663.0,708.0,93.6,389.0,428.0,90.9,70.0,90.0,77.8,4.0,3.1,2.5,0.9,30.0,72.0,25.0,3.0,94.0,1326.0,1231.0,92.0,32.0,1.0,9.0,22.0,56.0,4.0,0.0,0.0,0.0,1184.0,3.0,23.0,82.0,2.9,59.0,0.0,4.0,8.0,9.0,2.0,12.0,0.42,8.0,0.0,0.0,2.0,2.0,0.0,42.0,17.0,16.0,20.0,6.0,8.0,35.0,22.9,27.0,26.0,4.0,22.0,16.0,58.0,16.0,2.0,1573.0,31.0,189.0,822.0,580.0,87.0,1573.0,47.0,30.0,63.8,17.0,36.2,1127.0,5803.0,2694.0,61.0,51.0,16.0,41.0,31.0,1227.0,172.0,35,2544.0,73.0,74.4,28.3,29,84.0,16,6,18.0,1,1.86,46.0,33.0,13.0,0.46,-0.77,43.5,26.6,16.9,0.6,0.37,3.0,0.0,0.0,45.0,67.0,2.0,22.0,16.0,17.0,2.0,0.0,0.0,109.0,23.0,19.0,54.8
Dimitri Payet,fr FRA,"FW,MF",34.0,28.8,12.0,61.0,18.0,29.5,2.12,0.62,0.08,0.28,24.4,24.0,7.0,7.0,10.6,5.1,0.08,1.4,-0.1,1241.0,1675.0,74.1,21543.0,6101.0,637.0,733.0,86.9,376.0,502.0,74.9,168.0,319.0,52.7,10.0,10.0,10.2,0.0,99.0,120.0,66.0,11.0,187.0,1675.0,1421.0,243.0,64.0,20.0,20.0,236.0,19.0,139.0,64.0,62.0,0.0,1241.0,11.0,26.0,191.0,6.63,116.0,46.0,10.0,5.0,14.0,0.0,20.0,0.69,12.0,5.0,1.0,0.0,2.0,0.0,16.0,8.0,4.0,10.0,2.0,7.0,31.0,22.6,24.0,9.0,0.0,9.0,9.0,25.0,3.0,0.0,1859.0,1.0,87.0,737.0,1047.0,77.0,1852.0,54.0,29.0,53.7,25.0,46.3,1248.0,6231.0,3177.0,76.0,86.0,24.0,43.0,34.0,1455.0,212.0,31,2592.0,84.0,75.8,28.8,28,89.0,22,3,37.0,0,1.87,45.0,30.0,15.0,0.52,-0.57,45.3,29.3,16.0,0.56,0.21,3.0,0.0,0.0,9.0,43.0,3.0,236.0,9.0,8.0,1.0,0.0,0.0,75.0,3.0,7.0,30.0
Cengiz Ünder,tr TUR,"FW,MF",24.0,24.4,10.0,57.0,19.0,33.3,2.33,0.78,0.16,0.47,19.2,1.0,1.0,1.0,6.4,5.6,0.1,3.6,3.4,690.0,946.0,72.9,11145.0,2785.0,383.0,439.0,87.2,213.0,290.0,73.4,68.0,143.0,47.6,2.0,4.3,5.1,-2.3,34.0,32.0,35.0,9.0,73.0,946.0,856.0,87.0,23.0,4.0,17.0,115.0,22.0,42.0,27.0,7.0,0.0,690.0,3.0,22.0,83.0,3.4,53.0,13.0,2.0,6.0,8.0,1.0,9.0,0.37,5.0,0.0,1.0,0.0,2.0,1.0,18.0,13.0,5.0,6.0,7.0,5.0,18.0,27.8,13.0,13.0,2.0,11.0,14.0,32.0,9.0,0.0,1208.0,11.0,91.0,407.0,721.0,96.0,1207.0,68.0,25.0,36.8,43.0,63.2,871.0,5634.0,2444.0,64.0,57.0,31.0,64.0,26.0,933.0,307.0,32,2200.0,69.0,64.3,24.4,25,81.0,10,7,26.0,1,1.81,40.0,22.0,18.0,0.74,0.22,39.9,26.5,13.3,0.55,0.11,2.0,1.0,1.0,11.0,33.0,12.0,115.0,14.0,13.0,1.0,0.0,0.0,72.0,9.0,8.0,52.9
Valentin Rongier,fr FRA,"MF,DF",26.0,24.4,0.0,28.0,9.0,32.1,1.15,0.37,0.0,0.0,21.5,0.0,0.0,0.0,2.4,2.4,0.09,-2.4,-2.4,1753.0,1950.0,89.9,27552.0,7112.0,905.0,972.0,93.1,696.0,762.0,91.3,100.0,127.0,78.7,1.0,1.4,2.2,-0.4,17.0,160.0,22.0,2.0,195.0,1950.0,1783.0,163.0,34.0,5.0,11.0,7.0,127.0,0.0,0.0,0.0,0.0,1753.0,4.0,26.0,58.0,2.38,46.0,0.0,6.0,4.0,1.0,1.0,6.0,0.25,4.0,0.0,0.0,2.0,0.0,0.0,77.0,51.0,36.0,36.0,5.0,28.0,60.0,46.7,32.0,26.0,5.0,21.0,33.0,110.0,14.0,0.0,2187.0,33.0,456.0,1325.0,431.0,25.0,2187.0,47.0,30.0,63.8,17.0,36.2,1513.0,7731.0,3892.0,52.0,56.0,5.0,28.0,15.0,1608.0,79.0,32,2194.0,69.0,64.2,24.4,25,84.0,15,7,15.0,3,1.78,43.0,23.0,20.0,0.82,0.45,36.6,25.1,11.5,0.47,-0.09,3.0,0.0,0.0,34.0,28.0,0.0,7.0,33.0,51.0,0.0,1.0,0.0,152.0,19.0,27.0,41.3
Duje Ćaleta-Car,hr CRO,DF,24.0,22.9,2.0,12.0,4.0,33.3,0.53,0.18,0.17,0.5,10.6,0.0,0.0,0.0,1.8,1.8,0.15,0.2,0.2,1668.0,1820.0,91.6,32452.0,10224.0,573.0,603.0,95.0,878.0,913.0,96.2,195.0,269.0,72.5,0.0,0.6,0.8,-0.6,3.0,95.0,6.0,0.0,83.0,1820.0,1775.0,40.0,35.0,0.0,21.0,1.0,5.0,0.0,0.0,0.0,0.0,1668.0,5.0,4.0,11.0,0.48,9.0,1.0,0.0,0.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,21.0,8.0,15.0,6.0,0.0,11.0,14.0,78.6,3.0,11.0,7.0,4.0,24.0,45.0,55.0,2.0,1962.0,159.0,777.0,1132.0,58.0,17.0,1962.0,1.0,1.0,100.0,0.0,0.0,1517.0,7106.0,3903.0,14.0,16.0,0.0,8.0,1.0,1579.0,2.0,26,2057.0,79.0,60.1,22.9,24,84.0,17,2,17.0,9,1.65,33.0,25.0,8.0,0.35,-0.77,32.3,26.3,6.0,0.26,-0.61,6.0,0.0,0.0,11.0,6.0,1.0,1.0,24.0,8.0,1.0,0.0,0.0,99.0,35.0,11.0,76.1
