player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Alexander Nübel,de GER,GK,24.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,839.0,1121.0,74.8,23494.0,16891.0,140.0,141.0,99.3,407.0,410.0,99.3,288.0,563.0,51.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1121.0,771.0,348.0,68.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,839.0,2.0,1.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1188.0,1018.0,1174.0,15.0,0.0,0.0,1188.0,0.0,0.0,,0.0,,672.0,3276.0,2049.0,0.0,0.0,0.0,1.0,0.0,482.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.82,65.0,40.0,25.0,0.66,,59.3,40.3,19.0,0.5,,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,4.0,0.0,100.0
Aurélien Tchouaméni,fr FRA,MF,21.0,32.5,3.0,55.0,10.0,18.2,1.69,0.31,0.05,0.3,22.5,0.0,0.0,0.0,2.0,2.0,0.04,1.0,1.0,1795.0,2091.0,85.8,32270.0,9704.0,723.0,819.0,88.3,871.0,958.0,90.9,167.0,233.0,71.7,2.0,2.8,4.0,-0.8,21.0,196.0,34.0,4.0,250.0,2091.0,2020.0,64.0,62.0,6.0,13.0,17.0,2.0,0.0,0.0,0.0,0.0,1795.0,7.0,24.0,71.0,2.18,50.0,0.0,7.0,7.0,4.0,3.0,8.0,0.25,8.0,0.0,0.0,0.0,0.0,0.0,86.0,45.0,33.0,49.0,4.0,29.0,55.0,52.7,26.0,39.0,7.0,32.0,101.0,187.0,34.0,0.0,2486.0,80.0,477.0,1670.0,372.0,48.0,2486.0,51.0,38.0,74.5,13.0,25.5,1604.0,8501.0,3776.0,47.0,41.0,6.0,19.0,30.0,1673.0,39.0,35,2929.0,84.0,85.6,32.5,33,87.0,29,2,29.0,0,1.89,58.0,33.0,25.0,0.77,0.77,51.6,33.7,18.0,0.55,0.37,11.0,1.0,1.0,51.0,59.0,2.0,17.0,101.0,45.0,0.0,1.0,0.0,262.0,77.0,31.0,71.3
Caio Henrique Oliveira Silva,br BRA,DF,24.0,29.6,2.0,19.0,6.0,31.6,0.64,0.2,0.11,0.33,21.8,4.0,0.0,0.0,1.0,1.0,0.05,1.0,1.0,1405.0,1873.0,75.0,22626.0,7852.0,719.0,811.0,88.7,554.0,724.0,76.5,99.0,241.0,41.1,8.0,6.4,5.9,1.6,43.0,103.0,44.0,11.0,156.0,1873.0,1518.0,346.0,54.0,1.0,10.0,127.0,256.0,36.0,21.0,5.0,0.0,1405.0,9.0,32.0,91.0,3.08,63.0,17.0,2.0,3.0,4.0,2.0,12.0,0.41,10.0,0.0,0.0,1.0,1.0,0.0,53.0,30.0,31.0,18.0,4.0,28.0,59.0,47.5,31.0,30.0,6.0,24.0,27.0,80.0,37.0,3.0,2112.0,74.0,520.0,943.0,668.0,50.0,2112.0,32.0,12.0,37.5,20.0,62.5,1258.0,7251.0,4044.0,81.0,76.0,13.0,36.0,6.0,1280.0,208.0,34,2662.0,78.0,77.8,29.6,31,83.0,20,3,26.0,3,1.85,53.0,31.0,22.0,0.74,0.39,47.9,32.0,15.8,0.54,0.16,5.0,0.0,0.0,19.0,22.0,2.0,127.0,27.0,30.0,1.0,0.0,0.0,205.0,13.0,27.0,32.5
Axel Disasi,fr FRA,DF,23.0,30.2,1.0,20.0,2.0,10.0,0.66,0.07,0.05,0.5,10.9,0.0,0.0,0.0,2.1,2.1,0.11,-1.1,-1.1,1542.0,1773.0,87.0,31409.0,12168.0,433.0,480.0,90.2,910.0,977.0,93.1,185.0,283.0,65.4,0.0,1.0,1.1,-1.0,7.0,113.0,5.0,1.0,120.0,1773.0,1733.0,35.0,32.0,2.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,1542.0,5.0,11.0,13.0,0.43,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,20.0,21.0,1.0,23.0,39.0,59.0,16.0,40.0,30.0,10.0,26.0,68.0,75.0,0.0,2008.0,202.0,855.0,1111.0,56.0,32.0,2008.0,10.0,9.0,90.0,1.0,10.0,1316.0,7236.0,4448.0,27.0,13.0,0.0,8.0,5.0,1373.0,4.0,32,2721.0,85.0,79.6,30.2,30,88.0,26,2,35.0,4,1.81,52.0,34.0,18.0,0.6,-0.31,48.4,33.7,14.7,0.49,-0.06,5.0,0.0,0.0,43.0,13.0,3.0,1.0,26.0,27.0,0.0,1.0,0.0,183.0,71.0,43.0,62.3
Wissam Ben Yedder,fr FRA,FW,30.0,28.1,25.0,64.0,36.0,56.3,2.28,1.28,0.27,0.47,14.7,4.0,8.0,8.0,18.0,11.7,0.18,7.0,5.3,496.0,688.0,72.1,6662.0,1285.0,299.0,370.0,80.8,146.0,216.0,67.6,20.0,32.0,62.5,5.0,5.0,5.0,0.0,32.0,32.0,31.0,0.0,73.0,688.0,630.0,54.0,2.0,8.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,496.0,4.0,12.0,71.0,2.53,57.0,0.0,4.0,5.0,5.0,0.0,14.0,0.5,10.0,0.0,2.0,1.0,1.0,0.0,18.0,8.0,1.0,11.0,6.0,6.0,15.0,40.0,9.0,12.0,1.0,11.0,0.0,18.0,1.0,0.0,939.0,3.0,31.0,334.0,581.0,191.0,931.0,57.0,25.0,43.9,32.0,56.1,583.0,3127.0,1259.0,59.0,23.0,45.0,62.0,45.0,712.0,238.0,37,2529.0,68.0,73.9,28.1,29,79.0,7,8,29.0,0,1.84,50.0,28.0,22.0,0.78,0.48,42.9,29.2,13.6,0.49,-0.05,3.0,0.0,0.0,19.0,22.0,24.0,14.0,0.0,8.0,1.0,0.0,0.0,74.0,21.0,46.0,31.3
Kevin Volland,de GER,"MF,FW",29.0,27.1,9.0,50.0,23.0,46.0,1.85,0.85,0.16,0.35,13.5,2.0,1.0,1.0,7.4,6.6,0.13,1.6,1.4,416.0,629.0,66.1,6679.0,2301.0,208.0,267.0,77.9,140.0,207.0,67.6,43.0,74.0,58.1,9.0,6.9,5.2,2.1,34.0,57.0,28.0,6.0,102.0,629.0,613.0,10.0,2.0,13.0,3.0,21.0,3.0,0.0,0.0,0.0,0.0,416.0,6.0,25.0,69.0,2.55,58.0,0.0,1.0,4.0,6.0,0.0,17.0,0.63,14.0,0.0,0.0,1.0,2.0,0.0,24.0,10.0,2.0,18.0,4.0,6.0,31.0,19.4,25.0,20.0,0.0,20.0,3.0,27.0,9.0,0.0,869.0,6.0,60.0,378.0,440.0,117.0,868.0,38.0,18.0,47.4,20.0,52.6,561.0,2376.0,1048.0,31.0,22.0,14.0,65.0,34.0,672.0,203.0,34,2436.0,72.0,71.2,27.1,29,79.0,10,5,30.0,0,1.85,51.0,27.0,24.0,0.89,0.8,46.7,29.4,17.3,0.64,0.48,10.0,0.0,0.0,53.0,28.0,17.0,21.0,3.0,10.0,2.0,0.0,1.0,89.0,29.0,61.0,32.2
Sofiane Diop,fr FRA,"MF,FW",21.0,21.6,6.0,37.0,13.0,35.1,1.71,0.6,0.16,0.46,17.2,2.0,0.0,0.0,5.6,5.6,0.15,0.4,0.4,708.0,977.0,72.5,11934.0,3228.0,355.0,452.0,78.5,233.0,294.0,79.3,84.0,151.0,55.6,4.0,3.6,3.9,0.4,38.0,68.0,37.0,5.0,130.0,977.0,871.0,101.0,30.0,8.0,19.0,95.0,15.0,56.0,27.0,18.0,0.0,708.0,5.0,23.0,78.0,3.6,50.0,16.0,3.0,2.0,6.0,1.0,11.0,0.51,9.0,0.0,0.0,1.0,1.0,0.0,38.0,20.0,12.0,19.0,7.0,15.0,47.0,31.9,32.0,10.0,0.0,10.0,23.0,61.0,4.0,0.0,1246.0,8.0,116.0,531.0,617.0,85.0,1246.0,83.0,46.0,55.4,37.0,44.6,766.0,4747.0,2114.0,75.0,54.0,26.0,71.0,34.0,890.0,202.0,30,1948.0,65.0,57.0,21.6,24,76.0,10,6,23.0,7,1.67,33.0,24.0,9.0,0.42,-0.56,34.2,22.1,12.1,0.56,0.14,6.0,0.0,0.0,28.0,41.0,4.0,95.0,23.0,20.0,1.0,1.0,0.0,134.0,12.0,28.0,30.0
Gelson Martins,pt POR,"MF,FW",26.0,21.2,4.0,30.0,11.0,36.7,1.42,0.52,0.13,0.36,13.5,0.0,0.0,0.0,5.7,5.7,0.19,-1.7,-1.7,504.0,664.0,75.9,6734.0,1322.0,322.0,375.0,85.9,140.0,188.0,74.5,15.0,27.0,55.6,3.0,2.5,3.0,0.5,22.0,24.0,18.0,2.0,57.0,664.0,656.0,3.0,0.0,1.0,3.0,35.0,3.0,0.0,0.0,0.0,0.0,504.0,5.0,30.0,38.0,1.8,29.0,0.0,2.0,3.0,3.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,10.0,26.0,6.0,21.0,59.0,35.6,38.0,26.0,1.0,25.0,17.0,59.0,4.0,0.0,964.0,12.0,89.0,394.0,502.0,96.0,964.0,113.0,62.0,54.9,51.0,45.1,639.0,4411.0,2089.0,67.0,40.0,29.0,77.0,23.0,681.0,236.0,32,1905.0,60.0,55.7,21.2,24,70.0,1,8,29.0,2,1.66,33.0,18.0,15.0,0.71,0.11,32.1,20.2,11.9,0.56,0.14,4.0,0.0,0.0,22.0,33.0,15.0,35.0,17.0,27.0,0.0,0.0,0.0,112.0,22.0,23.0,48.9
Youssouf Fofana,fr FRA,MF,22.0,24.3,0.0,30.0,6.0,20.0,1.23,0.25,0.0,0.0,26.4,2.0,0.0,0.0,1.1,1.1,0.04,-1.1,-1.1,895.0,1187.0,75.4,15117.0,4697.0,424.0,517.0,82.0,369.0,439.0,84.1,76.0,162.0,46.9,4.0,2.6,2.3,1.4,20.0,142.0,23.0,2.0,146.0,1187.0,1152.0,23.0,21.0,19.0,16.0,6.0,1.0,1.0,0.0,0.0,0.0,895.0,12.0,20.0,53.0,2.18,43.0,0.0,4.0,1.0,2.0,3.0,8.0,0.33,7.0,0.0,1.0,0.0,0.0,0.0,69.0,43.0,19.0,41.0,9.0,29.0,56.0,51.8,27.0,29.0,7.0,22.0,32.0,101.0,22.0,2.0,1455.0,47.0,239.0,973.0,263.0,17.0,1455.0,62.0,40.0,64.5,22.0,35.5,918.0,4891.0,2497.0,44.0,41.0,5.0,38.0,33.0,1001.0,47.0,33,2190.0,66.0,64.0,24.3,23,85.0,19,10,24.0,2,1.94,44.0,27.0,17.0,0.7,0.11,37.5,30.0,7.5,0.31,-0.54,4.0,0.0,0.0,33.0,25.0,0.0,6.0,32.0,43.0,0.0,1.0,0.0,175.0,14.0,10.0,58.3
Ruben Aguilar,fr FRA,DF,28.0,23.8,0.0,10.0,2.0,20.0,0.42,0.08,0.0,0.0,22.8,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1435.0,1728.0,83.0,23194.0,8766.0,745.0,806.0,92.4,559.0,658.0,85.0,93.0,178.0,52.2,2.0,0.9,2.9,1.1,12.0,124.0,32.0,5.0,157.0,1728.0,1445.0,277.0,34.0,4.0,16.0,64.0,242.0,1.0,0.0,1.0,0.0,1435.0,6.0,27.0,32.0,1.35,25.0,3.0,1.0,1.0,2.0,0.0,4.0,0.17,3.0,1.0,0.0,0.0,0.0,0.0,78.0,53.0,39.0,32.0,7.0,43.0,68.0,63.2,25.0,19.0,4.0,15.0,44.0,122.0,57.0,0.0,1995.0,76.0,507.0,1015.0,487.0,27.0,1995.0,11.0,5.0,45.5,6.0,54.5,1133.0,5438.0,2920.0,61.0,54.0,4.0,31.0,5.0,1187.0,101.0,28,2140.0,76.0,62.6,23.8,22,88.0,19,6,33.0,8,1.96,44.0,24.0,20.0,0.84,0.49,37.2,25.0,12.2,0.51,0.04,4.0,0.0,0.0,32.0,29.0,1.0,64.0,44.0,53.0,0.0,0.0,1.0,157.0,33.0,40.0,45.2
