player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Joris Chotard,fr FRA,MF,19.0,32.6,1.0,18.0,3.0,16.7,0.55,0.09,0.06,0.33,20.9,0.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,1081.0,1289.0,83.9,19018.0,5550.0,471.0,536.0,87.9,444.0,503.0,88.3,122.0,172.0,70.9,1.0,0.7,1.2,0.3,12.0,71.0,15.0,5.0,91.0,1289.0,1248.0,36.0,32.0,2.0,12.0,20.0,3.0,1.0,0.0,1.0,0.0,1081.0,5.0,16.0,37.0,1.13,31.0,1.0,1.0,0.0,2.0,2.0,5.0,0.15,3.0,0.0,1.0,0.0,1.0,0.0,59.0,30.0,33.0,23.0,3.0,36.0,78.0,46.2,42.0,27.0,15.0,12.0,42.0,101.0,56.0,0.0,1556.0,134.0,590.0,831.0,145.0,15.0,1556.0,21.0,8.0,38.1,13.0,61.9,909.0,3758.0,1537.0,5.0,7.0,2.0,30.0,5.0,943.0,20.0,36,2935.0,82.0,85.8,32.6,33,86.0,22,3,28.0,1,1.17,42.0,48.0,-6.0,-0.18,0.93,35.8,46.8,-11.0,-0.34,0.29,5.0,0.0,0.0,29.0,11.0,0.0,20.0,42.0,30.0,0.0,0.0,0.0,206.0,20.0,29.0,40.8
Jordan Ferri,fr FRA,MF,29.0,32.3,0.0,14.0,2.0,14.3,0.43,0.06,0.0,0.0,25.8,0.0,0.0,0.0,0.3,0.3,0.02,-0.3,-0.3,2136.0,2558.0,83.5,39888.0,14656.0,870.0,960.0,90.6,886.0,1002.0,88.4,305.0,457.0,66.7,2.0,3.4,3.0,-1.4,30.0,221.0,27.0,7.0,290.0,2558.0,2431.0,117.0,87.0,4.0,32.0,39.0,25.0,2.0,0.0,0.0,0.0,2136.0,10.0,34.0,89.0,2.75,76.0,2.0,1.0,3.0,6.0,1.0,5.0,0.15,5.0,0.0,0.0,0.0,0.0,0.0,55.0,35.0,28.0,23.0,4.0,29.0,87.0,33.3,58.0,21.0,5.0,16.0,30.0,85.0,35.0,0.0,2827.0,98.0,835.0,1676.0,341.0,6.0,2827.0,53.0,35.0,66.0,18.0,34.0,2056.0,10912.0,6091.0,78.0,48.0,3.0,37.0,47.0,2153.0,43.0,34,2911.0,86.0,85.1,32.3,33,88.0,23,1,17.0,0,1.24,45.0,49.0,-4.0,-0.12,1.29,35.9,47.2,-11.3,-0.35,0.19,13.0,1.0,1.0,49.0,72.0,0.0,39.0,30.0,35.0,0.0,1.0,0.0,300.0,17.0,34.0,33.3
Nicolas Cozza,fr FRA,DF,22.0,30.8,2.0,6.0,3.0,50.0,0.19,0.1,0.33,0.67,14.5,0.0,0.0,0.0,1.6,1.6,0.26,0.4,0.4,1115.0,1377.0,81.0,20482.0,7047.0,409.0,475.0,86.1,573.0,658.0,87.1,109.0,187.0,58.3,2.0,0.6,1.5,1.4,11.0,47.0,9.0,3.0,78.0,1377.0,1247.0,129.0,22.0,0.0,5.0,24.0,106.0,0.0,0.0,0.0,0.0,1115.0,1.0,14.0,32.0,1.04,21.0,2.0,3.0,0.0,4.0,2.0,5.0,0.16,3.0,1.0,1.0,0.0,0.0,0.0,80.0,47.0,50.0,23.0,7.0,35.0,65.0,53.8,30.0,35.0,19.0,16.0,38.0,118.0,82.0,1.0,1719.0,163.0,828.0,707.0,205.0,29.0,1719.0,33.0,18.0,54.5,15.0,45.5,1002.0,5989.0,2915.0,47.0,31.0,6.0,48.0,14.0,1020.0,38.0,34,2770.0,81.0,81.0,30.8,32,84.0,22,2,41.0,3,1.09,40.0,53.0,-13.0,-0.42,-0.56,34.9,43.9,-9.0,-0.29,0.45,2.0,1.0,0.0,24.0,19.0,1.0,24.0,38.0,47.0,0.0,1.0,0.0,137.0,40.0,35.0,53.3
Florent Mollet,fr FRA,"FW,MF",29.0,29.2,6.0,55.0,17.0,30.9,1.88,0.58,0.11,0.35,21.5,12.0,0.0,0.0,4.3,4.3,0.08,1.7,1.7,951.0,1179.0,80.7,14429.0,3715.0,529.0,570.0,92.8,284.0,355.0,80.0,79.0,146.0,54.1,2.0,2.7,2.8,-0.7,32.0,82.0,24.0,4.0,114.0,1179.0,1063.0,107.0,32.0,2.0,9.0,105.0,14.0,59.0,23.0,21.0,0.0,951.0,9.0,23.0,88.0,3.01,53.0,14.0,2.0,8.0,9.0,2.0,6.0,0.21,4.0,1.0,0.0,1.0,0.0,0.0,31.0,22.0,14.0,12.0,5.0,14.0,57.0,24.6,43.0,27.0,4.0,23.0,24.0,55.0,13.0,0.0,1489.0,34.0,256.0,664.0,576.0,57.0,1489.0,42.0,15.0,35.7,27.0,64.3,1005.0,5279.0,2014.0,48.0,38.0,8.0,61.0,30.0,1056.0,162.0,35,2630.0,75.0,76.9,29.2,32,81.0,12,3,16.0,1,0.97,31.0,44.0,-13.0,-0.44,-0.56,29.0,43.0,-14.1,-0.48,-0.44,6.0,0.0,0.0,34.0,50.0,10.0,105.0,24.0,22.0,0.0,0.0,0.0,132.0,13.0,24.0,35.1
Jonas Omlin,ch SUI,GK,27.0,28.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,842.0,1071.0,78.6,21947.0,15321.0,170.0,174.0,97.7,434.0,439.0,98.9,233.0,448.0,52.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1071.0,744.0,326.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,842.0,1.0,3.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,1163.0,1002.0,1156.0,8.0,0.0,0.0,1163.0,1.0,1.0,100.0,0.0,0.0,663.0,3308.0,2104.0,0.0,0.0,0.0,1.0,1.0,470.0,0.0,29,2587.0,89.0,75.6,28.7,29,89.0,27,0,,0,1.17,35.0,41.0,-6.0,-0.21,0.44,29.9,42.0,-12.0,-0.42,-0.17,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,58.0,10.0,0.0,100.0
Mamadou Sakho,fr FRA,DF,31.0,28.6,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,6.4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1408.0,1579.0,89.2,25000.0,11223.0,571.0,608.0,93.9,694.0,746.0,93.0,114.0,188.0,60.6,0.0,0.1,0.2,-0.1,4.0,63.0,2.0,0.0,84.0,1579.0,1514.0,64.0,57.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1408.0,1.0,3.0,17.0,0.59,16.0,1.0,0.0,0.0,0.0,0.0,4.0,0.14,3.0,1.0,0.0,0.0,0.0,0.0,34.0,22.0,26.0,8.0,0.0,16.0,26.0,61.5,10.0,41.0,34.0,7.0,41.0,75.0,134.0,4.0,1884.0,309.0,1088.0,783.0,18.0,9.0,1884.0,5.0,4.0,80.0,1.0,20.0,1149.0,5144.0,2833.0,7.0,4.0,1.0,19.0,5.0,1197.0,0.0,29,2575.0,89.0,75.3,28.6,29,89.0,26,0,,0,1.28,39.0,42.0,-3.0,-0.1,0.85,34.8,39.4,-4.6,-0.16,0.89,3.0,0.0,0.0,8.0,9.0,0.0,0.0,41.0,22.0,0.0,1.0,0.0,183.0,47.0,31.0,60.3
Téji Savanier,fr FRA,MF,29.0,26.8,8.0,77.0,34.0,44.2,2.87,1.27,0.06,0.15,25.1,22.0,3.0,4.0,7.1,3.9,0.05,0.9,1.1,1070.0,1617.0,66.2,21472.0,7445.0,471.0,561.0,84.0,323.0,472.0,68.4,231.0,458.0,50.4,7.0,5.9,5.9,1.1,60.0,141.0,38.0,14.0,183.0,1617.0,1343.0,264.0,98.0,11.0,56.0,199.0,31.0,108.0,36.0,48.0,2.0,1070.0,10.0,42.0,127.0,4.73,77.0,30.0,8.0,5.0,4.0,3.0,16.0,0.6,11.0,4.0,0.0,1.0,0.0,0.0,46.0,27.0,18.0,19.0,9.0,21.0,59.0,35.6,38.0,23.0,1.0,22.0,25.0,71.0,12.0,1.0,1996.0,28.0,283.0,1057.0,698.0,56.0,1992.0,116.0,76.0,65.5,40.0,34.5,1237.0,6258.0,2785.0,59.0,50.0,12.0,84.0,36.0,1341.0,122.0,29,2414.0,83.0,70.6,26.8,28,85.0,20,1,30.0,0,1.24,39.0,40.0,-1.0,-0.04,0.95,30.8,36.4,-5.6,-0.21,0.58,9.0,2.0,1.0,45.0,77.0,2.0,199.0,25.0,27.0,0.0,0.0,0.0,149.0,13.0,23.0,36.1
Arnaud Souquet,fr FRA,DF,29.0,25.9,1.0,18.0,4.0,22.2,0.69,0.15,0.06,0.25,24.4,0.0,0.0,0.0,0.5,0.5,0.03,0.5,0.5,846.0,1190.0,71.1,12478.0,5315.0,489.0,573.0,85.3,286.0,390.0,73.3,40.0,126.0,31.7,3.0,1.4,1.0,1.6,16.0,58.0,17.0,6.0,78.0,1190.0,926.0,260.0,10.0,2.0,4.0,77.0,250.0,0.0,0.0,0.0,0.0,846.0,4.0,45.0,49.0,1.89,31.0,6.0,6.0,3.0,2.0,1.0,6.0,0.23,5.0,0.0,0.0,0.0,1.0,0.0,56.0,35.0,30.0,17.0,9.0,32.0,65.0,49.2,33.0,21.0,7.0,14.0,34.0,90.0,60.0,1.0,1460.0,100.0,470.0,618.0,383.0,23.0,1460.0,37.0,20.0,54.1,17.0,45.9,732.0,4234.0,2335.0,68.0,45.0,8.0,43.0,17.0,737.0,118.0,34,2334.0,69.0,68.2,25.9,27,83.0,14,7,13.0,3,1.18,35.0,39.0,-4.0,-0.15,0.51,31.2,40.2,-9.1,-0.35,0.09,4.0,0.0,0.0,28.0,24.0,0.0,77.0,34.0,35.0,0.0,1.0,0.0,144.0,42.0,33.0,56.0
Stephy Mavididi,eng ENG,"FW,MF",23.0,25.5,8.0,60.0,23.0,38.3,2.35,0.9,0.13,0.35,17.1,0.0,0.0,0.0,7.6,7.6,0.14,0.4,0.4,434.0,558.0,77.8,5450.0,1102.0,251.0,301.0,83.4,114.0,143.0,79.7,15.0,25.0,60.0,3.0,3.3,2.2,-0.3,23.0,17.0,16.0,5.0,34.0,558.0,545.0,13.0,1.0,1.0,0.0,26.0,4.0,1.0,0.0,1.0,0.0,434.0,0.0,21.0,65.0,2.55,39.0,2.0,8.0,7.0,8.0,1.0,8.0,0.31,3.0,0.0,2.0,1.0,2.0,0.0,24.0,13.0,11.0,7.0,6.0,14.0,39.0,35.9,25.0,23.0,2.0,21.0,8.0,32.0,11.0,0.0,896.0,17.0,108.0,398.0,409.0,87.0,896.0,96.0,40.0,41.7,56.0,58.3,641.0,4463.0,1998.0,74.0,46.0,22.0,77.0,61.0,693.0,182.0,30,2299.0,77.0,67.2,25.5,27,82.0,7,3,26.0,1,1.27,31.0,37.0,-6.0,-0.23,0.25,26.2,36.0,-9.8,-0.38,-0.02,4.0,0.0,0.0,23.0,44.0,6.0,26.0,8.0,13.0,0.0,0.0,0.0,93.0,7.0,36.0,16.3
Valère Germain,fr FRA,FW,31.0,21.9,4.0,32.0,16.0,50.0,1.46,0.73,0.13,0.25,12.5,0.0,0.0,0.0,4.4,4.4,0.14,-0.4,-0.4,369.0,490.0,75.3,4430.0,790.0,230.0,286.0,80.4,79.0,103.0,76.7,12.0,22.0,54.5,3.0,2.9,2.2,0.1,19.0,18.0,14.0,4.0,36.0,490.0,444.0,45.0,2.0,1.0,2.0,15.0,5.0,0.0,0.0,0.0,0.0,369.0,1.0,16.0,29.0,1.32,25.0,0.0,0.0,3.0,1.0,0.0,5.0,0.23,4.0,0.0,0.0,1.0,0.0,0.0,23.0,14.0,6.0,11.0,6.0,8.0,31.0,25.8,23.0,13.0,1.0,12.0,9.0,32.0,27.0,0.0,659.0,28.0,85.0,304.0,275.0,54.0,659.0,7.0,2.0,28.6,5.0,71.4,349.0,1338.0,443.0,9.0,12.0,1.0,29.0,19.0,453.0,95.0,34,1970.0,58.0,57.6,21.9,22,77.0,6,12,23.0,0,1.15,26.0,35.0,-9.0,-0.41,-0.22,24.2,31.8,-7.6,-0.35,0.07,3.0,0.0,0.0,23.0,27.0,7.0,15.0,9.0,14.0,0.0,0.0,0.0,54.0,53.0,104.0,33.8
