player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Benjamin Bourigeaud,fr FRA,"FW,MF",27.0,35.5,11.0,51.0,21.0,41.2,1.44,0.59,0.22,0.52,17.3,8.0,0.0,0.0,5.7,5.7,0.11,5.3,5.3,1374.0,1942.0,70.8,26382.0,8525.0,576.0,690.0,83.5,541.0,695.0,77.8,223.0,430.0,51.9,12.0,12.3,11.6,-0.3,122.0,133.0,82.0,26.0,201.0,1942.0,1665.0,269.0,56.0,10.0,25.0,294.0,42.0,171.0,47.0,104.0,0.0,1374.0,8.0,43.0,176.0,4.96,97.0,71.0,1.0,4.0,1.0,2.0,18.0,0.51,14.0,4.0,0.0,0.0,0.0,0.0,46.0,24.0,16.0,18.0,12.0,24.0,67.0,35.8,43.0,33.0,3.0,30.0,30.0,76.0,44.0,0.0,2263.0,60.0,266.0,1001.0,1009.0,91.0,2263.0,21.0,9.0,42.9,12.0,57.1,1294.0,6002.0,2613.0,47.0,50.0,14.0,41.0,20.0,1530.0,322.0,38,3193.0,84.0,93.4,35.5,38,84.0,15,0,,0,1.74,70.0,34.0,36.0,1.01,-1.36,56.7,37.7,19.0,0.54,0.22,2.0,0.0,0.0,25.0,8.0,4.0,294.0,30.0,24.0,0.0,0.0,0.0,144.0,14.0,45.0,23.7
Martin Terrier,fr FRA,"FW,MF",24.0,30.9,21.0,86.0,44.0,51.2,2.79,1.42,0.22,0.43,14.9,0.0,2.0,2.0,13.9,12.3,0.14,7.1,6.7,757.0,959.0,78.9,11648.0,2692.0,417.0,489.0,85.3,242.0,297.0,81.5,64.0,93.0,68.8,3.0,4.4,4.1,-1.4,42.0,63.0,42.0,7.0,123.0,959.0,931.0,21.0,3.0,5.0,11.0,28.0,2.0,0.0,0.0,0.0,0.0,757.0,7.0,20.0,109.0,3.53,85.0,0.0,6.0,10.0,6.0,2.0,18.0,0.58,14.0,0.0,1.0,1.0,2.0,0.0,55.0,33.0,22.0,16.0,17.0,25.0,43.0,58.1,18.0,29.0,3.0,26.0,18.0,73.0,17.0,0.0,1300.0,20.0,137.0,569.0,616.0,131.0,1298.0,59.0,28.0,47.5,31.0,52.5,830.0,5200.0,2443.0,85.0,55.0,28.0,60.0,23.0,985.0,228.0,37,2779.0,75.0,81.3,30.9,37,75.0,7,0,,0,1.78,68.0,27.0,41.0,1.33,1.19,51.2,32.1,19.2,0.62,0.53,1.0,0.0,0.0,28.0,41.0,6.0,28.0,18.0,33.0,1.0,0.0,0.0,110.0,41.0,50.0,45.1
Hamari Traoré,ml MLI,DF,29.0,32.1,3.0,31.0,9.0,29.0,0.97,0.28,0.1,0.33,17.2,0.0,0.0,0.0,1.5,1.5,0.05,1.5,1.5,1804.0,2164.0,83.4,31984.0,9868.0,773.0,869.0,89.0,835.0,953.0,87.6,167.0,258.0,64.7,10.0,4.8,4.6,5.2,34.0,151.0,39.0,12.0,177.0,2164.0,1850.0,308.0,33.0,2.0,7.0,81.0,275.0,0.0,0.0,0.0,0.0,1804.0,6.0,32.0,77.0,2.4,64.0,7.0,1.0,3.0,1.0,1.0,15.0,0.47,13.0,0.0,0.0,2.0,0.0,0.0,63.0,36.0,25.0,26.0,12.0,41.0,59.0,69.5,18.0,29.0,8.0,21.0,37.0,100.0,81.0,1.0,2481.0,98.0,585.0,1315.0,598.0,57.0,2481.0,22.0,10.0,45.5,12.0,54.5,1436.0,6917.0,3507.0,65.0,57.0,11.0,30.0,6.0,1591.0,180.0,33,2890.0,88.0,84.5,32.1,33,88.0,25,0,,2,1.73,62.0,36.0,26.0,0.81,-1.91,50.5,38.1,12.5,0.39,-0.86,4.0,0.0,0.0,46.0,24.0,9.0,81.0,37.0,36.0,0.0,1.0,1.0,177.0,37.0,38.0,49.3
Gaëtan Laborde,fr FRA,FW,27.0,30.3,12.0,84.0,32.0,38.1,2.77,1.06,0.12,0.31,12.4,0.0,2.0,2.0,14.9,13.3,0.16,-2.9,-3.3,424.0,663.0,64.0,5967.0,1337.0,260.0,346.0,75.1,123.0,207.0,59.4,20.0,32.0,62.5,8.0,5.1,4.4,2.9,37.0,27.0,29.0,11.0,54.0,663.0,610.0,48.0,2.0,3.0,3.0,33.0,1.0,0.0,0.0,0.0,0.0,424.0,5.0,26.0,79.0,2.61,61.0,0.0,1.0,16.0,0.0,1.0,19.0,0.63,13.0,0.0,1.0,4.0,0.0,1.0,19.0,7.0,5.0,8.0,6.0,3.0,22.0,13.6,19.0,29.0,3.0,26.0,8.0,27.0,16.0,0.0,994.0,20.0,69.0,437.0,499.0,164.0,992.0,34.0,10.0,29.4,24.0,70.6,512.0,2685.0,1035.0,38.0,22.0,12.0,92.0,21.0,686.0,211.0,34,2729.0,80.0,79.8,30.3,32,84.0,16,2,27.0,0,1.79,65.0,30.0,35.0,1.15,0.24,49.3,31.1,18.2,0.6,0.38,1.0,0.0,0.0,31.0,20.0,21.0,33.0,8.0,7.0,0.0,0.0,0.0,79.0,87.0,119.0,42.2
Warmed Omari,fr FRA,DF,21.0,31.1,0.0,5.0,0.0,0.0,0.16,0.0,0.0,,11.7,0.0,0.0,0.0,0.4,0.4,0.08,-0.4,-0.4,1833.0,1986.0,92.3,40820.0,13135.0,398.0,446.0,89.2,1112.0,1168.0,95.2,314.0,347.0,90.5,0.0,0.2,0.3,-0.2,4.0,94.0,3.0,0.0,111.0,1986.0,1951.0,34.0,30.0,0.0,19.0,2.0,4.0,0.0,0.0,0.0,0.0,1833.0,1.0,9.0,18.0,0.58,17.0,0.0,1.0,0.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,33.0,17.0,22.0,10.0,1.0,15.0,23.0,65.2,8.0,20.0,13.0,7.0,31.0,64.0,94.0,5.0,2224.0,187.0,939.0,1247.0,49.0,16.0,2224.0,6.0,5.0,83.3,1.0,16.7,1566.0,8423.0,4550.0,23.0,14.0,2.0,18.0,8.0,1659.0,4.0,34,2796.0,82.0,81.8,31.1,31,89.0,28,3,16.0,3,1.65,73.0,35.0,38.0,1.22,0.65,52.5,33.3,19.2,0.62,0.53,6.0,0.0,0.0,24.0,17.0,0.0,2.0,31.0,17.0,0.0,0.0,0.0,157.0,46.0,23.0,66.7
Nayef Aguerd,ma MAR,DF,25.0,30.4,2.0,25.0,7.0,28.0,0.82,0.23,0.08,0.29,9.4,0.0,0.0,0.0,2.1,2.1,0.08,-0.1,-0.1,1959.0,2204.0,88.9,40414.0,15329.0,613.0,660.0,92.9,1050.0,1106.0,94.9,277.0,398.0,69.6,2.0,0.3,0.3,1.7,4.0,118.0,2.0,0.0,101.0,2204.0,2127.0,74.0,69.0,2.0,41.0,1.0,5.0,0.0,0.0,0.0,0.0,1959.0,3.0,12.0,15.0,0.49,10.0,0.0,0.0,4.0,1.0,0.0,4.0,0.13,3.0,0.0,0.0,0.0,1.0,0.0,27.0,18.0,16.0,11.0,0.0,14.0,24.0,58.3,10.0,24.0,14.0,10.0,24.0,51.0,127.0,1.0,2469.0,221.0,1143.0,1274.0,59.0,34.0,2469.0,6.0,5.0,83.3,1.0,16.7,1611.0,7937.0,4516.0,11.0,7.0,0.0,7.0,4.0,1849.0,1.0,31,2735.0,88.0,80.0,30.4,31,88.0,28,0,,0,1.94,66.0,29.0,37.0,1.22,0.56,49.4,33.1,16.2,0.53,0.06,3.0,1.0,0.0,20.0,16.0,1.0,1.0,24.0,18.0,1.0,2.0,0.0,154.0,95.0,51.0,65.1
Baptiste Santamaria,fr FRA,"MF,DF",26.0,28.0,2.0,34.0,7.0,20.6,1.22,0.25,0.06,0.29,18.0,0.0,0.0,0.0,1.9,1.9,0.05,0.1,0.1,1336.0,1551.0,86.1,25462.0,6474.0,522.0,589.0,88.6,593.0,649.0,91.4,188.0,244.0,77.0,1.0,0.9,1.0,0.1,17.0,113.0,13.0,3.0,133.0,1551.0,1525.0,23.0,18.0,2.0,21.0,15.0,5.0,0.0,0.0,0.0,0.0,1336.0,3.0,17.0,44.0,1.57,41.0,0.0,0.0,2.0,0.0,1.0,8.0,0.29,7.0,0.0,0.0,1.0,0.0,0.0,52.0,27.0,15.0,31.0,6.0,24.0,44.0,54.5,20.0,33.0,12.0,21.0,33.0,85.0,42.0,0.0,1848.0,80.0,464.0,1128.0,269.0,33.0,1848.0,39.0,18.0,46.2,21.0,53.8,1154.0,5730.0,2600.0,19.0,18.0,1.0,32.0,18.0,1283.0,37.0,34,2518.0,74.0,73.6,28.0,28,86.0,23,6,20.0,1,1.71,62.0,36.0,26.0,0.93,-0.67,46.2,32.4,13.8,0.49,-0.11,7.0,0.0,0.0,35.0,21.0,0.0,15.0,33.0,27.0,0.0,1.0,0.0,156.0,74.0,41.0,64.3
Alfred Gomis,sn SEN,GK,27.0,25.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,594.0,778.0,76.3,16899.0,12376.0,101.0,102.0,99.0,296.0,299.0,99.0,196.0,376.0,52.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,778.0,585.0,193.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,2.0,822.0,678.0,815.0,7.0,0.0,0.0,822.0,0.0,0.0,,0.0,,485.0,2080.0,1031.0,0.0,0.0,0.0,2.0,0.0,394.0,0.0,25,2250.0,90.0,65.8,25.0,25,90.0,25,0,,1,1.88,53.0,25.0,28.0,1.12,0.04,41.7,28.4,13.3,0.53,0.03,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,29.0,4.0,0.0,100.0
Flavien Tait,fr FRA,MF,28.0,23.6,5.0,42.0,12.0,28.6,1.78,0.51,0.12,0.42,20.7,0.0,0.0,0.0,2.6,2.6,0.06,2.4,2.4,1075.0,1253.0,85.8,18980.0,4769.0,468.0,536.0,87.3,424.0,473.0,89.6,132.0,155.0,85.2,3.0,2.9,2.3,0.1,31.0,141.0,31.0,2.0,189.0,1253.0,1219.0,30.0,21.0,4.0,19.0,9.0,9.0,0.0,0.0,0.0,0.0,1075.0,4.0,18.0,97.0,4.11,73.0,0.0,6.0,10.0,7.0,1.0,11.0,0.47,7.0,0.0,2.0,0.0,1.0,1.0,28.0,19.0,13.0,9.0,6.0,13.0,40.0,32.5,27.0,15.0,4.0,11.0,19.0,47.0,13.0,1.0,1494.0,27.0,222.0,846.0,446.0,57.0,1494.0,48.0,29.0,60.4,19.0,39.6,1077.0,6433.0,3182.0,67.0,48.0,14.0,46.0,32.0,1167.0,79.0,28,2125.0,76.0,62.1,23.6,24,85.0,14,4,21.0,1,1.71,44.0,23.0,21.0,0.89,-0.57,37.0,29.3,7.7,0.32,-0.52,3.0,0.0,0.0,30.0,48.0,3.0,9.0,19.0,19.0,1.0,0.0,0.0,150.0,8.0,14.0,36.4
Jonas Martin,fr FRA,MF,31.0,23.4,1.0,21.0,4.0,19.0,0.9,0.17,0.05,0.25,20.3,0.0,0.0,0.0,1.2,1.2,0.06,-0.2,-0.2,1533.0,1695.0,90.4,25615.0,7212.0,731.0,792.0,92.3,638.0,672.0,94.9,117.0,149.0,78.5,1.0,1.3,1.1,-0.3,9.0,142.0,7.0,0.0,132.0,1695.0,1632.0,61.0,56.0,4.0,18.0,3.0,5.0,0.0,0.0,0.0,0.0,1533.0,2.0,19.0,38.0,1.63,32.0,0.0,0.0,4.0,1.0,1.0,4.0,0.17,3.0,0.0,0.0,0.0,1.0,0.0,35.0,20.0,12.0,21.0,2.0,19.0,53.0,35.8,34.0,17.0,3.0,14.0,22.0,57.0,28.0,1.0,1875.0,56.0,372.0,1319.0,192.0,22.0,1875.0,11.0,8.0,72.7,3.0,27.3,1165.0,4946.0,2258.0,8.0,16.0,0.0,18.0,10.0,1382.0,14.0,29,2105.0,73.0,61.5,23.4,24,85.0,12,5,15.0,2,1.86,52.0,25.0,27.0,1.15,0.13,40.1,26.6,13.5,0.58,0.14,8.0,0.0,0.0,32.0,14.0,0.0,3.0,22.0,20.0,0.0,0.0,0.0,147.0,20.0,15.0,57.1
