player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Birama Touré,ml MLI,MF,30.0,37.8,2.0,25.0,7.0,28.0,0.66,0.19,0.08,0.29,26.1,0.0,0.0,1.0,1.9,1.1,0.04,0.1,0.9,1236.0,1538.0,80.4,23867.0,7341.0,466.0,545.0,85.5,516.0,597.0,86.4,199.0,291.0,68.4,0.0,0.2,0.9,-0.2,5.0,121.0,11.0,0.0,138.0,1538.0,1508.0,28.0,23.0,1.0,25.0,14.0,4.0,1.0,0.0,0.0,0.0,1236.0,2.0,24.0,34.0,0.9,27.0,1.0,0.0,0.0,1.0,5.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,80.0,47.0,35.0,35.0,10.0,34.0,93.0,36.6,59.0,54.0,9.0,45.0,67.0,147.0,49.0,0.0,1904.0,94.0,514.0,1188.0,214.0,14.0,1903.0,23.0,11.0,47.8,8.0,34.8,1280.0,6052.0,2210.0,10.0,21.0,1.0,39.0,15.0,1118.0,25.0,38,3400.0,89.0,99.4,37.8,38,89.0,34,0,,0,0.92,34.0,61.0,-27.0,-0.71,3.79,42.0,58.4,-16.4,-0.43,-1.66,3.0,0.0,0.0,50.0,22.0,0.0,14.0,67.0,47.0,0.0,1.0,0.0,242.0,56.0,60.0,48.3
Jubal,br BRA,DF,28.0,35.7,3.0,18.0,5.0,27.8,0.5,0.14,0.11,0.4,11.6,0.0,1.0,1.0,3.1,2.3,0.13,-0.1,-0.3,1099.0,1345.0,81.7,24023.0,7984.0,294.0,353.0,83.3,581.0,637.0,91.2,197.0,318.0,61.9,1.0,0.4,0.9,0.6,4.0,65.0,4.0,2.0,73.0,1345.0,1280.0,64.0,63.0,1.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0,1099.0,1.0,5.0,19.0,0.53,13.0,3.0,0.0,2.0,1.0,0.0,2.0,0.06,1.0,0.0,0.0,0.0,1.0,0.0,41.0,26.0,29.0,11.0,1.0,19.0,38.0,50.0,19.0,57.0,34.0,23.0,53.0,94.0,193.0,0.0,1774.0,305.0,979.0,749.0,57.0,31.0,1773.0,7.0,2.0,28.6,2.0,28.6,1106.0,5884.0,2794.0,7.0,11.0,0.0,23.0,4.0,972.0,1.0,37,3217.0,87.0,94.1,35.7,35,90.0,35,2,34.0,1,0.95,35.0,58.0,-23.0,-0.64,1.57,40.2,55.2,-15.0,-0.42,0.1,7.0,0.0,0.0,38.0,24.0,4.0,4.0,53.0,26.0,1.0,0.0,0.0,178.0,76.0,56.0,57.6
Rayan Raveloson,mg MAD,"DF,MF",25.0,27.0,2.0,29.0,5.0,17.2,1.07,0.19,0.07,0.4,19.5,3.0,0.0,0.0,2.4,2.4,0.08,-0.4,-0.4,917.0,1130.0,81.2,17031.0,6379.0,367.0,421.0,87.2,418.0,498.0,83.9,104.0,162.0,64.2,1.0,0.9,1.3,0.1,13.0,82.0,15.0,7.0,100.0,1130.0,982.0,146.0,30.0,1.0,20.0,33.0,115.0,1.0,1.0,0.0,0.0,917.0,2.0,21.0,42.0,1.55,36.0,0.0,1.0,3.0,1.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,38.0,23.0,21.0,16.0,1.0,23.0,33.0,69.7,10.0,43.0,12.0,31.0,39.0,77.0,70.0,0.0,1420.0,130.0,483.0,687.0,267.0,39.0,1420.0,27.0,8.0,29.6,11.0,40.7,925.0,5455.0,2705.0,36.0,38.0,6.0,41.0,16.0,788.0,61.0,34,2431.0,72.0,71.1,27.0,27,88.0,23,7,10.0,2,1.0,22.0,40.0,-18.0,-0.67,0.24,30.6,44.5,-14.0,-0.52,-0.32,0.0,0.0,0.0,22.0,35.0,1.0,33.0,39.0,23.0,0.0,0.0,1.0,181.0,29.0,22.0,56.9
Gideon Mensah,gh GHA,DF,24.0,25.1,0.0,5.0,1.0,20.0,0.2,0.04,0.0,0.0,25.3,0.0,0.0,0.0,0.1,0.1,0.01,-0.1,-0.1,1126.0,1457.0,77.3,19117.0,7266.0,558.0,635.0,87.9,454.0,558.0,81.4,89.0,193.0,46.1,0.0,2.0,2.1,-2.0,25.0,97.0,20.0,12.0,116.0,1457.0,1192.0,260.0,25.0,2.0,8.0,67.0,235.0,0.0,0.0,0.0,0.0,1126.0,5.0,40.0,50.0,1.99,42.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,44.0,43.0,32.0,5.0,44.0,77.0,57.1,33.0,33.0,10.0,23.0,38.0,118.0,41.0,0.0,1734.0,90.0,531.0,852.0,384.0,9.0,1734.0,59.0,26.0,44.1,28.0,47.5,1140.0,7390.0,3334.0,56.0,63.0,1.0,44.0,13.0,945.0,110.0,26,2262.0,87.0,66.1,25.1,26,87.0,24,0,,2,0.77,18.0,45.0,-27.0,-1.07,-1.0,29.9,38.7,-8.8,-0.35,0.23,5.0,0.0,0.0,29.0,18.0,1.0,67.0,38.0,44.0,0.0,1.0,0.0,246.0,21.0,20.0,51.2
Nuno da Costa,cv CPV,"FW,MF",31.0,22.3,5.0,39.0,14.0,35.9,1.75,0.63,0.13,0.36,15.7,0.0,0.0,0.0,4.5,4.5,0.12,0.5,0.5,261.0,381.0,68.5,4170.0,1230.0,124.0,183.0,67.8,87.0,112.0,77.7,27.0,41.0,65.9,4.0,3.7,2.3,0.3,25.0,22.0,12.0,5.0,32.0,381.0,364.0,17.0,1.0,3.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,10.0,52.0,2.34,35.0,0.0,7.0,4.0,5.0,1.0,5.0,0.22,4.0,0.0,1.0,0.0,0.0,0.0,45.0,23.0,14.0,23.0,8.0,11.0,46.0,23.9,35.0,21.0,1.0,20.0,20.0,65.0,15.0,0.0,728.0,20.0,86.0,334.0,324.0,78.0,728.0,109.0,46.0,42.2,47.0,43.1,489.0,3344.0,1069.0,30.0,18.0,15.0,92.0,40.0,495.0,130.0,33,2003.0,61.0,58.6,22.3,23,73.0,1,10,33.0,0,0.85,23.0,32.0,-9.0,-0.4,0.8,24.1,29.2,-5.1,-0.23,0.48,5.0,1.0,1.0,37.0,57.0,5.0,15.0,20.0,23.0,0.0,0.0,0.0,67.0,45.0,68.0,39.8
Gauthier Hein,fr FRA,"MF,FW",25.0,20.8,2.0,38.0,10.0,26.3,1.82,0.48,0.05,0.2,19.3,2.0,0.0,0.0,3.9,3.9,0.1,-1.9,-1.9,588.0,778.0,75.6,10358.0,2518.0,282.0,321.0,87.9,193.0,252.0,76.6,81.0,156.0,51.9,0.0,3.1,2.3,-3.1,29.0,59.0,15.0,5.0,76.0,778.0,674.0,101.0,33.0,2.0,17.0,99.0,14.0,47.0,21.0,16.0,0.0,588.0,3.0,15.0,63.0,3.02,43.0,13.0,4.0,1.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,13.0,11.0,3.0,18.0,48.0,37.5,30.0,10.0,0.0,10.0,6.0,33.0,10.0,0.0,951.0,14.0,124.0,460.0,383.0,56.0,951.0,49.0,19.0,38.8,28.0,57.1,723.0,4963.0,2152.0,61.0,36.0,24.0,35.0,24.0,667.0,142.0,35,1874.0,54.0,54.8,20.8,23,72.0,1,12,19.0,0,0.97,18.0,35.0,-17.0,-0.82,-0.18,20.8,32.4,-11.6,-0.56,-0.29,1.0,0.0,0.0,21.0,14.0,2.0,99.0,6.0,20.0,0.0,0.0,0.0,89.0,3.0,31.0,8.8
Julian Jeanvier,gn GUI,DF,30.0,19.6,1.0,8.0,4.0,50.0,0.41,0.2,0.13,0.25,8.7,0.0,0.0,0.0,1.2,1.2,0.15,-0.2,-0.2,653.0,792.0,82.4,12993.0,4484.0,220.0,260.0,84.6,328.0,364.0,90.1,90.0,143.0,62.9,0.0,0.0,0.1,0.0,1.0,22.0,0.0,0.0,27.0,792.0,756.0,34.0,27.0,0.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,653.0,2.0,6.0,9.0,0.46,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,24.0,8.0,0.0,13.0,22.0,59.1,9.0,24.0,17.0,7.0,27.0,59.0,96.0,1.0,1002.0,168.0,558.0,423.0,23.0,12.0,1002.0,3.0,2.0,66.7,1.0,33.3,674.0,3508.0,1755.0,4.0,4.0,0.0,8.0,2.0,607.0,6.0,22,1760.0,80.0,51.5,19.6,20,84.0,16,2,42.0,7,0.95,18.0,35.0,-17.0,-0.87,-0.27,20.2,30.6,-10.4,-0.53,-0.22,5.0,1.0,1.0,25.0,10.0,0.0,2.0,27.0,17.0,0.0,0.0,0.0,82.0,24.0,26.0,48.0
Benoît Costil,fr FRA,GK,35.0,19.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,414.0,593.0,69.8,13801.0,10403.0,54.0,54.0,100.0,173.0,179.0,96.6,186.0,357.0,52.1,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,593.0,373.0,218.0,81.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,2.0,0.0,4.0,0.21,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,638.0,531.0,635.0,3.0,0.0,0.0,638.0,1.0,1.0,100.0,0.0,0.0,377.0,1899.0,975.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,19,1710.0,90.0,50.0,19.0,19,90.0,19,0,,0,0.68,16.0,41.0,-25.0,-1.32,-1.16,18.6,31.0,-12.4,-0.65,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,100.0
Akim Zedadka,dz ALG,DF,27.0,17.8,0.0,9.0,0.0,0.0,0.51,0.0,0.0,,19.6,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,543.0,707.0,76.8,8466.0,2865.0,273.0,326.0,83.7,222.0,283.0,78.4,28.0,58.0,48.3,0.0,1.2,1.3,-1.2,14.0,35.0,15.0,9.0,51.0,707.0,555.0,150.0,14.0,1.0,1.0,38.0,136.0,0.0,0.0,0.0,0.0,543.0,2.0,22.0,30.0,1.69,24.0,3.0,2.0,0.0,0.0,1.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,35.0,21.0,21.0,10.0,4.0,18.0,32.0,56.3,14.0,17.0,3.0,14.0,23.0,58.0,51.0,1.0,921.0,70.0,298.0,398.0,232.0,21.0,921.0,35.0,9.0,25.7,22.0,62.9,547.0,3288.0,1350.0,25.0,16.0,4.0,27.0,17.0,472.0,71.0,20,1599.0,80.0,46.8,17.8,19,84.0,15,1,6.0,1,0.95,18.0,24.0,-6.0,-0.34,0.75,18.3,26.6,-8.3,-0.47,-0.08,5.0,0.0,0.0,23.0,27.0,0.0,38.0,23.0,21.0,0.0,2.0,0.0,95.0,24.0,23.0,51.1
Hamza Sakhi,ma MAR,MF,26.0,18.4,1.0,30.0,9.0,30.0,1.63,0.49,0.03,0.11,24.1,2.0,0.0,0.0,1.7,1.7,0.06,-0.7,-0.7,756.0,947.0,79.8,14936.0,4518.0,281.0,316.0,88.9,296.0,351.0,84.3,141.0,216.0,65.3,2.0,3.2,3.3,-1.2,37.0,102.0,22.0,7.0,135.0,947.0,866.0,73.0,33.0,4.0,23.0,88.0,1.0,37.0,12.0,20.0,0.0,756.0,8.0,14.0,71.0,3.86,57.0,8.0,1.0,3.0,2.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,22.0,17.0,5.0,22.0,42.0,52.4,20.0,16.0,1.0,15.0,25.0,69.0,9.0,0.0,1112.0,20.0,171.0,614.0,342.0,28.0,1112.0,27.0,15.0,55.6,6.0,22.2,834.0,5023.0,2110.0,43.0,37.0,3.0,20.0,13.0,779.0,75.0,27,1658.0,61.0,48.5,18.4,18,83.0,8,9,19.0,7,0.63,16.0,40.0,-24.0,-1.3,-1.1,21.6,25.6,-4.0,-0.22,0.41,1.0,0.0,0.0,13.0,21.0,5.0,88.0,25.0,22.0,0.0,0.0,0.0,106.0,6.0,3.0,66.7
