player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mory Diaw,sn SEN,GK,29.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1034.0,1467.0,70.5,30947.0,21906.0,160.0,163.0,98.2,455.0,467.0,97.4,412.0,826.0,49.9,0.0,0.2,0.1,-0.2,4.0,34.0,3.0,0.0,0.0,1467.0,1034.0,430.0,175.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,3.0,1.0,7.0,0.19,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,13.0,5.0,1561.0,1266.0,1549.0,12.0,0.0,0.0,1561.0,1.0,1.0,100.0,0.0,0.0,1064.0,5707.0,3786.0,0.0,0.0,0.0,0.0,0.0,698.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.59,44.0,47.0,-3.0,-0.08,0.92,46.9,56.9,-10.0,-0.27,0.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,100.0
Mateusz Wieteska,pl POL,DF,25.0,34.6,0.0,16.0,5.0,31.3,0.46,0.14,0.0,0.0,8.6,0.0,0.0,0.0,2.1,2.1,0.13,-2.1,-2.1,1344.0,1631.0,82.4,25000.0,10745.0,518.0,587.0,88.2,670.0,756.0,88.6,128.0,239.0,53.6,1.0,0.3,0.6,0.7,3.0,80.0,5.0,0.0,99.0,1631.0,1550.0,75.0,49.0,2.0,6.0,1.0,22.0,0.0,0.0,0.0,0.0,1344.0,6.0,12.0,20.0,0.58,15.0,0.0,1.0,3.0,1.0,0.0,3.0,0.09,0.0,0.0,0.0,2.0,1.0,0.0,41.0,23.0,28.0,13.0,0.0,19.0,33.0,57.6,14.0,44.0,28.0,16.0,56.0,97.0,97.0,4.0,1925.0,256.0,1017.0,868.0,57.0,31.0,1925.0,13.0,11.0,84.6,0.0,0.0,1358.0,8189.0,4515.0,15.0,10.0,0.0,11.0,6.0,1211.0,8.0,35,3117.0,89.0,91.1,34.6,35,89.0,32,0,,0,1.49,40.0,47.0,-7.0,-0.2,-1.09,42.5,53.9,-11.4,-0.33,-0.53,7.0,1.0,0.0,29.0,30.0,0.0,1.0,56.0,23.0,1.0,1.0,0.0,185.0,78.0,41.0,65.5
Neto Borges,br BRA,DF,25.0,31.5,3.0,23.0,7.0,30.4,0.73,0.22,0.13,0.43,14.6,0.0,0.0,0.0,3.1,3.1,0.13,-0.1,-0.1,1163.0,1496.0,77.7,18327.0,6651.0,602.0,687.0,87.6,480.0,610.0,78.7,59.0,119.0,49.6,1.0,2.7,3.5,-1.7,28.0,59.0,43.0,15.0,100.0,1496.0,1208.0,284.0,21.0,4.0,1.0,84.0,256.0,0.0,0.0,0.0,0.0,1163.0,4.0,40.0,77.0,2.45,67.0,2.0,3.0,2.0,3.0,0.0,9.0,0.29,6.0,0.0,0.0,1.0,2.0,0.0,75.0,45.0,45.0,20.0,10.0,46.0,75.0,61.3,29.0,45.0,11.0,34.0,41.0,116.0,62.0,1.0,1869.0,104.0,566.0,759.0,576.0,69.0,1869.0,94.0,47.0,50.0,40.0,42.6,1197.0,6987.0,3368.0,69.0,57.0,13.0,44.0,21.0,1050.0,189.0,33,2833.0,86.0,82.8,31.5,33,86.0,28,0,,0,1.58,38.0,43.0,-5.0,-0.16,-0.31,40.3,48.5,-8.2,-0.26,0.13,4.0,2.0,1.0,21.0,46.0,5.0,84.0,41.0,45.0,2.0,1.0,0.0,186.0,36.0,23.0,61.0
Johan Gastien,fr FRA,MF,34.0,28.9,4.0,19.0,9.0,47.4,0.66,0.31,0.21,0.44,24.8,1.0,0.0,0.0,1.2,1.2,0.06,2.8,2.8,1743.0,2103.0,82.9,34446.0,11716.0,623.0,716.0,87.0,805.0,909.0,88.6,264.0,392.0,67.3,3.0,2.1,3.2,0.9,28.0,193.0,30.0,5.0,219.0,2103.0,1900.0,200.0,144.0,3.0,23.0,67.0,10.0,46.0,23.0,12.0,2.0,1743.0,3.0,24.0,69.0,2.39,44.0,21.0,0.0,2.0,1.0,1.0,9.0,0.31,5.0,4.0,0.0,0.0,0.0,0.0,62.0,34.0,30.0,23.0,9.0,38.0,111.0,34.2,73.0,37.0,7.0,30.0,36.0,98.0,25.0,1.0,2358.0,80.0,628.0,1426.0,325.0,6.0,2358.0,25.0,9.0,36.0,14.0,56.0,1799.0,8404.0,3491.0,13.0,30.0,1.0,26.0,12.0,1646.0,27.0,31,2603.0,84.0,76.1,28.9,29,88.0,23,2,25.0,0,1.77,40.0,37.0,3.0,0.1,0.87,38.6,44.9,-6.3,-0.22,0.28,7.0,0.0,0.0,19.0,33.0,0.0,67.0,36.0,34.0,0.0,1.0,0.0,224.0,10.0,10.0,50.0
Alidu Seidu,gh GHA,DF,22.0,27.3,0.0,6.0,2.0,33.3,0.22,0.07,0.0,0.0,32.6,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,1152.0,1375.0,83.8,20609.0,6267.0,470.0,517.0,90.9,537.0,612.0,87.7,110.0,184.0,59.8,0.0,0.5,0.6,-0.5,7.0,52.0,11.0,6.0,65.0,1375.0,1219.0,154.0,27.0,0.0,3.0,22.0,127.0,0.0,0.0,0.0,0.0,1152.0,2.0,26.0,23.0,0.84,15.0,0.0,1.0,1.0,4.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,52.0,31.0,35.0,14.0,3.0,31.0,51.0,60.8,20.0,28.0,14.0,14.0,52.0,104.0,50.0,2.0,1646.0,109.0,710.0,805.0,158.0,3.0,1646.0,61.0,31.0,50.8,9.0,14.8,1168.0,7389.0,3574.0,27.0,34.0,2.0,34.0,15.0,970.0,35.0,28,2458.0,88.0,71.9,27.3,28,88.0,23,0,,0,1.71,37.0,33.0,4.0,0.15,0.89,35.8,39.4,-3.6,-0.13,0.53,10.0,1.0,0.0,33.0,70.0,1.0,22.0,52.0,31.0,0.0,1.0,0.0,203.0,26.0,9.0,74.3
Grejohn Kyei,fr FRA,FW,26.0,24.8,10.0,54.0,19.0,35.2,2.18,0.77,0.11,0.32,17.5,0.0,4.0,6.0,11.7,7.0,0.13,-1.7,-1.0,376.0,527.0,71.3,5521.0,891.0,212.0,277.0,76.5,112.0,152.0,73.7,24.0,34.0,70.6,3.0,1.6,1.5,1.4,15.0,31.0,11.0,2.0,37.0,527.0,477.0,45.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,376.0,5.0,16.0,53.0,2.14,32.0,0.0,8.0,7.0,4.0,2.0,10.0,0.4,5.0,0.0,2.0,1.0,1.0,1.0,16.0,7.0,2.0,9.0,5.0,4.0,13.0,30.8,9.0,14.0,3.0,11.0,6.0,22.0,22.0,0.0,840.0,28.0,60.0,457.0,333.0,98.0,834.0,73.0,39.0,53.4,31.0,42.5,617.0,3373.0,1004.0,27.0,20.0,13.0,95.0,48.0,670.0,160.0,37,2232.0,60.0,65.3,24.8,26,77.0,5,11,22.0,0,1.59,33.0,27.0,6.0,0.24,1.0,35.0,31.9,3.1,0.13,1.18,3.0,0.0,0.0,58.0,42.0,15.0,7.0,6.0,7.0,1.0,0.0,0.0,51.0,48.0,65.0,42.5
Elba Rashani,xk KVX,"MF,FW",29.0,24.0,3.0,35.0,13.0,37.1,1.46,0.54,0.09,0.23,14.4,0.0,0.0,0.0,4.7,4.7,0.13,-1.7,-1.7,543.0,729.0,74.5,7569.0,1657.0,316.0,375.0,84.3,179.0,229.0,78.2,18.0,46.0,39.1,3.0,3.6,2.8,-0.6,20.0,34.0,15.0,5.0,54.0,729.0,702.0,24.0,5.0,2.0,2.0,58.0,18.0,1.0,0.0,0.0,0.0,543.0,3.0,40.0,46.0,1.92,37.0,0.0,1.0,5.0,2.0,1.0,7.0,0.29,5.0,0.0,0.0,2.0,0.0,0.0,39.0,26.0,13.0,19.0,7.0,13.0,39.0,33.3,26.0,27.0,2.0,25.0,21.0,60.0,19.0,0.0,994.0,28.0,169.0,436.0,406.0,93.0,994.0,56.0,22.0,39.3,26.0,46.4,712.0,4389.0,1714.0,55.0,39.0,22.0,49.0,25.0,664.0,172.0,32,2162.0,68.0,63.2,24.0,26,78.0,7,6,24.0,0,1.66,33.0,31.0,2.0,0.08,0.51,32.7,32.8,0.0,0.0,0.76,3.0,0.0,0.0,36.0,29.0,4.0,58.0,21.0,26.0,1.0,0.0,0.0,101.0,16.0,42.0,27.6
Yohann Magnin,fr FRA,MF,25.0,26.7,0.0,17.0,1.0,5.9,0.64,0.04,0.0,0.0,19.8,0.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1,1121.0,1337.0,83.8,18526.0,5540.0,507.0,577.0,87.9,463.0,531.0,87.2,93.0,141.0,66.0,0.0,2.3,1.8,-2.3,21.0,88.0,9.0,2.0,121.0,1337.0,1304.0,31.0,18.0,2.0,8.0,14.0,12.0,1.0,0.0,0.0,0.0,1121.0,2.0,25.0,47.0,1.76,39.0,0.0,1.0,1.0,2.0,4.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,89.0,54.0,37.0,45.0,7.0,54.0,106.0,50.9,52.0,50.0,12.0,38.0,25.0,114.0,46.0,0.0,1643.0,60.0,430.0,999.0,226.0,28.0,1643.0,32.0,7.0,21.9,19.0,59.4,1168.0,5308.0,2152.0,14.0,28.0,2.0,20.0,11.0,1071.0,56.0,38,2399.0,63.0,70.1,26.7,25,86.0,20,13,19.0,0,1.55,26.0,35.0,-9.0,-0.34,-0.78,30.0,39.0,-9.1,-0.34,-0.19,6.0,0.0,0.0,48.0,48.0,3.0,14.0,25.0,54.0,0.0,3.0,0.0,149.0,27.0,47.0,36.5
Jim Allevinah,ga GAB,"DF,FW",27.0,24.9,1.0,30.0,8.0,26.7,1.2,0.32,0.03,0.13,16.9,0.0,0.0,0.0,2.5,2.5,0.08,-1.5,-1.5,658.0,848.0,77.6,9331.0,2378.0,388.0,453.0,85.7,216.0,273.0,79.1,25.0,62.0,40.3,1.0,2.0,2.5,-1.0,18.0,37.0,14.0,9.0,59.0,848.0,789.0,58.0,7.0,0.0,3.0,65.0,50.0,0.0,0.0,0.0,0.0,658.0,1.0,32.0,48.0,1.93,39.0,1.0,3.0,2.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,39.0,24.0,24.0,11.0,4.0,19.0,62.0,30.6,43.0,24.0,2.0,22.0,24.0,63.0,26.0,1.0,1134.0,39.0,257.0,502.0,396.0,65.0,1134.0,88.0,34.0,38.6,45.0,51.1,851.0,6113.0,2685.0,82.0,62.0,14.0,46.0,40.0,746.0,141.0,36,2244.0,62.0,65.6,24.9,25,80.0,11,11,22.0,0,1.56,24.0,33.0,-9.0,-0.36,-0.74,30.4,38.0,-7.6,-0.31,-0.07,2.0,0.0,0.0,22.0,53.0,1.0,65.0,24.0,24.0,0.0,0.0,0.0,153.0,12.0,17.0,41.4
Maximiliano Caufriez,be BEL,DF,25.0,24.7,1.0,14.0,6.0,42.9,0.57,0.24,0.07,0.17,17.9,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,996.0,1126.0,88.5,17670.0,6475.0,421.0,459.0,91.7,446.0,487.0,91.6,102.0,140.0,72.9,0.0,0.0,0.3,0.0,0.0,67.0,4.0,0.0,92.0,1126.0,1057.0,69.0,44.0,1.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,996.0,0.0,11.0,12.0,0.49,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,31.0,8.0,1.0,20.0,28.0,71.4,8.0,33.0,18.0,15.0,34.0,74.0,70.0,0.0,1367.0,206.0,688.0,595.0,93.0,14.0,1367.0,13.0,5.0,38.5,6.0,46.2,1006.0,6727.0,3440.0,33.0,35.0,1.0,14.0,7.0,873.0,13.0,26,2222.0,85.0,65.0,24.7,25,88.0,22,1,27.0,0,1.73,33.0,25.0,8.0,0.32,1.23,31.3,31.5,-0.2,-0.01,0.78,10.0,1.0,1.0,29.0,35.0,1.0,3.0,34.0,24.0,0.0,0.0,0.0,142.0,20.0,15.0,57.1
