player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Brice Samba,fr FRA,GK,28.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,938.0,1237.0,75.8,25038.0,16717.0,208.0,209.0,99.5,395.0,402.0,98.3,320.0,607.0,52.7,0.0,0.1,0.0,-0.1,1.0,17.0,1.0,0.0,1.0,1237.0,985.0,250.0,90.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,938.0,2.0,1.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,2.0,1307.0,942.0,1291.0,18.0,0.0,0.0,1307.0,1.0,1.0,100.0,0.0,0.0,987.0,5294.0,3115.0,0.0,0.0,0.0,1.0,0.0,712.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,1,2.19,65.0,28.0,37.0,1.0,-1.0,64.0,40.2,23.7,0.64,0.74,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,2.0,80.0
Kevin Danso,at AUT,DF,23.0,35.9,1.0,24.0,4.0,16.7,0.67,0.11,0.04,0.25,14.9,0.0,0.0,0.0,2.5,2.4,0.1,-1.5,-1.4,2103.0,2336.0,90.0,39503.0,14272.0,709.0,769.0,92.2,1184.0,1267.0,93.4,187.0,257.0,72.8,2.0,1.0,1.3,1.0,10.0,157.0,3.0,0.0,163.0,2336.0,2230.0,106.0,79.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2103.0,0.0,11.0,41.0,1.14,38.0,0.0,1.0,0.0,2.0,0.0,5.0,0.14,4.0,0.0,0.0,0.0,1.0,0.0,37.0,19.0,25.0,11.0,1.0,19.0,30.0,63.3,11.0,48.0,34.0,14.0,33.0,70.0,124.0,0.0,2686.0,246.0,1036.0,1566.0,105.0,32.0,2686.0,37.0,19.0,51.4,12.0,32.4,2008.0,13114.0,7379.0,34.0,32.0,1.0,17.0,17.0,1820.0,2.0,37,3232.0,87.0,94.5,35.9,37,87.0,35,0,,0,2.19,62.0,26.0,36.0,1.0,-0.43,63.2,38.2,25.0,0.7,1.35,7.0,1.0,0.0,39.0,57.0,2.0,0.0,33.0,19.0,1.0,2.0,0.0,224.0,82.0,32.0,71.9
Seko Fofana,ci CIV,MF,27.0,34.1,7.0,82.0,22.0,26.8,2.4,0.64,0.07,0.27,19.9,0.0,1.0,2.0,9.3,7.7,0.09,-2.3,-1.7,1590.0,1820.0,87.4,25744.0,5048.0,806.0,880.0,91.6,604.0,674.0,89.6,120.0,157.0,76.4,5.0,3.6,3.3,1.4,35.0,137.0,33.0,8.0,165.0,1820.0,1806.0,12.0,10.0,5.0,17.0,54.0,2.0,0.0,0.0,0.0,0.0,1590.0,2.0,32.0,94.0,2.75,78.0,0.0,7.0,2.0,5.0,2.0,13.0,0.38,10.0,0.0,2.0,0.0,1.0,0.0,28.0,13.0,8.0,18.0,2.0,15.0,39.0,38.5,24.0,17.0,4.0,13.0,19.0,47.0,14.0,0.0,2163.0,32.0,242.0,1237.0,709.0,108.0,2161.0,109.0,59.0,54.1,40.0,36.7,1873.0,11603.0,4763.0,117.0,95.0,32.0,61.0,42.0,1763.0,233.0,35,3073.0,88.0,89.9,34.1,34,89.0,28,1,45.0,1,2.2,58.0,25.0,33.0,0.97,-0.59,57.5,36.5,21.0,0.62,-0.06,2.0,0.0,0.0,22.0,44.0,3.0,54.0,19.0,13.0,1.0,0.0,0.0,196.0,22.0,15.0,59.5
Florian Sotoca,fr FRA,"MF,FW",31.0,33.9,7.0,86.0,29.0,33.7,2.53,0.85,0.07,0.21,15.6,0.0,1.0,3.0,10.5,8.1,0.09,-3.5,-2.1,1172.0,1536.0,76.3,20095.0,5544.0,549.0,655.0,83.8,445.0,585.0,76.1,122.0,187.0,65.2,9.0,8.1,6.1,0.9,59.0,122.0,56.0,17.0,186.0,1536.0,1472.0,58.0,12.0,10.0,21.0,99.0,39.0,1.0,0.0,0.0,0.0,1172.0,6.0,48.0,135.0,3.98,110.0,0.0,3.0,13.0,6.0,3.0,21.0,0.62,19.0,0.0,0.0,1.0,1.0,0.0,39.0,19.0,11.0,17.0,11.0,15.0,40.0,37.5,25.0,41.0,2.0,39.0,29.0,68.0,51.0,0.0,1887.0,55.0,212.0,915.0,775.0,140.0,1884.0,40.0,16.0,40.0,18.0,45.0,1446.0,7373.0,2546.0,53.0,61.0,16.0,44.0,25.0,1434.0,302.0,38,3054.0,80.0,89.3,33.9,34,86.0,20,4,33.0,0,2.21,65.0,22.0,43.0,1.27,2.25,60.6,35.9,24.7,0.73,0.99,4.0,0.0,0.0,37.0,44.0,9.0,99.0,29.0,19.0,1.0,0.0,0.0,124.0,56.0,45.0,55.4
Salis Abdul Samed,gh GHA,MF,22.0,32.2,1.0,13.0,4.0,30.8,0.4,0.12,0.08,0.25,19.1,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1,1819.0,1981.0,91.8,28679.0,7020.0,897.0,964.0,93.0,769.0,811.0,94.8,92.0,117.0,78.6,1.0,1.6,2.3,-0.6,17.0,182.0,17.0,3.0,165.0,1981.0,1927.0,45.0,43.0,5.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,1819.0,9.0,15.0,50.0,1.55,43.0,0.0,2.0,2.0,2.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,18.0,23.0,5.0,29.0,52.0,55.8,23.0,38.0,9.0,29.0,36.0,82.0,26.0,0.0,2224.0,66.0,404.0,1502.0,340.0,16.0,2224.0,49.0,29.0,59.2,13.0,26.5,1849.0,9645.0,3457.0,33.0,56.0,3.0,39.0,32.0,1705.0,44.0,33,2894.0,88.0,84.6,32.2,33,88.0,30,0,,0,2.24,59.0,22.0,37.0,1.15,0.81,57.9,35.7,22.2,0.69,0.45,6.0,1.0,0.0,71.0,38.0,0.0,10.0,36.0,26.0,0.0,0.0,1.0,213.0,14.0,17.0,45.2
Jonathan Gradit,fr FRA,DF,29.0,31.4,1.0,5.0,1.0,20.0,0.16,0.03,0.2,1.0,14.1,0.0,0.0,0.0,0.8,0.8,0.16,0.2,0.2,1875.0,2093.0,89.6,34040.0,12990.0,727.0,789.0,92.1,942.0,1011.0,93.2,159.0,218.0,72.9,3.0,1.1,1.6,1.9,13.0,221.0,17.0,5.0,233.0,2093.0,2016.0,71.0,57.0,4.0,14.0,15.0,8.0,0.0,0.0,0.0,0.0,1875.0,6.0,14.0,49.0,1.56,40.0,1.0,1.0,0.0,4.0,3.0,8.0,0.25,8.0,0.0,0.0,0.0,0.0,0.0,62.0,40.0,30.0,25.0,7.0,31.0,53.0,58.5,22.0,40.0,26.0,14.0,38.0,100.0,83.0,0.0,2369.0,159.0,749.0,1452.0,183.0,7.0,2369.0,26.0,12.0,46.2,12.0,46.2,1860.0,10993.0,6399.0,41.0,68.0,2.0,18.0,9.0,1756.0,9.0,33,2823.0,86.0,82.5,31.4,33,86.0,26,0,,0,2.24,61.0,27.0,34.0,1.08,0.33,56.6,34.5,22.1,0.7,0.47,7.0,0.0,0.0,31.0,39.0,0.0,15.0,38.0,40.0,0.0,0.0,0.0,140.0,47.0,45.0,51.1
Facundo Medina,ar ARG,DF,23.0,30.9,2.0,18.0,4.0,22.2,0.58,0.13,0.11,0.5,13.9,0.0,0.0,0.0,2.6,2.6,0.14,-0.6,-0.6,2260.0,2506.0,90.2,37270.0,14504.0,1045.0,1099.0,95.1,953.0,1032.0,92.3,162.0,246.0,65.9,4.0,1.8,1.8,2.2,15.0,239.0,17.0,8.0,238.0,2506.0,2358.0,144.0,115.0,4.0,20.0,22.0,22.0,0.0,0.0,0.0,0.0,2260.0,4.0,20.0,46.0,1.49,40.0,2.0,0.0,4.0,0.0,0.0,6.0,0.19,4.0,1.0,0.0,1.0,0.0,0.0,31.0,20.0,16.0,15.0,0.0,13.0,35.0,37.1,22.0,25.0,9.0,16.0,26.0,57.0,62.0,1.0,2728.0,164.0,806.0,1714.0,237.0,23.0,2728.0,38.0,24.0,63.2,9.0,23.7,2278.0,14430.0,8259.0,81.0,63.0,1.0,22.0,21.0,2100.0,30.0,32,2779.0,87.0,81.3,30.9,32,87.0,27,0,,2,2.19,52.0,25.0,27.0,0.87,-0.81,52.8,33.8,19.0,0.62,-0.03,7.0,0.0,0.0,34.0,18.0,0.0,22.0,26.0,20.0,0.0,0.0,0.0,212.0,37.0,43.0,46.3
Przemysław Frankowski,pl POL,"DF,MF",27.0,31.5,5.0,28.0,6.0,21.4,0.89,0.19,0.07,0.33,22.1,2.0,3.0,3.0,4.2,1.8,0.06,0.8,0.2,1364.0,1828.0,74.6,23191.0,8259.0,652.0,748.0,87.2,553.0,727.0,76.1,124.0,271.0,45.8,3.0,6.8,6.9,-3.8,67.0,92.0,52.0,26.0,132.0,1828.0,1414.0,409.0,64.0,2.0,5.0,255.0,234.0,111.0,43.0,50.0,0.0,1364.0,5.0,33.0,123.0,3.91,69.0,44.0,3.0,3.0,2.0,2.0,12.0,0.38,8.0,4.0,0.0,0.0,0.0,0.0,77.0,51.0,37.0,31.0,9.0,39.0,80.0,48.8,41.0,38.0,6.0,32.0,41.0,118.0,42.0,2.0,2129.0,79.0,428.0,815.0,904.0,57.0,2126.0,32.0,13.0,40.6,15.0,46.9,1364.0,7257.0,2684.0,51.0,49.0,10.0,30.0,15.0,1242.0,237.0,37,2833.0,77.0,82.8,31.5,31,85.0,18,6,32.0,0,2.19,57.0,21.0,36.0,1.14,0.68,53.0,35.4,17.5,0.56,-0.38,4.0,0.0,0.0,35.0,18.0,6.0,255.0,41.0,51.0,0.0,0.0,0.0,158.0,12.0,21.0,36.4
Loïs Openda,be BEL,FW,22.0,28.0,21.0,103.0,49.0,47.6,3.68,1.75,0.19,0.41,13.1,0.0,1.0,1.0,18.5,17.7,0.17,2.5,2.3,297.0,443.0,67.0,4347.0,944.0,143.0,203.0,70.4,104.0,137.0,75.9,16.0,35.0,45.7,4.0,4.2,3.7,-0.2,24.0,18.0,17.0,2.0,42.0,443.0,382.0,59.0,1.0,7.0,3.0,30.0,8.0,0.0,0.0,0.0,0.0,297.0,2.0,22.0,67.0,2.4,39.0,1.0,10.0,10.0,6.0,1.0,12.0,0.43,6.0,0.0,3.0,3.0,0.0,0.0,11.0,9.0,2.0,6.0,3.0,2.0,13.0,15.4,11.0,9.0,0.0,9.0,2.0,13.0,6.0,0.0,712.0,7.0,24.0,247.0,458.0,166.0,711.0,54.0,19.0,35.2,28.0,51.9,501.0,3635.0,1502.0,61.0,40.0,39.0,59.0,24.0,490.0,206.0,38,2517.0,66.0,73.6,28.0,29,77.0,4,9,32.0,0,2.21,52.0,21.0,31.0,1.11,0.31,49.5,31.1,18.5,0.66,0.15,2.0,0.0,0.0,42.0,47.0,22.0,30.0,2.0,9.0,0.0,0.0,0.0,60.0,13.0,20.0,39.4
Deiver Machado,co COL,"DF,MF",28.0,24.3,4.0,18.0,7.0,38.9,0.74,0.29,0.22,0.57,19.3,1.0,0.0,0.0,1.2,1.2,0.07,2.8,2.8,719.0,875.0,82.2,11319.0,3207.0,371.0,429.0,86.5,268.0,311.0,86.2,50.0,85.0,58.8,3.0,2.8,2.6,0.2,20.0,33.0,21.0,13.0,54.0,875.0,718.0,156.0,10.0,0.0,2.0,60.0,145.0,1.0,1.0,0.0,0.0,719.0,1.0,26.0,42.0,1.73,26.0,4.0,2.0,0.0,8.0,2.0,6.0,0.25,3.0,2.0,0.0,0.0,0.0,1.0,45.0,26.0,18.0,20.0,7.0,21.0,34.0,61.8,13.0,21.0,4.0,17.0,21.0,66.0,27.0,0.0,1105.0,46.0,269.0,484.0,364.0,30.0,1105.0,54.0,17.0,31.5,23.0,42.6,737.0,4668.0,2043.0,59.0,41.0,10.0,30.0,11.0,649.0,131.0,33,2184.0,66.0,63.9,24.3,26,77.0,1,7,26.0,2,2.15,44.0,23.0,21.0,0.87,-0.45,42.9,26.6,16.3,0.67,0.14,5.0,1.0,0.0,42.0,46.0,6.0,60.0,21.0,26.0,1.0,0.0,0.0,116.0,15.0,29.0,34.1
