player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Montassar Talbi,tn TUN,DF,24.0,38.0,1.0,9.0,6.0,66.7,0.24,0.16,0.11,0.17,11.8,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,1753.0,1970.0,89.0,31264.0,10740.0,614.0,653.0,94.0,970.0,1030.0,94.2,113.0,218.0,51.8,2.0,0.5,0.6,1.5,5.0,40.0,2.0,1.0,61.0,1970.0,1821.0,147.0,56.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1753.0,2.0,10.0,11.0,0.29,9.0,1.0,0.0,1.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,53.0,25.0,40.0,13.0,0.0,22.0,35.0,62.9,13.0,55.0,34.0,21.0,40.0,93.0,190.0,3.0,2365.0,481.0,1500.0,847.0,28.0,16.0,2365.0,11.0,7.0,63.6,4.0,36.4,1681.0,10840.0,5959.0,13.0,7.0,0.0,14.0,8.0,1547.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.45,52.0,53.0,-1.0,-0.03,,44.5,58.2,-13.6,-0.36,,0.0,0.0,0.0,16.0,26.0,0.0,2.0,40.0,25.0,0.0,0.0,0.0,164.0,90.0,47.0,65.7
Vincent Le Goff,fr FRA,DF,32.0,37.0,0.0,17.0,6.0,35.3,0.46,0.16,0.0,0.0,18.3,0.0,0.0,0.0,1.2,1.2,0.07,-1.2,-1.2,1702.0,2044.0,83.3,26725.0,11113.0,867.0,967.0,89.7,690.0,791.0,87.2,93.0,189.0,49.2,0.0,0.7,1.7,-0.7,14.0,135.0,28.0,9.0,178.0,2044.0,1716.0,322.0,63.0,2.0,2.0,39.0,259.0,0.0,0.0,0.0,0.0,1702.0,6.0,36.0,38.0,1.03,32.0,3.0,1.0,1.0,0.0,1.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,75.0,32.0,56.0,16.0,3.0,45.0,62.0,72.6,17.0,29.0,9.0,20.0,41.0,116.0,105.0,1.0,2358.0,173.0,848.0,1158.0,371.0,31.0,2358.0,32.0,12.0,37.5,14.0,43.8,1584.0,8872.0,4688.0,69.0,57.0,4.0,18.0,12.0,1423.0,84.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,1,1.49,52.0,52.0,0.0,0.0,1.0,43.4,57.2,-13.8,-0.37,-0.49,1.0,0.0,0.0,19.0,19.0,3.0,39.0,41.0,32.0,0.0,0.0,0.0,205.0,30.0,29.0,50.8
Enzo Le Fée,fr FRA,MF,22.0,33.6,5.0,45.0,18.0,40.0,1.34,0.54,0.11,0.28,23.4,8.0,0.0,0.0,3.5,3.5,0.08,1.5,1.5,1708.0,2118.0,80.6,28806.0,9189.0,773.0,868.0,89.1,645.0,777.0,83.0,184.0,307.0,59.9,6.0,6.8,4.7,-0.8,67.0,170.0,37.0,5.0,218.0,2118.0,1863.0,249.0,103.0,11.0,13.0,136.0,13.0,94.0,39.0,38.0,2.0,1708.0,6.0,48.0,120.0,3.57,79.0,27.0,5.0,4.0,4.0,1.0,11.0,0.33,5.0,5.0,0.0,1.0,0.0,0.0,108.0,64.0,52.0,40.0,16.0,43.0,113.0,38.1,70.0,50.0,5.0,45.0,34.0,142.0,38.0,1.0,2611.0,89.0,558.0,1422.0,675.0,35.0,2611.0,155.0,68.0,43.9,67.0,43.2,1970.0,12115.0,5413.0,96.0,90.0,13.0,74.0,55.0,1798.0,105.0,35,3028.0,87.0,88.5,33.6,35,87.0,22,0,,0,1.54,49.0,47.0,2.0,0.06,0.75,40.2,51.7,-11.5,-0.34,0.15,5.0,0.0,0.0,42.0,64.0,2.0,136.0,34.0,64.0,0.0,0.0,0.0,240.0,11.0,25.0,30.6
Gedeon Kalulu,cd COD,DF,24.0,27.1,0.0,10.0,2.0,20.0,0.37,0.07,0.0,0.0,20.9,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,1101.0,1375.0,80.1,17656.0,6738.0,561.0,623.0,90.0,415.0,510.0,81.4,77.0,153.0,50.3,4.0,1.5,1.2,2.5,23.0,82.0,17.0,5.0,106.0,1375.0,1151.0,219.0,44.0,0.0,4.0,29.0,175.0,0.0,0.0,0.0,0.0,1101.0,5.0,37.0,41.0,1.51,35.0,1.0,3.0,1.0,1.0,0.0,5.0,0.18,5.0,0.0,0.0,0.0,0.0,0.0,64.0,34.0,43.0,14.0,7.0,30.0,48.0,62.5,18.0,32.0,3.0,29.0,28.0,92.0,79.0,2.0,1653.0,140.0,609.0,745.0,314.0,40.0,1653.0,41.0,21.0,51.2,15.0,36.6,1091.0,7029.0,3264.0,58.0,48.0,6.0,31.0,18.0,964.0,82.0,29,2438.0,84.0,71.3,27.1,28,86.0,23,1,25.0,0,1.55,41.0,40.0,1.0,0.04,0.22,32.1,45.9,-13.8,-0.51,-0.53,6.0,0.0,0.0,30.0,18.0,2.0,29.0,28.0,34.0,0.0,0.0,0.0,165.0,28.0,25.0,52.8
Laurent Abergel,fr FRA,MF,29.0,26.0,0.0,13.0,2.0,15.4,0.5,0.08,0.0,0.0,24.0,0.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,1308.0,1483.0,88.2,22287.0,7579.0,593.0,640.0,92.7,562.0,617.0,91.1,111.0,160.0,69.4,1.0,1.3,1.1,-0.3,14.0,144.0,11.0,0.0,143.0,1483.0,1431.0,49.0,47.0,10.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,1308.0,3.0,14.0,33.0,1.27,27.0,2.0,2.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,92.0,52.0,59.0,30.0,3.0,39.0,92.0,42.4,53.0,47.0,8.0,39.0,34.0,126.0,39.0,0.0,1779.0,76.0,581.0,1069.0,151.0,4.0,1779.0,41.0,23.0,56.1,14.0,34.1,1384.0,6069.0,2597.0,13.0,29.0,0.0,29.0,19.0,1257.0,14.0,29,2342.0,81.0,68.5,26.0,28,83.0,19,1,26.0,0,1.72,38.0,35.0,3.0,0.12,0.45,31.6,39.7,-8.1,-0.31,0.16,7.0,1.0,1.0,28.0,29.0,0.0,6.0,34.0,52.0,0.0,0.0,0.0,193.0,8.0,15.0,34.8
Yvon Mvogo,ch SUI,GK,28.0,20.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,466.0,622.0,74.9,12098.0,8637.0,114.0,114.0,100.0,211.0,211.0,100.0,136.0,287.0,47.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,622.0,417.0,201.0,56.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,661.0,601.0,659.0,2.0,0.0,0.0,661.0,1.0,1.0,100.0,0.0,0.0,451.0,2490.0,1670.0,0.0,0.0,0.0,1.0,0.0,274.0,0.0,21,1812.0,86.0,53.0,20.1,21,86.0,20,0,,1,1.76,33.0,29.0,4.0,0.2,0.48,26.9,29.5,-2.6,-0.13,0.49,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,100.0
Julien Ponceau,fr FRA,MF,21.0,18.4,1.0,14.0,4.0,28.6,0.76,0.22,0.07,0.25,18.5,0.0,0.0,0.0,1.8,1.8,0.13,-0.8,-0.8,691.0,840.0,82.3,10711.0,3196.0,352.0,407.0,86.5,260.0,302.0,86.1,42.0,59.0,71.2,4.0,3.0,2.0,1.0,26.0,75.0,12.0,1.0,101.0,840.0,786.0,50.0,12.0,2.0,2.0,12.0,9.0,2.0,0.0,0.0,0.0,691.0,4.0,23.0,50.0,2.72,45.0,1.0,2.0,0.0,2.0,0.0,4.0,0.22,4.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,10.0,14.0,4.0,10.0,32.0,31.3,22.0,27.0,3.0,24.0,14.0,42.0,12.0,0.0,1014.0,32.0,168.0,534.0,328.0,43.0,1014.0,30.0,10.0,33.3,17.0,56.7,781.0,4815.0,2245.0,53.0,53.0,7.0,39.0,18.0,707.0,103.0,31,1655.0,53.0,48.4,18.4,20,72.0,3,11,19.0,6,1.29,29.0,29.0,0.0,0.0,0.05,22.1,29.1,-7.0,-0.38,-0.04,1.0,0.0,0.0,21.0,25.0,4.0,12.0,14.0,19.0,0.0,0.0,0.0,105.0,8.0,27.0,22.9
Julien Laporte,fr FRA,DF,28.0,18.4,0.0,6.0,2.0,33.3,0.33,0.11,0.0,0.0,14.8,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,681.0,799.0,85.2,14120.0,4913.0,196.0,213.0,92.0,377.0,406.0,92.9,96.0,156.0,61.5,0.0,0.0,0.1,0.0,1.0,52.0,1.0,0.0,41.0,799.0,779.0,18.0,12.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,681.0,2.0,6.0,9.0,0.49,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,18.0,3.0,1.0,16.0,22.0,72.7,6.0,33.0,27.0,6.0,18.0,40.0,108.0,2.0,1005.0,230.0,578.0,411.0,17.0,6.0,1005.0,1.0,1.0,100.0,0.0,0.0,709.0,3935.0,2026.0,4.0,5.0,0.0,5.0,2.0,671.0,0.0,20,1654.0,83.0,48.4,18.4,19,86.0,17,1,24.0,2,1.7,29.0,26.0,3.0,0.16,0.37,23.3,27.4,-4.1,-0.22,0.27,1.0,0.0,0.0,10.0,16.0,1.0,0.0,18.0,16.0,0.0,0.0,1.0,61.0,31.0,21.0,59.6
Dango Ouattara,bf BFA,"FW,MF",20.0,17.2,6.0,52.0,17.0,32.7,3.02,0.99,0.12,0.35,16.6,4.0,0.0,0.0,5.2,5.2,0.1,0.8,0.8,267.0,444.0,60.1,3726.0,1232.0,151.0,220.0,68.6,85.0,152.0,55.9,13.0,34.0,38.2,5.0,3.1,3.0,1.9,23.0,20.0,23.0,2.0,39.0,444.0,431.0,12.0,1.0,6.0,0.0,33.0,8.0,2.0,0.0,0.0,0.0,267.0,1.0,10.0,63.0,3.67,31.0,1.0,12.0,5.0,11.0,3.0,15.0,0.87,6.0,0.0,4.0,1.0,3.0,1.0,41.0,26.0,20.0,11.0,10.0,15.0,28.0,53.6,13.0,24.0,6.0,18.0,19.0,60.0,21.0,0.0,720.0,37.0,145.0,251.0,339.0,84.0,720.0,79.0,28.0,35.4,35.0,44.3,502.0,3755.0,1766.0,64.0,28.0,34.0,45.0,22.0,457.0,151.0,18,1548.0,86.0,45.3,17.2,18,86.0,13,0,,0,1.61,27.0,25.0,2.0,0.12,0.26,21.1,26.6,-5.4,-0.32,0.08,3.0,1.0,1.0,15.0,43.0,2.0,33.0,19.0,26.0,2.0,0.0,0.0,90.0,37.0,38.0,49.3
Vito Mannone,it ITA,GK,34.0,17.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,444.0,583.0,76.2,10835.0,7099.0,94.0,95.0,98.9,252.0,255.0,98.8,97.0,232.0,41.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,583.0,417.0,166.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,618.0,544.0,616.0,2.0,0.0,0.0,618.0,0.0,0.0,,0.0,,436.0,2037.0,1358.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,18,1608.0,89.0,47.0,17.9,17,90.0,17,1,78.0,9,1.0,19.0,24.0,-5.0,-0.28,-0.48,17.6,28.7,-11.0,-0.62,-0.49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,100.0
