player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Gianluigi Donnarumma,it ITA,GK,23.0,37.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,811.0,935.0,86.7,16498.0,10725.0,259.0,260.0,99.6,413.0,420.0,98.3,126.0,241.0,52.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,935.0,681.0,254.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,1021.0,909.0,1016.0,6.0,0.0,0.0,1021.0,1.0,1.0,100.0,0.0,0.0,695.0,3076.0,1895.0,0.0,0.0,0.0,0.0,0.0,447.0,0.0,38,3409.0,90.0,99.7,37.9,38,90.0,37,0,,0,2.24,89.0,40.0,49.0,1.29,1.29,78.1,48.3,29.8,0.79,-0.05,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,7.0,1.0,87.5
Lionel Messi,ar ARG,"FW,MF",35.0,31.5,16.0,129.0,55.0,42.6,4.09,1.74,0.12,0.29,18.3,20.0,0.0,0.0,15.5,15.5,0.12,0.5,0.5,1641.0,2050.0,80.0,25475.0,8767.0,908.0,1034.0,87.8,495.0,597.0,82.9,154.0,235.0,65.5,16.0,13.4,16.2,2.6,93.0,223.0,120.0,2.0,300.0,2050.0,1867.0,157.0,38.0,58.0,11.0,91.0,2.0,96.0,33.0,37.0,0.0,1641.0,26.0,63.0,197.0,6.25,128.0,30.0,18.0,10.0,9.0,2.0,35.0,1.11,27.0,2.0,3.0,1.0,2.0,0.0,26.0,18.0,1.0,13.0,12.0,11.0,27.0,40.7,16.0,11.0,0.0,11.0,2.0,28.0,0.0,0.0,2401.0,5.0,98.0,1201.0,1132.0,159.0,2401.0,184.0,102.0,55.4,71.0,38.6,2053.0,11482.0,5063.0,114.0,126.0,42.0,52.0,77.0,2042.0,220.0,32,2837.0,89.0,83.0,31.5,32,89.0,27,0,,0,2.34,77.0,31.0,46.0,1.46,1.0,64.7,38.9,25.9,0.82,0.19,0.0,0.0,0.0,8.0,36.0,6.0,91.0,2.0,18.0,0.0,0.0,0.0,75.0,1.0,3.0,25.0
Kylian Mbappé,fr FRA,FW,23.0,31.3,29.0,144.0,73.0,50.7,4.6,2.33,0.18,0.36,15.9,1.0,3.0,5.0,26.3,22.2,0.15,2.7,3.8,1096.0,1355.0,80.9,14622.0,3137.0,677.0,789.0,85.8,299.0,371.0,80.6,42.0,65.0,64.6,5.0,7.4,9.4,-2.4,55.0,81.0,76.0,10.0,128.0,1355.0,1291.0,59.0,2.0,8.0,2.0,47.0,13.0,17.0,3.0,0.0,0.0,1096.0,5.0,27.0,143.0,4.57,96.0,3.0,19.0,15.0,10.0,0.0,23.0,0.73,12.0,0.0,4.0,5.0,2.0,0.0,10.0,4.0,0.0,5.0,5.0,5.0,16.0,31.3,11.0,5.0,0.0,5.0,5.0,15.0,6.0,0.0,1771.0,10.0,46.0,594.0,1149.0,302.0,1766.0,201.0,74.0,36.8,109.0,54.2,1583.0,9810.0,4725.0,165.0,126.0,86.0,63.0,42.0,1575.0,468.0,34,2818.0,83.0,82.4,31.3,32,86.0,26,2,34.0,0,2.24,73.0,33.0,40.0,1.28,-0.07,65.2,42.1,23.0,0.74,-0.29,6.0,0.0,0.0,19.0,40.0,33.0,47.0,5.0,4.0,1.0,0.0,0.0,54.0,8.0,5.0,61.5
Sergio Ramos,es ESP,DF,36.0,30.0,2.0,19.0,7.0,36.8,0.63,0.23,0.11,0.29,14.6,1.0,0.0,0.0,1.7,1.7,0.09,0.3,0.3,2394.0,2535.0,94.4,46077.0,15119.0,815.0,860.0,94.8,1231.0,1263.0,97.5,283.0,327.0,86.5,1.0,0.2,0.8,0.8,4.0,215.0,6.0,2.0,163.0,2535.0,2453.0,80.0,47.0,2.0,38.0,13.0,27.0,0.0,0.0,0.0,0.0,2394.0,2.0,13.0,21.0,0.7,16.0,0.0,0.0,2.0,3.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,34.0,26.0,14.0,18.0,2.0,23.0,44.0,52.3,21.0,29.0,13.0,16.0,34.0,68.0,93.0,3.0,2774.0,310.0,1061.0,1566.0,159.0,30.0,2774.0,14.0,5.0,35.7,6.0,42.9,2313.0,11550.0,5696.0,15.0,20.0,3.0,8.0,6.0,2186.0,10.0,33,2704.0,82.0,79.1,30.0,31,85.0,26,2,37.0,0,2.3,72.0,32.0,40.0,1.33,0.2,59.5,38.7,20.8,0.69,-0.46,3.0,1.0,0.0,36.0,24.0,4.0,13.0,34.0,26.0,1.0,0.0,0.0,173.0,55.0,34.0,61.8
Marquinhos,br BRA,DF,28.0,30.2,2.0,18.0,4.0,22.2,0.6,0.13,0.11,0.5,9.2,0.0,0.0,0.0,2.1,2.1,0.11,-0.1,-0.1,2068.0,2175.0,95.1,35716.0,12062.0,835.0,864.0,96.6,1045.0,1077.0,97.0,136.0,164.0,82.9,0.0,0.5,1.3,-0.5,9.0,104.0,3.0,0.0,99.0,2175.0,2114.0,57.0,34.0,4.0,7.0,1.0,17.0,0.0,0.0,0.0,0.0,2068.0,4.0,11.0,19.0,0.63,15.0,1.0,0.0,3.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,18.0,12.0,3.0,18.0,26.0,69.2,8.0,43.0,27.0,16.0,23.0,56.0,83.0,2.0,2411.0,294.0,946.0,1359.0,117.0,39.0,2411.0,2.0,0.0,0.0,2.0,100.0,1974.0,9280.0,4747.0,4.0,18.0,2.0,12.0,6.0,1869.0,15.0,33,2718.0,82.0,79.5,30.2,30,89.0,26,3,16.0,0,2.27,71.0,28.0,43.0,1.42,0.65,62.7,36.1,26.6,0.88,0.46,4.0,0.0,0.0,14.0,10.0,0.0,1.0,23.0,25.0,0.0,0.0,1.0,155.0,35.0,27.0,56.5
Vitinha,pt POR,MF,22.0,27.2,2.0,31.0,11.0,35.5,1.14,0.4,0.06,0.18,20.5,0.0,0.0,0.0,3.0,3.0,0.1,-1.0,-1.0,1786.0,1945.0,91.8,26148.0,5772.0,960.0,1018.0,94.3,613.0,657.0,93.3,95.0,113.0,84.1,3.0,3.0,3.4,0.0,27.0,170.0,24.0,1.0,137.0,1945.0,1923.0,18.0,9.0,7.0,6.0,13.0,3.0,6.0,2.0,3.0,0.0,1786.0,4.0,26.0,73.0,2.69,63.0,2.0,0.0,4.0,2.0,2.0,10.0,0.37,8.0,0.0,0.0,1.0,1.0,0.0,58.0,25.0,21.0,27.0,10.0,27.0,83.0,32.5,56.0,27.0,4.0,23.0,25.0,83.0,15.0,0.0,2189.0,41.0,325.0,1299.0,584.0,38.0,2189.0,53.0,31.0,58.5,17.0,32.1,1872.0,9931.0,4552.0,50.0,74.0,5.0,33.0,33.0,1786.0,94.0,36,2446.0,68.0,71.5,27.2,29,77.0,8,7,31.0,1,2.25,58.0,28.0,30.0,1.1,-0.65,54.0,34.2,19.8,0.73,-0.21,3.0,0.0,0.0,31.0,19.0,0.0,13.0,25.0,25.0,0.0,0.0,0.0,164.0,5.0,4.0,55.6
Danilo Pereira,pt POR,"DF,MF",30.0,26.8,2.0,22.0,5.0,22.7,0.82,0.19,0.09,0.4,12.7,0.0,0.0,0.0,2.3,2.3,0.11,-0.3,-0.3,1950.0,2068.0,94.3,32419.0,10970.0,909.0,946.0,96.1,859.0,899.0,95.6,136.0,164.0,82.9,0.0,0.5,0.9,-0.5,4.0,200.0,7.0,0.0,154.0,2068.0,1989.0,74.0,36.0,1.0,6.0,3.0,21.0,0.0,0.0,0.0,0.0,1950.0,5.0,8.0,23.0,0.86,19.0,0.0,0.0,2.0,1.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,15.0,14.0,3.0,19.0,26.0,73.1,7.0,26.0,19.0,7.0,36.0,68.0,59.0,1.0,2277.0,193.0,695.0,1442.0,162.0,29.0,2277.0,15.0,10.0,66.7,5.0,33.3,1888.0,9953.0,5205.0,26.0,35.0,2.0,14.0,10.0,1748.0,11.0,33,2410.0,73.0,70.5,26.8,27,83.0,19,6,27.0,3,2.12,57.0,27.0,30.0,1.12,-0.57,52.9,33.0,19.9,0.74,-0.15,3.0,0.0,0.0,17.0,14.0,1.0,3.0,36.0,17.0,0.0,0.0,0.0,184.0,34.0,22.0,60.7
Marco Verratti,it ITA,MF,29.0,24.4,0.0,8.0,4.0,50.0,0.33,0.16,0.0,0.0,17.8,0.0,0.0,0.0,0.8,0.8,0.1,-0.8,-0.8,2383.0,2573.0,92.6,36470.0,12516.0,1265.0,1333.0,94.9,848.0,896.0,94.6,153.0,195.0,78.5,0.0,2.5,4.9,-2.5,33.0,222.0,55.0,3.0,262.0,2573.0,2444.0,123.0,99.0,17.0,2.0,7.0,23.0,1.0,0.0,0.0,0.0,2383.0,6.0,17.0,83.0,3.41,78.0,2.0,1.0,1.0,0.0,1.0,9.0,0.37,8.0,0.0,0.0,0.0,0.0,1.0,76.0,49.0,34.0,36.0,6.0,38.0,89.0,42.7,51.0,42.0,6.0,36.0,27.0,103.0,11.0,3.0,2783.0,69.0,527.0,1743.0,538.0,26.0,2783.0,53.0,29.0,54.7,14.0,26.4,2376.0,11182.0,5529.0,40.0,79.0,5.0,17.0,33.0,2274.0,52.0,29,2194.0,76.0,64.2,24.4,27,80.0,14,2,21.0,0,2.21,59.0,26.0,33.0,1.35,0.18,55.0,31.1,23.9,0.98,0.54,10.0,1.0,0.0,36.0,53.0,0.0,7.0,27.0,49.0,0.0,1.0,0.0,175.0,11.0,13.0,45.8
Achraf Hakimi,ma MAR,"DF,MF",23.0,22.8,5.0,18.0,9.0,50.0,0.79,0.39,0.28,0.56,14.9,0.0,0.0,0.0,3.8,3.8,0.21,1.2,1.2,1373.0,1538.0,89.3,17560.0,4800.0,875.0,952.0,91.9,378.0,416.0,90.9,28.0,40.0,70.0,3.0,3.0,5.3,0.0,33.0,49.0,46.0,13.0,99.0,1538.0,1422.0,116.0,12.0,1.0,1.0,42.0,101.0,3.0,0.0,0.0,0.0,1373.0,0.0,35.0,75.0,3.29,64.0,1.0,4.0,2.0,2.0,2.0,9.0,0.39,5.0,0.0,1.0,1.0,1.0,1.0,54.0,34.0,19.0,20.0,15.0,31.0,59.0,52.5,28.0,34.0,2.0,32.0,16.0,70.0,19.0,0.0,1772.0,49.0,361.0,716.0,713.0,82.0,1772.0,74.0,29.0,39.2,32.0,43.2,1414.0,7700.0,4281.0,85.0,66.0,22.0,29.0,23.0,1326.0,229.0,28,2053.0,73.0,60.0,22.8,23,86.0,19,5,17.0,1,2.14,57.0,19.0,38.0,1.67,0.94,48.9,27.2,21.7,0.95,0.41,7.0,2.0,1.0,29.0,19.0,5.0,42.0,16.0,34.0,1.0,0.0,0.0,129.0,7.0,7.0,50.0
Fabián Ruiz Peña,es ESP,MF,26.0,21.0,3.0,26.0,9.0,34.6,1.24,0.43,0.12,0.33,18.2,0.0,0.0,0.0,2.8,2.8,0.11,0.2,0.2,1614.0,1763.0,91.5,24039.0,6080.0,876.0,929.0,94.3,556.0,596.0,93.3,96.0,124.0,77.4,2.0,2.1,2.9,-0.1,17.0,151.0,22.0,1.0,128.0,1763.0,1716.0,44.0,25.0,9.0,11.0,13.0,15.0,4.0,0.0,3.0,0.0,1614.0,3.0,24.0,41.0,1.95,37.0,0.0,1.0,2.0,0.0,1.0,6.0,0.29,6.0,0.0,0.0,0.0,0.0,0.0,62.0,28.0,25.0,30.0,7.0,43.0,79.0,54.4,36.0,24.0,1.0,23.0,18.0,80.0,23.0,1.0,1971.0,53.0,411.0,1161.0,410.0,41.0,1971.0,30.0,18.0,60.0,12.0,40.0,1681.0,7230.0,3162.0,32.0,35.0,4.0,23.0,16.0,1580.0,86.0,27,1892.0,70.0,55.3,21.0,21,79.0,10,6,40.0,0,2.3,45.0,21.0,24.0,1.14,-0.33,40.5,27.0,13.6,0.65,-0.32,0.0,0.0,0.0,19.0,13.0,4.0,13.0,18.0,28.0,0.0,1.0,0.0,157.0,5.0,7.0,41.7
