player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Benjamin Bourigeaud,fr FRA,"MF,FW",28.0,34.1,7.0,71.0,19.0,26.8,2.08,0.56,0.07,0.26,20.0,10.0,2.0,2.0,8.7,7.1,0.1,-1.7,-2.1,1505.0,2007.0,75.0,28664.0,9729.0,576.0,692.0,83.2,682.0,843.0,80.9,207.0,382.0,54.2,10.0,11.6,10.3,-1.6,98.0,183.0,96.0,19.0,264.0,2007.0,1766.0,230.0,63.0,13.0,23.0,231.0,39.0,128.0,45.0,64.0,0.0,1505.0,11.0,40.0,166.0,4.88,102.0,49.0,4.0,9.0,1.0,1.0,19.0,0.56,16.0,0.0,0.0,3.0,0.0,0.0,45.0,29.0,16.0,23.0,6.0,21.0,65.0,32.3,44.0,38.0,3.0,35.0,31.0,76.0,32.0,0.0,2305.0,53.0,274.0,1149.0,904.0,80.0,2303.0,33.0,14.0,42.4,17.0,51.5,1716.0,8088.0,3068.0,40.0,72.0,4.0,32.0,18.0,1602.0,250.0,37,3065.0,83.0,89.6,34.1,37,83.0,16,0,,0,1.76,64.0,35.0,29.0,0.85,0.6,55.3,39.1,16.1,0.47,0.19,6.0,1.0,1.0,35.0,14.0,2.0,231.0,31.0,29.0,0.0,0.0,0.0,176.0,10.0,32.0,23.8
Arthur Theate,be BEL,DF,22.0,34.7,4.0,31.0,10.0,32.3,0.89,0.29,0.13,0.4,11.9,0.0,0.0,0.0,4.5,4.5,0.15,-0.5,-0.5,2296.0,2568.0,89.4,46250.0,15551.0,631.0,684.0,92.3,1361.0,1449.0,93.9,266.0,366.0,72.7,0.0,0.6,0.8,-0.6,9.0,216.0,4.0,0.0,248.0,2568.0,2501.0,62.0,53.0,0.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,2296.0,5.0,12.0,23.0,0.66,22.0,0.0,0.0,0.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,17.0,8.0,4.0,17.0,30.0,56.7,13.0,26.0,14.0,12.0,30.0,59.0,114.0,3.0,2856.0,222.0,1081.0,1644.0,141.0,40.0,2856.0,14.0,7.0,50.0,7.0,50.0,2313.0,14175.0,8082.0,37.0,35.0,0.0,15.0,5.0,2163.0,4.0,35,3127.0,89.0,91.4,34.7,35,89.0,33,0,,1,1.69,59.0,38.0,21.0,0.6,-2.16,55.4,41.3,14.1,0.41,-0.57,5.0,0.0,0.0,24.0,13.0,0.0,1.0,30.0,19.0,0.0,1.0,1.0,182.0,70.0,38.0,64.8
Steve Mandanda,fr FRA,GK,37.0,33.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,919.0,1216.0,75.6,25001.0,17025.0,156.0,158.0,98.7,468.0,478.0,97.9,291.0,573.0,50.8,1.0,0.1,0.0,0.9,1.0,15.0,0.0,0.0,1.0,1216.0,917.0,297.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,2.0,0.0,5.0,0.15,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1267.0,922.0,1251.0,17.0,0.0,0.0,1267.0,1.0,1.0,100.0,0.0,0.0,916.0,4101.0,2479.0,0.0,0.0,0.0,2.0,0.0,649.0,0.0,34,3014.0,89.0,88.1,33.5,34,89.0,32,0,,1,1.82,62.0,31.0,31.0,0.93,1.15,55.3,38.1,17.2,0.51,0.5,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,6.0,1.0,85.7
Amine Gouiri,fr FRA,"FW,MF",22.0,28.0,15.0,74.0,30.0,40.5,2.64,1.07,0.2,0.5,13.6,0.0,0.0,0.0,11.1,11.1,0.15,3.9,3.9,588.0,742.0,79.2,8451.0,1576.0,307.0,376.0,81.6,209.0,252.0,82.9,31.0,41.0,75.6,3.0,4.3,4.9,-1.3,37.0,32.0,31.0,3.0,70.0,742.0,718.0,22.0,0.0,5.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,588.0,2.0,26.0,93.0,3.32,72.0,0.0,9.0,9.0,2.0,1.0,11.0,0.39,8.0,0.0,3.0,0.0,0.0,0.0,42.0,25.0,14.0,16.0,12.0,14.0,33.0,42.4,19.0,21.0,0.0,21.0,12.0,54.0,10.0,0.0,1071.0,12.0,74.0,439.0,576.0,145.0,1071.0,80.0,33.0,41.3,44.0,55.0,805.0,4749.0,1815.0,63.0,40.0,26.0,72.0,36.0,784.0,205.0,33,2523.0,76.0,73.8,28.0,29,83.0,17,4,27.0,0,1.85,55.0,29.0,26.0,0.93,0.53,46.0,29.0,17.0,0.61,0.58,4.0,0.0,0.0,39.0,18.0,8.0,10.0,12.0,25.0,0.0,0.0,0.0,97.0,29.0,49.0,37.2
Hamari Traoré,ml MLI,DF,30.0,28.1,1.0,30.0,9.0,30.0,1.07,0.32,0.03,0.11,15.5,0.0,0.0,0.0,1.9,1.9,0.06,-0.9,-0.9,1541.0,1826.0,84.4,27185.0,8228.0,633.0,709.0,89.3,759.0,868.0,87.4,124.0,194.0,63.9,4.0,2.6,3.6,1.4,22.0,132.0,34.0,13.0,159.0,1826.0,1624.0,200.0,26.0,4.0,10.0,63.0,174.0,0.0,0.0,0.0,0.0,1541.0,2.0,28.0,64.0,2.28,57.0,0.0,1.0,5.0,0.0,1.0,11.0,0.39,10.0,0.0,1.0,0.0,0.0,0.0,48.0,32.0,26.0,15.0,7.0,28.0,52.0,53.8,24.0,33.0,7.0,26.0,38.0,86.0,64.0,0.0,2083.0,90.0,426.0,1130.0,537.0,64.0,2083.0,18.0,9.0,50.0,9.0,50.0,1512.0,7652.0,3415.0,55.0,63.0,8.0,26.0,9.0,1399.0,162.0,31,2528.0,82.0,73.9,28.1,28,89.0,22,3,16.0,0,1.81,55.0,29.0,26.0,0.93,0.52,47.2,31.0,16.2,0.58,0.47,5.0,0.0,0.0,33.0,6.0,3.0,63.0,38.0,32.0,0.0,2.0,0.0,155.0,33.0,34.0,49.3
Adrien Truffert,fr FRA,DF,20.0,21.7,0.0,10.0,3.0,30.0,0.46,0.14,0.0,0.0,21.3,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,1106.0,1395.0,79.3,17515.0,5252.0,544.0,621.0,87.6,487.0,625.0,77.9,52.0,87.0,59.8,6.0,1.5,1.6,4.5,22.0,71.0,17.0,10.0,89.0,1395.0,1153.0,239.0,17.0,0.0,2.0,35.0,222.0,0.0,0.0,0.0,0.0,1106.0,3.0,36.0,51.0,2.35,40.0,3.0,3.0,3.0,2.0,0.0,8.0,0.37,7.0,1.0,0.0,0.0,0.0,0.0,62.0,32.0,36.0,17.0,9.0,31.0,46.0,67.4,15.0,32.0,8.0,24.0,22.0,84.0,55.0,0.0,1656.0,65.0,410.0,790.0,467.0,30.0,1656.0,46.0,21.0,45.7,19.0,41.3,1071.0,5984.0,2659.0,55.0,53.0,9.0,27.0,14.0,979.0,166.0,28,1954.0,70.0,57.1,21.7,24,79.0,13,4,13.0,0,1.79,35.0,25.0,10.0,0.46,-0.77,33.6,28.2,5.3,0.25,-0.49,1.0,0.0,0.0,20.0,25.0,3.0,35.0,22.0,32.0,0.0,0.0,0.0,126.0,34.0,26.0,56.7
Arnaud Kalimuendo,fr FRA,FW,20.0,20.5,7.0,43.0,21.0,48.8,2.09,1.02,0.16,0.33,14.0,0.0,0.0,0.0,7.5,7.5,0.18,-0.5,-0.5,359.0,442.0,81.2,4715.0,790.0,214.0,250.0,85.6,114.0,128.0,89.1,8.0,14.0,57.1,3.0,2.4,2.1,0.6,12.0,19.0,8.0,0.0,32.0,442.0,401.0,39.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,359.0,2.0,22.0,35.0,1.7,24.0,0.0,1.0,6.0,3.0,1.0,6.0,0.29,5.0,0.0,0.0,1.0,0.0,0.0,15.0,8.0,3.0,6.0,6.0,5.0,20.0,25.0,15.0,15.0,2.0,13.0,2.0,17.0,9.0,0.0,659.0,12.0,48.0,278.0,343.0,104.0,659.0,55.0,25.0,45.5,26.0,47.3,490.0,2803.0,825.0,36.0,21.0,25.0,58.0,37.0,490.0,193.0,30,1849.0,62.0,54.1,20.5,24,73.0,3,6,18.0,0,1.83,32.0,24.0,8.0,0.39,-0.87,31.0,26.0,5.0,0.24,-0.46,0.0,0.0,0.0,15.0,24.0,7.0,14.0,2.0,8.0,0.0,0.0,0.0,53.0,13.0,66.0,16.5
Baptiste Santamaria,fr FRA,MF,27.0,20.1,2.0,19.0,8.0,42.1,0.94,0.4,0.11,0.25,23.2,0.0,0.0,0.0,1.1,1.1,0.06,0.9,0.9,1119.0,1317.0,85.0,21674.0,5252.0,410.0,476.0,86.1,515.0,583.0,88.3,162.0,204.0,79.4,0.0,0.7,1.3,-0.7,12.0,125.0,8.0,0.0,141.0,1317.0,1280.0,35.0,35.0,1.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,1119.0,2.0,19.0,37.0,1.84,35.0,0.0,0.0,2.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,41.0,22.0,13.0,23.0,5.0,21.0,41.0,51.2,20.0,21.0,5.0,16.0,21.0,62.0,23.0,0.0,1499.0,41.0,271.0,1023.0,218.0,16.0,1499.0,17.0,9.0,52.9,7.0,41.2,1122.0,5728.0,2726.0,17.0,37.0,1.0,30.0,11.0,1024.0,21.0,25,1813.0,73.0,53.0,20.1,20,84.0,16,5,25.0,1,1.68,36.0,21.0,15.0,0.74,-0.1,32.1,22.8,9.3,0.46,0.02,2.0,0.0,0.0,23.0,20.0,1.0,7.0,21.0,22.0,0.0,0.0,0.0,173.0,60.0,40.0,60.0
Flavien Tait,fr FRA,MF,29.0,18.7,2.0,25.0,6.0,24.0,1.34,0.32,0.08,0.33,18.4,0.0,0.0,0.0,2.3,2.3,0.09,-0.3,-0.3,933.0,1087.0,85.8,16420.0,4480.0,410.0,467.0,87.8,375.0,416.0,90.1,111.0,139.0,79.9,2.0,2.2,2.5,-0.2,22.0,119.0,29.0,1.0,154.0,1087.0,1052.0,32.0,25.0,4.0,8.0,7.0,4.0,3.0,0.0,0.0,0.0,933.0,3.0,23.0,59.0,3.16,45.0,0.0,6.0,3.0,1.0,4.0,7.0,0.37,5.0,0.0,2.0,0.0,0.0,0.0,30.0,15.0,8.0,17.0,5.0,19.0,42.0,45.2,23.0,16.0,4.0,12.0,20.0,50.0,12.0,0.0,1268.0,29.0,143.0,803.0,336.0,44.0,1268.0,45.0,22.0,48.9,17.0,37.8,1056.0,6119.0,2800.0,52.0,46.0,13.0,25.0,29.0,962.0,56.0,30,1680.0,56.0,49.1,18.7,19,74.0,7,11,24.0,5,1.77,37.0,20.0,17.0,0.91,0.24,32.5,18.2,14.3,0.77,0.61,2.0,0.0,0.0,25.0,29.0,0.0,7.0,20.0,15.0,0.0,0.0,0.0,128.0,7.0,10.0,41.2
Lovro Majer,hr CRO,"MF,FW",24.0,18.5,2.0,33.0,11.0,33.3,1.78,0.59,0.03,0.09,20.4,5.0,1.0,1.0,3.3,2.5,0.08,-1.3,-1.5,758.0,976.0,77.7,13129.0,3666.0,316.0,387.0,81.7,334.0,388.0,86.1,75.0,130.0,57.7,5.0,4.4,4.5,0.6,36.0,90.0,36.0,9.0,134.0,976.0,909.0,60.0,22.0,6.0,4.0,67.0,7.0,31.0,12.0,11.0,0.0,758.0,7.0,45.0,79.0,4.26,53.0,8.0,3.0,6.0,8.0,1.0,6.0,0.32,3.0,2.0,0.0,0.0,1.0,0.0,34.0,23.0,16.0,13.0,5.0,8.0,29.0,27.6,21.0,21.0,1.0,20.0,21.0,55.0,5.0,1.0,1187.0,18.0,142.0,572.0,493.0,62.0,1186.0,45.0,28.0,62.2,13.0,28.9,929.0,6297.0,3028.0,66.0,64.0,8.0,46.0,31.0,842.0,115.0,32,1668.0,52.0,48.8,18.5,18,74.0,6,14,23.0,1,1.84,34.0,16.0,18.0,0.97,0.35,30.4,20.4,10.0,0.54,0.16,3.0,0.0,0.0,48.0,30.0,3.0,67.0,21.0,23.0,1.0,0.0,0.0,143.0,7.0,8.0,46.7
