player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Erik Palmer-Brown,us USA,DF,25.0,35.5,0.0,12.0,2.0,16.7,0.34,0.06,0.0,0.0,11.7,0.0,0.0,0.0,1.1,1.1,0.09,-1.1,-1.1,1212.0,1435.0,84.5,22021.0,9290.0,489.0,533.0,91.7,601.0,669.0,89.8,95.0,185.0,51.4,0.0,0.4,1.3,-0.4,7.0,64.0,8.0,1.0,75.0,1435.0,1388.0,43.0,38.0,0.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,1212.0,4.0,12.0,21.0,0.59,17.0,1.0,0.0,1.0,0.0,2.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,31.0,10.0,1.0,18.0,33.0,54.5,15.0,56.0,29.0,27.0,26.0,68.0,166.0,1.0,1784.0,375.0,1073.0,684.0,40.0,16.0,1784.0,15.0,7.0,46.7,4.0,26.7,1256.0,6680.0,3173.0,6.0,7.0,2.0,12.0,15.0,1097.0,0.0,38,3191.0,84.0,93.3,35.5,36,87.0,32,2,27.0,0,0.63,42.0,78.0,-36.0,-1.02,-1.02,35.9,70.6,-34.7,-0.98,0.69,5.0,0.0,0.0,29.0,12.0,1.0,2.0,26.0,27.0,0.0,1.0,1.0,178.0,56.0,32.0,63.6
Rominigue Kouamé,ml MLI,MF,25.0,29.6,1.0,24.0,5.0,20.8,0.81,0.17,0.04,0.2,20.3,0.0,0.0,0.0,1.4,1.4,0.06,-0.4,-0.4,1244.0,1403.0,88.7,22131.0,5532.0,513.0,558.0,91.9,574.0,636.0,90.3,119.0,144.0,82.6,1.0,2.1,1.5,-1.1,23.0,145.0,13.0,2.0,169.0,1403.0,1391.0,8.0,8.0,2.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,1244.0,4.0,17.0,66.0,2.23,58.0,0.0,5.0,2.0,1.0,0.0,7.0,0.24,6.0,0.0,1.0,0.0,0.0,0.0,44.0,27.0,28.0,14.0,2.0,17.0,41.0,41.5,24.0,32.0,11.0,21.0,49.0,93.0,46.0,1.0,1698.0,113.0,505.0,1002.0,230.0,19.0,1698.0,71.0,50.0,70.4,15.0,21.1,1340.0,8361.0,3627.0,59.0,47.0,4.0,38.0,25.0,1180.0,36.0,32,2661.0,83.0,77.8,29.6,31,85.0,22,1,23.0,5,0.72,38.0,61.0,-23.0,-0.78,0.76,31.2,54.3,-23.1,-0.78,1.09,9.0,0.0,0.0,52.0,48.0,0.0,5.0,49.0,27.0,0.0,0.0,0.0,229.0,21.0,21.0,50.0
Yoann Salmier,gf GUF,DF,29.0,29.4,1.0,14.0,3.0,21.4,0.48,0.1,0.07,0.33,16.6,0.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,1198.0,1456.0,82.3,21721.0,8653.0,485.0,543.0,89.3,552.0,620.0,89.0,121.0,235.0,51.5,0.0,0.4,0.4,-0.4,5.0,108.0,1.0,0.0,121.0,1456.0,1398.0,53.0,42.0,1.0,16.0,7.0,7.0,0.0,0.0,0.0,0.0,1198.0,5.0,13.0,22.0,0.75,18.0,0.0,0.0,2.0,1.0,1.0,5.0,0.17,4.0,0.0,0.0,0.0,1.0,0.0,51.0,29.0,34.0,12.0,5.0,21.0,35.0,60.0,14.0,34.0,19.0,15.0,39.0,90.0,124.0,0.0,1764.0,252.0,871.0,821.0,89.0,20.0,1764.0,13.0,6.0,46.2,5.0,38.5,1235.0,7197.0,3568.0,24.0,23.0,3.0,9.0,7.0,1082.0,9.0,32,2646.0,83.0,77.4,29.4,31,85.0,25,1,8.0,2,0.72,39.0,65.0,-26.0,-0.88,0.28,32.0,55.7,-23.7,-0.81,0.97,5.0,1.0,0.0,30.0,28.0,0.0,7.0,39.0,29.0,1.0,2.0,0.0,181.0,54.0,32.0,62.8
Gauthier Gallon,fr FRA,GK,29.0,29.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,633.0,951.0,66.6,16827.0,12352.0,134.0,135.0,99.3,301.0,306.0,98.4,184.0,492.0,37.4,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,951.0,599.0,349.0,108.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,3.0,0.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,2.0,4.0,17.0,0.0,1055.0,954.0,1053.0,2.0,0.0,0.0,1055.0,0.0,0.0,,0.0,,620.0,3049.0,1706.0,0.0,1.0,1.0,0.0,0.0,386.0,0.0,30,2667.0,89.0,78.0,29.6,30,89.0,29,0,,5,0.6,35.0,65.0,-30.0,-1.01,-0.3,33.4,61.8,-28.4,-0.96,0.3,3.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,33.0,14.0,0.0,100.0
Mama Samba Baldé,gw GNB,FW,26.0,29.6,12.0,73.0,24.0,32.9,2.47,0.81,0.14,0.42,17.1,0.0,2.0,2.0,10.6,9.1,0.12,1.4,0.9,389.0,584.0,66.6,6054.0,1298.0,200.0,295.0,67.8,137.0,180.0,76.1,29.0,43.0,67.4,3.0,2.1,1.6,0.9,22.0,33.0,15.0,1.0,56.0,584.0,511.0,70.0,0.0,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,389.0,3.0,30.0,64.0,2.16,35.0,0.0,12.0,7.0,8.0,2.0,9.0,0.3,3.0,0.0,3.0,1.0,2.0,0.0,46.0,21.0,14.0,21.0,11.0,13.0,28.0,46.4,15.0,30.0,3.0,27.0,10.0,56.0,13.0,0.0,1009.0,21.0,120.0,498.0,422.0,125.0,1007.0,124.0,56.0,45.2,54.0,43.5,687.0,4596.0,1725.0,51.0,29.0,25.0,122.0,68.0,681.0,179.0,34,2665.0,78.0,77.9,29.6,30,84.0,20,4,37.0,0,0.53,36.0,68.0,-32.0,-1.08,-0.6,31.9,62.4,-30.5,-1.03,-0.03,6.0,2.0,1.0,38.0,46.0,22.0,13.0,10.0,21.0,2.0,0.0,0.0,100.0,43.0,76.0,36.1
Rony Lopes,pt POR,"MF,FW",26.0,26.1,7.0,57.0,20.0,35.1,2.19,0.77,0.12,0.35,19.3,5.0,0.0,0.0,4.9,4.9,0.09,2.1,2.1,603.0,872.0,69.2,10507.0,3108.0,286.0,358.0,79.9,211.0,287.0,73.5,76.0,157.0,48.4,5.0,4.9,4.1,0.1,50.0,68.0,29.0,10.0,97.0,872.0,747.0,118.0,36.0,5.0,12.0,109.0,3.0,65.0,27.0,23.0,0.0,603.0,7.0,32.0,94.0,3.61,47.0,27.0,8.0,10.0,2.0,0.0,8.0,0.31,4.0,2.0,0.0,2.0,0.0,0.0,24.0,12.0,6.0,15.0,3.0,7.0,31.0,22.6,24.0,14.0,2.0,12.0,9.0,33.0,10.0,0.0,1124.0,19.0,154.0,538.0,454.0,57.0,1124.0,85.0,45.0,52.9,33.0,38.8,805.0,5307.0,2266.0,61.0,49.0,13.0,46.0,37.0,755.0,117.0,32,2346.0,73.0,68.6,26.1,29,79.0,13,3,23.0,1,0.69,29.0,52.0,-23.0,-0.88,0.21,22.8,53.3,-30.4,-1.17,-0.46,2.0,0.0,0.0,19.0,32.0,1.0,109.0,9.0,12.0,0.0,0.0,0.0,113.0,19.0,26.0,42.2
Xavier Chavalerin,fr FRA,MF,31.0,27.0,4.0,27.0,11.0,40.7,1.0,0.41,0.15,0.36,21.5,0.0,0.0,0.0,1.5,1.5,0.06,2.5,2.5,875.0,1068.0,81.9,14453.0,4866.0,415.0,465.0,89.2,349.0,403.0,86.6,69.0,119.0,58.0,2.0,2.3,2.2,-0.3,22.0,77.0,12.0,5.0,95.0,1068.0,1010.0,51.0,33.0,5.0,8.0,29.0,12.0,6.0,4.0,2.0,0.0,875.0,7.0,31.0,41.0,1.52,31.0,4.0,2.0,2.0,0.0,2.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,82.0,50.0,39.0,30.0,13.0,27.0,71.0,38.0,44.0,31.0,8.0,23.0,41.0,123.0,24.0,0.0,1337.0,72.0,427.0,677.0,240.0,38.0,1337.0,17.0,9.0,52.9,5.0,29.4,939.0,4366.0,1543.0,18.0,21.0,5.0,24.0,12.0,840.0,49.0,34,2426.0,71.0,70.9,27.0,25,89.0,23,9,23.0,3,0.65,28.0,57.0,-29.0,-1.08,-0.44,25.4,59.8,-34.4,-1.28,-0.86,3.0,0.0,0.0,31.0,12.0,2.0,29.0,41.0,50.0,0.0,0.0,0.0,139.0,16.0,13.0,55.2
Thierno Balde,fr FRA,"DF,MF",20.0,23.9,0.0,7.0,1.0,14.3,0.29,0.04,0.0,0.0,17.4,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,763.0,931.0,82.0,11688.0,3640.0,408.0,467.0,87.4,302.0,371.0,81.4,34.0,51.0,66.7,1.0,1.1,1.5,-0.1,19.0,34.0,19.0,4.0,60.0,931.0,758.0,173.0,15.0,4.0,2.0,37.0,156.0,2.0,2.0,0.0,0.0,763.0,0.0,19.0,45.0,1.88,35.0,2.0,3.0,1.0,4.0,0.0,4.0,0.17,2.0,0.0,1.0,0.0,1.0,0.0,27.0,14.0,19.0,4.0,4.0,18.0,30.0,60.0,12.0,15.0,3.0,12.0,23.0,50.0,39.0,0.0,1138.0,85.0,395.0,425.0,339.0,34.0,1138.0,67.0,36.0,53.7,22.0,32.8,765.0,5808.0,2996.0,66.0,51.0,11.0,38.0,15.0,650.0,118.0,31,2153.0,69.0,63.0,23.9,25,83.0,13,6,15.0,1,0.65,28.0,52.0,-24.0,-1.0,-0.15,22.7,45.6,-22.9,-0.95,0.19,1.0,0.0,0.0,8.0,34.0,2.0,37.0,23.0,14.0,1.0,0.0,0.0,143.0,7.0,20.0,25.9
Yasser Larouci,dz ALG,"DF,MF",21.0,20.0,1.0,10.0,4.0,40.0,0.5,0.2,0.1,0.25,20.6,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,621.0,824.0,75.4,9416.0,3449.0,328.0,390.0,84.1,249.0,325.0,76.6,24.0,64.0,37.5,1.0,1.6,1.3,-0.6,17.0,40.0,17.0,8.0,63.0,824.0,655.0,166.0,12.0,5.0,0.0,50.0,148.0,5.0,3.0,0.0,0.0,621.0,3.0,20.0,35.0,1.75,23.0,1.0,3.0,2.0,5.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,13.0,8.0,2.0,15.0,24.0,62.5,9.0,15.0,1.0,14.0,26.0,49.0,46.0,0.0,1073.0,72.0,324.0,485.0,289.0,26.0,1073.0,87.0,38.0,43.7,42.0,48.3,730.0,5119.0,2569.0,72.0,49.0,14.0,43.0,37.0,643.0,113.0,30,1797.0,60.0,52.5,20.0,21,76.0,9,9,21.0,6,0.6,21.0,45.0,-24.0,-1.2,-0.54,21.7,42.5,-20.7,-1.04,-0.03,1.0,0.0,0.0,14.0,31.0,3.0,50.0,26.0,13.0,0.0,0.0,1.0,123.0,20.0,14.0,58.8
Wilson Odobert,fr FRA,"MF,FW",17.0,19.6,4.0,27.0,14.0,51.9,1.38,0.71,0.15,0.29,18.0,0.0,0.0,0.0,2.6,2.6,0.1,1.4,1.4,408.0,538.0,75.8,6175.0,1444.0,226.0,281.0,80.4,134.0,175.0,76.6,26.0,37.0,70.3,2.0,1.8,1.4,0.2,23.0,27.0,13.0,5.0,47.0,538.0,508.0,26.0,2.0,3.0,3.0,34.0,6.0,16.0,9.0,0.0,0.0,408.0,4.0,21.0,62.0,3.16,46.0,4.0,6.0,2.0,1.0,3.0,8.0,0.41,6.0,0.0,0.0,2.0,0.0,0.0,20.0,14.0,10.0,7.0,3.0,9.0,25.0,36.0,16.0,11.0,0.0,11.0,15.0,35.0,5.0,0.0,765.0,11.0,112.0,325.0,353.0,52.0,765.0,95.0,33.0,34.7,57.0,60.0,610.0,5160.0,2530.0,72.0,49.0,25.0,47.0,27.0,564.0,132.0,32,1764.0,55.0,51.6,19.6,19,76.0,6,13,25.0,3,0.69,24.0,48.0,-24.0,-1.22,-0.57,21.0,45.6,-24.6,-1.25,-0.47,0.0,0.0,0.0,9.0,16.0,2.0,34.0,15.0,14.0,0.0,0.0,0.0,74.0,7.0,21.0,25.0
