player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Granit Xhaka,ch SUI,MF,24.0,36.2,1.0,66.0,17.0,25.8,1.82,0.47,0.02,0.06,27.7,8.0,0.0,0.0,2.4,2.4,0.04,-1.4,-1.4,2755.0,3248.0,84.8,49833.0,14812.0,1175.0,1279.0,91.9,1200.0,1368.0,87.7,315.0,473.0,66.6,7.0,3.4,5.0,3.6,39.0,358.0,44.0,1.0,424.0,3248.0,3056.0,180.0,73.0,11.0,37.0,102.0,18.0,89.0,48.0,26.0,1.0,2755.0,12.0,29.0,113.0,3.12,85.0,19.0,3.0,3.0,1.0,2.0,18.0,0.5,11.0,5.0,0.0,1.0,0.0,1.0,78.0,57.0,35.0,40.0,3.0,26.0,69.0,37.7,43.0,30.0,9.0,21.0,37.0,115.0,68.0,4.0,3570.0,101.0,567.0,2208.0,811.0,23.0,3570.0,24.0,18.0,75.0,6.0,25.0,2371.0,10156.0,5144.0,67.0,69.0,4.0,35.0,20.0,2684.0,64.0,38,3260.0,86.0,95.3,36.2,37,,30.0,1,,0,1.66,72.0,50.0,22.0,0.61,0.04,64.4,46.9,17.5,0.48,-1.2,10.0,0.0,0.0,57.0,42.0,0.0,102.0,37.0,57.0,0.0,0.0,0.0,261.0,46.0,50.0,47.9
Héctor Bellerín,es ESP,DF,22.0,33.9,2.0,29.0,8.0,27.6,0.86,0.24,0.07,0.25,17.3,0.0,0.0,0.0,2.2,2.2,0.08,-0.2,-0.2,1833.0,2193.0,83.6,27194.0,7214.0,1018.0,1118.0,91.1,705.0,814.0,86.6,61.0,116.0,52.6,3.0,3.9,5.1,-0.9,32.0,82.0,53.0,10.0,134.0,2193.0,1902.0,285.0,4.0,7.0,4.0,64.0,281.0,0.0,0.0,0.0,0.0,1833.0,6.0,61.0,85.0,2.51,76.0,2.0,1.0,2.0,3.0,1.0,8.0,0.24,7.0,0.0,0.0,1.0,0.0,0.0,57.0,43.0,36.0,12.0,9.0,25.0,52.0,48.1,27.0,42.0,8.0,34.0,23.0,80.0,89.0,4.0,2523.0,119.0,578.0,1082.0,877.0,103.0,2523.0,46.0,25.0,54.3,21.0,45.7,1446.0,7149.0,3993.0,84.0,62.0,19.0,40.0,31.0,1651.0,333.0,35,3051.0,87.0,89.2,33.9,34,,33.0,1,,0,1.71,67.0,44.0,23.0,0.68,0.68,61.4,41.9,19.5,0.57,0.33,5.0,0.0,0.0,36.0,7.0,4.0,64.0,23.0,43.0,0.0,2.0,0.0,175.0,35.0,57.0,38.0
Petr Čech,cz CZE,GK,35.0,33.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,749.0,1039.0,72.1,22106.0,16596.0,74.0,75.0,98.7,398.0,400.0,99.5,276.0,556.0,49.6,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,1039.0,735.0,299.0,74.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,5.0,3.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,7.0,1128.0,984.0,1123.0,5.0,0.0,0.0,1128.0,3.0,2.0,66.7,1.0,33.3,514.0,2918.0,2025.0,0.0,0.0,0.0,1.0,0.0,437.0,0.0,34,3039.0,89.0,88.9,33.8,34,,33.0,0,,1,1.59,64.0,48.0,16.0,0.47,-1.18,60.3,43.1,17.3,0.51,-0.25,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,14.0,1.0,93.3
Nacho Monreal,es ESP,DF,31.0,24.9,5.0,22.0,8.0,36.4,0.88,0.32,0.23,0.63,17.8,0.0,0.0,0.0,1.7,1.7,0.08,3.3,3.3,1603.0,1816.0,88.3,26197.0,9511.0,767.0,838.0,91.5,724.0,779.0,92.9,84.0,134.0,62.7,2.0,2.6,1.6,-0.6,13.0,117.0,13.0,4.0,138.0,1816.0,1716.0,96.0,34.0,0.0,0.0,31.0,62.0,0.0,0.0,0.0,0.0,1603.0,4.0,24.0,29.0,1.16,23.0,1.0,1.0,3.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,54.0,32.0,19.0,29.0,6.0,21.0,48.0,43.8,27.0,26.0,7.0,19.0,56.0,110.0,83.0,2.0,2071.0,71.0,640.0,1136.0,305.0,32.0,2071.0,11.0,6.0,54.5,5.0,45.5,1299.0,6121.0,3366.0,41.0,40.0,2.0,8.0,6.0,1409.0,73.0,28,2243.0,80.0,65.6,24.9,26,,23.0,2,,2,1.75,48.0,29.0,19.0,0.76,0.46,48.7,27.9,20.8,0.83,0.85,3.0,0.0,0.0,19.0,17.0,2.0,31.0,56.0,32.0,0.0,1.0,0.0,155.0,62.0,62.0,50.0
Alexandre Lacazette,fr FRA,FW,26.0,24.5,14.0,66.0,32.0,48.5,2.7,1.31,0.18,0.38,13.6,0.0,2.0,2.0,13.7,12.1,0.18,0.3,-0.1,558.0,744.0,75.0,6693.0,1185.0,369.0,450.0,82.0,120.0,170.0,70.6,13.0,25.0,52.0,4.0,4.4,4.0,-0.4,36.0,18.0,31.0,3.0,59.0,744.0,691.0,48.0,0.0,9.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,558.0,5.0,21.0,95.0,3.88,59.0,0.0,13.0,12.0,10.0,1.0,13.0,0.53,7.0,0.0,0.0,4.0,1.0,1.0,24.0,17.0,6.0,11.0,7.0,4.0,27.0,14.8,23.0,19.0,3.0,16.0,7.0,31.0,5.0,0.0,980.0,8.0,58.0,308.0,620.0,173.0,978.0,45.0,33.0,73.3,12.0,26.7,621.0,2501.0,906.0,39.0,12.0,27.0,62.0,50.0,756.0,233.0,32,2202.0,69.0,64.4,24.5,26,,10.0,6,,1,1.78,51.0,28.0,23.0,0.94,0.94,46.9,27.4,19.5,0.8,0.72,1.0,0.0,0.0,28.0,28.0,23.0,16.0,7.0,17.0,1.0,0.0,0.0,53.0,29.0,60.0,32.6
Shkodran Mustafi,de GER,DF,25.0,25.3,3.0,13.0,5.0,38.5,0.51,0.2,0.23,0.6,13.0,0.0,0.0,0.0,0.8,0.8,0.06,2.2,2.2,1500.0,1755.0,85.5,29511.0,12068.0,423.0,465.0,91.0,938.0,1031.0,91.0,121.0,219.0,55.3,1.0,1.3,1.2,-0.3,7.0,103.0,7.0,3.0,92.0,1755.0,1709.0,40.0,37.0,5.0,5.0,12.0,3.0,0.0,0.0,0.0,0.0,1500.0,6.0,11.0,18.0,0.71,15.0,1.0,0.0,1.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,64.0,46.0,42.0,18.0,4.0,28.0,54.0,51.9,26.0,23.0,15.0,8.0,57.0,121.0,175.0,2.0,2084.0,199.0,990.0,1015.0,90.0,25.0,2084.0,2.0,1.0,50.0,1.0,50.0,1206.0,5728.0,3319.0,12.0,18.0,0.0,8.0,4.0,1339.0,9.0,27,2273.0,84.0,66.5,25.3,25,,23.0,2,,3,1.7,51.0,30.0,21.0,0.83,0.67,46.8,30.9,15.9,0.63,0.27,6.0,0.0,0.0,26.0,12.0,2.0,12.0,57.0,46.0,0.0,0.0,0.0,158.0,121.0,73.0,62.4
Laurent Koscielny,fr FRA,DF,31.0,24.7,2.0,9.0,2.0,22.2,0.36,0.08,0.22,1.0,9.4,0.0,0.0,0.0,1.9,1.9,0.21,0.1,0.1,1563.0,1765.0,88.6,31024.0,12028.0,523.0,574.0,91.1,841.0,910.0,92.4,185.0,241.0,76.8,0.0,0.4,0.7,-0.4,7.0,137.0,3.0,0.0,124.0,1765.0,1705.0,54.0,45.0,2.0,25.0,5.0,9.0,0.0,0.0,0.0,0.0,1563.0,6.0,7.0,16.0,0.65,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,21.0,27.0,12.0,4.0,19.0,33.0,57.6,14.0,28.0,15.0,13.0,54.0,97.0,138.0,3.0,2061.0,163.0,864.0,1110.0,96.0,16.0,2061.0,3.0,2.0,66.7,1.0,33.3,1253.0,6119.0,3571.0,25.0,25.0,0.0,12.0,4.0,1358.0,10.0,25,2225.0,89.0,65.1,24.7,25,,23.0,0,,1,1.64,46.0,32.0,14.0,0.57,-0.11,44.6,29.5,15.1,0.61,0.21,4.0,0.0,0.0,14.0,26.0,2.0,5.0,54.0,21.0,0.0,0.0,0.0,160.0,77.0,59.0,56.6
Sead Kolašinac,ba BIH,DF,24.0,23.9,2.0,21.0,6.0,28.6,0.88,0.25,0.1,0.33,13.2,0.0,0.0,0.0,2.2,2.2,0.11,-0.2,-0.2,1203.0,1515.0,79.4,17835.0,5821.0,648.0,753.0,86.1,469.0,576.0,81.4,40.0,86.0,46.5,4.0,3.5,3.3,0.5,19.0,69.0,19.0,6.0,105.0,1515.0,1294.0,219.0,16.0,0.0,4.0,42.0,203.0,0.0,0.0,0.0,0.0,1203.0,2.0,38.0,50.0,2.1,41.0,3.0,3.0,2.0,1.0,0.0,6.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,49.0,37.0,28.0,13.0,8.0,20.0,39.0,51.3,19.0,15.0,3.0,12.0,26.0,75.0,56.0,0.0,1726.0,56.0,403.0,766.0,565.0,86.0,1726.0,22.0,12.0,54.5,10.0,45.5,935.0,4189.0,2707.0,68.0,52.0,17.0,22.0,16.0,1108.0,186.0,27,2147.0,80.0,62.8,23.9,25,,19.0,2,,9,1.89,49.0,30.0,19.0,0.8,0.51,45.4,28.5,17.0,0.71,0.46,3.0,0.0,0.0,32.0,10.0,1.0,42.0,26.0,37.0,0.0,0.0,0.0,134.0,47.0,32.0,59.5
Mesut Özil,de GER,"MF,FW",28.0,24.0,4.0,39.0,13.0,33.3,1.62,0.54,0.1,0.31,18.7,6.0,0.0,0.0,4.4,4.4,0.11,-0.4,-0.4,1604.0,1933.0,83.0,24221.0,7044.0,883.0,973.0,90.8,548.0,646.0,84.8,99.0,170.0,58.2,8.0,8.7,7.7,-0.7,84.0,183.0,79.0,2.0,277.0,1933.0,1794.0,129.0,31.0,18.0,8.0,98.0,16.0,76.0,45.0,16.0,3.0,1604.0,10.0,43.0,161.0,6.7,133.0,17.0,5.0,4.0,2.0,0.0,17.0,0.71,10.0,3.0,1.0,2.0,1.0,0.0,20.0,13.0,6.0,10.0,4.0,5.0,22.0,22.7,17.0,11.0,1.0,10.0,12.0,32.0,9.0,0.0,2101.0,8.0,119.0,913.0,1088.0,89.0,2101.0,51.0,36.0,70.6,15.0,29.4,1526.0,9537.0,4808.0,136.0,140.0,17.0,42.0,32.0,1772.0,267.0,26,2163.0,83.0,63.2,24.0,24,,21.0,2,,1,1.65,48.0,36.0,12.0,0.5,-0.29,44.7,32.6,12.2,0.51,-0.09,4.0,0.0,0.0,18.0,22.0,12.0,98.0,12.0,13.0,1.0,0.0,0.0,100.0,1.0,12.0,7.7
Alex Iwobi,ng NGA,"MF,FW",21.0,20.3,3.0,45.0,22.0,48.9,2.21,1.08,0.07,0.14,18.4,0.0,0.0,0.0,3.9,3.9,0.09,-0.9,-0.9,997.0,1171.0,85.1,14645.0,3786.0,587.0,636.0,92.3,321.0,379.0,84.7,53.0,78.0,67.9,5.0,3.5,3.6,1.5,36.0,93.0,31.0,0.0,138.0,1171.0,1151.0,17.0,3.0,12.0,5.0,20.0,11.0,1.0,0.0,1.0,0.0,997.0,3.0,27.0,82.0,4.03,70.0,1.0,5.0,4.0,2.0,0.0,12.0,0.59,11.0,0.0,0.0,1.0,0.0,0.0,19.0,15.0,8.0,8.0,3.0,5.0,18.0,27.8,13.0,19.0,1.0,18.0,7.0,26.0,10.0,1.0,1358.0,16.0,146.0,604.0,627.0,80.0,1358.0,52.0,36.0,69.2,16.0,30.8,1058.0,6230.0,3418.0,93.0,80.0,25.0,42.0,31.0,1131.0,146.0,26,1830.0,70.0,53.5,20.3,22,,5.0,4,,10,1.42,36.0,26.0,10.0,0.49,-0.24,35.6,25.5,10.2,0.5,-0.08,1.0,0.0,0.0,11.0,12.0,1.0,20.0,7.0,15.0,0.0,0.0,0.0,110.0,3.0,14.0,17.6
