player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jack Cork,eng ENG,MF,28.0,38.0,2.0,15.0,5.0,33.3,0.39,0.13,0.13,0.4,17.6,0.0,0.0,0.0,2.2,2.2,0.15,-0.2,-0.2,1281.0,1608.0,79.7,21883.0,5582.0,583.0,680.0,85.7,499.0,597.0,83.6,136.0,208.0,65.4,1.0,1.1,1.0,-0.1,19.0,127.0,11.0,1.0,165.0,1608.0,1581.0,22.0,8.0,0.0,10.0,19.0,0.0,2.0,2.0,0.0,0.0,1281.0,5.0,37.0,67.0,1.76,53.0,2.0,2.0,3.0,5.0,2.0,5.0,0.13,4.0,0.0,0.0,1.0,0.0,0.0,60.0,44.0,25.0,27.0,8.0,20.0,62.0,32.3,42.0,36.0,15.0,21.0,41.0,101.0,86.0,1.0,1959.0,91.0,394.0,1281.0,315.0,21.0,1959.0,42.0,31.0,73.8,11.0,26.2,966.0,4955.0,1898.0,39.0,40.0,2.0,67.0,44.0,1159.0,41.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.42,36.0,39.0,-3.0,-0.08,,32.3,51.2,-18.9,-0.5,,7.0,0.0,0.0,23.0,54.0,1.0,19.0,41.0,44.0,0.0,0.0,0.0,244.0,51.0,78.0,39.5
Nick Pope,eng ENG,GK,25.0,34.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,546.0,1224.0,44.6,26090.0,23787.0,17.0,17.0,100.0,138.0,144.0,95.8,391.0,1055.0,37.1,0.0,0.5,0.3,-0.5,4.0,74.0,1.0,0.0,0.0,1224.0,714.0,503.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,7.0,1.0,11.0,0.32,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1307.0,1005.0,1238.0,70.0,0.0,0.0,1307.0,0.0,0.0,,0.0,,584.0,4470.0,3278.0,0.0,1.0,1.0,0.0,0.0,367.0,0.0,35,3115.0,89.0,91.1,34.6,34,,34.0,1,,3,1.43,31.0,35.0,-4.0,-0.12,-0.41,29.3,46.2,-17.0,-0.49,0.07,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,12.0,1.0,92.3
Jóhann Berg Guðmundsson,is ISL,MF,26.0,31.5,2.0,54.0,18.0,33.3,1.72,0.57,0.04,0.11,21.7,6.0,0.0,0.0,3.5,3.5,0.07,-1.5,-1.5,660.0,1027.0,64.3,11965.0,4451.0,308.0,382.0,80.6,214.0,313.0,68.4,107.0,259.0,41.3,8.0,4.7,5.1,3.3,67.0,40.0,30.0,16.0,75.0,1027.0,858.0,163.0,73.0,2.0,6.0,213.0,3.0,87.0,31.0,40.0,6.0,660.0,6.0,33.0,117.0,3.72,53.0,42.0,9.0,7.0,6.0,0.0,9.0,0.29,5.0,2.0,0.0,2.0,0.0,0.0,43.0,27.0,16.0,19.0,8.0,20.0,47.0,42.6,27.0,21.0,1.0,20.0,34.0,77.0,43.0,0.0,1333.0,35.0,196.0,506.0,656.0,58.0,1333.0,65.0,37.0,56.9,28.0,43.1,701.0,4514.0,2123.0,83.0,53.0,17.0,47.0,45.0,763.0,192.0,35,2833.0,81.0,82.8,31.5,32,,23.0,3,,1,1.29,29.0,33.0,-4.0,-0.13,-0.28,26.8,41.9,-15.1,-0.48,0.09,2.0,0.0,0.0,18.0,33.0,2.0,213.0,34.0,27.0,0.0,0.0,0.0,179.0,39.0,49.0,44.3
James Tarkowski,eng ENG,DF,24.0,31.0,0.0,18.0,4.0,22.2,0.58,0.13,0.0,0.0,9.9,0.0,0.0,0.0,1.4,1.4,0.08,-1.4,-1.4,800.0,1102.0,72.6,17749.0,8069.0,243.0,288.0,84.4,372.0,449.0,82.9,170.0,326.0,52.1,0.0,0.8,1.0,-0.8,7.0,64.0,8.0,2.0,59.0,1102.0,1078.0,17.0,17.0,0.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,800.0,7.0,3.0,23.0,0.74,20.0,0.0,1.0,2.0,0.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,46.0,26.0,36.0,10.0,0.0,17.0,38.0,44.7,21.0,55.0,43.0,12.0,50.0,96.0,223.0,2.0,1521.0,242.0,805.0,668.0,59.0,38.0,1521.0,13.0,11.0,84.6,2.0,15.4,622.0,2848.0,1578.0,5.0,6.0,1.0,13.0,7.0,736.0,8.0,31,2790.0,90.0,81.6,31.0,31,,31.0,0,,0,1.58,31.0,30.0,1.0,0.03,0.6,26.7,40.5,-13.7,-0.44,0.29,5.0,0.0,0.0,25.0,24.0,3.0,4.0,50.0,26.0,0.0,2.0,0.0,127.0,144.0,58.0,71.3
Ben Mee,eng ENG,DF,27.0,29.0,0.0,25.0,7.0,28.0,0.86,0.24,0.0,0.0,12.4,1.0,0.0,0.0,1.9,1.9,0.07,-1.9,-1.9,823.0,1086.0,75.8,17554.0,7677.0,269.0,303.0,88.8,386.0,471.0,82.0,160.0,281.0,56.9,0.0,0.5,0.4,-0.5,6.0,58.0,4.0,0.0,77.0,1086.0,1052.0,28.0,22.0,0.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,823.0,6.0,8.0,26.0,0.9,22.0,0.0,0.0,3.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,33.0,20.0,22.0,11.0,0.0,16.0,29.0,55.2,13.0,51.0,42.0,9.0,33.0,66.0,217.0,1.0,1476.0,213.0,776.0,642.0,64.0,41.0,1476.0,3.0,3.0,100.0,0.0,0.0,639.0,2680.0,1505.0,5.0,6.0,0.0,9.0,3.0,725.0,3.0,29,2610.0,90.0,76.3,29.0,29,,29.0,0,,0,1.38,27.0,27.0,0.0,0.0,0.33,24.9,39.6,-14.6,-0.5,-0.03,5.0,0.0,0.0,14.0,29.0,3.0,3.0,33.0,20.0,0.0,0.0,0.0,153.0,113.0,78.0,59.2
Jeff Hendrick,ie IRL,"FW,MF",25.0,25.9,2.0,25.0,6.0,24.0,0.97,0.23,0.08,0.33,19.7,0.0,0.0,0.0,2.0,2.0,0.08,0.0,0.0,656.0,827.0,79.3,10332.0,2034.0,314.0,378.0,83.1,273.0,319.0,85.6,33.0,60.0,55.0,2.0,2.7,1.6,-0.7,26.0,62.0,16.0,4.0,80.0,827.0,782.0,45.0,1.0,5.0,3.0,23.0,2.0,0.0,0.0,0.0,0.0,656.0,0.0,22.0,51.0,1.97,38.0,0.0,5.0,3.0,4.0,1.0,3.0,0.12,1.0,0.0,1.0,1.0,0.0,0.0,16.0,10.0,4.0,10.0,2.0,3.0,17.0,17.6,14.0,11.0,2.0,9.0,8.0,24.0,21.0,1.0,1005.0,22.0,122.0,565.0,330.0,47.0,1005.0,32.0,24.0,75.0,8.0,25.0,577.0,2810.0,1281.0,37.0,27.0,5.0,44.0,34.0,705.0,114.0,34,2331.0,69.0,68.2,25.9,29,,13.0,5,,1,1.44,17.0,28.0,-11.0,-0.42,-1.09,19.0,35.1,-16.1,-0.62,-0.39,1.0,0.0,0.0,19.0,18.0,16.0,23.0,8.0,10.0,0.0,0.0,0.0,113.0,15.0,58.0,20.5
Stephen Ward,ie IRL,DF,31.0,27.3,1.0,6.0,1.0,16.7,0.22,0.04,0.17,1.0,17.2,0.0,0.0,0.0,0.3,0.3,0.06,0.7,0.7,865.0,1293.0,66.9,15628.0,6840.0,396.0,457.0,86.7,351.0,504.0,69.6,102.0,260.0,39.2,1.0,1.4,1.4,-0.4,16.0,96.0,21.0,15.0,87.0,1293.0,990.0,292.0,15.0,0.0,3.0,82.0,277.0,0.0,0.0,0.0,0.0,865.0,11.0,42.0,24.0,0.88,19.0,1.0,2.0,0.0,2.0,0.0,2.0,0.07,1.0,0.0,1.0,0.0,0.0,0.0,39.0,31.0,27.0,8.0,4.0,20.0,42.0,47.6,22.0,27.0,12.0,15.0,42.0,81.0,126.0,0.0,1574.0,109.0,475.0,758.0,346.0,17.0,1574.0,8.0,5.0,62.5,3.0,37.5,592.0,2917.0,1506.0,47.0,26.0,2.0,18.0,6.0,758.0,91.0,28,2460.0,88.0,71.9,27.3,28,,26.0,0,,1,1.75,29.0,27.0,2.0,0.07,0.54,23.2,35.5,-12.3,-0.45,0.17,1.0,0.0,0.0,11.0,29.0,3.0,82.0,42.0,31.0,0.0,0.0,0.0,105.0,54.0,28.0,65.9
Matthew Lowton,eng ENG,DF,28.0,25.5,0.0,4.0,1.0,25.0,0.16,0.04,0.0,0.0,25.9,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,779.0,1165.0,66.9,14940.0,5994.0,317.0,374.0,84.8,335.0,467.0,71.7,113.0,267.0,42.3,3.0,1.6,1.3,1.4,14.0,78.0,20.0,11.0,82.0,1165.0,883.0,274.0,11.0,1.0,12.0,71.0,263.0,0.0,0.0,0.0,0.0,779.0,8.0,27.0,34.0,1.33,25.0,3.0,0.0,1.0,4.0,1.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,26.0,27.0,2.0,28.0,60.0,46.7,32.0,35.0,15.0,20.0,39.0,94.0,141.0,2.0,1464.0,140.0,468.0,696.0,308.0,11.0,1464.0,17.0,11.0,64.7,6.0,35.3,505.0,2287.0,1206.0,18.0,28.0,1.0,17.0,10.0,642.0,69.0,26,2295.0,88.0,67.1,25.5,25,,25.0,1,,8,1.58,28.0,26.0,2.0,0.08,0.48,22.1,32.9,-10.8,-0.42,0.22,1.0,0.0,0.0,19.0,18.0,1.0,71.0,39.0,34.0,0.0,0.0,0.0,111.0,31.0,29.0,51.7
Steven Defour,be BEL,MF,29.0,22.2,1.0,19.0,7.0,36.8,0.86,0.32,0.05,0.14,25.9,4.0,0.0,0.0,0.8,0.8,0.04,0.3,0.3,865.0,1062.0,81.5,15646.0,4797.0,365.0,412.0,88.6,389.0,443.0,87.8,93.0,161.0,57.8,1.0,1.1,1.5,-0.1,19.0,89.0,25.0,10.0,117.0,1062.0,1038.0,17.0,11.0,2.0,10.0,35.0,4.0,2.0,1.0,0.0,0.0,865.0,7.0,11.0,45.0,2.03,40.0,0.0,1.0,4.0,0.0,0.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,33.0,22.0,12.0,18.0,3.0,10.0,46.0,21.7,36.0,35.0,7.0,28.0,46.0,79.0,25.0,0.0,1256.0,40.0,247.0,829.0,195.0,6.0,1256.0,16.0,13.0,81.3,3.0,18.8,664.0,3651.0,1981.0,38.0,29.0,2.0,23.0,7.0,766.0,30.0,24,1997.0,83.0,58.4,22.2,24,,12.0,0,,0,1.42,18.0,17.0,1.0,0.05,0.3,15.9,28.6,-12.8,-0.58,-0.19,6.0,0.0,0.0,13.0,7.0,0.0,35.0,46.0,22.0,0.0,0.0,0.0,156.0,5.0,12.0,29.4
Ashley Barnes,eng ENG,FW,27.0,24.1,9.0,60.0,22.0,36.7,2.49,0.91,0.15,0.41,15.4,0.0,0.0,0.0,6.7,6.7,0.11,2.3,2.3,316.0,531.0,59.5,4207.0,996.0,193.0,282.0,68.4,101.0,161.0,62.7,6.0,33.0,18.2,0.0,1.6,1.8,-1.6,17.0,22.0,11.0,4.0,34.0,531.0,515.0,13.0,0.0,3.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,316.0,3.0,17.0,51.0,2.12,34.0,0.0,4.0,2.0,11.0,0.0,7.0,0.29,5.0,0.0,1.0,0.0,1.0,0.0,21.0,14.0,1.0,14.0,6.0,5.0,29.0,17.2,24.0,26.0,5.0,21.0,2.0,23.0,19.0,0.0,797.0,21.0,79.0,337.0,394.0,94.0,797.0,25.0,16.0,64.0,9.0,36.0,464.0,2070.0,571.0,17.0,15.0,16.0,76.0,44.0,608.0,127.0,36,2165.0,60.0,63.3,24.1,21,,14.0,15,,1,1.42,26.0,23.0,3.0,0.12,0.55,23.0,32.6,-9.6,-0.4,0.27,10.0,0.0,0.0,53.0,71.0,26.0,16.0,2.0,14.0,0.0,0.0,0.0,87.0,81.0,218.0,27.1
