player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Mohamed Salah,eg EGY,FW,25.0,32.3,32.0,142.0,64.0,45.1,4.4,1.98,0.22,0.48,15.3,4.0,1.0,2.0,24.1,22.6,0.16,7.9,8.4,772.0,1055.0,73.2,11021.0,3263.0,441.0,541.0,81.5,234.0,313.0,74.8,44.0,90.0,48.9,10.0,7.5,6.1,2.5,62.0,42.0,43.0,3.0,97.0,1055.0,955.0,96.0,12.0,8.0,4.0,86.0,19.0,62.0,43.0,9.0,0.0,772.0,4.0,32.0,161.0,4.98,103.0,12.0,27.0,9.0,9.0,1.0,33.0,1.02,16.0,1.0,14.0,1.0,1.0,0.0,12.0,6.0,2.0,5.0,5.0,3.0,23.0,13.0,20.0,10.0,0.0,10.0,5.0,17.0,5.0,0.0,1438.0,3.0,70.0,418.0,970.0,243.0,1436.0,126.0,79.0,62.7,46.0,36.5,944.0,6003.0,2729.0,95.0,52.0,55.0,105.0,95.0,1116.0,393.0,36,2907.0,81.0,85.0,32.3,34,,17.0,2,,0,1.97,77.0,30.0,47.0,1.46,1.63,64.3,27.0,37.3,1.16,0.84,1.0,0.0,0.0,16.0,29.0,17.0,86.0,5.0,6.0,1.0,0.0,0.0,122.0,13.0,35.0,27.1
Roberto Firmino,br BRA,FW,25.0,30.7,15.0,83.0,36.0,43.4,2.7,1.17,0.17,0.39,17.1,0.0,1.0,1.0,10.7,9.9,0.12,4.3,4.1,869.0,1233.0,70.5,11802.0,3204.0,501.0,658.0,76.1,272.0,366.0,74.3,33.0,53.0,62.3,7.0,6.5,5.6,0.5,57.0,68.0,45.0,0.0,136.0,1233.0,1180.0,48.0,5.0,17.0,0.0,43.0,16.0,1.0,1.0,0.0,0.0,869.0,5.0,52.0,133.0,4.33,95.0,1.0,17.0,13.0,3.0,4.0,13.0,0.42,10.0,0.0,1.0,2.0,0.0,0.0,65.0,50.0,9.0,36.0,20.0,8.0,58.0,13.8,50.0,40.0,2.0,38.0,18.0,83.0,10.0,0.0,1576.0,11.0,71.0,696.0,829.0,183.0,1575.0,73.0,49.0,67.1,24.0,32.9,936.0,5044.0,2271.0,91.0,55.0,40.0,80.0,71.0,1203.0,305.0,37,2763.0,75.0,80.8,30.7,32,,12.0,5,,1,2.0,73.0,32.0,41.0,1.34,0.65,61.2,28.5,32.6,1.06,0.17,1.0,0.0,0.0,57.0,18.0,13.0,43.0,18.0,50.0,1.0,0.0,0.0,139.0,46.0,131.0,26.0
Sadio Mané,sn SEN,FW,25.0,24.3,10.0,70.0,26.0,37.1,2.88,1.07,0.14,0.38,15.4,0.0,0.0,0.0,10.6,10.6,0.15,-0.6,-0.6,787.0,1005.0,78.3,11585.0,2403.0,440.0,528.0,83.3,276.0,327.0,84.4,38.0,61.0,62.3,7.0,5.4,4.9,1.6,48.0,55.0,56.0,5.0,120.0,1005.0,991.0,11.0,2.0,10.0,3.0,32.0,8.0,1.0,0.0,0.0,0.0,787.0,3.0,29.0,105.0,4.32,79.0,0.0,13.0,6.0,6.0,1.0,14.0,0.58,10.0,0.0,3.0,1.0,0.0,0.0,28.0,20.0,8.0,11.0,9.0,3.0,23.0,13.0,20.0,20.0,0.0,20.0,9.0,37.0,8.0,0.0,1274.0,10.0,76.0,514.0,702.0,133.0,1274.0,86.0,55.0,64.0,31.0,36.0,911.0,6119.0,2959.0,112.0,77.0,46.0,69.0,48.0,1077.0,270.0,29,2190.0,76.0,64.0,24.3,28,,9.0,1,,3,1.97,53.0,20.0,33.0,1.36,0.4,49.4,17.4,31.9,1.31,0.79,3.0,1.0,0.0,24.0,50.0,12.0,32.0,9.0,20.0,0.0,0.0,0.0,111.0,27.0,60.0,31.0
Georginio Wijnaldum,nl NED,MF,26.0,26.5,1.0,38.0,9.0,23.7,1.43,0.34,0.03,0.11,19.0,1.0,0.0,0.0,2.8,2.8,0.07,-1.8,-1.8,1145.0,1283.0,89.2,18447.0,3622.0,542.0,594.0,91.2,489.0,533.0,91.7,71.0,90.0,78.9,2.0,1.2,1.6,0.8,22.0,94.0,10.0,1.0,116.0,1283.0,1245.0,29.0,8.0,2.0,8.0,2.0,6.0,1.0,0.0,0.0,0.0,1145.0,9.0,9.0,56.0,2.11,47.0,0.0,4.0,4.0,0.0,1.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,13.0,16.0,5.0,11.0,23.0,47.8,12.0,20.0,2.0,18.0,25.0,59.0,20.0,0.0,1475.0,19.0,195.0,956.0,350.0,42.0,1475.0,55.0,42.0,76.4,13.0,23.6,935.0,5136.0,2318.0,49.0,35.0,3.0,34.0,36.0,1092.0,84.0,33,2387.0,72.0,69.8,26.5,27,,21.0,6,,2,2.03,60.0,23.0,37.0,1.4,0.61,50.7,25.4,25.2,0.95,-0.26,1.0,0.0,0.0,13.0,17.0,4.0,2.0,25.0,23.0,0.0,0.0,0.0,173.0,15.0,29.0,34.1
Jordan Henderson,eng ENG,MF,27.0,24.1,1.0,15.0,3.0,20.0,0.62,0.12,0.07,0.33,23.8,1.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,1769.0,2117.0,83.6,33580.0,9305.0,709.0,771.0,92.0,814.0,949.0,85.8,216.0,334.0,64.7,1.0,1.8,2.4,-0.8,25.0,245.0,29.0,3.0,249.0,2117.0,2061.0,53.0,44.0,7.0,27.0,25.0,4.0,5.0,1.0,2.0,0.0,1769.0,3.0,19.0,63.0,2.61,58.0,3.0,1.0,1.0,0.0,0.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,51.0,33.0,13.0,32.0,6.0,18.0,52.0,34.6,34.0,33.0,2.0,31.0,31.0,82.0,27.0,0.0,2288.0,34.0,329.0,1626.0,351.0,17.0,2288.0,15.0,8.0,53.3,7.0,46.7,1209.0,5362.0,2428.0,32.0,34.0,3.0,15.0,12.0,1650.0,37.0,27,2171.0,80.0,63.5,24.1,25,,21.0,2,,4,1.93,52.0,21.0,31.0,1.29,0.2,42.6,21.9,20.7,0.86,-0.47,1.0,0.0,0.0,26.0,14.0,0.0,25.0,31.0,33.0,0.0,1.0,0.0,213.0,25.0,11.0,69.4
Dejan Lovren,hr CRO,DF,28.0,23.6,2.0,14.0,4.0,28.6,0.59,0.17,0.14,0.5,9.3,0.0,0.0,0.0,1.4,1.4,0.1,0.6,0.6,1602.0,1814.0,88.3,31489.0,11482.0,468.0,497.0,94.2,969.0,1053.0,92.0,154.0,242.0,63.6,1.0,1.3,0.5,-0.3,6.0,97.0,9.0,2.0,98.0,1814.0,1769.0,43.0,38.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,1602.0,2.0,5.0,21.0,0.89,17.0,0.0,0.0,4.0,0.0,0.0,3.0,0.13,2.0,0.0,0.0,1.0,0.0,0.0,26.0,17.0,14.0,11.0,1.0,12.0,22.0,54.5,10.0,26.0,15.0,11.0,38.0,64.0,146.0,2.0,2073.0,120.0,922.0,1107.0,51.0,23.0,2073.0,1.0,0.0,0.0,1.0,100.0,1168.0,5589.0,3411.0,20.0,11.0,1.0,7.0,0.0,1450.0,7.0,29,2127.0,73.0,62.2,23.6,24,,22.0,5,,5,2.07,54.0,24.0,30.0,1.27,0.16,42.8,22.0,20.8,0.88,-0.39,4.0,0.0,0.0,15.0,6.0,1.0,4.0,38.0,17.0,0.0,1.0,0.0,107.0,104.0,60.0,63.4
Emre Can,de GER,MF,23.0,23.2,3.0,27.0,8.0,29.6,1.16,0.34,0.11,0.38,21.2,1.0,0.0,0.0,1.8,1.8,0.07,1.2,1.2,1338.0,1571.0,85.2,23098.0,5472.0,600.0,662.0,90.6,591.0,668.0,88.5,117.0,179.0,65.4,4.0,3.0,2.4,1.0,25.0,136.0,23.0,2.0,137.0,1571.0,1542.0,26.0,10.0,11.0,14.0,11.0,14.0,0.0,0.0,0.0,0.0,1338.0,3.0,19.0,59.0,2.54,51.0,2.0,1.0,2.0,3.0,0.0,10.0,0.43,8.0,1.0,0.0,0.0,1.0,0.0,67.0,54.0,32.0,29.0,6.0,18.0,43.0,41.9,25.0,32.0,4.0,28.0,28.0,95.0,37.0,1.0,1821.0,52.0,343.0,1177.0,328.0,32.0,1821.0,32.0,24.0,75.0,8.0,25.0,1084.0,7084.0,4252.0,84.0,56.0,9.0,30.0,15.0,1266.0,48.0,26,2091.0,80.0,61.1,23.2,24,,19.0,2,,3,2.08,56.0,29.0,27.0,1.16,-0.12,46.5,23.7,22.8,0.98,-0.13,8.0,0.0,0.0,27.0,27.0,0.0,11.0,28.0,54.0,1.0,0.0,0.0,196.0,45.0,49.0,47.9
Joël Matip,cm CMR,DF,25.0,22.2,1.0,11.0,2.0,18.2,0.5,0.09,0.09,0.5,11.0,0.0,0.0,0.0,1.9,1.9,0.17,-0.9,-0.9,1470.0,1660.0,88.6,30063.0,11508.0,380.0,403.0,94.3,892.0,970.0,92.0,185.0,265.0,69.8,0.0,0.3,0.8,-0.3,5.0,94.0,2.0,0.0,108.0,1660.0,1625.0,32.0,30.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,1470.0,3.0,4.0,24.0,1.08,21.0,0.0,0.0,2.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,23.0,11.0,1.0,12.0,24.0,50.0,12.0,26.0,15.0,11.0,35.0,70.0,101.0,1.0,1883.0,118.0,761.0,1065.0,62.0,21.0,1883.0,4.0,3.0,75.0,1.0,25.0,1077.0,5554.0,4057.0,23.0,22.0,1.0,11.0,5.0,1346.0,5.0,25,1997.0,80.0,58.4,22.2,22,,22.0,3,,1,2.16,53.0,27.0,26.0,1.17,-0.09,46.8,21.8,24.9,1.12,0.23,3.0,0.0,0.0,19.0,10.0,1.0,0.0,35.0,24.0,0.0,0.0,0.0,123.0,56.0,21.0,72.7
Andrew Robertson,sct SCO,DF,23.0,21.6,1.0,12.0,2.0,16.7,0.56,0.09,0.08,0.5,19.3,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,1404.0,1681.0,83.5,22245.0,6855.0,692.0,753.0,91.9,595.0,691.0,86.1,73.0,149.0,49.0,5.0,4.1,3.4,0.9,24.0,121.0,31.0,8.0,150.0,1681.0,1497.0,182.0,12.0,3.0,3.0,88.0,170.0,0.0,0.0,0.0,0.0,1404.0,2.0,42.0,52.0,2.41,47.0,3.0,1.0,0.0,1.0,0.0,8.0,0.37,8.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,19.0,9.0,3.0,15.0,29.0,51.7,14.0,22.0,2.0,20.0,26.0,57.0,56.0,0.0,1853.0,60.0,376.0,898.0,598.0,46.0,1853.0,17.0,9.0,52.9,8.0,47.1,1063.0,5265.0,2984.0,76.0,50.0,10.0,22.0,12.0,1282.0,214.0,22,1940.0,88.0,56.7,21.6,22,,19.0,0,,5,2.14,53.0,18.0,35.0,1.62,0.95,43.3,15.9,27.4,1.27,0.55,2.0,0.0,0.0,15.0,4.0,5.0,88.0,26.0,17.0,0.0,0.0,0.0,140.0,15.0,9.0,62.5
Joe Gomez,eng ENG,DF,20.0,21.1,0.0,5.0,0.0,0.0,0.24,0.0,0.0,,21.9,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,1315.0,1625.0,80.9,23165.0,8373.0,542.0,605.0,89.6,648.0,774.0,83.7,107.0,205.0,52.2,2.0,1.5,1.4,0.5,17.0,137.0,16.0,8.0,154.0,1625.0,1368.0,255.0,14.0,0.0,6.0,45.0,241.0,0.0,0.0,0.0,0.0,1315.0,2.0,19.0,31.0,1.47,25.0,4.0,2.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,58.0,45.0,32.0,23.0,3.0,21.0,40.0,52.5,19.0,19.0,8.0,11.0,34.0,92.0,57.0,1.0,1808.0,54.0,422.0,1085.0,314.0,8.0,1808.0,26.0,23.0,88.5,3.0,11.5,829.0,4322.0,2611.0,54.0,36.0,2.0,16.0,13.0,1083.0,65.0,23,1902.0,83.0,55.6,21.1,21,,21.0,2,,6,1.96,47.0,22.0,25.0,1.18,-0.06,41.1,18.6,22.5,1.07,0.08,3.0,0.0,0.0,15.0,10.0,1.0,45.0,34.0,45.0,0.0,0.0,0.0,144.0,33.0,30.0,52.4
