player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
David de Gea,es ESP,GK,26.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,686.0,1092.0,62.8,23707.0,20013.0,74.0,75.0,98.7,287.0,289.0,99.3,321.0,721.0,44.5,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,1092.0,698.0,391.0,101.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,686.0,3.0,0.0,6.0,0.16,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.08,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,3.0,1158.0,1048.0,1156.0,2.0,0.0,0.0,1158.0,1.0,1.0,100.0,0.0,0.0,450.0,3332.0,2520.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0,37,3330.0,90.0,97.4,37.0,37,,37.0,0,,0,2.11,67.0,28.0,39.0,1.05,0.05,55.3,40.1,15.2,0.41,0.62,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,50.0
Nemanja Matić,rs SRB,MF,28.0,34.6,1.0,18.0,2.0,11.1,0.52,0.06,0.06,0.5,27.0,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,2299.0,2647.0,86.9,40993.0,11705.0,974.0,1068.0,91.2,959.0,1042.0,92.0,269.0,356.0,75.6,1.0,1.6,2.2,-0.6,24.0,220.0,23.0,1.0,237.0,2647.0,2526.0,107.0,92.0,4.0,47.0,18.0,14.0,1.0,0.0,0.0,0.0,2299.0,14.0,41.0,68.0,1.96,61.0,1.0,4.0,1.0,1.0,0.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,70.0,42.0,32.0,34.0,4.0,23.0,71.0,32.4,48.0,50.0,13.0,37.0,64.0,134.0,62.0,2.0,2970.0,115.0,683.0,1858.0,457.0,27.0,2970.0,65.0,54.0,83.1,11.0,16.9,1701.0,9838.0,5479.0,74.0,64.0,7.0,37.0,31.0,2052.0,23.0,36,3118.0,87.0,91.2,34.6,35,,33.0,1,,0,2.14,64.0,26.0,38.0,1.1,0.5,51.9,37.1,14.8,0.43,0.35,6.0,0.0,0.0,33.0,22.0,2.0,18.0,64.0,42.0,0.0,0.0,0.0,317.0,56.0,27.0,67.5
Romelu Lukaku,be BEL,FW,24.0,31.9,16.0,85.0,41.0,48.2,2.67,1.29,0.19,0.39,13.1,3.0,0.0,1.0,13.2,12.4,0.15,2.8,3.6,502.0,763.0,65.8,6310.0,1511.0,282.0,377.0,74.8,118.0,207.0,57.0,27.0,44.0,61.4,7.0,4.7,3.8,2.3,33.0,33.0,33.0,5.0,63.0,763.0,732.0,26.0,0.0,11.0,6.0,36.0,1.0,0.0,0.0,0.0,0.0,502.0,5.0,26.0,80.0,2.51,61.0,0.0,4.0,14.0,1.0,0.0,18.0,0.57,13.0,0.0,2.0,3.0,0.0,0.0,7.0,4.0,1.0,3.0,3.0,0.0,13.0,0.0,13.0,9.0,2.0,7.0,3.0,10.0,22.0,2.0,1032.0,26.0,45.0,424.0,571.0,151.0,1031.0,57.0,35.0,61.4,22.0,38.6,532.0,2998.0,1225.0,57.0,32.0,35.0,76.0,48.0,865.0,216.0,34,2867.0,84.0,83.8,31.9,33,,30.0,1,,0,2.18,63.0,26.0,37.0,1.16,0.67,49.6,35.6,14.0,0.44,0.26,4.0,0.0,0.0,31.0,16.0,18.0,36.0,3.0,4.0,0.0,0.0,0.0,55.0,108.0,95.0,53.2
Antonio Valencia,ec ECU,DF,31.0,30.4,3.0,16.0,3.0,18.8,0.53,0.1,0.19,1.0,21.4,0.0,0.0,0.0,0.5,0.5,0.03,2.5,2.5,1624.0,1962.0,82.8,22647.0,8135.0,961.0,1033.0,93.0,462.0,555.0,83.2,96.0,200.0,48.0,1.0,1.2,2.5,-0.2,23.0,91.0,24.0,10.0,84.0,1962.0,1658.0,299.0,23.0,3.0,10.0,79.0,276.0,0.0,0.0,0.0,0.0,1624.0,5.0,39.0,59.0,1.94,49.0,1.0,4.0,1.0,4.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,57.0,32.0,21.0,28.0,8.0,16.0,36.0,44.4,20.0,47.0,6.0,41.0,48.0,105.0,80.0,0.0,2256.0,122.0,542.0,1021.0,710.0,53.0,2256.0,48.0,29.0,60.4,19.0,39.6,1153.0,6257.0,3710.0,103.0,65.0,23.0,20.0,19.0,1410.0,152.0,31,2740.0,88.0,80.1,30.4,31,,28.0,0,,1,2.23,57.0,22.0,35.0,1.15,0.49,45.4,33.0,12.4,0.41,0.06,7.0,0.0,0.0,38.0,20.0,4.0,79.0,48.0,32.0,0.0,0.0,0.0,188.0,22.0,25.0,46.8
Chris Smalling,eng ENG,DF,27.0,28.2,4.0,13.0,6.0,46.2,0.46,0.21,0.31,0.67,8.5,0.0,0.0,0.0,1.7,1.7,0.13,2.3,2.3,998.0,1140.0,87.5,19226.0,5423.0,280.0,309.0,90.6,598.0,647.0,92.4,94.0,135.0,69.6,0.0,0.2,0.3,-0.2,2.0,25.0,2.0,0.0,37.0,1140.0,1122.0,17.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,998.0,1.0,10.0,7.0,0.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,28.0,12.0,0.0,16.0,28.0,57.1,12.0,32.0,28.0,4.0,63.0,103.0,162.0,1.0,1482.0,175.0,827.0,612.0,48.0,23.0,1482.0,3.0,3.0,100.0,0.0,0.0,694.0,3125.0,1488.0,5.0,12.0,1.0,6.0,2.0,823.0,8.0,29,2536.0,87.0,74.2,28.2,28,,28.0,1,,6,2.07,46.0,24.0,22.0,0.78,-1.05,36.2,32.7,3.5,0.12,-1.05,4.0,0.0,0.0,24.0,14.0,2.0,0.0,63.0,25.0,0.0,0.0,0.0,139.0,108.0,48.0,69.2
Ashley Young,eng ENG,DF,32.0,27.1,2.0,18.0,4.0,22.2,0.66,0.15,0.11,0.5,21.9,3.0,0.0,0.0,0.8,0.8,0.04,1.2,1.2,1285.0,1683.0,76.4,20718.0,7834.0,703.0,772.0,91.1,379.0,494.0,76.7,145.0,293.0,49.5,4.0,3.6,4.2,0.4,26.0,117.0,36.0,24.0,103.0,1683.0,1348.0,323.0,34.0,2.0,14.0,121.0,265.0,24.0,18.0,4.0,0.0,1285.0,12.0,42.0,63.0,2.32,44.0,9.0,4.0,2.0,3.0,1.0,8.0,0.29,6.0,0.0,0.0,1.0,1.0,0.0,53.0,32.0,30.0,17.0,6.0,18.0,47.0,38.3,29.0,24.0,5.0,19.0,57.0,110.0,86.0,1.0,1982.0,96.0,541.0,889.0,572.0,23.0,1982.0,52.0,29.0,55.8,23.0,44.2,1004.0,5495.0,3246.0,90.0,57.0,14.0,19.0,18.0,1141.0,113.0,30,2442.0,81.0,71.4,27.1,28,,21.0,2,,2,1.97,44.0,26.0,18.0,0.66,-1.36,37.0,31.8,5.3,0.19,-0.7,7.0,0.0,0.0,29.0,35.0,1.0,121.0,57.0,32.0,0.0,0.0,0.0,168.0,19.0,21.0,47.5
Paul Pogba,fr FRA,MF,24.0,23.9,6.0,76.0,18.0,23.7,3.18,0.75,0.08,0.33,22.2,5.0,0.0,0.0,7.7,7.7,0.1,-1.7,-1.7,1476.0,1763.0,83.7,23981.0,7902.0,722.0,788.0,91.6,475.0,561.0,84.7,166.0,246.0,67.5,10.0,4.5,4.6,5.5,39.0,181.0,49.0,3.0,250.0,1763.0,1727.0,27.0,22.0,15.0,43.0,28.0,5.0,0.0,0.0,0.0,0.0,1476.0,9.0,19.0,103.0,4.32,81.0,1.0,9.0,6.0,4.0,2.0,20.0,0.84,12.0,0.0,3.0,4.0,1.0,0.0,33.0,23.0,13.0,15.0,5.0,5.0,33.0,15.2,28.0,16.0,0.0,16.0,21.0,54.0,26.0,0.0,2053.0,35.0,253.0,1186.0,641.0,71.0,2053.0,101.0,75.0,74.3,26.0,25.7,1340.0,7852.0,4491.0,95.0,77.0,13.0,56.0,40.0,1674.0,92.0,27,2148.0,80.0,62.8,23.9,25,,19.0,2,,0,2.19,48.0,20.0,28.0,1.17,0.32,39.1,25.8,13.3,0.56,0.44,5.0,1.0,0.0,44.0,51.0,3.0,28.0,21.0,23.0,0.0,0.0,0.0,161.0,49.0,29.0,62.8
Phil Jones,eng ENG,DF,25.0,21.9,0.0,2.0,0.0,0.0,0.09,0.0,0.0,,18.8,0.0,0.0,0.0,0.4,0.4,0.21,-0.4,-0.4,991.0,1090.0,90.9,18639.0,5304.0,313.0,336.0,93.2,546.0,576.0,94.8,99.0,135.0,73.3,0.0,0.1,0.1,-0.1,2.0,37.0,1.0,0.0,45.0,1090.0,1074.0,14.0,11.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,991.0,2.0,6.0,13.0,0.59,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,20.0,5.0,0.0,9.0,20.0,45.0,11.0,25.0,17.0,8.0,41.0,66.0,133.0,2.0,1332.0,153.0,732.0,577.0,34.0,3.0,1332.0,9.0,7.0,77.8,2.0,22.2,692.0,2858.0,1556.0,13.0,3.0,0.0,7.0,1.0,819.0,0.0,23,1973.0,86.0,57.7,21.9,23,,21.0,0,,3,1.96,37.0,11.0,26.0,1.19,0.32,34.6,21.2,13.4,0.61,0.51,2.0,0.0,0.0,10.0,24.0,0.0,2.0,41.0,18.0,0.0,0.0,1.0,134.0,53.0,22.0,70.7
Juan Mata,es ESP,FW,29.0,21.4,3.0,28.0,10.0,35.7,1.31,0.47,0.11,0.3,17.6,4.0,0.0,0.0,3.7,3.7,0.13,-0.7,-0.7,1098.0,1345.0,81.6,16341.0,3673.0,585.0,645.0,90.7,311.0,392.0,79.3,98.0,160.0,61.3,5.0,4.5,4.5,0.5,51.0,74.0,33.0,13.0,101.0,1345.0,1228.0,113.0,37.0,4.0,11.0,111.0,15.0,54.0,38.0,9.0,1.0,1098.0,4.0,24.0,98.0,4.59,77.0,11.0,4.0,1.0,5.0,0.0,9.0,0.42,8.0,0.0,1.0,0.0,0.0,0.0,18.0,13.0,4.0,12.0,2.0,2.0,24.0,8.3,22.0,10.0,0.0,10.0,15.0,33.0,10.0,1.0,1469.0,15.0,117.0,651.0,715.0,90.0,1469.0,24.0,17.0,70.8,7.0,29.2,854.0,4361.0,2024.0,46.0,40.0,15.0,25.0,19.0,1133.0,162.0,28,1922.0,69.0,56.2,21.4,23,,7.0,5,,8,2.07,34.0,10.0,24.0,1.12,0.16,33.4,16.6,16.8,0.79,0.89,1.0,0.0,0.0,12.0,20.0,18.0,111.0,15.0,13.0,0.0,0.0,0.0,109.0,3.0,8.0,27.3
Jesse Lingard,eng ENG,"MF,FW",24.0,20.2,8.0,56.0,23.0,41.1,2.77,1.14,0.14,0.35,17.8,0.0,0.0,0.0,7.1,7.1,0.13,0.9,0.9,841.0,996.0,84.4,10354.0,2219.0,493.0,546.0,90.3,198.0,234.0,84.6,33.0,61.0,54.1,5.0,2.8,2.6,2.2,26.0,68.0,19.0,1.0,75.0,996.0,928.0,66.0,7.0,8.0,1.0,46.0,16.0,24.0,4.0,13.0,0.0,841.0,2.0,21.0,69.0,3.42,45.0,6.0,9.0,4.0,5.0,0.0,10.0,0.5,6.0,0.0,3.0,1.0,0.0,0.0,30.0,21.0,10.0,13.0,7.0,5.0,27.0,18.5,22.0,18.0,3.0,15.0,9.0,39.0,13.0,0.0,1223.0,15.0,101.0,591.0,544.0,78.0,1223.0,52.0,28.0,53.8,24.0,46.2,705.0,4754.0,2486.0,78.0,68.0,15.0,51.0,19.0,962.0,143.0,33,1817.0,55.0,53.1,20.2,20,,3.0,13,,4,2.0,41.0,18.0,23.0,1.14,0.18,29.6,23.2,6.4,0.32,-0.17,2.0,0.0,0.0,34.0,36.0,4.0,46.0,9.0,21.0,0.0,0.0,0.0,84.0,5.0,25.0,16.7
