player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ryan Bertrand,eng ENG,DF,27.0,34.8,0.0,20.0,2.0,10.0,0.57,0.06,0.0,0.0,19.5,3.0,0.0,0.0,1.7,1.7,0.08,-1.7,-1.7,1476.0,1954.0,75.5,21055.0,8752.0,911.0,1022.0,89.1,444.0,594.0,74.7,71.0,195.0,36.4,4.0,3.1,3.3,0.9,36.0,130.0,42.0,11.0,174.0,1954.0,1549.0,395.0,34.0,1.0,3.0,136.0,328.0,33.0,22.0,5.0,2.0,1476.0,10.0,70.0,76.0,2.18,54.0,12.0,4.0,4.0,1.0,1.0,7.0,0.2,4.0,1.0,1.0,1.0,0.0,0.0,48.0,35.0,27.0,17.0,4.0,19.0,31.0,61.3,12.0,28.0,9.0,19.0,44.0,92.0,74.0,0.0,2262.0,87.0,475.0,1018.0,783.0,52.0,2262.0,37.0,17.0,45.9,20.0,54.1,1224.0,5645.0,2941.0,89.0,64.0,16.0,34.0,21.0,1347.0,213.0,35,3135.0,90.0,91.7,34.8,35,,32.0,0,,0,0.97,34.0,49.0,-15.0,-0.43,0.83,37.0,39.1,-2.0,-0.06,0.98,2.0,0.0,0.0,32.0,33.0,1.0,136.0,44.0,35.0,0.0,0.0,0.0,146.0,43.0,51.0,45.7
Oriol Romeu,es ESP,MF,25.0,32.2,1.0,27.0,3.0,11.1,0.84,0.09,0.04,0.33,18.8,0.0,0.0,0.0,2.6,2.6,0.1,-1.6,-1.6,1524.0,1854.0,82.2,26097.0,7844.0,698.0,799.0,87.4,652.0,772.0,84.5,137.0,194.0,70.6,0.0,1.4,1.4,-1.4,22.0,165.0,12.0,0.0,201.0,1854.0,1830.0,21.0,19.0,2.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,1524.0,3.0,27.0,59.0,1.83,55.0,0.0,0.0,0.0,2.0,2.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,93.0,64.0,41.0,44.0,8.0,32.0,100.0,32.0,68.0,59.0,19.0,40.0,69.0,162.0,77.0,2.0,2234.0,94.0,460.0,1533.0,260.0,31.0,2234.0,17.0,15.0,88.2,2.0,11.8,1256.0,5738.0,3150.0,44.0,39.0,0.0,26.0,11.0,1342.0,16.0,34,2897.0,85.0,84.7,32.2,34,,28.0,0,,3,0.94,27.0,47.0,-20.0,-0.62,-0.79,32.0,40.0,-7.9,-0.25,-0.69,11.0,0.0,0.0,53.0,37.0,3.0,6.0,69.0,64.0,0.0,0.0,0.0,255.0,96.0,80.0,54.5
Dušan Tadić,rs SRB,"MF,FW",28.0,31.0,6.0,39.0,12.0,30.8,1.26,0.39,0.13,0.42,17.2,1.0,1.0,1.0,5.8,5.0,0.13,0.2,0.0,872.0,1255.0,69.5,13009.0,3610.0,479.0,572.0,83.7,274.0,398.0,68.8,64.0,145.0,44.1,3.0,5.7,4.7,-2.7,59.0,68.0,56.0,14.0,167.0,1255.0,1170.0,78.0,10.0,14.0,5.0,121.0,16.0,31.0,15.0,13.0,0.0,872.0,7.0,63.0,122.0,3.93,96.0,8.0,9.0,5.0,4.0,0.0,9.0,0.29,6.0,0.0,2.0,1.0,0.0,0.0,46.0,29.0,16.0,22.0,8.0,11.0,35.0,31.4,24.0,38.0,2.0,36.0,19.0,65.0,29.0,1.0,1566.0,21.0,149.0,633.0,812.0,107.0,1565.0,64.0,55.0,85.9,9.0,14.1,1097.0,5622.0,2995.0,113.0,68.0,23.0,77.0,69.0,1180.0,312.0,36,2791.0,78.0,81.6,31.0,34,,11.0,2,,2,1.0,32.0,43.0,-11.0,-0.35,0.79,33.6,36.9,-3.3,-0.11,0.18,4.0,0.0,0.0,46.0,52.0,10.0,121.0,19.0,29.0,0.0,0.0,0.0,140.0,6.0,41.0,12.8
Cédric Soares,pt POR,DF,25.0,31.0,0.0,23.0,4.0,17.4,0.74,0.13,0.0,0.0,24.9,0.0,0.0,0.0,0.7,0.7,0.03,-0.7,-0.7,1273.0,1760.0,72.3,20179.0,8020.0,740.0,816.0,90.7,396.0,549.0,72.1,113.0,307.0,36.8,3.0,3.1,3.4,-0.1,24.0,108.0,37.0,24.0,139.0,1760.0,1381.0,374.0,31.0,2.0,19.0,137.0,343.0,0.0,0.0,0.0,0.0,1273.0,5.0,49.0,56.0,1.8,50.0,4.0,1.0,1.0,0.0,0.0,4.0,0.13,3.0,0.0,1.0,0.0,0.0,0.0,54.0,34.0,40.0,10.0,4.0,22.0,31.0,71.0,9.0,32.0,8.0,24.0,24.0,78.0,109.0,2.0,2084.0,114.0,549.0,932.0,610.0,25.0,2084.0,14.0,7.0,50.0,7.0,50.0,1100.0,4822.0,2273.0,52.0,41.0,2.0,34.0,21.0,1166.0,151.0,32,2794.0,87.0,81.7,31.0,32,,29.0,0,,0,1.0,31.0,44.0,-13.0,-0.42,0.44,33.5,35.2,-1.7,-0.06,0.46,3.0,0.0,0.0,16.0,19.0,3.0,137.0,24.0,34.0,0.0,0.0,0.0,155.0,30.0,62.0,32.6
Wesley Hoedt,nl NED,DF,23.0,28.0,0.0,15.0,2.0,13.3,0.54,0.07,0.0,0.0,14.4,0.0,0.0,0.0,1.3,1.3,0.09,-1.3,-1.3,1053.0,1352.0,77.9,22333.0,9239.0,350.0,394.0,88.8,515.0,608.0,84.7,179.0,319.0,56.1,1.0,0.5,0.3,0.5,9.0,118.0,5.0,1.0,143.0,1352.0,1282.0,64.0,47.0,1.0,43.0,6.0,17.0,0.0,0.0,0.0,0.0,1053.0,6.0,11.0,22.0,0.79,15.0,1.0,3.0,2.0,1.0,0.0,4.0,0.14,1.0,0.0,1.0,1.0,1.0,0.0,60.0,51.0,48.0,12.0,0.0,36.0,61.0,59.0,25.0,32.0,17.0,15.0,40.0,100.0,177.0,2.0,1694.0,180.0,732.0,934.0,50.0,19.0,1694.0,27.0,25.0,92.6,2.0,7.4,947.0,6065.0,3908.0,21.0,15.0,1.0,13.0,5.0,935.0,3.0,28,2520.0,90.0,73.7,28.0,28,,28.0,0,,6,0.93,27.0,42.0,-15.0,-0.54,-0.14,26.3,33.6,-7.3,-0.26,-0.47,7.0,0.0,0.0,22.0,15.0,0.0,6.0,40.0,51.0,0.0,1.0,0.0,200.0,61.0,50.0,55.0
Maya Yoshida,jp JPN,DF,28.0,22.8,2.0,19.0,4.0,21.1,0.83,0.18,0.11,0.5,10.8,1.0,0.0,0.0,2.0,2.0,0.11,0.0,0.0,898.0,1072.0,83.8,17334.0,6704.0,317.0,348.0,91.1,479.0,525.0,91.2,95.0,173.0,54.9,0.0,0.4,0.5,-0.4,5.0,44.0,2.0,1.0,58.0,1072.0,1044.0,24.0,20.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,898.0,4.0,7.0,14.0,0.61,10.0,0.0,0.0,3.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,27.0,20.0,22.0,5.0,0.0,18.0,25.0,72.0,7.0,32.0,14.0,18.0,41.0,68.0,133.0,2.0,1342.0,155.0,631.0,668.0,49.0,27.0,1342.0,2.0,2.0,100.0,0.0,0.0,777.0,3255.0,1643.0,7.0,3.0,0.0,8.0,9.0,798.0,6.0,24,2051.0,85.0,60.0,22.8,23,,21.0,1,,8,0.96,22.0,31.0,-9.0,-0.39,0.26,25.6,27.0,-1.4,-0.06,0.19,3.0,2.0,1.0,19.0,15.0,0.0,2.0,41.0,20.0,1.0,0.0,0.0,142.0,65.0,38.0,63.1
Jack Stephens,eng ENG,DF,23.0,22.0,2.0,11.0,4.0,36.4,0.5,0.18,0.18,0.5,11.5,0.0,0.0,0.0,1.3,1.3,0.12,0.7,0.7,737.0,983.0,75.0,13440.0,5815.0,314.0,350.0,89.7,337.0,418.0,80.6,73.0,168.0,43.5,0.0,0.2,0.6,-0.2,4.0,43.0,1.0,1.0,45.0,983.0,906.0,76.0,31.0,1.0,9.0,9.0,45.0,0.0,0.0,0.0,0.0,737.0,1.0,21.0,10.0,0.45,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,24.0,5.0,0.0,13.0,25.0,52.0,12.0,30.0,18.0,12.0,41.0,70.0,108.0,2.0,1211.0,146.0,534.0,615.0,75.0,22.0,1211.0,25.0,17.0,68.0,8.0,32.0,624.0,3404.0,2123.0,24.0,14.0,2.0,12.0,5.0,648.0,14.0,22,1980.0,90.0,57.9,22.0,22,,21.0,0,,5,0.86,19.0,33.0,-14.0,-0.64,-0.32,21.2,27.9,-6.7,-0.3,-0.39,6.0,1.0,0.0,13.0,11.0,2.0,9.0,41.0,20.0,0.0,0.0,0.0,138.0,45.0,34.0,57.0
Nathan Redmond,eng ENG,"FW,MF",23.0,21.6,1.0,44.0,15.0,34.1,2.04,0.69,0.02,0.07,21.3,0.0,0.0,0.0,2.2,2.2,0.05,-1.2,-1.2,644.0,888.0,72.5,10743.0,2550.0,343.0,421.0,81.5,200.0,258.0,77.5,75.0,138.0,54.3,3.0,3.6,3.1,-0.6,42.0,43.0,33.0,4.0,94.0,888.0,826.0,57.0,9.0,5.0,11.0,69.0,15.0,26.0,15.0,5.0,3.0,644.0,5.0,30.0,79.0,3.66,59.0,8.0,9.0,0.0,2.0,1.0,6.0,0.28,6.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,16.0,14.0,2.0,12.0,31.0,38.7,19.0,20.0,0.0,20.0,15.0,47.0,17.0,2.0,1104.0,15.0,145.0,457.0,533.0,64.0,1104.0,79.0,55.0,69.6,24.0,30.4,781.0,5230.0,2670.0,84.0,64.0,32.0,38.0,43.0,781.0,182.0,31,1945.0,63.0,56.9,21.6,22,,13.0,9,,4,0.97,14.0,31.0,-17.0,-0.79,-0.66,21.0,26.0,-5.1,-0.23,-0.22,3.0,0.0,0.0,19.0,18.0,4.0,69.0,15.0,17.0,0.0,0.0,0.0,126.0,4.0,15.0,21.1
Fraser Forster,eng ENG,GK,29.0,20.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,253.0,510.0,49.6,9072.0,7775.0,28.0,28.0,100.0,106.0,107.0,99.1,119.0,370.0,32.2,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,510.0,313.0,193.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,4.0,1.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,570.0,496.0,568.0,2.0,0.0,0.0,570.0,0.0,0.0,,0.0,,250.0,1628.0,1191.0,0.0,1.0,1.0,4.0,0.0,184.0,0.0,20,1800.0,90.0,52.6,20.0,20,,20.0,0,,18,0.95,20.0,30.0,-10.0,-0.5,0.0,23.7,25.3,-1.6,-0.08,0.13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,
Mario Lemina,ga GAB,MF,23.0,19.1,1.0,23.0,5.0,21.7,1.2,0.26,0.04,0.2,25.1,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,857.0,987.0,86.8,14283.0,3476.0,414.0,457.0,90.6,335.0,372.0,90.1,80.0,120.0,66.7,1.0,0.7,0.7,0.3,8.0,68.0,6.0,1.0,86.0,987.0,977.0,7.0,4.0,6.0,9.0,10.0,3.0,0.0,0.0,0.0,0.0,857.0,3.0,5.0,33.0,1.73,25.0,0.0,4.0,1.0,1.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,55.0,40.0,21.0,29.0,5.0,12.0,30.0,40.0,18.0,18.0,6.0,12.0,36.0,91.0,36.0,4.0,1205.0,52.0,248.0,773.0,203.0,13.0,1205.0,62.0,55.0,88.7,7.0,11.3,826.0,5309.0,2902.0,51.0,34.0,4.0,22.0,31.0,821.0,36.0,25,1720.0,69.0,50.3,19.1,20,,12.0,5,,6,1.12,18.0,31.0,-13.0,-0.68,-0.36,19.4,26.5,-7.1,-0.37,-0.47,2.0,0.0,0.0,28.0,16.0,2.0,10.0,36.0,40.0,0.0,0.0,0.0,139.0,25.0,12.0,67.6
