player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Joe Allen,wls WAL,MF,27.0,34.9,2.0,24.0,4.0,16.7,0.69,0.11,0.08,0.5,18.4,0.0,0.0,0.0,1.8,1.8,0.08,0.2,0.2,1114.0,1403.0,79.4,17666.0,5350.0,547.0,620.0,88.2,437.0,531.0,82.3,75.0,128.0,58.6,6.0,2.8,2.6,3.2,31.0,116.0,26.0,4.0,165.0,1403.0,1360.0,37.0,17.0,3.0,3.0,37.0,2.0,9.0,3.0,1.0,4.0,1114.0,6.0,39.0,74.0,2.12,63.0,3.0,2.0,1.0,4.0,1.0,12.0,0.34,8.0,1.0,1.0,0.0,1.0,1.0,96.0,62.0,41.0,43.0,12.0,27.0,87.0,31.0,60.0,43.0,9.0,34.0,58.0,154.0,68.0,1.0,1781.0,90.0,370.0,996.0,448.0,49.0,1781.0,55.0,44.0,80.0,11.0,20.0,950.0,4752.0,2010.0,37.0,44.0,7.0,54.0,68.0,990.0,89.0,36,3139.0,87.0,91.8,34.9,36,,33.0,0,,1,0.92,30.0,55.0,-25.0,-0.72,1.85,33.6,52.2,-18.6,-0.53,1.87,8.0,0.0,0.0,49.0,49.0,0.0,37.0,58.0,62.0,0.0,0.0,0.0,244.0,36.0,59.0,37.9
Xherdan Shaqiri,ch SUI,"MF,FW",25.0,33.8,8.0,68.0,30.0,44.1,2.01,0.89,0.12,0.27,22.3,8.0,0.0,1.0,5.0,4.2,0.06,3.0,3.8,923.0,1293.0,71.4,16836.0,5750.0,418.0,472.0,88.6,314.0,418.0,75.1,152.0,307.0,49.5,7.0,7.1,7.4,-0.1,75.0,94.0,59.0,12.0,161.0,1293.0,1043.0,242.0,82.0,15.0,11.0,201.0,29.0,88.0,48.0,32.0,4.0,923.0,8.0,33.0,145.0,4.29,80.0,40.0,10.0,9.0,6.0,0.0,12.0,0.36,3.0,5.0,1.0,2.0,1.0,0.0,25.0,17.0,9.0,11.0,5.0,10.0,39.0,25.6,29.0,9.0,1.0,8.0,16.0,41.0,6.0,2.0,1594.0,5.0,155.0,755.0,720.0,51.0,1593.0,68.0,39.0,57.4,29.0,42.6,1065.0,6889.0,2896.0,81.0,72.0,17.0,99.0,57.0,1082.0,183.0,36,3039.0,84.0,88.9,33.8,36,,26.0,0,,1,0.92,30.0,58.0,-28.0,-0.83,0.35,31.6,54.3,-22.7,-0.67,0.11,5.0,0.0,0.0,28.0,50.0,15.0,201.0,16.0,17.0,0.0,0.0,0.0,153.0,5.0,20.0,20.0
Jack Butland,eng ENG,GK,24.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,643.0,1283.0,50.1,28682.0,25851.0,35.0,36.0,97.2,163.0,173.0,94.2,444.0,1062.0,41.8,0.0,0.0,0.1,0.0,1.0,54.0,0.0,0.0,0.0,1283.0,765.0,507.0,169.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,11.0,1.0,10.0,0.29,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,2.0,26.0,1.0,1403.0,1123.0,1385.0,18.0,0.0,0.0,1403.0,1.0,0.0,0.0,1.0,100.0,585.0,4648.0,3132.0,0.0,0.0,0.0,2.0,0.0,421.0,0.0,35,3150.0,90.0,92.1,35.0,35,,35.0,0,,0,0.91,32.0,61.0,-29.0,-0.83,0.5,33.8,57.7,-23.9,-0.68,0.02,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,55.0,6.0,0.0,100.0
Kurt Zouma,fr FRA,DF,22.0,32.1,1.0,20.0,7.0,35.0,0.62,0.22,0.05,0.14,21.0,0.0,0.0,0.0,1.3,1.2,0.06,-0.3,-0.2,869.0,1154.0,75.3,17015.0,7595.0,339.0,385.0,88.1,400.0,516.0,77.5,113.0,207.0,54.6,0.0,0.4,0.3,-0.4,6.0,74.0,3.0,0.0,86.0,1154.0,999.0,149.0,33.0,0.0,24.0,11.0,116.0,0.0,0.0,0.0,0.0,869.0,6.0,13.0,22.0,0.69,17.0,0.0,2.0,2.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,50.0,38.0,35.0,13.0,2.0,21.0,28.0,75.0,7.0,42.0,23.0,19.0,61.0,111.0,246.0,2.0,1613.0,252.0,803.0,720.0,104.0,22.0,1613.0,27.0,22.0,81.5,5.0,18.5,707.0,3830.0,2199.0,23.0,20.0,1.0,15.0,17.0,702.0,11.0,34,2888.0,85.0,84.4,32.1,32,,31.0,2,,0,0.97,33.0,50.0,-17.0,-0.53,2.18,32.2,49.7,-17.5,-0.55,0.89,1.0,0.0,0.0,19.0,21.0,1.0,11.0,61.0,38.0,0.0,0.0,0.0,145.0,109.0,31.0,77.9
Erik Pieters,nl NED,DF,28.0,30.2,0.0,3.0,1.0,33.3,0.1,0.03,0.0,0.0,20.2,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,916.0,1310.0,69.9,15616.0,6670.0,440.0,529.0,83.2,371.0,516.0,71.9,88.0,186.0,47.3,1.0,1.5,1.5,-0.5,13.0,94.0,22.0,12.0,113.0,1310.0,1054.0,248.0,10.0,0.0,4.0,64.0,238.0,0.0,0.0,0.0,0.0,916.0,8.0,39.0,37.0,1.23,29.0,4.0,1.0,0.0,3.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,71.0,47.0,43.0,26.0,2.0,24.0,51.0,47.1,27.0,70.0,25.0,45.0,61.0,132.0,127.0,5.0,1692.0,129.0,550.0,795.0,361.0,18.0,1692.0,18.0,9.0,50.0,9.0,50.0,706.0,3144.0,1610.0,35.0,43.0,3.0,28.0,19.0,745.0,71.0,31,2718.0,88.0,79.5,30.2,30,,27.0,1,,1,0.9,29.0,50.0,-21.0,-0.7,0.84,28.7,47.2,-18.6,-0.61,0.34,5.0,0.0,0.0,58.0,29.0,2.0,64.0,61.0,47.0,0.0,1.0,0.0,154.0,50.0,45.0,52.6
Mame Biram Diouf,sn SEN,"FW,DF",29.0,28.8,6.0,59.0,19.0,32.2,2.05,0.66,0.1,0.32,13.5,0.0,0.0,0.0,6.5,6.5,0.11,-0.5,-0.5,347.0,630.0,55.1,4835.0,1503.0,213.0,320.0,66.6,108.0,201.0,53.7,10.0,38.0,26.3,2.0,1.9,0.9,0.1,20.0,26.0,7.0,2.0,43.0,630.0,584.0,41.0,0.0,0.0,0.0,34.0,33.0,0.0,0.0,0.0,0.0,347.0,5.0,31.0,51.0,1.77,29.0,1.0,2.0,10.0,9.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,48.0,36.0,26.0,15.0,7.0,8.0,21.0,38.1,13.0,22.0,0.0,22.0,14.0,62.0,76.0,1.0,952.0,68.0,183.0,343.0,433.0,90.0,952.0,26.0,11.0,42.3,15.0,57.7,448.0,2468.0,929.0,38.0,20.0,7.0,53.0,33.0,597.0,172.0,35,2596.0,74.0,75.9,28.8,30,,19.0,5,,0,0.91,29.0,49.0,-20.0,-0.69,0.73,26.9,43.6,-16.8,-0.58,0.43,6.0,0.0,0.0,38.0,39.0,23.0,34.0,14.0,36.0,0.0,0.0,0.0,75.0,142.0,158.0,47.3
Ryan Shawcross,eng ENG,DF,29.0,26.3,1.0,24.0,8.0,33.3,0.91,0.3,0.04,0.13,10.0,0.0,0.0,0.0,2.5,2.5,0.1,-1.5,-1.5,449.0,668.0,67.2,9003.0,4503.0,136.0,181.0,75.1,233.0,322.0,72.4,66.0,136.0,48.5,1.0,0.3,0.2,0.7,2.0,39.0,1.0,0.0,46.0,668.0,648.0,18.0,17.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,449.0,2.0,5.0,10.0,0.38,7.0,0.0,0.0,2.0,0.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,25.0,9.0,2.0,13.0,25.0,52.0,12.0,33.0,23.0,10.0,40.0,76.0,224.0,1.0,1054.0,210.0,588.0,413.0,60.0,41.0,1054.0,3.0,3.0,100.0,0.0,0.0,324.0,1486.0,803.0,5.0,2.0,0.0,4.0,1.0,350.0,9.0,27,2371.0,88.0,69.3,26.3,27,,26.0,0,,2,1.0,26.0,40.0,-14.0,-0.53,1.1,25.7,41.1,-15.5,-0.59,0.32,2.0,0.0,0.0,26.0,18.0,4.0,0.0,40.0,20.0,0.0,1.0,1.0,80.0,150.0,75.0,66.7
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",28.0,25.7,5.0,60.0,18.0,30.0,2.33,0.7,0.08,0.28,16.3,0.0,0.0,0.0,5.9,5.9,0.1,-0.9,-0.9,477.0,688.0,69.3,6566.0,1710.0,272.0,346.0,78.6,140.0,191.0,73.3,26.0,51.0,51.0,5.0,3.1,2.5,1.9,20.0,28.0,18.0,4.0,56.0,688.0,670.0,11.0,3.0,1.0,5.0,35.0,5.0,0.0,0.0,0.0,0.0,477.0,7.0,29.0,59.0,2.37,40.0,0.0,6.0,7.0,5.0,1.0,10.0,0.4,7.0,0.0,1.0,2.0,0.0,0.0,42.0,30.0,21.0,16.0,5.0,9.0,32.0,28.1,23.0,31.0,3.0,28.0,23.0,65.0,29.0,1.0,1049.0,37.0,159.0,449.0,476.0,99.0,1049.0,107.0,61.0,57.0,46.0,43.0,692.0,4496.0,2110.0,72.0,45.0,28.0,76.0,55.0,729.0,173.0,30,2314.0,77.0,67.7,25.7,26,,18.0,4,,1,0.9,28.0,45.0,-17.0,-0.66,0.64,25.3,36.7,-11.4,-0.46,0.66,3.0,0.0,0.0,21.0,24.0,14.0,35.0,23.0,30.0,0.0,0.0,0.0,133.0,60.0,73.0,45.1
Darren Fletcher,sct SCO,MF,33.0,24.7,1.0,11.0,2.0,18.2,0.45,0.08,0.09,0.5,25.8,0.0,0.0,0.0,0.4,0.4,0.03,0.6,0.6,843.0,1105.0,76.3,16453.0,5280.0,309.0,374.0,82.6,362.0,420.0,86.2,138.0,241.0,57.3,1.0,1.6,1.9,-0.6,23.0,77.0,18.0,3.0,100.0,1105.0,1042.0,59.0,23.0,6.0,19.0,49.0,4.0,26.0,18.0,8.0,0.0,843.0,4.0,20.0,48.0,1.95,35.0,6.0,1.0,3.0,1.0,2.0,4.0,0.16,2.0,1.0,0.0,1.0,0.0,0.0,47.0,26.0,23.0,20.0,4.0,15.0,55.0,27.3,40.0,13.0,3.0,10.0,26.0,73.0,33.0,3.0,1284.0,55.0,250.0,865.0,187.0,6.0,1284.0,22.0,15.0,68.2,7.0,31.8,728.0,3242.0,1217.0,16.0,15.0,1.0,24.0,18.0,796.0,20.0,27,2219.0,82.0,64.9,24.7,25,,19.0,2,,8,1.07,26.0,49.0,-23.0,-0.93,-0.18,25.2,39.5,-14.2,-0.58,0.31,0.0,0.0,0.0,14.0,25.0,0.0,49.0,26.0,26.0,0.0,0.0,0.0,133.0,21.0,21.0,50.0
Geoff Cameron,us USA,"DF,MF",32.0,16.9,0.0,5.0,0.0,0.0,0.3,0.0,0.0,,14.1,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,404.0,581.0,69.5,7362.0,3256.0,166.0,191.0,86.9,187.0,244.0,76.6,44.0,120.0,36.7,0.0,0.1,0.3,-0.1,6.0,39.0,3.0,0.0,48.0,581.0,508.0,68.0,7.0,0.0,5.0,9.0,61.0,0.0,0.0,0.0,0.0,404.0,5.0,10.0,15.0,0.89,10.0,1.0,2.0,2.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,1.0,0.0,0.0,34.0,21.0,20.0,12.0,2.0,11.0,27.0,40.7,16.0,28.0,8.0,20.0,36.0,70.0,68.0,0.0,777.0,94.0,283.0,431.0,77.0,9.0,777.0,22.0,14.0,63.6,8.0,36.4,354.0,1989.0,915.0,9.0,6.0,1.0,18.0,11.0,345.0,15.0,20,1525.0,76.0,44.6,16.9,17,,14.0,3,,8,0.9,15.0,31.0,-16.0,-0.94,-0.14,16.9,28.2,-11.4,-0.67,0.02,2.0,0.0,0.0,16.0,7.0,0.0,9.0,36.0,21.0,0.0,1.0,0.0,89.0,39.0,31.0,55.7
