player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Łukasz Fabiański,pl POL,GK,32.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,752.0,1276.0,58.9,28523.0,23783.0,70.0,70.0,100.0,257.0,262.0,98.1,423.0,936.0,45.2,0.0,0.0,0.1,0.0,1.0,16.0,0.0,0.0,0.0,1276.0,804.0,468.0,110.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,4.0,2.0,5.0,0.13,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1345.0,1213.0,1343.0,2.0,0.0,0.0,1345.0,0.0,0.0,,0.0,,590.0,4010.0,2601.0,0.0,1.0,1.0,0.0,0.0,475.0,0.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,0.87,28.0,56.0,-28.0,-0.74,,31.6,58.6,-27.0,-0.71,,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,14.0,3.0,82.4
Alfie Mawson,eng ENG,DF,23.0,38.0,2.0,20.0,5.0,25.0,0.53,0.13,0.1,0.4,12.5,0.0,0.0,0.0,1.9,1.9,0.09,0.1,0.1,1420.0,1755.0,80.9,31280.0,11208.0,407.0,462.0,88.1,732.0,847.0,86.4,268.0,403.0,66.5,1.0,0.6,0.6,0.4,5.0,87.0,5.0,1.0,92.0,1755.0,1699.0,51.0,47.0,1.0,43.0,2.0,4.0,0.0,0.0,0.0,0.0,1420.0,5.0,10.0,13.0,0.34,11.0,0.0,2.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,24.0,8.0,0.0,16.0,27.0,59.3,11.0,41.0,32.0,9.0,35.0,67.0,229.0,5.0,2131.0,282.0,1182.0,894.0,72.0,37.0,2131.0,26.0,23.0,88.5,3.0,11.5,1026.0,6082.0,3551.0,29.0,14.0,1.0,13.0,14.0,1257.0,8.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,0.87,28.0,56.0,-28.0,-0.74,,31.6,58.6,-27.0,-0.71,,3.0,0.0,0.0,19.0,11.0,1.0,2.0,35.0,22.0,0.0,0.0,0.0,220.0,120.0,70.0,63.2
Martin Olsson,se SWE,DF,29.0,35.0,0.0,18.0,1.0,5.6,0.51,0.03,0.0,0.0,22.3,1.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9,1100.0,1596.0,68.9,17189.0,6212.0,624.0,710.0,87.9,362.0,530.0,68.3,88.0,264.0,33.3,1.0,0.8,1.2,0.2,13.0,65.0,24.0,18.0,87.0,1596.0,1295.0,298.0,12.0,0.0,3.0,163.0,286.0,0.0,0.0,0.0,0.0,1100.0,3.0,69.0,35.0,1.0,24.0,4.0,3.0,1.0,3.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,34.0,26.0,18.0,10.0,6.0,12.0,29.0,41.4,17.0,21.0,4.0,17.0,31.0,65.0,81.0,0.0,1867.0,95.0,531.0,779.0,576.0,28.0,1867.0,27.0,11.0,40.7,16.0,59.3,901.0,6079.0,3207.0,112.0,62.0,10.0,45.0,26.0,1070.0,143.0,36,3149.0,87.0,92.1,35.0,36,,31.0,0,,0,0.92,26.0,50.0,-24.0,-0.69,0.64,28.4,53.3,-24.9,-0.71,-0.02,7.0,0.0,0.0,27.0,25.0,2.0,163.0,31.0,26.0,0.0,2.0,0.0,155.0,46.0,34.0,57.5
Kyle Naughton,eng ENG,DF,28.0,33.7,0.0,12.0,1.0,8.3,0.36,0.03,0.0,0.0,23.5,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,1525.0,2111.0,72.2,25319.0,10879.0,791.0,929.0,85.1,582.0,804.0,72.4,123.0,277.0,44.4,2.0,0.5,0.8,1.5,12.0,160.0,17.0,7.0,193.0,2111.0,1679.0,427.0,21.0,0.0,16.0,62.0,406.0,0.0,0.0,0.0,0.0,1525.0,5.0,59.0,48.0,1.43,41.0,2.0,1.0,2.0,1.0,1.0,4.0,0.12,3.0,0.0,0.0,0.0,0.0,1.0,92.0,60.0,49.0,35.0,8.0,54.0,100.0,54.0,46.0,60.0,13.0,47.0,60.0,152.0,144.0,4.0,2533.0,146.0,732.0,1312.0,509.0,27.0,2533.0,43.0,24.0,55.8,19.0,44.2,987.0,4974.0,2639.0,50.0,35.0,9.0,23.0,27.0,1332.0,88.0,34,3030.0,89.0,88.6,33.7,34,,31.0,0,,1,0.94,26.0,50.0,-24.0,-0.71,0.21,25.4,52.0,-26.6,-0.79,-0.68,1.0,0.0,0.0,31.0,24.0,0.0,62.0,60.0,60.0,0.0,0.0,1.0,198.0,68.0,67.0,50.4
Jordan Ayew,gh GHA,"FW,MF",25.0,31.7,7.0,65.0,20.0,30.8,2.05,0.63,0.09,0.3,18.9,4.0,1.0,1.0,7.3,6.5,0.1,-0.3,-0.5,700.0,887.0,78.9,9413.0,1239.0,420.0,486.0,86.4,201.0,256.0,78.5,30.0,58.0,51.7,2.0,2.0,1.6,0.0,16.0,33.0,21.0,2.0,50.0,887.0,850.0,35.0,7.0,3.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0,700.0,2.0,27.0,83.0,2.62,38.0,1.0,15.0,12.0,12.0,5.0,4.0,0.13,1.0,0.0,1.0,2.0,0.0,0.0,82.0,60.0,20.0,35.0,27.0,15.0,54.0,27.8,39.0,43.0,3.0,40.0,24.0,106.0,20.0,1.0,1350.0,12.0,111.0,652.0,616.0,101.0,1349.0,124.0,74.0,59.7,50.0,40.3,907.0,6311.0,2611.0,76.0,70.0,23.0,109.0,106.0,1017.0,232.0,36,2852.0,79.0,83.4,31.7,33,,22.0,3,,0,0.89,26.0,49.0,-23.0,-0.73,0.07,27.9,48.3,-20.4,-0.64,0.4,2.0,1.0,0.0,63.0,87.0,8.0,45.0,24.0,60.0,0.0,0.0,0.0,141.0,50.0,120.0,29.4
Federico Fernández,ar ARG,DF,28.0,29.7,1.0,8.0,2.0,25.0,0.27,0.07,0.13,0.5,10.5,0.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,1001.0,1218.0,82.2,21296.0,9597.0,272.0,293.0,92.8,557.0,646.0,86.2,165.0,254.0,65.0,1.0,0.7,1.0,0.3,6.0,60.0,4.0,1.0,72.0,1218.0,1174.0,44.0,40.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,1001.0,0.0,8.0,14.0,0.47,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,40.0,29.0,30.0,6.0,4.0,20.0,30.0,66.7,10.0,35.0,27.0,8.0,38.0,78.0,201.0,1.0,1557.0,247.0,921.0,602.0,46.0,23.0,1557.0,4.0,1.0,25.0,3.0,75.0,665.0,3638.0,2321.0,5.0,2.0,0.0,6.0,4.0,866.0,8.0,30,2676.0,89.0,78.2,29.7,30,,29.0,0,,4,0.93,24.0,44.0,-20.0,-0.67,0.3,23.0,47.0,-23.9,-0.81,-0.43,5.0,0.0,0.0,29.0,21.0,2.0,4.0,38.0,29.0,0.0,2.0,1.0,129.0,72.0,60.0,54.5
Tom Carroll,eng ENG,MF,25.0,28.6,0.0,20.0,3.0,15.0,0.7,0.11,0.0,0.0,23.8,5.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9,1235.0,1577.0,78.3,21581.0,7289.0,575.0,640.0,89.8,472.0,566.0,83.4,147.0,283.0,51.9,4.0,4.1,4.1,-0.1,47.0,161.0,31.0,8.0,179.0,1577.0,1430.0,144.0,62.0,3.0,10.0,129.0,1.0,70.0,42.0,20.0,1.0,1235.0,3.0,32.0,82.0,2.87,51.0,26.0,1.0,1.0,2.0,1.0,7.0,0.25,5.0,1.0,0.0,0.0,0.0,1.0,53.0,33.0,22.0,23.0,8.0,14.0,53.0,26.4,39.0,37.0,8.0,29.0,29.0,82.0,18.0,1.0,1799.0,38.0,251.0,1068.0,495.0,20.0,1799.0,19.0,14.0,73.7,5.0,26.3,920.0,4587.0,2313.0,54.0,36.0,5.0,37.0,21.0,1253.0,57.0,37,2570.0,69.0,75.1,28.6,28,,20.0,9,,1,0.89,18.0,39.0,-21.0,-0.74,0.01,24.4,44.3,-20.0,-0.7,0.05,3.0,0.0,0.0,23.0,17.0,1.0,129.0,29.0,33.0,0.0,0.0,0.0,139.0,10.0,21.0,32.3
Mike van der Hoorn,nl NED,DF,24.0,21.6,1.0,10.0,4.0,40.0,0.46,0.19,0.1,0.25,14.3,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0,669.0,882.0,75.9,13736.0,5320.0,215.0,250.0,86.0,340.0,400.0,85.0,106.0,210.0,50.5,0.0,0.6,0.2,-0.6,5.0,42.0,4.0,3.0,41.0,882.0,846.0,36.0,20.0,0.0,7.0,8.0,16.0,0.0,0.0,0.0,0.0,669.0,0.0,13.0,9.0,0.42,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,23.0,8.0,1.0,16.0,24.0,66.7,8.0,24.0,14.0,10.0,39.0,71.0,127.0,0.0,1132.0,167.0,611.0,468.0,60.0,19.0,1132.0,13.0,9.0,69.2,4.0,30.8,538.0,2895.0,1716.0,8.0,8.0,1.0,7.0,5.0,668.0,5.0,24,1944.0,81.0,56.8,21.6,24,,16.0,0,,13,1.0,17.0,27.0,-10.0,-0.46,0.63,18.4,31.2,-12.8,-0.59,0.27,4.0,0.0,0.0,22.0,18.0,0.0,8.0,39.0,22.0,0.0,1.0,0.0,96.0,55.0,43.0,56.1
Sam Clucas,eng ENG,MF,26.0,22.7,3.0,20.0,7.0,35.0,0.88,0.31,0.15,0.43,17.5,0.0,0.0,0.0,2.6,2.6,0.14,0.4,0.4,689.0,872.0,79.0,11783.0,2786.0,327.0,375.0,87.2,274.0,333.0,82.3,68.0,117.0,58.1,1.0,1.3,1.1,-0.3,15.0,46.0,3.0,1.0,61.0,872.0,788.0,80.0,26.0,2.0,5.0,55.0,27.0,24.0,16.0,4.0,1.0,689.0,4.0,12.0,35.0,1.54,26.0,5.0,0.0,4.0,0.0,0.0,2.0,0.09,1.0,1.0,0.0,0.0,0.0,0.0,34.0,19.0,21.0,11.0,2.0,10.0,29.0,34.5,19.0,31.0,7.0,24.0,29.0,63.0,34.0,1.0,1051.0,38.0,228.0,575.0,262.0,30.0,1051.0,9.0,5.0,55.6,4.0,44.4,531.0,2888.0,1326.0,24.0,20.0,0.0,23.0,22.0,647.0,68.0,29,2044.0,70.0,59.8,22.7,23,,16.0,6,,6,0.93,18.0,30.0,-12.0,-0.53,0.52,17.4,32.9,-15.4,-0.68,0.08,2.0,0.0,0.0,10.0,14.0,3.0,55.0,29.0,19.0,0.0,0.0,0.0,110.0,36.0,36.0,50.0
Ki Sung-yueng,kr KOR,MF,28.0,20.8,2.0,20.0,6.0,30.0,0.96,0.29,0.1,0.33,24.8,1.0,0.0,0.0,0.9,0.9,0.05,1.1,1.1,758.0,903.0,83.9,14235.0,3472.0,312.0,344.0,90.7,321.0,363.0,88.4,102.0,153.0,66.7,2.0,1.5,1.9,0.5,19.0,52.0,11.0,1.0,64.0,903.0,800.0,100.0,55.0,1.0,18.0,62.0,2.0,42.0,31.0,9.0,0.0,758.0,3.0,11.0,36.0,1.73,22.0,13.0,0.0,1.0,0.0,0.0,5.0,0.24,1.0,4.0,0.0,0.0,0.0,0.0,25.0,18.0,10.0,13.0,2.0,4.0,16.0,25.0,12.0,16.0,1.0,15.0,32.0,57.0,23.0,0.0,1045.0,36.0,219.0,588.0,246.0,16.0,1045.0,13.0,7.0,53.8,6.0,46.2,541.0,2972.0,1337.0,17.0,23.0,5.0,13.0,8.0,660.0,30.0,25,1868.0,75.0,54.6,20.8,21,,16.0,4,,0,0.96,16.0,29.0,-13.0,-0.63,0.24,17.0,30.2,-13.2,-0.64,0.16,2.0,0.0,0.0,10.0,17.0,1.0,62.0,32.0,18.0,0.0,0.0,0.0,95.0,5.0,21.0,19.2
