player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ahmed Hegazi,eg EGY,DF,26.0,37.6,2.0,14.0,4.0,28.6,0.37,0.11,0.14,0.5,10.8,0.0,0.0,0.0,1.7,1.7,0.12,0.3,0.3,872.0,1205.0,72.4,19108.0,9451.0,252.0,307.0,82.1,423.0,530.0,79.8,180.0,326.0,55.2,0.0,0.6,1.4,-0.6,7.0,56.0,8.0,3.0,65.0,1205.0,1161.0,37.0,33.0,1.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,872.0,7.0,10.0,17.0,0.45,14.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,38.0,46.0,12.0,0.0,26.0,50.0,52.0,24.0,55.0,37.0,18.0,60.0,118.0,278.0,2.0,1700.0,347.0,1044.0,585.0,83.0,36.0,1700.0,29.0,22.0,75.9,7.0,24.1,750.0,4084.0,2241.0,9.0,8.0,2.0,13.0,8.0,717.0,8.0,38,3386.0,89.0,99.0,37.6,38,,37.0,0,,0,0.82,30.0,55.0,-25.0,-0.66,-0.66,35.6,47.8,-12.2,-0.32,-2.36,4.0,0.0,0.0,24.0,12.0,2.0,10.0,60.0,38.0,0.0,0.0,0.0,183.0,100.0,82.0,54.9
Ben Foster,eng ENG,GK,34.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,565.0,1155.0,48.9,25634.0,23629.0,39.0,41.0,95.1,135.0,140.0,96.4,390.0,966.0,40.4,0.0,0.1,0.1,-0.1,2.0,45.0,1.0,0.0,1.0,1155.0,657.0,492.0,154.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,6.0,0.0,12.0,0.32,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,1225.0,982.0,1198.0,28.0,0.0,0.0,1225.0,2.0,2.0,100.0,0.0,0.0,517.0,4336.0,3082.0,0.0,0.0,0.0,3.0,0.0,365.0,0.0,37,3330.0,90.0,97.4,37.0,37,,37.0,0,,0,0.81,30.0,55.0,-25.0,-0.68,-0.68,36.3,46.6,-10.3,-0.28,0.82,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,4.0,0.0,100.0
Kieran Gibbs,eng ENG,DF,27.0,31.4,0.0,9.0,1.0,11.1,0.29,0.03,0.0,0.0,18.6,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,1000.0,1391.0,71.9,15562.0,6257.0,533.0,618.0,86.2,378.0,546.0,69.2,64.0,165.0,38.8,1.0,1.8,2.2,-0.8,22.0,66.0,23.0,16.0,97.0,1391.0,1077.0,304.0,7.0,0.0,3.0,74.0,293.0,4.0,4.0,0.0,0.0,1000.0,10.0,23.0,51.0,1.62,43.0,4.0,3.0,1.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,27.0,10.0,4.0,16.0,30.0,53.3,14.0,32.0,12.0,20.0,48.0,89.0,102.0,0.0,1676.0,106.0,530.0,710.0,447.0,25.0,1676.0,37.0,24.0,64.9,13.0,35.1,716.0,4326.0,2276.0,59.0,49.0,3.0,21.0,18.0,769.0,89.0,33,2827.0,86.0,82.7,31.4,32,,27.0,1,,0,0.73,23.0,44.0,-21.0,-0.67,-0.06,31.2,39.8,-8.7,-0.28,0.14,3.0,0.0,0.0,22.0,11.0,1.0,74.0,48.0,24.0,0.0,0.0,0.0,169.0,41.0,39.0,51.3
Salomón Rondón,ve VEN,FW,27.0,30.7,7.0,79.0,29.0,36.7,2.57,0.94,0.09,0.24,16.6,1.0,0.0,0.0,7.0,7.0,0.09,0.0,0.0,564.0,874.0,64.5,7392.0,1287.0,366.0,485.0,75.5,140.0,228.0,61.4,21.0,44.0,47.7,3.0,2.8,2.5,0.2,23.0,47.0,14.0,2.0,66.0,874.0,834.0,38.0,3.0,4.0,3.0,35.0,4.0,0.0,0.0,0.0,0.0,564.0,2.0,33.0,72.0,2.34,51.0,0.0,8.0,7.0,6.0,0.0,7.0,0.23,6.0,0.0,1.0,0.0,0.0,0.0,14.0,6.0,0.0,7.0,7.0,5.0,26.0,19.2,21.0,27.0,0.0,27.0,14.0,28.0,20.0,0.0,1287.0,22.0,90.0,596.0,622.0,128.0,1287.0,76.0,47.0,61.8,29.0,38.2,819.0,4116.0,1368.0,45.0,52.0,20.0,127.0,107.0,1013.0,201.0,36,2767.0,77.0,80.9,30.7,32,,23.0,4,,1,0.81,25.0,48.0,-23.0,-0.75,-0.47,27.6,40.1,-12.5,-0.41,-0.56,4.0,0.0,0.0,42.0,55.0,28.0,35.0,14.0,6.0,0.0,0.0,0.0,135.0,162.0,207.0,43.9
Jay Rodriguez,eng ENG,"FW,MF",28.0,31.2,7.0,68.0,23.0,33.8,2.18,0.74,0.09,0.26,17.6,0.0,1.0,1.0,8.4,7.6,0.11,-1.4,-1.6,517.0,740.0,69.9,7189.0,1909.0,311.0,379.0,82.1,129.0,197.0,65.5,30.0,71.0,42.3,1.0,1.6,2.3,-0.6,21.0,51.0,14.0,2.0,52.0,740.0,691.0,47.0,2.0,4.0,6.0,30.0,4.0,3.0,2.0,0.0,0.0,517.0,2.0,26.0,56.0,1.79,33.0,0.0,6.0,7.0,9.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,12.0,11.0,8.0,9.0,50.0,18.0,41.0,32.0,2.0,30.0,19.0,50.0,41.0,0.0,1108.0,43.0,170.0,475.0,485.0,103.0,1107.0,66.0,29.0,43.9,37.0,56.1,671.0,3593.0,1424.0,47.0,37.0,12.0,82.0,62.0,771.0,166.0,37,2812.0,76.0,82.2,31.2,31,,13.0,6,,1,0.81,24.0,41.0,-17.0,-0.54,0.64,28.6,38.3,-9.7,-0.31,-0.05,2.0,0.0,0.0,43.0,29.0,18.0,30.0,19.0,21.0,0.0,0.0,0.0,121.0,72.0,81.0,47.1
Jake Livermore,eng ENG,MF,27.0,29.7,2.0,15.0,4.0,26.7,0.5,0.13,0.13,0.5,18.2,0.0,0.0,0.0,2.3,2.3,0.16,-0.3,-0.3,878.0,1133.0,77.5,15708.0,4533.0,374.0,443.0,84.4,372.0,449.0,82.9,106.0,169.0,62.7,2.0,1.9,1.8,0.1,20.0,108.0,8.0,3.0,133.0,1133.0,1106.0,21.0,5.0,8.0,16.0,16.0,8.0,1.0,1.0,0.0,0.0,878.0,6.0,22.0,42.0,1.41,35.0,1.0,0.0,1.0,2.0,3.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,72.0,41.0,27.0,35.0,10.0,24.0,64.0,37.5,40.0,44.0,9.0,35.0,26.0,98.0,36.0,2.0,1385.0,51.0,276.0,859.0,263.0,34.0,1385.0,27.0,19.0,70.4,8.0,29.6,798.0,3614.0,1524.0,26.0,10.0,5.0,31.0,27.0,857.0,55.0,34,2674.0,79.0,78.2,29.7,30,,25.0,4,,0,0.88,22.0,41.0,-19.0,-0.64,0.08,28.3,36.7,-8.3,-0.28,0.09,5.0,0.0,0.0,42.0,14.0,1.0,16.0,26.0,41.0,0.0,0.0,0.0,173.0,23.0,37.0,38.3
Craig Dawson,eng ENG,DF,27.0,27.9,2.0,16.0,4.0,25.0,0.57,0.14,0.13,0.5,10.1,0.0,0.0,0.0,2.3,2.3,0.15,-0.3,-0.3,765.0,1114.0,68.7,14860.0,7328.0,314.0,385.0,81.6,318.0,420.0,75.7,117.0,253.0,46.2,0.0,1.2,1.1,-1.2,10.0,79.0,19.0,14.0,83.0,1114.0,938.0,168.0,10.0,0.0,8.0,42.0,158.0,0.0,0.0,0.0,0.0,765.0,8.0,28.0,31.0,1.11,21.0,1.0,0.0,6.0,3.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,38.0,28.0,25.0,7.0,6.0,13.0,36.0,36.1,23.0,39.0,26.0,13.0,52.0,90.0,140.0,0.0,1443.0,164.0,632.0,603.0,213.0,49.0,1443.0,13.0,8.0,61.5,5.0,38.5,575.0,2846.0,1578.0,18.0,18.0,3.0,10.0,8.0,638.0,20.0,28,2510.0,90.0,73.4,27.9,28,,26.0,0,,1,0.96,24.0,39.0,-15.0,-0.54,0.45,25.9,34.6,-8.7,-0.31,-0.04,6.0,0.0,0.0,35.0,22.0,4.0,42.0,52.0,28.0,0.0,0.0,0.0,133.0,115.0,62.0,65.0
Jonny Evans,nir NIR,DF,29.0,25.2,2.0,10.0,5.0,50.0,0.4,0.2,0.2,0.4,7.8,0.0,0.0,0.0,2.1,2.1,0.22,-0.1,-0.1,785.0,983.0,79.9,15261.0,6008.0,293.0,334.0,87.7,366.0,430.0,85.1,114.0,193.0,59.1,2.0,0.9,0.4,1.1,8.0,58.0,5.0,2.0,56.0,983.0,922.0,58.0,43.0,0.0,2.0,4.0,15.0,0.0,0.0,0.0,0.0,785.0,3.0,4.0,22.0,0.87,18.0,2.0,0.0,2.0,0.0,0.0,3.0,0.12,2.0,0.0,0.0,1.0,0.0,0.0,29.0,22.0,19.0,8.0,2.0,14.0,33.0,42.4,19.0,22.0,13.0,9.0,48.0,77.0,131.0,1.0,1241.0,156.0,696.0,504.0,47.0,19.0,1241.0,10.0,10.0,100.0,0.0,0.0,613.0,3504.0,2043.0,21.0,10.0,1.0,10.0,6.0,599.0,9.0,28,2270.0,81.0,66.4,25.2,26,,22.0,2,,1,0.61,21.0,38.0,-17.0,-0.67,-0.05,26.5,30.8,-4.3,-0.17,0.39,7.0,0.0,0.0,26.0,27.0,0.0,4.0,48.0,22.0,0.0,0.0,1.0,142.0,54.0,34.0,61.4
Allan Nyom,cm CMR,DF,29.0,25.7,0.0,3.0,0.0,0.0,0.12,0.0,0.0,,35.3,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,798.0,1102.0,72.4,13157.0,5473.0,435.0,482.0,90.2,274.0,369.0,74.3,71.0,180.0,39.4,1.0,1.1,1.5,-0.1,14.0,42.0,25.0,22.0,58.0,1102.0,837.0,261.0,4.0,0.0,2.0,88.0,257.0,0.0,0.0,0.0,0.0,798.0,4.0,45.0,35.0,1.36,26.0,6.0,0.0,0.0,2.0,1.0,4.0,0.16,3.0,0.0,0.0,0.0,1.0,0.0,64.0,39.0,43.0,17.0,4.0,28.0,43.0,65.1,15.0,20.0,9.0,11.0,27.0,91.0,93.0,0.0,1366.0,107.0,510.0,538.0,330.0,4.0,1366.0,26.0,10.0,38.5,16.0,61.5,630.0,3127.0,1507.0,36.0,29.0,1.0,24.0,20.0,634.0,71.0,29,2310.0,80.0,67.5,25.7,25,,23.0,4,,8,0.93,23.0,40.0,-17.0,-0.66,-0.01,24.8,33.0,-8.2,-0.32,-0.06,7.0,0.0,0.0,20.0,20.0,0.0,88.0,27.0,39.0,0.0,1.0,0.0,147.0,21.0,19.0,52.5
Matt Phillips,sct SCO,"MF,DF",26.0,23.3,2.0,28.0,7.0,25.0,1.2,0.3,0.07,0.29,20.3,1.0,0.0,0.0,2.4,2.4,0.09,-0.4,-0.4,434.0,704.0,61.6,7299.0,2673.0,245.0,302.0,81.1,127.0,198.0,64.1,50.0,134.0,37.3,2.0,4.1,4.0,-2.1,33.0,21.0,19.0,14.0,31.0,704.0,601.0,97.0,17.0,0.0,2.0,164.0,37.0,43.0,34.0,5.0,2.0,434.0,6.0,38.0,60.0,2.58,33.0,17.0,6.0,1.0,3.0,0.0,3.0,0.13,2.0,1.0,0.0,0.0,0.0,0.0,27.0,16.0,17.0,5.0,5.0,10.0,29.0,34.5,19.0,21.0,1.0,20.0,24.0,51.0,43.0,0.0,979.0,35.0,196.0,311.0,491.0,44.0,979.0,88.0,45.0,51.1,43.0,48.9,583.0,4475.0,2247.0,85.0,53.0,17.0,47.0,44.0,598.0,146.0,30,2093.0,70.0,61.2,23.3,23,,13.0,7,,1,0.93,24.0,32.0,-8.0,-0.34,0.81,23.1,26.2,-3.1,-0.13,0.43,3.0,0.0,0.0,14.0,13.0,11.0,164.0,24.0,16.0,0.0,0.0,0.0,114.0,35.0,36.0,49.3
