player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Lewis Dunk,eng ENG,DF,26.0,35.0,2.0,20.0,4.0,20.0,0.57,0.11,0.1,0.5,14.1,2.0,0.0,0.0,1.8,1.8,0.09,0.2,0.2,1246.0,1510.0,82.5,26946.0,8559.0,380.0,425.0,89.4,604.0,655.0,92.2,239.0,380.0,62.9,1.0,0.8,0.7,0.2,11.0,75.0,2.0,0.0,63.0,1510.0,1456.0,49.0,36.0,2.0,49.0,2.0,13.0,0.0,0.0,0.0,0.0,1246.0,5.0,16.0,21.0,0.6,20.0,0.0,0.0,0.0,1.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0,31.0,10.0,1.0,17.0,39.0,43.6,22.0,49.0,38.0,11.0,46.0,88.0,196.0,5.0,1927.0,295.0,1034.0,839.0,74.0,44.0,1927.0,4.0,0.0,0.0,4.0,100.0,892.0,4521.0,2321.0,16.0,11.0,0.0,16.0,3.0,1056.0,6.0,36,3151.0,88.0,92.1,35.0,36,88.0,34.0,0,,0,0.97,31.0,55.0,-24.0,-0.69,-0.35,32.0,55.2,-23.2,-0.66,-0.45,6.0,1.0,1.0,22.0,14.0,0.0,2.0,46.0,26.0,0.0,0.0,0.0,206.0,119.0,63.0,65.4
Shane Duffy,ie IRL,DF,26.0,34.3,5.0,37.0,14.0,37.8,1.08,0.41,0.14,0.36,10.6,0.0,0.0,0.0,3.1,3.1,0.08,1.9,1.9,987.0,1318.0,74.9,21295.0,7903.0,280.0,341.0,82.1,509.0,606.0,84.0,172.0,316.0,54.4,1.0,0.3,0.3,0.7,7.0,41.0,3.0,1.0,35.0,1318.0,1281.0,31.0,26.0,0.0,18.0,2.0,5.0,0.0,0.0,0.0,0.0,987.0,6.0,5.0,24.0,0.7,18.0,1.0,0.0,2.0,2.0,1.0,3.0,0.09,2.0,0.0,0.0,0.0,1.0,0.0,35.0,20.0,23.0,7.0,5.0,14.0,25.0,56.0,11.0,57.0,47.0,10.0,36.0,71.0,244.0,3.0,1775.0,359.0,1039.0,635.0,110.0,74.0,1775.0,5.0,5.0,100.0,0.0,0.0,734.0,3061.0,1423.0,1.0,4.0,0.0,17.0,2.0,919.0,11.0,35,3087.0,88.0,90.3,34.3,35,88.0,34.0,0,,0,1.03,32.0,54.0,-22.0,-0.64,0.17,32.7,54.1,-21.4,-0.62,0.03,4.0,1.0,0.0,22.0,10.0,4.0,2.0,36.0,20.0,1.0,1.0,0.0,143.0,187.0,68.0,73.3
Mathew Ryan,au AUS,GK,26.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,564.0,1032.0,54.7,23324.0,20299.0,42.0,43.0,97.7,149.0,156.0,95.5,373.0,825.0,45.2,0.0,0.0,0.1,0.0,0.0,34.0,0.0,0.0,0.0,1032.0,623.0,403.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,6.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,1099.0,932.0,1090.0,9.0,0.0,0.0,1099.0,0.0,0.0,,0.0,,516.0,3832.0,2935.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,34,3060.0,90.0,89.5,34.0,34,90.0,34.0,0,,0,0.94,31.0,55.0,-24.0,-0.71,-0.46,32.4,53.2,-20.9,-0.61,0.13,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,8.0,1.0,88.9
Davy Pröpper,nl NED,MF,26.0,28.3,1.0,15.0,2.0,13.3,0.53,0.07,0.07,0.5,15.9,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,973.0,1243.0,78.3,17226.0,4813.0,425.0,508.0,83.7,414.0,491.0,84.3,104.0,160.0,65.0,1.0,1.3,1.4,-0.3,19.0,131.0,17.0,1.0,165.0,1243.0,1214.0,15.0,3.0,2.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,973.0,14.0,25.0,41.0,1.45,38.0,0.0,1.0,0.0,1.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,50.0,28.0,23.0,21.0,6.0,16.0,52.0,30.8,36.0,21.0,6.0,15.0,53.0,103.0,37.0,0.0,1529.0,46.0,280.0,990.0,273.0,28.0,1529.0,49.0,29.0,59.2,20.0,40.8,851.0,4236.0,1834.0,28.0,23.0,1.0,46.0,25.0,955.0,58.0,30,2546.0,85.0,74.4,28.3,30,85.0,25.0,0,,0,0.93,27.0,45.0,-18.0,-0.64,0.08,26.9,41.4,-14.5,-0.51,0.45,2.0,0.0,0.0,33.0,18.0,1.0,16.0,53.0,28.0,0.0,1.0,0.0,191.0,36.0,26.0,58.1
Glenn Murray,eng ENG,FW,34.0,27.9,13.0,50.0,17.0,34.0,1.79,0.61,0.18,0.53,12.2,0.0,4.0,4.0,11.4,8.1,0.16,1.6,0.9,353.0,618.0,57.1,4264.0,900.0,235.0,372.0,63.2,72.0,134.0,53.7,13.0,23.0,56.5,1.0,1.3,1.2,-0.3,12.0,25.0,7.0,0.0,41.0,618.0,603.0,11.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,353.0,4.0,12.0,35.0,1.26,23.0,0.0,0.0,3.0,9.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,17.0,7.0,4.0,7.0,6.0,4.0,20.0,20.0,16.0,20.0,3.0,17.0,2.0,19.0,17.0,1.0,880.0,23.0,62.0,446.0,373.0,90.0,876.0,20.0,8.0,40.0,12.0,60.0,493.0,1443.0,378.0,12.0,14.0,5.0,82.0,35.0,744.0,136.0,38,2508.0,66.0,73.3,27.9,30,78.0,16.0,8,20.0,0,0.95,27.0,45.0,-18.0,-0.65,0.04,26.6,42.6,-16.0,-0.58,0.2,5.0,0.0,0.0,80.0,54.0,38.0,8.0,2.0,7.0,1.0,1.0,0.0,46.0,170.0,176.0,49.1
Solly March,eng ENG,"FW,MF",24.0,27.4,1.0,43.0,9.0,20.9,1.57,0.33,0.02,0.11,21.4,3.0,0.0,0.0,2.5,2.5,0.06,-1.5,-1.5,598.0,938.0,63.8,10248.0,2627.0,323.0,395.0,81.8,184.0,279.0,65.9,72.0,154.0,46.8,5.0,4.3,4.3,0.7,41.0,35.0,38.0,19.0,60.0,938.0,845.0,84.0,24.0,1.0,12.0,152.0,21.0,38.0,25.0,4.0,0.0,598.0,9.0,67.0,85.0,3.1,46.0,11.0,15.0,6.0,6.0,1.0,8.0,0.29,5.0,1.0,0.0,0.0,2.0,0.0,56.0,24.0,27.0,16.0,13.0,19.0,45.0,42.2,26.0,34.0,4.0,30.0,27.0,83.0,44.0,0.0,1281.0,42.0,241.0,444.0,611.0,47.0,1281.0,84.0,49.0,58.3,35.0,41.7,742.0,4583.0,2040.0,65.0,34.0,18.0,46.0,41.0,794.0,208.0,35,2463.0,70.0,72.0,27.4,30,78.0,16.0,5,24.0,1,0.94,26.0,40.0,-14.0,-0.51,0.52,28.8,42.7,-14.0,-0.51,0.42,1.0,0.0,0.0,29.0,30.0,6.0,152.0,27.0,24.0,1.0,0.0,0.0,140.0,17.0,61.0,21.8
Dale Stephens,eng ENG,MF,29.0,27.6,1.0,11.0,1.0,9.1,0.4,0.04,0.09,1.0,27.4,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,1136.0,1365.0,83.2,21941.0,6362.0,462.0,522.0,88.5,492.0,550.0,89.5,166.0,229.0,72.5,1.0,0.7,0.7,0.3,18.0,138.0,11.0,1.0,151.0,1365.0,1336.0,22.0,7.0,1.0,23.0,2.0,3.0,0.0,0.0,0.0,0.0,1136.0,7.0,24.0,41.0,1.48,35.0,1.0,0.0,2.0,2.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,83.0,57.0,37.0,41.0,5.0,28.0,74.0,37.8,46.0,33.0,13.0,20.0,46.0,129.0,47.0,0.0,1650.0,97.0,448.0,1045.0,167.0,12.0,1650.0,12.0,6.0,50.0,6.0,50.0,807.0,3927.0,1479.0,16.0,18.0,2.0,27.0,14.0,974.0,8.0,30,2485.0,83.0,72.7,27.6,29,85.0,26.0,1,11.0,1,0.83,26.0,45.0,-19.0,-0.69,-0.11,26.3,44.5,-18.2,-0.66,-0.11,6.0,1.0,0.0,44.0,10.0,0.0,2.0,46.0,57.0,0.0,0.0,0.0,199.0,26.0,22.0,54.2
Martín Montoya,es ESP,DF,27.0,24.1,0.0,8.0,1.0,12.5,0.33,0.04,0.0,0.0,26.1,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2,900.0,1152.0,78.1,13885.0,6073.0,497.0,564.0,88.1,327.0,423.0,77.3,53.0,100.0,53.0,1.0,1.2,1.5,-0.2,18.0,59.0,26.0,15.0,88.0,1152.0,887.0,264.0,7.0,1.0,3.0,36.0,257.0,0.0,0.0,0.0,0.0,900.0,1.0,25.0,40.0,1.66,33.0,3.0,0.0,0.0,3.0,1.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,58.0,35.0,29.0,21.0,8.0,32.0,55.0,58.2,23.0,30.0,10.0,20.0,48.0,106.0,76.0,1.0,1432.0,100.0,479.0,673.0,286.0,11.0,1432.0,23.0,12.0,52.2,11.0,47.8,635.0,3113.0,1661.0,35.0,27.0,3.0,21.0,9.0,705.0,36.0,25,2167.0,87.0,63.4,24.1,24,90.0,24.0,1,6.0,0,0.8,25.0,41.0,-16.0,-0.66,-0.02,23.3,37.7,-14.4,-0.6,0.08,4.0,0.0,0.0,29.0,16.0,0.0,36.0,48.0,35.0,0.0,0.0,0.0,98.0,22.0,27.0,44.9
Pascal Groß,de GER,"MF,FW",27.0,20.7,3.0,22.0,7.0,31.8,1.06,0.34,0.09,0.29,18.0,1.0,1.0,2.0,4.4,2.8,0.13,-1.4,-0.8,661.0,965.0,68.5,12127.0,3940.0,323.0,379.0,85.2,206.0,292.0,70.5,105.0,225.0,46.7,3.0,5.5,4.2,-2.5,54.0,87.0,28.0,15.0,110.0,965.0,821.0,134.0,50.0,2.0,25.0,142.0,3.0,61.0,44.0,10.0,1.0,661.0,10.0,24.0,85.0,4.1,46.0,30.0,3.0,3.0,3.0,0.0,6.0,0.29,1.0,2.0,0.0,2.0,1.0,0.0,27.0,12.0,12.0,12.0,3.0,11.0,36.0,30.6,25.0,20.0,8.0,12.0,13.0,40.0,23.0,0.0,1148.0,30.0,151.0,582.0,425.0,37.0,1147.0,7.0,4.0,57.1,3.0,42.9,600.0,2777.0,1311.0,26.0,29.0,4.0,34.0,21.0,738.0,106.0,25,1864.0,75.0,54.5,20.7,24,77.0,9.0,1,10.0,0,0.8,18.0,31.0,-13.0,-0.63,0.07,21.4,26.6,-5.1,-0.25,0.83,1.0,0.0,0.0,11.0,13.0,5.0,142.0,13.0,12.0,1.0,1.0,0.0,90.0,18.0,37.0,32.7
Gaëtan Bong,cm CMR,DF,30.0,20.1,0.0,2.0,0.0,0.0,0.1,0.0,0.0,,27.1,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,603.0,888.0,67.9,9894.0,5036.0,291.0,338.0,86.1,259.0,378.0,68.5,39.0,117.0,33.3,0.0,0.5,0.6,-0.5,9.0,48.0,16.0,8.0,66.0,888.0,646.0,240.0,13.0,0.0,2.0,57.0,227.0,0.0,0.0,0.0,0.0,603.0,2.0,26.0,18.0,0.9,13.0,3.0,2.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,7.0,6.0,3.0,6.0,10.0,60.0,4.0,16.0,6.0,10.0,25.0,41.0,57.0,2.0,1071.0,87.0,378.0,470.0,228.0,3.0,1071.0,23.0,11.0,47.8,12.0,52.2,452.0,2730.0,1485.0,36.0,31.0,1.0,18.0,16.0,467.0,40.0,22,1808.0,82.0,52.9,20.1,19,90.0,19.0,3,32.0,16,0.77,18.0,34.0,-16.0,-0.8,-0.29,19.8,38.2,-18.4,-0.91,-0.61,0.0,0.0,0.0,11.0,4.0,0.0,57.0,25.0,10.0,0.0,2.0,0.0,112.0,24.0,31.0,43.6
