player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Neil Etheridge,ph PHI,GK,28.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,415.0,1202.0,34.5,21789.0,20502.0,5.0,8.0,62.5,50.0,56.0,89.3,359.0,1130.0,31.8,0.0,0.1,0.1,-0.1,2.0,65.0,0.0,0.0,0.0,1202.0,711.0,484.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,7.0,1.0,11.0,0.29,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,7.0,8.0,19.0,1.0,1326.0,1021.0,1286.0,40.0,0.0,0.0,1326.0,0.0,0.0,,0.0,,505.0,4732.0,3412.0,0.0,0.0,0.0,1.0,0.0,398.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,0.89,34.0,69.0,-35.0,-0.92,,42.4,61.5,-19.1,-0.5,,2.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,33.0,7.0,0.0,100.0
Bruno Ecuele Manga,ga GAB,DF,30.0,37.5,0.0,10.0,3.0,30.0,0.27,0.08,0.0,0.0,13.4,0.0,0.0,0.0,1.1,1.1,0.11,-1.1,-1.1,692.0,1097.0,63.1,13124.0,6461.0,288.0,363.0,79.3,285.0,430.0,66.3,98.0,236.0,41.5,1.0,0.4,0.6,0.6,6.0,71.0,7.0,2.0,102.0,1097.0,937.0,152.0,40.0,2.0,7.0,20.0,112.0,0.0,0.0,0.0,0.0,692.0,8.0,28.0,24.0,0.64,17.0,3.0,0.0,3.0,1.0,0.0,4.0,0.11,3.0,0.0,0.0,1.0,0.0,0.0,69.0,36.0,48.0,16.0,5.0,29.0,58.0,50.0,29.0,62.0,28.0,34.0,81.0,150.0,179.0,4.0,1529.0,235.0,639.0,740.0,171.0,18.0,1529.0,14.0,10.0,71.4,4.0,28.6,549.0,2727.0,1236.0,18.0,14.0,1.0,21.0,13.0,469.0,19.0,38,3376.0,89.0,98.7,37.5,37,90.0,37.0,1,45.0,0,0.89,34.0,67.0,-33.0,-0.88,3.21,42.1,59.8,-17.7,-0.47,2.46,0.0,0.0,0.0,15.0,11.0,1.0,20.0,81.0,36.0,0.0,2.0,0.0,268.0,87.0,60.0,59.2
Sean Morrison,eng ENG,DF,27.0,33.8,1.0,34.0,8.0,23.5,1.01,0.24,0.03,0.13,9.7,0.0,0.0,0.0,5.0,5.0,0.15,-4.0,-4.0,528.0,911.0,58.0,10708.0,5515.0,167.0,261.0,64.0,262.0,364.0,72.0,83.0,239.0,34.7,3.0,3.7,2.8,-0.7,22.0,37.0,7.0,0.0,49.0,911.0,735.0,174.0,7.0,0.0,6.0,5.0,167.0,0.0,0.0,0.0,0.0,528.0,2.0,10.0,34.0,1.01,26.0,4.0,0.0,4.0,0.0,0.0,4.0,0.12,3.0,0.0,0.0,1.0,0.0,0.0,35.0,17.0,29.0,4.0,2.0,15.0,28.0,53.6,13.0,47.0,30.0,17.0,52.0,87.0,204.0,5.0,1341.0,228.0,719.0,430.0,205.0,127.0,1341.0,8.0,8.0,100.0,0.0,0.0,276.0,1582.0,750.0,7.0,7.0,1.0,13.0,9.0,363.0,16.0,34,3039.0,89.0,88.9,33.8,34,89.0,33.0,0,,0,0.82,28.0,63.0,-35.0,-1.04,-1.04,37.4,54.8,-17.4,-0.51,-0.1,6.0,0.0,0.0,32.0,20.0,9.0,5.0,52.0,17.0,0.0,3.0,0.0,152.0,225.0,113.0,66.6
Víctor Camarasa,es ESP,MF,24.0,28.5,5.0,40.0,11.0,27.5,1.4,0.39,0.1,0.36,23.6,5.0,1.0,1.0,4.0,3.2,0.1,1.0,0.8,710.0,1017.0,69.8,12178.0,3357.0,343.0,419.0,81.9,227.0,300.0,75.7,100.0,197.0,50.8,4.0,3.8,4.0,0.2,50.0,63.0,21.0,6.0,77.0,1017.0,868.0,142.0,51.0,13.0,7.0,121.0,4.0,77.0,42.0,19.0,10.0,710.0,7.0,37.0,91.0,3.19,57.0,27.0,1.0,5.0,1.0,0.0,7.0,0.25,5.0,1.0,0.0,1.0,0.0,0.0,28.0,15.0,8.0,15.0,5.0,6.0,31.0,19.4,25.0,17.0,2.0,15.0,33.0,61.0,28.0,1.0,1298.0,32.0,169.0,591.0,569.0,34.0,1297.0,62.0,34.0,54.8,28.0,45.2,703.0,4539.0,1979.0,50.0,46.0,10.0,61.0,49.0,742.0,92.0,32,2569.0,80.0,75.1,28.5,31,83.0,20.0,1,7.0,1,0.88,25.0,53.0,-28.0,-0.98,-0.24,28.0,46.3,-18.3,-0.64,-0.56,6.0,0.0,0.0,23.0,29.0,1.0,121.0,33.0,15.0,0.0,0.0,0.0,168.0,19.0,31.0,38.0
Joe Bennett,eng ENG,DF,28.0,29.3,0.0,10.0,3.0,30.0,0.34,0.1,0.0,0.0,23.8,3.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,639.0,931.0,68.6,10057.0,5110.0,335.0,398.0,84.2,216.0,320.0,67.5,57.0,135.0,42.2,1.0,0.9,1.3,0.1,14.0,67.0,12.0,9.0,86.0,931.0,699.0,229.0,37.0,2.0,5.0,43.0,191.0,1.0,1.0,0.0,0.0,639.0,3.0,31.0,34.0,1.16,29.0,1.0,0.0,1.0,3.0,0.0,2.0,0.07,1.0,0.0,0.0,0.0,1.0,0.0,50.0,29.0,34.0,16.0,0.0,22.0,38.0,57.9,16.0,30.0,8.0,22.0,60.0,110.0,93.0,0.0,1227.0,117.0,373.0,570.0,294.0,13.0,1227.0,34.0,24.0,70.6,10.0,29.4,384.0,1979.0,1050.0,28.0,19.0,4.0,10.0,11.0,432.0,41.0,30,2639.0,88.0,77.2,29.3,30,88.0,28.0,0,,7,0.83,25.0,50.0,-25.0,-0.85,0.3,32.7,49.1,-16.5,-0.56,-0.26,5.0,0.0,0.0,20.0,35.0,1.0,43.0,60.0,29.0,0.0,0.0,0.0,129.0,34.0,17.0,66.7
Sol Bamba,ci CIV,DF,33.0,27.5,4.0,22.0,7.0,31.8,0.8,0.25,0.18,0.57,9.7,0.0,0.0,0.0,4.0,4.0,0.19,0.0,0.0,385.0,559.0,68.9,7809.0,3222.0,120.0,160.0,75.0,193.0,244.0,79.1,64.0,115.0,55.7,1.0,0.2,0.2,0.8,4.0,44.0,2.0,0.0,48.0,559.0,541.0,15.0,10.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,385.0,3.0,10.0,18.0,0.65,10.0,1.0,1.0,5.0,1.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,74.0,42.0,44.0,30.0,0.0,31.0,55.0,56.4,24.0,72.0,32.0,40.0,82.0,156.0,181.0,3.0,1016.0,195.0,567.0,418.0,49.0,28.0,1016.0,20.0,14.0,70.0,6.0,30.0,289.0,1565.0,702.0,6.0,5.0,0.0,20.0,11.0,245.0,2.0,28,2474.0,88.0,72.3,27.5,28,88.0,27.0,0,,1,0.89,25.0,52.0,-27.0,-0.98,-0.22,30.2,42.7,-12.5,-0.45,0.18,7.0,0.0,0.0,35.0,12.0,3.0,1.0,82.0,42.0,0.0,2.0,0.0,175.0,93.0,43.0,68.4
Aron Gunnarsson,is ISL,MF,29.0,25.2,1.0,20.0,4.0,20.0,0.79,0.16,0.05,0.25,22.2,0.0,0.0,0.0,2.0,2.0,0.1,-1.0,-1.0,600.0,921.0,65.1,11209.0,4352.0,228.0,293.0,77.8,274.0,383.0,71.5,77.0,194.0,39.7,1.0,1.6,0.8,-0.6,16.0,67.0,10.0,2.0,85.0,921.0,750.0,168.0,6.0,4.0,5.0,12.0,157.0,0.0,0.0,0.0,0.0,600.0,3.0,8.0,44.0,1.75,28.0,9.0,0.0,1.0,5.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,51.0,29.0,23.0,25.0,3.0,23.0,84.0,27.4,61.0,40.0,12.0,28.0,38.0,89.0,55.0,1.0,1192.0,70.0,293.0,611.0,297.0,22.0,1192.0,13.0,11.0,84.6,2.0,15.4,347.0,1512.0,672.0,10.0,16.0,2.0,26.0,7.0,412.0,12.0,28,2266.0,81.0,66.3,25.2,27,84.0,18.0,1,0.0,3,1.14,23.0,40.0,-17.0,-0.68,0.73,27.6,37.7,-10.1,-0.4,0.3,5.0,0.0,0.0,26.0,30.0,0.0,12.0,38.0,29.0,0.0,0.0,0.0,174.0,44.0,33.0,57.1
Harry Arter,ie IRL,MF,28.0,22.2,0.0,23.0,4.0,17.4,1.04,0.18,0.0,0.0,23.6,0.0,0.0,0.0,0.9,0.9,0.04,-0.9,-0.9,539.0,680.0,79.3,8935.0,2551.0,275.0,319.0,86.2,196.0,241.0,81.3,49.0,80.0,61.3,1.0,0.5,1.2,0.5,10.0,59.0,21.0,6.0,73.0,680.0,612.0,65.0,11.0,3.0,7.0,17.0,2.0,0.0,0.0,0.0,0.0,539.0,3.0,12.0,37.0,1.67,32.0,1.0,1.0,2.0,1.0,0.0,6.0,0.27,5.0,0.0,0.0,1.0,0.0,0.0,62.0,37.0,27.0,26.0,9.0,16.0,46.0,34.8,30.0,33.0,5.0,28.0,21.0,83.0,21.0,2.0,886.0,33.0,165.0,500.0,231.0,15.0,886.0,7.0,3.0,42.9,4.0,57.1,294.0,1589.0,813.0,13.0,17.0,1.0,20.0,3.0,412.0,23.0,25,1997.0,80.0,58.4,22.2,24,83.0,12.0,1,0.0,2,0.88,20.0,39.0,-19.0,-0.86,0.16,24.8,30.6,-5.7,-0.26,0.59,10.0,0.0,0.0,25.0,14.0,2.0,17.0,21.0,37.0,0.0,0.0,0.0,128.0,6.0,14.0,30.0
Junior Hoilett,ca CAN,"MF,FW",28.0,23.8,3.0,40.0,9.0,22.5,1.68,0.38,0.08,0.33,19.3,1.0,0.0,0.0,3.4,3.4,0.09,-0.4,-0.4,338.0,537.0,62.9,4941.0,1706.0,202.0,242.0,83.5,80.0,132.0,60.6,31.0,93.0,33.3,1.0,1.5,1.7,-0.5,24.0,14.0,11.0,2.0,39.0,537.0,490.0,41.0,12.0,2.0,2.0,85.0,3.0,26.0,19.0,4.0,1.0,338.0,6.0,24.0,56.0,2.35,31.0,9.0,4.0,4.0,7.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,26.0,11.0,3.0,15.0,53.0,28.3,38.0,34.0,0.0,34.0,32.0,72.0,30.0,0.0,852.0,34.0,207.0,254.0,406.0,57.0,852.0,62.0,23.0,37.1,39.0,62.9,482.0,3836.0,1697.0,54.0,34.0,18.0,51.0,39.0,475.0,125.0,32,2141.0,67.0,62.6,23.8,23,84.0,13.0,9,22.0,3,0.84,18.0,46.0,-28.0,-1.18,-0.68,25.6,41.8,-16.2,-0.68,-0.48,4.0,0.0,0.0,35.0,38.0,8.0,85.0,32.0,27.0,1.0,0.0,0.0,114.0,19.0,51.0,27.1
Joe Ralls,eng ENG,MF,24.0,21.8,0.0,22.0,2.0,9.1,1.01,0.09,0.0,0.0,24.1,0.0,0.0,1.0,1.6,0.8,0.04,-1.6,-0.8,563.0,864.0,65.2,11256.0,4265.0,224.0,283.0,79.2,214.0,271.0,79.0,107.0,247.0,43.3,0.0,3.2,2.6,-3.2,33.0,106.0,11.0,4.0,111.0,864.0,749.0,107.0,57.0,1.0,6.0,77.0,1.0,49.0,34.0,10.0,4.0,563.0,8.0,21.0,61.0,2.8,28.0,26.0,1.0,4.0,1.0,1.0,2.0,0.09,0.0,2.0,0.0,0.0,0.0,0.0,45.0,23.0,21.0,21.0,3.0,10.0,33.0,30.3,23.0,21.0,6.0,15.0,29.0,74.0,30.0,0.0,1055.0,35.0,202.0,583.0,279.0,18.0,1054.0,6.0,5.0,83.3,1.0,16.7,417.0,1968.0,1027.0,20.0,16.0,3.0,19.0,14.0,491.0,18.0,28,1959.0,70.0,57.3,21.8,22,85.0,16.0,6,16.0,3,0.89,14.0,40.0,-26.0,-1.19,-0.64,21.7,39.1,-17.4,-0.8,-0.7,4.0,1.0,0.0,29.0,10.0,1.0,77.0,29.0,23.0,0.0,0.0,0.0,141.0,33.0,40.0,45.2
