player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Christopher Schindler,de GER,DF,28.0,36.2,1.0,13.0,3.0,23.1,0.36,0.08,0.08,0.33,11.5,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,1288.0,1555.0,82.8,26485.0,8603.0,399.0,466.0,85.6,672.0,772.0,87.0,205.0,284.0,72.2,0.0,0.2,0.4,-0.2,2.0,65.0,2.0,0.0,72.0,1555.0,1510.0,45.0,42.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,1288.0,0.0,7.0,15.0,0.41,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,61.0,36.0,46.0,14.0,1.0,27.0,47.0,57.4,20.0,69.0,34.0,35.0,70.0,131.0,138.0,4.0,1936.0,183.0,1105.0,779.0,61.0,36.0,1936.0,2.0,1.0,50.0,1.0,50.0,861.0,3674.0,1670.0,15.0,5.0,2.0,6.0,4.0,1060.0,5.0,37,3260.0,88.0,95.3,36.2,37,88.0,35.0,0,,0,0.43,19.0,71.0,-52.0,-1.44,-0.31,27.6,57.7,-30.1,-0.83,0.29,5.0,1.0,1.0,26.0,18.0,0.0,0.0,70.0,36.0,0.0,1.0,0.0,122.0,136.0,108.0,55.7
Terence Kongolo,nl NED,DF,24.0,30.2,1.0,14.0,4.0,28.6,0.46,0.13,0.07,0.25,14.9,0.0,0.0,0.0,1.3,1.3,0.09,-0.3,-0.3,978.0,1275.0,76.7,17265.0,7866.0,444.0,513.0,86.5,427.0,530.0,80.6,99.0,193.0,51.3,1.0,1.1,0.6,-0.1,9.0,69.0,10.0,4.0,90.0,1275.0,1145.0,125.0,32.0,1.0,0.0,28.0,93.0,0.0,0.0,0.0,0.0,978.0,5.0,13.0,24.0,0.8,18.0,1.0,0.0,2.0,1.0,2.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,74.0,46.0,44.0,26.0,4.0,27.0,47.0,57.4,20.0,42.0,16.0,26.0,65.0,139.0,106.0,1.0,1634.0,138.0,748.0,724.0,175.0,30.0,1634.0,18.0,10.0,55.6,8.0,44.4,762.0,3209.0,1869.0,25.0,23.0,4.0,17.0,4.0,919.0,42.0,32,2716.0,85.0,79.4,30.2,32,85.0,26.0,0,,2,0.44,20.0,65.0,-45.0,-1.49,-0.34,23.0,50.2,-27.2,-0.9,-0.26,4.0,0.0,0.0,20.0,25.0,2.0,28.0,65.0,46.0,0.0,1.0,1.0,121.0,53.0,35.0,60.2
Jonas Lössl,dk DEN,GK,29.0,30.9,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,711.0,1105.0,64.3,26054.0,21655.0,46.0,46.0,100.0,281.0,289.0,97.2,383.0,767.0,49.9,1.0,0.5,0.1,0.5,4.0,22.0,0.0,0.0,0.0,1105.0,782.0,321.0,98.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,2.0,0.0,8.0,0.26,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,12.0,2.0,1168.0,974.0,1158.0,8.0,3.0,2.0,1168.0,1.0,1.0,100.0,0.0,0.0,555.0,3161.0,2080.0,0.0,2.0,1.0,1.0,1.0,520.0,0.0,31,2778.0,90.0,81.2,30.9,30,90.0,30.0,1,77.0,3,0.48,18.0,54.0,-36.0,-1.17,1.36,22.0,44.1,-22.1,-0.72,0.69,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.0,13.0,5.0,72.2
Jonathan Hogg,eng ENG,MF,29.0,26.3,0.0,8.0,1.0,12.5,0.3,0.04,0.0,0.0,20.7,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,1289.0,1556.0,82.8,22062.0,5783.0,602.0,682.0,88.3,523.0,601.0,87.0,127.0,197.0,64.5,1.0,0.8,1.1,0.2,16.0,127.0,14.0,1.0,147.0,1556.0,1531.0,21.0,21.0,6.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1289.0,4.0,21.0,34.0,1.29,28.0,0.0,0.0,1.0,3.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,78.0,41.0,18.0,51.0,9.0,27.0,69.0,39.1,42.0,46.0,7.0,39.0,73.0,151.0,19.0,1.0,1835.0,46.0,365.0,1202.0,287.0,12.0,1835.0,11.0,9.0,81.8,2.0,18.2,905.0,3834.0,1489.0,10.0,21.0,1.0,32.0,19.0,1088.0,34.0,29,2367.0,82.0,69.2,26.3,29,82.0,19.0,0,,2,0.52,13.0,44.0,-31.0,-1.18,0.79,20.8,38.9,-18.1,-0.69,0.51,8.0,1.0,0.0,58.0,35.0,1.0,6.0,73.0,41.0,0.0,0.0,0.0,234.0,31.0,33.0,48.4
Alex Pritchard,eng ENG,"MF,FW",25.0,23.1,2.0,47.0,13.0,27.7,2.03,0.56,0.04,0.15,20.3,1.0,0.0,0.0,2.7,2.7,0.06,-0.7,-0.7,691.0,981.0,70.4,10133.0,2557.0,406.0,481.0,84.4,200.0,280.0,71.4,48.0,109.0,44.0,0.0,1.8,1.6,-1.8,32.0,66.0,20.0,6.0,91.0,981.0,890.0,87.0,19.0,1.0,10.0,78.0,3.0,23.0,14.0,1.0,5.0,691.0,4.0,48.0,97.0,4.2,61.0,12.0,6.0,3.0,13.0,2.0,5.0,0.22,2.0,2.0,0.0,0.0,1.0,0.0,36.0,24.0,10.0,18.0,8.0,10.0,35.0,28.6,25.0,26.0,2.0,24.0,17.0,53.0,9.0,0.0,1261.0,8.0,101.0,571.0,604.0,71.0,1261.0,59.0,29.0,49.2,30.0,50.8,752.0,3778.0,1628.0,72.0,52.0,20.0,69.0,51.0,895.0,164.0,30,2081.0,69.0,60.8,23.1,26,78.0,11.0,4,15.0,7,0.47,17.0,40.0,-23.0,-0.99,1.09,19.5,33.8,-14.3,-0.62,0.58,2.0,0.0,0.0,13.0,51.0,7.0,78.0,17.0,24.0,0.0,0.0,0.0,127.0,14.0,35.0,28.6
Aaron Mooy,au AUS,"MF,FW",27.0,25.9,3.0,42.0,13.0,31.0,1.62,0.5,0.05,0.15,23.3,8.0,1.0,1.0,2.8,2.1,0.05,0.2,-0.1,1073.0,1435.0,74.8,16856.0,5417.0,606.0,693.0,87.4,287.0,370.0,77.6,123.0,238.0,51.7,1.0,2.6,2.7,-1.6,43.0,143.0,24.0,8.0,154.0,1435.0,1294.0,129.0,44.0,2.0,19.0,137.0,8.0,75.0,25.0,38.0,2.0,1073.0,12.0,46.0,85.0,3.28,50.0,26.0,2.0,7.0,0.0,0.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,62.0,42.0,19.0,27.0,16.0,21.0,52.0,40.4,31.0,43.0,7.0,36.0,14.0,76.0,22.0,0.0,1697.0,28.0,207.0,893.0,627.0,31.0,1696.0,37.0,22.0,59.5,15.0,40.5,916.0,4656.0,2016.0,61.0,56.0,7.0,35.0,45.0,1082.0,94.0,29,2330.0,80.0,68.1,25.9,25,89.0,24.0,4,26.0,0,0.52,18.0,48.0,-30.0,-1.16,0.82,20.8,38.5,-17.6,-0.68,0.52,4.0,0.0,0.0,26.0,12.0,1.0,137.0,14.0,42.0,0.0,0.0,0.0,203.0,14.0,26.0,35.0
Philip Billing,dk DEN,MF,22.0,24.3,2.0,42.0,9.0,21.4,1.73,0.37,0.05,0.22,23.7,3.0,0.0,0.0,1.8,1.8,0.04,0.2,0.2,909.0,1261.0,72.1,16703.0,4691.0,408.0,489.0,83.4,330.0,455.0,72.5,136.0,236.0,57.6,0.0,1.7,1.1,-1.7,22.0,69.0,16.0,9.0,101.0,1261.0,1111.0,148.0,17.0,0.0,28.0,56.0,129.0,2.0,1.0,0.0,0.0,909.0,2.0,23.0,68.0,2.8,39.0,12.0,2.0,9.0,4.0,2.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,73.0,44.0,26.0,39.0,8.0,19.0,42.0,45.2,23.0,57.0,16.0,41.0,53.0,126.0,43.0,0.0,1633.0,64.0,362.0,791.0,505.0,32.0,1633.0,38.0,20.0,52.6,18.0,47.4,773.0,4685.0,2133.0,53.0,50.0,5.0,54.0,28.0,875.0,59.0,27,2188.0,81.0,64.0,24.3,25,85.0,19.0,2,28.0,1,0.52,15.0,43.0,-28.0,-1.15,0.75,17.5,34.2,-16.6,-0.68,0.45,7.0,0.0,0.0,37.0,30.0,2.0,56.0,53.0,44.0,0.0,1.0,0.0,174.0,86.0,28.0,75.4
Mathias Jørgensen,dk DEN,DF,28.0,23.9,3.0,8.0,4.0,50.0,0.34,0.17,0.38,0.75,13.6,0.0,0.0,0.0,1.4,1.4,0.18,1.6,1.6,974.0,1191.0,81.8,17693.0,7632.0,402.0,459.0,87.6,439.0,500.0,87.8,104.0,181.0,57.5,1.0,0.3,0.4,0.7,8.0,76.0,3.0,1.0,93.0,1191.0,1135.0,54.0,42.0,0.0,3.0,4.0,12.0,0.0,0.0,0.0,0.0,974.0,2.0,12.0,24.0,1.01,20.0,1.0,0.0,0.0,1.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,49.0,31.0,27.0,21.0,1.0,27.0,46.0,58.7,19.0,29.0,14.0,15.0,69.0,118.0,83.0,0.0,1445.0,104.0,666.0,735.0,51.0,23.0,1445.0,4.0,3.0,75.0,1.0,25.0,722.0,3283.0,2022.0,21.0,7.0,1.0,7.0,6.0,802.0,6.0,24,2147.0,89.0,62.8,23.9,24,89.0,23.0,0,,7,0.33,11.0,38.0,-27.0,-1.13,0.78,16.9,32.8,-15.9,-0.67,0.48,6.0,0.0,0.0,33.0,14.0,0.0,4.0,69.0,31.0,0.0,1.0,0.0,152.0,36.0,51.0,41.4
Chris Löwe,de GER,"DF,MF",29.0,22.9,0.0,18.0,6.0,33.3,0.79,0.26,0.0,0.0,24.2,1.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,767.0,1109.0,69.2,13554.0,4429.0,386.0,454.0,85.0,248.0,348.0,71.3,109.0,220.0,49.5,2.0,1.7,1.6,0.3,20.0,42.0,24.0,21.0,64.0,1109.0,911.0,191.0,36.0,0.0,8.0,140.0,121.0,34.0,24.0,9.0,1.0,767.0,7.0,48.0,39.0,1.71,24.0,9.0,3.0,2.0,1.0,0.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,34.0,18.0,17.0,15.0,2.0,12.0,33.0,36.4,21.0,21.0,3.0,18.0,23.0,57.0,56.0,0.0,1299.0,52.0,354.0,568.0,396.0,18.0,1299.0,13.0,9.0,69.2,4.0,30.8,589.0,3151.0,1712.0,46.0,37.0,3.0,18.0,12.0,736.0,86.0,29,2057.0,71.0,60.1,22.9,23,83.0,17.0,6,23.0,4,0.24,13.0,55.0,-42.0,-1.84,-1.05,16.0,42.9,-26.9,-1.18,-0.83,2.0,0.0,0.0,14.0,13.0,2.0,140.0,23.0,18.0,0.0,1.0,0.0,98.0,23.0,33.0,41.1
Erik Durm,de GER,DF,26.0,22.8,0.0,10.0,0.0,0.0,0.44,0.0,0.0,,21.1,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,740.0,1087.0,68.1,11480.0,4444.0,401.0,488.0,82.2,238.0,354.0,67.2,71.0,155.0,45.8,1.0,0.6,0.8,0.4,11.0,42.0,18.0,9.0,61.0,1087.0,832.0,248.0,7.0,0.0,4.0,65.0,240.0,1.0,1.0,0.0,0.0,740.0,7.0,36.0,37.0,1.62,30.0,1.0,3.0,1.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,24.0,8.0,3.0,14.0,33.0,42.4,19.0,26.0,6.0,20.0,41.0,76.0,42.0,0.0,1306.0,51.0,345.0,576.0,400.0,22.0,1306.0,21.0,12.0,57.1,9.0,42.9,564.0,2938.0,1359.0,42.0,26.0,8.0,33.0,14.0,636.0,106.0,28,2055.0,73.0,60.1,22.8,21,87.0,19.0,7,32.0,2,0.39,15.0,45.0,-30.0,-1.31,0.27,19.3,36.0,-16.7,-0.73,0.28,0.0,0.0,0.0,13.0,22.0,1.0,65.0,41.0,22.0,0.0,0.0,0.0,136.0,22.0,36.0,37.9
