player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ederson,br BRA,GK,24.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,946.0,1112.0,85.1,22857.0,15482.0,212.0,212.0,100.0,530.0,540.0,98.1,202.0,353.0,57.2,1.0,0.1,0.2,0.9,3.0,9.0,0.0,0.0,3.0,1112.0,860.0,248.0,59.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,4.0,1.0,5.0,0.13,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,2.0,1162.0,979.0,1145.0,19.0,0.0,0.0,1162.0,1.0,1.0,100.0,0.0,0.0,722.0,3390.0,2379.0,0.0,0.0,0.0,1.0,0.0,621.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,2.58,95.0,23.0,72.0,1.89,,84.3,24.7,59.6,1.57,,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,52.0,11.0,0.0,100.0
Aymeric Laporte,es ESP,DF,24.0,34.0,3.0,26.0,7.0,26.9,0.77,0.21,0.12,0.43,16.0,0.0,0.0,0.0,3.0,3.0,0.12,0.0,0.0,2804.0,3053.0,91.8,51483.0,16750.0,1100.0,1160.0,94.8,1353.0,1422.0,95.1,291.0,384.0,75.8,3.0,0.8,1.4,2.2,13.0,265.0,7.0,0.0,294.0,3053.0,2974.0,69.0,30.0,0.0,53.0,6.0,39.0,0.0,0.0,0.0,0.0,2804.0,10.0,7.0,40.0,1.18,37.0,0.0,1.0,2.0,0.0,0.0,6.0,0.18,6.0,0.0,0.0,0.0,0.0,0.0,42.0,20.0,27.0,14.0,1.0,22.0,34.0,64.7,12.0,16.0,9.0,7.0,39.0,81.0,98.0,2.0,3319.0,177.0,985.0,2151.0,191.0,31.0,3319.0,6.0,3.0,50.0,3.0,50.0,2510.0,14137.0,10671.0,94.0,81.0,1.0,11.0,2.0,2617.0,9.0,35,3057.0,87.0,89.4,34.0,34,90.0,33.0,1,1.0,1,2.54,88.0,21.0,67.0,1.97,0.73,73.2,22.5,50.7,1.49,-0.7,3.0,0.0,0.0,21.0,18.0,2.0,6.0,39.0,20.0,0.0,0.0,0.0,182.0,76.0,55.0,58.0
Bernardo Silva,pt POR,"MF,FW",23.0,31.7,7.0,62.0,22.0,35.5,1.96,0.69,0.11,0.32,15.7,0.0,0.0,0.0,7.4,7.4,0.12,-0.4,-0.4,1515.0,1818.0,83.3,21234.0,4669.0,909.0,978.0,92.9,404.0,510.0,79.2,95.0,142.0,66.9,7.0,7.8,7.5,-0.8,71.0,87.0,59.0,7.0,156.0,1818.0,1726.0,85.0,23.0,10.0,17.0,70.0,35.0,25.0,3.0,3.0,0.0,1515.0,7.0,44.0,138.0,4.35,113.0,7.0,9.0,6.0,2.0,1.0,13.0,0.41,12.0,0.0,0.0,0.0,1.0,0.0,52.0,39.0,18.0,21.0,13.0,16.0,67.0,23.9,51.0,47.0,3.0,44.0,25.0,77.0,26.0,1.0,2157.0,33.0,213.0,905.0,1069.0,169.0,2157.0,88.0,49.0,55.7,39.0,44.3,1518.0,8976.0,4941.0,152.0,103.0,48.0,44.0,37.0,1593.0,277.0,36,2854.0,79.0,83.5,31.7,31,88.0,27.0,5,27.0,1,2.56,78.0,22.0,56.0,1.77,-0.78,69.6,22.3,47.3,1.49,-0.46,3.0,0.0,0.0,31.0,24.0,2.0,70.0,25.0,39.0,1.0,0.0,0.0,164.0,11.0,26.0,29.7
Raheem Sterling,eng ENG,FW,23.0,30.8,17.0,77.0,38.0,49.4,2.5,1.23,0.22,0.45,13.9,1.0,0.0,0.0,13.7,13.7,0.18,3.3,3.3,1107.0,1355.0,81.7,12529.0,2624.0,751.0,826.0,90.9,211.0,284.0,74.3,22.0,56.0,39.3,9.0,9.6,8.3,-0.6,66.0,27.0,54.0,5.0,87.0,1355.0,1313.0,37.0,6.0,6.0,3.0,75.0,12.0,19.0,6.0,7.0,0.0,1107.0,5.0,39.0,145.0,4.71,99.0,1.0,23.0,11.0,11.0,0.0,27.0,0.88,19.0,0.0,4.0,0.0,4.0,0.0,32.0,16.0,11.0,12.0,9.0,9.0,25.0,36.0,16.0,28.0,3.0,25.0,17.0,49.0,4.0,0.0,1748.0,7.0,77.0,554.0,1139.0,264.0,1748.0,152.0,82.0,53.9,70.0,46.1,1338.0,7800.0,4188.0,155.0,93.0,88.0,74.0,87.0,1438.0,436.0,34,2771.0,82.0,81.0,30.8,31,86.0,22.0,3,30.0,4,2.53,75.0,19.0,56.0,1.82,-0.4,63.2,19.7,43.4,1.41,-0.84,3.0,0.0,0.0,40.0,44.0,13.0,75.0,17.0,16.0,2.0,0.0,0.0,114.0,15.0,28.0,34.9
Sergio Agüero,ar ARG,FW,30.0,27.3,21.0,116.0,41.0,35.3,4.25,1.5,0.16,0.46,15.0,3.0,2.0,2.0,18.1,16.5,0.14,2.9,2.5,661.0,796.0,83.0,7735.0,1420.0,415.0,466.0,89.1,151.0,176.0,85.8,12.0,24.0,50.0,8.0,5.0,4.3,3.0,34.0,40.0,40.0,0.0,76.0,796.0,740.0,52.0,1.0,6.0,1.0,13.0,8.0,1.0,0.0,0.0,0.0,661.0,4.0,27.0,91.0,3.33,60.0,1.0,11.0,10.0,7.0,2.0,19.0,0.7,14.0,0.0,2.0,2.0,1.0,0.0,17.0,9.0,1.0,10.0,6.0,5.0,9.0,55.6,4.0,15.0,1.0,14.0,9.0,26.0,3.0,0.0,1119.0,4.0,22.0,384.0,724.0,200.0,1117.0,73.0,45.0,61.6,28.0,38.4,824.0,4572.0,1987.0,81.0,60.0,35.0,74.0,54.0,896.0,253.0,33,2459.0,75.0,71.9,27.3,31,78.0,8.0,2,27.0,1,2.61,72.0,15.0,57.0,2.09,0.68,58.9,17.7,41.2,1.51,-0.22,4.0,0.0,0.0,21.0,25.0,26.0,13.0,9.0,9.0,0.0,0.0,0.0,70.0,17.0,22.0,43.6
Kyle Walker,eng ENG,DF,28.0,30.9,1.0,21.0,4.0,19.0,0.68,0.13,0.05,0.25,27.3,2.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,2327.0,2648.0,87.9,38611.0,9479.0,1179.0,1242.0,94.9,862.0,968.0,89.0,221.0,315.0,70.2,1.0,1.9,2.4,-0.9,24.0,232.0,21.0,4.0,220.0,2648.0,2419.0,222.0,28.0,4.0,46.0,59.0,193.0,1.0,0.0,0.0,0.0,2327.0,7.0,35.0,65.0,2.11,60.0,0.0,1.0,2.0,1.0,1.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,40.0,26.0,20.0,20.0,0.0,24.0,38.0,63.2,14.0,19.0,5.0,14.0,36.0,76.0,58.0,2.0,2886.0,82.0,518.0,1750.0,642.0,32.0,2886.0,34.0,18.0,52.9,16.0,47.1,1837.0,8827.0,4460.0,83.0,79.0,17.0,25.0,12.0,2110.0,92.0,33,2779.0,84.0,81.3,30.9,30,90.0,29.0,3,26.0,4,2.61,73.0,17.0,56.0,1.81,-0.43,65.2,19.9,45.3,1.47,-0.54,3.0,0.0,0.0,15.0,14.0,4.0,59.0,36.0,26.0,0.0,1.0,0.0,170.0,45.0,25.0,64.3
David Silva,es ESP,MF,32.0,26.7,6.0,51.0,18.0,35.3,1.91,0.67,0.12,0.33,14.1,4.0,0.0,0.0,7.8,7.8,0.15,-1.8,-1.8,1795.0,2108.0,85.2,24214.0,5509.0,1044.0,1158.0,90.2,521.0,600.0,86.8,83.0,128.0,64.8,8.0,8.5,8.6,-0.5,73.0,138.0,84.0,4.0,270.0,2108.0,2038.0,59.0,26.0,18.0,7.0,75.0,7.0,23.0,3.0,18.0,0.0,1795.0,11.0,29.0,152.0,5.7,124.0,8.0,6.0,11.0,3.0,0.0,19.0,0.71,18.0,1.0,0.0,0.0,0.0,0.0,30.0,18.0,12.0,11.0,7.0,1.0,20.0,5.0,19.0,18.0,1.0,17.0,22.0,52.0,15.0,0.0,2303.0,18.0,169.0,1058.0,1086.0,196.0,2303.0,47.0,31.0,66.0,15.0,31.9,1609.0,7721.0,3902.0,118.0,94.0,36.0,28.0,30.0,1892.0,222.0,33,2401.0,73.0,70.2,26.7,28,83.0,13.0,5,17.0,2,2.61,60.0,14.0,46.0,1.72,-0.57,57.0,15.5,41.5,1.56,-0.04,2.0,0.0,0.0,26.0,25.0,5.0,75.0,22.0,18.0,0.0,0.0,0.0,134.0,19.0,23.0,45.2
Fernandinho,br BRA,MF,33.0,26.4,1.0,30.0,7.0,23.3,1.14,0.27,0.03,0.14,23.2,0.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6,1799.0,2070.0,86.9,28891.0,8480.0,854.0,927.0,92.1,743.0,834.0,89.1,120.0,167.0,71.9,3.0,3.0,3.7,0.0,22.0,244.0,38.0,0.0,236.0,2070.0,2020.0,40.0,34.0,13.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,1799.0,10.0,25.0,72.0,2.73,61.0,0.0,1.0,2.0,4.0,4.0,10.0,0.38,8.0,0.0,0.0,0.0,1.0,1.0,57.0,43.0,19.0,30.0,8.0,26.0,47.0,55.3,21.0,28.0,4.0,24.0,41.0,98.0,70.0,0.0,2356.0,92.0,422.0,1570.0,386.0,24.0,2356.0,26.0,19.0,73.1,7.0,26.9,1610.0,8163.0,4720.0,58.0,66.0,2.0,25.0,13.0,1766.0,29.0,29,2377.0,82.0,69.5,26.4,27,86.0,21.0,2,34.0,0,2.66,70.0,15.0,55.0,2.08,0.62,61.2,18.4,42.8,1.62,0.17,5.0,0.0,0.0,40.0,26.0,2.0,4.0,41.0,43.0,0.0,1.0,0.0,163.0,75.0,64.0,54.0
İlkay Gündoğan,de GER,MF,27.0,23.7,6.0,43.0,11.0,25.6,1.81,0.46,0.14,0.55,19.5,2.0,0.0,0.0,4.1,4.1,0.09,1.9,1.9,1845.0,2108.0,87.5,28190.0,6355.0,970.0,1030.0,94.2,628.0,701.0,89.6,140.0,218.0,64.2,3.0,4.3,5.2,-1.3,43.0,184.0,46.0,5.0,205.0,2108.0,1974.0,123.0,37.0,17.0,9.0,98.0,5.0,81.0,34.0,31.0,0.0,1845.0,11.0,14.0,102.0,4.3,75.0,19.0,2.0,4.0,2.0,0.0,13.0,0.55,12.0,1.0,0.0,0.0,0.0,0.0,19.0,12.0,4.0,12.0,3.0,6.0,31.0,19.4,25.0,12.0,3.0,9.0,28.0,47.0,19.0,1.0,2295.0,38.0,217.0,1362.0,736.0,46.0,2295.0,24.0,19.0,79.2,5.0,20.8,1529.0,7777.0,4408.0,82.0,82.0,5.0,28.0,15.0,1815.0,91.0,31,2137.0,69.0,62.5,23.7,23,87.0,17.0,8,17.0,1,2.55,60.0,15.0,45.0,1.9,0.0,50.6,14.9,35.7,1.5,-0.17,3.0,0.0,0.0,13.0,23.0,0.0,98.0,28.0,12.0,0.0,0.0,0.0,154.0,24.0,24.0,50.0
Leroy Sané,de GER,FW,22.0,20.7,10.0,56.0,24.0,42.9,2.7,1.16,0.18,0.42,16.9,5.0,0.0,0.0,6.7,6.7,0.12,3.3,3.3,735.0,955.0,77.0,8493.0,1865.0,479.0,547.0,87.6,150.0,202.0,74.3,18.0,57.0,31.6,10.0,7.4,7.2,2.6,40.0,15.0,32.0,2.0,67.0,955.0,892.0,58.0,3.0,7.0,2.0,98.0,5.0,50.0,2.0,39.0,0.0,735.0,5.0,35.0,87.0,4.2,53.0,9.0,14.0,6.0,4.0,1.0,15.0,0.72,13.0,0.0,2.0,0.0,0.0,0.0,24.0,15.0,8.0,7.0,9.0,2.0,23.0,8.7,21.0,21.0,2.0,19.0,8.0,32.0,2.0,0.0,1228.0,7.0,62.0,309.0,878.0,176.0,1228.0,102.0,55.0,53.9,47.0,46.1,925.0,5221.0,2525.0,84.0,45.0,45.0,70.0,44.0,968.0,341.0,31,1867.0,60.0,54.6,20.7,21,79.0,11.0,10,20.0,6,2.48,54.0,14.0,40.0,1.93,0.07,49.8,14.2,35.7,1.72,0.34,1.0,0.0,0.0,9.0,14.0,18.0,98.0,8.0,15.0,1.0,0.0,0.0,91.0,10.0,23.0,30.3
