player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Ben Foster,eng ENG,GK,35.0,38.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,,28.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,612.0,1267.0,48.3,25467.0,23303.0,66.0,67.0,98.5,149.0,159.0,93.7,397.0,1020.0,38.9,0.0,0.2,0.1,-0.2,5.0,40.0,0.0,0.0,0.0,1267.0,749.0,501.0,193.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,612.0,17.0,4.0,9.0,0.24,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,2.0,4.0,34.0,3.0,1391.0,1076.0,1362.0,30.0,1.0,0.0,1391.0,0.0,0.0,,0.0,,603.0,4371.0,3249.0,0.0,0.0,0.0,1.0,0.0,423.0,0.0,38,3420.0,90.0,100.0,38.0,38,90.0,38.0,0,,0,1.32,52.0,59.0,-7.0,-0.18,,48.2,59.2,-11.0,-0.29,,1.0,0.0,0.0,2.0,9.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,64.0,13.0,0.0,100.0
Craig Cathcart,nir NIR,DF,29.0,34.4,3.0,13.0,5.0,38.5,0.38,0.15,0.23,0.6,10.2,0.0,0.0,0.0,1.5,1.5,0.12,1.5,1.5,1046.0,1288.0,81.2,19726.0,7449.0,387.0,432.0,89.6,499.0,559.0,89.3,131.0,248.0,52.8,0.0,0.2,0.4,-0.2,1.0,56.0,4.0,0.0,71.0,1288.0,1263.0,23.0,20.0,0.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,1046.0,2.0,8.0,7.0,0.2,3.0,0.0,0.0,2.0,2.0,0.0,3.0,0.09,1.0,0.0,0.0,1.0,1.0,0.0,50.0,31.0,36.0,11.0,3.0,21.0,37.0,56.8,16.0,42.0,30.0,12.0,38.0,88.0,184.0,4.0,1648.0,218.0,811.0,789.0,52.0,21.0,1648.0,3.0,2.0,66.7,1.0,33.3,845.0,3347.0,1674.0,6.0,4.0,0.0,9.0,4.0,870.0,2.0,36,3096.0,86.0,90.5,34.4,35,88.0,31.0,1,8.0,1,1.36,49.0,54.0,-5.0,-0.15,0.41,44.4,52.9,-8.5,-0.25,0.44,2.0,0.0,0.0,16.0,8.0,0.0,3.0,38.0,31.0,0.0,0.0,2.0,160.0,86.0,79.0,52.1
Abdoulaye Doucouré,ml MLI,MF,25.0,34.0,5.0,52.0,16.0,30.8,1.53,0.47,0.1,0.31,17.6,0.0,0.0,0.0,6.2,6.2,0.13,-1.2,-1.2,1622.0,1963.0,82.6,24439.0,6590.0,860.0,990.0,86.9,568.0,647.0,87.8,109.0,160.0,68.1,6.0,4.7,2.7,1.3,38.0,135.0,33.0,2.0,202.0,1963.0,1919.0,35.0,31.0,5.0,13.0,11.0,2.0,1.0,0.0,0.0,0.0,1622.0,9.0,41.0,83.0,2.44,72.0,2.0,4.0,5.0,0.0,0.0,9.0,0.26,5.0,1.0,1.0,2.0,0.0,0.0,71.0,38.0,27.0,32.0,12.0,19.0,57.0,33.3,38.0,31.0,8.0,23.0,34.0,105.0,55.0,5.0,2320.0,62.0,432.0,1390.0,521.0,78.0,2320.0,55.0,32.0,58.2,23.0,41.8,1448.0,6612.0,3319.0,58.0,49.0,12.0,59.0,41.0,1556.0,83.0,35,3062.0,87.0,89.5,34.0,34,89.0,33.0,1,36.0,0,1.37,51.0,56.0,-5.0,-0.15,0.36,45.3,52.8,-7.5,-0.22,0.64,7.0,0.0,0.0,36.0,13.0,2.0,11.0,34.0,38.0,0.0,0.0,1.0,257.0,40.0,36.0,52.6
Étienne Capoue,fr FRA,MF,30.0,32.7,1.0,18.0,4.0,22.2,0.55,0.12,0.06,0.25,26.7,5.0,0.0,0.0,1.4,1.4,0.08,-0.4,-0.4,1480.0,1764.0,83.9,25515.0,7490.0,719.0,804.0,89.4,552.0,645.0,85.6,163.0,238.0,68.5,3.0,1.0,1.0,2.0,10.0,133.0,14.0,1.0,170.0,1764.0,1702.0,57.0,46.0,5.0,37.0,5.0,5.0,1.0,0.0,0.0,0.0,1480.0,5.0,15.0,42.0,1.28,32.0,0.0,2.0,2.0,4.0,2.0,7.0,0.21,5.0,0.0,1.0,0.0,0.0,1.0,91.0,56.0,36.0,48.0,7.0,33.0,87.0,37.9,54.0,50.0,13.0,37.0,85.0,176.0,96.0,1.0,2155.0,129.0,515.0,1446.0,216.0,16.0,2155.0,42.0,32.0,76.2,10.0,23.8,1178.0,4558.0,2184.0,17.0,27.0,1.0,18.0,20.0,1259.0,11.0,33,2944.0,89.0,86.1,32.7,33,89.0,30.0,0,,0,1.36,44.0,48.0,-4.0,-0.12,0.44,39.9,49.3,-9.4,-0.29,0.0,14.0,1.0,0.0,47.0,58.0,0.0,5.0,85.0,56.0,0.0,0.0,0.0,256.0,63.0,49.0,56.3
Roberto Pereyra,ar ARG,MF,27.0,31.3,6.0,57.0,21.0,36.8,1.82,0.67,0.11,0.29,17.5,6.0,0.0,0.0,5.4,5.4,0.09,0.6,0.6,962.0,1192.0,80.7,13806.0,3701.0,557.0,620.0,89.8,272.0,336.0,81.0,67.0,92.0,72.8,1.0,3.2,3.0,-2.2,34.0,77.0,35.0,4.0,117.0,1192.0,1098.0,85.0,24.0,3.0,9.0,40.0,22.0,17.0,5.0,4.0,0.0,962.0,9.0,33.0,84.0,2.69,62.0,5.0,7.0,3.0,7.0,0.0,8.0,0.26,4.0,1.0,2.0,0.0,1.0,0.0,21.0,12.0,10.0,10.0,1.0,7.0,24.0,29.2,17.0,26.0,0.0,26.0,24.0,45.0,27.0,2.0,1555.0,33.0,240.0,651.0,687.0,110.0,1555.0,88.0,41.0,46.6,47.0,53.4,1056.0,6320.0,3080.0,101.0,53.0,35.0,82.0,67.0,1066.0,188.0,33,2815.0,85.0,82.3,31.3,33,85.0,23.0,0,,0,1.3,42.0,53.0,-11.0,-0.35,-0.95,42.1,47.9,-5.8,-0.19,0.58,3.0,0.0,0.0,27.0,36.0,3.0,40.0,24.0,12.0,1.0,0.0,0.0,185.0,4.0,19.0,17.4
Will Hughes,eng ENG,MF,23.0,26.9,2.0,31.0,7.0,22.6,1.15,0.26,0.06,0.29,17.2,0.0,0.0,0.0,2.5,2.5,0.08,-0.5,-0.5,736.0,991.0,74.3,8975.0,3068.0,466.0,555.0,84.0,158.0,227.0,69.6,27.0,50.0,54.0,4.0,2.6,2.3,1.4,28.0,70.0,24.0,2.0,102.0,991.0,969.0,12.0,3.0,2.0,2.0,21.0,0.0,3.0,0.0,0.0,0.0,736.0,10.0,34.0,67.0,2.49,47.0,1.0,1.0,5.0,11.0,2.0,7.0,0.26,5.0,0.0,0.0,0.0,2.0,0.0,74.0,43.0,27.0,35.0,12.0,25.0,59.0,42.4,34.0,55.0,6.0,49.0,25.0,99.0,30.0,0.0,1377.0,44.0,230.0,652.0,509.0,79.0,1377.0,42.0,27.0,64.3,15.0,35.7,837.0,3627.0,1788.0,50.0,44.0,11.0,59.0,52.0,892.0,134.0,32,2418.0,76.0,70.7,26.9,31,77.0,12.0,1,19.0,0,1.31,32.0,39.0,-7.0,-0.26,-0.26,32.5,38.1,-5.6,-0.21,0.27,5.0,0.0,0.0,54.0,71.0,0.0,21.0,25.0,43.0,0.0,0.0,0.0,160.0,22.0,37.0,37.3
Troy Deeney,eng ENG,FW,30.0,28.3,9.0,63.0,29.0,46.0,2.23,1.03,0.13,0.28,14.8,0.0,1.0,1.0,9.5,8.7,0.14,-0.5,-0.7,508.0,858.0,59.2,6179.0,2233.0,313.0,456.0,68.6,116.0,211.0,55.0,19.0,52.0,36.5,5.0,4.6,2.7,0.4,43.0,56.0,37.0,2.0,87.0,858.0,823.0,26.0,0.0,6.0,4.0,16.0,6.0,1.0,0.0,0.0,0.0,508.0,9.0,26.0,76.0,2.69,60.0,0.0,1.0,8.0,6.0,1.0,7.0,0.25,6.0,0.0,0.0,1.0,0.0,0.0,24.0,14.0,8.0,10.0,6.0,7.0,32.0,21.9,25.0,22.0,4.0,18.0,7.0,31.0,29.0,0.0,1165.0,34.0,108.0,561.0,502.0,133.0,1164.0,20.0,6.0,30.0,14.0,70.0,544.0,1821.0,760.0,23.0,19.0,12.0,61.0,35.0,850.0,161.0,32,2545.0,80.0,74.4,28.3,28,86.0,21.0,4,36.0,0,1.25,42.0,44.0,-2.0,-0.07,0.44,35.5,43.8,-8.3,-0.29,-0.03,4.0,1.0,0.0,42.0,36.0,13.0,16.0,7.0,14.0,0.0,0.0,0.0,91.0,202.0,225.0,47.3
José Holebas,gr GRE,DF,34.0,26.6,3.0,17.0,5.0,29.4,0.64,0.19,0.18,0.6,23.4,4.0,0.0,0.0,1.0,1.0,0.06,2.0,2.0,810.0,1335.0,60.7,13915.0,6383.0,404.0,480.0,84.2,275.0,451.0,61.0,101.0,313.0,32.3,6.0,4.1,3.5,1.9,38.0,47.0,15.0,9.0,77.0,1335.0,850.0,477.0,77.0,0.0,8.0,209.0,285.0,115.0,62.0,43.0,0.0,810.0,8.0,34.0,61.0,2.29,23.0,35.0,2.0,0.0,0.0,1.0,9.0,0.34,3.0,3.0,2.0,0.0,0.0,1.0,68.0,40.0,44.0,20.0,4.0,28.0,53.0,52.8,25.0,27.0,8.0,19.0,21.0,89.0,97.0,0.0,1654.0,106.0,482.0,650.0,541.0,23.0,1654.0,45.0,22.0,48.9,23.0,51.1,574.0,3068.0,1502.0,44.0,30.0,12.0,28.0,24.0,600.0,58.0,28,2393.0,85.0,70.0,26.6,27,88.0,25.0,1,12.0,3,1.32,37.0,39.0,-2.0,-0.08,0.36,36.0,39.6,-3.6,-0.14,0.51,12.0,1.0,0.0,34.0,14.0,2.0,209.0,21.0,40.0,0.0,0.0,0.0,134.0,61.0,40.0,60.4
Gerard Deulofeu,es ESP,"FW,MF",24.0,23.0,10.0,60.0,22.0,36.7,2.61,0.96,0.17,0.45,16.9,6.0,0.0,0.0,8.0,8.0,0.13,2.0,2.0,568.0,793.0,71.6,7572.0,1800.0,347.0,419.0,82.8,160.0,220.0,72.7,18.0,48.0,37.5,5.0,4.1,4.3,0.9,30.0,39.0,37.0,3.0,67.0,793.0,725.0,63.0,14.0,8.0,3.0,62.0,8.0,9.0,4.0,1.0,0.0,568.0,5.0,37.0,87.0,3.79,64.0,3.0,16.0,1.0,1.0,2.0,17.0,0.74,7.0,2.0,8.0,0.0,0.0,0.0,11.0,6.0,5.0,3.0,3.0,4.0,26.0,15.4,22.0,16.0,0.0,16.0,14.0,25.0,3.0,0.0,1072.0,4.0,60.0,405.0,626.0,127.0,1072.0,89.0,47.0,52.8,42.0,47.2,755.0,5413.0,2665.0,100.0,70.0,54.0,67.0,60.0,777.0,193.0,30,2066.0,69.0,60.4,23.0,26,76.0,6.0,4,24.0,0,1.23,34.0,29.0,5.0,0.22,1.02,29.2,32.4,-3.1,-0.14,0.38,3.0,0.0,0.0,14.0,13.0,34.0,62.0,14.0,6.0,0.0,0.0,0.0,71.0,3.0,18.0,14.3
Kiko Femenía,es ESP,DF,27.0,22.8,1.0,6.0,2.0,33.3,0.26,0.09,0.17,0.5,24.2,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6,945.0,1178.0,80.2,13597.0,5195.0,569.0,634.0,89.7,292.0,378.0,77.2,51.0,102.0,50.0,1.0,1.6,2.1,-0.6,13.0,52.0,26.0,12.0,106.0,1178.0,966.0,209.0,16.0,0.0,3.0,64.0,186.0,7.0,1.0,5.0,0.0,945.0,3.0,21.0,35.0,1.54,28.0,4.0,1.0,0.0,2.0,0.0,4.0,0.18,4.0,0.0,0.0,0.0,0.0,0.0,48.0,30.0,34.0,12.0,2.0,24.0,51.0,47.1,27.0,24.0,6.0,18.0,36.0,84.0,68.0,0.0,1404.0,89.0,388.0,634.0,398.0,19.0,1404.0,22.0,13.0,59.1,9.0,40.9,769.0,3394.0,1737.0,41.0,32.0,1.0,20.0,11.0,774.0,84.0,29,2049.0,71.0,59.9,22.8,22,87.0,19.0,7,19.0,2,1.14,30.0,40.0,-10.0,-0.44,-0.64,31.4,38.3,-6.9,-0.3,-0.03,1.0,0.0,0.0,12.0,14.0,3.0,64.0,36.0,30.0,0.0,1.0,0.0,128.0,12.0,12.0,50.0
