player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,playing_time_mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Jack Grealish,eng ENG,"FW,MF",23.0,35.9,8.0,72.0,23.0,31.9,2.0,0.64,0.11,0.35,18.5,1.0,0.0,1.0,6.8,6.0,0.08,1.2,2.0,1219.0,1546.0,78.8,20682.0,5789.0,589.0,662.0,89.0,449.0,530.0,84.7,134.0,229.0,58.5,6.0,7.4,6.5,-1.4,91.0,102.0,68.0,7.0,197.0,1546.0,1329.0,212.0,80.0,2.0,17.0,141.0,29.0,77.0,51.0,5.0,5.0,1219.0,5.0,43.0,198.0,5.51,136.0,20.0,14.0,2.0,25.0,1.0,18.0,0.5,12.0,1.0,2.0,0.0,3.0,0.0,29.0,19.0,12.0,12.0,5.0,13.0,34.0,38.2,21.0,33.0,12.0,21.0,22.0,51.0,22.0,1.0,1933.0,43.0,285.0,753.0,939.0,130.0,1932.0,117.0,73.0,62.4,44.0,37.6,1381.0,11836.0,6064.0,212.0,127.0,72.0,71.0,59.0,1438.0,209.0,36,3233.0,90.0,94.5,35.9,36,90.0,35.0,0,,0,0.97,39.0,63.0,-24.0,-0.67,0.29,42.6,62.7,-20.1,-0.56,1.07,8.0,0.0,0.0,34.0,167.0,4.0,141.0,22.0,19.0,0.0,0.0,0.0,188.0,20.0,26.0,43.5
Tyrone Mings,eng ENG,DF,26.0,32.2,2.0,8.0,3.0,37.5,0.25,0.09,0.25,0.67,9.9,0.0,0.0,0.0,0.8,0.8,0.1,1.2,1.2,1085.0,1400.0,77.5,23447.0,8852.0,290.0,329.0,88.1,624.0,680.0,91.8,158.0,355.0,44.5,2.0,0.7,0.4,1.3,7.0,57.0,4.0,1.0,60.0,1400.0,1342.0,55.0,50.0,0.0,20.0,7.0,5.0,0.0,0.0,0.0,0.0,1085.0,3.0,13.0,17.0,0.53,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,11.0,3.0,1.0,10.0,13.0,76.9,3.0,56.0,48.0,8.0,30.0,45.0,190.0,4.0,1754.0,357.0,1094.0,627.0,55.0,23.0,1754.0,12.0,12.0,100.0,0.0,0.0,987.0,5906.0,2717.0,12.0,6.0,0.0,10.0,5.0,1007.0,11.0,33,2902.0,88.0,84.9,32.2,33,88.0,32.0,0,,0,0.97,36.0,53.0,-17.0,-0.53,1.04,38.3,53.2,-14.9,-0.46,1.03,7.0,0.0,0.0,20.0,11.0,2.0,7.0,30.0,11.0,0.0,1.0,0.0,201.0,67.0,44.0,60.4
Douglas Luiz,br BRA,MF,21.0,29.0,3.0,38.0,12.0,31.6,1.31,0.41,0.08,0.25,24.0,3.0,0.0,0.0,2.6,2.6,0.07,0.4,0.4,1010.0,1243.0,81.3,19047.0,5278.0,400.0,460.0,87.0,454.0,536.0,84.7,131.0,191.0,68.6,2.0,1.7,1.6,0.3,17.0,106.0,17.0,5.0,143.0,1243.0,1173.0,66.0,40.0,4.0,20.0,24.0,7.0,3.0,0.0,1.0,0.0,1010.0,4.0,11.0,54.0,1.86,44.0,1.0,3.0,2.0,3.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,46.0,24.0,25.0,17.0,4.0,19.0,65.0,29.2,46.0,42.0,15.0,27.0,36.0,82.0,54.0,1.0,1551.0,104.0,405.0,882.0,287.0,29.0,1551.0,45.0,35.0,77.8,10.0,22.2,821.0,4977.0,2605.0,35.0,23.0,2.0,38.0,22.0,922.0,46.0,36,2612.0,73.0,76.4,29.0,28,87.0,24.0,8,20.0,1,0.94,29.0,51.0,-22.0,-0.76,-0.31,32.0,52.8,-20.8,-0.72,-0.41,8.0,0.0,0.0,51.0,36.0,0.0,24.0,36.0,24.0,0.0,1.0,0.0,205.0,30.0,35.0,46.2
John McGinn,sct SCO,MF,24.0,25.7,3.0,55.0,20.0,36.4,2.14,0.78,0.05,0.15,21.3,1.0,0.0,0.0,3.9,3.9,0.07,-0.9,-0.9,600.0,794.0,75.6,12378.0,3698.0,219.0,258.0,84.9,252.0,305.0,82.6,112.0,172.0,65.1,3.0,2.5,2.4,0.5,37.0,80.0,31.0,7.0,113.0,794.0,701.0,84.0,28.0,3.0,26.0,66.0,4.0,24.0,20.0,0.0,0.0,600.0,9.0,22.0,92.0,3.58,68.0,9.0,8.0,2.0,3.0,2.0,9.0,0.35,6.0,2.0,0.0,0.0,1.0,0.0,53.0,35.0,19.0,23.0,11.0,18.0,62.0,29.0,44.0,25.0,1.0,24.0,25.0,78.0,18.0,0.0,1099.0,40.0,194.0,507.0,424.0,62.0,1099.0,72.0,53.0,73.6,19.0,26.4,637.0,3834.0,1749.0,38.0,28.0,9.0,41.0,49.0,676.0,84.0,28,2312.0,83.0,67.6,25.7,27,84.0,21.0,1,31.0,0,0.89,29.0,41.0,-12.0,-0.47,0.67,32.3,41.6,-9.3,-0.36,0.79,3.0,0.0,0.0,37.0,66.0,0.0,66.0,25.0,35.0,0.0,0.0,0.0,151.0,19.0,30.0,38.8
Matt Targett,eng ENG,"DF,MF",23.0,25.5,1.0,7.0,4.0,57.1,0.27,0.16,0.14,0.25,16.5,1.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,883.0,1229.0,71.8,14497.0,6305.0,485.0,543.0,89.3,305.0,421.0,72.4,75.0,193.0,38.9,2.0,2.6,2.8,-0.6,26.0,76.0,27.0,11.0,115.0,1229.0,988.0,236.0,30.0,3.0,12.0,81.0,196.0,10.0,9.0,0.0,0.0,883.0,5.0,25.0,60.0,2.36,48.0,8.0,0.0,1.0,1.0,2.0,5.0,0.2,4.0,0.0,0.0,1.0,0.0,0.0,52.0,29.0,37.0,11.0,4.0,22.0,53.0,41.5,31.0,28.0,8.0,20.0,56.0,108.0,82.0,0.0,1508.0,117.0,497.0,635.0,392.0,26.0,1508.0,21.0,8.0,38.1,13.0,61.9,641.0,2549.0,1376.0,22.0,29.0,5.0,16.0,14.0,770.0,81.0,28,2291.0,82.0,67.0,25.5,27,83.0,22.0,1,54.0,2,1.0,30.0,40.0,-10.0,-0.39,0.88,31.7,45.3,-13.6,-0.54,0.25,4.0,0.0,0.0,27.0,17.0,0.0,81.0,56.0,29.0,0.0,0.0,0.0,122.0,36.0,37.0,49.3
Anwar El Ghazi,nl NED,"FW,MF",24.0,22.8,4.0,51.0,19.0,37.3,2.24,0.83,0.06,0.16,18.9,5.0,1.0,1.0,6.2,5.4,0.11,-2.2,-2.4,390.0,607.0,64.3,5945.0,1595.0,234.0,294.0,79.6,93.0,160.0,58.1,39.0,80.0,48.8,4.0,2.7,1.9,1.3,30.0,20.0,21.0,14.0,47.0,607.0,564.0,39.0,3.0,1.0,9.0,107.0,17.0,18.0,3.0,7.0,2.0,390.0,4.0,35.0,58.0,2.55,38.0,7.0,5.0,5.0,3.0,0.0,6.0,0.26,4.0,0.0,2.0,0.0,0.0,0.0,20.0,11.0,12.0,5.0,3.0,8.0,26.0,30.8,18.0,10.0,1.0,9.0,13.0,33.0,16.0,1.0,840.0,21.0,111.0,276.0,466.0,64.0,839.0,52.0,29.0,55.8,23.0,44.2,501.0,3267.0,1633.0,65.0,57.0,8.0,54.0,35.0,604.0,155.0,34,2051.0,60.0,60.0,22.8,26,74.0,9.0,8,17.0,3,0.85,26.0,48.0,-22.0,-0.97,-0.7,29.8,42.3,-12.4,-0.55,0.18,3.0,0.0,0.0,20.0,17.0,12.0,107.0,13.0,11.0,0.0,0.0,0.0,75.0,31.0,57.0,35.2
Ezri Konsa,eng ENG,DF,21.0,22.7,1.0,11.0,4.0,36.4,0.49,0.18,0.09,0.25,13.0,0.0,0.0,0.0,1.5,1.5,0.13,-0.5,-0.5,677.0,877.0,77.2,12291.0,4688.0,280.0,320.0,87.5,331.0,400.0,82.8,58.0,129.0,45.0,2.0,1.0,0.3,1.0,11.0,42.0,5.0,5.0,53.0,877.0,769.0,107.0,17.0,0.0,3.0,13.0,90.0,0.0,0.0,0.0,0.0,677.0,1.0,8.0,15.0,0.66,9.0,1.0,1.0,2.0,2.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,18.0,9.0,12.0,6.0,0.0,7.0,16.0,43.8,9.0,34.0,24.0,10.0,25.0,43.0,70.0,2.0,1094.0,116.0,489.0,517.0,100.0,21.0,1094.0,10.0,7.0,70.0,3.0,30.0,523.0,2275.0,1240.0,8.0,9.0,0.0,8.0,5.0,585.0,13.0,25,2039.0,82.0,59.6,22.7,24,84.0,19.0,1,16.0,13,1.08,23.0,39.0,-16.0,-0.71,-0.05,24.1,39.6,-15.5,-0.69,-0.17,3.0,0.0,0.0,17.0,32.0,1.0,13.0,25.0,9.0,0.0,1.0,0.0,100.0,47.0,45.0,51.1
Frederic Guilbert,fr FRA,"DF,MF",24.0,22.7,0.0,8.0,3.0,37.5,0.35,0.13,0.0,0.0,21.8,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,679.0,1046.0,64.9,11643.0,4660.0,355.0,445.0,79.8,242.0,365.0,66.3,68.0,169.0,40.2,2.0,1.5,0.9,0.5,13.0,66.0,21.0,14.0,81.0,1046.0,824.0,216.0,15.0,0.0,8.0,91.0,200.0,1.0,0.0,0.0,0.0,679.0,6.0,35.0,39.0,1.72,33.0,5.0,0.0,1.0,0.0,0.0,5.0,0.22,4.0,1.0,0.0,0.0,0.0,0.0,74.0,43.0,48.0,20.0,6.0,36.0,67.0,53.7,31.0,33.0,10.0,23.0,49.0,123.0,74.0,2.0,1385.0,105.0,443.0,593.0,361.0,10.0,1385.0,48.0,23.0,47.9,25.0,52.1,518.0,3068.0,1762.0,56.0,42.0,1.0,30.0,14.0,636.0,96.0,25,2041.0,82.0,59.7,22.7,22,88.0,19.0,3,35.0,6,1.04,29.0,36.0,-7.0,-0.31,0.93,27.8,43.3,-15.4,-0.68,-0.15,7.0,0.0,0.0,36.0,21.0,2.0,91.0,49.0,43.0,0.0,0.0,0.0,104.0,46.0,68.0,40.4
Wesley Moraes,br BRA,FW,22.0,19.8,5.0,34.0,17.0,50.0,1.72,0.86,0.15,0.29,12.6,0.0,0.0,1.0,6.4,5.5,0.16,-1.4,-0.5,265.0,379.0,69.9,3721.0,584.0,164.0,217.0,75.6,66.0,89.0,74.2,18.0,26.0,69.2,1.0,1.0,0.7,0.0,11.0,17.0,1.0,0.0,21.0,379.0,373.0,4.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,265.0,2.0,11.0,32.0,1.62,25.0,0.0,2.0,4.0,1.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,3.0,8.0,4.0,0.0,5.0,0.0,5.0,10.0,2.0,8.0,4.0,19.0,23.0,0.0,577.0,29.0,46.0,264.0,270.0,79.0,576.0,24.0,12.0,50.0,12.0,50.0,303.0,1385.0,341.0,13.0,10.0,6.0,58.0,18.0,441.0,89.0,21,1782.0,85.0,52.1,19.8,21,85.0,13.0,0,,0,1.0,26.0,31.0,-5.0,-0.25,0.9,23.9,38.4,-14.5,-0.73,-0.24,3.0,0.0,0.0,43.0,14.0,14.0,7.0,4.0,8.0,0.0,0.0,0.0,26.0,69.0,88.0,43.9
Trézéguet,eg EGY,"FW,MF",24.0,21.7,6.0,50.0,17.0,34.0,2.31,0.78,0.12,0.35,17.4,4.0,0.0,0.0,4.7,4.7,0.09,1.3,1.3,291.0,441.0,66.0,4192.0,1096.0,174.0,210.0,82.9,80.0,137.0,58.4,21.0,46.0,45.7,1.0,1.0,1.2,0.0,21.0,19.0,13.0,7.0,37.0,441.0,416.0,23.0,3.0,0.0,1.0,67.0,8.0,11.0,4.0,4.0,0.0,291.0,2.0,17.0,55.0,2.54,32.0,4.0,7.0,7.0,5.0,0.0,4.0,0.18,1.0,0.0,1.0,0.0,2.0,0.0,38.0,16.0,18.0,15.0,5.0,9.0,44.0,20.5,35.0,23.0,2.0,21.0,25.0,63.0,18.0,0.0,762.0,21.0,128.0,267.0,384.0,74.0,762.0,64.0,30.0,46.9,34.0,53.1,477.0,3260.0,1733.0,59.0,46.0,18.0,71.0,20.0,495.0,170.0,34,1950.0,57.0,57.0,21.7,20,78.0,5.0,14,27.0,3,0.91,22.0,28.0,-6.0,-0.28,0.95,20.6,37.7,-17.1,-0.79,-0.39,4.0,1.0,1.0,35.0,32.0,6.0,67.0,25.0,16.0,1.0,0.0,0.0,79.0,28.0,44.0,38.9
