player,nation,pos,age,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg,expected_npxg,expected_npxg/sh,expected_g-xg,expected_np:g-xg,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,mp,playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+/-,team_success_(xg)_xg+/-90,team_success_(xg)_on-off,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%
Aaron Ramsdale,eng ENG,GK,21.0,37.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,675.0,1136.0,59.4,20764.0,15997.0,124.0,128.0,96.9,308.0,310.0,99.4,242.0,689.0,35.1,1.0,0.7,0.1,0.3,2.0,20.0,1.0,1.0,0.0,1136.0,707.0,424.0,136.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,675.0,5.0,2.0,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,1.0,1246.0,1088.0,1232.0,13.0,1.0,0.0,1246.0,0.0,0.0,,0.0,,662.0,4021.0,2641.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,37,3330.0,90.0,97.4,37.0,37,90.0,37.0,0,,0,0.92,40.0,62.0,-22.0,-0.59,2.41,44.4,60.2,-15.8,-0.43,1.23,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,17.0,10.0,4.0,71.4
Callum Wilson,eng ENG,FW,27.0,32.3,8.0,55.0,21.0,38.2,1.7,0.65,0.15,0.38,12.4,0.0,0.0,0.0,9.9,9.9,0.18,-1.9,-1.9,334.0,542.0,61.6,4323.0,951.0,227.0,308.0,73.7,71.0,122.0,58.2,15.0,25.0,60.0,1.0,2.8,2.0,-1.8,28.0,28.0,14.0,1.0,52.0,542.0,514.0,25.0,0.0,3.0,3.0,27.0,2.0,0.0,0.0,0.0,0.0,334.0,3.0,32.0,60.0,1.86,42.0,0.0,4.0,6.0,8.0,0.0,9.0,0.28,3.0,0.0,2.0,1.0,3.0,0.0,12.0,9.0,3.0,6.0,3.0,2.0,17.0,11.8,15.0,16.0,2.0,14.0,4.0,16.0,16.0,0.0,855.0,23.0,73.0,314.0,475.0,143.0,855.0,45.0,24.0,53.3,21.0,46.7,565.0,2473.0,1014.0,45.0,26.0,23.0,107.0,51.0,634.0,197.0,35,2908.0,83.0,85.0,32.3,32,88.0,27.0,3,32.0,0,0.89,36.0,53.0,-17.0,-0.53,0.88,37.5,54.5,-17.1,-0.53,-0.46,10.0,0.0,0.0,55.0,40.0,32.0,27.0,4.0,9.0,2.0,0.0,0.0,70.0,65.0,144.0,31.1
Jefferson Lerma,co COL,MF,24.0,30.0,1.0,30.0,2.0,6.7,1.0,0.07,0.03,0.5,24.3,0.0,0.0,0.0,1.2,1.2,0.04,-0.2,-0.2,1104.0,1415.0,78.0,19745.0,6712.0,498.0,591.0,84.3,445.0,528.0,84.3,132.0,220.0,60.0,2.0,1.4,1.4,0.6,12.0,136.0,15.0,0.0,137.0,1415.0,1376.0,33.0,28.0,0.0,16.0,6.0,5.0,0.0,0.0,0.0,0.0,1104.0,6.0,25.0,46.0,1.53,36.0,0.0,2.0,2.0,5.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,54.0,32.0,17.0,31.0,6.0,22.0,48.0,45.8,26.0,28.0,12.0,16.0,57.0,111.0,54.0,1.0,1732.0,115.0,497.0,1011.0,241.0,14.0,1732.0,37.0,26.0,70.3,11.0,29.7,1007.0,4041.0,1618.0,16.0,17.0,0.0,29.0,18.0,955.0,13.0,33,2703.0,82.0,79.0,30.0,31,85.0,24.0,2,30.0,1,1.0,34.0,48.0,-14.0,-0.47,0.91,34.6,46.6,-12.0,-0.4,0.29,13.0,1.0,1.0,42.0,37.0,1.0,6.0,57.0,32.0,0.0,0.0,0.0,270.0,56.0,49.0,53.3
Philip Billing,dk DEN,MF,23.0,28.1,1.0,33.0,8.0,24.2,1.17,0.28,0.03,0.13,20.7,1.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,879.0,1216.0,72.3,14318.0,3856.0,452.0,594.0,76.1,317.0,397.0,79.8,79.0,139.0,56.8,1.0,1.7,1.9,-0.7,15.0,70.0,18.0,1.0,100.0,1216.0,1149.0,62.0,19.0,1.0,10.0,14.0,43.0,0.0,0.0,0.0,0.0,879.0,5.0,22.0,50.0,1.78,38.0,3.0,3.0,3.0,2.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,72.0,46.0,30.0,37.0,5.0,17.0,65.0,26.2,48.0,59.0,16.0,43.0,66.0,138.0,97.0,1.0,1673.0,131.0,462.0,839.0,395.0,50.0,1673.0,35.0,22.0,62.9,13.0,37.1,873.0,4050.0,1646.0,29.0,30.0,4.0,51.0,28.0,905.0,59.0,34,2530.0,74.0,74.0,28.1,29,82.0,19.0,5,30.0,1,0.97,31.0,41.0,-10.0,-0.36,1.16,33.4,45.3,-11.9,-0.42,0.14,8.0,0.0,0.0,38.0,23.0,2.0,14.0,66.0,46.0,0.0,0.0,0.0,162.0,111.0,76.0,59.4
Nathan Aké,nl NED,DF,24.0,27.8,2.0,25.0,7.0,28.0,0.9,0.25,0.08,0.29,10.3,0.0,0.0,0.0,3.0,3.0,0.12,-1.0,-1.0,1079.0,1238.0,87.2,19315.0,6988.0,435.0,472.0,92.2,554.0,608.0,91.1,82.0,132.0,62.1,2.0,2.2,0.3,-0.2,7.0,58.0,7.0,0.0,81.0,1238.0,1183.0,52.0,32.0,1.0,3.0,5.0,20.0,0.0,0.0,0.0,0.0,1079.0,3.0,8.0,14.0,0.5,8.0,0.0,1.0,4.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,31.0,21.0,23.0,8.0,0.0,14.0,23.0,60.9,9.0,40.0,29.0,11.0,36.0,67.0,152.0,0.0,1557.0,238.0,888.0,604.0,77.0,36.0,1557.0,3.0,3.0,100.0,0.0,0.0,958.0,4935.0,3112.0,12.0,5.0,0.0,9.0,5.0,922.0,7.0,29,2503.0,86.0,73.2,27.8,29,86.0,27.0,0,,1,0.93,30.0,46.0,-16.0,-0.58,0.31,32.7,44.9,-12.2,-0.44,0.08,2.0,0.0,0.0,9.0,13.0,3.0,5.0,36.0,21.0,0.0,0.0,0.0,140.0,60.0,61.0,49.6
Steve Cook,eng ENG,DF,28.0,27.0,1.0,11.0,2.0,18.2,0.41,0.07,0.09,0.5,12.1,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,1016.0,1296.0,78.4,20536.0,7661.0,279.0,334.0,83.5,613.0,705.0,87.0,118.0,222.0,53.2,0.0,0.5,0.4,-0.5,4.0,46.0,2.0,0.0,73.0,1296.0,1234.0,57.0,38.0,0.0,7.0,1.0,19.0,0.0,0.0,0.0,0.0,1016.0,5.0,9.0,10.0,0.37,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,18.0,4.0,0.0,8.0,20.0,40.0,12.0,32.0,23.0,9.0,44.0,66.0,153.0,1.0,1593.0,230.0,882.0,658.0,65.0,23.0,1593.0,3.0,3.0,100.0,0.0,0.0,858.0,4077.0,2154.0,7.0,4.0,0.0,4.0,3.0,905.0,5.0,29,2428.0,84.0,71.0,27.0,28,85.0,25.0,1,51.0,3,0.83,30.0,47.0,-17.0,-0.63,0.1,32.7,44.4,-11.7,-0.43,0.09,6.0,1.0,0.0,16.0,15.0,1.0,1.0,44.0,11.0,0.0,2.0,0.0,112.0,113.0,65.0,63.5
Diego Rico,es ESP,DF,26.0,25.9,0.0,11.0,3.0,27.3,0.42,0.12,0.0,0.0,26.3,1.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,993.0,1516.0,65.5,16826.0,9108.0,496.0,583.0,85.1,370.0,555.0,66.7,104.0,266.0,39.1,4.0,3.2,3.3,0.8,33.0,96.0,28.0,14.0,145.0,1516.0,1127.0,381.0,54.0,2.0,3.0,173.0,250.0,77.0,44.0,26.0,0.0,993.0,8.0,44.0,60.0,2.32,29.0,29.0,0.0,1.0,1.0,0.0,7.0,0.27,4.0,3.0,0.0,0.0,0.0,0.0,61.0,39.0,32.0,24.0,5.0,29.0,59.0,49.2,30.0,31.0,7.0,24.0,84.0,145.0,91.0,0.0,1866.0,101.0,646.0,761.0,470.0,10.0,1866.0,24.0,13.0,54.2,11.0,45.8,830.0,3586.0,1953.0,42.0,37.0,1.0,26.0,21.0,835.0,81.0,27,2332.0,86.0,68.2,25.9,27,86.0,23.0,0,,10,1.07,31.0,38.0,-7.0,-0.27,1.22,30.2,39.2,-9.0,-0.35,0.35,6.0,0.0,0.0,18.0,22.0,2.0,173.0,84.0,39.0,0.0,0.0,0.0,168.0,33.0,28.0,54.1
Adam Smith,eng ENG,DF,28.0,22.8,0.0,4.0,1.0,25.0,0.18,0.04,0.0,0.0,19.5,0.0,0.0,0.0,0.8,0.8,0.19,-0.8,-0.8,827.0,1044.0,79.2,11632.0,4435.0,522.0,574.0,90.9,247.0,310.0,79.7,36.0,93.0,38.7,1.0,1.1,0.6,-0.1,10.0,60.0,7.0,3.0,93.0,1044.0,847.0,195.0,21.0,0.0,2.0,28.0,173.0,1.0,0.0,0.0,0.0,827.0,2.0,32.0,31.0,1.36,28.0,0.0,1.0,0.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,47.0,32.0,29.0,16.0,2.0,23.0,50.0,46.0,27.0,27.0,6.0,21.0,25.0,72.0,64.0,1.0,1321.0,69.0,395.0,610.0,329.0,23.0,1321.0,51.0,24.0,47.1,27.0,52.9,732.0,4669.0,2653.0,75.0,52.0,6.0,27.0,14.0,728.0,69.0,24,2055.0,86.0,60.1,22.8,24,86.0,19.0,0,,0,0.83,23.0,40.0,-17.0,-0.74,-0.22,27.6,36.7,-9.1,-0.4,0.15,7.0,0.0,0.0,25.0,40.0,2.0,28.0,25.0,32.0,0.0,2.0,0.0,92.0,34.0,28.0,54.8
Joshua King,no NOR,"FW,MF",27.0,22.3,6.0,23.0,10.0,43.5,1.03,0.45,0.13,0.3,14.4,0.0,3.0,3.0,6.5,4.1,0.18,-0.5,-1.1,369.0,524.0,70.4,4923.0,1128.0,228.0,281.0,81.1,95.0,141.0,67.4,17.0,26.0,65.4,4.0,4.1,2.2,-0.1,30.0,21.0,18.0,4.0,46.0,524.0,503.0,20.0,2.0,4.0,1.0,22.0,2.0,1.0,0.0,0.0,0.0,369.0,1.0,27.0,61.0,2.73,45.0,0.0,8.0,2.0,5.0,1.0,8.0,0.36,5.0,0.0,2.0,0.0,1.0,0.0,16.0,6.0,4.0,8.0,4.0,4.0,16.0,25.0,12.0,20.0,3.0,17.0,8.0,24.0,9.0,0.0,817.0,12.0,88.0,350.0,399.0,84.0,814.0,107.0,52.0,48.6,55.0,51.4,555.0,4169.0,1749.0,60.0,47.0,23.0,77.0,54.0,585.0,151.0,26,2011.0,77.0,58.8,22.3,24,82.0,13.0,2,24.0,0,0.96,23.0,37.0,-14.0,-0.63,0.08,28.5,35.2,-6.7,-0.3,0.39,0.0,0.0,0.0,37.0,27.0,7.0,22.0,8.0,6.0,0.0,0.0,0.0,105.0,59.0,66.0,47.2
Ryan Fraser,sct SCO,"MF,FW",25.0,23.0,1.0,27.0,11.0,40.7,1.18,0.48,0.04,0.09,17.2,2.0,0.0,0.0,3.7,3.7,0.14,-2.7,-2.7,658.0,964.0,68.3,9972.0,3561.0,373.0,438.0,85.2,210.0,296.0,70.9,55.0,157.0,35.0,4.0,3.9,3.6,0.1,44.0,62.0,39.0,8.0,100.0,964.0,832.0,128.0,33.0,2.0,3.0,174.0,16.0,64.0,32.0,20.0,0.0,658.0,4.0,29.0,82.0,3.57,53.0,18.0,5.0,1.0,4.0,1.0,8.0,0.35,4.0,3.0,0.0,1.0,0.0,0.0,12.0,6.0,5.0,5.0,2.0,7.0,22.0,31.8,15.0,15.0,3.0,12.0,15.0,27.0,24.0,0.0,1129.0,22.0,171.0,401.0,573.0,58.0,1129.0,24.0,12.0,50.0,12.0,50.0,800.0,4732.0,2646.0,99.0,63.0,24.0,28.0,19.0,786.0,164.0,28,2067.0,74.0,60.4,23.0,21,88.0,19.0,7,30.0,0,0.93,22.0,34.0,-12.0,-0.52,0.34,26.6,38.7,-12.1,-0.53,-0.17,2.0,0.0,0.0,10.0,36.0,1.0,174.0,15.0,6.0,0.0,0.0,0.0,97.0,6.0,25.0,19.4
